,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2006-06,380.00M,380.00M,5.686B,,5.686B,661.00M,303.00M,825.00M,,1.74B,1.538B,9.344B,,,,,,7.987B,-4.017B,3.97B,5.758B,779.00M,6.537B,,2.205B,12.71B,22.06B,,2006-06,4.315B,4.315B,1.258B,5.573B,833.00M,833.00M,,,2.277B,8.683B,4.18B,4.18B,,,,136.00M,,2.148B,6.328B,15.01B,,2006-06,,,,6.909B,6.909B,,
2006-03,154.00M,154.00M,5.671B,,5.671B,626.00M,283.00M,738.00M,,1.598B,1.497B,8.92B,,,,,,7.967B,-4.017B,3.95B,5.672B,784.00M,6.456B,,1.866B,12.27B,21.19B,,2006-03,4.27B,4.27B,1.078B,5.348B,1.028B,1.028B,,,2.10B,8.476B,4.185B,4.185B,,,,138.00M,,1.998B,6.183B,14.66B,,2006-03,,,,6.395B,6.395B,,
2005-12,167.60M,167.60M,5.691B,,5.691B,651.00M,259.90M,716.10M,,1.579B,1.496B,8.934B,,,,,,7.989B,-4.017B,3.971B,,6.413B,6.413B,,1.829B,12.21B,21.15B,,2005-12,4.096B,4.096B,1.031B,5.127B,1.325B,1.325B,,,2.269B,8.721B,4.002B,4.002B,,,,167.70M,,2.113B,6.115B,14.84B,,2005-12,,,,1.073B,6.144B,,
2005-09,171.00M,171.00M,4.987B,,4.987B,497.00M,158.00M,378.00M,,983.00M,998.00M,7.139B,0.00,249.00M,1.784B,5.086B,479.00M,7.598B,-4.017B,3.581B,3.733B,289.00M,4.022B,445.00M,957.00M,9.005B,16.14B,,2005-09,3.938B,3.982B,,3.982B,765.00M,765.00M,,,1.39B,6.841B,1.577B,1.577B,,,159.00M,196.00M,,1.313B,3.049B,9.89B,,2005-09,8.00M,7.00M,,60.00M,6.058B,,Restated
2005-06,385.20M,385.20M,4.229B,300.50M,4.529B,466.70M,143.60M,332.90M,,915.00M,895.20M,6.725B,,,,,,7.090B,-3.797B,3.294B,,3.944B,3.944B,,1.199B,8.436B,15.16B,,2005-06,3.544B,3.544B,774.40M,4.319B,613.60M,613.60M,,,1.350B,6.282B,1.632B,1.632B,,,,142.90M,,1.327B,2.959B,9.241B,,2005-06,,,,1.107B,5.777B,,
2005-03,350.20M,350.20M,4.346B,320.20M,4.666B,497.30M,144.50M,306.60M,,920.20M,970.70M,6.908B,,,,,,7.308B,-3.797B,3.511B,,3.974B,3.974B,,1.126B,8.611B,15.52B,,2005-03,3.731B,3.731B,687.80M,4.419B,601.40M,601.40M,,,1.311B,6.331B,1.665B,1.665B,,,,289.70M,,1.541B,3.206B,9.537B,,2005-03,,,,1.228B,5.692B,,
2004-12,240.70M,240.70M,3.995B,362.00M,4.357B,498.50M,138.10M,341.10M,,949.80M,1.309B,6.856B,,,,,,7.411B,-3.797B,3.614B,,4.055B,4.055B,,1.151B,8.820B,15.68B,,2004-12,3.529B,3.529B,623.90M,4.152B,1.119B,1.119B,,,1.352B,6.623B,1.668B,1.668B,,,,294.80M,,1.508B,3.177B,9.800B,,2004-12,8.00M,14.50M,,1.136B,5.582B,,
2004-09,99.20M,99.20M,3.816B,271.80M,4.088B,462.70M,139.10M,291.30M,,858.30M,725.50M,6.350B,0.00,249.00M,1.558B,4.781B,382.00M,6.971B,-3.637B,3.334B,3.566B,290.90M,3.857B,447.60M,769.30M,8.408B,14.76B,,2004-09,3.425B,3.671B,,3.671B,1.04B,1.04B,,,1.117B,6.421B,1.631B,1.631B,,,164.10M,121.50M,,1.215B,3.010B,9.431B,,2004-09,8.00M,14.50M,,71.90M,5.206B,,Restated
2004-06,120.80M,120.80M,3.815B,330.90M,4.146B,467.50M,117.10M,320.90M,,878.70M,767.30M,5.912B,,,,,,6.628B,-3.420B,3.208B,,3.637B,3.637B,,1.215B,8.06B,13.97B,,2004-06,3.563B,3.563B,673.80M,4.236B,437.40M,437.40M,,,1.101B,5.775B,1.835B,1.835B,,,,251.80M,,1.194B,3.028B,8.803B,,2004-06,,,,4.918B,4.918B,,
2004-03,226.40M,226.40M,3.780B,349.60M,4.130B,453.10M,116.90M,303.00M,,846.40M,799.80M,6.002B,,,,,,6.625B,-3.420B,3.205B,,3.676B,3.676B,,1.235B,8.116B,14.12B,,2004-03,3.58B,3.58B,628.70M,4.209B,690.10M,690.10M,,,1.087B,5.986B,1.889B,1.889B,,,,245.70M,,1.228B,3.117B,9.103B,,2004-03,,,,4.769B,4.769B,,
2003-12,302.60M,302.60M,3.491B,318.70M,3.809B,461.00M,108.70M,302.60M,,845.60M,792.60M,5.750B,,,,,,6.546B,-3.420B,3.126B,,3.615B,3.615B,,1.180B,7.921B,13.67B,,2003-12,3.253B,3.253B,577.80M,3.831B,848.50M,848.50M,,,1.052B,5.732B,1.831B,1.831B,,,,229.50M,,1.298B,3.128B,8.860B,,2003-12,,,,4.582B,4.582B,,
2003-09,136.10M,136.10M,3.539B,323.00M,3.862B,435.50M,105.80M,310.90M,,825.90M,796.20M,5.620B,0.00,238.20M,1.605B,4.204B,336.20M,6.383B,-3.420B,2.963B,3.163B,316.90M,3.480B,408.10M,655.90M,7.507B,13.13B,,2003-09,3.329B,3.388B,,3.388B,578.30M,578.30M,,,1.072B,5.584B,1.777B,1.777B,,,167.80M,221.80M,,1.116B,3.060B,8.644B,,2003-09,112.20M,9.50M,97.10M,-106.90M,4.261B,,Restated
2003-06,253.70M,253.70M,3.446B,269.40M,3.715B,428.10M,139.50M,339.00M,,877.60M,773.60M,5.620B,,,,,,5.772B,-2.911B,2.861B,,3.394B,3.394B,,1.025B,7.280B,12.90B,,2003-06,3.17B,3.17B,604.30M,3.774B,1.195B,1.195B,,,1.225B,6.194B,1.295B,1.295B,,,,215.50M,,1.075B,2.370B,8.564B,,2003-06,,,,4.120B,4.120B,,
2003-03,278.10M,278.10M,3.194B,279.60M,3.473B,388.10M,131.30M,314.70M,,804.70M,688.10M,5.244B,,,,,,5.545B,-2.911B,2.634B,,3.330B,3.330B,,822.50M,6.786B,12.03B,,2003-03,2.935B,2.935B,549.50M,3.485B,840.80M,840.80M,,,1.204B,5.530B,1.526B,1.526B,,,,215.20M,,952.90M,2.479B,8.009B,,2003-03,,,,3.806B,3.806B,,
2002-12,351.60M,351.60M,3.026B,311.70M,3.338B,402.10M,105.50M,303.70M,,781.20M,680.30M,5.151B,,,,,,5.525B,-2.911B,2.614B,,3.252B,3.252B,,759.40M,6.625B,11.78B,,2002-12,2.676B,2.676B,580.00M,3.256B,943.40M,943.40M,,,1.289B,5.489B,1.526B,1.526B,,,,212.00M,,884.80M,2.411B,7.900B,,2002-12,,,,3.664B,3.664B,,
2002-09,262.00M,262.00M,3.064B,333.40M,3.398B,361.20M,80.40M,242.50M,,653.60M,632.90M,4.946B,0.00,231.30M,1.349B,3.508B,267.90M,5.357B,-2.911B,2.446B,2.755B,243.50M,2.998B,347.40M,428.10M,6.219B,11.17B,,2002-09,2.789B,2.972B,,2.972B,145.20M,145.20M,,,1.183B,4.806B,1.827B,1.827B,,,170.50M,189.00M,,673.30M,2.670B,7.477B,,2002-09,118.70M,12.00M,103.80M,-246.40M,3.500B,,Restated
2002-06,206.80M,206.80M,3.000B,330.70M,3.331B,352.10M,102.00M,231.30M,,650.10M,649.20M,4.837B,,,,,,5.025B,-2.589B,2.436B,,2.955B,2.955B,,686.10M,6.077B,10.91B,,2002-06,2.673B,2.673B,570.20M,3.243B,189.90M,189.90M,,,1.217B,4.650B,1.936B,1.936B,,,,196.70M,,786.60M,2.723B,7.372B,,2002-06,,,,511.10M,3.345B,,
2002-03,216.10M,216.10M,2.783B,332.30M,3.115B,340.80M,90.50M,237.60M,,634.50M,633.90M,4.599B,,,,,,4.996B,-2.589B,2.407B,,2.762B,2.762B,,623.40M,5.793B,10.39B,,2002-03,2.491B,2.491B,519.60M,3.011B,249.70M,249.70M,,,1.171B,4.431B,1.909B,1.909B,,,,201.60M,,716.30M,2.625B,7.056B,,2002-03,,,,444.40M,3.134B,,
2001-12,261.00M,261.00M,2.777B,264.10M,3.041B,368.00M,104.40M,222.60M,,659.70M,636.90M,4.599B,,,,,,5.035B,-2.589B,2.446B,,2.836B,2.836B,,619.00M,5.901B,10.50B,,2001-12,2.417B,2.417B,487.60M,2.905B,399.60M,399.60M,,,1.269B,4.574B,1.927B,1.927B,,,,203.10M,,739.90M,2.667B,7.241B,,2001-12,,,,449.20M,3.056B,,
2001-09,374.60M,374.60M,2.673B,254.90M,2.928B,331.30M,77.20M,203.80M,,577.60M,663.50M,4.544B,0.00,223.80M,1.243B,3.191B,310.70M,4.968B,-2.589B,2.380B,2.247B,135.90M,2.383B,300.50M,304.00M,5.368B,9.912B,,2001-09,2.437B,2.575B,,2.575B,425.20M,425.20M,,,1.143B,4.580B,1.395B,1.395B,,,162.50M,207.30M,,581.80M,2.139B,6.719B,,2001-09,138.00M,25.60M,123.20M,-227.70M,2.985B,,Restated
2001-06,298.80M,298.80M,2.524B,213.40M,2.737B,293.30M,80.40M,201.70M,,545.00M,723.60M,4.304B,,,,,,4.680B,-2.269B,2.412B,,2.236B,2.236B,,777.70M,5.425B,9.730B,,2001-06,2.336B,2.336B,531.60M,2.868B,297.10M,297.10M,,,1.214B,4.378B,1.443B,1.443B,,,,280.10M,,822.20M,2.266B,6.644B,,2001-06,129.00M,,129.00M,283.40M,2.806B,,
2001-03,272.70M,272.70M,2.457B,265.10M,2.722B,316.90M,91.40M,192.10M,,569.80M,748.60M,4.313B,,,,,,4.635B,-2.269B,2.366B,,2.134B,2.134B,,776.90M,5.277B,9.59B,,2001-03,2.265B,2.265B,537.90M,2.803B,362.10M,362.10M,,,1.188B,4.354B,1.465B,1.465B,,,,263.30M,,787.10M,2.252B,6.606B,,2001-03,129.00M,,129.00M,305.20M,2.721B,,
2000-12,355.20M,355.20M,2.312B,231.70M,2.544B,345.40M,83.50M,186.90M,,585.10M,753.20M,4.238B,,,,,,4.632B,-2.269B,2.363B,,2.159B,2.159B,,782.60M,5.305B,9.542B,,2000-12,2.095B,2.095B,544.10M,2.640B,703.30M,703.30M,,,1.245B,4.588B,1.262B,1.262B,,,,246.20M,,797.20M,2.060B,6.648B,,2000-12,129.00M,,129.00M,286.70M,2.648B,,
2000-09,275.60M,275.60M,,,2.578B,,,,,569.50M,854.40M,4.277B,,,,,,4.574B,-2.269B,2.305B,,2.133B,2.133B,,712.50M,5.151B,9.428B,,2000-09,2.309B,2.309B,,2.309B,507.50M,507.50M,,,1.694B,4.51B,1.315B,1.315B,,,,,,1.027B,2.342B,6.852B,,2000-09,143.70M,33.20M,129.00M,-287.00M,2.576B,,
2000-06,234.10M,234.10M,,,2.502B,,,,,505.40M,663.30M,3.905B,,,,,,4.067B,-2.037B,2.030B,,2.01B,2.01B,,648.10M,4.688B,8.593B,,2000-06,2.130B,2.130B,,2.130B,259.00M,259.00M,,,1.708B,4.098B,1.232B,1.232B,,,,,,810.00M,2.042B,6.140B,,2000-06,,,,2.453B,2.453B,,
2000-03,244.20M,244.20M,,,2.618B,,,,,502.90M,682.50M,4.048B,,,,,,4.080B,-2.037B,2.043B,,2.058B,2.058B,,632.50M,4.734B,8.782B,,2000-03,2.132B,2.132B,,2.132B,519.10M,519.10M,,,1.684B,4.335B,1.229B,1.229B,,,,,,816.00M,2.045B,6.380B,,2000-03,,,,,2.402B,,
1999-12,315.90M,315.90M,,,2.289B,,,,,532.00M,850.60M,3.988B,,,,,,4.073B,-2.037B,2.036B,,2.082B,2.082B,,687.80M,4.806B,8.793B,,1999-12,2.006B,2.006B,,2.006B,626.70M,626.70M,,,1.724B,4.357B,1.249B,1.249B,,,,,,828.30M,2.077B,6.434B,,1999-12,,,,493.70M,2.359B,,
1999-09,276.20M,276.20M,,,2.356B,,,,,524.60M,691.50M,3.848B,,,,,,4.033B,-2.037B,1.996B,,2.097B,2.097B,,672.80M,4.766B,8.614B,,1999-09,1.998B,1.998B,,1.998B,571.80M,571.80M,,,1.696B,4.267B,1.283B,1.283B,,,,,,794.30M,2.078B,6.344B,,1999-09,149.30M,38.50M,134.70M,-210.00M,2.27B,,
1999-06,248.60M,248.60M,,,2.305B,,,,,474.20M,619.80M,3.648B,,,,,,3.921B,-1.992B,1.929B,,2.086B,2.086B,,637.70M,4.653B,8.301B,,1999-06,1.946B,1.946B,,1.946B,522.00M,522.00M,,,1.592B,4.060B,1.294B,1.294B,,,,,,736.10M,2.03B,6.090B,,1999-06,140.10M,,140.10M,,2.210B,,
1999-03,268.80M,268.80M,,,2.216B,,,,,469.30M,644.10M,3.598B,,,,,,3.902B,-1.921B,1.981B,,2.126B,2.126B,,666.70M,4.774B,8.372B,,1999-03,1.936B,1.936B,,1.936B,721.80M,721.80M,,,1.515B,4.172B,1.292B,1.292B,,,,,,767.50M,2.060B,6.232B,,1999-03,140.10M,,140.10M,,2.140B,,
1998-12,329.20M,329.20M,,,2.332B,,,,,470.50M,768.30M,3.900B,,,,,,3.820B,-1.867B,1.954B,,2.166B,2.166B,,697.10M,4.817B,8.718B,,1998-12,1.863B,1.863B,,1.863B,1.576B,1.576B,,,1.481B,4.920B,937.80M,937.80M,,,,,,780.70M,1.718B,6.638B,,1998-12,138.70M,,138.70M,,2.079B,,
1998-09,134.00M,134.00M,,,2.013B,,,,,428.20M,829.20M,3.404B,,,,,,3.652B,-1.769B,1.883B,,2.084B,2.084B,,570.50M,4.538B,7.942B,,1998-09,1.625B,1.625B,,1.625B,1.329B,1.329B,,,1.334B,4.288B,997.50M,997.50M,,,,,,714.80M,1.712B,6.001B,,1998-09,140.10M,,140.10M,,1.941B,,
1998-06,139.10M,139.10M,,,1.835B,,,,,389.00M,445.80M,2.809B,,,,,,3.356B,-1.759B,1.597B,,1.533B,1.533B,,447.40M,3.577B,6.386B,,1998-06,1.480B,1.480B,,1.480B,452.90M,452.90M,,,1.052B,2.986B,963.30M,963.30M,,,,,,590.60M,1.554B,4.539B,,1998-06,140.90M,,140.90M,,1.846B,,
1998-03,161.70M,161.70M,,,1.837B,,,,,389.20M,437.10M,2.825B,,,,,,3.254B,-1.690B,1.564B,,1.543B,1.543B,,443.60M,3.551B,6.376B,,1998-03,1.486B,1.486B,,1.486B,580.60M,580.60M,,,986.30M,3.053B,962.60M,962.60M,,,,,,580.10M,1.543B,4.596B,,1998-03,141.90M,,141.90M,,1.780B,,
