,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2002-09,5.218B,5.218B,4.440B,778.50M,434.10M,-17.00M,,,,,434.10M,344.40M,,,,-4.80M,,354.70M,106.30M,248.40M,,-15.80M,1.90M,190.50M,202.41M,350.70M,,2002-09,8.921,0.00,,2002-09,8.461,0.00,8.978,2002-09,21.21M,23.00M,2002-09,AOR,Restated
2002-06,5.257B,5.257B,4.509B,748.00M,427.60M,,,,,,427.60M,320.40M,,,,11.30M,,277.30M,102.00M,175.30M,,-15.80M,1.90M,175.30M,175.30M,320.40M,,2002-06,8.209,0.00,,2002-06,7.749,0.00,7.749,2002-06,21.12M,22.38M,2002-06,,
2002-03,4.810B,4.810B,4.166B,644.10M,425.40M,-11.80M,,,,,425.40M,218.70M,,,,-1.50M,,178.60M,63.80M,114.80M,,-11.40M,1.90M,114.80M,122.38M,218.70M,,2002-03,5.319,0.00,,2002-03,5.068,0.00,5.409,2002-03,21.22M,22.28M,2002-03,,
2001-12,4.818B,4.818B,4.141B,676.30M,437.80M,-3.40M,,,,,437.80M,238.50M,,,,0.70M,,195.40M,75.50M,119.90M,,-14.90M,2.10M,119.90M,121.99M,238.50M,,2001-12,5.654,0.00,,2001-12,5.319,0.00,5.414,2001-12,20.83M,22.15M,2001-12,,
2001-09,4.649B,4.649B,3.982B,666.70M,375.70M,-24.20M,,,,,375.70M,291.00M,,,,7.60M,,315.40M,105.80M,209.60M,,-11.40M,2.10M,156.30M,172.38M,326.40M,,2001-09,7.414,0.00,,2001-09,6.995,0.00,7.689,2001-09,20.85M,23.17M,2001-09,,Restated
2001-06,4.722B,4.722B,4.046B,676.10M,405.80M,5.40M,,,,,405.80M,270.30M,,,,5.40M,,232.50M,96.00M,136.50M,,-15.80M,2.10M,136.50M,133.26M,270.30M,,2001-06,6.450,0.00,,2001-06,6.073,0.00,5.927,2001-06,20.84M,22.13M,2001-06,,
2001-03,4.602B,4.602B,3.980B,621.20M,430.60M,-1.60M,,,,,430.60M,190.60M,,,,-1.60M,,144.60M,61.60M,83.00M,,-14.30M,2.10M,83.00M,83.96M,190.60M,,2001-03,3.937,0.00,,2001-03,3.728,0.00,3.772,2001-03,20.55M,21.70M,2001-03,,
2000-12,4.454B,4.454B,3.814B,640.00M,430.80M,4.60M,,,,,430.80M,209.20M,,,,4.60M,,174.60M,72.10M,102.50M,,-11.80M,2.50M,102.50M,99.74M,209.20M,,2000-12,4.859,0.00,,2000-12,4.607,0.00,4.480,2000-12,20.58M,21.70M,2000-12,,
2000-09,4.089B,4.089B,3.293B,795.80M,390.60M,2.10M,,,,,505.20M,290.60M,,,,2.10M,,256.40M,105.20M,151.20M,,-9.10M,2.50M,151.20M,149.94M,290.60M,,2000-09,7.246,0.00,,2000-09,6.827,0.00,6.769,2000-09,20.55M,21.81M,2000-09,,
2000-06,4.389B,4.389B,3.600B,789.40M,409.20M,-0.50M,,,,,522.40M,267.00M,,,,-0.50M,,228.80M,95.40M,133.40M,,-12.20M,2.50M,133.40M,133.70M,267.00M,,2000-06,6.408,0.00,,2000-06,6.073,0.00,6.087,2000-06,20.43M,21.55M,2000-06,,
2000-03,4.358B,4.358B,3.630B,728.50M,419.60M,2.60M,,,,,536.10M,192.40M,,,,2.60M,,154.50M,65.70M,88.80M,,-11.40M,2.40M,88.80M,87.24M,192.40M,,2000-03,4.230,0.00,,2000-03,3.979,0.00,3.907,2000-03,20.42M,21.71M,2000-03,,
1999-12,4.318B,4.318B,3.576B,742.60M,410.10M,-1.90M,,,,,527.60M,215.00M,,,,-1.90M,,171.60M,72.60M,99.00M,,-11.70M,,99.00M,100.14M,215.00M,,1999-12,4.733,0.00,,1999-12,4.440,0.00,4.491,1999-12,20.92M,22.30M,1999-12,,
1999-09,4.195B,4.195B,3.430B,765.20M,378.30M,-1.40M,,,,,492.10M,273.10M,,,,-1.40M,,227.60M,97.10M,130.50M,,-12.40M,2.50M,130.50M,131.34M,273.10M,,1999-09,0.2563,0.00,,1999-09,0.2406,0.00,0.2422,1999-09,488.11M,528.26M,1999-09,,
1999-06,4.191B,4.191B,3.472B,718.50M,377.20M,-3.50M,,,,,479.60M,238.90M,,,,-3.50M,,194.30M,83.20M,111.10M,,-11.30M,2.50M,111.10M,113.20M,238.90M,,1999-06,0.2214,0.00,,1999-06,0.2075,0.00,0.2114,1999-06,489.26M,529.98M,1999-06,,
1999-03,3.880B,3.880B,3.238B,642.10M,368.20M,57.10M,,,,,482.40M,159.70M,,,,57.10M,,171.40M,73.10M,98.30M,,-8.90M,2.40M,98.30M,64.04M,159.70M,,1999-03,0.1970,0.00,,1999-03,0.1831,0.00,0.1183,1999-03,488.11M,528.83M,1999-03,,
1998-12,3.873B,3.873B,3.229B,643.70M,345.30M,-1.20M,,,,,460.50M,183.20M,,,,-1.20M,,138.00M,58.30M,79.70M,,-6.00M,2.40M,79.70M,80.42M,183.20M,,1998-12,0.1587,0.00,,1998-12,0.1499,0.00,0.1854,1998-12,20.29M,20.29M,1998-12,,
1998-09,3.334B,3.334B,2.739B,594.90M,281.90M,69.80M,,,,,387.10M,207.80M,,,,69.80M,,236.60M,100.60M,136.00M,,-5.70M,2.40M,136.00M,94.12M,207.80M,,1998-09,6.600,,,1998-09,6.600,,4.531,1998-09,20.24M,20.24M,1998-09,,
1998-06,3.190B,3.190B,2.626B,564.00M,289.30M,0.90M,,,,,382.90M,181.10M,,,,0.90M,,147.30M,63.40M,83.90M,,-5.50M,2.40M,83.90M,83.36M,181.10M,,1998-06,0.1691,0.00,,1998-06,0.1569,0.00,0.1559,1998-06,485.82M,528.26M,1998-06,,
