,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-09,4.655B,4.655B,1.548B,3.107B,74.00M,1.73B,1.804B,,322.00M,23.00M,129.00M,9.00M,-120.00M,288.00M,2.298B,809.00M,9.00M,129.00M,-120.00M,23.00M,-120.00M,-1.772B,0.00,-1.772B,,,,,-1.772B,-1.795B,-1.437B,206.00M,-1.643B,,-15.26,0.00,,,-15.46,-15.26,,-15.26,0.00,,,-15.46,-15.26,,116.20M,116.20M,0.00,,AOR,Restated
2005-06,4.423B,4.423B,147.00M,4.276B,,,,,,9.00M,,,,4.027B,4.228B,48.00M,,,,9.00M,,-1.434B,0.00,-1.43B,,,,,-1.43B,-1.439B,253.00M,205.00M,48.00M,,-12.33,0.00,,,-12.41,-12.33,,-12.33,0.00,,,-12.41,-12.33,,115.98M,115.98M,0.00,,AOR,Restated
2005-03,3.915B,3.915B,2.406B,1.509B,77.00M,1.153B,1.23B,,120.00M,58.00M,114.00M,4.00M,-110.00M,316.00M,1.759B,-250.00M,4.00M,114.00M,-110.00M,826.00M,-110.00M,-1.07B,0.00,-1.07B,,,,2.00M,-1.07B,-1.128B,-743.00M,209.00M,-956.00M,,-9.23,0.00,,,-9.729,-9.23,,-9.23,0.00,,,-9.729,-9.23,,116.20M,116.20M,0.00,,AOR,Restated
2004-12,3.988B,3.988B,8.697B,-4.709B,,,,,,-229.00M,,,,-10.20B,-4.139B,-570.00M,,,,-71.00M,,-746.00M,0.00,-741.00M,,,,,-741.00M,-512.00M,-781.00M,213.00M,-994.00M,,-6.48,0.00,,,-4.552,-6.48,,-6.48,,,,-4.552,-6.48,,118.77M,118.77M,0.00,,AOR,Restated
2004-09,4.305B,4.305B,212.00M,4.093B,,,,,,-100.00M,,,,3.96B,4.173B,-80.00M,,,,-100.00M,,-276.00M,0.00,-274.00M,,,,,-274.00M,-174.00M,133.00M,213.00M,-80.00M,,-2.38,0.00,,,-1.511,-2.38,,-2.38,0.00,,,-1.511,-2.38,,115.13M,115.13M,0.00,,AOR,Restated
2004-06,4.189B,4.189B,145.00M,4.044B,,,,,,-143.00M,,,,3.819B,4.037B,7.00M,,,,-143.00M,,-248.00M,0.00,-247.00M,,,,,-247.00M,-104.00M,225.00M,218.00M,7.00M,,-2.25,0.00,,,-0.9474,-2.25,,-2.25,0.00,,,-0.9474,-2.25,,109.78M,109.78M,0.00,,AOR,Restated
2004-03,3.909B,3.909B,196.00M,3.713B,,,,,,-135.00M,,,,3.694B,3.924B,-211.00M,,,,-135.00M,,-456.00M,0.00,-459.00M,,,,,-459.00M,-324.00M,19.00M,230.00M,-211.00M,,-4.17,0.00,,,-2.944,-4.17,,-4.17,0.00,,,-2.944,-4.17,,110.07M,110.07M,0.00,,AOR,Restated
2003-12,3.797B,3.797B,180.00M,3.617B,,,,,,-356.00M,,,,3.558B,3.751B,-134.00M,,,,-221.00M,,-472.00M,0.00,-476.00M,,,,,-476.00M,-120.00M,59.00M,193.00M,-134.00M,,-4.08,0.00,,,-0.8440,-4.08,,-4.303,,,,-1.085,-4.303,,110.01M,110.62M,0.00,,AOR,Restated
2003-09,4.024B,4.024B,198.00M,3.826B,,,,,,-267.00M,,,,3.542B,3.807B,19.00M,,,,-267.00M,,-367.00M,0.00,-367.00M,,,,,-367.00M,-100.00M,284.00M,265.00M,19.00M,,-3.47,0.00,,,-0.9455,-3.47,,-3.47,0.00,,,-0.9455,-3.47,,105.76M,105.76M,0.00,,AOR,Restated
2003-06,3.109B,3.109B,252.00M,2.857B,,,,,,-93.00M,,,,3.288B,3.563B,-706.00M,,,,-93.00M,,-623.00M,0.00,-623.00M,,,,,-623.00M,-530.00M,-431.00M,275.00M,-706.00M,,-6.26,0.00,,,-5.326,-6.26,,-6.26,0.00,,,-5.326,-6.26,,99.52M,99.52M,0.00,,AOR,Restated
2003-03,3.184B,3.184B,373.00M,2.811B,,,,,,-392.00M,,,,3.624B,3.858B,-1.047B,,,,-392.00M,,-1.343B,0.00,-1.343B,,,,,-1.343B,-951.00M,-813.00M,234.00M,-1.047B,,-14.16,0.00,,,-10.03,-14.16,,-14.16,0.00,,,-10.03,-14.16,,94.84M,94.84M,0.00,,AOR,Restated
2002-12,3.467B,3.467B,354.00M,3.113B,,,,,,-14.00M,,,,3.148B,3.377B,-264.00M,,,,-14.00M,,-1.144B,326.00M,-1.47B,-3.00M,,,,-1.473B,-1.462B,-35.00M,229.00M,-264.00M,,-22.59,0.00,,,-22.44,-22.59,,-22.59,-0.0314,,,-22.50,-22.59,,56.17M,95.53M,0.00,,AOR,
2002-09,3.737B,3.737B,302.00M,3.435B,,,,,,54.00M,,,,4.081B,4.324B,-889.00M,,,,54.00M,,-735.00M,153.00M,-888.00M,-1.00M,,,,-889.00M,-920.40M,-646.00M,243.00M,-889.00M,,-15.57,0.00,,,-16.14,-15.57,,-15.57,0.00,,,-16.14,-15.57,,57.10M,57.10M,0.00,,AOR,Restated
2002-06,3.793B,3.793B,306.00M,3.487B,,,,,,82.00M,,,,3.972B,4.221B,-734.00M,,,,82.00M,,-531.00M,-191.00M,-340.00M,-1.00M,,,,-341.00M,-392.50M,-485.00M,249.00M,-734.00M,,-6.08,0.00,,,-7.016,-6.08,,-6.08,0.00,,,-7.016,-6.08,,56.09M,56.09M,0.00,,AOR,Restated
2002-03,3.288B,3.288B,279.00M,3.009B,,,,,,-7.00M,,,,3.72B,3.959B,-950.00M,,,,39.00M,,-795.00M,-286.00M,-509.00M,-1.00M,,,,-510.00M,-533.97M,-711.00M,239.00M,-950.00M,,-9.22,0.00,,,-9.671,-9.22,,-9.22,0.00,,,-9.671,-9.22,,55.31M,55.31M,0.00,,AOR,Restated
2001-12,4.207B,4.207B,,,,,,,,,,,,,,21.06B,,,,,,,,-312.00M,,,,,-308.00M,-320.00M,21.06B,,21.06B,,-4.356,,,,-4.356,-4.206,,-5.73,0.15,,,-5.73,-5.58,,53.31M,56.00M,0.00,,AOR,Restated
2001-09,4.107B,4.107B,395.00M,3.712B,,,,,,311.00M,,,,5.737B,5.997B,-2.285B,,,,311.00M,,-1.823B,-665.00M,-1.158B,-1.00M,,,,-1.159B,-1.356B,-2.025B,260.00M,-2.285B,,-21.43,0.00,,,-25.08,-21.43,,-21.43,0.00,,,-25.08,-21.43,,54.08M,54.08M,0.05,,AOR,Restated
2001-06,4.658B,4.658B,352.00M,4.306B,,,,,,6.00M,,,,4.507B,4.775B,-469.00M,,,,6.00M,,-562.00M,-198.00M,-364.00M,-1.00M,,,,-365.00M,-367.89M,-201.00M,268.00M,-469.00M,,-6.87,0.00,,,-6.943,-6.87,,-6.87,0.00,,,-6.943,-6.87,,53.13M,53.13M,0.3125,,AOR,Restated
2001-03,4.424B,4.424B,313.00M,4.111B,,,,,,-5.00M,,,,4.502B,4.754B,-643.00M,,,,-5.00M,,-489.00M,-185.00M,-304.00M,-1.00M,-8.00M,,,-313.00M,-300.89M,-391.00M,252.00M,-643.00M,,-5.82,-0.15,0.00,,-5.761,-5.97,,-5.82,-0.15,-0.1526,,-5.761,-5.97,,52.43M,52.43M,0.3125,,AOR,Restated
2000-12,5.464B,5.464B,,,,,,,,,,,,,,19.94B,,,,,,,,-75.00M,,,,,-71.00M,-290.00M,19.94B,,19.94B,,-1.779,,,,-1.779,0.2113,,-1.779,,,,-1.779,-1.337,,61.08M,61.08M,0.3125,,,Restated
2000-09,4.905B,4.905B,283.00M,4.622B,,,,,,-57.00M,,,,4.663B,4.916B,-294.00M,,,,-57.00M,,-172.00M,-63.00M,-109.00M,-1.00M,-6.00M,,,-116.00M,-72.88M,-41.00M,253.00M,-294.00M,,-2.17,-0.13,0.00,,-1.454,-2.30,,-2.17,-0.13,-0.1190,,-1.454,-2.30,,50.43M,50.43M,0.3125,,AOR,Restated
2000-06,5.109B,5.109B,202.00M,4.907B,,,,,,5.00M,,,,4.302B,4.549B,358.00M,,,,5.00M,,536.00M,199.00M,337.00M,-1.00M,,,,336.00M,333.86M,605.00M,247.00M,358.00M,,3.08,0.00,,,3.021,3.08,,2.86,0.00,,,2.801,2.86,,53.12M,53.12M,0.3125,,AOR,Restated
2000-03,4.546B,4.546B,260.00M,4.286B,,,,,,7.00M,,,,4.034B,4.266B,20.00M,,,,7.00M,,177.00M,66.00M,111.00M,-1.00M,-209.00M,,,-99.00M,106.61M,252.00M,232.00M,20.00M,,0.68,-1.97,-0.0000,,0.5974,-1.29,,0.62,-1.97,-3.935,,0.5374,-1.29,,53.12M,53.12M,,,AOR,Restated
1999-12,4.481B,4.481B,,,,,,,,-656.00M,,,,2.819B,3.049B,830.00M,,,,75.00M,,203.00M,73.00M,130.00M,-1.00M,0.00,,,129.00M,550.10M,1.06B,230.00M,830.00M,,2.528,-0.0194,0.00,,10.97,2.509,,2.528,-0.0194,0.00,,10.97,2.509,,49.79M,49.79M,,,AOR,
1999-09,4.845B,4.845B,,,,,,,,12.00M,,,,4.226B,4.44B,405.00M,,,,12.00M,,563.00M,203.00M,360.00M,-1.00M,0.00,,,359.00M,352.33M,619.00M,214.00M,405.00M,,6.18,0.00,0.00,,6.048,6.18,,2.89,0.00,0.00,,2.828,2.89,,58.09M,124.22M,,,,Restated
1999-06,4.541B,4.541B,,,,,,,,698.00M,,,,4.108B,4.321B,220.00M,,,,698.00M,,1.052B,379.00M,673.00M,-1.00M,-3.00M,,,669.00M,226.47M,433.00M,213.00M,220.00M,,12.26,-0.05,0.00,,4.110,12.21,,5.80,-0.05,-0.0548,,1.942,5.78,,54.79M,115.74M,,,,Restated
1999-03,4.16B,4.16B,,,,,,,,58.00M,,,,4.014B,4.225B,-65.00M,,,,58.00M,,123.00M,44.00M,79.00M,-1.00M,0.00,,,78.00M,41.75M,146.00M,211.00M,-65.00M,,0.91,0.00,0.00,,0.1855,0.91,,0.44,0.00,0.00,,-0.2845,0.44,,51.42M,51.42M,,,,Restated
1998-12,4.281B,4.281B,,,,,,,,50.00M,,,,16.85B,17.72B,-8.974B,,,,50.00M,,87.00M,28.00M,59.00M,,,,,53.00M,19.09M,-7.599B,1.375B,-8.974B,,2.261,,,,1.601,2.261,,2.261,,,,1.601,2.261,,51.42M,51.42M,,,AOR,Restated
1998-09,4.783B,4.783B,1.57B,3.213B,354.00M,-623.00M,-269.00M,199.00M,442.00M,4.00M,,,,-551.00M,-621.00M,3.834B,,,,4.00M,,647.00M,222.00M,425.00M,,,1.00M,25.00M,425.00M,422.37M,4.033B,-199.00M,3.834B,,6.956,,,,6.956,6.956,,6.956,,,,6.956,6.956,,,,,,,
1998-06,4.442B,4.442B,1.473B,2.969B,328.00M,-543.00M,-215.00M,192.00M,447.00M,8.00M,,,,-521.00M,-544.00M,3.513B,,,,8.00M,,428.00M,146.00M,282.00M,,,1.00M,25.00M,282.00M,276.73M,3.705B,-192.00M,3.513B,,4.469,,,,4.469,4.469,,4.469,,,,4.469,4.469,,,,,,,
1998-03,4.055B,4.055B,1.421B,2.634B,317.00M,-495.00M,-178.00M,191.00M,436.00M,11.00M,,,,-487.00M,-474.00M,3.108B,,,,11.00M,,95.00M,34.00M,61.00M,,,1.00M,26.00M,61.00M,53.94M,3.299B,-191.00M,3.108B,,0.6086,,,,0.4858,0.6086,,0.6086,,,,0.4858,0.6086,,57.51M,57.51M,,,,
1997-12,4.235B,4.235B,,,,,,,,849.00M,,,,,8.678B,91.00M,,,,849.00M,,56.00M,19.00M,37.00M,,,,,23.00M,-528.95M,1.348B,1.257B,91.00M,,1.357,,,,-8.397,1.357,,1.357,,,,-8.397,1.357,,57.51M,57.51M,,,AOR,Restated
1997-09,4.64B,4.64B,1.529B,3.111B,,,2.366B,182.00M,,-371.00M,,,,,2.548B,563.00M,,,,-371.00M,,912.00M,333.00M,579.00M,,,1.00M,19.00M,579.00M,814.54M,745.00M,-183.00M,563.00M,,9.502,,,,9.502,9.502,,9.502,,,,9.502,9.502,,,,,,,
1997-06,4.382B,4.382B,1.497B,2.885B,,,2.299B,174.00M,,10.00M,,,,,2.473B,412.00M,,,,10.00M,,387.00M,145.00M,242.00M,,,1.00M,19.00M,242.00M,235.75M,586.00M,-174.00M,412.00M,,3.784,,,,3.784,3.784,,3.784,,,,3.784,3.784,,,,,,,
1997-03,4.121B,4.121B,1.508B,2.613B,364.00M,-635.00M,-271.00M,176.00M,455.00M,10.00M,,,,-509.00M,-604.00M,3.217B,,,,10.00M,,170.00M,65.00M,105.00M,,,1.00M,20.00M,105.00M,98.82M,3.393B,-176.00M,3.217B,,1.442,,,,1.338,1.442,,1.442,,,,1.338,1.442,,58.93M,58.93M,,,,
1996-12,3.976B,3.976B,,,,,,,,,,,,16.04B,17.07B,-8.811B,,,,,,33.00M,13.00M,20.00M,,,,,19.00M,20.00M,-7.464B,1.347B,-8.811B,,1.307,,,,1.307,1.307,,1.307,,,,1.307,1.307,,58.93M,58.93M,,,AOR,Restated
1996-09,4.488B,4.488B,1.495B,2.993B,397.00M,-681.00M,-284.00M,217.00M,441.00M,-12.00M,,,,-548.00M,-615.00M,3.608B,,,,-12.00M,,555.00M,208.00M,347.00M,,,,15.00M,340.00M,354.50M,3.825B,-216.00M,3.608B,,6.574,,,-0.1386,6.574,6.436,,6.574,,,-0.1386,6.574,6.436,,,,,,,
1996-06,4.164B,4.164B,1.416B,2.748B,373.00M,-659.00M,-286.00M,182.00M,454.00M,11.00M,,,,-508.00M,-612.00M,3.36B,,,,11.00M,,371.00M,145.00M,226.00M,,,,16.00M,196.00M,219.30M,3.542B,-183.00M,3.36B,,4.158,,,-0.5941,4.158,3.564,,4.158,,,-0.5941,4.158,3.564,,,,,,,
1996-03,3.735B,3.735B,1.369B,2.366B,337.00M,-620.00M,-283.00M,189.00M,446.00M,,,,,-507.00M,-601.00M,2.967B,,,,,,10.00M,4.00M,6.00M,,,,16.00M,-23.00M,6.00M,3.156B,-189.00M,2.967B,,-0.1980,,,-0.5742,-0.1980,-0.7723,,-0.1980,,,-0.5742,-0.1980,-0.7723,,50.50M,50.50M,,,,
1995-12,3.667B,3.667B,,,,,,,,51.00M,,,,14.61B,15.64B,-8.437B,,,,51.00M,,-30.00M,-11.00M,-19.00M,,,,,-48.00M,-51.30M,-7.194B,1.243B,-8.437B,,-0.1206,,,,-0.7602,-0.1206,,-0.1206,,,,-0.7602,-0.1206,,50.50M,50.50M,,,AOR,Restated
1995-09,4.127B,4.127B,1.244B,2.883B,409.00M,-667.00M,-258.00M,182.00M,473.00M,-8.00M,,,,-432.00M,-508.00M,3.391B,,,,-8.00M,,394.00M,151.00M,243.00M,,,,13.00M,243.00M,247.93M,3.573B,-182.00M,3.391B,,4.624,,,,4.624,4.624,,4.624,,,,4.624,4.624,,,,,,,
1995-06,3.815B,3.815B,1.179B,2.636B,364.00M,-658.00M,-294.00M,174.00M,472.00M,14.00M,,,,-406.00M,-526.00M,3.162B,,,,14.00M,,251.00M,100.00M,151.00M,,,,10.00M,151.00M,142.58M,3.336B,-174.00M,3.162B,,2.835,,,,2.835,2.835,,2.835,,,,2.835,2.835,,,,,,,
1995-03,3.334B,3.334B,1.108B,2.226B,342.00M,-608.00M,-266.00M,163.00M,418.00M,36.00M,,,,-384.00M,-487.00M,2.713B,,,,36.00M,,6.00M,3.00M,3.00M,,,,16.00M,3.00M,-18.60M,2.876B,-163.00M,2.713B,,-0.2614,,,,-0.6956,-0.2614,,-0.2614,,,,-0.6956,-0.2614,,49.74M,49.74M,,,,
1994-12,3.439B,3.439B,,,,,,,,44.00M,,,,14.67B,15.73B,-8.852B,,,,44.00M,,10.00M,-1.00M,11.00M,,0.00,,,11.00M,-15.40M,-7.588B,1.264B,-8.852B,,,,,,-0.3096,1.005,,,,,,-0.3096,1.005,,49.74M,49.74M,,,AOR,Restated
1994-09,3.814B,3.814B,1.223B,2.591B,389.00M,-635.00M,-246.00M,184.00M,396.00M,-81.00M,,,,-452.00M,-514.00M,3.105B,,,,-81.00M,,162.00M,80.00M,82.00M,,,,20.00M,82.00M,130.60M,3.289B,-184.00M,3.105B,,,,,,,,,,,,,,,,,,,,,
1994-06,3.502B,3.502B,1.14B,2.362B,360.00M,-672.00M,-312.00M,177.00M,377.00M,-10.00M,,,,-407.00M,-542.00M,2.904B,,,,-10.00M,,107.00M,52.00M,55.00M,,,,9.00M,55.00M,61.00M,3.081B,177.00M,2.904B,,,,,,,,,,,,,,,,,,,,,
1994-03,3.348B,3.348B,,,,,,,,,,,,,,3.348B,,,,,,,,-8.00M,,-26.00M,,,-34.00M,-8.00M,3.348B,,3.348B,,,,,,,,,,,,,,,,,,,,,
1993-12,3.641B,3.641B,998.00M,2.643B,,,2.517B,107.00M,,-41.00M,,,,,2.624B,19.00M,,,,-41.00M,,-97.00M,-32.00M,-65.00M,,,,,-65.00M,-37.53M,126.00M,-107.00M,19.00M,,,,,,,,,,,,,,,,,,,,,
1993-09,3.99B,3.99B,903.00M,3.087B,,,2.616B,190.00M,,17.00M,,,,,2.806B,281.00M,,,,17.00M,,223.00M,74.00M,149.00M,,,,,149.00M,137.64M,471.00M,-190.00M,281.00M,,,,,,,,,,,,,,,,,,,,,
1993-06,3.548B,3.548B,883.00M,2.665B,,,2.39B,191.00M,,28.00M,,,,,2.581B,84.00M,,,,28.00M,,30.00M,8.00M,22.00M,,,,,22.00M,1.467M,275.00M,-191.00M,84.00M,,,,,,,,,,,,,,,,,,,,,
1993-03,3.332B,3.332B,874.00M,2.458B,,,2.386B,193.00M,,-8.00M,,,,,2.579B,-121.00M,,,,-8.00M,,-204.00M,-66.00M,-138.00M,,,,,-157.00M,-132.59M,72.00M,-193.00M,-121.00M,,,,,,,,,,,,,,,,,,,,,
1992-12,3.202B,3.202B,921.00M,2.281B,,,2.468B,195.40M,,42.80M,,,,,2.663B,-382.20M,,,,42.80M,,-408.30M,-157.20M,-251.10M,,,,,-791.10M,-277.42M,-186.80M,-195.40M,-382.20M,,,,,,,,,,,,,,,,,,,,,
1992-09,3.575B,3.575B,902.90M,2.672B,,,2.426B,179.00M,,24.00M,,,,,2.604B,68.00M,,,,24.00M,,32.10M,10.60M,21.50M,,,,,21.50M,5.425M,247.00M,-179.00M,68.00M,,,,,,,,,,,,,,,,,,,,,
1992-06,3.140B,3.140B,820.50M,2.320B,,,2.216B,178.10M,,3.50M,,,,,2.394B,-73.90M,,,,3.50M,,-126.00M,-30.90M,-95.10M,,,,,-95.10M,-97.74M,104.20M,-178.10M,-73.90M,,,,,,,,,,,,,,,,,,,,,
1992-03,2.972B,2.972B,763.70M,2.208B,,,2.185B,173.10M,,47.10M,,,,,2.358B,-149.70M,,,,47.10M,,-153.80M,-61.50M,-92.30M,,,,,-92.30M,-120.57M,23.40M,-173.10M,-149.70M,,,,,,,,,,,,,,,,,,,,,
