,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2000-06,,,,,,,,,,,,,,,,,,1.22B,,,0.00,0.00,,-110.00M,-628.00M,-738.00M,,-191.00M,0.00,-191.00M,,0.00,0.00,,-39.00M,9.00M,-221.00M,,400.00M,261.00M,661.00M,,,0.00,-191.00M,0.00,,,,AOR,Restated
2000-03,,,,,,,,,,,,,,,,,,882.00M,,,6.00M,6.00M,,-14.00M,-669.00M,-677.00M,,14.00M,-61.00M,-47.00M,,-81.00M,-81.00M,,-2.00M,15.00M,-115.00M,,310.00M,90.00M,400.00M,,,200.00M,-247.00M,-81.00M,,,,AOR,Restated
1999-12,,,,,,,,,,,,,,,,,,260.00M,,,7.00M,-2.382B,,932.00M,785.00M,-665.00M,,-60.00M,61.00M,1.00M,,-219.00M,-219.00M,,1.00M,17.00M,-200.00M,,915.00M,-605.00M,310.00M,,,0.00,124.00M,-219.00M,,,,AOR,
1999-09,,,,,,,,,,,,,,,,,,569.00M,,,6.00M,6.00M,,-252.00M,-483.00M,-729.00M,,-80.00M,0.00,-80.00M,,-42.00M,-42.00M,,-11.00M,64.00M,-69.00M,,1.144B,-229.00M,915.00M,,,0.00,-80.00M,-42.00M,,,,,Restated
1999-06,,,,,,,,,,,,,,,,,,880.00M,,,141.00M,141.00M,,152.00M,-16.00M,277.00M,,-237.00M,-50.00M,-287.00M,,42.00M,42.00M,,0.00,-24.00M,-269.00M,,256.00M,888.00M,1.144B,,,0.00,-287.00M,42.00M,,,,,Restated
1999-03,,,,,,,,,,,,,,,,,,712.00M,,,,,,42.00M,-549.00M,-507.00M,,-98.00M,-134.00M,-232.00M,,-42.00M,-42.00M,,,-65.00M,-339.00M,,390.00M,-134.00M,256.00M,,,286.00M,-518.00M,-42.00M,,,,,Restated
1998-12,53.00M,,,582.00M,1.375B,1.375B,,,,,32.00M,,,,,-1.504B,-1.427B,340.00M,,-442.00M,39.00M,-403.00M,,22.00M,-23.00M,-404.00M,,,,,,,,,-2.00M,-48.00M,7.00M,,447.00M,-57.00M,390.00M,,,,,,-129.00M,-163.00M,,AOR,Restated
1998-09,425.00M,,,-199.00M,-199.00M,-199.00M,,,,,398.00M,,,,,443.00M,443.00M,1.067B,,-810.00M,62.00M,-748.00M,,-8.00M,0.00,-756.00M,,,,,,,,,-8.00M,-444.00M,-452.00M,,588.00M,-141.00M,447.00M,,,,,,62.00M,52.00M,,,
1998-06,282.00M,,,-192.00M,-192.00M,-192.00M,,,,,384.00M,,,,,487.00M,487.00M,961.00M,,-687.00M,347.00M,-340.00M,,63.00M,-33.00M,-310.00M,,,,,,,,,,-279.00M,-279.00M,,216.00M,372.00M,588.00M,,,,,,59.00M,68.00M,,,
1998-03,61.00M,,,-191.00M,-191.00M,-191.00M,,,,,382.00M,,,,,574.00M,574.00M,826.00M,,-893.00M,4.00M,-889.00M,,48.00M,-7.00M,-848.00M,,,,,,,,,,-57.00M,-57.00M,,295.00M,-79.00M,216.00M,,,,,,8.00M,43.00M,,,
1997-12,23.00M,,,533.00M,1.257B,1.257B,,,,,-160.00M,,,,,-938.00M,-1.144B,170.00M,,-642.00M,42.00M,-600.00M,,44.00M,-9.00M,-565.00M,,,,,,,,,-2.00M,264.00M,161.00M,,529.00M,-234.00M,295.00M,,,,,,,,,AOR,Restated
1997-09,579.00M,,,-183.00M,-183.00M,-183.00M,,,,,366.00M,,,,,156.00M,156.00M,918.00M,,-679.00M,14.00M,-665.00M,,-72.00M,524.00M,-213.00M,,,,,,,,,-8.00M,-245.00M,-253.00M,,77.00M,452.00M,529.00M,,,,,,,,,,
1997-06,242.00M,,,-174.00M,-174.00M,-174.00M,,,,,348.00M,,,,,383.00M,383.00M,799.00M,,-1.183B,13.00M,-1.17B,,-20.00M,-5.00M,-1.195B,,,,,,,,,,18.00M,18.00M,,455.00M,-378.00M,77.00M,,,,,,-2.00M,-50.00M,,,
1997-03,105.00M,,,-176.00M,-176.00M,-176.00M,,,,,352.00M,,,,,399.00M,399.00M,680.00M,,-308.00M,14.00M,-294.00M,,-34.00M,,-328.00M,,,,,,,,,,-126.00M,-126.00M,,229.00M,226.00M,455.00M,,,,,,2.00M,50.00M,,,
1996-12,20.00M,,,588.00M,1.347B,1.347B,,,,,-330.00M,,,,,-796.00M,-617.00M,489.00M,,-437.00M,35.00M,-402.00M,,-4.00M,39.00M,-367.00M,,,,,,,,,-4.00M,854.00M,-137.00M,,244.00M,-15.00M,229.00M,,,,,,-181.00M,-190.00M,,AOR,Restated
1996-09,347.00M,,,-216.00M,-216.00M,-216.00M,,,,,432.00M,,,,,361.00M,361.00M,924.00M,,-729.00M,7.00M,-722.00M,,63.00M,-52.00M,-711.00M,,,,,,,,,-18.00M,-145.00M,-163.00M,,194.00M,50.00M,244.00M,,,,,,38.00M,41.00M,,,
1996-06,227.00M,,,-183.00M,-183.00M,-183.00M,,,,,366.00M,,,,,256.00M,256.00M,666.00M,,-305.00M,4.00M,-301.00M,,117.00M,-9.00M,-193.00M,,,,,,,,,,-527.00M,-527.00M,,248.00M,-54.00M,194.00M,,,,,,143.00M,69.00M,,,
1996-03,6.00M,,,-189.00M,-189.00M,-189.00M,,,,,378.00M,,,,,179.00M,179.00M,374.00M,,-67.00M,9.00M,-58.00M,,306.00M,40.00M,288.00M,,,,,,,,,,-608.00M,-608.00M,,194.00M,54.00M,248.00M,,,,,,,80.00M,,,
1995-12,-19.00M,,,519.00M,1.243B,1.243B,,,,,-638.00M,,,,,-456.00M,-548.00M,252.00M,,-369.00M,132.00M,-237.00M,,250.00M,-6.00M,7.00M,,,,,,,,,-10.00M,846.00M,-496.00M,,431.00M,-237.00M,194.00M,,,,,,-63.00M,-253.00M,,AOR,Restated
1995-09,243.00M,,,-182.00M,-182.00M,-182.00M,,,,,364.00M,,,,,-203.00M,-203.00M,222.00M,,-412.00M,23.00M,-389.00M,,368.00M,-2.00M,-23.00M,,,,,,,,,-39.00M,-109.00M,-148.00M,,380.00M,51.00M,431.00M,,,,,,1.00M,77.00M,,,
1995-06,151.00M,,,-174.00M,-174.00M,-174.00M,,,,,348.00M,,,,,371.00M,371.00M,696.00M,,-248.00M,291.00M,43.00M,,-390.00M,-16.00M,-363.00M,,,,,,,,,,-482.00M,-482.00M,,529.00M,-149.00M,380.00M,,,,,,57.00M,97.00M,,,
1995-03,3.00M,,,-163.00M,-163.00M,-163.00M,,,,,326.00M,,,,,288.00M,288.00M,454.00M,,-82.00M,132.00M,50.00M,,-145.00M,-4.00M,-99.00M,,,,,,,,,,-326.00M,-326.00M,,500.00M,29.00M,529.00M,,,,,,5.00M,79.00M,,,
1993-12,-65.00M,,,-107.00M,-107.00M,-107.00M,,,,,1.00M,,,,,,,-16.00M,,-168.00M,92.00M,-76.00M,,-141.00M,68.00M,-149.00M,,,,,,,,,,-18.00M,-45.00M,,,,,,,,,,,,,,
1993-09,149.00M,,,-190.00M,-190.00M,-190.00M,,,,,229.00M,,,,,,,188.00M,,-468.00M,439.00M,-29.00M,,-47.00M,-9.00M,-85.00M,,,,,,,,,,-161.00M,-161.00M,,,,,,,,,,,,,,
1993-06,23.00M,,,-191.00M,-191.00M,-191.00M,,,,,600.00M,,,,,,,432.00M,,-371.00M,401.00M,30.00M,,-194.00M,-11.00M,-175.00M,,,,,,,,,,-582.00M,-582.00M,,,,,,,,,,,,,,
1993-03,-138.00M,,,-193.00M,-193.00M,-193.00M,,,,,585.00M,,,,,,,254.00M,,-489.00M,233.00M,-256.00M,,-32.00M,-43.00M,-331.00M,,,,,,,,,,585.00M,585.00M,,522.00M,,,,,,,,,,,,
1992-12,-251.10M,,,-195.40M,-195.40M,-195.40M,,,,,244.80M,,,,,,,-92.60M,,-553.40M,583.40M,30.00M,,-147.30M,-9.70M,-127.00M,,,,,,,,,,-19.40M,-19.40M,,,,,,,,,,,,,,
1992-09,21.50M,,,-179.00M,-179.00M,-179.00M,,,,,237.50M,,,,,,,80.00M,,-650.40M,636.50M,-13.90M,,-73.90M,-94.50M,-182.30M,,,,,,,,,,-8.20M,-8.20M,,,,,,,,,,,,,,
1992-06,-95.10M,,,-178.10M,-178.10M,-178.10M,,,,,522.40M,,,,,,,249.20M,,-686.20M,719.60M,33.40M,,-239.90M,-9.70M,-216.20M,,,,,,,,,,-46.80M,-46.80M,,,,,,,,,,,,,,
1992-03,-92.30M,,,-173.10M,-173.10M,-173.10M,,,,,604.10M,,,,,,,338.70M,,-628.60M,427.70M,-200.90M,,223.50M,-34.50M,-11.90M,,,,,,,,,,109.40M,109.40M,,449.00M,,,,,,,,,,,,
