,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-11,-1.252B,,,,,201.14M,16.91M,0.634M,17.54M,17.54M,-121.03M,,,,,,1.673B,70.00M,675.50M,-69.52M,,-634.06M,31.28M,,550.72M,,2007-11,4.557M,,4.638M,8.237M,-49.04M,-36.17M,,2007-11,,,-394.77M,1.49M,-0.087M,1.403M,,,448.19M,29.53M,,251.11M,544.08M,795.19M,,2007-11,1.49M,,-0.087M,,2007-11,,
2007-08,-513.85M,,,,,135.51M,12.78M,0.824M,13.61M,13.61M,-429.18M,,,,,,721.27M,66.07M,265.08M,-140.61M,,184.18M,374.72M,,302.08M,,2007-08,2.394M,,2.394M,-28.85M,-40.89M,-67.34M,,2007-08,,,-321.80M,0.189M,-0.875M,-0.686M,,,-37.87M,-385.64M,,402.01M,-150.90M,251.11M,,2007-08,0.189M,,-0.875M,,2007-08,,
2007-05,-244.20M,,,,,36.32M,12.60M,0.408M,13.01M,13.01M,1.971M,,,,,,313.61M,-24.56M,259.38M,-130.11M,,-132.01M,-27.31M,,93.40M,,2007-05,-3.082M,,-3.082M,184.16M,-252.88M,-71.80M,,2007-05,,,-62.19M,2.843M,-1.729M,1.114M,,,2.951M,-83.50M,,463.92M,-61.91M,402.01M,,2007-05,2.843M,,-1.729M,,2007-05,,
2007-02,68.62M,,,,,-77.13M,12.01M,0.595M,12.61M,12.61M,109.42M,,,,,,95.27M,227.62M,-533.73M,-343.48M,,-60.87M,-710.47M,,-501.68M,,2007-02,-3.869M,,-3.869M,-163.81M,649.97M,482.30M,,2007-02,,,-285.41M,17.07M,-1.28M,15.79M,,,-0.218M,-295.02M,,778.32M,-314.40M,463.92M,,2007-02,17.07M,,-1.28M,,2007-02,,
2006-11,-195.60M,,,,,146.38M,12.13M,0.591M,12.72M,12.72M,-171.38M,,,,,,394.73M,-203.18M,655.83M,98.52M,-27.29M,88.18M,519.30M,,706.15M,,2006-11,-4.665M,,-4.665M,-44.24M,30.28M,-18.62M,,2006-11,,,-113.61M,1.702M,-23.23M,-21.52M,,,-5.01M,-165.27M,,256.06M,522.26M,778.32M,,2006-11,1.702M,,-23.23M,,2006-11,,
2006-08,206.68M,,,,,5.718M,10.98M,0.822M,11.80M,11.80M,-80.87M,,,,,,129.96M,186.34M,-9.015M,-43.19M,25.17M,-68.73M,183.32M,,456.60M,,2006-08,-10.14M,,-10.14M,22.73M,-88.37M,-75.67M,,2006-08,,,-361.74M,1.462M,-30.00M,-28.53M,,,-25.40M,-440.89M,,316.01M,-59.96M,256.06M,,2006-08,1.462M,,-30.00M,,2006-08,,
2006-05,324.75M,,,,,9.267M,10.57M,0.767M,11.34M,11.34M,-6.402M,,,,,,22.33M,-79.75M,99.14M,-2.906M,-3.817M,68.73M,-31.96M,,329.33M,,2006-05,-7.019M,-81.86M,-88.88M,-5.948M,-22.13M,-127.26M,,2006-05,,,142.60M,5.142M,-269.52M,-264.38M,,,-18.55M,-165.97M,,279.91M,36.10M,316.01M,,2006-05,5.142M,,-269.52M,,2006-05,,
2006-02,258.05M,,,,,21.85M,11.75M,2.40M,14.15M,14.15M,60.65M,,,,,,,144.43M,-1.117B,-438.63M,3.817M,,-1.294B,,-939.54M,,2006-02,-4.958M,81.86M,76.91M,1.322M,-238.00M,-182.81M,,2006-02,,,361.18M,22.82M,-0.489M,22.34M,,,-15.29M,342.92M,,1.059B,-779.43M,279.91M,,2006-02,22.82M,,-0.489M,,2006-02,,
2005-11,581.16M,,,,,23.91M,13.98M,2.611M,16.59M,16.59M,1.631M,,,,,,46.22M,-175.30M,181.33M,644.88M,13.86M,,503.48M,0.00,1.173B,,2005-11,-5.526M,17.00M,11.47M,-6.438M,-178.84M,-389.29M,,2005-11,,,147.50M,2.803M,-42.73M,-39.93M,,,-15.55M,66.90M,,208.74M,850.60M,1.059B,,2005-11,2.803M,,-42.73M,,2005-11,,
2005-08,337.25M,,,,,21.02M,16.46M,3.635M,20.09M,20.09M,-9.184M,,,,,,55.32M,-151.98M,-781.39M,208.91M,-13.52M,,-761.14M,0.00,-336.64M,,2005-08,-4.245M,,-4.245M,26.77M,-216.94M,-287.92M,,2005-08,,,692.28M,6.039M,-13.68M,-7.637M,,,-0.641M,662.38M,,170.92M,37.82M,208.74M,,2005-08,6.039M,,-13.68M,,2005-08,,
2005-05,233.24M,,,,,55.74M,13.15M,3.533M,16.68M,16.68M,12.00M,,,,,,-0.288M,-59.69M,-577.42M,44.16M,-8.185M,,-666.71M,-5.765M,-355.10M,,2005-05,-6.074M,-92.90M,-98.98M,-21.78M,30.92M,-112.66M,,2005-05,,,186.07M,5.419M,-127.28M,-121.86M,,,-6.742M,36.33M,,602.36M,-431.43M,170.92M,,2005-05,5.419M,,-127.28M,,2005-05,,
2005-02,192.75M,,,,,31.68M,14.67M,4.61M,19.28M,19.28M,5.776M,,,,,,0.288M,165.70M,-530.55M,-156.27M,-3.285M,,-419.19M,,-169.41M,,2005-02,-5.902M,92.90M,87.00M,0.178M,-205.52M,-202.57M,,2005-02,,,-328.10M,23.81M,-105.60M,-81.79M,,,-10.25M,-441.48M,,1.416B,-813.46M,602.36M,,2005-02,23.81M,,-105.60M,,2005-02,,
2004-11,379.37M,,,,,5.213M,15.03M,4.543M,19.58M,19.58M,72.84M,,,,,,,-241.45M,390.31M,194.06M,-139.77M,,203.15M,0.378M,682.69M,,2004-11,-7.771M,,-7.771M,-0.057M,28.83M,19.29M,,2004-11,,,315.43M,1.487M,0.00,1.487M,,,,277.04M,,480.93M,979.02M,1.416B,,2004-11,1.487M,,0.00,,2004-11,,
2004-08,224.99M,,,,,68.45M,15.68M,4.439M,20.12M,20.12M,-14.77M,,,,,,,-93.90M,-416.13M,232.10M,227.33M,,-262.34M,-0.378M,36.07M,,2004-08,-9.669M,,-9.669M,-2.485M,-136.94M,-189.01M,,2004-08,,,432.13M,1.489M,-3.938M,-2.449M,,,,410.32M,,223.55M,257.38M,480.93M,,2004-08,1.489M,,-3.938M,,2004-08,,
2004-05,201.03M,,,,,-8.486M,14.20M,4.375M,18.58M,18.58M,20.64M,,,,,,,-66.77M,-521.24M,53.56M,3.541M,,-564.00M,,-332.23M,,2004-05,-6.302M,,-6.302M,-2.038M,-58.43M,-94.08M,,2004-05,,,44.78M,8.456M,-0.082M,8.374M,,,,33.64M,,617.31M,-392.68M,223.55M,,2004-05,8.456M,,-0.082M,,2004-05,,
2004-02,139.25M,,,,,-3.443M,10.66M,4.356M,15.01M,15.01M,2.815M,,,,,,,16.92M,-323.13M,-61.16M,2.563M,,-119.97M,,33.66M,,2004-02,-3.647M,,-3.647M,-9.606M,-220.26M,-270.31M,,2004-02,,,-290.87M,3.105M,-109.56M,-106.46M,,,,-416.92M,,1.271B,-653.56M,617.31M,,2004-02,3.105M,,-109.56M,,2004-02,,
2003-11,283.18M,,,,,-34.16M,12.49M,3.03M,15.52M,15.52M,-29.00M,,,,,,,-13.67M,321.02M,133.29M,-15.90M,,354.50M,,590.04M,,2003-11,-5.059M,,-5.059M,-0.904M,31.92M,-27.40M,,2003-11,,,64.14M,3.885M,,2.841M,,,,47.25M,,660.99M,609.88M,1.271B,,2003-11,3.885M,,,,2003-11,,
2003-08,201.58M,,,,,-21.16M,12.16M,5.467M,17.63M,17.63M,-7.074M,,,,,,,-15.98M,-119.90M,45.55M,7.236M,,-71.57M,,119.40M,,2003-08,-4.866M,,-4.866M,-7.002M,6.05M,-3.914M,,2003-08,,,1.166M,6.48M,,6.48M,,,,6.661M,,538.84M,122.15M,660.99M,,2003-08,6.48M,,,,2003-08,,
2003-05,160.32M,,,,,-7.825M,15.44M,6.54M,21.98M,21.98M,-7.488M,,,,,,,-28.26M,-40.29M,-9.20M,-8.83M,,-275.84M,,-108.86M,,2003-05,-4.857M,,-4.857M,-0.052M,10.43M,-74.21M,,2003-05,,,164.95M,6.208M,,6.208M,,,,169.96M,,551.94M,-13.10M,538.84M,,2003-05,6.208M,,,,2003-05,,
2003-02,106.32M,,,,,-7.838M,14.41M,6.371M,20.78M,20.78M,-7.578M,,,,,,,7.251M,-428.06M,-107.93M,-16.47M,,-131.46M,,-19.78M,,2003-02,-4.066M,,-4.066M,-3.982M,23.57M,-12.67M,,2003-02,,,-193.59M,1.624M,,1.624M,,,,-192.76M,,777.16M,-225.22M,551.94M,,2003-02,1.624M,,,,2003-02,,
2002-11,225.01M,,,,,-24.39M,14.82M,6.469M,21.29M,21.29M,-11.75M,,,,,,,-5.458M,385.24M,98.49M,-16.66M,,166.71M,,376.87M,,2002-11,3.335M,,3.335M,-0.631M,106.98M,75.80M,,2002-11,,,200.81M,2.269M,,2.204M,,,-0.126M,202.08M,,122.41M,654.75M,777.16M,,2002-11,2.269M,,,,2002-11,,
2002-08,142.22M,,,,,-3.035M,12.21M,6.373M,18.58M,18.58M,-10.49M,,,,,,,-56.34M,-322.98M,84.35M,22.85M,,-349.97M,,-202.69M,,2002-08,-1.674M,,-1.674M,-2.538M,-35.56M,-408.91M,,2002-08,,,209.99M,1.463M,,1.463M,,,0.08M,210.73M,,523.27M,-400.87M,122.41M,,2002-08,1.463M,,,,2002-08,,
2002-05,106.01M,,,,,-0.955M,9.796M,6.303M,16.10M,16.10M,5.889M,,,,,,,-9.112M,-149.81M,22.22M,-312.54M,,-195.86M,,-68.82M,,2002-05,-3.789M,,-3.789M,-10.96M,10.78M,-4.382M,,2002-05,,,24.73M,9.641M,,9.641M,,,0.046M,33.62M,,562.86M,-39.59M,523.27M,,2002-05,9.641M,,,,2002-05,,
2002-02,71.89M,,,,,-3.543M,10.21M,6.213M,16.42M,16.42M,10.68M,,,,,,,-30.91M,-154.79M,-105.77M,295.23M,,3.768M,,99.21M,,2002-02,-1.957M,,-1.957M,5.022M,-10.41M,-28.18M,,2002-02,,,-390.60M,5.944M,,5.944M,,,,-385.44M,,877.27M,-314.41M,562.86M,,2002-02,5.944M,,,,2002-02,,
2001-11,162.88M,,,,,-46.96M,12.52M,6.164M,18.68M,18.68M,9.769M,,,,,,,29.04M,281.19M,80.81M,-203.78M,,131.12M,,275.49M,,2001-11,-1.809M,,-1.809M,-0.131M,63.11M,61.17M,,2001-11,,,274.59M,0.856M,,0.856M,,,0.148M,274.78M,,265.83M,611.44M,877.27M,,2001-11,0.856M,,,,2001-11,,
2001-08,106.70M,,,,,38.57M,11.88M,6.058M,17.94M,17.94M,-31.07M,,,,,,,38.57M,-186.72M,86.71M,-2.627M,,-61.96M,,70.18M,,2001-08,-1.358M,-1.619M,-2.977M,-0.045M,-46.06M,-49.08M,,2001-08,,,-30.39M,2.62M,,2.62M,,,1.374M,-27.18M,,271.92M,-6.086M,265.83M,,2001-08,2.62M,,,,2001-08,,
2001-05,97.01M,,,,,-2.434M,23.98M,8.065M,15.65M,15.65M,19.62M,,,,,,,-121.60M,-50.43M,-71.28M,-57.34M,,-246.62M,,-116.78M,,2001-05,-7.153M,1.184M,-5.969M,0.07M,23.34M,17.44M,,2001-05,,,267.01M,9.076M,,9.076M,,,0.014M,275.33M,,95.93M,175.99M,271.92M,,2001-05,9.076M,,,,2001-05,,
2001-02,51.27M,,,,,-4.081M,,,16.40M,16.40M,11.45M,,,,,,,-3.108M,-174.77M,-119.51M,52.64M,,-244.74M,,-169.70M,,2001-02,-2.79M,0.435M,-2.355M,-0.337M,-24.97M,-27.66M,,2001-02,,,-47.63M,7.237M,,7.237M,,,0.574M,-40.59M,,333.88M,-237.95M,95.93M,,2001-02,7.237M,,,,2001-02,,
2000-11,109.48M,,,,,-3.673M,,,16.38M,16.38M,-40.38M,,,,,,,-10.21M,350.10M,171.49M,-88.57M,,422.81M,,504.62M,,2000-11,-2.611M,,2.909M,-0.526M,13.89M,14.60M,,2000-11,,,-278.55M,3.169M,0.00,3.169M,,,-0.034M,-276.18M,,90.83M,243.04M,333.88M,,2000-11,3.169M,,0.00,,2000-11,,
2000-08,61.01M,,,,,-3.173M,,,15.70M,15.70M,9.549M,,,,,,,13.51M,-32.23M,24.12M,23.54M,,46.26M,,129.35M,,2000-08,-3.222M,,-3.222M,0.711M,-25.37M,-27.88M,,2000-08,,,-122.97M,1.096M,0.00,1.096M,,,-0.029M,-122.66M,,112.02M,-21.19M,90.83M,,2000-08,1.096M,,0.00,,2000-08,,
2000-05,36.44M,,,,,-2.265M,,,12.70M,12.70M,11.81M,,,,,,,-3.72M,27.25M,-70.70M,-87.32M,,-151.80M,,-93.11M,,2000-05,-6.115M,,-6.115M,-4.135M,-12.20M,-179.14M,,2000-05,,,335.48M,1.216M,-2.456M,-1.24M,,,0.167M,333.65M,,50.62M,61.40M,112.02M,,2000-05,1.216M,,-2.456M,,2000-05,,
2000-02,22.21M,,,,,-4.229M,,,13.74M,13.74M,1.792M,,,,,,,-11.49M,-121.86M,-23.91M,62.30M,,-94.97M,,-61.46M,,2000-02,-4.074M,,-4.074M,0.784M,8.991M,5.701M,,2000-02,,,139.27M,0.096M,-150.47M,-150.37M,,,-0.059M,-11.79M,,118.17M,-67.55M,50.62M,,2000-02,0.096M,,-150.47M,,2000-02,,
1999-11,59.80M,,,,,-6.90M,,,12.20M,12.20M,23.10M,,,,,,-0.10M,7.90M,157.00M,-44.30M,6.50M,,143.90M,,232.00M,,1999-11,-4.30M,,-4.30M,-0.30M,-5.50M,-10.10M,,1999-11,,,-173.10M,1.30M,,-4.70M,,,-0.40M,-179.00M,,75.40M,42.90M,118.20M,,1999-11,1.30M,,,,1999-11,,
1999-08,45.40M,,,,,-8.10M,,,13.00M,13.00M,-9.00M,,,,,,0.20M,-0.80M,-53.70M,12.90M,-10.30M,,-46.40M,,-4.90M,,1999-08,-3.50M,,-3.50M,23.30M,10.70M,30.50M,,1999-08,,,-13.00M,1.50M,,1.50M,,,0.00,-12.20M,,0.00,13.40M,75.40M,,1999-08,1.50M,,,,1999-08,,
1999-05,39.60M,,,,,-1.40M,,,12.60M,12.60M,12.40M,,,,,,-0.10M,1.80M,-70.90M,7.30M,-21.10M,,-88.70M,,-25.60M,,1999-05,-16.50M,,-16.50M,-26.20M,15.60M,-27.10M,,1999-05,,,12.30M,0.50M,,0.50M,,,0.30M,12.40M,,0.00,-40.30M,0.00,,1999-05,0.50M,,,,1999-05,,
1999-02,27.90M,,,,,-3.10M,,,9.90M,9.90M,1.60M,,,,,,,-0.70M,-109.80M,-17.10M,27.60M,,-116.50M,,-80.20M,,1999-02,-10.80M,,-10.80M,1.70M,-12.70M,-21.80M,,1999-02,,,143.30M,,,,,,,142.60M,,61.60M,40.60M,0.00,,1999-02,,,,,1999-02,,
1998-11,67.20M,,,,,-19.80M,,,10.90M,10.90M,1.50M,,,,,,0.20M,0.90M,98.80M,64.50M,-75.40M,,108.90M,,168.90M,,1998-11,-4.50M,,-4.40M,1.30M,14.50M,11.40M,,1998-11,,,-203.70M,0.40M,,0.40M,,,,-204.00M,,0.00,-23.70M,0.00,,1998-11,0.40M,,,,1998-11,,
1998-08,35.10M,,,,,-1.90M,,,5.60M,5.60M,1.40M,,,,,,-0.10M,-15.70M,-93.10M,63.50M,7.00M,,-29.60M,,10.50M,,1998-08,-131.20M,,-131.20M,18.10M,-21.10M,-134.20M,,1998-08,,,129.70M,20.40M,,20.40M,,,,149.40M,,0.00,25.70M,0.00,,1998-08,20.40M,,,,1998-08,,
1998-05,25.60M,,,,,-3.50M,,,2.90M,2.90M,6.60M,,,,,,-0.10M,7.50M,-53.30M,7.00M,-43.60M,,-87.30M,,-55.80M,,1998-05,-17.40M,,-17.40M,-0.50M,0.70M,-17.20M,,1998-05,,,44.70M,17.70M,,17.70M,,,,61.80M,,0.00,-11.20M,0.00,,1998-05,17.70M,,,,1998-05,,
