,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-12,,1.456B,,1.456B,16.35B,,16.35B,850.00M,,3.373B,4.223B,2.702B,,,,24.74B,,125.36B,-36.36B,89.00B,29.34B,896.00M,30.23B,,,,,33.79B,153.02B,177.76B,17.86B,,17.86B,6.703B,24.56B,,1.398B,1.398B,920.00M,26.88B,,20.29B,,20.29B,21.02B,21.02B,,,1.173B,,19.41B,60.72B,87.60B,17.00M,50.51B,42.72B,8.70B,,,-465.00M,4.897B,4.432B,88.98B
2007-09,,1.379B,,1.379B,13.78B,,13.78B,812.00M,,4.50B,5.312B,3.17B,,,,23.64B,,121.68B,-34.27B,87.41B,29.37B,899.00M,30.27B,,,,,32.11B,149.79B,173.43B,16.26B,,16.26B,6.676B,22.93B,405.00M,405.00M,405.00M,740.00M,24.08B,,21.47B,,21.47B,20.92B,20.92B,,,1.18B,,18.84B,61.24B,85.31B,17.00M,46.79B,42.55B,6.225B,,,4.554B,-757.00M,3.797B,86.93B
2007-06,,1.411B,,1.411B,14.29B,,14.29B,775.00M,,4.47B,5.245B,3.435B,,,,24.38B,,116.71B,-31.42B,85.30B,29.60B,907.00M,30.50B,,,,,30.69B,146.49B,170.87B,16.13B,,16.13B,6.006B,22.14B,1.109B,1.109B,1.109B,669.00M,23.92B,,21.70B,,21.70B,20.58B,20.58B,,,1.18B,,18.56B,60.84B,84.76B,17.00M,43.78B,42.38B,3.715B,,,3.234B,-773.00M,2.461B,84.93B
2007-03,,860.00M,,860.00M,13.90B,,13.90B,764.00M,,4.921B,5.685B,4.296B,,,,24.74B,,111.75B,-27.85B,83.90B,31.53B,919.00M,32.45B,,,,,32.11B,148.47B,173.21B,16.76B,,16.76B,7.932B,24.69B,1.707B,1.707B,1.707B,628.00M,27.02B,,21.96B,,21.96B,20.05B,20.05B,,,1.201B,,18.19B,60.20B,87.23B,17.00M,44.15B,42.05B,2.731B,,,2.089B,-795.00M,1.294B,84.78B
2006-12,,817.00M,,817.00M,14.11B,,14.11B,802.00M,,4.351B,5.153B,4.99B,,,,25.07B,,113.27B,-27.07B,86.20B,31.49B,951.00M,32.44B,,,,,21.08B,139.72B,164.78B,14.63B,,14.63B,6.859B,21.49B,4.043B,4.043B,4.043B,895.00M,26.43B,,23.09B,,23.09B,20.07B,20.07B,,,1.202B,,11.34B,54.50B,80.93B,17.00M,41.29B,41.93B,1.73B,,,1.958B,-817.00M,1.141B,82.65B
2006-09,,696.00M,,696.00M,13.04B,,13.04B,782.00M,5.416B,,6.198B,4.661B,,,,24.60B,,112.12B,-26.00B,86.13B,31.93B,1.093B,33.02B,,,,,19.97B,139.12B,163.72B,14.05B,,14.05B,8.089B,22.14B,4.03B,4.03B,4.03B,1.184B,27.35B,,23.78B,,23.78B,20.50B,20.50B,,,1.221B,,10.40B,54.67B,82.03B,17.00M,38.68B,41.70B,1.49B,,,1.851B,-282.00M,1.569B,80.48B
2006-06,,654.00M,,654.00M,12.54B,,12.54B,745.00M,,5.69B,6.435B,2.106B,,,,21.74B,,113.22B,-25.30B,87.92B,32.12B,1.175B,33.30B,,,,,18.96B,140.18B,161.92B,14.52B,,14.52B,6.809B,21.33B,4.571B,4.571B,4.571B,1.123B,27.02B,,24.94B,,24.94B,20.42B,20.42B,,,1.246B,,10.91B,56.27B,83.29B,17.00M,35.40B,41.60B,1.24B,,,,,1.601B,77.38B
2006-03,,3.008B,,3.008B,12.76B,,12.76B,742.00M,,4.765B,5.507B,1.665B,,,,22.94B,,108.94B,-22.98B,85.96B,32.23B,1.125B,33.36B,,,,,17.40B,136.72B,159.65B,14.00B,,14.00B,7.785B,21.78B,6.127B,6.127B,6.127B,1.114B,29.02B,,26.07B,,26.07B,20.42B,20.42B,,,1.237B,,10.71B,57.20B,86.22B,17.00M,30.81B,41.37B,,,,,,-8.00M,72.19B
2005-12,,2.214B,,2.214B,11.94B,,11.94B,541.00M,,3.183B,3.724B,1.734B,,,,19.61B,,76.33B,-21.66B,54.67B,,16.44B,16.44B,,,,,16.28B,87.39B,107.00B,12.27B,,12.27B,6.122B,18.39B,1.758B,1.758B,1.758B,1.212B,21.36B,,10.76B,,10.76B,11.44B,11.44B,,,1.209B,,9.503B,31.70B,53.06B,14.00M,28.02B,26.75B,1.924B,,,,,-131.00M,52.73B
2005-09,,2.803B,,2.803B,10.41B,,10.41B,566.00M,,4.272B,4.838B,2.413B,,,144.00M,20.60B,,73.18B,-20.70B,52.48B,,15.97B,15.97B,,,,,15.32B,83.77B,104.37B,11.90B,,11.90B,4.176B,16.07B,1.125B,1.125B,1.125B,4.20B,21.40B,,12.37B,,12.37B,10.93B,10.93B,,,1.232B,,8.598B,31.90B,53.30B,14.00M,24.34B,26.71B,1.963B,,,,,738.00M,49.84B
2005-06,,1.541B,,1.541B,9.01B,,9.01B,565.00M,,4.305B,4.87B,1.159B,,,167.00M,16.75B,,71.44B,-19.71B,51.73B,,15.99B,15.99B,,,,,13.00B,80.72B,97.47B,10.50B,,10.50B,4.252B,14.75B,354.00M,354.00M,354.00M,1.224B,16.33B,,13.66B,,13.66B,10.61B,10.61B,,,1.212B,,8.356B,32.63B,48.96B,14.00M,21.40B,26.55B,576.00M,,,,,-87.00M,47.30B
2005-03,,2.421B,,2.421B,9.816B,,9.816B,535.00M,,4.007B,4.542B,1.128B,,,176.00M,18.08B,,70.05B,-19.00B,51.05B,,15.98B,15.98B,,,,,11.78B,78.81B,96.89B,11.03B,,11.03B,5.824B,16.86B,114.00M,114.00M,114.00M,999.00M,17.97B,,13.90B,,13.90B,10.28B,10.28B,,,1.174B,,8.533B,32.72B,50.68B,7.00M,18.69B,26.35B,226.00M,,,,,211.00M,45.03B
2004-12,,1.387B,,1.387B,8.788B,,8.788B,519.00M,,3.147B,3.666B,986.00M,,,194.00M,15.02B,,69.15B,-18.25B,50.90B,,16.09B,16.09B,,,,,10.85B,77.84B,92.86B,9.131B,,9.131B,4.505B,13.64B,632.00M,632.00M,632.00M,1.318B,15.59B,,14.37B,,14.37B,10.38B,10.38B,,,1.105B,,8.692B,33.45B,49.03B,14.00M,16.13B,26.05B,816.00M,,,,,1.35B,42.72B
2004-09,,3.263B,,3.263B,6.973B,,6.973B,480.00M,,3.854B,4.334B,1.094B,,,329.00M,15.99B,,65.87B,-17.17B,48.70B,,16.18B,16.18B,,,,,7.944B,72.82B,88.82B,8.277B,,8.277B,5.649B,13.93B,1.079B,1.079B,1.079B,163.00M,15.17B,,14.41B,,14.41B,9.805B,9.805B,,,1.036B,,8.635B,32.85B,48.02B,7.00M,14.05B,25.82B,837.00M,,,,,727.00M,39.77B
2004-06,,804.00M,,804.00M,7.073B,,7.073B,494.00M,,4.171B,4.665B,867.00M,,,369.00M,13.78B,,59.37B,-11.53B,47.84B,,16.19B,16.19B,,,,,7.721B,71.76B,85.53B,7.90B,,7.90B,5.198B,13.10B,1.241B,1.241B,1.241B,183.00M,14.52B,,14.38B,,14.38B,9.226B,9.226B,,,1.048B,,8.534B,32.14B,46.66B,7.00M,12.34B,25.73B,,,,,,-248.00M,37.83B
2004-03,,659.00M,,659.00M,6.392B,,6.392B,,,,4.36B,733.00M,,,776.00M,12.92B,,59.23B,-11.53B,47.70B,,16.20B,16.20B,,,,,7.608B,71.51B,84.43B,7.536B,,7.536B,5.543B,13.08B,1.441B,1.441B,1.441B,182.00M,14.70B,,15.67B,,15.67B,8.911B,8.911B,,,946.00M,,8.382B,32.96B,47.66B,7.00M,10.56B,25.59B,,,,,,-330.00M,35.82B
2003-12,,490.00M,,490.00M,5.005B,,5.005B,490.00M,,3.467B,3.957B,876.00M,,,864.00M,11.19B,,58.96B,-11.53B,47.43B,,16.17B,16.17B,,,,,7.666B,71.26B,82.46B,6.598B,,6.598B,5.493B,12.09B,1.44B,1.44B,1.44B,480.00M,14.01B,,16.34B,,16.34B,8.565B,8.565B,,,842.00M,,8.331B,33.24B,47.25B,7.00M,9.234B,25.36B,,,,,,-236.00M,34.37B
2003-09,,483.00M,,483.00M,4.673B,,4.673B,470.00M,,3.604B,4.074B,593.00M,,,1.94B,11.76B,,60.40B,-14.12B,46.28B,,16.28B,16.28B,,,,,7.631B,70.19B,81.95B,6.794B,,6.794B,5.22B,12.01B,2.404B,2.404B,2.404B,358.00M,14.78B,,16.34B,,16.34B,8.624B,8.624B,,,801.00M,,8.443B,33.41B,48.19B,7.00M,8.504B,25.27B,,,,,,-820.00M,32.96B
2003-06,,524.00M,,524.00M,4.675B,,4.675B,485.00M,,3.678B,4.163B,657.00M,,,1.562B,11.58B,,58.92B,-13.66B,45.26B,,16.32B,16.32B,,,,,7.565B,69.15B,80.73B,6.513B,,6.513B,5.941B,12.45B,1.544B,1.544B,1.544B,610.00M,14.61B,,16.02B,,16.02B,8.778B,8.778B,,,723.00M,350.00M,8.213B,33.37B,47.97B,7.00M,7.67B,25.24B,,,,,,-887.00M,32.03B
2003-03,,423.00M,,423.00M,5.981B,,5.981B,463.00M,,3.525B,3.988B,664.00M,,,1.629B,12.68B,,56.67B,-12.38B,44.28B,,15.73B,15.73B,,,,,7.418B,67.43B,80.12B,7.305B,,7.305B,6.398B,13.70B,844.00M,844.00M,844.00M,518.00M,15.06B,,17.40B,,17.40B,8.55B,8.55B,,,648.00M,350.00M,7.184B,33.48B,48.54B,7.00M,6.824B,25.20B,,,,,,-1.111B,30.92B
2002-12,,307.00M,,307.00M,4.38B,,4.38B,450.00M,,3.395B,3.845B,766.00M,,,1.605B,10.90B,,54.56B,-11.53B,43.03B,,15.56B,15.56B,,,,,7.34B,65.93B,76.84B,5.949B,,5.949B,5.066B,11.02B,849.00M,849.00M,849.00M,952.00M,12.82B,,18.92B,,18.92B,8.361B,8.361B,,,651.00M,350.00M,6.224B,33.85B,46.67B,7.00M,5.621B,25.18B,,,,,,-1.289B,29.52B
2002-09,,517.00M,,517.00M,4.135B,,4.135B,431.00M,,3.932B,4.363B,871.00M,,,781.00M,10.67B,,54.19B,-10.81B,43.38B,,16.27B,16.27B,,,,,7.168B,66.82B,77.48B,6.316B,,6.316B,4.81B,11.13B,2.603B,2.603B,2.603B,227.00M,13.96B,,17.85B,,17.85B,8.252B,8.252B,,,651.00M,350.00M,6.434B,32.89B,46.84B,7.00M,6.319B,25.23B,923.00M,,,,,-640.00M,29.99B
2002-06,,145.00M,,145.00M,1.939B,,1.939B,243.00M,,2.337B,2.58B,299.00M,,96.00M,,5.059B,,35.58B,-11.18B,24.40B,,3.63B,3.63B,,,,8.00M,3.727B,31.76B,36.82B,3.214B,,3.214B,1.632B,4.846B,1.059B,1.059B,1.059B,,5.905B,,8.576B,,8.576B,4.205B,4.205B,,,,350.00M,3.331B,16.46B,22.37B,538.00M,7.138B,9.156B,1.929B,,,,,-447.00M,14.46B
2002-03,,170.00M,,170.00M,1.696B,,1.696B,228.00M,,2.291B,2.519B,210.00M,,34.00M,,4.629B,,35.50B,-11.63B,23.87B,,3.66B,3.66B,,,,15.00M,3.499B,31.04B,35.67B,3.00B,,3.00B,1.777B,4.777B,481.00M,481.00M,481.00M,,5.258B,,8.421B,,8.421B,3.92B,3.92B,,,,650.00M,3.311B,16.30B,21.56B,538.00M,6.931B,9.109B,1.952B,,,,,-515.00M,14.11B
2001-12,,142.00M,,142.00M,1.229B,,1.229B,221.00M,,2.231B,2.452B,293.00M,,,2.382B,6.498B,,33.09B,-10.96B,22.13B,,3.142B,3.142B,,,,,3.444B,28.72B,35.22B,2.531B,,2.531B,1.617B,4.148B,44.00M,44.00M,44.00M,629.00M,4.821B,,8.61B,,8.61B,4.015B,4.015B,,,5.00M,650.00M,2.776B,16.05B,20.87B,538.00M,7.197B,9.069B,1.972B,,,,,-492.00M,14.34B
2001-09,,199.00M,,199.00M,1.568B,,1.568B,214.00M,,2.403B,2.617B,319.00M,,85.00M,,4.788B,,33.61B,-10.17B,23.44B,2.366B,1.313B,3.679B,,,,7.00M,3.433B,30.56B,35.35B,3.417B,,3.417B,2.245B,5.662B,43.00M,43.00M,43.00M,,5.705B,,7.838B,,7.838B,4.027B,4.027B,,,,650.00M,2.708B,15.22B,20.93B,538.00M,7.21B,9.066B,2.039B,,,-112.00M,-241.00M,-353.00M,14.42B
2001-06,,87.00M,,87.00M,1.208B,,1.208B,139.00M,,394.00M,533.00M,215.00M,,159.00M,,2.202B,,25.06B,-9.932B,15.12B,,,,,,,7.00M,3.421B,18.55B,20.75B,1.624B,,1.624B,1.152B,2.776B,4.00M,4.00M,4.00M,,2.78B,,6.268B,,6.268B,2.144B,2.144B,,,,650.00M,1.86B,10.92B,13.70B,383.00M,6.928B,2.186B,2.065B,,,-136.00M,-244.00M,-380.00M,7.052B
2001-03,,143.00M,,143.00M,1.316B,,1.316B,132.00M,,398.00M,530.00M,166.00M,,160.00M,,2.315B,,24.88B,-9.78B,15.10B,,,,,,,5.00M,3.238B,18.34B,20.66B,1.783B,,1.783B,1.46B,3.243B,262.00M,262.00M,262.00M,,3.505B,,6.143B,,6.143B,2.013B,2.013B,,,,650.00M,1.853B,10.66B,14.16B,383.00M,6.407B,2.17B,2.086B,,,-123.00M,-255.00M,-378.00M,6.496B
2000-12,,149.00M,,149.00M,1.779B,,1.779B,129.00M,,228.00M,357.00M,130.00M,,191.00M,,2.606B,,24.38B,-9.599B,14.78B,,,,,,,,3.119B,17.90B,20.51B,1.914B,,1.914B,1.316B,3.23B,262.00M,262.00M,262.00M,,3.492B,,6.622B,,6.622B,1.894B,1.894B,,,,650.00M,1.758B,10.92B,14.42B,383.00M,6.019B,2.153B,2.099B,,,-106.00M,-257.00M,-363.00M,6.093B
2000-09,,88.00M,,88.00M,1.567B,,1.567B,127.00M,,312.00M,439.00M,165.00M,,195.00M,,2.454B,,24.43B,-9.386B,15.04B,,,,,,,2.00M,3.084B,18.13B,20.58B,1.754B,,1.754B,1.353B,3.107B,410.00M,410.00M,410.00M,,3.517B,,7.509B,,7.509B,1.677B,1.677B,,,,650.00M,1.791B,11.63B,15.14B,383.00M,5.368B,2.147B,2.102B,,,-97.00M,-263.00M,-360.00M,5.436B
2000-06,,235.00M,,235.00M,1.847B,,1.847B,147.00M,,605.00M,752.00M,234.00M,,123.00M,,3.191B,,26.14B,-10.50B,15.65B,,,,,,,75.00M,1.35B,17.07B,20.26B,1.847B,,1.847B,1.137B,2.984B,808.00M,808.00M,808.00M,,3.792B,,7.319B,,7.319B,1.549B,1.549B,,,,650.00M,1.873B,11.39B,15.18B,383.00M,5.058B,2.122B,2.134B,,,-79.00M,-269.00M,-348.00M,5.081B
2000-03,,131.00M,,131.00M,1.637B,,1.637B,86.00M,,484.00M,570.00M,171.00M,,129.00M,,2.638B,,20.41B,-10.42B,9.995B,,,,,,,83.00M,2.346B,12.42B,15.06B,1.681B,,1.681B,840.00M,2.521B,80.00M,80.00M,80.00M,,2.601B,,3.889B,,3.889B,1.474B,1.474B,,,,650.00M,1.743B,7.756B,10.36B,384.00M,4.717B,2.104B,2.168B,,,-58.00M,-274.00M,-332.00M,4.705B
1999-12,,138.00M,,138.00M,1.808B,,1.808B,85.00M,,430.00M,515.00M,169.00M,,143.00M,,2.773B,,22.73B,-11.64B,11.09B,,,,,,,83.00M,1.259B,12.43B,15.20B,1.668B,,1.668B,821.00M,2.489B,31.00M,31.00M,31.00M,,2.52B,,4.271B,,4.271B,1.48B,1.48B,,,,650.00M,1.731B,8.132B,10.65B,383.00M,4.563B,2.098B,2.178B,,,-38.00M,-279.00M,-317.00M,4.549B
1999-09,,180.00M,,180.00M,1.748B,,1.748B,90.00M,,485.00M,575.00M,103.00M,,173.00M,,2.779B,,22.76B,-11.66B,11.10B,,,,,,,80.00M,1.231B,12.41B,15.19B,1.697B,,1.697B,847.00M,2.544B,46.00M,46.00M,46.00M,,2.59B,,4.443B,,4.443B,1.448B,1.448B,,,,650.00M,1.675B,8.216B,10.81B,383.00M,4.403B,2.089B,2.185B,,,-25.00M,-280.00M,-305.00M,4.385B
1999-06,,147.00M,,147.00M,1.507B,,1.507B,87.00M,,459.00M,546.00M,136.00M,,159.00M,,2.495B,,23.19B,-12.23B,10.96B,,,,,,,83.00M,1.223B,12.27B,14.76B,1.379B,,1.379B,692.00M,2.071B,76.00M,76.00M,76.00M,,2.147B,,4.628B,,4.628B,1.324B,1.324B,,,,650.00M,1.793B,8.395B,10.54B,383.00M,4.274B,2.085B,2.191B,,,-45.00M,-283.00M,-328.00M,4.223B
1999-03,,209.00M,,209.00M,1.355B,,1.355B,91.00M,,448.00M,539.00M,255.00M,,198.00M,,2.556B,,22.87B,-12.26B,10.61B,,,,,,,103.00M,1.191B,11.90B,14.46B,1.349B,,1.349B,589.00M,1.938B,117.00M,117.00M,117.00M,,2.055B,,4.49B,,4.49B,1.301B,1.301B,,,,650.00M,1.759B,8.20B,10.26B,383.00M,4.319B,2.062B,2.235B,,,-34.00M,-290.00M,-324.00M,4.205B
1998-12,,97.00M,,97.00M,1.282B,,1.282B,89.00M,,451.00M,540.00M,224.00M,,217.00M,,2.36B,,22.87B,-12.28B,10.58B,,,,,,,100.00M,1.171B,11.86B,14.22B,1.34B,,1.34B,625.00M,1.965B,167.00M,167.00M,167.00M,,2.132B,,4.106B,,4.106B,1.317B,1.317B,,,,650.00M,1.792B,7.865B,9.997B,383.00M,4.343B,2.055B,2.246B,,,-22.00M,-294.00M,-316.00M,4.219B
1998-09,,127.00M,,127.00M,1.374B,,1.374B,99.00M,,500.00M,599.00M,129.00M,,136.00M,,2.365B,,22.86B,-12.00B,10.86B,,,,,,,90.00M,1.152B,12.10B,14.46B,1.553B,,1.553B,749.00M,2.302B,124.00M,124.00M,124.00M,,2.426B,,3.495B,,3.495B,1.403B,1.403B,,,,650.00M,1.849B,7.397B,9.823B,383.00M,4.646B,2.051B,2.126B,,,-10.00M,-305.00M,-315.00M,4.639B
1998-06,,130.00M,,130.00M,1.427B,,1.427B,98.00M,,513.00M,611.00M,131.00M,,129.00M,,2.428B,,22.07B,-11.76B,10.31B,,,,,,,88.00M,1.128B,11.52B,13.95B,1.475B,,1.475B,612.00M,2.087B,106.00M,106.00M,106.00M,,2.193B,,3.024B,,3.024B,1.351B,1.351B,,,,650.00M,1.894B,6.919B,9.112B,383.00M,4.69B,2.049B,1.935B,,,-23.00M,-323.00M,-346.00M,4.841B
