,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-09,2.011B,,-76.00M,,,938.00M,938.00M,328.00M,,,-55.00M,170.00M,337.00M,-131.00M,329.00M,,562.00M,1.267B,,4.413B,-1.594B,73.00M,-1.521B,,,41.00M,-1.48B,,-221.00M,62.00M,,62.00M,,-296.00M,-66.00M,-521.00M,804.00M,2.357B,47.00M,3.263B,-55.00M,62.00M,,,
2004-06,2.013B,,128.00M,,,912.00M,912.00M,310.00M,,,14.00M,-605.00M,-309.00M,-91.00M,351.00M,,-447.00M,-1.101B,,2.276B,-1.584B,905.00M,-679.00M,,,9.00M,-672.00M,,-1.473B,207.00M,,207.00M,,-296.00M,94.00M,-1.468B,659.00M,151.00M,8.00M,804.00M,15.00M,207.00M,,,
2004-03,1.603B,,-39.00M,,,918.00M,918.00M,360.00M,,,8.00M,-1.389B,-401.00M,135.00M,694.00M,,184.00M,-777.00M,,2.073B,-1.481B,449.00M,-1.032B,,,-44.00M,-1.078B,,-610.00M,,,,,-294.00M,89.00M,-815.00M,490.00M,189.00M,-12.00M,659.00M,9.00M,,,,
2003-12,986.00M,,130.00M,,,911.00M,911.00M,68.00M,,,8.00M,-177.00M,196.00M,-393.00M,31.00M,,228.00M,-115.00M,,1.988B,-1.784B,1.155B,-629.00M,,,21.00M,-962.00M,,-1.019B,55.00M,,55.00M,,-292.00M,36.00M,-1.22B,483.00M,-9.00M,24.00M,490.00M,185.00M,55.00M,,,
2003-09,1.248B,,-197.00M,,,858.00M,858.00M,80.00M,,,61.00M,-43.00M,63.00M,167.00M,158.00M,,-293.00M,52.00M,,2.102B,-1.52B,913.00M,-607.00M,,,38.00M,-625.00M,,-1.514B,20.00M,,20.00M,,-272.00M,64.00M,-1.702B,750.00M,-136.00M,-70.00M,483.00M,89.00M,20.00M,,,
2003-06,1.096B,,47.00M,,,857.00M,857.00M,10.00M,,,120.00M,1.584B,-143.00M,94.00M,-815.00M,,-704.00M,16.00M,,2.146B,-1.557B,466.00M,-1.091B,,,-8.00M,-1.135B,,-709.00M,14.00M,,14.00M,,-272.00M,19.00M,-948.00M,643.00M,214.00M,13.00M,750.00M,151.00M,14.00M,,,
2003-03,1.263B,,119.00M,,,859.00M,859.00M,243.00M,,,,-1.553B,-140.00M,27.00M,971.00M,,1.331B,636.00M,,3.12B,-1.308B,125.00M,-1.183B,,,197.00M,-1.012B,,-1.569B,19.00M,,19.00M,,-271.00M,-8.00M,-1.829B,307.00M,279.00M,57.00M,643.00M,,19.00M,,,
2002-12,558.00M,,223.00M,,,884.00M,884.00M,97.00M,,,84.00M,-345.00M,374.00M,27.00M,96.00M,,-6.00M,146.00M,,1.992B,-1.909B,715.00M,-1.194B,,,-1.253B,-1.373B,,-587.00M,7.00M,0.00,7.00M,,-271.00M,-22.00M,-873.00M,517.00M,-117.00M,,307.00M,137.00M,7.00M,,,0.00
2002-09,-74.00M,,338.00M,,,548.00M,548.00M,-20.00M,,,-52.00M,535.00M,-220.00M,-50.00M,244.00M,,628.00M,1.137B,,1.877B,-960.00M,19.00M,-941.00M,,,1.159B,174.00M,,-1.432B,4.00M,1.00M,5.00M,,-138.00M,-136.00M,-1.701B,145.00M,440.00M,,517.00M,90.00M,4.00M,,,1.00M
2002-06,312.00M,,-91.00M,,,385.00M,385.00M,146.00M,,,163.00M,-222.00M,-52.00M,-69.00M,234.00M,,-276.00M,-385.00M,,530.00M,-874.00M,36.00M,-838.00M,,,14.00M,-848.00M,,725.00M,8.00M,-301.00M,-293.00M,,-137.00M,-14.00M,281.00M,170.00M,18.00M,,145.00M,55.00M,8.00M,,,-301.00M
2002-03,-98.00M,,261.00M,,,406.00M,406.00M,-81.00M,,,7.00M,-391.00M,98.00M,55.00M,214.00M,,108.00M,84.00M,,579.00M,-645.00M,45.00M,-600.00M,,,-12.00M,-636.00M,,204.00M,25.00M,,25.00M,,-138.00M,-18.00M,73.00M,142.00M,35.00M,,170.00M,19.00M,25.00M,,,
2001-12,128.00M,,-1.00M,-948.00M,-7.00M,389.00M,389.00M,152.00M,,,21.00M,277.00M,-12.00M,77.00M,-650.00M,,-169.00M,-477.00M,,212.00M,-927.00M,29.00M,-898.00M,22.00M,,-3.00M,-1.005B,,799.00M,31.00M,,31.00M,,-137.00M,-23.00M,670.00M,199.00M,-39.00M,,142.00M,84.00M,31.00M,,,
2001-09,338.00M,,231.00M,948.00M,7.00M,304.00M,304.00M,99.00M,,,63.00M,391.00M,-105.00M,38.00M,-111.00M,,151.00M,364.00M,,1.399B,-675.00M,-7.00M,-682.00M,50.00M,,-1.00M,-643.00M,,-545.00M,9.00M,,9.00M,,-92.00M,-21.00M,-649.00M,87.00M,124.00M,,199.00M,17.00M,9.00M,,,
2001-06,645.00M,,39.00M,,,329.00M,329.00M,142.00M,,,-51.00M,98.00M,3.00M,-43.00M,-155.00M,,-314.00M,-411.00M,,693.00M,-758.00M,228.00M,-530.00M,13.00M,,-7.00M,-524.00M,,-137.00M,7.00M,,7.00M,,-87.00M,-8.00M,-225.00M,143.00M,-56.00M,,87.00M,,7.00M,,,
2001-03,490.00M,,1.00M,,,322.00M,322.00M,120.00M,,,,417.00M,-175.00M,-22.00M,-88.00M,,190.00M,322.00M,,1.255B,-656.00M,12.00M,-644.00M,-5.00M,,-17.00M,-666.00M,,-496.00M,4.00M,,4.00M,,-87.00M,-16.00M,-595.00M,149.00M,-6.00M,,143.00M,,4.00M,,,
2000-12,730.00M,,-24.00M,,,321.00M,321.00M,149.00M,,,,-209.00M,75.00M,5.00M,270.00M,,-50.00M,91.00M,,1.297B,-647.00M,-1.307B,-1.954B,-68.00M,,2.058B,26.00M,,-1.147B,4.00M,,4.00M,,-87.00M,-37.00M,-1.267B,88.00M,91.00M,,149.00M,,4.00M,,,
2000-09,426.00M,,-30.00M,,,316.00M,316.00M,169.00M,,,,-193.00M,-4.00M,109.00M,155.00M,,183.00M,250.00M,,1.131B,-653.00M,898.00M,245.00M,-792.00M,,-163.00M,-710.00M,,-473.00M,15.00M,,15.00M,,-86.00M,-24.00M,-568.00M,235.00M,-147.00M,,88.00M,,15.00M,,,
2000-06,442.00M,,-10.00M,,,298.00M,298.00M,70.00M,,,,-74.00M,-25.00M,-25.00M,-93.00M,,233.00M,16.00M,,816.00M,-418.00M,1.252B,834.00M,-5.583B,,0.00,-4.749B,,4.146B,10.00M,,10.00M,,-87.00M,-32.00M,4.037B,131.00M,104.00M,,235.00M,,10.00M,,,
2000-03,250.00M,,84.00M,,,234.00M,234.00M,24.00M,,,,83.00M,-58.00M,-5.00M,85.00M,,73.00M,178.00M,,770.00M,-299.00M,7.00M,-292.00M,,,-42.00M,-334.00M,,-334.00M,2.00M,,2.00M,,-86.00M,-25.00M,-443.00M,138.00M,-7.00M,,131.00M,,2.00M,,,
1999-12,250.00M,,85.00M,,,231.00M,231.00M,46.00M,,,,-77.00M,57.00M,-44.00M,-12.00M,,10.00M,-66.00M,,546.00M,-339.00M,50.00M,-289.00M,,,-11.00M,-300.00M,,-189.00M,2.00M,0.00,2.00M,,-86.00M,-15.00M,-288.00M,180.00M,-42.00M,,138.00M,,2.00M,,,0.00
1999-09,221.00M,,-110.00M,,,229.00M,229.00M,105.00M,,,,-225.00M,-25.00M,37.00M,332.00M,,143.00M,262.00M,,707.00M,-366.00M,43.00M,-323.00M,,,0.00,-323.00M,,-240.00M,4.00M,0.00,4.00M,,-86.00M,-29.00M,-351.00M,147.00M,33.00M,,180.00M,,4.00M,,,0.00
1999-06,68.00M,,105.00M,,,222.00M,222.00M,5.00M,,,,-162.00M,-12.00M,119.00M,32.00M,,142.00M,119.00M,,519.00M,-617.00M,28.00M,-589.00M,,,-4.00M,-593.00M,,95.00M,15.00M,-1.00M,14.00M,,-86.00M,-11.00M,12.00M,209.00M,-62.00M,,147.00M,,15.00M,,,-1.00M
1999-03,70.00M,,-1.00M,,,220.00M,220.00M,4.00M,,,,-81.00M,-4.00M,-24.00M,-9.00M,,-6.00M,-124.00M,,169.00M,-368.00M,104.00M,-264.00M,,,-2.00M,-266.00M,,335.00M,3.00M,-12.00M,-9.00M,,-86.00M,-31.00M,209.00M,97.00M,112.00M,,209.00M,,3.00M,,,-12.00M
1998-12,-210.00M,,348.00M,,,146.00M,146.00M,-55.00M,,,,93.00M,61.00M,11.00M,-215.00M,,-225.00M,-275.00M,,-46.00M,-478.00M,50.00M,-428.00M,,,-7.00M,-435.00M,,655.00M,2.00M,-106.00M,-104.00M,,-87.00M,-13.00M,451.00M,127.00M,-30.00M,,97.00M,,2.00M,,,-106.00M
1998-09,46.00M,,-66.00M,,,270.00M,270.00M,31.00M,,,,76.00M,15.00M,0.00,66.00M,,129.00M,286.00M,,567.00M,-732.00M,12.00M,-720.00M,,,-3.00M,-723.00M,,474.00M,1.00M,-202.00M,-201.00M,,-88.00M,-32.00M,153.00M,130.00M,-3.00M,,127.00M,,1.00M,,,-202.00M
1998-06,158.00M,,-4.00M,,,252.00M,252.00M,57.00M,,,,133.00M,-84.00M,34.00M,36.00M,,-114.00M,5.00M,,468.00M,-426.00M,12.00M,-414.00M,,,-2.00M,-416.00M,,95.00M,3.00M,-109.00M,-106.00M,,-89.00M,-16.00M,-116.00M,194.00M,-64.00M,,130.00M,,3.00M,,,-109.00M
