,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,23.79B,27.07B,19.46B,7.61B,447.00M,-16.00M,274.00M,,,,1.58B,6.03B,,,33.00M,,2.569B,1.306B,1.263B,53.00M,-95.00M,-7.00M,1.221B,1.273B,6.889B,859.00M,6.03B,0.93,0.04,0.0,,0.9371,0.9,0.925,0.04,-0.0699,,0.932,0.895,1.359B,1.365B,0.2
2002-12,20.25B,26.67B,16.82B,9.846B,961.00M,-92.00M,220.00M,,,,2.065B,7.781B,,,31.00M,,1.121B,563.00M,558.00M,-986.00M,,,-428.00M,613.20M,8.665B,884.00M,7.781B,0.555,-1.02,,,0.5956,-0.465,0.55,-1.02,,,0.5906,-0.465,1.359B,1.359B,0.2
2002-09,13.00B,13.17B,11.11B,2.064B,880.00M,63.00M,173.00M,,,,1.601B,463.00M,,,152.00M,,312.00M,386.00M,-74.00M,-42.00M,,,-116.00M,-111.80M,1.011B,548.00M,463.00M,-0.075,-0.045,,,-0.1143,-0.12,-0.075,-0.045,,,-0.114,-0.12,961.40M,969.40M,0.18
2002-06,9.595B,10.46B,8.103B,2.362B,207.00M,6.00M,158.00M,,,,760.00M,1.602B,,,35.00M,,657.00M,345.00M,312.00M,39.00M,,,351.00M,308.40M,1.997B,385.00M,1.602B,0.405,0.05,,,0.4003,0.455,0.405,0.05,,,0.4003,0.455,767.83M,773.42M,0.18
2002-03,7.667B,8.48B,6.719B,1.761B,264.00M,23.00M,150.00M,,,,820.00M,941.00M,,,43.00M,,51.00M,149.00M,-98.00M,-4.00M,,,-102.00M,-111.80M,1.347B,406.00M,941.00M,-0.13,-0.005,,,-0.148,-0.135,-0.13,-0.005,,,-0.148,-0.135,764.67M,764.67M,0.18
2001-12,9.937B,9.912B,6.355B,3.557B,432.00M,52.00M,2.303B,,,,3.124B,433.00M,,,-13.00M,,312.00M,184.00M,128.00M,24.00M,0.00,,162.00M,96.80M,822.00M,389.00M,433.00M,-0.05,0.04,0.0,,-0.0908,-0.015,-0.05,0.04,-0.0054,,-0.0905,-0.015,764.85M,770.20M,0.18
2001-09,5.428B,5.439B,3.997B,1.442B,203.00M,24.00M,134.00M,,,,639.00M,803.00M,,,9.00M,,713.00M,344.00M,369.00M,5.00M,,,364.00M,354.60M,1.107B,304.00M,803.00M,0.665,0.01,,-0.018,0.6391,0.655,0.66,0.01,,-0.018,0.6343,0.65,555.64M,559.53M,0.18
2001-06,4.849B,5.428B,3.005B,2.423B,151.00M,-33.00M,150.00M,,,,630.00M,1.793B,,,61.00M,,1.207B,588.00M,619.00M,,,,619.00M,638.80M,2.122B,329.00M,1.793B,1.21,0.0,,,1.249,1.21,1.2,0.0,,,1.238,1.2,511.62M,515.36M,0.17
2001-03,4.868B,4.904B,3.146B,1.758B,160.00M,2.00M,154.00M,,,,636.00M,1.122B,,,29.00M,,1.018B,528.00M,490.00M,,,,490.00M,488.80M,1.444B,322.00M,1.122B,0.96,0.0,,,0.9577,0.96,0.955,0.0,,,0.9527,0.955,511.11M,514.32M,0.17
2000-12,5.199B,7.112B,2.972B,4.14B,372.00M,287.00M,149.00M,,,,842.00M,3.298B,,,216.00M,,1.38B,650.00M,730.00M,,,,744.00M,557.80M,3.619B,321.00M,3.298B,1.46,0.0,,,1.122,1.46,1.445,0.0,,,1.112,1.445,509.67M,517.18M,0.17
2000-09,5.109B,5.225B,3.479B,1.746B,134.00M,-165.00M,139.00M,,,,589.00M,1.157B,,,-87.00M,,938.00M,512.00M,426.00M,,,,426.00M,525.00M,1.473B,316.00M,1.157B,0.835,0.0,,,1.0290000000000001,0.835,0.83,0.0,,,1.022,0.83,509.88M,514.78M,0.17
2000-06,5.331B,5.434B,3.826B,1.608B,178.00M,-4.00M,111.00M,,,,587.00M,1.021B,,,82.00M,,888.00M,446.00M,442.00M,,,,442.00M,444.40M,1.319B,298.00M,1.021B,0.87,0.0,,,0.8747,0.87,0.865,0.0,,,0.8697,0.865,507.97M,511.95M,0.17
2000-03,4.735B,4.768B,3.653B,1.115B,185.00M,-6.00M,62.00M,,,,481.00M,634.00M,,,15.00M,,542.00M,292.00M,250.00M,,,,250.00M,253.60M,868.00M,234.00M,634.00M,0.495,0.0,,,0.5021,0.495,0.49,0.0,,,0.4971,0.49,507.44M,509.35M,0.17
1999-12,4.239B,4.313B,3.249B,1.064B,166.00M,-6.00M,59.00M,,,,456.00M,608.00M,,,31.00M,,488.00M,238.00M,250.00M,,,,250.00M,253.60M,839.00M,231.00M,608.00M,0.495,0.0,,,0.5021,0.495,0.49,0.0,,,0.4971,0.49,506.60M,509.42M,0.17
1999-09,3.739B,3.769B,2.826B,943.00M,150.00M,-12.00M,53.00M,,,,432.00M,511.00M,,,4.00M,,414.00M,193.00M,221.00M,,,,221.00M,228.20M,740.00M,229.00M,511.00M,0.435,0.0,,,0.4492,0.435,0.435,0.0,,,0.4491,0.435,506.61M,510.89M,0.17
1999-06,3.172B,3.231B,2.456B,775.00M,174.00M,-70.00M,58.00M,,,,454.00M,321.00M,,,-43.00M,,184.00M,116.00M,68.00M,,,,68.00M,110.00M,543.00M,222.00M,321.00M,0.135,0.0,,,0.2181,0.135,0.135,0.0,,,0.2175,0.135,505.16M,509.28M,0.17
1999-03,2.421B,2.539B,1.904B,635.00M,175.00M,97.00M,61.00M,,,,456.00M,179.00M,,,118.00M,,99.00M,29.00M,70.00M,,,,70.00M,1.414M,399.00M,220.00M,179.00M,0.14,0.0,,,0.004,0.14,0.14,0.0,,,0.0047,0.14,504.22M,506.85M,0.17
1998-12,2.598B,2.678B,2.214B,464.00M,279.00M,-661.00M,49.00M,,,,474.00M,-10.00M,,,-648.00M,,-458.00M,-248.00M,-210.00M,,,,-210.00M,186.60M,136.00M,146.00M,-10.00M,-0.4,0.0,,,0.3815,-0.4,-0.4,0.0,,,0.3775,-0.4,507.48M,510.07M,0.17
1998-09,2.89B,2.913B,2.278B,635.00M,135.00M,11.00M,52.00M,,,,457.00M,178.00M,,,23.00M,,108.00M,62.00M,46.00M,,,,46.00M,39.40M,448.00M,270.00M,178.00M,0.09,0.0,,,0.0771,0.09,0.09,0.0,,,0.0772,0.09,513.56M,517.32M,0.17
1998-06,2.964B,3.00B,2.183B,817.00M,139.00M,12.00M,60.00M,,,,451.00M,366.00M,,,36.00M,,319.00M,161.00M,158.00M,,,,158.00M,150.80M,618.00M,252.00M,366.00M,0.305,0.0,,,0.2912,0.305,0.3,0.0,,,0.2863,0.3,520.77M,525.43M,0.17
