,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-03,5.593M,,0.023M,16.39M,16.39M,0.056M,,,,22.06M,0.14M,-0.975M,-14.38M,,-6.997M,,-0.156M,21.91M,-14.32M,,-14.32M,,,,-14.14M,-28.46M,,-1.251M,0.861M,,0.861M,,,,,-0.39M,142.54M,-6.947M,-0.557M,135.04M,0.861M,,,,,
2002-12,9.944M,,10.65M,15.82M,15.82M,7.191M,,,,-7.875M,-0.411M,-5.354M,6.035M,,6.531M,,-1.074M,42.54M,-11.60M,,-11.60M,,-6.887M,5.015M,-13.60M,-27.07M,,31.78M,6.70M,,6.091M,,,,,37.87M,88.56M,53.34M,0.65M,142.54M,6.70M,,,,,
2002-09,13.77M,,-31.20M,14.35M,14.35M,31.15M,,,,-13.67M,-0.945M,-3.548M,9.718M,,-33.70M,,-42.15M,-14.08M,-21.12M,,-21.12M,,-5.70M,0.00,-13.17M,-40.00M,,-0.773M,0.471M,,0.471M,,,,,-0.302M,143.39M,-54.38M,-0.446M,88.56M,0.471M,,,,,
2002-06,13.91M,,-3.309M,13.82M,13.82M,-28.99M,,,,-8.341M,-0.221M,-1.198M,-0.848M,,31.60M,,20.99M,16.42M,-12.22M,,-12.22M,,-13.43M,90.12M,-11.66M,52.81M,,-1.93M,1.447M,,1.447M,,,,,-0.483M,74.46M,68.74M,0.176M,143.39M,1.447M,,,,,
2002-03,10.40M,,0.307M,13.35M,13.35M,-0.638M,,,,-20.48M,-1.185M,-3.202M,5.743M,,-12.27M,,-31.39M,-7.966M,-14.76M,,-14.76M,,,,-11.26M,-26.01M,,-0.003M,0.378M,,0.378M,,,,,0.375M,107.54M,-33.60M,0.534M,74.46M,0.378M,,,,,
2001-12,11.05M,,2.422M,10.80M,10.80M,1.633M,,,,-11.65M,-1.869M,-2.516M,-2.982M,,10.18M,,-11.00M,14.90M,-7.038M,,-7.038M,,-0.695M,0.00,-9.886M,-17.62M,,14.45M,0.701M,,0.522M,,,,,14.97M,95.97M,12.25M,-0.685M,107.54M,0.701M,,,,,
2001-09,9.243M,,0.497M,12.93M,12.93M,-0.031M,,,,-10.16M,-2.549M,-0.099M,-8.234M,,14.95M,,-6.085M,16.55M,-6.178M,,-6.178M,,-3.35M,1.572M,-11.19M,-19.15M,,-0.264M,0.962M,,0.962M,,,,,0.698M,98.16M,-1.901M,-0.289M,95.97M,0.962M,,,,,
2001-06,-68.98M,,120.28M,11.86M,11.86M,-44.55M,,,,-11.81M,1.033M,-3.723M,11.46M,,6.047M,,3.007M,21.60M,-7.594M,,-7.594M,,,-1.572M,-8.799M,-17.96M,,2.951M,1.765M,,1.765M,,,,,4.716M,89.41M,8.355M,0.395M,98.16M,1.765M,,,,,
2001-03,6.328M,,0.545M,11.72M,11.72M,-0.249M,,,,7.225M,0.133M,-1.878M,-4.813M,,-7.233M,,-6.566M,11.78M,-4.912M,,-4.912M,,,1.572M,-9.111M,-12.45M,,-0.68M,0.639M,,0.639M,,,,,-0.041M,90.89M,-0.711M,-0.773M,89.41M,0.639M,,,,,
2000-12,-17.85M,,44.12M,10.47M,10.47M,-2.885M,,,,-19.78M,0.097M,,-3.41M,-1.998M,-7.87M,,-32.96M,0.891M,-5.556M,,-5.556M,,-3.879M,25.64M,-7.756M,8.45M,,-0.048M,3.304M,,3.304M,,,,,3.256M,78.20M,12.60M,0.097M,90.89M,3.304M,,,,,
2000-09,123.34M,,-185.90M,9.743M,9.743M,71.16M,,,,-10.03M,0.043M,,3.318M,-0.416M,-2.62M,,-9.709M,8.637M,-4.472M,,-4.472M,,-2.617M,0.511M,-13.38M,-19.96M,,-0.639M,1.429M,,1.429M,,,,,0.79M,89.29M,-10.53M,-0.558M,78.20M,1.429M,,,,,
2000-06,-2.613M,,1.359M,8.959M,8.959M,-1.534M,,,,2.412M,0.284M,,-4.283M,-2.025M,14.59M,,10.98M,17.15M,-3.854M,,-3.854M,,-10.33M,,-8.55M,-22.74M,,-0.28M,1.512M,,1.512M,,,,,1.232M,93.67M,-4.356M,-0.028M,89.29M,1.512M,,,,,
2000-03,2.392M,,0.576M,8.815M,8.815M,0.896M,,,,12.41M,0.171M,,0.986M,-2.586M,2.975M,,13.96M,26.64M,-2.272M,,-2.272M,,,,-6.899M,-9.171M,,,0.807M,,0.807M,,,,,0.807M,75.68M,18.27M,-0.277M,93.67M,0.807M,,,,,
1999-12,-5.011M,,11.88M,8.288M,8.288M,-4.565M,,,,3.30M,1.289M,,-1.207M,1.00M,16.75M,,5.301M,15.89M,-3.545M,,-3.545M,,,12.80M,-21.82M,-12.56M,,-2.199M,0.425M,,0.425M,,,,2.20M,0.426M,72.00M,3.753M,-0.034M,75.68M,0.425M,,,,,
1999-09,0.70M,,0.90M,7.50M,7.50M,1.20M,,,0.10M,-9.20M,0.00,,0.50M,-0.10M,0.20M,,-8.60M,1.80M,-4.40M,,-4.40M,,,-12.80M,5.30M,-11.90M,,0.00,0.00,,0.00,,,,0.00,0.00,0.00,-10.10M,0.00,72.00M,0.00,,,,,
1999-06,0.30M,,0.50M,8.00M,8.00M,-0.30M,,,0.00,10.60M,0.10M,,-5.70M,-1.00M,-4.40M,,-0.40M,8.10M,-4.40M,,-4.40M,,,,-24.20M,-28.60M,,69.60M,0.00,,0.00,,,,-2.10M,67.50M,0.00,47.00M,0.20M,0.00,0.00,,,,,
1999-03,2.80M,,0.70M,7.60M,7.60M,0.50M,,,-0.10M,1.50M,,,1.20M,0.10M,-12.70M,,-9.90M,1.60M,-2.00M,,-2.00M,,,,-7.60M,-9.60M,,,0.20M,,0.20M,,,,-0.10M,0.10M,42.70M,-7.90M,0.10M,0.00,0.20M,,,,,
1998-12,8.20M,,-68.40M,6.90M,6.90M,6.80M,,,0.10M,-8.80M,-0.50M,,6.30M,-0.70M,51.50M,,47.80M,1.40M,-9.80M,,-9.80M,,,,-7.20M,-17.00M,,,14.70M,,14.70M,,,,0.00,14.70M,0.00,-0.90M,0.10M,42.70M,14.70M,,,,,
1998-09,6.40M,,0.50M,6.50M,6.50M,5.70M,,,0.20M,-7.30M,-0.30M,,-2.80M,-1.20M,-4.40M,,-16.00M,3.30M,-5.40M,,-5.40M,,,,-6.70M,-12.10M,,,0.40M,,0.40M,,,,-0.10M,0.30M,0.00,-8.50M,0.00,0.00,0.40M,,,,,
1998-06,5.30M,,0.50M,6.10M,6.10M,5.20M,,,0.10M,-11.30M,0.00,,-2.80M,-1.20M,-1.50M,,-16.80M,0.40M,-4.40M,,-4.40M,,,,-6.40M,-10.80M,,,0.50M,,0.50M,,,,,0.50M,0.00,-9.90M,-0.20M,0.00,0.50M,,,,,
