,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1996-09,177.10M,177.10M,,52.50M,52.50M,,,52.50M,,132.20M,59.00M,23.10M,35.90M,,35.90M,35.90M,8.00M,176.90M,,0.53,0.00,0.53,0.53,,0.51,0.00,0.51,0.51,,67.74M,70.39M,0.07,,,
1996-06,174.10M,174.10M,,49.10M,49.10M,,,49.10M,0.10M,132.60M,64.50M,25.80M,38.70M,,38.70M,38.70M,7.60M,179.50M,,0.57,0.00,0.57,0.57,,0.54,0.00,0.54,0.54,,67.89M,71.67M,0.07,,,
1996-03,165.90M,165.90M,,52.10M,52.10M,,,52.10M,0.30M,129.60M,59.90M,23.70M,36.20M,0.90M,36.20M,36.20M,7.40M,174.10M,,0.55,0.00,0.55,0.55,,0.50,0.00,0.50,0.50,,64.18M,70.60M,0.07,,,
1995-12,169.70M,169.70M,,48.20M,48.20M,,,48.20M,0.20M,124.90M,60.70M,23.90M,36.80M,1.80M,36.80M,36.80M,17.70M,177.50M,,0.61,0.00,0.61,0.61,,0.52,0.00,0.52,0.52,,54.67M,66.55M,0.07,,,
1995-09,168.30M,168.30M,,49.70M,49.70M,,,49.70M,4.30M,123.90M,59.30M,23.70M,35.60M,,35.60M,35.60M,4.90M,175.60M,,0.51,0.00,0.51,0.51,,0.49,0.00,0.49,0.49,,69.80M,72.65M,0.06,,,
1995-06,153.00M,153.00M,,44.10M,44.10M,,,44.10M,0.30M,119.10M,54.20M,22.70M,31.50M,1.80M,31.50M,31.50M,4.70M,166.30M,,0.45,0.00,0.45,0.45,,0.43,0.00,0.43,0.43,,66.00M,69.07M,0.06,,,
1995-03,144.90M,144.90M,,46.20M,46.20M,,,46.20M,0.70M,118.50M,46.90M,19.70M,27.20M,,27.20M,27.20M,4.80M,143.50M,,0.39,0.00,0.39,0.39,,0.37,0.00,0.37,0.37,,69.74M,73.51M,0.06,,,
1994-12,155.70M,155.70M,,39.00M,39.00M,,,39.00M,-0.50M,117.10M,47.90M,16.00M,31.90M,1.80M,31.90M,31.90M,4.30M,131.20M,,0.455,0.00,0.455,0.455,,0.441,0.00,0.441,0.441,,65.62M,67.55M,0.06,,,
1994-09,144.50M,144.50M,,40.80M,40.80M,,,40.80M,0.70M,117.20M,50.00M,20.90M,29.10M,,29.10M,29.10M,4.40M,122.40M,,0.41,0.00,0.41,0.41,,0.39,0.00,0.39,0.39,,70.98M,74.62M,0.06,,,
1994-06,145.30M,145.30M,,41.60M,41.60M,,,41.60M,0.10M,115.90M,49.30M,20.60M,28.70M,,28.70M,28.70M,4.60M,113.60M,,0.40,0.00,0.40,0.40,,0.38,0.00,0.38,0.38,,71.75M,75.53M,0.05,,,
1994-03,146.30M,146.30M,,39.80M,39.80M,,,39.80M,,117.90M,47.30M,19.70M,27.60M,,27.60M,27.60M,4.30M,106.60M,,0.38,0.00,0.38,0.38,,0.36,0.00,0.36,0.36,,72.63M,76.67M,0.05,,,
1993-12,138.80M,138.80M,,32.00M,32.00M,,,32.00M,,118.70M,45.40M,18.80M,26.60M,,26.60M,26.60M,4.10M,112.20M,,0.40,0.00,0.40,0.40,,0.35,0.00,0.35,0.35,,55.63M,65.25M,0.05,,,
1993-09,148.30M,148.30M,,42.50M,42.50M,,,42.50M,,117.60M,45.30M,19.40M,25.90M,,25.90M,25.90M,4.10M,111.30M,,0.35,0.00,0.35,0.35,,0.34,0.00,0.34,0.34,,74.00M,76.18M,0.05,,,
1993-06,150.10M,150.10M,,38.70M,38.70M,,,38.70M,,119.10M,42.10M,16.90M,25.20M,,25.20M,25.20M,3.90M,111.20M,,0.34,0.00,0.34,0.34,,0.33,0.00,0.33,0.33,,74.12M,76.36M,0.05,,,
1993-03,144.10M,144.10M,,41.10M,41.10M,,,41.10M,1.60M,115.40M,40.80M,16.50M,24.30M,0.90M,24.30M,24.30M,4.10M,108.80M,,0.33,0.00,0.33,0.33,,0.32,0.00,0.32,0.32,,70.91M,73.12M,0.04,,,
1992-12,146.10M,146.10M,,37.30M,37.30M,,,37.30M,0.90M,113.40M,35.40M,13.80M,21.60M,,21.60M,21.60M,27.10M,110.40M,,0.29,0.00,0.29,0.29,,0.29,0.00,0.29,0.29,,63.49M,63.52M,0.04,,,
1992-09,140.40M,140.40M,,37.50M,37.50M,,,37.50M,0.80M,113.90M,34.50M,13.50M,21.00M,,21.00M,21.00M,3.40M,114.60M,,0.29,0.00,0.29,0.29,,0.28,0.00,0.28,0.28,,72.41M,75.00M,0.04,,,
1992-06,140.40M,140.40M,,30.60M,30.60M,,,30.60M,13.60M,102.90M,46.20M,18.40M,27.80M,,27.80M,27.80M,2.70M,127.00M,,0.38,0.00,0.38,0.38,,0.37,0.00,0.37,0.37,,73.16M,75.14M,0.04,,,
1992-03,139.40M,139.40M,,31.10M,31.10M,,,31.10M,14.40M,101.70M,46.60M,19.10M,27.50M,,27.50M,27.50M,2.90M,134.40M,,0.38,0.00,0.38,0.38,,0.37,0.00,0.37,0.37,,72.37M,74.32M,0.04,,,
1991-12,119.10M,119.10M,,27.70M,27.70M,,,27.70M,1.80M,97.30M,32.00M,13.80M,18.20M,,18.20M,18.02M,2.60M,133.60M,,0.25,0.00,0.2470,0.25,,0.25,0.00,0.2470,0.25,,60.38M,60.38M,0.035,,,
1991-09,113.00M,113.00M,,29.20M,29.20M,,,29.20M,2.80M,86.20M,28.70M,11.30M,17.40M,,17.40M,17.22M,2.70M,147.40M,,0.24,0.00,0.2375,0.24,,0.23,0.00,0.2276,0.23,,72.50M,75.65M,0.035,,,
1991-06,93.50M,93.50M,,25.80M,25.80M,,,25.80M,0.30M,75.20M,27.60M,11.30M,16.30M,,16.30M,16.30M,2.10M,138.40M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,74.09M,74.09M,0.035,,,
1991-03,85.30M,85.30M,,23.60M,23.60M,,,23.60M,,70.20M,26.50M,11.20M,15.30M,,15.30M,15.30M,2.20M,135.60M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,69.55M,69.55M,0.035,,,
1990-12,78.10M,78.10M,,23.70M,23.70M,,,23.70M,,62.80M,20.00M,7.10M,12.90M,,12.90M,12.90M,2.00M,137.50M,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,67.91M,67.91M,0.035,,,
1990-09,70.30M,70.30M,,21.40M,21.40M,,,21.40M,-0.40M,57.60M,22.80M,8.40M,14.40M,,14.40M,14.40M,2.60M,127.80M,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,68.57M,68.57M,0.03,,,
1990-06,71.70M,71.70M,,21.60M,21.60M,,,21.60M,0.20M,56.60M,22.20M,8.40M,13.80M,,13.80M,13.80M,1.80M,126.30M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,69.00M,69.00M,0.03,,,
1990-03,66.00M,66.00M,,21.20M,21.20M,,,21.20M,-0.20M,53.50M,19.60M,6.80M,12.80M,,12.80M,12.80M,1.70M,119.90M,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,67.37M,67.37M,0.03,,,
1989-12,63.00M,63.00M,,20.10M,20.10M,,,20.10M,0.80M,49.70M,19.10M,6.60M,12.50M,,3.00M,12.50M,1.60M,121.90M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,67.89M,71.67M,0.03,,,
1989-09,60.00M,60.00M,,19.70M,19.70M,,,19.70M,-0.10M,46.90M,19.70M,6.80M,12.90M,,12.90M,12.90M,1.80M,118.00M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,71.67M,71.67M,0.03,,,
1989-06,60.50M,60.50M,,19.90M,19.90M,,,19.90M,0.50M,47.70M,19.10M,6.20M,12.90M,,12.90M,12.49M,,115.00M,,0.18,0.00,0.1743,0.18,,0.18,0.00,0.1743,0.18,,71.67M,71.67M,0.025,,,
1989-03,,,,,,,,,,,,,12.50M,,12.50M,,,,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,,,0.025,,,
1988-12,,,,,,,,,,,,,9.30M,,9.30M,,,,,,,,,,,,,,,,,0.025,,,
1988-09,,,,,,,,,,,,,11.80M,,11.80M,,,,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,,,0.025,,,
1988-06,,,,,,,,,,,,,11.40M,,11.40M,,,,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,,,,,,
1988-03,,,,,,,,,,,,,12.00M,,12.00M,,,,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,,,0.02,,,
1987-12,,,,,,,,,,,,,20.10M,,20.10M,,,,,,,,,,,,,,,,,0.02,,,
1987-09,,,,,,,,,,,,,6.90M,,6.90M,,,,,0.13,0.00,0.13,0.13,,0.13,0.00,0.13,0.13,,,,0.02,,,
1987-06,,,,,,,,,,,,,6.70M,,6.70M,,,,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,,,,,,
1987-03,,,,,,,,,,,,,6.60M,,6.60M,,,,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,,,0.02,,,
1986-12,,,,,,,,,,,,,6.60M,,6.60M,,,,,,,,,,,,,,,,,0.0175,,,
1986-09,,,,,,,,,,,,,6.70M,,6.70M,,,,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,,,0.0175,,,
1986-06,,,,,,,,,,,,,6.60M,,6.60M,,,,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,,,,,,
1986-03,,,,,,,,,,,,,6.20M,,6.20M,,,,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,,,0.0175,,,
1985-12,,,,,,,,,,,,,5.80M,,5.80M,,,,,,,,,,,,,,,,,0.0175,,,
1985-09,,,,,,,,,,,,,5.70M,,5.70M,,,,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,,,0.015,,,
1985-06,,,,,,,,,,,,,5.40M,,5.40M,,,,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,,,,,,
1985-03,,,,,,,,,,,,,5.30M,,5.30M,,,,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,,,0.015,,,
1984-12,,,,,,,,,,,,,4.50M,,4.50M,,,,,,,,,,,,,,,,,,,,
1984-09,,,,,,,,,,,,,4.30M,,4.30M,,,,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,,,,,,
1984-06,,,,,,,,,,,,,4.20M,,4.20M,,,,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,,,,,,
1984-03,,,,,,,,,,,,,4.10M,,4.10M,,,,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,,,,,,
