,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,2.949B,65.00M,3.014B,1.598B,1.598B,,,,785.00M,5.397B,,,,,,,42.03B,-18.82B,23.21B,14.55B,63.17B,77.72B,,,6.84B,107.77B,113.17B,,3.014B,3.014B,2.926B,5.94B,764.00M,764.00M,,,,,6.704B,30.34B,30.34B,26.57B,26.57B,265.00M,,7.404B,64.31B,71.02B,,35.00M,7.145B,42.32B,7.517B,,,,-93.00M,41.89B,,,
2007-06,828.00M,395.00M,1.223B,1.441B,1.441B,,,,878.00M,3.542B,,,,,,,40.53B,-17.63B,22.90B,14.42B,63.08B,77.50B,,,6.819B,107.21B,110.76B,,2.978B,2.978B,3.301B,6.279B,458.00M,458.00M,,102.00M,102.00M,,6.839B,27.79B,27.79B,26.53B,26.53B,278.00M,,7.487B,61.81B,68.65B,,35.00M,6.951B,42.41B,7.517B,,,,-52.00M,41.82B,,,
2007-03,1.037B,1.248B,2.285B,1.282B,1.282B,,,,688.00M,4.255B,,,,,,,39.06B,-16.55B,22.51B,14.08B,62.86B,76.94B,,,6.633B,106.08B,110.34B,,2.98B,2.98B,2.957B,5.937B,1.049B,1.049B,,388.00M,388.00M,,7.374B,27.22B,27.22B,26.20B,26.20B,240.00M,,7.466B,60.88B,68.26B,,35.00M,6.814B,42.55B,7.517B,,,,-41.00M,41.84B,,,
2006-12,1.239B,1.735B,2.974B,1.45B,1.45B,,,,778.00M,5.202B,0.00,163.00M,33.24B,,3.355B,,36.75B,-15.51B,21.25B,13.77B,60.81B,74.58B,,,9.379B,105.20B,110.40B,,2.862B,2.862B,453.00M,3.315B,983.00M,983.00M,,314.00M,314.00M,2.579B,7.191B,27.99B,27.99B,27.34B,27.34B,241.00M,,6.476B,61.81B,69.00B,,35.00M,6.214B,42.40B,7.517B,,,,34.00M,41.17B,,,
2006-09,2.774B,656.00M,3.43B,1.228B,1.228B,,,,823.00M,5.481B,,,,,,,35.25B,-14.58B,20.67B,13.52B,60.53B,74.04B,,,7.776B,102.49B,107.97B,,2.351B,2.351B,2.867B,5.218B,773.00M,773.00M,,185.00M,185.00M,,6.176B,26.45B,26.45B,27.50B,27.50B,676.00M,,6.453B,60.40B,66.57B,,24.00M,6.088B,42.22B,7.517B,,,,-94.00M,40.72B,,,
2006-06,973.00M,813.00M,1.786B,1.125B,1.125B,,,,629.00M,3.54B,,,,,,,33.30B,-14.36B,18.94B,13.79B,54.46B,68.25B,,,12.35B,99.55B,103.09B,,2.068B,2.068B,2.703B,4.771B,763.00M,763.00M,,230.00M,230.00M,,5.764B,23.36B,23.36B,26.87B,26.87B,672.00M,,6.512B,56.74B,62.51B,,24.00M,5.152B,42.34B,7.517B,,,,-94.00M,39.91B,,,
2006-03,1.693B,819.00M,2.512B,910.00M,910.00M,,,,576.00M,3.998B,,,,,,,32.21B,-13.50B,18.71B,,67.70B,67.70B,,,12.57B,98.98B,102.98B,,1.94B,1.94B,2.64B,4.58B,881.00M,881.00M,,239.00M,239.00M,,5.70B,23.25B,23.25B,26.92B,26.92B,662.00M,,6.427B,56.59B,62.29B,,24.00M,5.012B,42.62B,7.517B,,,,-115.00M,40.03B,,,
2005-12,947.00M,148.00M,1.095B,1.008B,1.008B,,,,745.00M,2.848B,0.00,148.00M,27.02B,,2.619B,,29.78B,-12.08B,17.70B,13.50B,51.92B,65.42B,,,17.43B,100.55B,103.40B,,2.239B,2.239B,360.00M,2.599B,1.689B,1.689B,,2.00M,2.00M,2.234B,6.524B,21.68B,21.68B,27.37B,27.37B,657.00M,,6.948B,56.00B,62.52B,,36.00M,4.825B,42.99B,7.517B,,,,-114.00M,40.22B,,,
2005-09,579.00M,207.00M,786.00M,990.00M,990.00M,,,,587.00M,2.363B,,,,,,,30.59B,-11.81B,18.78B,,68.60B,68.60B,,,13.65B,101.03B,103.40B,,1.98B,1.98B,2.667B,4.647B,2.498B,2.498B,,17.00M,17.00M,,7.162B,20.11B,20.11B,27.13B,27.13B,605.00M,,7.388B,54.62B,61.79B,,25.00M,5.046B,43.52B,7.517B,,,,-65.00M,41.00B,,,
2005-06,1.335B,848.00M,2.183B,1.031B,1.031B,,,,570.00M,3.784B,,,,,,,29.78B,-10.98B,18.80B,,68.85B,68.85B,,,13.92B,101.56B,105.35B,,2.042B,2.042B,2.663B,4.705B,4.384B,4.384B,,110.00M,110.00M,,9.199B,19.75B,19.75B,27.00B,27.00B,679.00M,,7.31B,54.05B,63.25B,,25.00M,5.16B,43.90B,7.517B,,,,-154.00M,41.42B,,,
2005-03,636.00M,950.00M,1.586B,883.00M,883.00M,,,,461.00M,2.93B,,,,,,,28.93B,-10.20B,18.74B,,68.93B,68.93B,,,13.64B,101.31B,104.24B,,1.998B,1.998B,2.777B,4.775B,3.855B,3.855B,,166.00M,166.00M,,8.796B,19.32B,19.32B,26.93B,26.93B,602.00M,,7.237B,53.48B,62.28B,,25.00M,4.899B,44.06B,7.517B,,,,-106.00M,41.36B,,,
2004-12,452.00M,1.555B,2.007B,959.00M,959.00M,,261.00M,,308.00M,3.535B,0.00,152.00M,25.60B,2.371B,,,28.13B,-9.416B,18.71B,,68.94B,68.94B,,,13.51B,101.16B,104.69B,,2.041B,2.041B,337.00M,2.378B,3.499B,3.499B,,360.00M,360.00M,2.398B,8.635B,20.09B,20.09B,26.82B,26.82B,468.00M,,7.261B,54.17B,62.80B,,25.00M,4.891B,44.14B,7.517B,,,,-119.00M,41.42B,,,
2004-09,717.00M,2.256B,2.973B,940.00M,940.00M,,,,469.00M,4.382B,,,,,,,27.36B,-8.701B,18.66B,,69.60B,69.60B,,,13.80B,102.06B,106.44B,,1.023B,1.023B,4.152B,5.175B,3.128B,3.128B,,614.00M,614.00M,,8.917B,22.10B,22.10B,26.41B,26.41B,458.00M,,7.354B,55.87B,64.79B,,25.00M,4.621B,44.20B,7.517B,,,,-135.00M,41.20B,,,
2004-06,594.00M,2.481B,3.075B,925.00M,925.00M,,,,418.00M,4.418B,,,,,,,26.56B,-7.949B,18.62B,,70.21B,70.21B,,,14.84B,103.66B,108.08B,,988.00M,988.00M,4.194B,5.182B,2.792B,2.792B,,657.00M,657.00M,,8.631B,22.98B,22.98B,26.64B,26.64B,384.00M,,7.922B,57.55B,66.18B,,25.00M,4.653B,44.48B,7.517B,,,,-130.00M,41.52B,,,
2004-03,875.00M,2.782B,3.657B,776.00M,776.00M,,,,827.00M,5.26B,,,,,,,25.74B,-7.249B,18.50B,,69.85B,69.85B,,,14.96B,103.31B,108.57B,,1.024B,1.024B,4.149B,5.173B,3.386B,3.386B,,733.00M,733.00M,,9.292B,23.24B,23.24B,26.29B,26.29B,300.00M,,7.706B,57.24B,66.53B,,25.00M,4.598B,44.76B,7.517B,,,,-130.00M,41.74B,,,
2003-12,1.55B,2.493B,4.043B,907.00M,907.00M,,,,453.00M,5.403B,0.00,152.00M,23.86B,1.02B,,,25.04B,-6.563B,18.47B,,69.75B,69.75B,,,15.53B,103.76B,109.16B,,2.355B,2.355B,3.459B,5.814B,3.161B,3.161B,,679.00M,679.00M,,9.654B,23.84B,23.84B,25.90B,25.90B,292.00M,,7.816B,57.55B,67.20B,,25.00M,4.552B,44.74B,7.517B,,,,-140.00M,41.66B,,,
2003-09,3.245B,2.982B,6.227B,850.00M,850.00M,,,,537.00M,7.614B,,,,,,,24.08B,-5.89B,18.19B,,67.80B,67.80B,,,16.21B,102.20B,109.82B,,1.188B,1.188B,5.352B,6.54B,3.065B,3.065B,,510.00M,510.00M,,10.12B,27.32B,27.32B,24.65B,24.65B,279.00M,,6.214B,58.18B,68.30B,,25.00M,4.181B,44.71B,7.517B,,,,-160.00M,41.24B,,,
2003-06,1.324B,2.161B,3.485B,1.376B,1.376B,506.00M,,137.00M,389.00M,5.893B,,,,,,,24.53B,-5.447B,19.08B,,70.38B,70.38B,,,14.17B,103.63B,109.52B,,1.507B,1.507B,5.06B,6.567B,2.416B,2.416B,,557.00M,557.00M,,9.54B,29.92B,29.92B,23.62B,23.62B,2.814B,,5.542B,59.09B,68.63B,,25.00M,1.004B,44.69B,7.517B,,,,-125.00M,38.08B,,,
2003-03,1.024B,3.153B,4.177B,1.323B,1.323B,482.00M,,129.00M,377.00M,6.488B,,,,,,,23.70B,-4.737B,18.96B,,70.60B,70.60B,,,13.96B,103.52B,110.01B,,1.631B,1.631B,4.87B,6.501B,2.652B,2.652B,,1.093B,1.093B,,10.25B,30.26B,30.26B,23.12B,23.12B,2.729B,,5.60B,58.98B,69.23B,,25.00M,1.043B,44.64B,7.517B,,,,-140.00M,38.05B,,,
2002-12,505.00M,3.258B,3.763B,862.00M,862.00M,,,,2.474B,7.099B,,,,,,,22.24B,-3.855B,18.38B,,70.21B,70.21B,,,17.44B,106.03B,113.13B,,1.296B,1.296B,5.236B,6.532B,6.953B,6.953B,,1.105B,1.105B,816.00M,15.41B,27.96B,27.96B,23.10B,23.10B,1.172B,,7.16B,58.22B,73.63B,,25.00M,1.34B,44.62B,7.517B,,,,-139.00M,38.33B,,,
2002-09,569.80M,905.90M,1.476B,932.80M,932.80M,482.70M,,132.90M,171.50M,3.196B,,,,,,,10.53B,-3.496B,7.036B,,24.46B,24.46B,,,1.084B,32.58B,35.78B,,806.10M,806.10M,1.806B,2.612B,113.90M,113.90M,,69.70M,69.70M,,2.796B,9.928B,9.928B,6.665B,6.665B,1.027B,,1.420B,18.01B,20.81B,,946.90M,1.392B,11.80B,,,,,-197.70M,13.94B,,,
2002-06,557.80M,1.058B,1.615B,957.00M,957.00M,414.00M,,135.90M,337.70M,3.46B,,,,,,,10.26B,-3.238B,7.023B,,24.52B,24.52B,,,1.118B,32.66B,36.12B,,680.10M,680.10M,1.372B,2.052B,206.90M,206.90M,,121.80M,121.80M,,2.380B,10.54B,10.54B,6.755B,6.755B,986.70M,,1.421B,18.72B,21.10B,,946.70M,1.317B,11.79B,,,,,-23.70M,14.03B,,,
2002-03,543.10M,2.087B,2.630B,979.90M,979.90M,426.10M,,,193.30M,4.230B,,,,,,,10.02B,-2.991B,7.034B,6.441B,18.03B,24.47B,,,1.415B,32.92B,37.15B,,794.70M,794.70M,1.637B,2.432B,267.50M,267.50M,,89.90M,89.90M,,2.789B,11.36B,11.36B,6.407B,6.407B,926.60M,,1.418B,19.18B,21.97B,,945.70M,1.541B,11.77B,,,,,-8.00M,14.25B,,,
2001-12,350.00M,2.623B,2.973B,967.00M,967.00M,455.00M,,129.00M,154.00M,4.678B,,,,,,,9.737B,-2.726B,7.011B,,24.51B,24.51B,,,2.063B,33.58B,38.26B,,698.00M,698.00M,1.696B,2.394B,460.00M,460.00M,,404.00M,404.00M,,3.258B,11.74B,11.74B,6.376B,6.376B,880.00M,,1.532B,19.65B,22.91B,,945.00M,1.632B,11.75B,,,,,144.00M,14.47B,,,
2001-09,658.40M,1.272B,1.930B,829.70M,829.70M,504.30M,,,165.50M,3.430B,,,,,,,8.990B,-2.208B,6.782B,,,,,,28.57B,35.35B,38.78B,,3.294B,3.294B,191.50M,3.486B,554.40M,554.40M,,194.60M,194.60M,,4.234B,11.49B,11.49B,6.453B,6.453B,1.760B,,,17.95B,22.18B,,944.90M,1.952B,11.74B,,,,,199.30M,14.84B,,,
2001-06,745.90M,1.929B,2.675B,828.80M,828.80M,471.80M,,,186.30M,4.162B,,,,,,,8.291B,-1.818B,6.472B,,25.16B,25.16B,,,2.845B,34.48B,38.64B,,3.116B,3.116B,143.30M,3.259B,548.00M,548.00M,,225.80M,225.80M,,4.033B,11.45B,11.45B,6.426B,6.426B,1.670B,,,17.88B,21.91B,,945.40M,2.076B,11.75B,,,,,291.80M,15.06B,,,
2001-03,668.30M,,668.30M,792.50M,792.50M,448.30M,,,3.114B,5.023B,,,,,,,7.348B,-1.683B,5.665B,,,,,,26.53B,32.19B,37.22B,,2.702B,2.702B,,2.702B,523.00M,523.00M,,692.50M,692.50M,172.50M,4.090B,10.26B,10.26B,6.285B,6.285B,1.581B,,,16.55B,20.64B,,944.90M,2.041B,11.74B,,,,,272.70M,15.00B,,,
2000-12,651.50M,3.060B,3.711B,891.90M,891.90M,438.50M,,,102.80M,5.144B,,,,,,,7.393B,-1.873B,5.520B,6.945B,15.12B,22.07B,,,3.013B,30.60B,35.74B,,813.20M,813.20M,1.576B,2.390B,293.90M,293.90M,,,,789.90M,3.474B,10.52B,10.52B,5.787B,5.787B,717.30M,,1.163B,17.47B,20.94B,,998.70M,1.056B,11.60B,,59.50M,,,432.40M,14.09B,,,
2000-09,575.90M,3.872B,4.448B,722.00M,722.00M,413.50M,,,137.10M,5.721B,,,,,,,7.066B,-1.945B,5.122B,,,,,,24.19B,29.31B,35.03B,,2.711B,2.711B,,2.711B,1.312B,1.312B,,,,1.563B,5.587B,8.611B,8.611B,4.918B,4.918B,1.210B,,82.00M,13.61B,19.20B,,1.495B,308.40M,11.09B,,592.30M,,,1.728B,14.62B,,,
2000-06,652.30M,2.975B,3.627B,706.50M,706.50M,373.30M,,,120.70M,4.828B,,,,,,,6.439B,-1.773B,4.666B,,,,,,25.84B,30.50B,35.33B,,2.492B,2.492B,,2.492B,146.90M,146.90M,,,,1.458B,4.097B,10.22B,10.22B,4.937B,4.937B,1.219B,,82.00M,15.24B,19.33B,,1.489B,-878.20M,11.12B,,584.70M,,,3.049B,14.78B,,,
2000-03,750.60M,4.842B,5.592B,654.60M,654.60M,374.80M,,,93.20M,6.715B,,,,,,,6.405B,-1.64B,4.765B,,,,,,27.17B,31.93B,38.64B,,2.516B,2.516B,,2.516B,128.80M,128.80M,,,,1.531B,4.176B,10.81B,10.81B,5.966B,5.966B,877.00M,,82.00M,16.85B,21.03B,,1.484B,-975.90M,11.11B,,577.10M,,,5.121B,16.74B,,,
1999-12,922.20M,7.606B,8.528B,673.30M,673.30M,457.00M,,,100.10M,9.759B,,,,,,,5.099B,-1.701B,3.398B,,9.980B,9.980B,,,5.549B,18.93B,28.69B,,2.786B,2.786B,,2.786B,517.50M,517.50M,,,,2.223B,5.527B,8.707B,8.707B,3.150B,3.150B,959.50M,,,11.86B,17.38B,,1.321B,-619.80M,3.527B,,569.60M,,,6.113B,10.34B,,,
1999-09,881.90M,5.354B,6.236B,,541.60M,468.40M,,,95.30M,7.341B,,,,,,,4.832B,-1.622B,3.210B,,,,,,11.71B,14.92B,22.26B,,2.197B,2.197B,,2.197B,178.40M,178.40M,,,,1.716B,4.092B,6.778B,6.778B,2.884B,2.884B,875.40M,,,9.662B,13.75B,,1.314B,-371.90M,3.448B,,562.30M,,,3.246B,7.636B,,,
1999-06,2.194B,,2.194B,,548.30M,383.90M,,,5.846B,8.972B,,,,,,,4.669B,-1.520B,3.149B,,,,,,9.763B,12.91B,21.88B,,1.852B,1.852B,,1.852B,838.40M,838.40M,,,,1.996B,4.686B,7.004B,7.004B,2.518B,2.518B,884.40M,,50.50M,9.573B,14.26B,,586.90M,-592.80M,,,586.90M,,,,6.742B,,,
1999-03,1.549B,,1.549B,,487.80M,321.40M,,,5.181B,7.539B,,,,,,,3.911B,-1.427B,2.483B,,,,,,7.254B,9.738B,17.28B,,1.400B,1.400B,,1.400B,122.00M,122.00M,,,,1.909B,3.431B,6.169B,6.169B,1.697B,1.697B,840.30M,,111.20M,7.977B,11.41B,,579.70M,-1.417B,,,579.70M,,,,5.029B,,,
1998-12,870.70M,,870.70M,,549.30M,343.80M,,,3.754B,5.517B,,,,,,,3.887B,-1.362B,2.524B,,,,,,6.669B,9.193B,14.71B,,1.600B,1.600B,,1.600B,113.50M,113.50M,,,,1.272B,2.986B,5.464B,5.464B,1.500B,1.500B,834.00M,,111.20M,7.076B,10.06B,,572.60M,-1.488B,,,572.60M,,,,3.815B,,,
1998-09,435.00M,,435.00M,,502.70M,368.20M,,,1.894B,3.200B,,,,,,,4.973B,-1.664B,3.309B,,,,,,7.857B,11.17B,14.37B,,1.418B,1.418B,,1.418B,106.40M,106.40M,,,,152.60M,1.678B,6.597B,6.597B,2.302B,2.302B,1.026B,,,8.899B,10.58B,,565.60M,-1.899B,,,565.60M,,,,2.763B,,,
1998-06,516.60M,,516.60M,,485.00M,314.00M,,,221.50M,1.537B,,,,,,,4.743B,-1.565B,3.178B,,,,,,8.575B,11.75B,13.29B,,1.263B,1.263B,,1.263B,103.90M,103.90M,,,,90.80M,1.458B,6.659B,6.659B,2.129B,2.129B,1.021B,,,8.788B,10.25B,,558.70M,-2.597B,,,558.70M,,,,2.023B,,,
1998-03,671.10M,,671.10M,,485.10M,297.10M,,,210.40M,1.664B,,,,,,,4.711B,-1.541B,3.170B,,7.324B,7.324B,,,1.197B,11.69B,13.36B,,1.249B,1.249B,,1.249B,156.60M,156.60M,,,,129.40M,1.535B,6.627B,6.627B,2.115B,2.115B,1.051B,,31.40M,8.773B,10.31B,,31.90M,-2.503B,,,31.90M,,,,1.996B,,,
1997-12,409.10M,,409.10M,,439.60M,309.90M,,,319.80M,1.478B,,,,,,,3.690B,-1.206B,2.484B,,,,,,7.365B,9.848B,11.33B,,1.095B,1.095B,,1.095B,132.30M,132.30M,,,,205.80M,1.434B,5.334B,5.334B,1.850B,1.850B,1.032B,,31.40M,7.215B,8.648B,,31.90M,-2.416B,,,31.90M,,,,1.646B,,,
1997-09,573.60M,,573.60M,,405.60M,339.20M,,,364.00M,1.682B,,,,,,,4.089B,-1.317B,2.771B,,7.089B,7.089B,,,1.247B,11.11B,12.79B,,1.116B,1.116B,,1.116B,162.40M,162.40M,,,,167.80M,1.446B,6.700B,6.700B,2.117B,2.117B,1.019B,,31.40M,8.848B,10.29B,,538.50M,-2.326B,,,538.50M,,,,1.477B,,,
1997-06,1.265B,,1.265B,,416.80M,305.30M,,,299.10M,2.286B,,,,,,,3.906B,-1.238B,2.668B,,7.177B,7.177B,,,1.066B,10.91B,13.20B,,1.069B,1.069B,,1.069B,626.30M,626.30M,,,,107.20M,1.803B,6.787B,6.787B,2.078B,2.078B,1.051B,,31.40M,8.896B,10.70B,,531.90M,-2.263B,,,531.90M,,,,1.447B,,,
1997-03,454.90M,,454.90M,,423.60M,288.60M,,,235.70M,1.403B,,,,,,,3.751B,-1.137B,2.614B,,7.208B,7.208B,,,1.108B,10.93B,12.33B,,1.066B,1.066B,,1.066B,92.90M,92.90M,,,,90.20M,1.249B,7.371B,7.371B,2.120B,2.120B,1.061B,,,9.491B,10.74B,,31.90M,-2.206B,,,31.90M,,,,532.40M,,,
1996-12,331.30M,,331.30M,,439.30M,258.40M,,,376.80M,1.406B,,,,,,,3.600B,-1.061B,2.539B,,6.966B,6.966B,,,1.178B,10.68B,12.09B,,1.044B,1.044B,,1.044B,229.50M,229.50M,,,,91.10M,1.365B,7.103B,7.103B,2.140B,2.140B,859.30M,,69.60M,9.313B,10.68B,,31.90M,-2.127B,,,31.90M,,,,551.60M,,,
1996-09,426.20M,,426.20M,,350.70M,256.30M,,,224.10M,1.257B,,,,,,,3.143B,-1.092B,2.052B,,,,,,6.520B,8.572B,9.829B,,891.10M,891.10M,,891.10M,150.60M,150.60M,,,,99.30M,1.141B,7.234B,7.234B,1.502B,1.502B,821.90M,,69.60M,8.805B,9.946B,,31.90M,-2.089B,,,31.90M,,,,-938.70M,,,
1996-06,407.70M,,407.70M,,340.00M,243.10M,,,252.30M,1.243B,,,,,,,2.989B,-1.032B,1.958B,,,,,,6.423B,8.380B,9.624B,,817.00M,817.00M,,817.00M,143.40M,143.40M,,,,78.70M,1.039B,7.120B,7.120B,1.516B,1.516B,834.30M,,0.10M,8.636B,9.675B,,,-2.031B,,,,,,,-885.70M,,,
1996-03,510.20M,,510.20M,,367.80M,240.80M,,,307.50M,1.426B,,,,,,,2.839B,-982.20M,1.857B,,,,,,6.375B,8.232B,9.658B,,854.00M,854.00M,,854.00M,66.20M,66.20M,,,,89.40M,1.010B,7.101B,7.101B,1.519B,1.519B,850.00M,,,8.620B,9.630B,,,-1.997B,,,,,,,-821.90M,,,
1995-12,539.10M,,539.10M,,390.70M,243.40M,,,480.50M,1.654B,,,,,,,2.576B,-932.00M,1.644B,,5.377B,5.377B,,,906.30M,7.927B,9.580B,,964.00M,964.00M,,964.00M,85.40M,85.40M,,,,72.70M,1.122B,6.944B,6.944B,1.518B,1.518B,772.00M,,-0.10M,8.462B,9.584B,,,-1.914B,,,,,,,-775.50M,,,
1995-09,616.50M,,616.50M,,336.60M,223.90M,,,314.50M,1.492B,,,,,,,2.447B,-892.90M,1.554B,,,,,,6.192B,7.746B,9.237B,,801.30M,801.30M,,801.30M,249.10M,249.10M,,,,95.70M,1.146B,6.620B,6.620B,1.520B,1.520B,703.90M,,,8.140B,9.286B,,,-1.882B,,,,,,,-752.30M,,,
1995-06,447.90M,,447.90M,,301.60M,196.80M,,,336.60M,1.283B,,,,,,,2.339B,-863.90M,1.475B,,,,,,6.249B,7.724B,9.007B,,707.30M,707.30M,,707.30M,332.00M,332.00M,,,,94.60M,1.134B,6.400B,6.400B,1.517B,1.517B,710.70M,,,7.916B,9.050B,,,-1.869B,,,,,,,-754.10M,,,
1995-03,415.90M,,415.90M,,285.30M,193.70M,,,105.60M,1.000B,,,,,,,2.121B,-822.50M,1.298B,,,,,,6.162B,7.460B,8.460B,,602.40M,602.40M,,602.40M,262.20M,262.20M,,,,91.80M,956.40M,6.026B,6.026B,1.400B,1.400B,803.60M,,,7.426B,8.383B,,,-1.834B,,,,,,,-726.20M,,,
1994-12,335.30M,,335.30M,,108.20M,,,,165.00M,608.50M,,,,,,,2.081B,-823.60M,1.258B,,4.100B,4.100B,,,797.10M,6.154B,6.763B,,402.90M,402.90M,,402.90M,182.90M,182.90M,,,,74.80M,660.60M,4.810B,4.810B,1.391B,1.391B,627.70M,,0.20M,6.202B,6.862B,,,-1.828B,,,,,,,-726.80M,,,
1994-09,339.40M,,339.40M,,92.80M,,,,227.80M,660.00M,,,,,,,2.635B,-1.594B,1.041B,,,,,,3.263B,4.304B,4.964B,,279.10M,279.10M,,279.10M,136.70M,136.70M,,,,69.60M,485.40M,3.821B,3.821B,936.50M,936.50M,357.80M,,,4.758B,5.243B,,,875.30M,,,,,,,-636.60M,,,
1994-06,100.50M,,100.50M,,79.30M,,,,239.60M,419.40M,,,,,,,2.531B,-1.523B,1.008B,,,,,,3.195B,4.202B,4.622B,,257.40M,257.40M,,257.40M,130.20M,130.20M,,,,63.60M,451.20M,3.775B,3.775B,1.116B,1.116B,,,,4.891B,5.342B,,,815.00M,,,,,,,-720.60M,,,
1994-03,330.40M,,330.40M,,70.60M,,,,202.50M,603.50M,,,,,,,2.442B,-1.451B,991.70M,,,,,,3.168B,4.160B,4.763B,,248.50M,248.50M,,248.50M,147.30M,147.30M,,,,69.10M,464.90M,3.918B,3.918B,1.082B,1.082B,,,0.10M,5.000B,5.465B,,,813.90M,,,,,,,-701.90M,,,
1993-12,160.40M,,160.40M,,72.20M,,,,544.00M,776.60M,,,,,,,1.723B,-701.60M,1.021B,,2.486B,2.486B,,,665.20M,4.172B,4.948B,,255.50M,255.50M,,255.50M,264.80M,264.80M,,,,74.30M,594.60M,4.163B,4.163B,1.061B,1.061B,,,,5.224B,5.819B,,,-1.718B,,,,,,,-870.50M,,,
1993-09,152.10M,,152.10M,,74.20M,,,,327.40M,553.70M,,,,,,,1.672B,-663.70M,1.009B,,,,,,3.121B,4.130B,4.684B,,235.20M,235.20M,,235.20M,91.40M,91.40M,,,,70.20M,396.80M,4.074B,4.074B,1.065B,1.065B,,,,5.140B,5.536B,,,-1.673B,,,,,,,-853.00M,,,
1993-06,166.10M,,166.10M,,58.90M,,,,204.50M,429.50M,,,,,,,1.641B,-626.10M,1.015B,,,,,,2.999B,4.014B,4.444B,,227.10M,227.10M,,227.10M,81.10M,81.10M,,,,74.90M,383.10M,3.883B,3.883B,1.014B,1.014B,,,,4.897B,5.280B,,,-1.632B,,,,,,,-836.60M,,,
1993-03,220.10M,,220.10M,,51.40M,,,,340.90M,612.40M,,,,,,,1.623B,-595.40M,1.028B,,,,,,2.967B,3.995B,4.607B,,214.80M,214.80M,,214.80M,100.90M,100.90M,,,,77.80M,393.50M,4.015B,4.015B,1.017B,1.017B,,,0.10M,5.032B,5.426B,,,-1.610B,,,,,,,-818.90M,,,
1992-12,213.40M,,213.40M,,57.80M,,,,157.40M,428.60M,,,,,,,1.522B,-565.40M,957.10M,,,,,,2.886B,3.843B,4.272B,,234.50M,234.50M,,234.50M,87.20M,87.20M,,,,70.00M,391.70M,3.974B,3.974B,88.40M,88.40M,,,-0.10M,4.062B,4.454B,,,-838.00M,,,,,,,-181.60M,,,
1992-09,158.00M,,158.00M,,44.00M,,,,271.50M,473.50M,,,,,,,1.003B,-426.30M,576.70M,,,,,,2.577B,3.153B,3.627B,,141.70M,141.70M,,141.70M,96.80M,96.80M,,,,64.40M,302.90M,2.487B,2.487B,59.10M,59.10M,,,798.90M,3.345B,3.648B,,,-692.30M,,,,,,,-21.20M,,,
1992-06,104.70M,,104.70M,,46.90M,,,,206.20M,357.80M,,,,,,,977.40M,-403.40M,574.00M,,,,,,2.546B,3.120B,3.477B,,145.50M,145.50M,,145.50M,102.20M,102.20M,,,,54.20M,301.90M,2.287B,2.287B,59.00M,59.00M,,,787.00M,3.133B,3.435B,,,-635.00M,,,,,,,42.20M,,,
1992-03,111.60M,,111.60M,,38.20M,,,,262.30M,412.10M,,,,,,,954.80M,-382.60M,572.20M,,,,,,2.548B,3.120B,3.532B,,137.20M,137.20M,,137.20M,92.90M,92.90M,,,,64.70M,294.80M,2.331B,2.331B,55.60M,55.60M,,,775.00M,3.162B,3.456B,,,-590.00M,,,,,,,76.20M,,,
1991-12,125.70M,,125.70M,,30.10M,,,,489.70M,645.50M,,,,,,,845.40M,-340.60M,504.80M,,341.80M,341.80M,,,1.302B,2.148B,2.794B,,118.30M,118.30M,,118.30M,94.70M,94.70M,,,,51.30M,264.30M,1.690B,1.690B,56.90M,56.90M,,,763.00M,2.510B,2.774B,,,-548.60M,,,,,,,19.50M,,,
1991-09,70.90M,,70.90M,,190.80M,,,,266.10M,527.80M,,,,,,,839.00M,-326.20M,512.80M,,,,,,1.646B,2.159B,2.687B,,95.90M,95.90M,,95.90M,45.30M,45.30M,,,,66.10M,207.30M,1.618B,1.618B,52.80M,52.80M,,,751.70M,2.423B,2.630B,,,-4.10M,,,,,,,56.60M,,,
