,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-09,215.00M,,,120.00M,369.00M,369.00M,21.00M,,,,-57.00M,,-18.00M,-21.00M,-4.00M,-2.00M,,-102.00M,623.00M,,-272.00M,34.00M,-238.00M,-39.00M,-147.00M,79.00M,-345.00M,,,-34.00M,17.00M,-295.00M,-278.00M,,-103.00M,,-46.00M,-461.00M,,481.00M,-183.00M,2.00M,300.00M,,17.00M,,,-295.00M,,,
2005-06,527.00M,,,30.00M,346.00M,346.00M,-49.00M,,,,-99.00M,,-18.00M,-162.00M,15.00M,5.00M,,-259.00M,595.00M,,-308.00M,27.00M,-281.00M,-4.00M,-33.00M,146.00M,-172.00M,,,-108.00M,25.00M,-179.00M,-154.00M,,-119.00M,,-1.00M,-382.00M,,441.00M,41.00M,-1.00M,481.00M,,25.00M,,,-179.00M,,,
2005-03,150.00M,,,17.00M,321.00M,321.00M,9.00M,,,,99.00M,,,-67.00M,-25.00M,4.00M,,11.00M,508.00M,,-185.00M,97.00M,-88.00M,-87.00M,10.00M,44.00M,-121.00M,,,-118.00M,26.00M,-99.00M,-73.00M,,-117.00M,,-64.00M,-372.00M,,424.00M,15.00M,2.00M,441.00M,,26.00M,,,-99.00M,,,
2004-12,269.00M,,,-5.00M,318.00M,318.00M,46.00M,,,,4.00M,,35.00M,-69.00M,-21.00M,6.00M,,-68.00M,600.00M,,-421.00M,23.00M,-398.00M,-20.00M,9.00M,129.00M,-280.00M,,,-300.00M,43.00M,-143.00M,-100.00M,,-106.00M,,9.00M,-497.00M,,619.00M,-177.00M,1.00M,443.00M,,43.00M,,,-143.00M,,,
2004-09,302.00M,,,35.00M,345.00M,345.00M,20.00M,,,,-123.00M,,-11.00M,51.00M,-2.00M,-18.00M,,-103.00M,599.00M,,-311.00M,17.00M,-294.00M,-12.00M,156.00M,112.00M,-38.00M,,,-65.00M,30.00M,-245.00M,-215.00M,,-108.00M,,53.00M,-335.00M,,391.00M,226.00M,2.00M,619.00M,,30.00M,,,-245.00M,,,
2004-06,216.00M,,,24.00M,348.00M,348.00M,51.00M,,,,-155.00M,,6.00M,53.00M,-4.00M,10.00M,,-90.00M,549.00M,,-345.00M,34.00M,-311.00M,-25.00M,182.00M,110.00M,-44.00M,,,-359.00M,72.00M,-84.00M,-12.00M,,-95.00M,,-39.00M,-505.00M,,393.00M,0.00,-2.00M,391.00M,,72.00M,,,-84.00M,,,
2004-03,152.00M,,,12.00M,325.00M,325.00M,39.00M,,,,51.00M,,-30.00M,-78.00M,-6.00M,5.00M,,-58.00M,470.00M,,-181.00M,22.00M,-159.00M,-73.00M,-347.00M,78.00M,-501.00M,,,338.00M,48.00M,-24.00M,24.00M,,-123.00M,,-32.00M,207.00M,,217.00M,176.00M,,393.00M,,48.00M,,,-24.00M,,,
2003-12,183.00M,,,55.00M,313.00M,313.00M,117.00M,,,-1.00M,-16.00M,,20.00M,52.00M,-18.00M,-65.00M,,-27.00M,640.00M,,-402.00M,30.00M,-372.00M,-93.00M,,143.00M,-322.00M,,,-440.00M,31.00M,-286.00M,-255.00M,,,,14.00M,-687.00M,,585.00M,-369.00M,1.00M,217.00M,,31.00M,,,-286.00M,,,
2003-09,210.00M,,,4.00M,325.00M,325.00M,177.00M,,,1.00M,-39.00M,,-18.00M,-430.00M,-9.00M,-8.00M,,-504.00M,213.00M,,-297.00M,10.00M,-287.00M,-72.00M,,109.00M,-250.00M,,,-15.00M,12.00M,-193.00M,-181.00M,,,,-31.00M,-227.00M,,753.00M,-264.00M,1.00M,585.00M,,12.00M,,,-193.00M,,,
2003-06,176.00M,,,5.00M,325.00M,325.00M,26.00M,,,,-69.00M,,55.00M,49.00M,70.00M,7.00M,,112.00M,644.00M,,-289.00M,18.00M,-271.00M,-87.00M,,73.00M,-285.00M,,,14.00M,7.00M,-3.00M,4.00M,,,,-5.00M,13.00M,,381.00M,372.00M,,753.00M,,7.00M,,,-3.00M,,,
2003-03,61.00M,,,56.00M,302.00M,302.00M,43.00M,,,,45.00M,,-38.00M,-86.00M,30.00M,16.00M,,-33.00M,429.00M,,-212.00M,16.00M,-196.00M,-85.00M,,54.00M,-227.00M,,,-15.00M,2.00M,-68.00M,-66.00M,,,,-4.00M,-85.00M,,264.00M,117.00M,,381.00M,,2.00M,,,-68.00M,,,
2002-12,236.00M,,,-55.00M,304.00M,304.00M,212.00M,,,,104.00M,,10.00M,-300.00M,116.00M,1.00M,,-69.00M,626.00M,,-373.00M,93.00M,-280.00M,-37.00M,,138.00M,-179.00M,,,-414.00M,2.00M,-421.00M,-419.00M,,,,,-769.00M,,656.00M,-322.00M,0.00,359.00M,,2.00M,,,-421.00M,,,
2002-09,231.00M,,,3.00M,311.00M,311.00M,-3.00M,,,,-22.00M,,-5.00M,93.00M,37.00M,-2.00M,,101.00M,643.00M,,-362.00M,11.00M,-351.00M,-61.00M,,78.00M,-334.00M,,,-313.00M,2.00M,-61.00M,-59.00M,,,,,-372.00M,,720.00M,-63.00M,-1.00M,656.00M,,2.00M,,,-61.00M,,,
2002-06,217.00M,,,8.00M,313.00M,313.00M,76.00M,,,,-169.00M,,26.00M,-6.00M,-14.00M,-3.00M,,-166.00M,448.00M,,-372.00M,34.00M,-338.00M,-16.00M,,36.00M,-318.00M,,,469.00M,13.00M,-200.00M,-187.00M,,,,,282.00M,,306.00M,412.00M,2.00M,720.00M,,13.00M,,,-200.00M,,,
2002-03,138.00M,,,3.00M,294.00M,294.00M,34.00M,,,,130.00M,,-33.00M,-146.00M,-17.00M,33.00M,,-33.00M,436.00M,,-180.00M,37.00M,-143.00M,-48.00M,,60.00M,-131.00M,,,-439.00M,10.00M,-300.00M,-290.00M,,,,,-729.00M,,730.00M,-424.00M,,306.00M,,10.00M,,,-300.00M,,,
2001-12,158.00M,,,27.00M,343.00M,343.00M,92.00M,,,,114.00M,,-9.00M,66.00M,50.00M,6.00M,,227.00M,847.00M,,-485.00M,16.00M,-469.00M,-21.00M,,45.00M,-445.00M,,,255.00M,4.00M,,4.00M,,,,0.00,253.00M,,75.00M,655.00M,0.00,730.00M,,4.00M,,,,,,
2001-09,30.00M,,,356.00M,352.00M,352.00M,-62.00M,,,,-44.00M,,8.00M,26.00M,-5.00M,-19.00M,,-34.00M,642.00M,,-369.00M,16.00M,-353.00M,-30.00M,,45.00M,-338.00M,,,-632.00M,8.00M,,8.00M,,,,0.00,-624.00M,,396.00M,-320.00M,-1.00M,75.00M,,8.00M,,,,,,
2001-06,191.00M,,,-3.00M,341.00M,341.00M,45.00M,,,,-144.00M,,15.00M,12.00M,-1.00M,10.00M,,-108.00M,466.00M,,-330.00M,20.00M,-310.00M,-43.00M,,8.00M,-345.00M,,,-612.00M,20.00M,,20.00M,,,,-19.00M,-611.00M,,887.00M,-490.00M,-1.00M,396.00M,,20.00M,,,,,,
2001-03,124.00M,,,7.00M,335.00M,335.00M,56.00M,,,,108.00M,,-12.00M,-191.00M,-10.00M,-17.00M,,-122.00M,400.00M,,-144.00M,6.00M,-138.00M,-22.00M,,56.00M,-104.00M,,,479.00M,18.00M,,18.00M,,,,,497.00M,,94.00M,793.00M,,887.00M,,18.00M,,,,,,
2000-12,38.52M,,,86.59M,349.67M,349.67M,-117.05M,,,,67.24M,,,64.28M,49.37M,-76.32M,-0.004M,104.57M,462.30M,,-399.92M,428.88M,28.96M,-13.45M,0.265M,22.35M,38.12M,,,-563.49M,18.78M,,18.78M,,,,,-550.72M,,144.80M,-50.30M,-0.145M,94.00M,,18.78M,,,,,,
2000-09,-190.84M,,,351.45M,366.62M,366.62M,102.26M,,,,5.239M,,,-105.67M,-10.75M,44.00M,-1.996M,-69.18M,560.31M,,-349.19M,1.040B,690.99M,-48.23M,0.002M,5.588M,648.35M,,,-1.167B,0.00,,0.00,,,,,-1.167B,,103.54M,42.15M,-0.901M,144.80M,,0.00,,,,,,
2000-06,0.315M,,,233.97M,362.31M,362.31M,40.97M,,,,-77.52M,,,-77.60M,-12.88M,-44.39M,1.996M,-210.40M,427.17M,,-315.32M,1.021B,705.59M,-55.21M,0.00,25.84M,676.22M,,,-1.146B,1.222M,,1.222M,,,,-0.874M,-1.146B,,147.42M,-42.39M,-1.487M,103.54M,,1.222M,,,,,,
2000-03,55.00M,,,109.99M,350.41M,350.41M,38.82M,,,,288.04M,,,-182.02M,0.267M,16.71M,-1.996M,121.01M,675.23M,,-248.56M,62.02M,-186.54M,-114.11M,53.73M,-43.78M,-290.70M,,,-416.88M,,,,,,,0.874M,-416.00M,,181.36M,-31.47M,-2.467M,147.42M,,,,,,,,
1999-12,-112.20M,,,59.70M,411.30M,411.30M,207.10M,,,,-47.10M,,,-206.10M,118.30M,-52.40M,,-169.30M,396.60M,,731.70M,148.30M,880.00M,-1.289B,-16.50M,26.00M,-399.50M,,,-23.70M,0.60M,,0.60M,,,,-3.00M,-32.10M,,221.90M,-35.00M,-6.00M,181.00M,,0.60M,,,,,,
1999-09,-947.80M,,,770.50M,452.90M,452.90M,-136.10M,,,0.10M,203.00M,,,65.20M,113.00M,19.30M,,400.50M,540.10M,,-1.445B,-44.00M,-1.489B,644.50M,-18.20M,-48.70M,-911.00M,,,501.40M,10.30M,,10.30M,,,,-0.10M,511.60M,,81.00M,140.70M,0.10M,221.90M,,10.30M,,,,,,
1999-06,300.70M,,,18.60M,399.50M,399.50M,115.00M,,,0.00,-290.20M,,,-302.70M,76.20M,60.90M,,-455.80M,378.00M,,-52.00M,297.80M,245.80M,-644.50M,0.20M,6.70M,-391.80M,,,-109.20M,165.10M,,165.10M,,,,-24.00M,31.90M,,59.40M,18.10M,3.70M,81.00M,,165.10M,,,,,,
1999-03,364.30M,,,-3.80M,350.30M,350.30M,132.00M,,,-0.10M,-34.70M,,,-48.40M,-62.50M,-322.80M,,-468.40M,374.30M,,-562.10M,248.90M,-313.20M,,-6.50M,5.00M,-314.70M,,,-109.50M,,,,,,,24.10M,-85.40M,,86.90M,-25.80M,-1.80M,59.40M,,,,,,,,
1998-12,63.30M,,,159.80M,374.00M,374.00M,50.30M,,,-0.20M,-59.30M,,,-458.00M,58.30M,59.10M,,-466.90M,180.30M,,1.176B,133.70M,1.310B,,-1.30M,-692.10M,-1.330B,,,1.076B,0.10M,,0.10M,,-10.80M,,-0.60M,1.065B,,179.40M,-84.80M,-7.70M,87.00M,,0.10M,,,,,,
1998-09,-1.258B,,,1.430B,381.30M,381.30M,-550.70M,,,0.20M,-112.30M,,,675.90M,65.20M,-48.90M,,579.90M,582.80M,,-688.60M,-44.00M,-732.60M,,0.50M,19.50M,-712.60M,,,-172.10M,76.10M,,76.10M,,0.10M,,-6.70M,-102.60M,,0.00,-232.40M,1.70M,179.40M,,76.10M,,,,,,
1998-06,246.70M,,,2.20M,387.40M,387.40M,0.20M,,,,-163.90M,,,-142.10M,-27.10M,35.50M,,-297.60M,338.90M,,-896.40M,125.60M,-770.80M,,57.80M,-65.80M,-778.80M,,,-400.20M,921.80M,,921.80M,,-4.70M,,-29.80M,487.10M,,0.00,47.20M,0.30M,0.00,,921.80M,,,,,,
1998-03,181.40M,,,-29.50M,356.30M,356.30M,50.20M,,,,78.50M,,,-216.80M,24.60M,-44.70M,,-158.40M,400.00M,,-1.242B,329.70M,-912.20M,,,-821.60M,-1.734B,,,1.491B,80.00M,,80.00M,,-78.60M,,14.10M,1.507B,,189.90M,173.00M,-0.30M,0.00,,80.00M,,,,,,
1997-12,-1.302B,,,1.492B,410.70M,410.70M,-116.10M,,,41.20M,19.50M,,,63.00M,274.20M,57.40M,,414.10M,844.40M,,-906.10M,1.497B,590.50M,,-10.70M,-1.409B,-829.40M,,,81.30M,67.90M,-97.20M,-29.30M,,-77.40M,,2.10M,-23.30M,,0.00,-8.30M,-0.50M,189.90M,,67.90M,,,-97.20M,,,
1997-09,226.30M,,,129.70M,849.50M,849.50M,-295.60M,,,-1.80M,21.20M,,,278.30M,-120.50M,28.80M,,207.80M,1.116B,,-734.10M,-109.00M,-843.10M,,-107.00M,1.295B,345.30M,,,-553.40M,61.00M,-903.00M,-842.00M,,-232.20M,,-25.80M,-1.653B,,0.00,-192.20M,-5.20M,0.00,,61.00M,,,-903.00M,,,
1997-06,87.30M,,,-0.20M,75.40M,75.40M,18.90M,,,106.80M,-85.90M,,,-113.30M,5.70M,-13.30M,,-206.80M,81.40M,,-1.299B,90.00M,-1.209B,,,556.00M,-653.20M,,,538.40M,12.20M,,12.20M,,,,-7.30M,543.30M,,0.00,-28.50M,-1.00M,0.00,,12.20M,,,,,,
1997-03,58.00M,,,-0.40M,56.20M,56.20M,17.30M,,,-106.90M,,,,,,,,,24.20M,,-78.20M,19.00M,-59.20M,,,-581.00M,-640.20M,,,171.40M,517.90M,,517.90M,,,,-0.90M,688.40M,,26.10M,72.40M,0.90M,0.00,,517.90M,,,,,,
1996-12,-9.40M,,,435.90M,1.125B,1.125B,204.00M,,,34.40M,,,,,,,,,1.691B,,-1.741B,830.80M,-910.60M,,,-50.10M,-959.50M,,,72.60M,83.60M,,-390.00M,,,,23.20M,-602.50M,,0.00,128.90M,,0.00,,83.60M,,,,,,
1996-09,-14.60M,,,61.40M,69.10M,69.10M,-27.70M,,,77.50M,,,,,,,,,165.70M,,-135.90M,-3.30M,-139.20M,,,-174.40M,-313.60M,,,133.40M,22.40M,,22.40M,,,,-2.40M,153.40M,,0.00,5.50M,,0.00,,22.40M,,,,,,
1996-06,-2.10M,,,,37.10M,37.10M,12.90M,,,-13.00M,,,,,,,,,34.90M,,-98.60M,1.90M,-96.70M,,,-72.90M,-169.60M,,,125.90M,10.10M,,10.10M,,,,0.80M,136.80M,,0.00,2.10M,,0.00,,10.10M,,,,,,
1996-03,27.70M,,,,32.70M,32.70M,,,,-20.90M,,,,,,,,,39.50M,,-53.00M,1.40M,-51.60M,,,-96.50M,-148.10M,,,116.50M,3.20M,,3.20M,,,,0.40M,120.10M,,21.10M,11.50M,,0.00,,3.20M,,,,,,
1995-12,89.60M,,,-1.40M,102.10M,102.10M,16.20M,,,109.70M,-14.30M,,,-11.60M,-9.60M,-75.20M,,-110.70M,205.50M,,-465.40M,4.30M,-461.10M,,,-17.30M,-478.40M,,,30.40M,263.40M,,263.40M,,,,-17.40M,276.40M,,0.00,3.50M,,0.00,,263.40M,,,,,,
1995-09,18.90M,,,,14.60M,14.60M,,,,-106.50M,,,,,,,,,-73.00M,,-17.20M,2.20M,-15.00M,,,13.30M,-1.70M,,,45.70M,2.40M,,2.40M,,,,-3.00M,45.10M,,0.00,-29.60M,,0.00,,2.40M,,,,,,
1995-06,-32.50M,,,0.50M,21.80M,21.80M,-0.50M,,,-3.40M,1.40M,,,5.50M,3.30M,-0.30M,,9.90M,-4.20M,,-29.00M,4.70M,-24.30M,,,-8.10M,-32.40M,,,46.60M,-0.50M,,-0.50M,,,,0.90M,47.00M,,0.00,10.40M,,0.00,,-0.50M,,,,,,
1995-03,4.80M,,,-0.50M,5.40M,5.40M,0.50M,,,0.10M,-1.40M,,,-5.50M,-3.30M,0.30M,,-9.90M,0.40M,,-9.70M,,-9.70M,,,-3.90M,-13.60M,,,13.70M,0.50M,,0.50M,,,,0.10M,14.30M,,6.60M,1.10M,,0.00,,0.50M,,,,,,
1994-12,5.50M,,,-0.70M,4.80M,4.80M,-1.80M,,,,-0.50M,,,-3.50M,-1.00M,-1.20M,,-6.20M,1.60M,,8.40M,1.10M,9.50M,,,-21.60M,-12.10M,,,15.60M,-0.10M,,-0.10M,,,,0.10M,15.60M,,0.00,5.10M,,0.00,,-0.10M,,,,,,
1994-09,4.60M,,,-0.80M,5.00M,5.00M,1.80M,,,-0.10M,-0.80M,,,-1.80M,-1.10M,0.70M,,-3.00M,7.50M,,-29.80M,11.10M,-18.70M,,,17.10M,-1.60M,,,-10.30M,0.20M,,0.20M,,,,0.00,-10.10M,,0.00,-4.20M,,0.00,,0.20M,,,,,,
1994-06,1.40M,,,-0.10M,6.20M,6.20M,0.00,,,0.20M,-1.30M,,,0.60M,-2.10M,0.50M,,-2.30M,5.40M,,-11.00M,1.40M,-9.60M,,,-24.20M,-33.80M,,,29.60M,0.20M,,0.20M,,,,-0.10M,29.70M,,0.00,1.30M,,0.00,,0.20M,,,,,,
1994-03,2.30M,,,,2.80M,2.80M,0.20M,,,-0.10M,-2.00M,,,1.60M,-0.50M,0.10M,,-0.80M,4.40M,,-8.50M,0.10M,-8.40M,,,-0.90M,-9.30M,,,4.40M,0.30M,,0.30M,,,,,4.70M,,3.20M,-0.20M,,0.00,,0.30M,,,,,,
1993-12,2.60M,,,0.10M,2.60M,2.60M,0.60M,,,-0.20M,-1.40M,0.50M,,-0.30M,-1.60M,0.80M,,-2.00M,3.70M,,-8.90M,3.80M,-5.10M,,26.80M,-30.40M,-8.70M,,,4.60M,,1.30M,1.30M,,,,,4.60M,,0.00,-0.40M,,0.00,,,,,1.30M,,,
1993-09,2.90M,,,0.00,2.30M,2.30M,-0.50M,,,0.30M,-0.20M,-0.50M,,-0.10M,0.00,0.00,,-0.80M,4.20M,,-0.10M,,-0.10M,,-26.80M,-0.70M,-27.60M,,,21.80M,,0.00,0.00,,,,,21.80M,,0.00,-1.60M,,0.00,,,,,0.00,,,
1993-06,2.10M,,,-0.50M,1.80M,1.80M,0.40M,,,-0.20M,0.70M,,,-2.40M,-0.50M,-0.40M,,-2.60M,1.00M,,-9.50M,-0.70M,-10.20M,,,8.30M,-1.90M,,,0.20M,,-0.70M,-0.70M,,,,,-0.50M,,0.00,-1.40M,,0.00,,,,,-0.70M,,,
1993-03,2.00M,,,-0.20M,1.50M,1.50M,0.50M,,,0.10M,0.50M,,,-0.70M,-0.60M,0.10M,,-0.70M,3.20M,,-4.00M,0.70M,-3.30M,,,-7.30M,-10.60M,,,3.00M,,-0.60M,-0.60M,,,,,2.40M,,11.70M,-5.00M,,0.00,,,,,-0.60M,,,
1992-12,2.00M,,,-0.40M,1.30M,1.30M,-1.30M,,,0.40M,1.90M,,,1.80M,0.80M,0.00,,4.50M,6.50M,,4.40M,0.40M,4.80M,,,-17.20M,-12.40M,,,5.30M,0.00,-2.90M,-2.90M,,,,-0.10M,2.30M,,0.00,-3.60M,,0.00,,0.00,,,-2.90M,,,
1992-09,1.90M,,,0.30M,1.30M,1.30M,0.80M,,,,-1.30M,,,0.40M,-0.60M,-0.10M,,-1.60M,2.70M,,-9.40M,0.40M,-9.00M,,,7.00M,-2.00M,,,9.80M,0.10M,-0.60M,-0.50M,,,,0.10M,9.40M,,0.00,10.10M,,0.00,,0.10M,,,-0.60M,,,
1992-06,1.90M,,,-0.10M,1.40M,1.40M,0.80M,,,0.10M,-1.20M,,,-0.80M,-0.10M,0.20M,,-1.90M,2.20M,,7.50M,,7.50M,,,-8.10M,-0.60M,,,-0.20M,0.00,,0.00,,,,-0.10M,-0.30M,,0.00,1.30M,,0.00,,0.00,,,,,,
1992-03,1.50M,,,0.10M,0.80M,0.80M,0.60M,,,-0.10M,-0.40M,,,,-0.80M,0.20M,,-1.00M,1.90M,,-8.80M,,-8.80M,,,,-8.80M,,,6.80M,0.10M,,0.10M,,,,,6.90M,,3.90M,,,0.00,,0.10M,,,,,,
1991-12,1.00M,,,0.50M,0.50M,0.50M,,,,,-0.40M,,,-0.70M,-0.70M,2.30M,,0.50M,2.70M,,1.50M,,1.80M,,,-18.00M,-16.20M,,,13.60M,3.40M,,3.40M,,,,0.10M,16.40M,,0.00,2.90M,,0.00,,3.40M,,,,,,
1991-09,0.70M,,,0.00,0.50M,0.50M,,,,,,,,,,-2.60M,,-2.60M,-1.40M,,-1.00M,,-1.00M,,,-1.10M,-2.10M,,,-0.10M,1.50M,,1.50M,,,,-0.10M,1.30M,,0.00,-2.20M,,0.00,,1.50M,,,,,,
1991-06,1.10M,,,-1.20M,0.40M,0.40M,,,,,0.10M,,,0.20M,0.20M,-0.40M,,0.10M,0.40M,,-4.50M,,-4.50M,,,-4.30M,-8.80M,,,8.70M,2.20M,,2.20M,,,,0.10M,11.00M,,0.00,2.60M,,0.00,,2.20M,,,,,,
1991-03,0.20M,,,,0.20M,0.20M,,,,,-0.10M,,,-0.20M,-0.20M,-0.10M,,-0.60M,-0.20M,,-0.60M,,-0.60M,,,-1.80M,-2.40M,,,0.80M,0.10M,,0.10M,,,,,0.90M,,2.30M,-1.70M,,0.00,,0.10M,,,,,,
1990-12,0.10M,,,,0.20M,0.20M,,,,-0.10M,-0.20M,,,0.10M,,,,-0.10M,0.20M,,-0.10M,,0.10M,,,-2.50M,-2.40M,,,-0.30M,4.10M,,4.10M,,,,,3.90M,,0.00,1.70M,,0.00,,4.10M,,,,,,
1990-09,0.10M,,,,0.20M,0.20M,,,,-0.10M,-0.10M,,,0.30M,0.60M,,,0.80M,1.00M,,-0.40M,,-0.40M,,,-2.20M,-2.60M,,,1.60M,0.20M,,0.20M,,,,,1.80M,,0.00,0.20M,,0.00,,0.20M,,,,,,
1990-06,,,,,0.10M,0.10M,,,,0.10M,0.00,,,,-0.60M,,,-0.60M,-0.40M,,-0.10M,,-0.10M,,,,-0.10M,,,-0.10M,,,,,,,,-0.10M,,0.00,-0.60M,,0.00,,,,,,,,
1990-03,,,,,0.20M,0.20M,,,,,-0.10M,,,,,,,-0.10M,0.10M,,-0.20M,,-0.20M,,,,-0.20M,,,-0.10M,,,,,,,,-0.10M,,1.20M,-0.20M,,0.00,,,,,,,,
