,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-10,603.00M,14.00M,617.00M,3.593B,,3.593B,,13.71B,923.00M,18.84B,,,,,,,,33.72B,-7.528B,26.19B,6.173B,,6.173B,,1.422B,33.79B,52.63B,8.67B,,8.67B,3.353B,12.02B,,1.486B,,1.486B,1.689B,1.689B,930.00M,16.13B,6.671B,,6.671B,1.175B,1.175B,,896.00M,8.742B,24.87B,121.00M,32.84B,7.608B,13.26B,,,448.00M,27.76B
2006-07,645.00M,14.00M,659.00M,3.566B,,3.566B,,13.64B,944.00M,18.81B,,,,,,,,33.06B,-7.416B,25.64B,6.013B,,6.013B,,1.306B,32.96B,51.77B,9.432B,,9.432B,3.316B,12.75B,,117.00M,,117.00M,1.872B,1.872B,1.149B,15.89B,6.66B,,6.66B,1.11B,1.11B,,888.00M,8.658B,24.54B,121.00M,31.66B,7.534B,12.49B,,,403.00M,27.22B
2006-04,1.264B,1.322B,2.586B,3.412B,,3.412B,,13.40B,880.00M,20.28B,,,,,,,,32.32B,-7.028B,25.30B,5.432B,,5.432B,,1.673B,32.40B,52.68B,9.452B,,9.452B,3.127B,12.58B,,15.00M,,15.00M,1.962B,1.962B,1.722B,16.28B,6.652B,,6.652B,1.153B,1.153B,,797.00M,8.602B,24.88B,121.00M,30.11B,7.39B,10.28B,,,457.00M,27.80B
2006-01,793.00M,14.00M,807.00M,2.396B,,2.396B,,11.40B,665.00M,15.27B,0.0,7.924B,15.26B,7.073B,427.00M,843.00M,,31.53B,-6.629B,24.90B,3.286B,,3.286B,,949.00M,29.14B,44.40B,6.032B,,6.032B,2.628B,8.66B,,1.413B,,1.413B,1.757B,1.757B,876.00M,12.71B,2.672B,,2.672B,946.00M,946.00M,,1.172B,4.79B,17.50B,120.00M,28.94B,7.149B,9.712B,,,409.00M,26.91B
2005-10,905.00M,473.00M,1.378B,2.55B,,2.55B,,12.04B,509.00M,16.48B,,,,,,,,30.59B,-6.319B,24.27B,3.12B,,3.12B,,800.00M,28.19B,44.67B,8.101B,,8.101B,3.037B,11.14B,,513.00M,,513.00M,1.759B,1.759B,908.00M,14.32B,2.661B,,2.661B,1.08B,1.08B,,819.00M,4.56B,18.88B,120.00M,27.87B,7.099B,9.488B,,,191.00M,25.79B
2005-07,736.00M,1.582B,2.318B,2.182B,,2.182B,,11.25B,652.00M,16.40B,,,,,,,,29.62B,-5.968B,23.65B,1.994B,,1.994B,,644.00M,26.28B,42.69B,7.705B,,7.705B,2.872B,10.58B,,14.00M,,14.00M,1.762B,1.762B,947.00M,13.30B,2.168B,,2.168B,1.301B,1.301B,,781.00M,4.25B,17.55B,120.00M,26.55B,6.958B,8.621B,,,136.00M,25.14B
2005-04,683.00M,2.309B,2.992B,1.973B,,1.973B,,11.30B,569.00M,16.84B,,,,,,,,28.82B,-5.789B,23.03B,1.476B,,1.476B,,611.00M,25.12B,41.96B,8.035B,,8.035B,2.569B,10.60B,,14.00M,,14.00M,1.816B,1.816B,1.335B,13.77B,2.145B,,2.145B,1.396B,1.396B,,826.00M,4.367B,18.14B,119.00M,24.99B,6.762B,8.116B,,,64.00M,23.82B
2005-01,506.00M,1.659B,2.165B,1.499B,,1.499B,,10.08B,450.00M,14.19B,0.0,6.932B,13.52B,6.195B,390.00M,1.404B,,28.44B,-5.711B,22.73B,1.394B,,1.394B,,597.00M,24.72B,38.91B,5.766B,,5.766B,2.633B,8.399B,,11.00M,,11.00M,1.546B,1.546B,573.00M,10.53B,2.148B,,2.148B,1.309B,1.309B,,763.00M,4.22B,14.75B,119.00M,23.96B,6.65B,6.692B,,,119.00M,24.16B
2004-10,3.375B,,3.375B,1.822B,,1.822B,,10.20B,327.00M,15.73B,,,,,,,,27.47B,-5.496B,21.98B,1.388B,,1.388B,,540.00M,23.90B,39.63B,7.159B,,7.159B,2.542B,9.701B,,12.00M,,12.00M,1.565B,1.565B,533.00M,11.81B,2.151B,,2.151B,1.213B,1.213B,,709.00M,4.073B,15.88B,119.00M,23.11B,6.474B,6.076B,,,122.00M,23.75B
2004-07,3.672B,,3.672B,1.541B,,1.541B,,9.857B,397.00M,15.47B,,,,,,,,26.11B,-5.152B,20.96B,1.355B,,1.355B,,548.00M,22.86B,38.33B,7.603B,,7.603B,2.496B,10.10B,,510.00M,,510.00M,1.574B,1.574B,744.00M,12.93B,1.124B,,1.124B,1.172B,1.172B,,658.00M,2.954B,15.88B,119.00M,21.98B,6.37B,6.00B,,,-16.00M,22.45B
2004-04,4.298B,2.00M,4.30B,1.502B,,1.502B,,10.11B,377.00M,16.29B,,,,,,,,25.12B,-4.77B,20.35B,824.00M,,824.00M,,484.00M,21.66B,37.95B,7.368B,,7.368B,2.341B,9.709B,,509.00M,,509.00M,1.428B,1.428B,1.066B,12.71B,1.126B,,1.126B,1.089B,1.089B,,599.00M,2.814B,15.53B,119.00M,20.62B,6.27B,4.522B,,,-66.00M,22.42B
2004-01,1.103B,1.749B,2.852B,1.097B,,1.097B,,9.076B,303.00M,13.33B,0.0,6.397B,11.86B,5.163B,352.00M,820.00M,,24.59B,-4.531B,20.06B,833.00M,,833.00M,,213.00M,21.11B,34.44B,5.159B,,5.159B,2.011B,7.17B,,509.00M,,509.00M,1.281B,1.281B,594.00M,9.554B,856.00M,,856.00M,967.00M,967.00M,,653.00M,2.476B,12.03B,119.00M,19.68B,6.184B,3.59B,,,14.00M,22.41B
2003-10,4.944B,22.00M,4.966B,1.432B,,1.432B,,9.002B,297.00M,15.70B,,,,,,,,23.16B,-4.289B,18.88B,631.00M,,631.00M,,170.00M,19.68B,35.37B,6.38B,,6.38B,2.042B,8.422B,,508.00M,,508.00M,1.411B,1.411B,631.00M,10.97B,847.00M,,847.00M,686.00M,686.00M,,608.00M,2.141B,13.11B,119.00M,18.89B,6.12B,2.891B,,,25.00M,22.26B
2003-07,5.209B,45.00M,5.254B,1.379B,,1.379B,,8.621B,313.00M,15.57B,,,,,,,,22.31B,-4.043B,18.26B,590.00M,,590.00M,,192.00M,19.04B,34.61B,5.875B,,5.875B,2.083B,7.958B,,,,,1.334B,1.334B,1.097B,10.39B,1.327B,,1.327B,362.00M,362.00M,,601.00M,2.29B,12.68B,118.00M,17.90B,5.99B,2.028B,,,-48.00M,21.93B
2003-04,4.264B,76.00M,4.34B,1.386B,,1.386B,,9.264B,319.00M,15.31B,,,,,,,,21.46B,-3.809B,17.65B,585.00M,,585.00M,,199.00M,18.44B,33.75B,6.397B,,6.397B,2.116B,8.513B,,,,,1.284B,1.284B,1.128B,10.92B,1.321B,,1.321B,362.00M,362.00M,,461.00M,2.144B,13.07B,118.00M,16.74B,5.894B,2.00B,,,-74.00M,20.68B
2003-01,2.188B,65.00M,2.253B,1.072B,,1.072B,,8.338B,254.00M,11.92B,0.0,5.56B,10.07B,4.074B,306.00M,724.00M,,20.73B,-3.565B,17.17B,575.00M,,575.00M,,351.00M,18.09B,30.01B,4.56B,,4.56B,1.943B,6.503B,,,,,998.00M,998.00M,534.00M,8.035B,1.321B,,1.321B,362.00M,362.00M,,491.00M,2.174B,10.21B,118.00M,15.97B,5.858B,2.00B,,,-145.00M,19.80B
2002-10,3.98B,13.00M,3.993B,1.258B,,1.258B,,8.314B,239.00M,13.80B,,,,,,,,19.97B,-3.369B,16.60B,565.00M,,565.00M,,374.00M,17.54B,31.35B,5.435B,,5.435B,2.003B,7.438B,,6.00M,,6.00M,1.142B,1.142B,491.00M,9.077B,1.316B,,1.316B,363.00M,363.00M,,472.00M,2.151B,11.23B,118.00M,15.42B,5.757B,1.00B,,,-181.00M,20.12B
2002-07,5.734B,191.00M,5.925B,1.235B,,1.235B,,7.196B,254.00M,14.61B,,,,,,,,19.28B,-3.151B,16.13B,454.00M,,454.00M,,288.00M,16.87B,31.48B,5.304B,,5.304B,1.979B,7.283B,,6.00M,,6.00M,1.152B,1.152B,874.00M,9.315B,1.309B,,1.309B,189.00M,189.00M,,423.00M,1.921B,11.24B,118.00M,14.60B,5.705B,,,,-181.00M,20.24B
2002-04,4.982B,193.00M,5.175B,1.082B,,1.082B,,7.417B,254.00M,13.93B,,,,,,,,18.72B,-2.95B,15.77B,423.00M,,423.00M,,290.00M,16.48B,30.41B,5.567B,,5.567B,1.827B,7.394B,,5.00M,,5.00M,1.024B,1.024B,1.00B,9.423B,1.285B,,1.285B,189.00M,189.00M,,438.00M,1.912B,11.34B,117.00M,13.54B,5.575B,,,,-156.00M,19.07B
2002-01,2.477B,69.00M,2.546B,920.00M,,920.00M,,6.725B,170.00M,10.36B,0.0,4.972B,8.448B,3.403B,257.00M,1.049B,,18.13B,-2.754B,15.38B,419.00M,,419.00M,,239.00M,16.03B,26.39B,3.436B,,3.436B,1.65B,5.086B,,5.00M,,5.00M,851.00M,851.00M,559.00M,6.501B,1.25B,,1.25B,189.00M,189.00M,,372.00M,1.811B,8.312B,117.00M,12.80B,5.412B,,,,-246.00M,18.08B
2001-10,1.654B,8.00M,1.662B,1.071B,,1.071B,,7.242B,197.00M,10.17B,,,,,,,,17.54B,-2.594B,14.95B,318.00M,,318.00M,,227.00M,15.50B,25.67B,3.314B,,3.314B,2.636B,5.95B,,60.00M,,60.00M,,,526.00M,6.536B,1.258B,,1.258B,194.00M,194.00M,9.00M,310.00M,1.762B,8.298B,117.00M,12.21B,5.216B,,,,-179.00M,17.36B
2001-07,1.287B,5.00M,1.292B,978.00M,,978.00M,,7.193B,219.00M,9.682B,,,,,,,,16.91B,-2.482B,14.43B,326.00M,,326.00M,,240.00M,15.00B,24.68B,3.126B,,3.126B,2.505B,5.631B,,39.00M,,39.00M,,,591.00M,6.261B,1.271B,,1.271B,203.00M,203.00M,10.00M,284.00M,1.758B,8.019B,117.00M,11.52B,5.129B,,,,-118.00M,16.65B
2001-04,1.363B,10.00M,1.373B,1.039B,,1.039B,,7.24B,202.00M,9.854B,,,,,,,,15.98B,-2.317B,13.66B,307.00M,,307.00M,,254.00M,14.22B,24.08B,3.627B,,3.627B,2.293B,5.92B,,29.00M,,29.00M,,,737.00M,6.686B,1.268B,,1.268B,195.00M,195.00M,11.00M,270.00M,1.733B,8.419B,116.00M,10.69B,4.956B,,,,-117.00M,15.65B
2001-01,167.00M,10.00M,177.00M,835.00M,,835.00M,,6.556B,209.00M,7.777B,0.0,4.23B,6.832B,2.877B,261.00M,1.032B,,15.23B,-2.164B,13.07B,314.00M,,314.00M,,226.00M,13.61B,21.38B,1.976B,,1.976B,2.029B,4.005B,,4.00M,,4.00M,,,376.00M,4.385B,1.545B,,1.545B,195.00M,195.00M,11.00M,245.00M,1.985B,6.37B,116.00M,10.15B,4.81B,,,,-73.00M,15.00B
2000-10,284.00M,16.00M,300.00M,909.00M,,909.00M,,6.464B,206.00M,7.879B,,,,,,,,14.36B,-2.03B,12.33B,306.00M,,306.00M,,212.00M,12.85B,20.73B,2.715B,,2.715B,1.913B,4.628B,,30.00M,,30.00M,,,431.00M,5.089B,774.00M,,774.00M,150.00M,150.00M,12.00M,246.00M,1.17B,6.259B,116.00M,9.779B,4.646B,,,,-86.00M,14.46B
2000-07,940.00M,4.00M,944.00M,778.00M,,778.00M,,6.286B,229.00M,8.237B,,,,,,,,13.36B,-1.905B,11.45B,308.00M,,308.00M,,197.00M,11.96B,20.19B,2.957B,,2.957B,1.637B,4.594B,,30.00M,,30.00M,,,562.00M,5.186B,767.00M,,767.00M,87.00M,87.00M,14.00M,254.00M,1.108B,6.294B,115.00M,9.222B,4.602B,,,,-53.00M,13.89B
2000-04,1.202B,8.00M,1.21B,746.00M,,746.00M,,6.398B,210.00M,8.564B,,,,,,,,12.51B,-1.777B,10.73B,309.00M,,309.00M,,188.00M,11.23B,19.79B,3.464B,,3.464B,1.432B,4.896B,,30.00M,,30.00M,,,740.00M,5.666B,755.00M,,755.00M,87.00M,87.00M,15.00M,258.00M,1.10B,6.766B,116.00M,8.478B,4.47B,,,,-53.00M,13.01B
2000-01,168.00M,2.00M,170.00M,587.00M,,587.00M,,5.489B,144.00M,6.39B,,,,,,,,11.89B,-1.663B,10.23B,,311.00M,311.00M,,153.00M,10.69B,17.08B,1.993B,,1.993B,,1.993B,,29.00M,,29.00M,,,1.634B,3.656B,750.00M,,750.00M,87.00M,87.00M,10.00M,237.00M,1.074B,4.73B,115.00M,7.941B,4.319B,,,,-34.00M,12.34B
1999-10,946.00M,30.00M,976.00M,648.00M,,648.00M,,5.274B,160.00M,7.058B,,,,,,,,11.11B,-1.538B,9.575B,,276.00M,276.00M,,128.00M,9.979B,17.04B,2.603B,,2.603B,,2.603B,,8.00M,,8.00M,,,1.553B,4.164B,735.00M,,735.00M,86.00M,86.00M,11.00M,275.00M,1.096B,5.26B,76.00M,7.455B,4.285B,,-44.00M,-6.00M,-50.00M,11.77B
1999-07,518.00M,,518.00M,545.00M,,545.00M,,4.982B,152.00M,6.197B,,,,,,,,10.55B,-1.438B,9.116B,,273.00M,273.00M,,123.00M,9.512B,15.71B,2.419B,,2.419B,,2.419B,,8.00M,,8.00M,,,1.567B,3.994B,1.338B,,1.338B,85.00M,85.00M,11.00M,261.00M,1.684B,5.678B,,6.941B,,,,,,10.02B
1999-04,604.00M,,604.00M,502.00M,,502.00M,,4.955B,150.00M,6.211B,,,,,,,,9.937B,-1.342B,8.595B,,274.00M,274.00M,,119.00M,8.988B,15.20B,2.592B,,2.592B,,2.592B,,8.00M,,8.00M,,,1.616B,4.216B,1.319B,,1.319B,85.00M,85.00M,12.00M,238.00M,1.642B,5.858B,,6.321B,,,,,,9.329B
1999-01,62.00M,,62.00M,469.00M,,469.00M,,4.293B,109.00M,4.933B,,,,,,,,9.422B,-1.262B,8.16B,,268.00M,268.00M,,104.00M,8.532B,13.46B,1.586B,,1.586B,,1.586B,,14.00M,,14.00M,,,1.257B,2.857B,1.566B,,1.566B,85.00M,85.00M,9.00M,208.00M,1.859B,4.716B,,5.876B,,,,,,8.74B
1998-10,515.00M,,515.00M,,,459.00M,,4.157B,117.00M,5.248B,,,,,,,,8.917B,-1.213B,7.704B,,263.00M,263.00M,,109.00M,8.076B,13.32B,2.144B,,2.144B,,2.144B,,10.00M,,10.00M,,,1.232B,3.386B,1.319B,,1.319B,79.00M,79.00M,5.00M,219.00M,1.617B,5.003B,,5.502B,,,,,,8.316B
1998-07,654.00M,,654.00M,,,423.00M,,3.786B,150.00M,5.013B,,,,,,,,8.348B,-1.135B,7.213B,,269.00M,269.00M,,98.00M,7.58B,12.59B,1.812B,,1.812B,,1.812B,,5.00M,,5.00M,,,1.256B,3.073B,1.317B,,1.317B,79.00M,79.00M,4.00M,215.00M,1.611B,4.684B,,5.154B,,,,,,7.905B
1998-04,578.00M,,578.00M,,,482.00M,,4.009B,152.00M,5.221B,,,,,,,,7.908B,-1.055B,6.853B,,281.00M,281.00M,,122.00M,7.256B,12.48B,2.071B,,2.071B,,2.071B,,5.00M,,5.00M,,,1.317B,3.393B,1.313B,,1.313B,79.00M,79.00M,3.00M,215.00M,1.607B,5.00B,,4.732B,,,,,,7.474B
