,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2006-01,423.00M,453.00M,876.00M,18.00M,18.00M,,6.635B,155.00M,104.00M,7.788B,0.00,4.894B,10.06B,6.468B,,,,21.42B,-5.065B,16.35B,,,,,497.00M,16.85B,24.64B,2.832B,,,2.832B,424.00M,3.256B,,,32.00M,,32.00M,709.00M,709.00M,1.835B,5.832B,3.499B,,3.499B,735.00M,,735.00M,,277.00M,4.511B,10.34B,392.00M,12.19B,1.712B,1.00M,14.30B
2005-10,1.445B,864.00M,2.309B,23.00M,23.00M,,6.613B,76.00M,177.00M,9.198B,,,,,,,,19.51B,-4.099B,15.41B,,,,,501.00M,15.91B,25.11B,3.198B,,,3.198B,369.00M,3.567B,,,632.00M,,632.00M,,,2.525B,6.724B,3.749B,,3.749B,745.00M,,745.00M,,290.00M,4.784B,11.51B,390.00M,11.59B,1.625B,,13.60B
2005-07,1.112B,307.00M,1.419B,19.00M,19.00M,,6.34B,95.00M,94.00M,7.967B,,,,,,,,18.88B,-4.099B,14.78B,,,,,388.00M,15.17B,23.14B,2.981B,,,2.981B,329.00M,3.31B,,,632.00M,,632.00M,,,2.357B,6.299B,2.81B,,2.81B,691.00M,,691.00M,,252.00M,3.753B,10.05B,390.00M,10.98B,1.71B,1.00M,13.08B
2005-04,911.00M,315.00M,1.226B,18.00M,18.00M,,6.808B,109.00M,89.00M,8.25B,,,,,,,,18.41B,-4.099B,14.31B,,,,,353.00M,14.66B,22.91B,3.464B,,,3.464B,211.00M,3.675B,,,631.00M,,631.00M,,,2.623B,6.929B,3.058B,,3.058B,702.00M,,702.00M,,208.00M,3.968B,10.90B,387.00M,10.19B,1.437B,-1.00M,12.02B
2005-01,530.00M,283.00M,813.00M,9.00M,9.00M,,5.982B,95.00M,75.00M,6.974B,0.00,4.197B,8.408B,5.405B,,,,18.01B,-4.099B,13.91B,,,,,324.00M,14.24B,21.21B,2.687B,,,2.687B,386.00M,3.073B,,,630.00M,,630.00M,,,2.016B,5.719B,3.06B,,3.06B,736.00M,,736.00M,,159.00M,3.955B,9.674B,387.00M,9.634B,1.514B,,11.54B
2004-10,479.00M,171.00M,650.00M,54.00M,54.00M,,5.853B,100.00M,96.00M,6.753B,,,,,,,,16.54B,-3.128B,13.41B,,,,,352.00M,13.76B,20.51B,2.596B,,,2.596B,281.00M,2.877B,,,31.00M,,31.00M,,,2.001B,4.909B,3.661B,,3.661B,773.00M,,773.00M,,84.00M,4.518B,9.427B,386.00M,9.273B,1.427B,-1.00M,11.08B
2004-07,840.00M,191.00M,1.031B,38.00M,38.00M,,5.272B,80.00M,81.00M,6.502B,,,,,,,,15.99B,-3.128B,12.86B,,,,,372.00M,13.23B,19.73B,2.471B,,,2.471B,250.00M,2.721B,,,34.00M,,34.00M,,,1.978B,4.733B,3.664B,,3.664B,726.00M,,726.00M,,62.00M,4.452B,9.185B,386.00M,8.782B,1.38B,-1.00M,10.55B
2004-04,1.848B,143.00M,1.991B,180.00M,180.00M,,5.713B,87.00M,114.00M,8.085B,,,,,,,,15.44B,-3.128B,12.31B,,,,,385.00M,12.69B,20.78B,3.484B,,,3.484B,166.00M,3.65B,,,78.00M,,78.00M,,,2.143B,5.871B,3.668B,,3.668B,687.00M,,687.00M,,46.00M,4.401B,10.27B,392.00M,8.108B,2.006B,,10.51B
2004-01,913.00M,711.00M,1.624B,146.00M,146.00M,,4.584B,62.00M,106.00M,6.522B,0.00,3.635B,7.083B,4.355B,,,,15.07B,-3.254B,11.82B,,,,,410.00M,12.23B,18.75B,2.212B,,,2.212B,335.00M,2.547B,,,77.00M,,77.00M,,,1.576B,4.20B,3.678B,,3.678B,594.00M,,594.00M,,63.00M,4.335B,8.535B,394.00M,7.574B,2.247B,1.00M,10.22B
2003-10,1.196B,126.00M,1.322B,208.00M,208.00M,,5.006B,81.00M,285.00M,6.902B,,,,,,,,14.42B,-3.00B,11.42B,,,,,348.00M,11.77B,18.68B,2.542B,,,2.542B,283.00M,2.825B,,,77.00M,,77.00M,,,1.621B,4.523B,3.681B,,3.681B,588.00M,,588.00M,,21.00M,4.29B,8.813B,393.00M,7.293B,2.176B,,9.862B
2003-07,1.55B,137.00M,1.687B,199.00M,199.00M,,4.652B,67.00M,226.00M,6.831B,,,,,,,,13.76B,-2.80B,10.96B,,,,,288.00M,11.24B,18.07B,2.612B,,,2.612B,,2.612B,,,73.00M,,73.00M,,,1.788B,4.473B,3.684B,,3.684B,524.00M,,524.00M,,20.00M,4.228B,8.701B,392.00M,6.865B,2.116B,,9.373B
2003-04,1.60B,77.00M,1.677B,189.00M,189.00M,,4.864B,72.00M,251.00M,7.053B,,,,,,,,13.14B,-2.60B,10.54B,,,,,302.00M,10.85B,17.90B,3.069B,,,3.069B,169.00M,3.238B,,,80.00M,,80.00M,,,1.597B,4.915B,3.733B,,3.733B,499.00M,,499.00M,,18.00M,4.25B,9.165B,392.00M,6.288B,2.055B,,8.735B
2003-01,853.00M,273.00M,1.126B,172.00M,172.00M,,3.968B,58.00M,244.00M,5.568B,0.00,4.062B,5.092B,3.663B,,,,12.82B,-2.465B,10.35B,,,,,189.00M,10.54B,16.11B,1.943B,,,1.943B,306.00M,2.249B,,,79.00M,,79.00M,,,1.25B,3.578B,3.736B,,3.736B,478.00M,,478.00M,,15.00M,4.229B,7.807B,391.00M,5.887B,2.023B,1.00M,8.302B
2002-10,1.305B,91.51M,1.397B,186.85M,186.85M,,4.151B,110.15M,179.82M,6.024B,,,,,,,,11.63B,-1.979B,9.648B,,,,,139.42M,9.787B,15.81B,2.046B,,,2.046B,294.87M,2.341B,,,89.06M,,89.06M,,,1.357B,3.787B,3.739B,,3.739B,318.44M,,318.44M,,9.34M,4.067B,7.854B,390.42M,5.587B,1.980B,0.446M,7.958B
2002-07,1.487B,47.90M,1.535B,200.80M,200.80M,,3.987B,106.15M,182.88M,6.011B,,,,,,,,11.24B,-1.979B,9.260B,,,,,155.65M,9.415B,15.43B,2.106B,,,2.106B,257.76M,2.363B,,,94.34M,,94.34M,,,1.310B,3.768B,3.733B,,3.733B,312.32M,,312.32M,,10.92M,4.056B,7.824B,389.90M,5.263B,1.949B,0.546M,7.603B
2002-04,1.476B,48.27M,1.524B,192.57M,192.57M,,4.360B,97.54M,267.08M,6.441B,,,,,,,,10.97B,-1.979B,8.992B,,,,,177.63M,9.169B,15.61B,2.740B,,,2.740B,175.33M,2.916B,,,159.79M,,159.79M,,,1.422B,4.497B,3.736B,,3.736B,313.57M,,313.57M,,6.734M,4.056B,8.553B,388.65M,4.812B,1.856B,0.537M,7.057B
2002-01,799.00M,54.00M,853.00M,166.00M,166.00M,,3.611B,93.00M,197.00M,4.92B,0.00,2.623B,4.277B,3.106B,626.00M,,,10.63B,-1.979B,8.653B,,,,,163.00M,8.816B,13.74B,1.715B,,,1.715B,221.00M,1.936B,,,159.00M,,159.00M,,,922.00M,3.017B,3.734B,,3.734B,305.00M,,305.00M,,6.00M,4.045B,7.062B,388.00M,4.482B,1.804B,1.00M,6.674B
2001-10,610.54M,24.77M,635.31M,197.77M,197.77M,,3.906B,93.21M,229.58M,5.062B,,,,,,,,10.18B,-1.90B,8.280B,,,,,190.41M,8.470B,13.53B,1.896B,,,1.896B,170.09M,2.066B,,,50.33M,,50.33M,,,915.89M,3.032B,3.787B,,3.787B,290.13M,,290.13M,,3.248M,4.081B,7.113B,386.88M,4.279B,1.753B,0.322M,6.419B
2001-07,629.29M,36.41M,665.70M,213.43M,213.43M,,3.651B,98.51M,216.24M,4.845B,,,,,,,,9.629B,-1.80B,7.829B,,,,,193.12M,8.022B,12.87B,1.910B,,,1.910B,181.20M,2.092B,,,143.99M,,143.99M,,,910.42M,3.146B,3.292B,,3.292B,273.38M,,273.38M,,3.22M,3.568B,6.714B,386.37M,4.044B,1.724B,-0.445M,6.153B
2001-04,999.95M,38.17M,1.038B,196.53M,196.53M,,3.918B,95.01M,221.84M,5.469B,,,,,,,,9.121B,-1.70B,7.421B,,,,,169.16M,7.590B,13.06B,2.474B,,,2.474B,179.59M,2.653B,,,137.64M,,137.64M,,,930.77M,3.722B,3.305B,,3.305B,261.58M,,261.58M,,3.193M,3.570B,7.292B,192.44M,3.730B,1.846B,-1.188M,5.768B
2001-01,455.66M,12.87M,468.53M,160.98M,160.98M,,3.285B,81.04M,161.50M,4.157B,0.00,,8.628B,,,,,8.628B,-1.593B,7.035B,,,,,165.78M,7.201B,11.36B,1.714B,,,1.714B,,1.714B,,,292.17M,,292.17M,,,904.46M,2.911B,2.698B,,2.698B,251.45M,,251.45M,,3.165M,2.952B,5.863B,383.24M,3.518B,1.595B,-1.861M,5.495B
2000-10,128.75M,10.71M,139.45M,173.78M,173.78M,,3.500B,,279.15M,4.093B,,,,,,,,7.709B,-1.270B,6.439B,,,,,143.00M,6.582B,10.67B,1.798B,,,1.798B,,1.798B,,,290.56M,,290.56M,,,798.05M,2.886B,2.210B,,2.210B,228.46M,,228.46M,,3.882M,2.442B,5.329B,191.43M,3.391B,1.769B,-4.965M,5.346B
2000-07,570.23M,11.27M,581.50M,,183.75M,,3.167B,,251.37M,4.184B,,,,,,,,7.203B,-1.270B,5.933B,,,,,132.49M,6.065B,10.25B,1.698B,,,1.698B,,1.698B,,,141.90M,,141.90M,,,825.42M,2.666B,2.217B,,2.217B,210.99M,,210.99M,,3.858M,2.432B,5.097B,191.39M,3.202B,1.766B,-7.766M,5.152B
2000-04,522.94M,15.06M,538.00M,,175.55M,,3.338B,,219.75M,4.272B,,,,,,,,6.818B,-1.270B,5.548B,,,,,115.48M,5.664B,9.935B,2.204B,,,2.204B,,2.204B,,,131.07M,,131.07M,,,783.38M,3.119B,1.732B,,1.732B,203.47M,,203.47M,,3.858M,1.940B,5.058B,191.33M,2.936B,1.760B,-10.55M,4.877B
2000-01,491.12M,77.67M,568.79M,,147.90M,,2.812B,,180.49M,3.710B,,,,,,,,6.447B,-1.270B,5.177B,,,,,125.56M,5.303B,9.012B,1.567B,,,1.567B,,1.567B,,,152.38M,,152.38M,,,666.62M,2.386B,1.727B,,1.727B,199.82M,,199.82M,,4.495M,1.931B,4.317B,191.18M,2.762B,1.756B,-13.29M,4.695B
1999-10,623.40M,81.70M,705.10M,,177.70M,,2.82B,,174.40M,3.877B,,,,,,,,5.823B,-971.80M,4.851B,,,,,131.20M,4.983B,8.860B,1.549B,,,1.549B,,1.549B,,,191.50M,,191.50M,,,650.60M,2.392B,1.733B,,1.733B,184.80M,,184.80M,,4.50M,1.923B,4.314B,191.10M,2.626B,1.746B,-17.80M,4.546B
1999-07,973.70M,51.30M,1.025B,,181.70M,,2.590B,,133.30M,3.930B,,,,,,,,5.508B,-971.80M,4.536B,,,,,152.60M,4.689B,8.618B,1.472B,,,1.472B,,1.472B,,,210.70M,,210.70M,,,662.90M,2.346B,1.747B,,1.747B,174.00M,,174.00M,,3.80M,1.925B,4.271B,191.00M,2.447B,1.732B,-21.30M,4.348B
1999-04,1.048B,,1.048B,,171.40M,,2.776B,,156.80M,4.152B,,,,,,,,5.261B,-971.80M,4.289B,,,,,147.20M,4.436B,8.588B,224.70M,,,224.70M,,224.70M,,,1.715B,,1.715B,,,658.60M,2.599B,1.722B,,1.722B,172.20M,,172.20M,,3.20M,1.898B,4.496B,,2.228B,,,4.092B
1999-01,228.87M,20.34M,249.22M,,143.93M,,2.385B,,89.02M,2.867B,,,,,,,,5.113B,-1.027B,4.086B,,,,,134.22M,4.220B,7.087B,1.221B,,,1.221B,,1.221B,,,224.97M,,224.97M,,,478.74M,1.924B,1.364B,,1.364B,175.37M,,175.37M,,3.209M,1.543B,3.467B,187.19M,2.137B,1.326B,-29.97M,3.620B
1998-10,317.00M,,317.00M,,159.90M,,2.203B,,146.10M,2.826B,,,,,,,,4.228B,-789.80M,3.438B,,,,,109.80M,3.548B,6.374B,1.267B,,,1.267B,,1.267B,,,151.80M,,151.80M,,,494.00M,1.913B,1.302B,,1.302B,130.00M,,130.00M,,,1.432B,3.346B,,1.911B,,,3.028B
1998-07,513.20M,,513.20M,,159.60M,,1.968B,,172.00M,2.813B,,,,,,,,4.034B,-789.80M,3.244B,,,,,104.90M,3.349B,6.162B,1.202B,,,1.202B,,1.202B,,,133.40M,,133.40M,,,474.40M,1.809B,1.324B,,1.324B,126.60M,,126.60M,,,1.450B,3.260B,,1.805B,,,2.902B
1998-04,623.40M,,623.40M,,150.20M,,2.033B,,115.10M,2.922B,,,,,,,,3.887B,-789.80M,3.097B,,,,,96.80M,3.194B,6.116B,1.339B,,,1.339B,,1.339B,,,115.70M,,115.70M,,,495.20M,1.950B,1.331B,,1.331B,122.20M,,122.20M,,,1.453B,3.403B,,1.65B,,,2.713B
1998-01,195.10M,,195.10M,,118.40M,,1.715B,,81.50M,2.110B,,,,,,,,3.795B,-789.80M,3.005B,,,,,104.50M,3.110B,5.219B,969.80M,,,969.80M,,969.80M,,,110.60M,,110.60M,,,368.90M,1.449B,1.046B,,1.046B,123.80M,,123.80M,,,1.169B,2.619B,,1.565B,,,2.601B
