,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-09,381.67M,,,,,,,54.43M,54.43M,,,,,-334.85M,,55.59M,,,21.98M,77.57M,178.82M,-32.50M,,-32.50M,-7.744M,-16.72M,-5.431M,-62.40M,43.56M,,43.56M,20.00M,-50.82M,-30.82M,-30.36M,-30.36M,,101.14M,83.52M,3.413B,199.94M,,3.613B,20.00M,78.66M,-35.09M,-50.82M,,
2006-06,371.41M,,,,,,,52.90M,52.90M,-141.24M,,,,142.10M,31.10M,67.14M,31.10M,24.63M,-240.63M,-86.65M,338.53M,-10.82M,,-10.82M,3.949M,40.29M,2.944M,36.36M,78.67M,-111.85M,-33.18M,7.549M,-850.68M,-843.13M,-31.12M,-31.12M,,195.30M,-712.13M,3.750B,-337.24M,,3.413B,7.549M,101.99M,-23.32M,-850.68M,,
2006-03,196.52M,,,,,,,54.17M,54.17M,141.24M,,,,16.01M,-46.14M,-50.53M,-31.10M,-24.63M,-41.62M,-194.02M,213.93M,-14.69M,,-14.69M,0.00,-90.66M,20.20M,-85.15M,69.94M,111.85M,181.79M,33.17M,-39.41M,-6.241M,-30.98M,-30.98M,,-149.26M,-4.697M,3.626B,124.08M,,3.750B,33.17M,84.60M,-14.66M,-39.41M,,
2005-12,317.97M,,,,,,,53.77M,53.77M,,,,,-104.64M,15.03M,4.225M,,,260.27M,279.53M,546.62M,-11.04M,,-11.04M,0.00,157.48M,1.262M,147.71M,-240.87M,,-240.87M,37.58M,-45.00M,-7.422M,-25.27M,-25.27M,,53.43M,-220.13M,3.152B,474.19M,,3.626B,37.58M,27.25M,-268.12M,-45.00M,,
2005-09,334.50M,,,,,,,65.45M,65.45M,20.60M,,,,-502.43M,,10.92M,162.54M,-280.10M,240.06M,133.43M,51.54M,-17.05M,,-17.05M,0.00,257.38M,-321.07M,-80.74M,229.57M,,229.57M,35.36M,-20.88M,14.48M,-25.29M,-25.29M,,10.15M,228.91M,2.952B,199.71M,,3.152B,35.36M,266.73M,-37.16M,-20.88M,,
2005-06,261.87M,,,,,,,48.34M,48.34M,-20.60M,,,,257.57M,,5.93M,-162.54M,280.10M,-240.06M,-116.58M,430.61M,-14.08M,,-14.08M,0.00,-62.80M,35.40M,-41.48M,-9.709M,,-9.709M,27.99M,-23.14M,4.847M,-527.08M,-527.08M,,-101.84M,-633.78M,3.197B,-244.65M,,2.952B,27.99M,0.382M,-10.09M,-23.14M,,
2005-03,221.27M,,,,,,,49.68M,49.68M,,,,,-136.52M,,10.98M,,,,10.98M,145.42M,-39.00M,,-39.00M,-0.037M,-53.95M,10.71M,-82.27M,4.243M,,4.243M,26.17M,-8.386M,17.79M,-25.09M,-25.09M,,31.80M,28.74M,3.105B,91.88M,,3.197B,26.17M,14.03M,-9.784M,-8.386M,,
2004-12,239.99M,,,,,,,48.70M,48.70M,,,,,-86.77M,,20.50M,,,,20.50M,222.42M,-4.795M,,-4.795M,,-69.44M,21.16M,-53.07M,17.00M,,17.00M,41.13M,-117.73M,-76.60M,-21.20M,-21.20M,,99.47M,18.67M,2.917B,188.02M,,3.105B,41.13M,26.18M,-9.18M,-117.73M,,
2004-09,187.68M,,,,,,,45.98M,45.98M,,,,,266.32M,68.70M,52.58M,,83.80M,,205.08M,705.06M,-14.00M,,-9.321M,0.00,-69.24M,-288.63M,-367.19M,15.01M,,15.01M,11.12M,-17.16M,-6.046M,-21.16M,-21.16M,,111.10M,98.90M,2.480B,436.77M,,2.917B,11.12M,192.76M,-177.74M,-17.16M,,
2004-06,173.90M,,,,,,,45.32M,45.32M,,,,,-226.42M,-68.70M,55.79M,,1.546M,,-11.37M,-18.56M,-4.49M,,-4.49M,0.00,102.21M,10.62M,108.34M,18.97M,,18.97M,5.461M,-35.73M,-30.27M,-21.24M,-21.24M,,-126.40M,-158.94M,2.550B,-69.16M,,2.480B,5.461M,27.25M,-8.283M,-35.73M,,
2004-03,172.79M,,,,,,,47.12M,47.12M,,,,,-123.51M,,50.72M,,1.317M,,52.04M,148.43M,0.302M,,0.302M,-27.49M,995.65M,-1.612M,966.85M,19.61M,,19.61M,33.59M,-2.173M,31.41M,-21.12M,-21.12M,,51.62M,81.52M,1.353B,1.197B,,2.550B,33.59M,26.27M,-6.659M,-2.173M,,
2003-12,172.30M,,,,,,,45.01M,45.01M,,,,,-103.96M,,-15.75M,,-2.863M,,-18.61M,94.73M,-7.747M,,-7.747M,-40.77M,26.96M,154.96M,133.40M,24.13M,,24.13M,78.04M,-12.52M,65.51M,-18.48M,-18.48M,,-0.21M,70.95M,1.054B,299.08M,,1.353B,78.04M,30.64M,-6.507M,-12.52M,,
2003-09,152.08M,,,,,,,44.81M,44.81M,,,,,3.575M,-49.20M,46.90M,,-56.31M,,-58.62M,141.85M,-9.104M,,-6.61M,0.00,-101.61M,-115.97M,-224.19M,22.91M,,22.91M,40.71M,-268.31M,-227.60M,-18.06M,-18.06M,,-54.62M,-277.38M,1.413B,-359.72M,,1.054B,40.71M,30.01M,-7.105M,-268.31M,,
2003-06,131.39M,,,,,,,44.69M,44.69M,,,,,-132.26M,-29.86M,25.49M,,104.66M,,100.29M,144.11M,-11.64M,,-11.64M,0.00,66.16M,171.94M,226.45M,441.11M,,441.11M,3.997M,-174.05M,-170.05M,-19.98M,-19.98M,,-33.11M,217.97M,824.89M,588.53M,,1.413B,3.997M,450.93M,-9.822M,-174.05M,,
2003-03,109.60M,,,,,,,44.43M,44.43M,,,,,-46.13M,11.30M,21.88M,,27.76M,,60.94M,168.84M,-16.07M,,-16.07M,0.00,-106.32M,-101.57M,-223.96M,21.07M,,21.07M,0.181M,-87.02M,-86.84M,-19.34M,-19.34M,,-85.99M,-171.10M,1.051B,-226.23M,,824.89M,0.181M,22.73M,-1.658M,-87.02M,,
2002-12,109.76M,,,,,,,43.50M,43.50M,,,,,-15.36M,18.56M,-49.38M,,-25.46M,,-56.28M,81.62M,-15.84M,,-15.84M,0.00,-50.23M,27.97M,-38.09M,15.32M,,15.32M,0.548M,-46.30M,-45.75M,-18.06M,-18.06M,,75.47M,26.98M,980.60M,70.51M,,1.051B,0.548M,19.96M,-4.633M,-46.30M,,
2002-09,68.52M,,,,,,,44.62M,44.62M,,,,,-73.45M,38.77M,18.60M,,39.44M,,163.08M,202.76M,-18.44M,0.017M,-18.42M,,-34.86M,-25.51M,-130.57M,14.02M,,14.02M,0.111M,-116.78M,-116.67M,-18.53M,-18.53M,,-19.28M,-140.46M,1.075B,-68.27M,,980.60M,0.111M,21.21M,-7.192M,-116.78M,,
2002-06,125.69M,,,,,,,47.37M,47.37M,,,,,-88.60M,27.50M,42.07M,,-37.62M,,31.94M,116.41M,-6.634M,0.018M,-6.616M,,-499.34M,124.94M,-381.02M,-25.74M,,-25.74M,4.924M,-0.076M,4.848M,-18.12M,-18.12M,,-37.95M,-76.96M,1.417B,-341.57M,,1.075B,4.924M,38.78M,-64.52M,-0.076M,,
2002-03,120.00M,,,,,,,45.74M,45.74M,,,,,-12.08M,,17.54M,,20.39M,,37.93M,191.58M,-18.34M,9.534M,-8.802M,,266.31M,-144.16M,113.35M,21.15M,,21.15M,10.00M,-0.382M,9.619M,-18.24M,-18.24M,,100.73M,113.26M,998.82M,418.19M,,1.417B,10.00M,23.64M,-2.493M,-0.382M,,
2001-12,118.52M,,,,,,,45.40M,45.40M,,,,,71.64M,,-54.05M,,44.54M,,-9.513M,226.04M,-9.656M,,-9.656M,,-13.80M,205.00M,181.54M,18.50M,,18.50M,2.009M,-7.688M,-5.679M,-16.89M,-16.89M,,-27.47M,-31.54M,622.78M,376.05M,,998.82M,2.009M,20.16M,-1.653M,-7.688M,,
2001-09,83.87M,,,,,,,62.02M,62.02M,,,,,-121.89M,,45.97M,,52.20M,,98.18M,122.17M,-25.41M,,-15.02M,1.00M,-269.74M,-105.00M,-388.75M,13.52M,,13.52M,0.271M,-34.90M,-34.63M,-17.10M,-17.10M,,25.88M,-12.33M,875.11M,-278.91M,,596.21M,0.271M,17.46M,-3.939M,-34.90M,,
2001-06,119.70M,,,,,,,58.62M,58.62M,,,,,-19.05M,,67.51M,,-25.92M,,41.59M,200.86M,-37.25M,,-37.25M,-5.575M,-378.83M,-109.24M,-530.89M,312.19M,,312.19M,0.295M,-128.95M,-128.65M,-15.89M,-15.89M,,48.85M,216.49M,988.66M,-113.54M,,875.11M,0.295M,538.74M,-226.55M,-128.95M,,
2001-03,131.68M,,,,,,,52.88M,52.88M,,,,,-67.62M,,19.23M,,-24.09M,,-4.862M,112.08M,-26.61M,,-26.61M,0.00,-145.13M,90.41M,-81.33M,-102.11M,,-102.11M,0.572M,-0.359M,0.213M,-15.85M,-15.85M,,-8.091M,-125.84M,1.084B,-95.09M,,988.66M,0.572M,95.11M,-197.22M,-0.359M,,
2000-12,149.46M,,,,,,,50.33M,50.33M,,,,,-21.64M,,-72.10M,,12.02M,,-60.08M,118.08M,-18.06M,,-18.06M,-94.48M,392.56M,-31.44M,248.59M,-8.074M,,-8.074M,1.02M,-7.906M,-6.886M,-14.62M,-14.62M,,0.658M,-28.92M,746.00M,337.74M,,1.084B,1.02M,60.53M,-68.61M,-7.906M,,
2000-09,140.82M,,,,,,,50.75M,50.75M,,,,,-82.42M,,35.22M,,29.79M,,65.01M,174.16M,-27.61M,,-23.52M,0.00,-418.76M,-43.97M,-486.25M,-36.04M,,-36.04M,0.752M,-0.495M,0.257M,-14.61M,-14.61M,,-2.20M,-52.59M,1.111B,-364.68M,,746.00M,0.752M,102.40M,-138.44M,-0.495M,,
2000-06,140.37M,,,,,,,49.34M,49.34M,,,,,-27.76M,,36.59M,,1.279M,,37.87M,199.82M,-29.60M,,-29.60M,0.00,-41.67M,-47.53M,-118.80M,-34.03M,,-34.03M,0.012M,-0.152M,-0.14M,-14.62M,-14.62M,,1.491M,-47.29M,1.077B,33.72M,,1.111B,0.012M,81.92M,-115.94M,-0.152M,,
2000-03,143.37M,,,,,,,50.79M,50.79M,,,,,-30.79M,,31.22M,,-0.998M,,30.22M,193.59M,-28.73M,,-28.73M,0.00,38.73M,72.64M,82.65M,6.229M,,6.229M,0.112M,-150.97M,-150.86M,-14.93M,-14.93M,,-0.03M,-159.59M,960.32M,116.65M,,1.077B,0.112M,122.22M,-115.99M,-150.97M,,
1999-12,137.52M,,,,,,,48.76M,48.76M,,,,,-12.27M,,-43.03M,,3.16M,,-39.87M,134.14M,-22.50M,,-22.50M,0.00,161.26M,-52.20M,86.57M,34.95M,,34.95M,0.266M,-98.42M,-98.16M,-13.80M,-13.80M,,-2.633M,-79.64M,819.24M,141.07M,,960.32M,0.266M,190.58M,-155.63M,-98.42M,,
1999-09,132.44M,,,,,,,50.04M,50.04M,,,,,-1.531M,,30.61M,,-14.48M,,16.13M,197.08M,-42.96M,4.083M,-38.88M,,73.94M,-47.30M,-12.24M,-49.36M,,-49.36M,0.361M,-39.90M,-39.54M,-13.94M,-13.94M,,-5.336M,-108.17M,742.58M,76.67M,,819.24M,0.361M,18.71M,-68.07M,-39.90M,,
1999-06,123.31M,,,,,,,35.90M,35.90M,,,,,-40.51M,,35.64M,,28.12M,,63.76M,182.46M,-44.37M,,-44.37M,,-87.38M,70.78M,-60.97M,5.946M,,5.946M,0.619M,-0.975M,-0.356M,-13.86M,-13.86M,,-1.96M,-10.23M,631.32M,111.26M,,742.58M,0.619M,5.40M,0.546M,-0.975M,,
1999-03,102.47M,,,,,,,62.52M,62.52M,,,,,-38.46M,,29.80M,,-6.96M,,22.84M,149.37M,-16.18M,-0.176M,-16.36M,,-66.05M,-21.30M,-103.71M,-20.58M,,-20.58M,0.00,-16.35M,-16.35M,-13.89M,-13.89M,,-14.70M,-65.51M,651.17M,-19.85M,,631.32M,0.00,0.03M,-20.61M,-16.35M,,
1998-12,68.49M,,,,,,,51.55M,51.55M,,,,,-31.06M,,-52.43M,,19.00M,,-33.43M,55.56M,-31.66M,0.176M,-31.48M,,263.48M,-27.79M,204.20M,-137.84M,,-137.84M,0.476M,-7.113M,-6.637M,-12.59M,-12.59M,,-7.566M,-164.63M,556.04M,95.13M,,651.17M,0.476M,40.00M,-177.84M,-7.113M,,
1998-09,112.25M,,,,,,,51.90M,51.90M,,,,,-149.82M,118.54M,-25.49M,118.54M,-16.23M,,195.36M,209.69M,-51.90M,,-37.38M,,-334.34M,130.33M,-241.40M,-64.17M,,-64.17M,0.045M,-39.65M,-39.60M,,-12.65M,,-3.131M,-119.55M,707.31M,-151.26M,,556.04M,0.045M,20.00M,-84.17M,-39.65M,,
1998-06,131.01M,,,,,,,50.59M,50.59M,,,,,-43.77M,-11.76M,63.62M,-11.76M,63.62M,,103.73M,241.56M,-44.44M,,-44.44M,1.424M,-13.78M,-63.73M,-120.53M,53.79M,,53.79M,0.055M,0.00,0.055M,,-12.65M,,-0.394M,40.80M,545.48M,161.83M,,707.31M,0.055M,93.33M,-39.54M,0.00,,
