,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-06,929.20M,929.20M,98.40M,830.80M,226.50M,208.80M,,53.90M,,,,-53.90M,381.40M,449.40M,,,,53.90M,,485.50M,163.60M,321.90M,,321.90M,286.16M,517.70M,68.30M,449.40M,0.31,0.0,,0.2758,0.31,0.3,0.0,,0.2671,0.3,1.045B,1.085B,
2001-03,849.50M,901.60M,89.40M,812.20M,196.20M,206.70M,,59.30M,,,,-7.20M,395.70M,416.50M,,,,59.30M,,461.30M,156.40M,304.90M,,304.90M,265.71M,476.40M,59.90M,416.50M,0.29,0.0,,0.2524,0.29,0.28,0.0,,0.2439,0.28,1.041B,1.086B,
2000-12,905.80M,905.80M,56.00M,849.80M,249.20M,249.50M,,-7.30M,,,,,554.20M,295.60M,,,,-7.30M,,320.00M,109.20M,210.80M,,210.80M,215.61M,351.10M,55.50M,295.60M,0.21,0.0,,0.2146,0.21,0.19,0.0,,0.1944,0.19,1.035B,1.084B,
2000-09,902.90M,902.90M,57.00M,845.90M,202.90M,202.90M,,115.70M,,,,,458.30M,387.60M,,,,115.70M,,529.90M,171.00M,358.90M,,358.90M,280.54M,440.10M,52.50M,387.60M,0.35,0.0,,0.2741,0.35,0.33,0.0,,0.2578,0.33,1.032B,1.086B,
2000-06,867.90M,867.90M,48.70M,819.20M,205.10M,202.80M,,41.60M,,,,,460.90M,358.30M,,,,41.60M,,439.70M,137.10M,302.60M,,302.60M,273.97M,411.30M,53.00M,358.30M,0.29,0.0,,0.2621,0.29,0.28,0.0,,0.2536,0.28,1.028B,1.083B,
2000-03,771.80M,814.10M,34.90M,779.20M,169.70M,189.80M,,25.90M,,,,,410.30M,368.90M,,,,25.90M,,384.70M,118.50M,266.20M,,266.20M,248.28M,419.70M,50.80M,368.90M,0.26,0.0,,0.2425,0.26,0.25,0.0,,0.2335,0.25,1.023B,1.086B,
1999-12,889.20M,889.20M,63.80M,825.40M,204.30M,242.30M,,36.20M,,,,,494.80M,330.60M,,,,36.20M,,385.30M,103.70M,281.60M,,281.60M,255.14M,378.80M,48.20M,330.60M,0.27,0.0,,0.2441,0.27,0.26,0.0,,0.2355,0.26,1.020B,1.079B,
1999-09,812.80M,812.80M,59.50M,753.30M,159.90M,198.40M,,80.10M,,,,,397.70M,355.60M,,,,80.10M,,452.80M,152.80M,300.00M,,300.00M,246.93M,395.00M,39.40M,355.60M,0.29,0.0,,0.238,0.29,0.28,0.0,,0.2308,0.28,1.022B,1.079B,
1999-06,786.90M,786.90M,54.00M,732.90M,157.20M,194.10M,,48.90M,,,,,396.10M,336.80M,,,,48.90M,,382.40M,114.80M,267.60M,,267.60M,233.38M,381.60M,44.80M,336.80M,0.26,0.0,,0.2265,0.26,0.25,0.0,,0.2181,0.25,1.021B,1.074B,
1999-03,715.30M,715.30M,48.00M,667.30M,132.90M,188.00M,,45.90M,,,,,365.30M,302.00M,,,,45.90M,,345.70M,98.50M,247.20M,,247.20M,214.38M,346.40M,44.40M,302.00M,0.24,0.0,,0.2081,0.24,0.23,0.0,,0.1995,0.23,1.03B,1.075B,
1998-12,731.60M,731.60M,59.50M,672.10M,146.10M,192.40M,,29.00M,,,,,374.10M,298.00M,,,,29.00M,,325.70M,87.10M,238.60M,,238.60M,217.36M,333.60M,35.60M,298.00M,0.225,0.0,,0.2049,0.225,0.215,0.0,,0.1958,0.215,1.059B,1.107B,
1998-09,680.20M,680.20M,51.70M,628.50M,134.20M,166.00M,,32.50M,,,,,335.70M,292.80M,,,,32.50M,,322.10M,101.10M,221.00M,,221.00M,198.70M,328.30M,35.50M,292.80M,0.22,0.0,,0.1978,0.22,0.21,0.0,,0.1888,0.21,1.005B,1.052B,
1998-06,641.10M,641.10M,47.30M,593.80M,122.00M,152.40M,,29.50M,,,,,311.00M,282.80M,,,,29.50M,,309.00M,92.70M,216.30M,,216.30M,195.65M,319.40M,36.60M,282.80M,0.22,0.0,,0.199,0.22,0.21,0.0,,0.19,0.21,983.18M,1.03B,
