,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2002-06,-4.346M,,,4.888M,1.404M,0.106M,1.51M,1.51M,,,,-1.988M,0.264M,0.521M,0.795M,1.109M,,0.701M,2.753M,-0.85M,0.03M,-0.82M,,,-13.33M,,-14.15M,,,1.266M,,1.266M,,,1.266M,28.40M,-10.13M,0.22M,18.50M,1.266M,,,,
2002-03,-1.77M,,,2.044M,1.394M,0.114M,1.508M,1.508M,,,,-1.719M,1.85M,1.142M,-0.951M,-0.19M,,0.132M,1.914M,-0.868M,,-0.868M,,,11.47M,,10.60M,,,2.234M,,2.234M,,,2.234M,13.68M,14.75M,-0.026M,28.40M,2.234M,,,,
2001-12,-2.071M,,,2.237M,1.435M,0.133M,1.568M,1.568M,,,,0.04M,-0.18M,-0.711M,1.68M,0.782M,,1.611M,3.345M,-0.657M,,-0.657M,,,-8.529M,,-9.186M,,,1.251M,,1.251M,,,1.251M,18.32M,-4.59M,-0.051M,13.68M,1.251M,,,,
2001-09,-11.51M,,,4.237M,1.598M,0.21M,1.808M,1.808M,7.454M,,,-2.404M,2.71M,3.814M,-3.019M,-1.157M,,-0.056M,1.936M,-0.22M,0.127M,-0.093M,,,,0.245M,-16.47M,,,-1.469M,0.00,-1.469M,,,-1.281M,68.60M,-15.82M,0.023M,18.32M,-1.469M,,,0.00,
2001-06,-1.611M,,,0.954M,1.365M,0.244M,1.609M,1.609M,-0.165M,,,-1.418M,4.711M,-0.132M,-0.786M,-1.433M,,0.942M,1.729M,-1.70M,0.00,-1.70M,,,,0.771M,-0.929M,,,37.52M,0.00,37.52M,,,37.52M,30.28M,38.32M,-0.005M,68.60M,37.52M,,,0.00,
2001-03,-8.742M,,,7.863M,2.385M,2.171M,2.893M,2.893M,-1.661M,,,2.367M,4.769M,-9.557M,-1.264M,-1.252M,,-4.937M,-4.584M,-1.41M,0.09M,-1.32M,,,,-0.067M,-1.387M,,,0.207M,0.00,0.207M,,,0.207M,36.02M,-5.764M,0.02M,30.28M,0.207M,,,0.00,
2000-12,-8.93M,,,7.614M,,,1.663M,1.663M,-2.23M,,,1.878M,-11.40M,2.857M,-1.081M,-1.285M,,-9.031M,-10.91M,-5.822M,,-5.822M,,,,-0.098M,-5.92M,,,0.976M,-1.082M,-0.106M,,,-0.106M,53.02M,-16.94M,-0.054M,36.02M,0.976M,,,-1.082M,
2000-09,1.416M,,,3.998M,,,1.463M,1.463M,-0.916M,,,-11.88M,-4.50M,8.063M,0.756M,3.926M,,-3.632M,2.329M,-5.532M,,-5.532M,,,-27.39M,0.086M,-32.83M,,0.281M,0.326M,,0.326M,,-0.234M,0.373M,56.22M,-30.13M,-0.26M,18.54M,0.326M,,,,
2000-06,3.845M,,,4.613M,,,1.116M,1.116M,-2.482M,,,-7.332M,-0.189M,1.331M,-1.488M,2.30M,,-5.378M,1.714M,-4.514M,,-4.514M,,,0.066M,-3.073M,-7.521M,,-0.187M,0.68M,,0.68M,,0.234M,0.727M,61.22M,-5.08M,0.08M,56.22M,0.68M,,,,
2000-03,4.189M,,,0.489M,,,0.983M,0.983M,,,-0.10M,-5.606M,-0.65M,1.846M,-0.589M,2.243M,,-2.756M,2.805M,-1.988M,,-1.988M,,,-0.066M,,-2.054M,,0.187M,0.297M,,0.297M,,,0.484M,60.00M,1.235M,-0.007M,61.22M,0.297M,,,,
1999-12,4.20M,,,0.30M,,,0.90M,0.90M,,,0.10M,-5.90M,-0.30M,0.70M,-0.30M,3.30M,,-2.50M,3.00M,-1.30M,,-1.30M,,,,,-1.30M,,,33.50M,,33.50M,,,33.50M,24.80M,35.20M,,60.00M,33.50M,,,,
