,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-06,21.16M,351.86M,373.03M,56.68M,,56.68M,,,7.888M,,,4.759M,12.14M,454.50M,,,,,,47.24M,-17.28M,29.96M,81.70M,,81.70M,,,8.625M,99.55M,219.84M,674.33M,17.64M,,,17.64M,27.94M,45.58M,,,,,48.96M,48.96M,,,94.54M,,,,,,,,12.50M,107.04M,0.00,77.95M,490.96M,,,-1.625M,567.29M
2006-03,23.00M,321.00M,344.01M,51.95M,,51.95M,,,3.024M,,,3.942M,12.27M,415.19M,,,,,,40.95M,-17.28M,23.67M,81.65M,,81.65M,,,19.68M,96.55M,221.56M,636.75M,14.60M,,,14.60M,23.04M,37.65M,,,,,44.26M,44.26M,,,81.90M,,,,,,,,11.23M,93.13M,460.79M,84.51M,,,,-1.684M,543.61M
2005-12,18.73M,240.12M,258.85M,49.20M,,49.20M,,,2.698M,,,4.26M,9.788M,324.80M,,,,,,36.36M,-17.28M,19.08M,,81.65M,81.65M,,,28.98M,134.28M,263.98M,588.78M,12.96M,,,12.96M,21.10M,34.06M,,,,,39.68M,39.68M,,,73.75M,,,,,,,,10.41M,84.15M,437.64M,68.44M,,,,-1.46M,504.62M
2005-09,51.87M,184.31M,236.18M,41.70M,,41.70M,0.213M,2.486M,2.699M,,,4.175M,9.906M,294.66M,0.0,8.772M,24.67M,,,33.44M,-17.28M,16.16M,,49.68M,49.68M,,,36.21M,141.03M,243.08M,537.74M,7.668M,,,7.668M,23.93M,31.60M,,,,,36.01M,36.01M,,,67.61M,,,,,,,,9.964M,77.57M,0.00,29.70M,431.90M,,,-1.43M,460.17M
2005-06,11.59M,196.53M,208.12M,37.75M,,37.75M,,,2.288M,,2.40M,3.233M,9.744M,263.53M,,,,,,36.28M,-20.71M,15.56M,,50.07M,50.07M,,,42.59M,133.69M,241.92M,505.45M,6.201M,,,6.201M,19.29M,25.49M,,,,,36.90M,36.90M,,,62.40M,,,,,,,,2.701M,65.10M,403.64M,37.57M,,,,-0.862M,440.35M
2005-03,21.79M,174.33M,196.13M,34.82M,,34.82M,,,2.095M,,2.40M,4.794M,7.141M,247.38M,,,,,,33.82M,-20.71M,13.11M,,50.07M,50.07M,,,38.84M,108.47M,210.49M,457.87M,7.207M,,,7.207M,17.90M,25.10M,,,,,32.48M,32.48M,,,57.58M,,,,,,,,2.337M,59.92M,376.26M,23.59M,,,,-1.90M,397.95M
2004-12,23.80M,139.91M,163.71M,28.10M,,28.10M,,,1.728M,,,4.619M,8.495M,206.66M,,,,,,33.68M,-20.71M,12.97M,,50.07M,50.07M,,,32.97M,104.83M,200.83M,407.49M,7.746M,,,7.746M,16.54M,24.28M,,,,,29.05M,29.05M,,,53.33M,,,,,,,,2.298M,55.63M,341.32M,11.48M,,,,-0.937M,351.86M
2004-09,24.90M,115.60M,140.50M,22.66M,,22.66M,0.244M,1.452M,1.696M,,,2.934M,5.776M,173.57M,0.0,8.272M,24.39M,,,32.67M,-20.71M,11.95M,,50.07M,50.07M,,,28.45M,96.31M,186.78M,360.35M,4.84M,,,4.84M,15.95M,20.79M,,,,,25.69M,25.69M,,,46.48M,,,,,,,,6.228M,52.71M,306.66M,1.488M,,,,-0.498M,307.64M
2004-06,22.16M,90.26M,112.43M,19.79M,,19.79M,,,1.868M,,,,4.50M,138.59M,,,,,,28.71M,-16.70M,12.01M,,49.00M,49.00M,,,,113.32M,174.32M,312.91M,6.348M,,,6.348M,16.11M,22.46M,,,,,26.32M,26.32M,,,48.78M,,,,0.605M,,0.605M,1.812M,2.417M,51.19M,277.01M,-14.29M,,,,-0.998M,261.72M
2004-03,22.16M,108.66M,130.82M,19.16M,,19.16M,,,1.905M,,,,5.275M,157.16M,,,,,,26.98M,-16.70M,10.27M,,24.19M,24.19M,,,,106.36M,140.82M,297.98M,5.397M,,,5.397M,13.68M,19.08M,,,,,24.50M,24.50M,,,43.58M,,,,0.454M,,0.454M,1.744M,2.198M,45.78M,273.26M,-21.71M,,,,0.647M,252.20M
2003-12,27.71M,110.19M,137.90M,17.50M,,17.50M,,,1.158M,,,,4.574M,161.13M,,,,,,26.57M,-16.70M,9.871M,,24.19M,24.19M,,,,77.11M,111.17M,272.30M,2.67M,,,2.67M,13.35M,16.02M,,,,,21.78M,21.78M,,,37.79M,,,,0.303M,,0.303M,1.668M,1.971M,39.76M,259.84M,-27.66M,,,,0.359M,232.53M
2003-09,10.35M,34.53M,44.88M,19.32M,,19.32M,0.354M,0.408M,0.762M,,,,4.779M,69.74M,0.0,7.364M,19.42M,,,26.78M,-16.70M,10.08M,,24.19M,24.19M,,,,44.16M,78.43M,148.17M,3.714M,,,3.714M,13.15M,16.86M,,,,,19.15M,19.15M,,,36.01M,,,,0.151M,,0.151M,1.584M,1.735M,37.74M,141.71M,-31.46M,,,,0.185M,110.43M
2003-06,19.00M,45.17M,64.16M,20.37M,,20.37M,,,0.667M,,,,4.373M,89.58M,,,,,,22.67M,-12.17M,10.50M,,,,,,,39.71M,50.21M,139.78M,3.896M,,,3.896M,12.73M,16.62M,,,,,17.42M,17.42M,,,34.05M,,,,,,,,1.506M,35.55M,137.65M,-32.82M,,,,-0.598M,104.23M
2003-03,13.52M,49.64M,63.16M,20.55M,,20.55M,,,0.496M,,,,4.628M,88.83M,,,,,,23.24M,-12.17M,11.07M,,,,,,,33.87M,44.94M,133.77M,4.159M,,,4.159M,13.38M,17.54M,,,,,15.73M,15.73M,,,33.27M,,,,,,,,1.439M,34.71M,133.25M,-34.22M,,,,0.03M,99.06M
2002-12,9.581M,52.28M,61.86M,19.32M,,19.32M,0.16M,0.195M,0.253M,,,,5.223M,86.66M,,,,,,24.07M,-12.17M,11.90M,,,,,,,30.35M,42.25M,128.91M,4.152M,,,4.152M,12.48M,16.63M,,,,,14.80M,14.80M,,,31.43M,,,,,,,,1.372M,32.80M,130.66M,-35.03M,,,,0.481M,96.11M
2002-09,20.80M,59.53M,80.33M,20.40M,,20.40M,0.316M,0.324M,0.349M,,,,4.713M,105.80M,0.0,7.417M,16.97M,,,24.38M,-12.17M,12.21M,,,,,,,8.279M,20.49M,126.29M,3.685M,,,3.685M,13.55M,17.23M,,,,,14.06M,14.06M,,,31.29M,,,,,,,,1.315M,32.60M,128.88M,-35.55M,,,,0.361M,93.68M
2002-06,18.50M,60.42M,78.91M,20.28M,,20.28M,,,0.332M,,,,4.24M,103.76M,,,,,,20.57M,-7.447M,13.12M,,,,,,,8.663M,21.79M,125.55M,4.463M,,,4.463M,13.44M,17.90M,,,,,12.74M,12.74M,,,30.64M,,,,,,,,1.431M,32.07M,128.14M,-35.13M,,,,0.467M,93.48M
2002-03,28.40M,47.06M,75.47M,20.65M,,20.65M,0.735M,1.183M,0.96M,,,,6.012M,103.09M,,,21.74M,,,21.74M,-7.447M,14.29M,,,,,,,8.848M,23.14M,126.23M,4.197M,,,4.197M,12.60M,16.80M,,,,,11.65M,11.65M,,,28.45M,,,,,,,,1.373M,29.82M,126.88M,-30.78M,,,,0.309M,96.40M
2001-12,13.68M,58.74M,72.42M,20.55M,,20.55M,1.254M,3.028M,2.83M,,,,5.08M,100.88M,,,,,,22.32M,-7.447M,14.88M,,,,,,,8.668M,23.54M,124.42M,3.607M,,,3.607M,12.06M,15.67M,,,,,11.84M,11.84M,,,27.51M,,,,,,,,1.245M,28.76M,124.64M,-29.01M,,,,0.036M,95.67M
2001-09,69.78M,,69.78M,22.63M,,22.63M,1.347M,3.283M,2.602M,,,,6.885M,101.90M,0.0,7.227M,15.72M,,,22.94M,-7.447M,15.50M,,,,,,,7.269M,22.76M,124.66M,4.46M,,,4.46M,11.52M,15.98M,,,,,11.03M,11.03M,,,27.01M,,,,,,,,1.167M,28.18M,123.39M,-26.94M,,,,0.037M,96.49M
2001-06,68.60M,,68.60M,25.64M,,25.64M,,,4.164M,,,4.961M,4.428M,107.79M,,,,,,16.74M,,16.74M,,,,,,2.493M,7.106M,26.34M,134.12M,3.722M,,,3.722M,11.10M,14.82M,,,,,12.20M,12.20M,,,27.03M,,,,,,,,,27.03M,123.39M,-15.44M,,,,-0.862M,107.10M
2001-03,30.28M,,30.28M,25.11M,,25.11M,3.515M,8.37M,8.845M,,,4.282M,3.887M,72.41M,,,17.81M,,,17.81M,,17.81M,,,,,,3.015M,6.849M,27.68M,100.08M,3.905M,,,3.905M,9.915M,13.82M,,,,,13.63M,13.63M,,,27.45M,,,,,,,,,27.45M,87.62M,-13.82M,,,,-1.162M,72.63M
2000-12,36.02M,,36.02M,,,30.84M,,,16.62M,,,,6.529M,90.02M,,,,,,21.18M,-3.099M,18.08M,,,,,,,9.289M,27.37M,117.38M,14.01M,,,14.01M,,14.01M,,,,,,,,23.29M,37.30M,,,,,,,,,37.30M,87.31M,-5.082M,,,,-2.142M,80.09M
2000-09,53.20M,,53.20M,38.24M,,38.24M,3.186M,2.045M,5.231M,,,1.858M,2.29M,100.82M,0.0,5.673M,10.95M,,,16.62M,-3.099M,13.52M,,,,,,1.54M,6.541M,21.60M,122.42M,10.56M,,,10.56M,7.737M,18.30M,,,,,16.20M,16.20M,,,34.50M,,,,,,,,0.238M,34.74M,87.42M,3.848M,,,,-3.582M,87.68M
2000-06,56.22M,6.086M,62.31M,,,26.91M,,,1.63M,,,,4.52M,95.37M,,,,,,11.53M,-2.321M,9.211M,,,,,,,1.542M,10.75M,106.13M,4.664M,,,4.664M,,4.664M,,,,,,,,18.04M,22.70M,,,,,,,,,22.70M,83.50M,2.432M,,,,-2.509M,83.43M
2000-03,61.22M,3.079M,64.30M,,,21.15M,,,1.566M,,,,1.804M,88.82M,,,,,,6.914M,-1.641M,5.273M,,,,,,,0.295M,5.568M,94.39M,4.792M,,,4.792M,,4.792M,,,,,,,,14.16M,18.95M,,,,,,,,,18.95M,79.56M,-1.413M,,,,-2.705M,75.44M
1999-12,60.00M,,60.00M,,,16.00M,,,0.90M,,,,4.20M,81.10M,,,,,,8.20M,-4.40M,3.80M,,,,,,,0.30M,4.10M,85.20M,3.50M,,,3.50M,,3.50M,,,,,,,,11.30M,14.80M,,,,,,,,,14.80M,79.30M,-5.60M,,,,-3.40M,70.40M
1999-09,24.80M,3.00M,27.80M,,,10.40M,,,0.60M,,,,1.00M,39.80M,,,,,,3.60M,-0.80M,2.80M,,,,,,,0.246M,3.046M,42.85M,2.70M,,,2.70M,,2.70M,,,,,,,,8.20M,10.90M,,,,,,,,-0.054M,10.85M,45.80M,-9.80M,,,,-4.00M,32.00M
1999-06,26.90M,,26.90M,,,5.90M,,,0.70M,,,,0.90M,34.40M,,,,,,2.50M,-0.60M,1.90M,,,,,,,0.20M,2.10M,36.50M,3.50M,,,3.50M,,3.50M,,,,,,,,4.10M,7.60M,,,,,,,,,7.60M,45.80M,-12.10M,,,,-4.80M,28.90M
