,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,118.54M,118.54M,240.03M,,240.03M,105.16M,25.76M,66.78M,197.70M,,26.64M,582.91M,,,,,,,471.32M,-293.01M,178.32M,1.095B,236.97M,1.332B,12.08M,1.522B,2.105B,,2008-06,101.82M,101.82M,106.42M,208.24M,,13.60M,,13.60M,,,,9.771M,231.61M,397.06M,,397.06M,152.19M,,152.19M,,50.06M,599.32M,830.93M,0.827M,821.36M,363.38M,4.875M,,93.45M,1.274B,,2008-06,,
2008-03,99.82M,99.82M,241.52M,,241.52M,101.94M,28.07M,70.91M,200.92M,,26.38M,568.64M,,,,,,,472.77M,-293.01M,179.76M,1.091B,240.78M,1.332B,5.731M,1.517B,2.086B,,2008-03,101.37M,101.37M,104.84M,206.21M,,5.964M,,5.964M,,,,,212.17M,443.64M,,443.64M,149.90M,,149.90M,,51.77M,645.30M,857.48M,0.818M,794.90M,350.13M,4.875M,,87.51M,1.228B,,2008-03,,
2007-12,102.76M,102.76M,193.33M,,193.33M,88.16M,22.67M,66.61M,177.44M,140.00M,23.62M,637.14M,0.00,18.12M,113.78M,322.30M,2.375M,9.431M,466.01M,-293.01M,173.00M,977.02M,191.77M,1.169B,10.67M,1.352B,1.990B,,2007-12,84.21M,84.21M,95.96M,180.17M,,5.83M,,5.83M,,3.162M,3.162M,9.789M,198.95M,448.90M,,448.90M,124.47M,,124.47M,,54.54M,627.92M,826.87M,0.817M,753.52M,346.45M,4.443M,,66.38M,1.163B,,2007-12,,
2007-09,74.99M,74.99M,193.46M,,193.46M,90.34M,23.21M,65.07M,178.62M,,19.21M,466.28M,,,,,,,439.49M,-268.70M,170.79M,950.50M,184.98M,1.135B,4.733M,1.311B,1.777B,,2007-09,86.77M,86.77M,88.12M,174.88M,,154.58M,,154.58M,,1.262M,1.262M,9.775M,340.50M,149.45M,,149.45M,115.22M,,115.22M,,54.28M,318.95M,659.45M,0.816M,724.86M,343.96M,4.244M,,52.44M,1.118B,,2007-09,,
2007-06,52.02M,52.02M,199.32M,,199.32M,62.67M,19.94M,91.44M,174.05M,,20.87M,446.27M,,,,,,,438.22M,-268.70M,169.51M,937.62M,190.75M,1.128B,4.953M,1.303B,1.749B,,2007-06,90.99M,90.99M,88.09M,179.08M,,158.24M,,158.24M,,1.262M,1.262M,9.887M,348.47M,170.40M,,170.40M,112.71M,,112.71M,,50.67M,333.78M,682.25M,0.815M,696.21M,350.04M,3.768M,,23.57M,1.067B,,2007-06,,
2007-03,77.50M,77.50M,196.34M,,196.34M,63.74M,18.17M,87.75M,169.67M,,22.66M,466.16M,,,,,,,435.98M,-268.70M,167.28M,927.50M,180.78M,1.108B,2.533M,1.278B,1.744B,,2007-03,87.33M,87.33M,90.53M,177.86M,,158.49M,,158.49M,,1.262M,1.262M,0.229M,337.84M,217.90M,,217.90M,109.29M,,109.29M,,50.44M,377.63M,715.47M,0.54M,674.04M,336.58M,3.75M,,21.36M,1.029B,,2007-03,,
2006-12,77.94M,77.94M,166.48M,,166.48M,63.36M,16.42M,80.91M,160.69M,,12.80M,417.91M,0.00,17.31M,109.41M,299.56M,2.327M,6.056M,434.65M,-268.70M,165.95M,912.60M,171.36M,1.084B,3.001M,1.253B,1.671B,,2006-12,75.44M,75.44M,93.81M,169.26M,,8.21M,,8.21M,,1.359M,1.359M,8.428M,187.25M,353.77M,,353.77M,100.32M,,100.32M,,50.21M,504.30M,691.55M,0.538M,638.58M,317.42M,3.248M,,25.99M,979.27M,,2006-12,,
2006-09,78.53M,78.53M,157.85M,,157.85M,52.49M,16.02M,72.33M,140.84M,,16.93M,394.14M,,,,,,,419.76M,-265.37M,154.39M,772.59M,54.92M,827.51M,29.80M,1.012B,1.406B,,2006-09,73.94M,73.94M,84.22M,158.16M,,7.278M,,7.278M,,,,8.51M,173.95M,160.17M,,160.17M,72.52M,,72.52M,,44.80M,277.49M,451.43M,0.535M,611.02M,319.72M,3.248M,,26.38M,954.42M,,2006-09,,
2006-06,51.05M,51.05M,154.59M,,154.59M,53.07M,15.76M,69.38M,138.20M,,24.30M,368.14M,,,,,,,420.04M,-265.37M,154.68M,778.74M,54.64M,833.38M,30.31M,1.018B,1.387B,,2006-06,78.85M,78.85M,91.46M,170.30M,,7.773M,,7.773M,,,,11.46M,189.54M,191.00M,,191.00M,,,,,93.23M,284.23M,473.77M,0.535M,573.06M,316.41M,2.866M,,25.61M,912.74M,,2006-06,,
2006-03,71.11M,71.11M,154.33M,,154.33M,54.73M,14.17M,67.84M,136.74M,,19.60M,381.78M,,,,,,,413.88M,-265.37M,148.51M,709.26M,37.34M,746.60M,30.58M,925.68M,1.307B,,2006-03,81.00M,81.00M,74.23M,155.23M,,6.982M,,6.982M,,,,,162.21M,159.98M,,159.98M,,,,,116.07M,276.04M,438.25M,0.531M,554.11M,302.21M,2.866M,,15.22M,869.21M,,2006-03,,
2005-12,77.20M,77.20M,129.43M,,129.43M,51.07M,12.75M,59.47M,123.28M,,21.06M,350.97M,,,,,,,407.86M,-265.37M,142.48M,691.40M,28.62M,720.01M,30.71M,893.21M,1.244B,,2005-12,66.86M,66.86M,72.18M,139.04M,,3.144M,,3.144M,,,,11.11M,153.30M,156.90M,,156.90M,64.65M,,64.65M,,46.32M,267.87M,421.17M,0.529M,524.04M,290.43M,2.361M,,10.38M,823.01M,,2005-12,,
2005-09,33.66M,33.66M,141.68M,,141.68M,52.95M,14.44M,62.00M,129.39M,,8.905M,313.64M,,,,,,,398.93M,-252.21M,146.72M,,722.87M,722.87M,28.47M,898.06M,1.212B,,2005-09,76.81M,76.81M,74.45M,151.26M,,,,,,,,6.268M,157.53M,160.78M,,160.78M,,,,,102.70M,263.48M,421.01M,0.522M,501.67M,274.71M,1.873M,,15.66M,790.68M,,2005-09,,
2005-06,8.787M,8.787M,144.10M,,144.10M,51.04M,14.18M,61.45M,126.67M,,11.41M,290.96M,,,,,,,400.53M,-252.21M,148.32M,,724.08M,724.08M,28.66M,901.06M,1.192B,,2005-06,80.92M,80.92M,69.38M,150.30M,,,,,,,,6.15M,156.45M,190.07M,,190.07M,,,,,100.13M,290.20M,446.64M,0.513M,479.45M,250.74M,1.873M,,16.55M,745.38M,,2005-06,,
2005-03,8.191M,8.191M,132.17M,,132.17M,50.22M,15.02M,60.64M,125.88M,,12.92M,279.17M,,,,,,,404.39M,-252.21M,152.18M,,734.06M,734.06M,29.07M,915.31M,1.194B,,2005-03,72.93M,72.93M,68.28M,141.20M,,,,,,,,6.143M,147.34M,217.83M,,217.83M,,,,,99.64M,317.46M,464.81M,0.511M,456.67M,243.70M,0.327M,,29.11M,729.67M,,2005-03,,
2004-12,7.274M,7.274M,119.57M,,119.57M,52.82M,14.18M,59.97M,126.98M,,7.419M,261.24M,0.00,15.47M,95.98M,286.72M,3.99M,5.65M,407.81M,-252.21M,155.60M,,743.16M,743.16M,26.29M,925.05M,1.186B,,2004-12,71.40M,71.40M,70.74M,142.15M,,,,,,,,6.105M,148.26M,225.32M,,225.32M,,,,,99.12M,324.43M,472.69M,0.51M,439.14M,234.35M,4.209M,,43.81M,713.60M,,2004-12,,
2004-09,6.36M,6.36M,126.78M,,126.78M,51.52M,14.61M,58.56M,124.69M,,7.15M,264.98M,,,,,,,381.79M,-229.89M,151.90M,,729.28M,729.28M,16.23M,897.41M,1.162B,,2004-09,71.44M,71.44M,71.91M,143.36M,,,,,,,,6.074M,149.43M,264.25M,,264.25M,,,,,87.89M,352.14M,501.57M,0.507M,422.58M,224.69M,4.209M,,17.26M,660.82M,,2004-09,,
2004-06,5.989M,5.989M,124.65M,,124.65M,48.33M,19.34M,52.02M,119.70M,,11.85M,262.19M,,,,,,,383.45M,-229.89M,153.56M,,721.49M,721.49M,16.57M,891.62M,1.154B,,2004-06,77.58M,77.58M,58.92M,136.50M,,,,,,,,6.055M,142.56M,286.15M,,286.15M,,,,,86.45M,372.60M,515.16M,0.504M,405.43M,219.71M,4.209M,,17.21M,638.64M,,2004-06,,
2004-03,7.832M,7.832M,113.22M,,113.22M,41.50M,13.27M,54.30M,109.08M,,10.46M,240.59M,,,,,,,380.02M,-229.89M,150.13M,,612.03M,612.03M,17.28M,779.43M,1.020B,,2004-03,67.23M,67.23M,60.67M,127.90M,,,,,,,,4.669M,132.57M,198.79M,,198.79M,,,,,77.53M,276.33M,408.90M,0.334M,388.65M,208.66M,2.903M,,16.39M,611.12M,,2004-03,,
2003-12,8.552M,8.552M,101.86M,,101.86M,39.00M,13.65M,52.66M,105.30M,,8.781M,224.50M,0.00,14.90M,82.01M,270.27M,3.919M,5.887M,376.99M,-229.89M,147.10M,559.01M,19.40M,578.41M,10.74M,736.24M,960.74M,,2003-12,56.25M,56.25M,54.81M,111.06M,,,,,,,,4.622M,115.68M,176.55M,,176.55M,,,,,76.41M,252.96M,368.64M,0.331M,375.63M,198.16M,2.903M,,20.88M,592.10M,,2003-12,,
2003-09,8.163M,8.163M,108.76M,,108.76M,39.01M,14.14M,51.67M,104.82M,,6.253M,228.00M,,,,,,,344.45M,-201.31M,143.14M,,570.87M,570.87M,11.94M,725.95M,953.95M,,2003-09,57.52M,57.52M,52.74M,110.26M,,,,,,,,4.605M,114.86M,188.71M,,188.71M,,,,,83.81M,272.52M,387.38M,0.33M,364.05M,195.29M,2.903M,,9.806M,566.57M,,2003-09,,
2003-06,5.856M,5.856M,118.44M,,118.44M,41.94M,13.62M,52.92M,108.48M,,8.13M,240.91M,,,,,,,345.84M,-201.31M,144.54M,,565.61M,565.61M,11.38M,721.52M,962.44M,,2003-06,60.52M,60.52M,47.39M,107.92M,,,,,,,,4.575M,112.49M,222.67M,,222.67M,,,,,81.75M,304.42M,416.92M,0.328M,352.14M,188.58M,2.903M,,7.375M,545.52M,,2003-06,,
2003-03,7.772M,7.772M,107.35M,,107.35M,41.59M,13.10M,51.57M,106.26M,,10.00M,231.39M,,,,,,,345.68M,-201.31M,144.37M,,552.12M,552.12M,11.47M,707.97M,939.35M,,2003-03,54.92M,54.92M,43.11M,98.03M,,,,,,,,4.552M,102.58M,238.16M,,238.16M,,,,,78.61M,316.77M,419.35M,0.326M,339.78M,183.38M,1.946M,,-1.532M,520.01M,,2003-03,,
2002-12,6.952M,6.952M,101.49M,,101.49M,41.98M,11.96M,51.64M,105.58M,,7.234M,221.26M,0.00,12.77M,77.83M,250.74M,4.011M,4.202M,349.55M,-201.31M,148.25M,530.66M,19.38M,550.04M,11.50M,709.79M,931.05M,,2002-12,61.15M,61.15M,42.63M,103.78M,,,,,,,,4.548M,108.33M,241.05M,,241.05M,,,,,74.88M,315.93M,424.26M,0.325M,331.64M,182.54M,1.946M,,-5.761M,506.79M,,2002-12,,
2002-09,6.088M,6.088M,105.60M,,105.60M,41.70M,11.87M,50.58M,104.15M,,12.76M,228.61M,,,,,,,325.89M,-179.00M,146.90M,518.57M,13.13M,531.70M,12.08M,690.68M,919.28M,,2002-09,51.42M,51.42M,46.78M,98.20M,,,,,,,,4.544M,102.74M,249.57M,,249.57M,,,,,66.45M,316.02M,418.76M,0.325M,324.01M,182.17M,1.945M,,-4.046M,500.52M,,2002-09,,
2002-06,7.692M,7.692M,105.37M,,105.37M,39.04M,13.48M,50.77M,103.30M,,14.20M,230.56M,,,,,,,317.54M,-179.00M,138.54M,,482.92M,482.92M,12.22M,633.69M,864.25M,,2002-06,53.02M,53.02M,43.70M,96.72M,,,,,,,,4.542M,101.26M,210.91M,,210.91M,,,,,63.76M,274.66M,375.93M,0.324M,313.77M,181.77M,1.945M,,-5.601M,488.32M,,2002-06,,
2002-03,6.721M,6.721M,97.60M,,97.60M,37.13M,12.22M,51.77M,101.12M,,18.50M,223.94M,,,,,,,315.89M,-179.00M,136.89M,,465.79M,465.79M,12.32M,615.00M,838.94M,,2002-03,46.24M,46.24M,42.15M,88.39M,,,,,,,,4.326M,92.71M,275.62M,,275.62M,,,,,59.43M,335.05M,427.76M,0.309M,302.71M,128.25M,0.865M,,-19.22M,411.18M,,2002-03,,
2001-12,4.972M,4.972M,93.05M,,93.05M,38.81M,11.80M,53.50M,104.11M,,12.77M,214.90M,0.00,11.73M,70.74M,233.79M,3.89M,3.00M,323.14M,-179.00M,144.15M,454.56M,12.78M,467.34M,12.42M,623.90M,838.80M,,2001-12,41.26M,41.26M,41.78M,83.04M,,,,,,,,4.303M,87.34M,291.82M,,291.82M,,,,,58.53M,350.35M,437.69M,0.308M,295.49M,124.66M,0.865M,,-18.48M,401.11M,,2001-12,,
2001-09,6.352M,6.352M,109.27M,,109.27M,40.38M,13.80M,58.68M,112.87M,,8.801M,237.29M,,,,,,,304.65M,-157.97M,146.68M,,471.76M,471.76M,12.20M,630.63M,867.93M,,2001-09,46.29M,46.29M,49.14M,95.43M,,,,,,,,4.296M,99.73M,308.16M,,308.16M,,,,,60.31M,368.47M,468.20M,0.307M,295.49M,123.57M,0.865M,,-18.77M,399.73M,,2001-09,,
2001-06,9.85M,9.85M,111.42M,,111.42M,,,,115.40M,,9.441M,246.12M,,,,,,,304.37M,-157.97M,146.40M,,469.72M,469.72M,11.88M,628.01M,874.13M,,2001-06,43.76M,43.76M,48.63M,92.40M,,,,,,,,4.274M,96.67M,331.80M,,331.80M,,,,,57.57M,389.38M,486.04M,0.305M,291.60M,119.70M,0.865M,,-22.66M,388.08M,,2001-06,,
2001-03,8.317M,8.317M,110.63M,,110.63M,,,,120.23M,,9.773M,248.95M,,,,,,,303.26M,-157.97M,145.29M,,462.48M,462.48M,11.02M,618.79M,867.74M,,2001-03,48.23M,48.23M,,48.23M,,180.63M,,180.63M,,,,49.05M,277.91M,151.86M,,151.86M,,,,,56.25M,208.11M,486.02M,0.304M,282.88M,116.05M,0.144M,,-17.37M,381.73M,,2001-03,,
2000-12,8.415M,8.415M,104.95M,,104.95M,,,,113.05M,,5.672M,232.09M,,,,,,,286.25M,-157.97M,128.28M,,388.16M,388.16M,10.32M,526.76M,758.85M,,2000-12,43.34M,43.34M,,43.34M,,88.08M,,88.08M,,,,46.39M,177.81M,153.81M,,153.81M,,,,,52.73M,206.54M,384.35M,0.303M,279.91M,115.28M,0.144M,,-20.84M,374.50M,,2000-12,,
2000-09,6.851M,6.851M,,,107.49M,,,,112.10M,,6.11M,232.56M,,,,,,,280.21M,-154.49M,125.72M,,389.76M,389.76M,10.99M,526.47M,759.03M,,2000-09,43.26M,43.26M,,43.26M,,92.64M,,92.64M,,,,46.37M,182.26M,162.68M,,162.68M,,,,,50.83M,213.51M,395.77M,0.301M,270.61M,111.74M,0.144M,,-19.25M,363.26M,,2000-09,,
2000-06,5.508M,5.508M,,,115.38M,,,,114.02M,,6.449M,241.36M,,,,,,,282.62M,-153.18M,129.44M,,398.13M,398.13M,11.04M,538.61M,779.97M,,2000-06,51.35M,51.35M,,51.35M,,,,,,,,48.00M,99.35M,279.44M,,279.44M,,,,,50.93M,330.38M,429.73M,0.301M,258.26M,111.08M,0.144M,,-19.25M,350.24M,,2000-06,,
2000-03,4.414M,4.414M,,,105.37M,,,,106.14M,,6.827M,222.75M,,,,,,,275.68M,-148.31M,127.36M,,377.83M,377.83M,11.10M,516.29M,739.04M,,2000-03,48.98M,48.98M,,48.98M,,,,,,,,51.63M,100.60M,249.08M,,249.08M,,,,,48.81M,297.89M,398.50M,0.297M,244.98M,100.56M,0.144M,,-5.152M,340.54M,,2000-03,,
1999-12,2.90M,2.90M,,,100.80M,,,,106.10M,,3.90M,213.70M,,,,,,,273.70M,-143.80M,129.90M,,385.10M,385.10M,9.90M,524.90M,738.60M,,1999-12,44.30M,44.30M,,44.30M,,,,,,,,47.30M,91.60M,268.60M,,268.60M,,,,,49.40M,318.00M,409.60M,0.30M,233.30M,99.80M,0.10M,,-4.30M,329.00M,,1999-12,,
1999-09,4.90M,4.90M,,,107.20M,,,,105.90M,,6.60M,224.60M,,,,,,,273.80M,-141.20M,132.60M,,392.60M,392.60M,10.00M,535.20M,759.80M,,1999-09,44.40M,44.40M,,44.40M,,,,,,,,43.00M,87.40M,303.50M,,303.50M,,,,,50.80M,354.30M,441.70M,0.30M,223.50M,99.70M,0.10M,,-5.40M,318.10M,,1999-09,,
1999-06,7.00M,7.00M,,,108.00M,,,,107.30M,,7.50M,229.80M,,,,,,,267.00M,-135.30M,131.70M,,392.20M,392.20M,10.20M,534.10M,763.90M,,1999-06,45.90M,45.90M,,45.90M,,,,,,,,42.60M,88.50M,318.80M,,318.80M,,,,,50.00M,368.80M,457.30M,,213.20M,,,,,306.60M,,1999-06,,
1999-03,3.90M,3.90M,,,91.50M,,,,97.50M,,7.20M,200.10M,,,,,,,253.10M,-130.60M,122.50M,,354.30M,354.30M,13.40M,490.20M,690.30M,,1999-03,38.30M,38.30M,,38.30M,,,,,,,,41.30M,79.60M,269.90M,,269.90M,,,,,46.40M,316.30M,395.90M,,203.30M,,,,,294.40M,,1999-03,,
1998-12,2.70M,2.70M,,,86.00M,,,,101.20M,,6.00M,195.90M,,,,,,,251.70M,-126.30M,125.40M,,360.80M,360.80M,13.70M,499.90M,695.80M,,1998-12,39.50M,39.50M,,39.50M,,,,,,,,40.80M,80.30M,283.40M,,283.40M,,,,,46.10M,329.50M,409.80M,0.30M,195.50M,96.10M,,,-5.80M,286.00M,,1998-12,,
1998-09,7.00M,7.00M,,,90.70M,,,,100.20M,,7.10M,205.00M,,,,,,,250.00M,-123.70M,126.30M,,364.50M,364.50M,11.80M,502.60M,707.60M,,1998-09,33.60M,33.60M,,33.60M,,,,,,,,43.10M,76.70M,305.30M,,305.30M,,,,,46.40M,351.70M,428.40M,,187.90M,,,,,279.20M,,1998-09,,
1998-06,5.80M,5.80M,,,96.40M,,,,102.10M,,21.10M,225.40M,,,,,,,245.30M,-118.20M,127.10M,,363.60M,363.60M,15.40M,506.10M,731.50M,,1998-06,37.20M,37.20M,,37.20M,,,,,,,,46.30M,83.50M,335.20M,,335.20M,,,,,44.50M,379.70M,463.20M,,177.60M,,,,,268.30M,,1998-06,,
