,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,3.797B,1.382B,5.178B,5.189B,,5.189B,617.68M,790.96M,1.753B,3.161B,3.429B,,,,16.96B,,,,,,16.30B,-8.508B,7.792B,10.79B,6.010B,16.80B,,1.433B,1.091B,27.12B,44.07B,,1.180B,,,,1.180B,,1.180B,,5.427B,5.427B,5.409B,12.02B,8.459B,,8.459B,,,,,4.640B,13.10B,25.11B,,0.00,11.96B,6.745B,2.251B,,,2.501B,18.96B,,,Restated
2008-03,2.710B,926.65M,3.637B,4.998B,,4.998B,582.05M,684.08M,1.810B,3.076B,3.401B,,,,15.11B,,,,,,15.92B,-8.302B,7.621B,10.29B,5.525B,15.82B,,1.542B,1.084B,26.07B,41.18B,,1.228B,,,,1.228B,5.233B,6.461B,,4.179B,4.179B,130.44M,10.77B,9.043B,,9.043B,,,,,3.385B,12.43B,23.20B,,0.00,11.20B,6.527B,2.002B,,,2.254B,17.98B,,,Restated
2007-12,2.456B,364.44M,2.821B,4.947B,,4.947B,592.72M,681.63M,1.677B,2.951B,1.214B,,2.110B,,14.04B,0.00,494.02M,3.589B,10.39B,1.121B,15.60B,-8.080B,7.518B,10.13B,5.720B,15.85B,,1.178B,1.125B,25.67B,39.71B,,1.220B,,,,1.220B,3.713B,4.933B,,2.726B,2.726B,1.445B,9.103B,9.488B,,9.488B,,,,,3.344B,12.83B,21.94B,,0.00,10.81B,6.104B,1.213B,,,2.082B,17.78B,,,
2007-09,1.911B,638.12M,2.549B,4.211B,,4.211B,692.32M,580.51M,1.652B,2.925B,3.153B,,,,12.84B,,,,,,15.09B,-7.860B,7.232B,9.671B,5.852B,15.52B,,966.66M,1.063B,24.78B,37.62B,,1.154B,,,,1.154B,5.013B,6.168B,,5.764B,5.764B,351.07M,12.28B,6.478B,,6.478B,,,,,3.253B,9.731B,22.01B,,0.00,10.13B,5.792B,1.213B,,,904.55M,15.61B,,,
2007-06,1.539B,698.14M,2.237B,3.395B,,3.395B,514.55M,284.35M,1.347B,2.146B,2.930B,,,1.630B,12.34B,,,,,,11.75B,-5.930B,5.825B,9.348B,5.814B,15.16B,,967.79M,2.860B,24.81B,37.15B,,1.061B,,,,1.061B,4.494B,5.556B,,5.721B,5.721B,733.51M,12.01B,6.606B,,6.606B,,,,,3.203B,9.809B,21.82B,,0.00,9.950B,5.547B,1.029B,,,867.00M,15.33B,,,
2007-03,682.35M,959.53M,1.642B,3.278B,,3.278B,575.61M,439.27M,1.159B,2.174B,2.856B,,,1.554B,11.50B,,,,,,11.54B,-5.839B,5.696B,9.235B,6.000B,15.23B,,1.016B,2.836B,24.78B,36.29B,,987.51M,,,,987.51M,4.580B,5.568B,,5.935B,5.935B,801.92M,12.31B,6.541B,,6.541B,,,,,3.121B,9.662B,21.97B,,0.00,9.533B,5.195B,1.030B,,,620.72M,14.32B,,,
2006-12,521.19M,852.24M,1.373B,4.231B,,4.231B,781.65M,686.42M,1.338B,2.806B,1.154B,,1.717B,,11.28B,0.00,488.34M,3.228B,9.948B,737.61M,14.40B,-7.456B,6.946B,9.449B,6.404B,15.85B,,867.08M,1.230B,24.90B,36.18B,,1.176B,,,,1.176B,3.851B,5.026B,,5.401B,5.401B,1.524B,11.95B,7.010B,,7.010B,,,,,3.163B,10.17B,22.12B,,0.00,9.569B,4.291B,195.24M,,,389.77M,14.05B,,,
2006-09,526.37M,524.76M,1.051B,3.578B,,3.578B,800.75M,671.08M,1.264B,2.736B,2.706B,,,,10.07B,,,,,,14.20B,-7.336B,6.866B,7.434B,5.694B,13.13B,,,3.235B,23.23B,33.30B,,995.34M,,,,995.34M,4.468B,5.463B,,1.937B,1.937B,33.72M,7.434B,7.508B,,7.508B,,,,,2.724B,10.23B,17.67B,,0.00,10.51B,4.131B,195.39M,,,1.191B,15.63B,,,
2006-06,790.90M,305.94M,1.097B,3.673B,,3.673B,702.49M,667.62M,1.262B,2.632B,2.495B,,,,9.898B,,,,,,14.27B,-7.473B,6.798B,7.624B,5.896B,13.52B,,,3.846B,24.16B,34.06B,,1.037B,,,,1.037B,4.379B,5.416B,,2.252B,2.252B,26.29M,7.694B,8.175B,,8.175B,,,,,3.007B,11.18B,18.88B,,3.792B,10.27B,,195.41M,,,1.319B,15.19B,,,
2006-03,2.343B,61.57M,2.405B,3.343B,,3.343B,666.41M,652.74M,1.099B,2.419B,2.341B,,,101.53M,10.61B,,,,,,12.98B,-6.930B,6.053B,5.259B,4.656B,9.915B,,,1.955B,17.92B,28.53B,,930.82M,,,,930.82M,3.648B,4.579B,,2.141B,2.141B,440.97M,7.161B,4.152B,,4.152B,,,,,2.777B,6.929B,14.09B,,3.666B,10.11B,,196.30M,,,862.53M,14.44B,,,
2005-12,2.894B,62.41M,2.956B,3.577B,,3.577B,708.16M,630.27M,1.204B,2.542B,932.69M,,1.249B,129.90M,11.39B,0.00,370.95M,2.655B,8.814B,920.60M,12.76B,-6.757B,6.003B,,9.961B,9.961B,,,1.791B,17.76B,29.14B,,1.033B,,,,1.033B,2.723B,3.755B,,2.062B,2.062B,1.598B,7.416B,4.572B,,4.572B,583.08M,583.08M,,,2.156B,7.310B,14.73B,,3.524B,10.40B,,212.26M,,,699.19M,14.42B,,,
2005-09,2.845B,82.65M,2.928B,3.203B,,3.203B,702.66M,586.84M,1.397B,2.686B,2.034B,,,138.11M,10.99B,,,,,,12.74B,-6.753B,5.985B,,10.08B,10.08B,,,1.772B,17.84B,28.83B,,1.030B,,,,1.030B,,1.030B,,3.533B,3.533B,4.195B,8.759B,3.049B,,3.049B,,,,,2.760B,5.809B,14.57B,,3.515B,10.33B,,213.03M,,,630.50M,14.26B,,,
2005-06,1.447B,87.49M,1.535B,3.345B,,3.345B,667.37M,556.81M,1.315B,2.539B,2.012B,,,232.28M,9.663B,,,,,,12.69B,-6.674B,6.018B,,10.32B,10.32B,,,1.815B,18.15B,27.82B,,942.60M,,,,942.60M,,942.60M,,1.017B,1.017B,4.123B,6.083B,4.720B,,4.720B,,,,,2.632B,7.352B,13.44B,,3.474B,10.28B,,213.16M,,,836.75M,14.38B,,,
2005-03,1.703B,111.13M,1.815B,3.538B,,3.538B,702.77M,547.65M,1.420B,2.671B,2.095B,,,233.02M,10.35B,,,,,,12.71B,-6.625B,6.080B,,10.69B,10.69B,,,1.733B,18.51B,28.86B,,986.64M,,,,986.64M,,986.64M,,2.478B,2.478B,3.903B,7.368B,4.698B,,4.698B,,,,,2.614B,7.312B,14.68B,,3.329B,9.853B,,214.16M,,,1.210B,14.18B,,,
2004-12,1.226B,833.33M,2.059B,3.696B,,3.696B,548.74M,582.79M,1.489B,2.620B,1.080B,,1.032B,247.06M,10.73B,0.00,338.43M,2.519B,8.682B,962.11M,12.50B,-6.494B,6.008B,,10.86B,10.86B,,,1.168B,18.03B,28.77B,,1.054B,,,,1.054B,2.492B,3.546B,,1.993B,1.993B,1.287B,6.826B,4.788B,,4.788B,220.08M,220.08M,,,2.608B,7.616B,14.44B,,3.240B,10.03B,,220.85M,,,1.274B,14.33B,,,
2004-09,810.89M,1.100B,1.911B,2.946B,,2.946B,541.07M,599.76M,1.229B,2.370B,2.770B,,,218.53M,10.22B,,,,,,11.96B,-6.266B,5.698B,,10.22B,10.22B,,1.148B,287.69M,17.35B,27.56B,,1.598B,,,,1.598B,,1.598B,,1.853B,1.853B,3.844B,7.295B,4.728B,,4.728B,,,,,2.585B,7.313B,14.61B,,3.165B,9.483B,,222.10M,,,529.38M,12.96B,,,
2004-06,1.232B,1.192B,2.423B,2.861B,,2.861B,536.93M,556.17M,1.224B,2.317B,2.668B,,,233.02M,10.50B,,,,,,11.78B,-6.168B,5.614B,,10.40B,10.40B,,848.63M,322.91M,17.18B,27.69B,,1.486B,,,,1.486B,,1.486B,,2.280B,2.280B,3.858B,7.624B,4.687B,,4.687B,,,,,2.550B,7.236B,14.86B,,3.134B,9.282B,,222.83M,,,633.09M,12.83B,,,
2004-03,1.124B,929.88M,2.054B,3.201B,,3.201B,680.40M,618.18M,1.565B,2.863B,2.825B,,,,10.94B,,,,,,13.75B,-7.289B,6.459B,,9.106B,9.106B,,1.214B,331.54M,17.11B,28.05B,,1.575B,,,,1.575B,,1.575B,,1.728B,1.728B,3.651B,6.954B,4.957B,,4.957B,,,,,2.630B,7.587B,14.54B,,3.076B,9.825B,,223.19M,,,834.28M,13.51B,,,
2003-12,995.12M,291.30M,1.286B,3.313B,,3.313B,725.02M,545.98M,1.467B,2.738B,1.111B,,1.165B,,9.614B,0.00,356.76M,2.662B,9.479B,792.92M,13.29B,-7.009B,6.282B,,8.539B,8.539B,,1.197B,406.36M,16.42B,26.04B,,1.078B,,,,1.078B,2.180B,3.258B,,2.537B,2.537B,1.168B,6.964B,3.452B,,3.452B,,,,,2.551B,6.004B,12.97B,,3.034B,9.691B,,229.70M,,,576.42M,13.07B,,,
2003-09,1.682B,71.41M,1.753B,2.882B,,2.882B,657.92M,635.95M,1.368B,2.662B,2.963B,,,,10.26B,,,,,,12.83B,-6.727B,6.100B,,8.123B,8.123B,,1.338B,333.01M,15.89B,26.15B,,1.318B,,,,1.318B,,1.318B,,2.719B,2.719B,4.002B,8.039B,3.908B,,3.908B,,,,,2.343B,6.251B,14.29B,,2.998B,9.140B,,229.93M,,,-43.13M,11.86B,,,
2003-06,1.079B,94.88M,1.174B,2.834B,,2.834B,716.21M,644.57M,1.364B,2.725B,2.982B,,,,9.715B,,,,,,12.88B,-6.757B,6.125B,,8.296B,8.296B,,1.482B,274.00M,16.18B,25.89B,,1.488B,,,,1.488B,,1.488B,,1.828B,1.828B,4.017B,7.333B,4.316B,,4.316B,,,,,2.348B,6.665B,14.00B,,2.967B,8.766B,,231.02M,,,390.37M,11.89B,,,
2003-03,1.020B,268.54M,1.289B,2.763B,,2.763B,737.65M,533.43M,1.383B,2.654B,2.726B,,,,9.431B,,,,,,12.48B,-6.554B,5.926B,,7.867B,7.867B,,1.425B,233.20M,15.45B,24.88B,,1.618B,,,,1.618B,,1.618B,,2.200B,2.200B,3.126B,6.944B,4.270B,,4.270B,,,,,2.297B,6.567B,13.51B,,2.913B,8.921B,,231.52M,,,-230.46M,11.37B,,,
2002-12,704.45M,261.68M,966.13M,2.927B,,2.927B,602.88M,563.66M,1.275B,2.441B,1.764B,,1.023B,,9.122B,0.00,335.57M,2.388B,8.790B,634.32M,12.15B,-6.320B,5.828B,,7.652B,7.652B,,1.407B,250.78M,15.14B,24.26B,,1.662B,,,,1.662B,2.202B,3.864B,,2.149B,2.149B,989.42M,7.002B,4.274B,,4.274B,,,,,2.318B,6.592B,13.59B,,2.891B,8.601B,,231.84M,,,-596.25M,10.66B,,,
2002-09,742.65M,271.21M,1.014B,2.866B,,2.866B,576.34M,546.69M,1.323B,2.446B,2.158B,,,,8.484B,,,,,,11.98B,-6.262B,5.714B,,7.731B,7.731B,,1.412B,318.99M,15.18B,23.66B,,887.80M,,,,887.80M,,887.80M,,2.481B,2.481B,3.348B,6.717B,4.456B,,4.456B,,,,,1.940B,6.396B,13.11B,,2.866B,8.348B,,231.86M,,,-434.38M,10.55B,,,
2002-06,482.14M,221.01M,703.15M,2.827B,,2.827B,557.86M,588.78M,1.245B,2.392B,2.088B,,,,8.010B,,,,,,11.60B,-5.988B,5.612B,,7.647B,7.647B,,1.386B,398.66M,15.04B,23.05B,,1.044B,,,,1.044B,,1.044B,,2.391B,2.391B,3.434B,6.868B,4.401B,,4.401B,,,,,1.895B,6.296B,13.16B,,2.856B,7.996B,,232.37M,,,-731.06M,9.889B,,,
2002-03,944.98M,48.90M,993.88M,2.644B,,2.644B,555.71M,538.69M,1.239B,2.334B,2.103B,,,,8.076B,,,,,,11.19B,-5.725B,5.470B,,7.275B,7.275B,,1.311B,634.21M,14.69B,22.77B,,1.017B,,,,1.017B,,1.017B,,2.576B,2.576B,3.359B,6.952B,4.324B,,4.324B,,,,,2.044B,6.368B,13.32B,,2.795B,7.783B,,232.83M,,,-899.05M,9.446B,,,
2001-12,657.38M,56.16M,713.54M,2.813B,,2.813B,570.40M,487.31M,1.154B,2.212B,1.569B,,1.112B,,8.419B,0.00,332.27M,2.249B,8.097B,547.13M,11.23B,-5.674B,5.552B,,7.294B,7.294B,,1.384B,647.21M,14.88B,23.30B,,1.525B,,,,1.525B,2.286B,3.811B,,2.953B,2.953B,1.163B,7.927B,4.335B,,4.335B,,,,,1.975B,6.310B,14.24B,,2.643B,7.281B,,252.44M,,,-612.97M,9.059B,,,
2001-09,594.15M,196.79M,790.94M,2.689B,,2.689B,557.94M,530.53M,1.172B,2.261B,2.431B,,,,8.171B,,,,,,11.85B,-6.310B,5.539B,,5.228B,5.228B,,,3.782B,14.55B,22.72B,,1.559B,,,,1.559B,,1.559B,,2.920B,2.920B,3.302B,7.782B,4.334B,,4.334B,,,,,1.932B,6.267B,14.05B,,2.535B,7.047B,,250.19M,,,-661.13M,8.671B,,,
2001-06,664.75M,220.08M,884.82M,2.491B,,2.491B,523.64M,472.95M,1.196B,2.192B,2.396B,,,,7.964B,,,,,,11.27B,-5.960B,5.311B,,5.205B,5.205B,,,3.644B,14.16B,22.12B,,1.518B,,,,1.518B,,1.518B,,3.242B,3.242B,2.649B,7.408B,4.311B,,4.311B,,,,,1.845B,6.156B,13.56B,,2.454B,7.111B,,254.82M,,,-751.70M,8.558B,,,
2001-03,492.19M,266.00M,758.19M,2.554B,,2.554B,540.27M,398.73M,1.301B,2.240B,2.640B,,,,8.191B,,,,,,10.90B,-5.478B,5.417B,,5.533B,5.533B,,,2.837B,13.79B,21.98B,,1.453B,,,,1.453B,,1.453B,,5.967B,5.967B,3.469B,10.89B,1.076B,,1.076B,,,,,1.914B,2.990B,13.88B,,2.315B,6.643B,,255.44M,,,-603.04M,8.099B,,,
2000-12,914.22M,242.50M,1.157B,2.179B,,2.179B,466.95M,370.41M,903.97M,1.741B,2.299B,,,,7.376B,0.00,245.85M,1.954B,7.598B,330.83M,10.13B,-5.311B,4.817B,,1.555B,1.555B,,,1.535B,7.907B,15.28B,,1.356B,,,,1.356B,1.549B,2.905B,,479.45M,479.45M,912.86M,4.298B,1.076B,,1.076B,,,,,1.338B,2.415B,6.712B,,2.218B,7.230B,,255.59M,,,-621.33M,8.571B,,,
2000-09,878.12M,89.53M,967.64M,2.030B,,2.030B,429.98M,393.38M,909.10M,1.732B,2.241B,,,,6.971B,,,,,,9.980B,-5.240B,4.741B,,,,,,3.268B,8.009B,14.98B,,1.264B,,,,1.264B,,1.264B,,547.02M,547.02M,2.473B,4.284B,1.076B,,1.076B,,,,,1.306B,2.382B,6.666B,,2.136B,6.990B,,255.70M,,,-557.34M,8.314B,,,
2000-06,840.15M,144.10M,984.25M,2.041B,,2.041B,426.46M,372.62M,885.22M,1.684B,2.189B,,,,6.898B,,,,,,9.939B,-5.168B,4.771B,,,,,,3.295B,8.066B,14.96B,,1.480B,,,,1.480B,,1.480B,,355.59M,355.59M,2.353B,4.188B,1.326B,,1.326B,,,,,1.265B,2.591B,6.780B,,2.074B,6.879B,,257.15M,,,-512.19M,8.184B,,,
2000-03,680.89M,94.45M,775.35M,1.941B,,1.941B,389.41M,368.78M,864.12M,1.622B,2.389B,,,,6.728B,,,,,,9.891B,-5.110B,4.781B,,,,,,3.452B,8.233B,14.96B,,1.204B,,,,1.204B,,1.204B,,909.12M,909.12M,2.388B,4.501B,1.327B,,1.327B,,,,,1.260B,2.587B,7.087B,,2.001B,6.567B,,257.35M,,,-437.03M,7.874B,,,
1999-12,608.10M,115.20M,723.30M,2.056B,,2.056B,,,,1.495B,,,,2.145B,6.420B,,,,,,9.798B,-5.028B,4.770B,,1.575B,1.575B,,,1.706B,8.051B,14.47B,,1.227B,,,,1.227B,,1.227B,,896.27M,896.27M,2.394B,4.517B,1.337B,,1.337B,,,,,1.190B,2.527B,7.043B,,1.940B,6.174B,,257.76M,,,-428.33M,7.428B,,,
1999-09,531.07M,99.31M,630.38M,1.883B,,1.883B,376.98M,326.92M,713.40M,1.417B,1.947B,,,,5.878B,,,,,,9.654B,-4.938B,4.717B,,,,,,2.980B,7.696B,13.57B,,1.191B,,,,1.191B,,1.191B,,872.79M,872.79M,2.265B,4.329B,1.336B,,1.336B,,,,,1.239B,2.576B,6.905B,,1.517B,5.816B,,258.06M,,,-405.19M,6.670B,,,
1999-06,345.78M,55.97M,401.75M,1.909B,,1.909B,362.06M,314.41M,746.29M,1.423B,1.813B,,,,5.547B,,,,,,9.500B,-4.800B,4.700B,,,,,,2.898B,7.598B,13.15B,,830.75M,,,,830.75M,,830.75M,,982.86M,982.86M,2.357B,4.170B,1.338B,,1.338B,,,,,1.198B,2.535B,6.706B,,1.469B,5.409B,,46.42M,,,-391.88M,6.439B,,,
1999-03,351.76M,45.05M,396.81M,1.983B,,1.983B,349.11M,332.76M,693.70M,1.376B,2.015B,,,,5.771B,,,,,,9.398B,-4.714B,4.684B,,,,,,2.862B,7.546B,13.32B,,1.058B,,,,1.058B,,1.058B,,1.286B,1.286B,2.365B,4.709B,1.340B,,1.340B,,,,,1.206B,2.546B,7.255B,,1.364B,5.094B,,46.59M,,,-349.44M,6.062B,,,
1998-12,315.20M,95.80M,411.00M,1.956B,,1.956B,,,,1.413B,,,,1.810B,5.590B,,,,,,9.404B,-4.661B,4.743B,,1.350B,1.350B,,,1.577B,7.670B,13.26B,,1.057B,,,,1.057B,,1.057B,,1.759B,1.759B,2.149B,4.966B,1.340B,,1.340B,109.00M,109.00M,,,1.092B,2.540B,7.506B,,1.310B,4.743B,,46.70M,,,-253.50M,5.754B,,,
1998-09,223.47M,50.56M,274.03M,1.733B,,1.733B,384.03M,329.14M,680.95M,1.394B,1.665B,,,,5.066B,,,,,,9.201B,-4.555B,4.646B,,,,,,2.891B,7.537B,12.60B,,922.34M,,,,922.34M,,922.34M,,1.420B,1.420B,2.322B,4.665B,1.341B,,1.341B,,,,,1.224B,2.565B,7.229B,,1.114B,4.644B,,46.74M,,,-337.46M,5.374B,,,
1998-06,251.77M,71.24M,323.01M,1.759B,,1.759B,368.67M,329.98M,730.47M,1.429B,1.664B,,,,5.175B,,,,,,9.119B,-4.453B,4.667B,,,,,,2.843B,7.509B,12.68B,,932.49M,,,,932.49M,,932.49M,,1.575B,1.575B,2.492B,5.000B,1.141B,,1.141B,,,,,1.233B,2.374B,7.375B,,1.054B,4.615B,,46.78M,,,-312.00M,5.310B,,,
1998-03,225.54M,69.40M,294.94M,1.701B,,1.701B,325.02M,320.24M,698.92M,1.344B,1.841B,,,,5.182B,,,,,,8.900B,-4.314B,4.586B,,,,,,2.347B,6.933B,12.12B,,942.59M,,,,942.59M,,942.59M,,1.290B,1.290B,2.493B,4.727B,1.140B,,1.140B,,,,,1.107B,2.247B,6.973B,,997.59M,4.507B,,46.82M,,,-316.47M,5.142B,,,
1997-12,230.00M,,230.00M,1.782B,,1.782B,,,,1.28B,,,,1.746B,5.038B,,,,,,8.790B,-4.220B,4.570B,,1.112B,1.112B,,,1.341B,7.023B,12.06B,,1.001B,,,,1.001B,,1.001B,,1.781B,1.781B,2.252B,5.034B,938.00M,,938.00M,136.50M,136.50M,,,953.40M,2.028B,7.062B,,,4.165B,,,,,,4.999B,,,
1997-09,129.40M,36.18M,165.58M,1.700B,,1.700B,352.99M,288.99M,610.44M,1.252B,1.535B,,,,4.653B,,,,,,8.656B,-4.154B,4.502B,,,,,,2.420B,6.923B,11.58B,,819.88M,,,,819.88M,,819.88M,,1.638B,1.638B,2.263B,4.721B,939.48M,,939.48M,,,,,1.073B,2.013B,6.734B,,802.68M,4.366B,,48.24M,-250.21M,-27.56M,-277.78M,4.842B,,,
1997-06,126.52M,18.67M,145.19M,1.729B,,1.729B,358.93M,282.35M,622.71M,1.264B,1.450B,,,,4.588B,,,,,,8.569B,-4.067B,4.502B,,,,,,2.344B,6.846B,11.43B,,911.44M,,,,911.44M,,911.44M,,1.463B,1.463B,2.140B,4.514B,931.06M,,931.06M,,,,,1.052B,1.983B,6.496B,,783.06M,4.418B,,48.30M,-186.87M,-28.93M,-215.80M,4.937B,,,
1997-03,134.09M,18.14M,152.23M,1.731B,,1.731B,348.46M,276.85M,574.41M,1.200B,1.544B,,,,4.627B,,,,,,8.356B,-3.932B,4.424B,,,,,,2.149B,6.573B,11.20B,,966.85M,,,,966.85M,,966.85M,,1.202B,1.202B,2.209B,4.378B,931.23M,,931.23M,,,,,1.035B,1.967B,6.344B,,741.20M,4.373B,,48.31M,-178.35M,-30.92M,-209.27M,4.856B,,,
1996-12,110.20M,,110.20M,1.709B,,1.709B,,,,1.238B,,,,1.424B,4.481B,,,,,,8.370B,-3.909B,4.462B,,979.80M,979.80M,,,1.203B,6.645B,11.13B,,923.00M,,,,923.00M,,923.00M,,1.384B,1.384B,2.037B,4.344B,932.90M,,932.90M,153.30M,153.30M,,,875.50M,1.962B,6.305B,,,4.263B,,,,,,4.820B,,,
1996-09,139.90M,39.27M,179.17M,1.550B,,1.550B,341.20M,261.14M,622.36M,1.225B,1.320B,,,,4.274B,,,,,,8.242B,-3.840B,4.402B,,,,,,1.993B,6.395B,10.67B,,788.09M,,,,788.09M,,788.09M,,1.452B,1.452B,2.048B,4.288B,682.17M,,682.17M,174.37M,174.37M,,,810.95M,1.667B,5.955B,,659.27M,4.175B,,50.98M,-63.66M,-5.211M,-68.87M,4.714B,,,
1996-06,111.48M,66.19M,177.67M,1.644B,,1.644B,307.70M,269.73M,617.82M,1.195B,1.310B,,,,4.326B,,,,,,8.045B,-3.709B,4.335B,,,,,,1.892B,6.227B,10.55B,,806.29M,,,,806.29M,,806.29M,,1.671B,1.671B,2.050B,4.527B,433.44M,,433.44M,176.56M,176.56M,,,776.56M,1.387B,5.913B,,628.22M,4.158B,,50.99M,-89.38M,-5.832M,-95.21M,4.640B,,,
1996-03,87.92M,44.04M,131.96M,1.562B,,1.562B,314.59M,268.98M,573.35M,1.157B,1.262B,,,,4.113B,,,,,,7.895B,-3.621B,4.274B,,,,,,924.64M,5.199B,9.312B,,709.15M,,,,709.15M,,709.15M,,675.34M,675.34M,2.107B,3.491B,433.72M,,433.72M,,,,,821.13M,1.255B,4.746B,,608.93M,4.075B,,51.02M,-60.50M,-6.297M,-66.80M,4.566B,,,
1995-12,281.20M,34.50M,315.70M,1.563B,,1.563B,311.36M,238.94M,560.64M,1.111B,1.237B,,,,4.227B,0.00,152.40M,1.531B,5.518B,560.63M,7.762B,-3.513B,4.250B,,,,,,936.33M,5.186B,9.413B,,755.92M,,,,755.92M,1.217B,1.973B,,1.050B,1.050B,767.51M,3.790B,435.20M,,435.20M,67.99M,67.99M,,,722.23M,1.225B,5.016B,,581.56M,3.927B,,51.27M,-55.65M,-4.718M,-60.36M,4.397B,,,
1995-09,320.80M,93.87M,414.67M,1.471B,,1.471B,280.40M,259.94M,511.01M,1.051B,1.141B,,,,4.077B,,,,,,7.622B,-3.439B,4.183B,,,,,,809.58M,4.992B,9.070B,,665.93M,,,,665.93M,,665.93M,,937.19M,937.19M,1.964B,3.567B,435.30M,,435.30M,,,,,791.56M,1.227B,4.794B,,568.00M,3.823B,,51.31M,-57.87M,-5.295M,-63.17M,4.276B,,,
1995-06,254.40M,56.46M,310.86M,1.519B,,1.519B,278.56M,239.47M,531.74M,1.050B,1.161B,,,,4.040B,,,,,,7.544B,-3.391B,4.153B,,,,,,797.11M,4.950B,8.990B,,754.27M,,,,754.27M,,754.27M,,829.59M,829.59M,1.951B,3.535B,435.73M,,435.73M,,,,,776.32M,1.212B,4.747B,,546.97M,3.763B,,51.36M,-9.574M,-5.515M,-15.09M,4.243B,,,
1995-03,184.21M,65.84M,250.05M,1.549B,,1.549B,264.76M,221.11M,519.55M,1.005B,1.085B,,,,3.890B,,,,,,7.300B,-3.247B,4.053B,,,,,,807.88M,4.861B,8.751B,,678.81M,,,,678.81M,,678.81M,,883.55M,883.55M,2.028B,3.591B,285.55M,,285.55M,,,,,744.96M,1.031B,4.621B,,524.91M,3.715B,,51.54M,-53.41M,-4.991M,-58.40M,4.130B,,,
1994-12,290.27M,25.06M,315.33M,1.469B,,1.469B,284.83M,218.64M,514.72M,1.018B,525.20M,,,549.09M,3.876B,0.00,145.63M,1.350B,4.764B,794.01M,7.054B,-3.133B,3.921B,,,,,,726.55M,4.647B,8.524B,,671.10M,,,,671.10M,1.140B,1.811B,,772.50M,772.50M,892.11M,3.476B,287.09M,,287.09M,55.60M,55.60M,,,655.77M,998.46M,4.474B,,505.17M,3.652B,,51.54M,-51.12M,-5.535M,-56.66M,4.049B,,,
1994-09,222.03M,96.66M,318.69M,1.472B,,1.472B,282.85M,230.18M,544.08M,1.057B,525.33M,,,487.12M,3.860B,,,,,,6.904B,-3.081B,3.823B,,,,,,672.89M,4.496B,8.356B,,592.48M,,,,592.48M,,592.48M,,764.26M,764.26M,2.051B,3.408B,307.92M,,307.92M,,,,,681.98M,989.90M,4.398B,,500.54M,3.552B,,51.72M,-37.28M,-5.104M,-42.38M,3.958B,,,
1994-06,180.60M,68.48M,249.07M,1.434B,,1.434B,270.87M,222.75M,558.83M,1.052B,517.72M,,,469.00M,3.722B,,,,,,6.624B,-2.939B,3.685B,,,,,,676.01M,4.361B,8.083B,,724.47M,,,,724.47M,,724.47M,,745.80M,745.80M,1.799B,3.269B,307.28M,,307.28M,,,,,650.49M,957.76M,4.227B,,492.16M,3.492B,,51.74M,-70.61M,-5.503M,-76.12M,3.856B,,,
1994-03,171.06M,36.54M,207.61M,1.350B,,1.350B,249.89M,224.01M,509.34M,983.24M,512.66M,,,466.67M,3.520B,,,,,,6.408B,-2.824B,3.584B,,,,,,643.19M,4.227B,7.747B,,602.83M,,,,602.83M,,602.83M,,675.43M,675.43M,1.776B,3.054B,306.86M,,306.86M,,,,,634.67M,941.53M,3.996B,,480.31M,3.423B,,51.78M,-93.28M,-6.394M,-99.67M,3.752B,,,
1993-12,300.68M,78.15M,378.82M,1.336B,,1.336B,247.49M,216.49M,476.55M,940.53M,471.93M,,,458.03M,3.586B,0.00,137.64M,1.262B,4.169B,652.61M,6.221B,-2.710B,3.511B,,,,,,592.04M,4.103B,7.689B,,638.51M,,,,638.51M,933.05M,1.572B,,843.59M,843.59M,679.78M,3.095B,306.84M,,306.84M,51.38M,51.38M,,,560.48M,918.71M,4.014B,,469.83M,3.365B,,51.78M,-100.72M,-7.352M,-108.07M,3.675B,,,
