,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,4.897B,4.897B,2.197B,2.700B,1.209B,449.00M,,170.47M,,,,,1.658B,1.042B,,,,170.47M,,1.178B,283.76M,894.25M,50.15M,944.39M,764.84M,1.368B,326.54M,1.042B,,0.57,0.03,0.4873,0.60,,0.57,0.03,0.4878,0.60,,1.564B,1.575B,0.245,,,
2003-09,4.248B,4.248B,1.929B,2.319B,1.028B,409.27M,,83.18M,,,,,1.437B,882.02M,,,,83.18M,,928.93M,231.46M,697.48M,63.74M,761.22M,635.02M,1.120B,237.66M,882.02M,,0.45,0.04,0.4100,0.49,,0.44,0.04,0.4003,0.48,,1.563B,1.572B,0.245,,,
2003-06,4.126B,4.126B,1.848B,2.278B,1.632B,378.82M,,92.49M,,,,,2.010B,267.42M,,,,92.49M,,321.49M,142.35M,179.14M,67.50M,246.64M,123.65M,518.00M,250.59M,267.42M,,0.11,0.05,0.0745,0.16,,0.11,0.05,0.0747,0.16,,1.562B,1.572B,0.245,,,
2003-03,4.580B,4.580B,2.198B,2.383B,996.20M,406.03M,,110.72M,,,,,1.402B,980.49M,,,,110.72M,,1.054B,252.94M,800.98M,,800.98M,716.83M,1.293B,312.66M,980.49M,,0.51,0.00,0.4561,0.51,,0.51,0.00,0.4563,0.51,,1.562B,1.568B,0.235,,,
2002-12,2.434B,2.434B,690.34M,1.744B,887.94M,345.24M,,-11.66M,,,,,1.233B,510.60M,,,,-11.66M,,451.32M,70.91M,380.41M,,627.11M,390.24M,662.72M,152.11M,510.60M,,0.24,0.16,0.2463,0.40,,0.24,0.16,0.2463,0.40,,1.563B,1.571B,0.235,,,
2002-09,4.341B,4.341B,2.067B,2.274B,967.22M,393.12M,,93.07M,,,,,1.360B,913.40M,,,,93.07M,,953.71M,233.66M,720.05M,,720.05M,649.78M,1.205B,291.46M,913.40M,,0.46,0.00,0.4150,0.46,,0.46,0.00,0.4152,0.46,,1.562B,1.569B,0.235,,,
2002-06,4.315B,4.315B,2.167B,2.148B,978.01M,379.49M,,45.88M,,,,,1.358B,790.80M,,,,45.88M,,784.46M,192.19M,592.26M,,592.26M,557.63M,1.068B,276.93M,790.80M,,0.38,0.00,0.3578,0.38,,0.38,0.00,0.3580,0.38,,1.562B,1.574B,0.235,,,
2002-03,4.189B,4.189B,1.896B,2.293B,891.69M,356.68M,,139.54M,,,,,1.248B,1.045B,,,,139.54M,,1.131B,277.22M,854.28M,,854.28M,748.93M,1.368B,323.12M,1.045B,,0.55,0.00,0.4824,0.55,,0.54,0.00,0.4733,0.54,,1.558B,1.579B,0.21,,,
2001-12,4.445B,4.445B,2.081B,2.364B,1.045B,461.36M,,1.341M,,,,,1.506B,858.02M,,,,1.341M,,794.76M,181.21M,613.56M,,613.56M,612.52M,1.177B,318.89M,858.02M,,0.22,0.18,0.2193,0.40,,0.22,0.17,0.2193,0.39,,1.553B,1.576B,0.21,,,
2001-09,4.181B,4.181B,2.041B,2.140B,995.09M,400.57M,,144.49M,,,,,1.396B,744.63M,,,,144.49M,,814.15M,182.75M,631.40M,,631.40M,519.34M,1.053B,307.87M,744.63M,,0.41,0.00,0.3378,0.41,,0.40,0.00,0.3287,0.40,,1.552B,1.572B,0.21,,,
2001-06,4.099B,4.099B,1.983B,2.116B,948.20M,397.34M,,-39.13M,,,,,1.346B,770.51M,,,,-39.13M,,662.92M,133.87M,529.05M,,529.05M,560.27M,1.082B,311.18M,770.51M,,0.34,0.00,0.3602,0.34,,0.34,0.00,0.3599,0.34,,1.550B,1.569B,0.21,,,
2001-03,3.560B,3.560B,1.643B,1.917B,747.01M,318.28M,,-1.213B,,,,,1.065B,851.27M,,,,-1.213B,,-388.68M,-165.07M,-223.61M,,-223.61M,504.33M,1.081B,230.07M,851.27M,,-0.14,0.00,0.3305,-0.14,,-0.14,0.00,0.3305,-0.14,,1.547B,1.547B,0.19,,,
2000-12,3.705B,3.705B,1.696B,2.008B,735.65M,349.68M,,108.35M,,,,0.00,1.085B,922.92M,,,,108.35M,,1.032B,278.65M,753.40M,,753.40M,674.30M,1.122B,198.78M,922.92M,,0.49,0.00,0.4389,0.49,,0.48,0.00,0.4296,0.48,,1.546B,1.570B,0.19,,,
2000-09,3.318B,3.318B,1.516B,1.802B,699.28M,318.38M,,112.62M,,,,,1.018B,784.72M,,,,112.62M,,896.46M,242.05M,654.42M,,654.42M,572.20M,977.60M,192.88M,784.72M,,0.42,0.00,0.3669,0.42,,0.42,0.00,0.3675,0.42,,1.548B,1.567B,0.19,,,
2000-06,3.370B,3.370B,1.530B,1.840B,728.94M,361.59M,,200.36M,,,,-92.20M,998.33M,841.57M,,,,200.36M,,938.63M,253.43M,685.20M,,685.20M,538.94M,1.105B,263.21M,841.57M,,0.44,0.00,0.3456,0.44,,0.44,0.00,0.3466,0.44,,1.550B,1.566B,0.19,,,
2000-03,3.353B,3.353B,1.496B,1.857B,730.30M,321.37M,,156.23M,,,,-46.30M,1.005B,851.36M,,,,156.23M,,949.26M,256.30M,692.96M,,692.96M,578.91M,1.024B,172.56M,851.36M,,0.45,0.00,0.3763,0.45,,0.44,0.00,0.3669,0.44,,1.548B,1.560B,0.17,,,
1999-12,3.468B,3.468B,690.84M,2.777B,788.13M,327.89M,,104.17M,,,,,1.944B,833.05M,,,,104.17M,,922.24M,258.19M,664.04M,,664.04M,589.04M,1.027B,193.97M,833.05M,,0.43,0.00,0.3814,0.43,,0.43,0.00,0.3819,0.43,,1.543B,1.558B,0.17,,,
1999-09,3.137B,3.137B,1.590B,1.547B,689.82M,278.71M,,90.80M,,,,,968.53M,578.47M,,,,90.80M,,650.11M,182.03M,468.08M,,468.08M,402.71M,795.00M,216.53M,578.47M,,0.30,0.00,0.2575,0.30,,0.30,0.00,0.2580,0.30,,1.537B,1.556B,0.17,,,
1999-06,3.259B,3.259B,1.415B,1.844B,693.70M,317.90M,,85.00M,,,,,1.012B,832.41M,,,,85.00M,,895.80M,250.80M,645.00M,,645.00M,583.80M,1.038B,205.29M,832.41M,,0.42,0.00,0.3801,0.42,,0.41,0.00,0.3707,0.41,,1.535B,1.559B,0.17,,,
1999-03,3.313B,3.313B,1.453B,1.860B,685.48M,269.50M,,49.28M,,,,,954.98M,905.33M,,,,49.28M,,928.75M,260.05M,668.70M,,668.70M,633.22M,1.118B,212.21M,905.33M,,0.44,0.00,0.4168,0.44,,0.43,0.00,0.4072,0.43,,1.532B,1.557B,0.15,,,
1998-12,3.365B,3.365B,1.258B,2.107B,730.30M,349.70M,,63.80M,,,,,1.275B,831.40M,,,,63.80M,,871.20M,243.70M,627.50M,,627.50M,581.55M,1.027B,195.40M,831.40M,,0.40,0.00,0.3708,0.40,,0.40,0.00,0.3714,0.40,,1.575B,1.604B,0.15,,,
1998-09,3.036B,3.036B,1.177B,1.858B,665.20M,292.10M,,61.40M,,,,,1.155B,703.50M,,,,61.40M,,738.50M,206.80M,531.70M,,531.70M,487.49M,901.20M,197.70M,703.50M,,0.35,0.00,0.3209,0.35,,0.34,0.00,0.3114,0.34,,1.521B,1.545B,0.15,,,
1998-06,3.067B,3.067B,1.298B,1.769B,682.16M,307.13M,,60.52M,,,,,989.29M,779.69M,,,,60.52M,,813.28M,227.72M,585.56M,,585.56M,541.99M,982.39M,202.70M,779.69M,,0.38,0.00,0.3514,0.38,,0.38,0.00,0.3518,0.38,,1.525B,1.546B,0.15,,,
1998-03,3.045B,3.045B,1.089B,1.956B,682.20M,279.90M,,54.10M,,,,,1.153B,802.80M,,,,54.10M,,818.90M,229.30M,589.60M,,589.60M,550.65M,993.40M,190.60M,802.80M,,0.39,0.00,0.3642,0.39,,0.38,0.00,0.3549,0.38,,1.512B,1.552B,0.135,,,
1997-12,3.124B,3.124B,1.084B,2.040B,713.10M,380.40M,,6.40M,,,,,1.276B,764.30M,,,,6.40M,,782.80M,231.50M,551.30M,,551.30M,546.79M,946.40M,182.10M,764.30M,,0.35,0.00,0.3471,0.35,,0.35,0.00,0.3471,0.35,,1.577B,1.577B,0.135,,,
1997-09,2.865B,2.865B,1.043B,1.822B,675.10M,326.80M,,65.40M,,,,,1.200B,621.50M,,,,65.40M,,653.40M,182.00M,471.40M,,471.40M,424.22M,820.10M,198.56M,621.50M,,0.31,0.00,0.2790,0.31,,0.30,0.00,0.2700,0.30,,1.521B,1.571B,0.135,,,
1997-06,2.900B,2.900B,1.217B,1.683B,651.00M,320.15M,,47.27M,,,,,971.15M,712.21M,,,,47.27M,,739.76M,218.23M,521.53M,,521.53M,488.21M,884.57M,172.36M,712.21M,,0.34,0.00,0.3184,0.34,,0.34,0.00,0.3184,0.34,,1.546B,1.546B,0.135,,,
1997-03,3.000B,3.000B,1.327B,1.672B,656.60M,280.07M,,43.84M,,,,,936.67M,735.81M,,,,43.84M,,758.62M,223.79M,534.83M,,534.83M,503.92M,911.89M,176.08M,735.81M,,0.35,0.00,0.3303,0.35,,0.34,0.00,0.3203,0.34,,1.572B,1.572B,0.12,,,
1996-12,2.996B,2.996B,568.49M,2.427B,673.12M,352.37M,,67.49M,,,,,1.712B,715.81M,,,,67.49M,,724.22M,213.64M,510.58M,,510.58M,463.00M,893.85M,178.04M,715.81M,,0.33,0.00,0.2988,0.33,,0.32,0.00,0.2908,0.32,,1.524B,1.629B,0.12,,,
1996-09,2.646B,2.646B,1.177B,1.469B,615.27M,278.97M,,39.56M,,,,,894.24M,574.71M,,,,39.56M,,597.00M,176.12M,420.89M,,420.89M,393.00M,763.47M,188.76M,574.71M,,0.27,0.00,0.2522,0.27,,0.27,0.00,0.2522,0.27,,1.566B,1.566B,0.12,,,
1996-06,2.699B,2.699B,987.90M,1.711B,598.90M,304.80M,,37.90M,,,,,1.060B,651.60M,,,,37.90M,,667.20M,196.80M,470.40M,,470.40M,443.68M,807.60M,156.00M,651.60M,,0.30,0.00,0.2830,0.30,,0.30,0.00,0.2830,0.30,,1.568B,1.568B,0.12,,,
1996-03,2.672B,2.672B,992.90M,1.679B,572.40M,268.60M,,23.60M,,,,,1.004B,675.00M,,,,23.60M,,681.00M,200.90M,480.10M,,480.10M,463.46M,838.30M,163.30M,675.00M,,0.31,0.00,0.2993,0.31,,0.31,0.00,0.2993,0.31,,1.549B,1.549B,0.105,,,
1995-12,2.597B,2.597B,1.081B,1.516B,577.88M,282.38M,,9.144M,,,,,860.26M,655.86M,,,,9.144M,,660.09M,194.73M,465.36M,,465.36M,458.92M,822.79M,166.93M,655.86M,,0.29,0.00,0.2859,0.29,,0.29,0.00,0.2860,0.29,,1.579B,1.595B,0.105,,,
1995-09,2.391B,2.391B,1.070B,1.320B,521.75M,255.83M,,4.246M,,,,,777.58M,542.92M,,,,4.246M,,541.92M,159.86M,382.05M,,382.05M,379.06M,682.12M,139.21M,542.92M,,0.24,0.00,0.2381,0.24,,0.24,0.00,0.2381,0.24,,1.595B,1.595B,0.105,,,
1995-06,2.500B,2.500B,1.086B,1.414B,532.28M,287.36M,,11.46M,,,,,819.64M,594.65M,,,,11.46M,,601.46M,177.43M,424.03M,,424.03M,415.95M,717.85M,123.20M,594.65M,,0.27,0.00,0.2649,0.27,,0.27,0.00,0.2649,0.27,,1.598B,1.598B,0.105,,,
1995-03,2.524B,2.524B,1.089B,1.435B,598.83M,247.18M,,5.313M,,,,,846.01M,589.48M,,,,5.313M,,591.85M,174.60M,417.25M,,417.25M,413.51M,726.56M,137.08M,589.48M,,0.26,0.00,0.2577,0.26,,0.26,0.00,0.2577,0.26,,1.598B,1.598B,0.095,,,
1994-12,2.482B,2.482B,1.067B,1.415B,572.96M,252.34M,,16.09M,,,,,825.30M,589.70M,,,,16.09M,,603.64M,181.09M,422.55M,,422.55M,411.29M,709.15M,119.46M,589.70M,,0.265,0.00,0.2582,0.265,,0.265,0.00,0.2582,0.265,,1.650B,1.650B,0.095,,,
1994-09,2.255B,2.255B,1.016B,1.239B,515.57M,239.39M,,21.54M,,,,,754.96M,484.03M,,,,21.54M,,501.92M,150.58M,351.34M,,351.34M,336.27M,614.63M,130.60M,484.03M,,0.22,0.00,0.2107,0.22,,0.22,0.00,0.2107,0.22,,1.616B,1.616B,0.095,,,
1994-06,2.204B,2.204B,946.82M,1.257B,468.74M,244.99M,,-1.593M,,,,,713.73M,543.49M,,,,-1.593M,,537.94M,161.38M,376.56M,,376.56M,377.67M,671.60M,128.11M,543.49M,,0.23,0.00,0.2307,0.23,,0.23,0.00,0.2307,0.23,,1.624B,1.624B,0.095,,,
1994-03,2.215B,2.215B,964.27M,1.251B,497.18M,226.80M,,-0.738M,,,,,723.98M,527.00M,,,,-0.738M,,523.19M,156.96M,366.23M,,366.23M,366.75M,659.34M,132.34M,527.00M,,0.23,0.00,0.2303,0.23,,0.23,0.00,0.2303,0.23,,1.633B,1.633B,0.085,,,
1993-12,2.228B,2.228B,1.324B,904.32M,-144.42M,,,-25.47M,,,,,290.25M,614.07M,,,,-25.47M,,543.53M,152.20M,391.33M,,391.33M,409.67M,721.85M,107.78M,614.07M,,0.24,0.00,0.2509,0.24,,0.24,0.00,0.2509,0.24,,1.676B,1.676B,0.085,,,
1993-09,2.060B,2.060B,792.40M,1.268B,698.10M,,,7.20M,,,,,822.80M,445.20M,,,,7.20M,,439.20M,123.00M,316.20M,,316.20M,311.02M,569.90M,124.70M,445.20M,,0.19,0.00,0.1869,0.19,,0.19,0.00,0.1869,0.19,,1.664B,1.664B,0.085,,,
1993-06,2.074B,2.074B,754.70M,1.319B,767.60M,,,75.40M,,,,,899.90M,419.20M,,,,75.40M,,480.70M,134.60M,346.10M,,346.10M,291.81M,551.50M,132.30M,419.20M,,0.21,0.00,0.1771,0.21,,0.21,0.00,0.1771,0.21,,1.648B,1.648B,0.085,,,
1993-03,2.046B,2.046B,813.90M,1.232B,666.90M,,,48.60M,,,,,786.20M,445.50M,,,,48.60M,,479.90M,134.40M,345.50M,,345.50M,310.51M,564.80M,119.30M,445.50M,,0.21,0.00,0.1887,0.21,,0.21,0.00,0.1887,0.21,,1.645B,1.645B,0.075,,,
1992-12,2.096B,2.096B,808.50M,1.288B,723.20M,,,29.40M,,,,,819.50M,468.50M,,,,29.40M,,484.70M,135.70M,349.00M,,349.00M,327.83M,564.80M,96.30M,468.50M,,0.21,0.00,0.1972,0.21,,0.21,0.00,0.1972,0.21,,1.660B,1.660B,0.075,,,
1992-09,1.969B,1.969B,781.20M,1.188B,632.90M,,,-43.50M,,,,,744.40M,443.20M,,,,-43.50M,,387.20M,108.40M,278.80M,,278.80M,310.12M,554.70M,111.50M,443.20M,,0.17,0.00,0.1891,0.17,,0.17,0.00,0.1891,0.17,,1.64B,1.64B,0.075,,,
1992-06,1.909B,1.909B,755.90M,1.153B,844.50M,,,270.30M,,,,,951.60M,201.20M,,,,270.30M,,458.30M,141.20M,317.10M,,317.10M,130.08M,308.30M,107.10M,201.20M,,0.19,0.00,0.0779,0.19,,0.19,0.00,0.0779,0.19,,1.669B,1.669B,0.075,,,
1992-03,1.878B,1.878B,731.80M,1.146B,620.00M,,,9.50M,,,,,732.90M,413.20M,,,,9.50M,,408.60M,114.40M,294.20M,,294.20M,287.36M,526.10M,112.90M,413.20M,,0.18,0.00,0.1758,0.18,,0.18,0.00,0.1758,0.18,,1.634B,1.634B,0.0625,,,
1991-12,1.886B,1.886B,742.00M,1.144B,591.00M,,,2.50M,,,,,682.90M,461.40M,,,,2.50M,,446.30M,131.60M,314.70M,,314.80M,312.94M,553.30M,91.90M,461.40M,,0.18,0.00,0.1790,0.18,,0.18,0.00,0.1790,0.18,,1.757B,1.757B,0.0625,,,
1991-09,1.654B,1.654B,672.80M,980.90M,534.10M,,,17.80M,,,,,628.30M,352.60M,,,,17.80M,,356.90M,105.30M,251.60M,,251.60M,239.05M,446.80M,94.20M,352.60M,,0.15,0.00,0.1425,0.15,,0.15,0.00,0.1425,0.15,,1.677B,1.677B,0.0625,,,
1991-06,1.683B,1.683B,679.30M,1.004B,536.20M,,,27.40M,,,,,631.70M,372.00M,,,,27.40M,,380.60M,112.30M,268.30M,,268.30M,248.98M,467.50M,95.50M,372.00M,,0.16,0.00,0.1485,0.16,,0.16,0.00,0.1485,0.16,,1.677B,1.677B,0.0625,,,
1991-03,1.654B,1.654B,666.90M,986.70M,518.30M,,,3.30M,,,,,615.70M,371.00M,,,,3.30M,,360.40M,106.30M,254.10M,,254.10M,251.77M,468.40M,97.40M,371.00M,,0.15,0.00,0.1486,0.15,,0.15,0.00,0.1486,0.15,,1.694B,1.694B,0.0525,,,
1990-12,1.710B,1.710B,713.20M,996.90M,500.00M,,,12.80M,,,,,594.00M,402.90M,,,,12.80M,,391.40M,111.60M,279.80M,,279.80M,270.65M,496.90M,94.00M,402.90M,,0.16,0.00,0.1548,0.16,,0.16,0.00,0.1548,0.16,,1.754B,1.754B,0.0525,,,
1990-09,1.507B,1.507B,637.10M,869.70M,460.90M,,,10.20M,,,,,547.10M,322.60M,,,,10.20M,,308.80M,88.00M,220.80M,,220.80M,213.51M,408.80M,86.20M,322.60M,,0.13,0.00,0.1257,0.13,,0.13,0.00,0.1257,0.13,,1.698B,1.698B,0.0525,,,
1990-06,1.503B,1.503B,607.50M,895.90M,456.00M,,,8.50M,,,,,543.20M,352.70M,,,,8.50M,,336.00M,95.80M,240.20M,,240.20M,234.12M,439.90M,87.10M,352.70M,,0.14,0.00,0.1365,0.14,,0.14,0.00,0.1365,0.14,,1.716B,1.716B,0.0525,,,
1990-03,1.438B,1.438B,596.30M,842.10M,425.60M,,,4.70M,,,,,514.20M,327.90M,,,,4.70M,,314.70M,89.70M,225.00M,,225.00M,221.64M,416.50M,88.60M,327.90M,,0.13,0.00,0.1281,0.13,,0.13,0.00,0.1281,0.13,,1.731B,1.731B,0.0438,,,
1989-12,1.456B,1.456B,,,,,,,,,,,,-2.703B,,,,,,,,253.00M,,253.00M,,-2.703B,,-2.703B,,,,,,,,,,,,1.770B,1.770B,0.0438,,,
1989-09,1.310B,1.310B,,,,,,,,,,,,1.310B,,,,,,,,196.30M,,196.30M,,1.310B,,1.310B,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,1.789B,1.789B,0.0438,,,
1989-06,1.318B,1.318B,,,,,,,,,,,,1.318B,,,,,,,,212.60M,,212.60M,,1.318B,,1.318B,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,1.799B,1.799B,0.0438,,,
1989-03,1.296B,1.296B,,,,,,,,,,,,1.296B,,,,,,,,198.00M,,198.00M,,1.296B,,1.296B,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,2.041B,2.041B,0.0375,,,
1988-12,1.306B,1.306B,,,,,,,,,,,,-2.529B,,,,,,,,222.30M,,222.30M,,-2.529B,,-2.529B,,,,,,,,,,,,1.799B,1.799B,0.0375,,,
1988-09,1.212B,1.212B,,,,,,,,,,,,1.212B,,,,,,,,172.30M,,172.30M,,1.212B,,1.212B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,1.801B,1.801B,0.0375,,,
1988-06,1.230B,1.230B,,,,,,,,,,,,1.230B,,,,,,,,185.30M,,185.30M,,1.230B,,1.230B,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,1.806B,1.806B,0.0375,,,
1988-03,1.188B,1.188B,,,,,,,,,,,,1.188B,,,,,,,,172.10M,,172.10M,,1.188B,,1.188B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,1.809B,1.809B,0.0313,,,
1987-12,1.234B,1.234B,,,,,,,,,,,,-2.148B,,,,,,,,190.10M,,190.10M,,-2.148B,,-2.148B,,,,,,,,,,,,1.814B,1.814B,0.0313,,,
1987-09,1.091B,1.091B,,,,,,,,,,,,1.091B,,,,,,,,145.80M,,145.80M,,1.091B,,1.091B,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,1.820B,1.820B,0.0313,,,
1987-06,1.060B,1.060B,,,,,,,,,,,,1.060B,,,,,,,,155.10M,,155.10M,,1.060B,,1.060B,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,1.831B,1.831B,0.0313,,,
1987-03,1.004B,1.004B,,,,,,,,,,,,1.004B,,,,,,,,141.60M,,141.60M,,1.004B,,1.004B,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,1.825B,1.825B,0.0263,,,
1986-12,1.063B,1.063B,,,,,,,,,,,,-1.866B,,,,,,,,160.60M,,160.60M,,-1.866B,,-1.866B,,,,,,,,,,,,1.831B,1.831B,0.0263,,,
1986-09,940.90M,940.90M,,,,,,,,,,,,940.90M,,,,,,,,122.80M,,122.80M,,940.90M,,940.90M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,1.878B,1.878B,0.0263,,,
1986-06,938.00M,938.00M,,,,,,,,,,,,938.00M,,,,,,,,133.60M,,133.60M,,938.00M,,938.00M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,1.878B,1.878B,0.0263,,,
1986-03,865.50M,865.50M,,,,,,,,,,,,865.50M,,,,,,,,123.50M,,123.50M,,865.50M,,865.50M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,1.914B,1.914B,0.0219,,,
1985-12,954.40M,954.40M,,,,,,,,,,,,-1.669B,,,,,,,,141.40M,,141.40M,,-1.669B,,-1.669B,,,,,,,,,,,,1.914B,1.914B,,,,
1985-09,822.70M,822.70M,,,,,,,,,,,,822.70M,,,,,,,,106.70M,,106.70M,,822.70M,,822.70M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,1.921B,1.921B,,,,
1985-06,827.00M,827.00M,,,,,,,,,,,,827.00M,,,,,,,,115.00M,,115.00M,,827.00M,,827.00M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,1.922B,1.922B,,,,
1985-03,756.20M,756.20M,,,,,,,,,,,,756.20M,,,,,,,,102.20M,,102.20M,,756.20M,,756.20M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,1.923B,1.923B,,,,
1984-12,850.40M,850.40M,,,,,,,,,,,,-1.577B,,,,,,,,123.10M,,123.10M,,-1.577B,,-1.577B,,,,,,,,,,,,1.924B,1.924B,,,,
1984-09,731.20M,731.20M,,,,,,,,,,,,731.20M,,,,,,,,91.40M,,91.40M,,731.20M,,731.20M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,1.938B,1.938B,,,,
1984-06,801.40M,801.40M,,,,,,,,,,,,801.40M,,,,,,,,100.40M,,100.40M,,801.40M,,801.40M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,1.938B,1.938B,,,,
1984-03,721.10M,721.10M,,,,,,,,,,,,721.10M,,,,,,,,87.70M,,87.70M,,721.10M,,721.10M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,1.929B,1.929B,,,,
