,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2010-03,1.003B,,,,,287.25M,275.25M,562.50M,562.50M,173.87M,-458.64M,291.64M,-49.63M,,,,242.01M,,1.523B,,-245.14M,,-245.14M,-6.416B,874.14M,-1.872B,-7.659B,,-1.254M,775.01M,773.75M,,-861.37M,-861.37M,,-620.75M,188.17M,,-520.20M,,8.809B,-6.656B,-586.31M,1.567B,,,775.01M,-1.254M,-861.37M,,AOR,Restated
2009-12,5.746B,,,,211.97M,324.61M,222.74M,547.35M,547.35M,58.86M,-3.841B,-898.00M,316.81M,,,241.09M,-524.29M,,1.833B,,-245.45M,,-245.45M,-851.73M,2.663B,-2.976M,1.563B,,0.00,936.26M,936.26M,,-0.959M,-0.959M,,-618.78M,186.85M,,503.37M,,4.876B,3.899B,34.56M,8.809B,,,-2.281B,0.00,-0.959M,,AOR,Restated
2009-09,-2.727B,,,,0.00,312.22M,228.49M,540.71M,540.71M,62.59M,3.962B,82.99M,194.36M,,,669.00M,946.36M,,3.030B,,-328.71M,,-328.71M,-9.512M,-1.178B,-2.257M,-1.518B,,0.00,-266.35M,-266.35M,,-0.605M,-0.605M,,-618.38M,29.00M,,-856.33M,,4.204B,655.25M,16.36M,4.876B,,,-266.35M,0.00,-0.605M,,AOR,Restated
2009-06,1.288B,,,,0.00,304.07M,233.33M,537.40M,537.40M,57.96M,57.96M,51.59M,-81.91M,,,-139.35M,-169.67M,,1.714B,,-262.74M,,-262.74M,-17.33M,-1.857B,-0.625M,-2.137B,,-500.00M,777.01M,277.01M,,-1.828M,-1.828M,,-618.23M,13.42M,,-329.62M,,4.875B,-753.21M,82.72M,4.204B,,,777.01M,-500.00M,-1.828M,,AOR,Restated
2009-03,1.439B,,,,-797.13M,270.07M,193.97M,464.04M,464.04M,186.95M,186.95M,375.66M,-198.70M,,,-770.74M,-593.78M,,698.72M,,-252.15M,,-252.15M,-1.492B,138.96M,-0.51M,-1.606B,,1.017B,1.770B,2.787B,,-822.95M,-822.95M,,-559.08M,279.39M,,1.685B,,4.112B,777.56M,-14.79M,4.875B,,,4.770B,-1.983B,-822.95M,,AOR,Restated
2008-12,1.390B,,,,208.49M,220.88M,201.67M,422.56M,422.56M,347.02M,-36.43M,-944.92M,-140.53M,,,-832.42M,-751.76M,,1.233B,,-264.59M,,-264.59M,-250.00M,-793.35M,955.76M,-352.18M,,-913.95M,-324.74M,541.28M,-935.06M,-8.679M,-943.74M,,-558.51M,1.009B,,47.88M,,2.810B,1.278B,23.84M,4.112B,,-935.06M,0.00,-1.239B,-8.679M,,AOR,Restated
2008-09,1.085B,94.66M,,,-96.85M,296.22M,202.34M,498.56M,498.56M,-219.79M,163.65M,49.68M,-81.86M,,,1.081B,1.048B,,2.698B,,-319.80M,,-319.80M,,1.209B,-943.50M,-54.10M,,200.00M,-1.700B,-3.280B,935.06M,-1.692M,933.37M,,-555.56M,-463.17M,,-3.365B,,3.797B,-720.88M,-265.36M,2.810B,,935.06M,-1.700B,200.00M,-1.692M,,,
2008-06,1.322B,-94.66M,,,-16.10M,268.82M,197.04M,465.86M,465.86M,67.87M,67.87M,-97.08M,1.662M,,,14.24M,-81.17M,,1.758B,,-370.34M,,-370.34M,0.00,-348.58M,-69.12M,-788.04M,,0.00,709.92M,709.92M,,-252.28M,-252.28M,,-555.64M,155.68M,,57.68M,,2.710B,1.028B,58.52M,3.797B,,,709.92M,0.00,-252.28M,,,Restated
2008-03,937.87M,,,,18.70M,265.81M,186.05M,451.85M,451.85M,151.92M,151.92M,44.00M,-36.75M,,,-262.44M,-255.19M,,1.305B,,-332.98M,,-332.98M,0.00,-541.98M,-18.20M,-893.16M,,-200.00M,989.95M,789.95M,,-819.15M,-819.15M,,-504.55M,307.49M,,-226.27M,,2.456B,185.72M,67.85M,2.710B,,,989.95M,-200.00M,-819.15M,,,Restated
2007-12,1.203B,,,,356.33M,299.79M,183.40M,483.19M,483.19M,,75.52M,-526.51M,165.82M,,,55.55M,-1.068B,,1.050B,,-428.78M,,-428.78M,,205.35M,-4.937M,-228.36M,,,,-176.32M,223.03M,-0.187M,222.84M,,-502.30M,,,-455.78M,,1.911B,365.95M,179.60M,2.456B,,223.03M,,,-0.187M,,,
