,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2004-09,759.00M,,,,69.00M,321.00M,321.00M,7.00M,,47.00M,,,,,,156.00M,156.00M,,1.359B,,2004-09,3.00M,-676.00M,4.00M,130.00M,8.00M,-534.00M,,2004-09,,-166.00M,83.00M,0.00,83.00M,,-108.00M,,3.00M,-188.00M,,2004-09,148.00M,785.00M,,2004-09,105.00M,,,0.00,,,,2004-09,
2004-06,584.00M,,,,86.00M,324.00M,324.00M,55.00M,,-134.00M,,,,,,-528.00M,-528.00M,,387.00M,,2004-06,2.00M,-459.00M,-39.00M,195.00M,-215.00M,-518.00M,,2004-06,,,12.00M,0.00,12.00M,,-107.00M,,-3.00M,-98.00M,,2004-06,377.00M,148.00M,,2004-06,-108.00M,,,0.00,,,,2004-06,
2004-03,489.00M,,,,117.00M,324.00M,324.00M,25.00M,,-58.00M,,,,,,68.00M,68.00M,,965.00M,,2004-03,2.00M,-341.00M,-138.00M,-215.00M,,-694.00M,,2004-03,,,101.00M,-466.00M,-365.00M,,-101.00M,,-1.00M,-467.00M,,2004-03,573.00M,377.00M,,2004-03,-8.00M,,,-466.00M,,,,2004-03,
2003-12,388.00M,,,,163.00M,307.00M,307.00M,-47.00M,,-54.00M,,,,,,13.00M,55.00M,,812.00M,,2003-12,3.00M,-446.00M,-89.00M,-250.00M,108.00M,-677.00M,,2003-12,,-36.00M,43.00M,-1.00M,42.00M,,-100.00M,,3.00M,-91.00M,,2003-12,529.00M,573.00M,,2003-12,,,,-1.00M,,,,2003-12,
2003-09,446.00M,,,,70.00M,297.00M,297.00M,62.00M,,-30.00M,,,,,,-49.00M,-49.00M,,796.00M,,2003-09,41.00M,-319.00M,-11.00M,,2.00M,-328.00M,,2003-09,,-9.00M,54.00M,0.00,54.00M,,-99.00M,,0.00,-54.00M,,2003-09,115.00M,529.00M,,2003-09,,,,0.00,,,,2003-09,
2003-06,374.00M,,,,87.00M,286.00M,286.00M,18.00M,,-27.00M,,,,,,54.00M,54.00M,,792.00M,,2003-06,25.00M,-468.00M,-209.00M,87.00M,-110.00M,-700.00M,,2003-06,,-105.00M,82.00M,0.00,82.00M,,-99.00M,,-1.00M,-123.00M,,2003-06,146.00M,115.00M,,2003-06,,,,0.00,,,,2003-06,
2003-03,393.00M,,,,56.00M,285.00M,285.00M,32.00M,,-74.00M,,,,,,-18.00M,-18.00M,,674.00M,,2003-03,1.00M,-297.00M,-42.00M,-87.00M,,-426.00M,,2003-03,,-184.00M,31.00M,-1.00M,30.00M,,-94.00M,,,-248.00M,,2003-03,146.00M,146.00M,,2003-03,,,,-1.00M,,,,2003-03,
2002-12,323.00M,,,,267.00M,260.00M,260.00M,124.00M,,-89.00M,,,,,,26.00M,-315.00M,,570.00M,,2002-12,29.00M,-269.00M,-492.00M,-32.00M,-5.00M,-798.00M,,2002-12,,78.00M,93.00M,7.00M,100.00M,,-94.00M,,-8.00M,76.00M,,2002-12,298.00M,146.00M,,2002-12,-3.00M,,,7.00M,,,,2002-12,
2002-09,476.00M,,,,55.00M,245.00M,245.00M,-379.00M,,171.00M,,,,,,52.00M,52.00M,,620.00M,,2002-09,11.00M,-370.00M,77.00M,32.00M,-169.00M,-432.00M,,2002-09,,-26.00M,14.00M,-3.00M,11.00M,,-94.00M,,-212.00M,-321.00M,,2002-09,430.00M,298.00M,,2002-09,-2.00M,,,-3.00M,,,,2002-09,
2002-06,241.00M,,,,22.00M,253.00M,253.00M,86.00M,,-36.00M,,,,,,155.00M,155.00M,,721.00M,,2002-06,1.00M,-302.00M,-72.00M,-79.00M,169.00M,-288.00M,,2002-06,,0.00,29.00M,-2.00M,27.00M,,-93.00M,,-33.00M,-99.00M,,2002-06,94.00M,430.00M,,2002-06,3.00M,,,-2.00M,,,,2002-06,
2002-03,123.00M,,,,65.00M,261.00M,261.00M,28.00M,,-55.00M,,,,,,-233.00M,-233.00M,,189.00M,,2002-03,,-254.00M,-5.00M,79.00M,,-182.00M,,2002-03,,-3.00M,18.00M,-2.00M,16.00M,,-94.00M,,-31.00M,-112.00M,,2002-03,198.00M,94.00M,,2002-03,-3.00M,,,-2.00M,,,,2002-03,
2001-12,-247.00M,,,,681.00M,248.00M,248.00M,-86.00M,,-212.00M,,,,,,-78.00M,-30.00M,,354.00M,,2001-12,5.00M,-357.00M,-46.00M,83.00M,-141.00M,-467.00M,,2001-12,,-138.00M,8.00M,-4.00M,4.00M,,-94.00M,,-33.00M,-261.00M,,2001-12,569.00M,199.00M,,2001-12,1.00M,,,-4.00M,,,,2001-12,
2001-09,442.00M,,,,-90.00M,240.00M,240.00M,-163.00M,,142.00M,,,,,,332.00M,332.00M,,903.00M,,2001-09,837.00M,438.00M,38.00M,-83.00M,75.00M,458.00M,,2001-09,,-842.00M,6.00M,-2.00M,4.00M,,-92.00M,,-30.00M,-960.00M,,2001-09,163.00M,569.00M,,2001-09,12.00M,,,-2.00M,,,,2001-09,
2001-06,473.00M,,,,5.00M,237.00M,237.00M,26.00M,,-35.00M,,,,,,-218.00M,-218.00M,,488.00M,,2001-06,10.00M,-299.00M,-38.00M,,-14.00M,-351.00M,,2001-06,,-212.00M,70.00M,-3.00M,67.00M,,-94.00M,,-34.00M,-273.00M,,2001-06,299.00M,163.00M,,2001-06,,,,-3.00M,,,,2001-06,
2001-03,511.00M,,,,103.00M,245.00M,245.00M,40.00M,,-42.00M,,,,,,-36.00M,-36.00M,,821.00M,,2001-03,,-238.00M,,,-61.00M,-299.00M,,2001-03,,-207.00M,6.00M,-2.00M,4.00M,,-92.00M,,-25.00M,-320.00M,,2001-03,97.00M,299.00M,,2001-03,,,,-2.00M,,,,2001-03,
2000-12,333.00M,,,,-320.00M,221.00M,221.00M,42.00M,,283.00M,,,,,,36.00M,144.00M,,703.00M,,2000-12,250.00M,-94.00M,-13.00M,,14.00M,-93.00M,,2000-12,,-673.00M,13.00M,-12.00M,1.00M,,-93.00M,,-16.00M,-781.00M,,2000-12,268.00M,97.00M,,2000-12,,,,-12.00M,,,,2000-12,
2000-09,401.00M,,,,-56.00M,268.00M,268.00M,127.00M,,-36.00M,,,,,,72.00M,72.00M,,776.00M,,2000-09,396.00M,121.00M,-1.00M,,21.00M,141.00M,,2000-09,,-631.00M,9.00M,,9.00M,,-92.00M,,-32.00M,-746.00M,,2000-09,97.00M,268.00M,,2000-09,,,,,,,,2000-09,
2000-06,564.00M,,,,-379.00M,234.00M,234.00M,177.00M,,-30.00M,,,,,,8.00M,8.00M,,574.00M,,2000-06,819.00M,608.00M,-3.326B,,60.00M,-2.658B,,2000-06,,2.173B,3.00M,34.00M,37.00M,,-92.00M,,-65.00M,2.053B,,2000-06,128.00M,97.00M,,2000-06,,,,34.00M,,,,2000-06,
2000-03,271.00M,,,,-12.00M,185.00M,185.00M,67.00M,,-47.00M,,,,,,-116.00M,-116.00M,,348.00M,,2000-03,23.00M,-99.00M,-375.00M,,-13.00M,-487.00M,,2000-03,,164.00M,16.00M,-34.00M,-18.00M,,-92.00M,,-1.00M,53.00M,,2000-03,214.00M,128.00M,,2000-03,,,,-34.00M,,,,2000-03,
1999-12,487.00M,,,,-975.00M,219.00M,219.00M,130.00M,,419.00M,,,,,394.00M,,255.00M,,535.00M,,1999-12,13.00M,-78.00M,,,793.00M,588.00M,,1999-12,,-952.00M,4.00M,,4.00M,,-91.00M,,-21.00M,-1.06B,,1999-12,151.00M,214.00M,,1999-12,,,,,,,,1999-12,
1999-09,126.00M,,,,-11.00M,198.00M,198.00M,-21.00M,,-48.00M,,,,,86.00M,,86.00M,,330.00M,,1999-09,22.00M,-112.00M,,,-4.00M,-116.00M,,1999-09,,-244.00M,-503.00M,,-503.00M,,-91.00M,,508.00M,-330.00M,,1999-09,0.00,151.00M,,1999-09,,,,,,,,1999-09,
1999-06,12.00M,,,,83.00M,203.00M,203.00M,51.00M,,-15.00M,,,,,-217.00M,,-217.00M,,117.00M,,1999-06,15.00M,-229.00M,,,36.00M,-193.00M,,1999-06,,-143.00M,6.00M,,6.00M,,-90.00M,,-1.00M,-228.00M,,1999-06,0.00,0.00,,1999-06,,,,,,,,1999-06,
1999-03,-57.00M,,,,-20.00M,197.00M,197.00M,23.00M,,-81.00M,,,,,,,,,62.00M,,1999-03,2.00M,-130.00M,,,1.442B,1.312B,,1999-03,,-1.323B,514.00M,,514.00M,,-91.00M,,1.00M,-899.00M,,1999-03,96.00M,0.00,,1999-03,,,,,,,,1999-03,
1998-12,-38.00M,,,,-237.00M,204.00M,204.00M,-44.00M,,237.00M,,,,,354.00M,,124.00M,,246.00M,,1998-12,52.00M,3.346B,,,-35.00M,-217.00M,,1998-12,,-473.00M,7.00M,0.00,7.00M,,-91.00M,,506.00M,-51.00M,,1998-12,0.00,96.00M,,1998-12,0.00,,,0.00,,,,1998-12,
1998-09,38.00M,,,,-131.00M,202.00M,202.00M,82.00M,,-32.00M,,,,,-65.00M,,-65.00M,,94.00M,,1998-09,97.00M,-169.00M,,,30.00M,-139.00M,,1998-09,,305.00M,10.00M,-193.00M,-183.00M,,-94.00M,,1.00M,29.00M,,1998-09,0.00,0.00,,1998-09,0.00,,,-193.00M,,,,1998-09,
1998-06,186.00M,,,,-212.00M,221.00M,221.00M,234.00M,,-113.00M,,,,,-384.00M,,-384.00M,,-68.00M,,1998-06,1.071B,765.00M,,,13.00M,778.00M,,1998-06,,-324.00M,7.00M,-420.00M,-413.00M,,-97.00M,,3.00M,-831.00M,,1998-06,0.00,0.00,,1998-06,0.00,,,-420.00M,,,,1998-06,
