,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,384.20M,384.20M,928.10M,,,928.10M,103.80M,63.20M,396.30M,563.30M,,,177.20M,2.053B,,,,,,,1.490B,-917.00M,572.50M,1.548B,686.10M,2.234B,,207.30M,3.014B,5.066B,,529.60M,,529.60M,472.60M,1.002B,,,464.70M,,464.70M,,,18.80M,1.486B,1.198B,1.198B,,,,,591.70M,1.790B,3.275B,,233.90M,2.148B,,591.00M,,,,0.50M,1.791B,,,Restated
2008-03,324.80M,324.80M,891.00M,,,891.00M,111.60M,64.10M,415.90M,591.60M,,,91.80M,1.899B,,,,,,,1.485B,-905.70M,579.50M,1.561B,713.50M,2.275B,,201.20M,3.056B,4.955B,,532.00M,,532.00M,479.60M,1.012B,,,417.90M,,417.90M,,,,1.430B,1.204B,1.204B,,,,,604.60M,1.809B,3.238B,,233.90M,2.089B,,598.40M,,,,-8.10M,1.717B,,,Restated
2007-12,240.40M,240.40M,802.10M,,43.90M,805.70M,106.90M,57.40M,392.10M,556.40M,,22.30M,176.30M,1.801B,,59.10M,273.20M,1.093B,,23.60M,1.449B,-884.10M,564.90M,1.512B,694.20M,2.207B,,190.30M,2.962B,4.763B,,498.60M,,498.60M,450.90M,949.50M,,,292.80M,,292.80M,,,20.40M,1.263B,1.212B,1.212B,80.50M,80.50M,,,479.20M,1.772B,3.034B,,233.90M,2.046B,,504.80M,,,,47.70M,1.728B,,,Restated
2007-09,280.60M,280.60M,906.20M,,,906.20M,112.60M,71.10M,440.80M,624.50M,,,99.80M,1.911B,,,,,,,1.449B,-882.30M,566.30M,1.531B,725.50M,2.257B,,131.10M,2.954B,4.865B,,491.90M,,491.90M,501.90M,993.80M,,,396.00M,,396.00M,,,,1.390B,1.212B,1.212B,,,,,568.30M,1.780B,3.170B,,233.90M,1.974B,,413.50M,,,,-99.40M,1.695B,,,
2007-06,225.70M,225.70M,854.40M,,,854.40M,115.40M,67.70M,421.30M,604.40M,,,93.10M,1.778B,,,,,,,1.428B,-865.00M,562.60M,1.465B,720.80M,2.186B,,131.00M,2.879B,4.657B,,471.20M,,471.20M,476.10M,947.30M,,,382.10M,,382.10M,,,,1.329B,1.211B,1.211B,,,,,535.60M,1.747B,3.076B,,233.90M,1.905B,,415.80M,,,,-142.30M,1.581B,,,
2007-03,210.80M,210.80M,803.40M,,,803.40M,116.90M,68.30M,430.50M,615.70M,,,111.70M,1.742B,,,,,,,1.43B,-861.80M,568.20M,1.377B,811.80M,2.188B,,142.10M,2.899B,4.640B,,462.40M,,462.40M,501.40M,963.80M,,,332.10M,,332.10M,,,,1.296B,1.209B,1.209B,,,,,569.10M,1.778B,3.074B,,233.90M,1.837B,,-336.00M,,,,-840.70M,1.566B,,,
2006-12,176.60M,176.60M,749.60M,,,749.60M,51.00M,91.40M,456.50M,598.90M,,24.20M,89.20M,1.638B,,59.80M,293.80M,946.40M,129.20M,,1.429B,-869.80M,559.40M,1.100B,521.30M,1.622B,,116.00M,2.297B,3.935B,,445.20M,,445.20M,485.90M,931.10M,,,320.00M,,320.00M,,,,1.251B,679.20M,679.20M,67.20M,67.20M,,,385.90M,1.132B,2.383B,,233.90M,1.884B,,382.80M,,-8.30M,-174.40M,-182.70M,1.552B,,,
2006-09,241.30M,241.30M,763.80M,,,763.80M,109.30M,61.90M,448.00M,619.20M,,,101.20M,1.726B,,,,,,,1.553B,-1.055B,498.00M,1.084B,528.60M,1.612B,,202.20M,2.312B,4.038B,,434.80M,,434.80M,507.80M,942.60M,,,322.40M,,322.40M,,,,1.265B,823.30M,823.30M,,,,,448.50M,1.272B,2.537B,,237.70M,1.816B,,403.70M,,,,-149.10M,1.501B,,,
2006-06,207.10M,207.10M,751.20M,,,751.20M,100.40M,57.30M,413.90M,571.60M,,,83.40M,1.613B,,,,,,,1.567B,-1.074B,493.50M,993.90M,523.20M,1.517B,,221.40M,2.232B,3.845B,,420.10M,,420.10M,433.90M,854.00M,,,345.10M,,345.10M,,,,1.199B,821.00M,821.00M,,,,,418.20M,1.239B,2.438B,,237.70M,1.745B,,416.40M,,,,-159.40M,1.407B,,,
2006-03,204.90M,204.90M,782.40M,,,782.40M,91.80M,56.30M,400.40M,548.50M,,,93.90M,1.630B,,,,,,,1.536B,-1.045B,491.40M,969.00M,523.30M,1.492B,,184.50M,2.168B,3.798B,,411.00M,,411.00M,464.50M,875.50M,,,400.70M,,400.70M,,,,1.276B,821.30M,821.30M,,,,,373.40M,1.195B,2.471B,,237.70M,1.679B,,401.70M,,,,-188.00M,1.327B,,,
2005-12,657.80M,657.80M,609.60M,,,609.60M,73.00M,38.80M,348.90M,460.70M,,,97.50M,1.826B,,46.00M,265.70M,876.90M,108.40M,,1.297B,-829.90M,467.10M,740.90M,319.50M,1.060B,,192.00M,1.720B,3.545B,,327.70M,,327.70M,374.30M,702.00M,,,170.20M,,170.20M,,,3.10M,875.30M,895.30M,895.30M,,,,,329.60M,1.225B,2.100B,,237.70M,1.657B,,250.50M,,,,-199.50M,1.445B,,,
2005-09,338.10M,338.10M,652.90M,,,652.90M,70.30M,34.70M,342.00M,447.00M,,,75.10M,1.513B,,,,,,,1.238B,-835.80M,402.00M,,986.90M,986.90M,,151.40M,1.540B,3.053B,,319.00M,,319.00M,362.80M,681.80M,,,211.60M,,211.60M,,,,893.40M,467.10M,467.10M,,,,,314.70M,781.80M,1.675B,,237.70M,1.645B,,258.20M,,,,-246.20M,1.378B,,,
2005-06,325.60M,325.60M,622.30M,,,622.30M,66.70M,32.40M,343.90M,443.00M,,,76.40M,1.467B,,,,,,,1.224B,-829.70M,394.60M,,831.90M,831.90M,,309.80M,1.536B,3.004B,,308.40M,,308.40M,378.20M,686.60M,,,246.20M,,246.20M,,,,932.80M,468.10M,468.10M,,,,,310.20M,778.30M,1.711B,,237.70M,1.587B,,277.30M,,,,-255.00M,1.292B,,,
2005-03,310.50M,310.50M,619.60M,,,619.60M,72.20M,31.20M,328.90M,432.30M,,,72.20M,1.435B,,,,,,,1.224B,-827.40M,396.90M,,967.00M,967.00M,,154.30M,1.518B,2.953B,,289.10M,,289.10M,384.90M,674.00M,,,212.70M,,212.70M,,,,886.70M,474.50M,474.50M,,,,,324.10M,798.60M,1.685B,,237.70M,1.543B,,281.20M,,,,-231.70M,1.268B,,,
2004-12,250.00M,250.00M,575.40M,,,575.40M,63.40M,28.50M,315.40M,407.30M,,7.90M,134.30M,1.375B,,42.80M,223.20M,858.50M,87.90M,,1.212B,-816.20M,396.20M,,928.00M,928.00M,,151.50M,1.476B,2.851B,,297.90M,,297.90M,417.00M,714.90M,,,102.50M,,102.50M,,,3.70M,821.10M,481.80M,481.80M,72.30M,72.30M,,,238.70M,792.80M,1.614B,,237.70M,1.461B,,290.60M,,,,-171.00M,1.237B,,,
2004-09,256.30M,256.30M,618.60M,,,618.60M,73.10M,33.70M,309.10M,415.90M,,,87.90M,1.379B,,,,,,,1.263B,-849.90M,413.30M,,887.20M,887.20M,,169.00M,1.470B,2.848B,,290.00M,,290.00M,390.60M,680.60M,,,252.30M,,252.30M,,,,932.90M,489.80M,489.80M,,,,,330.30M,820.10M,1.753B,,237.70M,1.418B,,301.80M,,,,-258.40M,1.095B,,,
2004-06,235.70M,235.70M,571.70M,,,571.70M,59.70M,38.90M,296.10M,394.70M,,,89.40M,1.292B,,,,,,,1.257B,-843.70M,413.70M,,891.60M,891.60M,,197.10M,1.502B,2.794B,,285.00M,,285.00M,375.70M,660.70M,,,271.20M,,271.20M,,,,931.90M,516.60M,516.60M,,,,,304.30M,820.90M,1.753B,,237.70M,1.377B,,306.50M,,,,-266.90M,1.041B,,,
2004-03,192.50M,192.50M,572.90M,,,572.90M,57.20M,35.70M,304.80M,397.70M,,,112.10M,1.275B,,,,,,,1.276B,-855.00M,421.50M,,906.80M,906.80M,,205.30M,1.534B,2.809B,,281.30M,,281.30M,418.80M,700.10M,,,240.10M,,240.10M,,,,940.20M,547.30M,547.30M,,,,,317.20M,864.50M,1.805B,,237.60M,1.335B,,313.60M,,,,-254.80M,1.004B,,,
2003-12,204.40M,204.40M,482.40M,,,482.40M,47.60M,35.80M,293.70M,377.10M,61.30M,23.60M,51.90M,1.201B,,41.70M,222.30M,880.40M,86.80M,,1.231B,-817.90M,413.30M,,643.30M,643.30M,,166.50M,1.223B,2.424B,,240.20M,,240.20M,326.40M,566.60M,,,157.70M,,157.70M,,,29.20M,753.50M,534.50M,534.50M,,,,,277.20M,811.70M,1.565B,,237.60M,1.202B,,323.10M,,,,-258.00M,858.60M,,,
2003-09,169.60M,169.60M,552.00M,,,552.00M,51.70M,46.60M,329.40M,427.70M,,,105.90M,1.255B,,,,1.314B,,,1.314B,-866.30M,447.20M,,628.90M,628.90M,,138.80M,1.215B,2.470B,,258.70M,,258.70M,314.80M,573.50M,,,203.70M,,203.70M,,,,777.20M,622.70M,622.70M,,,,,262.20M,884.90M,1.662B,,230.90M,1.192B,,330.30M,,,,-284.60M,808.00M,,,
2003-06,127.70M,127.70M,516.10M,,,516.10M,50.30M,51.60M,346.10M,448.00M,,,108.10M,1.200B,,,,1.322B,,,1.322B,-856.80M,465.50M,,621.60M,621.60M,,183.50M,1.271B,2.470B,,248.20M,,248.20M,276.90M,525.10M,,,268.60M,,268.60M,,,,793.70M,635.00M,635.00M,,,,,264.60M,899.60M,1.693B,,230.90M,1.167B,,331.60M,,,,-289.40M,777.20M,,,
2003-03,156.00M,156.00M,521.60M,,,521.60M,49.00M,46.20M,342.90M,438.10M,,,110.50M,1.226B,,,,,,,1.325B,-844.30M,481.00M,,558.60M,558.60M,,173.40M,1.213B,2.439B,,250.00M,,250.00M,273.90M,523.90M,,,198.70M,,198.70M,,,,722.60M,546.60M,546.60M,,,,,185.10M,731.70M,1.454B,,230.90M,1.192B,,133.70M,,,,-304.70M,984.90M,,,
2002-12,121.70M,121.70M,548.00M,,,548.00M,324.00M,44.90M,45.80M,414.70M,68.20M,21.20M,16.60M,1.190B,,41.00M,219.70M,1.058B,,,1.319B,-823.90M,494.80M,,544.90M,544.90M,,188.10M,1.228B,2.418B,,260.30M,,260.30M,271.00M,531.30M,,,149.60M,,149.60M,,,,680.90M,564.30M,564.30M,,,,,189.20M,753.50M,1.434B,,230.90M,1.245B,,187.50M,,,,-304.20M,983.80M,,,
2002-09,132.60M,132.60M,578.50M,,,578.50M,45.70M,48.90M,310.00M,404.60M,,,75.20M,1.191B,,,,,,,1.249B,-760.80M,488.40M,,265.50M,265.50M,,156.10M,910.00M,2.101B,,259.80M,,259.80M,265.10M,524.90M,,,225.70M,,225.70M,,,,750.60M,204.50M,204.50M,,,,,171.30M,375.80M,1.126B,,230.90M,1.239B,,179.40M,,,,-315.70M,974.50M,,,
2002-06,139.60M,139.60M,560.00M,,,560.00M,41.40M,51.30M,309.10M,401.80M,,,170.00M,1.271B,,,,,,,1.249B,-756.20M,492.50M,,239.90M,239.90M,,161.70M,894.10M,2.166B,,261.90M,,261.90M,293.60M,555.50M,,,270.60M,,270.60M,,,,826.10M,208.10M,208.10M,,,,,189.60M,397.70M,1.224B,,230.90M,1.250B,,229.10M,,,,-309.60M,941.70M,,,
2002-03,109.90M,109.90M,566.80M,,,566.80M,42.60M,51.70M,300.30M,394.60M,,,71.80M,1.143B,,,,,,,1.233B,-742.00M,490.90M,,235.40M,235.40M,,194.50M,920.80M,2.064B,,249.90M,,249.90M,258.60M,508.50M,,,301.40M,,301.40M,,,,809.90M,194.80M,194.80M,,,,,182.40M,377.20M,1.187B,,230.90M,1.218B,,247.20M,,,,-324.80M,876.80M,,,
2001-12,115.20M,115.20M,551.30M,,,551.30M,53.00M,49.10M,308.00M,410.10M,,4.70M,60.10M,1.141B,,24.60M,224.50M,904.20M,76.40M,,1.230B,-735.40M,494.30M,,236.10M,236.10M,,183.90M,914.30M,2.056B,,247.70M,,247.70M,280.40M,528.10M,,,297.40M,,297.40M,,,,825.50M,196.80M,196.80M,,,,,201.10M,397.90M,1.223B,,230.90M,1.185B,,256.90M,,-136.30M,-190.30M,-326.60M,832.30M,,,
2001-09,152.20M,152.20M,559.90M,,,559.90M,57.90M,57.20M,317.10M,432.20M,,,96.50M,1.241B,,,,,,,1.264B,-756.90M,506.70M,,234.30M,234.30M,,157.00M,898.00M,2.139B,,237.80M,,237.80M,271.90M,509.70M,,,380.40M,,380.40M,,,,890.10M,231.50M,231.50M,,,,,187.10M,418.60M,1.309B,,230.90M,1.148B,,218.40M,,,,-329.90M,830.10M,,,
2001-06,162.20M,162.20M,538.00M,,,538.00M,66.50M,60.00M,312.70M,439.20M,,,79.80M,1.219B,,,,,,,1.24B,-739.60M,500.40M,,234.80M,234.80M,,152.20M,887.40M,2.107B,,237.00M,,237.00M,247.60M,484.60M,,,401.60M,,401.60M,,,,886.20M,234.30M,234.30M,,,,,188.70M,423.00M,1.309B,,230.90M,1.131B,,231.80M,,,,-332.50M,797.40M,,,
2001-03,111.40M,111.40M,530.00M,,,530.00M,64.90M,60.10M,292.60M,417.60M,,,78.10M,1.137B,,,,,,,1.236B,-739.20M,496.80M,,170.60M,170.60M,,148.90M,816.30M,1.953B,,232.50M,,232.50M,248.20M,480.70M,,,285.70M,,285.70M,,,,766.40M,240.40M,240.40M,,,,,187.50M,427.90M,1.194B,,230.90M,1.070B,,211.10M,,,,-330.20M,759.10M,,,
2000-12,93.60M,93.60M,531.90M,,,531.90M,62.90M,53.80M,281.40M,398.10M,,29.60M,41.10M,1.094B,,25.40M,218.30M,913.80M,74.70M,,1.232B,-728.50M,503.70M,,175.90M,175.90M,,110.90M,790.50M,1.885B,,239.80M,,239.80M,253.80M,493.60M,,,213.70M,,213.70M,,,,707.30M,248.70M,248.70M,,,,,192.30M,441.00M,1.148B,,230.90M,1.040B,,214.70M,,-123.40M,-195.90M,-319.30M,736.50M,,,
2000-09,93.30M,93.30M,576.70M,,,576.70M,58.40M,51.40M,278.80M,388.60M,,,72.90M,1.132B,,,,,,,1.226B,-721.10M,505.30M,,174.90M,174.90M,,111.80M,792.00M,1.924B,,222.40M,,222.40M,288.40M,510.80M,,,293.50M,,293.50M,,,,804.30M,243.30M,243.30M,,,,,175.10M,418.40M,1.223B,,230.90M,984.80M,,192.80M,,,,-322.10M,700.80M,,,
2000-06,83.00M,83.00M,564.10M,,,564.10M,58.80M,56.10M,285.00M,399.90M,,,71.70M,1.119B,,,,,,,1.229B,-716.90M,511.80M,,178.80M,178.80M,,101.20M,791.80M,1.910B,,220.40M,,220.40M,267.60M,488.00M,,,289.30M,,289.30M,,,,777.30M,252.90M,252.90M,,,,,175.90M,428.80M,1.206B,,230.90M,973.00M,,184.30M,,,,-315.20M,704.40M,,,
2000-03,128.90M,128.90M,584.40M,,,584.40M,61.50M,51.50M,277.80M,390.80M,,,75.50M,1.180B,,,,,,,1.227B,-705.00M,522.20M,,181.60M,181.60M,,84.30M,788.10M,1.968B,,223.20M,,223.20M,295.40M,518.60M,,,290.30M,,290.30M,,,,808.90M,277.40M,277.40M,,,,,167.10M,444.50M,1.253B,,230.90M,938.20M,,150.80M,,,,-304.00M,714.30M,,,
1999-12,88.00M,88.00M,546.10M,,,546.10M,,,,381.20M,,,75.70M,1.091B,,,,,,,1.208B,-687.40M,520.60M,,185.20M,185.20M,,93.80M,799.60M,1.891B,,225.00M,,225.00M,311.00M,536.00M,,,157.00M,,157.00M,,,,693.00M,290.00M,290.00M,,,,,172.20M,462.20M,1.155B,,230.90M,926.90M,,121.00M,,-98.80M,-202.60M,-301.40M,735.40M,,,
1999-09,131.50M,131.50M,,,,576.00M,,,,367.10M,,,74.80M,1.149B,,,,,,,1.187B,-691.00M,495.90M,,187.60M,187.60M,,129.00M,812.50M,1.962B,,203.70M,,203.70M,,203.70M,,,222.90M,,222.90M,,,309.00M,735.60M,299.20M,299.20M,,,,,213.50M,512.70M,1.248B,,230.90M,892.40M,,107.10M,,,,-302.60M,713.60M,,,
1999-06,84.80M,84.80M,,,,534.80M,,,,370.80M,,,77.60M,1.068B,,,,,,,1.184B,-693.50M,490.60M,,187.10M,187.10M,,142.30M,820.00M,1.888B,,173.60M,,173.60M,,173.60M,,,251.70M,,251.70M,,,274.90M,700.20M,298.70M,298.70M,,,,,208.20M,506.90M,1.207B,,,881.90M,,,,,,,680.90M,,,
1999-03,80.50M,80.50M,,,,552.90M,,,,367.60M,,,84.50M,1.086B,,,,,,,1.185B,-697.70M,487.20M,,191.20M,191.20M,,137.50M,815.90M,1.901B,,166.60M,,166.60M,,166.60M,,,260.50M,,260.50M,,,284.70M,711.80M,306.70M,306.70M,,,,,209.20M,515.90M,1.228B,,,877.10M,,,,,,,673.70M,,,
1998-12,110.10M,110.10M,,,,517.00M,,,,380.90M,,,78.40M,1.086B,,,,,,,1.198B,-687.10M,511.40M,,196.90M,196.90M,,138.20M,846.50M,1.933B,,172.10M,,172.10M,,172.10M,,,222.00M,,222.00M,,,308.00M,702.10M,344.80M,344.80M,,,,,216.60M,561.40M,1.264B,,230.90M,867.20M,,130.90M,,,,-297.80M,669.40M,,,
1998-09,65.20M,65.20M,,,,546.70M,,,,388.90M,,,83.90M,1.085B,,,,,,,1.19B,-680.60M,509.40M,,202.90M,202.90M,,144.70M,857.00M,1.942B,,160.70M,,160.70M,,160.70M,,,211.30M,,211.30M,,,310.30M,682.30M,343.70M,343.70M,,,,,257.90M,601.60M,1.284B,,,862.30M,,,,,,,657.80M,,,
1998-06,77.40M,77.40M,,,,502.90M,,,,372.00M,,,87.40M,1.040B,,,,,,,1.162B,-674.00M,487.60M,,104.10M,104.10M,,134.60M,726.30M,1.766B,,172.70M,,172.70M,,172.70M,,,132.80M,,132.80M,,,302.00M,607.50M,272.00M,272.00M,,,,,240.60M,512.60M,1.120B,,,-85.30M,,,,,,,645.90M,,,
1998-03,93.20M,93.20M,,,,491.10M,,,,331.20M,,,88.30M,1.004B,,,,,,,1.168B,-666.30M,501.60M,,102.10M,102.10M,,136.60M,740.30M,1.744B,,159.10M,,159.10M,,159.10M,,,124.00M,,124.00M,,,319.50M,602.60M,275.30M,275.30M,,,,,239.10M,514.40M,1.117B,,,823.30M,,,,,,,627.10M,,,
1997-12,152.20M,152.20M,,,,472.50M,,,,301.20M,,,79.40M,1.005B,,,,,,,1.166B,-652.90M,513.20M,,104.10M,104.10M,,136.10M,753.40M,1.759B,,155.50M,,155.50M,,155.50M,,,130.80M,,130.80M,,,336.40M,622.70M,283.70M,283.70M,,,,,244.50M,528.20M,1.151B,,,806.60M,,,,,,,607.80M,,,
1997-09,146.70M,146.70M,,,,483.20M,,,,307.70M,,,80.60M,1.018B,,,,,,,1.160B,-656.70M,503.20M,,72.70M,72.70M,,142.50M,718.40M,1.737B,,124.70M,,124.70M,,124.70M,,,98.60M,,98.60M,,,352.40M,575.70M,288.90M,288.90M,,,,,231.90M,520.80M,1.096B,,,799.00M,,,,,,,640.10M,,,
1997-06,107.60M,107.60M,,,,457.10M,,,,323.40M,,,52.80M,940.90M,,,,,,,1.160B,-652.00M,508.30M,,73.60M,73.60M,,144.00M,725.90M,1.667B,,114.60M,,114.60M,,114.60M,,,76.40M,,76.40M,,,299.20M,490.20M,295.80M,295.80M,,,,,164.10M,459.90M,950.10M,,,858.30M,,,,,,,716.70M,,,
1997-03,76.40M,76.40M,,,,453.30M,,,,329.20M,,,40.30M,899.20M,,,,,,,1.206B,-644.70M,561.60M,,95.90M,95.90M,,76.80M,734.30M,1.634B,,111.20M,,111.20M,,111.20M,,,53.70M,,53.70M,,,222.10M,387.00M,298.90M,298.90M,,,,,155.70M,454.60M,841.60M,,,939.20M,,,,,,,791.90M,,,
1996-12,84.00M,84.00M,,,,446.30M,,,,338.10M,,,42.50M,910.90M,,,,,,,1.224B,-654.00M,570.40M,,98.90M,98.90M,,79.40M,748.70M,1.660B,,130.80M,,130.80M,,130.80M,,,20.00M,,20.00M,,,230.80M,381.60M,342.60M,342.60M,,,,,155.30M,497.90M,879.50M,,,919.00M,,,,,,,780.10M,,,
1996-09,85.00M,85.00M,,,,473.80M,,,,342.40M,,,39.80M,941.00M,,,,,,,1.158B,-632.20M,526.10M,,112.10M,112.10M,,110.40M,748.60M,1.690B,,128.60M,,128.60M,,128.60M,,,29.90M,,29.90M,,,238.80M,397.30M,350.60M,350.60M,12.60M,12.60M,,,141.40M,504.60M,901.90M,,,940.00M,,,,,,,787.70M,,,
1996-06,79.50M,79.50M,,,,454.20M,,,,344.40M,,,42.30M,920.40M,,,,,,,1.147B,-623.20M,523.90M,,121.00M,121.00M,,103.30M,748.20M,1.669B,,119.60M,,119.60M,,119.60M,,,47.20M,,47.20M,,,204.60M,371.40M,373.30M,373.30M,15.00M,15.00M,,,143.20M,531.50M,902.90M,,,919.20M,,,,,,,765.70M,,,
1996-03,39.30M,39.30M,,,,454.90M,,,,335.20M,,,45.80M,875.20M,,,,,,,1.147B,-620.30M,526.70M,,129.40M,129.40M,,97.10M,753.20M,1.628B,,84.20M,,84.20M,,84.20M,,,66.20M,,66.20M,,,198.00M,348.40M,384.00M,384.00M,15.40M,15.40M,,,137.30M,536.70M,885.10M,,,903.30M,,,,,,,743.30M,,,
1995-12,75.40M,75.40M,,,,438.70M,,,,349.10M,,,51.90M,915.10M,,,,,,,1.141B,-608.60M,532.10M,,131.80M,131.80M,,91.00M,754.90M,1.67B,,112.70M,,112.70M,,112.70M,,,91.30M,,91.30M,,,183.70M,387.70M,391.10M,391.10M,16.40M,16.40M,,,140.20M,547.70M,935.40M,,,937.60M,,,,,,,734.60M,,,
1995-09,48.50M,48.50M,,,,453.40M,,,,391.10M,,,35.60M,928.60M,,,,,,,1.158B,-614.70M,543.00M,,145.80M,145.80M,,83.80M,772.60M,1.701B,,98.90M,,98.90M,,98.90M,,,112.60M,,112.60M,,,202.90M,414.40M,396.30M,396.30M,4.70M,4.70M,,,136.10M,537.10M,951.50M,,,952.20M,,,,,,,749.70M,,,
1995-06,44.80M,44.80M,,,,436.60M,,,,415.60M,,,35.40M,932.40M,,,,,,,1.160B,-603.30M,557.00M,,160.80M,160.80M,,86.90M,804.70M,1.737B,,98.50M,,98.50M,,98.50M,,,137.90M,,137.90M,,,184.80M,421.20M,396.30M,396.30M,13.30M,13.30M,,,139.40M,549.00M,970.20M,,,969.00M,,,,,,,766.90M,,,
1995-03,40.50M,40.50M,,,,428.70M,,,,406.60M,,,38.20M,914.00M,,,,,,,1.148B,-588.50M,559.90M,,163.50M,163.50M,,91.00M,814.40M,1.728B,,106.20M,,106.20M,,106.20M,,,124.40M,,124.40M,,,194.10M,424.70M,406.20M,406.20M,14.40M,14.40M,,,133.20M,553.80M,978.50M,,,951.80M,,,,,,,749.90M,,,
1994-12,69.30M,69.30M,,,,410.30M,,,,369.20M,,,39.70M,888.50M,,,,,,,1.129B,-568.80M,559.80M,,164.60M,164.60M,,88.20M,812.60M,1.701B,,125.30M,,125.30M,,125.30M,,,93.70M,,93.70M,,,202.50M,421.50M,387.10M,387.10M,14.40M,14.40M,,,133.90M,535.40M,956.90M,,,937.80M,,,,,,,744.20M,,,
1994-09,38.80M,38.80M,,,,439.00M,,,,370.70M,,,33.90M,882.40M,,,,,,,1.133B,-571.10M,561.80M,,168.00M,168.00M,,86.20M,816.00M,1.698B,,102.00M,,102.00M,,102.00M,,,103.40M,,103.40M,,,217.70M,423.10M,386.40M,386.40M,20.20M,20.20M,,,126.40M,533.00M,956.10M,,,918.80M,,,,,,,742.30M,,,
1994-06,33.80M,33.80M,,,,416.40M,,,,352.60M,,,32.40M,835.20M,,,,,,,1.115B,-557.60M,557.80M,,169.70M,169.70M,,80.90M,808.40M,1.644B,,101.20M,,101.20M,,101.20M,,,86.30M,,86.30M,,,194.20M,381.70M,385.60M,385.60M,34.90M,34.90M,,,123.10M,543.60M,925.30M,,,901.60M,,,,,,,718.30M,,,
1994-03,36.50M,36.50M,,,,389.60M,,,,327.50M,,,35.50M,789.10M,,,,,,,1.128B,-567.40M,561.00M,,169.00M,169.00M,,77.60M,807.60M,1.597B,,94.20M,,94.20M,,94.20M,,,89.10M,,89.10M,,,178.00M,361.30M,380.10M,380.10M,35.30M,35.30M,,,125.70M,541.10M,902.40M,,,882.30M,,,,,,,694.30M,,,
1993-12,43.70M,43.70M,,,,371.20M,,,,308.10M,,,35.60M,758.60M,,,,,,,1.119B,-552.50M,566.50M,,171.50M,171.50M,,80.30M,818.30M,1.577B,,103.30M,,103.30M,,103.30M,,,52.10M,,52.10M,,,201.70M,357.10M,377.20M,377.20M,36.00M,36.00M,,,125.70M,538.90M,896.00M,,,871.10M,,,,,,,680.90M,,,
1993-09,39.00M,39.00M,,,,388.50M,,,,317.90M,,,29.50M,774.90M,,,,,,,1.110B,-549.00M,561.40M,,175.60M,175.60M,,73.80M,810.80M,1.586B,,278.20M,,278.20M,,278.20M,,,97.30M,,97.30M,,,1.00M,376.50M,385.70M,385.70M,,,,,141.60M,527.30M,903.80M,,,858.80M,,,,,,,681.90M,,,
1993-06,18.50M,18.50M,,,,388.70M,,,,329.40M,,,32.70M,769.30M,,,,,,,1.104B,-549.00M,555.40M,,170.30M,170.30M,,76.10M,801.80M,1.571B,,93.60M,,93.60M,,93.60M,,,92.30M,,92.30M,,,186.90M,372.80M,364.80M,364.80M,52.60M,52.60M,,,89.80M,507.20M,880.00M,,,865.70M,,,,,,,691.10M,,,
1993-03,77.90M,77.90M,,,,388.80M,,,,321.70M,,,35.70M,824.10M,,,,,,,1.101B,-539.30M,561.50M,,173.50M,173.50M,,75.80M,810.80M,1.635B,,99.70M,,99.70M,,99.70M,,,118.40M,,118.40M,,,221.50M,439.60M,369.00M,369.00M,54.00M,54.00M,,,90.80M,513.80M,953.40M,,,852.60M,,,,,,,681.50M,,,
1992-12,81.10M,81.10M,,,,354.90M,,,,302.00M,,,40.70M,778.70M,,,,,,,1.085B,-518.20M,566.60M,,175.30M,175.30M,,87.00M,828.90M,1.608B,,298.20M,,298.20M,,298.20M,,,28.60M,,28.60M,,,3.10M,329.90M,438.00M,438.00M,,,,,143.40M,581.40M,911.30M,,,843.70M,,,,,,,696.30M,,,
