,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,19.78M,,,4.414M,-261.01M,-261.01M,-261.01M,16.91M,,,299.55M,0.637M,,38.39M,-60.02M,42.80M,12.91M,34.72M,114.37M,-188.74M,26.23M,-81.26M,,,96.65M,-65.86M,-105.00M,55.00M,-50.00M,8.045M,-6.652M,1.393M,,-2.441M,,,-51.05M,37.26M,-2.542M,34.72M,8.045M,,-105.00M,-6.652M,36.34M,0.367M
2004-09,47.88M,,,4.985M,37.46M,37.46M,37.46M,20.58M,,,0.019M,-33.18M,,19.05M,5.903M,8.018M,-6.971M,-7.177M,103.74M,-121.27M,40.48M,-40.40M,,,51.98M,-28.81M,-21.60M,-55.00M,-76.60M,,3.929M,3.929M,,-2.433M,,,-75.10M,37.43M,-0.17M,37.26M,,,-21.60M,3.929M,7.265M,3.276M
2004-06,45.62M,,,7.12M,36.73M,36.73M,36.73M,13.43M,,,0.048M,-7.523M,,-4.476M,23.76M,12.66M,-11.16M,13.25M,116.21M,-210.67M,41.76M,-84.46M,,,83.85M,-85.07M,-18.26M,,-18.26M,-0.849M,-4.305M,-5.154M,,-2.414M,,,-25.83M,32.11M,5.315M,37.43M,-0.849M,0.00,-18.26M,-4.305M,9.719M,0.103M
2004-03,32.97M,,,3.378M,37.04M,37.04M,37.04M,19.23M,,,,-12.47M,,-20.96M,11.13M,-5.271M,5.227M,-22.34M,70.29M,-206.19M,66.83M,-69.68M,,,69.20M,-70.16M,-26.98M,,-26.98M,0.849M,,0.849M,,0.00,,,-26.14M,58.11M,-26.00M,32.11M,0.849M,0.00,-26.98M,,2.25M,3.813M
2003-12,26.49M,,,,,-263.23M,-263.23M,18.32M,,,292.09M,10.06M,,48.72M,,,-70.88M,-1.173M,81.50M,-206.19M,,,,,-0.957M,-81.93M,-32.98M,,-32.98M,,,0.34M,,,,,-32.64M,93.17M,-33.06M,58.11M,,,-32.98M,,,
2003-09,32.66M,,,,,38.20M,38.20M,15.71M,,,4.249M,-8.413M,,15.74M,,,14.16M,21.49M,112.30M,-30.69M,,,,,0.238M,-30.46M,-123.69M,,-123.69M,,,6.681M,,0.00,,,-117.01M,128.33M,-35.16M,93.17M,,,-123.69M,,,
2003-06,25.13M,,,,,37.27M,37.27M,12.67M,,,3.101M,-0.652M,-21.92M,-14.48M,,,55.74M,18.69M,96.86M,-80.04M,,,,,32.12M,-47.92M,-7.393M,,-7.393M,,,2.943M,,0.00,,-0.435M,-4.885M,84.28M,44.05M,128.33M,,,-7.393M,,,
2003-03,11.18M,,,,,37.54M,37.54M,-1.894M,,,1.122M,-19.87M,21.92M,-9.031M,,,0.983M,-5.998M,41.94M,,,,,,-31.33M,-31.33M,-7.397M,,-7.397M,,,,,,,0.435M,-6.962M,80.63M,3.651M,84.28M,,,-7.397M,,,
2002-12,14.73M,,,1.322M,-254.20M,-254.20M,-254.20M,21.13M,,,291.82M,16.78M,,-18.28M,-46.68M,8.255M,16.93M,-23.00M,51.80M,76.90M,10.67M,-35.88M,,,-127.43M,-39.87M,-18.29M,,-18.29M,1.744M,-2.345M,-0.601M,,,,1.567M,-17.32M,85.76M,-5.391M,78.63M,1.744M,,-18.29M,-2.345M,-4.083M,3.221M
2002-09,16.76M,,,0.753M,36.45M,36.45M,36.45M,4.872M,,,-0.063M,-7.114M,,5.727M,3.285M,-3.705M,-6.976M,-8.783M,49.98M,-103.81M,8.847M,-47.48M,,,56.60M,-38.36M,-6.95M,,-6.95M,-0.784M,0.774M,-0.01M,,,,0.774M,-6.186M,80.32M,5.437M,85.76M,-0.784M,,-6.95M,0.774M,0.712M,7.922M
2002-06,15.48M,,,1.659M,35.92M,35.92M,35.92M,-4.554M,,,0.032M,-20.59M,,22.41M,15.92M,16.15M,-13.56M,20.33M,68.87M,-122.75M,11.72M,-35.05M,,,82.09M,-28.93M,-40.08M,,-40.08M,70.45M,-0.042M,70.40M,,,,-2.341M,27.98M,12.40M,67.92M,80.32M,70.45M,-23.00M,-17.08M,-0.042M,6.181M,4.515M
2002-03,4.854M,,,5.239M,35.98M,35.98M,35.98M,-9.169M,,,0.031M,7.014M,,-55.22M,20.82M,-9.451M,3.612M,-33.22M,3.714M,-89.69M,48.77M,-40.92M,,,-13.61M,-54.53M,16.28M,,16.28M,,-2.299M,-2.299M,,,,,13.98M,49.24M,-36.84M,12.40M,,23.00M,-6.723M,-2.299M,14.32M,9.405M
2001-12,18.18M,,,4.306M,-249.32M,-249.32M,-249.32M,3.415M,,,285.77M,13.96M,,20.37M,-35.08M,-12.68M,1.422M,-12.00M,50.34M,-60.32M,32.57M,-52.29M,,,-22.06M,-49.82M,-88.95M,,-88.95M,0.101M,,0.101M,,,,74.40M,-14.44M,63.16M,-13.92M,49.24M,0.101M,,-88.95M,,-1.857M,6.792M
2001-09,4.55M,,,2.967M,35.72M,35.72M,35.72M,-3.545M,,,-0.192M,-18.20M,,9.862M,20.05M,-1.785M,3.422M,13.35M,52.85M,-20.98M,20.98M,-4.904M,,0.00,-6.338M,-6.338M,-7.194M,,-7.194M,1.358M,0.00,1.358M,,0.00,,0.00,-5.836M,22.49M,40.67M,63.16M,1.358M,,-7.194M,0.00,2.105M,8.201M
2001-06,8.568M,,,0.435M,35.34M,35.34M,35.34M,0.361M,,,0.192M,-12.29M,,0.258M,8.131M,7.966M,-7.946M,-3.882M,41.01M,-43.76M,18.58M,4.271M,,,44.70M,19.53M,-5.55M,,-5.55M,0.275M,0.00,0.275M,,0.00,,-52.00M,-57.28M,19.22M,3.266M,22.49M,0.275M,,-5.55M,0.00,0.345M,3.884M
2001-03,1.645M,,,-5.097M,35.51M,35.51M,35.51M,0.02M,,,,9.081M,,-25.78M,10.25M,-1.333M,3.102M,-4.682M,27.40M,-13.41M,38.58M,25.17M,,,-12.79M,12.38M,-4.513M,,-4.513M,0.988M,0.00,0.988M,,0.00,,-22.40M,-25.92M,5.37M,13.85M,19.22M,0.988M,,-4.513M,0.00,0.186M,8.371M
2000-12,10.88M,,,-0.792M,-233.30M,-233.30M,-233.30M,3.502M,,,268.70M,-0.462M,11.89M,8.237M,-46.16M,4.896M,1.027M,-20.57M,28.42M,129.05M,10.70M,20.21M,,8.08M,-120.13M,27.69M,-43.17M,-17.31M,-60.48M,0.586M,0.00,0.586M,,0.00,,,-59.89M,9.147M,-3.777M,5.37M,0.586M,2.891M,-46.06M,0.00,3.015M,5.126M
2000-09,9.123M,,,-3.585M,34.24M,34.24M,34.24M,-0.058M,,,0.136M,28.21M,8.763M,-24.97M,8.763M,1.027M,-6.899M,14.89M,54.75M,-103.85M,73.99M,-14.93M,,-8.982M,14.93M,-23.91M,19.20M,-46.99M,-27.79M,0.165M,0.00,0.165M,,0.00,,,-27.62M,5.93M,3.217M,9.147M,0.165M,-27.79M,46.99M,0.00,0.213M,8.268M
2000-06,11.05M,,,0.009M,96.68M,96.68M,96.68M,1.766M,,,-63.35M,-15.01M,-20.66M,6.395M,19.96M,7.225M,5.872M,3.79M,49.95M,-161.14M,18.56M,-37.98M,,0.902M,102.54M,-39.14M,-68.80M,64.30M,-4.501M,0.178M,-4.45M,-4.272M,,0.00,,,-8.773M,3.888M,2.042M,5.93M,0.178M,-4.501M,-64.30M,-4.45M,0.376M,5.294M
2000-03,5.013M,,,-0.001M,-32.01M,-32.01M,-32.01M,0.633M,,,63.35M,0.033M,,-11.08M,-40.62M,6.635M,,-45.03M,-8.052M,-89.73M,23.11M,-66.63M,,,2.061M,-64.57M,68.80M,,68.80M,0.008M,-3.126M,-3.118M,,-1.782M,,,63.90M,12.61M,-8.718M,3.888M,0.008M,68.80M,,-3.126M,0.05M,7.45M
1999-12,5.609M,,,-0.204M,-33.87M,-33.87M,-33.87M,4.346M,,,69.28M,-13.31M,,-3.258M,-19.62M,-7.701M,,-43.89M,1.273M,-91.20M,195.59M,104.40M,,,15.17M,119.57M,-109.35M,,-109.35M,0.012M,,0.012M,,-1.826M,,0.10M,-111.06M,2.80M,9.779M,12.61M,0.012M,-8.00M,-101.35M,,0.095M,28.94M
1999-09,4.93M,,,-2.951M,-38.67M,-38.67M,-38.67M,2.044M,,,76.80M,-27.04M,,61.16M,-14.79M,-3.115M,,16.22M,58.38M,-64.76M,14.18M,-50.58M,,,-14.60M,-65.19M,8.05M,,8.05M,0.178M,,0.178M,,-1.737M,,-0.10M,6.391M,3.248M,-0.421M,2.80M,0.178M,8.00M,0.05M,,-0.30M,-15.03M
1999-06,10.77M,,,-0.049M,-38.23M,-38.23M,-38.23M,4.956M,,,76.90M,-7.863M,,4.942M,4.288M,-7.285M,,-5.918M,48.42M,-38.04M,4.124M,-33.92M,,,-2.795M,-36.71M,-10.65M,,-10.65M,0.022M,,0.022M,,-1.763M,,0.10M,-12.29M,3.90M,-0.579M,3.248M,0.022M,-10.60M,-0.05M,,0.30M,15.03M
1999-03,10.60M,,,0.10M,-38.20M,-38.20M,-38.20M,4.80M,,,76.40M,-6.00M,,-30.80M,3.50M,7.20M,,-26.10M,27.60M,-30.80M,0.60M,-30.20M,,,-6.90M,-37.10M,5.60M,,5.60M,0.40M,,0.40M,,-1.80M,,-0.10M,4.10M,9.20M,-5.40M,3.90M,0.40M,10.60M,-5.00M,,,
1998-12,10.88M,,,0.007M,-39.22M,-39.22M,-39.22M,16.94M,,,74.25M,8.469M,,11.43M,-9.682M,-22.54M,,-12.32M,50.54M,-52.15M,5.926M,-46.22M,,,0.838M,-45.38M,0.648M,,0.648M,0.076M,0.00,0.076M,,-1.781M,,,-1.057M,5.133M,4.094M,9.227M,0.076M,4.40M,-3.752M,0.00,-1.182M,6.075M
1998-09,10.85M,,,0.218M,-35.66M,-35.66M,-35.66M,2.769M,,,71.31M,-12.04M,,0.803M,-3.11M,9.478M,,-4.874M,44.62M,-69.48M,4.243M,-65.23M,,,0.293M,-64.94M,17.80M,,17.80M,0.375M,0.00,0.375M,,-1.78M,,,16.40M,9.06M,-3.927M,5.133M,0.375M,15.20M,2.602M,0.00,-0.409M,6.453M
1998-06,15.62M,,,0.633M,-33.05M,-33.05M,-33.05M,3.916M,,,66.10M,-4.753M,,16.60M,2.865M,-1.10M,,13.61M,66.83M,-91.20M,15.58M,-75.62M,,,0.014M,-75.60M,9.125M,,9.125M,1.788M,-0.675M,1.113M,,-1.774M,,,8.464M,9.363M,-0.303M,9.06M,1.788M,9.125M,0.00,-0.675M,0.128M,7.262M
