,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,509.42M,509.42M,247.24M,262.18M,15.64M,15.64M,34.24M,0.548M,-8.39M,,,,461.57M,503.06M,-240.88M,,,,0.548M,,9.552M,0.429M,9.123M,9.123M,8.600M,-206.64M,34.24M,-240.88M,0.065,0.0,0.0613,0.065,0.065,0.0,0.0613,0.065,140.64M,141.12M,0.0
2000-06,583.50M,583.50M,314.84M,268.66M,15.79M,15.79M,33.32M,0.00,-8.329M,,,,531.69M,572.47M,-303.81M,,,,,,13.82M,2.764M,11.05M,11.05M,11.05M,-207.13M,96.68M,-303.81M,0.0775,0.0,0.0775,0.0775,0.0775,0.0,0.0775,0.0775,141.26M,142.02M,0.0
2000-03,533.56M,533.56M,280.51M,253.05M,27.47M,27.47M,32.01M,2.675M,-7.665M,,,,25.54M,77.35M,175.70M,,,,2.675M,,6.266M,1.253M,5.013M,5.013M,2.873M,207.71M,-32.01M,175.70M,0.035,0.0,0.02,0.035,0.035,0.0,0.02,0.035,142.42M,142.49M,0.0125
1999-12,553.37M,553.40M,326.87M,226.53M,,-500.90M,33.87M,0.241M,-6.818M,,,,,1.319B,-1.093B,,,,0.241M,,7.684M,2.075M,5.609M,5.60M,5.424M,-1.059B,-33.87M,-1.093B,0.04,0.0,0.0387,0.04,0.04,0.0,0.0387,0.04,139.61M,139.61M,0.0125
1999-09,523.90M,523.90M,259.10M,264.80M,,205.10M,38.20M,0.20M,-6.70M,,,,,236.60M,28.20M,,,,0.20M,,7.90M,2.90M,5.00M,5.00M,4.873M,66.40M,-38.67M,28.20M,0.035,0.0,0.0341,0.035,0.035,0.0,0.0341,0.035,142.54M,142.77M,0.0125
1999-06,497.55M,497.55M,239.40M,258.15M,20.36M,20.36M,38.52M,,-7.064M,,,,30.69M,82.52M,175.64M,,,,,,16.98M,6.199M,10.78M,10.78M,10.78M,214.16M,-38.23M,175.64M,0.075,0.0,0.075,0.075,0.075,0.0,0.075,0.075,142.50M,143.39M,0.0125
1999-03,470.24M,470.24M,208.40M,261.84M,,193.10M,38.20M,,-6.50M,,,,,224.80M,37.04M,,,,,,16.70M,6.10M,10.60M,10.60M,10.60M,75.24M,-38.20M,37.04M,0.075,0.0,0.075,0.075,0.0725,0.0,0.0725,0.0725,141.33M,146.21M,0.0125
1998-12,493.79M,493.76M,238.53M,255.23M,22.94M,22.94M,39.22M,,-6.128M,,,,1.509B,1.565B,-1.309B,,,,,,17.66M,6.779M,10.88M,10.84M,10.84M,-1.270B,-39.22M,-1.309B,0.0761,,0.0761,0.0761,0.075,0.0,0.075,0.075,142.30M,143.70M,0.0125
1998-09,473.39M,473.39M,229.20M,244.19M,21.30M,21.30M,35.66M,,-5.891M,,,,24.51M,75.57M,168.62M,,,,,,17.22M,6.371M,10.85M,10.85M,10.85M,204.27M,-35.66M,168.62M,0.075,0.0,0.075,0.075,0.075,0.0,0.075,0.075,142.39M,146.81M,0.0125
1998-06,460.98M,460.98M,219.65M,241.33M,17.82M,17.82M,33.05M,,-6.634M,,,,23.99M,68.23M,173.11M,,,,,,24.41M,8.789M,15.62M,15.62M,15.62M,206.15M,-33.05M,173.11M,0.11,0.0,0.11,0.11,0.105,0.0,0.105,0.105,142.04M,147.88M,0.0125
