,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,2.469B,2.469B,918.87M,1.550B,,58.70M,107.19M,,,,564.72M,886.31M,663.69M,,,,58.70M,,595.48M,228.68M,366.80M,,,-4.709M,5.924M,886.30M,222.61M,663.69M,,2002-09,,1.448,1.61,,2002-09,,1.431,1.59,223.71M,227.05M,0.33,,2002-09,,
2002-06,2.097B,2.097B,729.62M,1.367B,,18.64M,82.19M,,,,582.74M,870.81M,496.15M,,,,18.64M,,396.12M,148.53M,247.58M,,,,5.932M,710.23M,214.07M,496.15M,,2002-06,,1.028,1.08,,2002-06,,1.009,1.06,224.33M,228.85M,0.33,,2002-06,,
2002-03,1.861B,1.861B,663.53M,1.197B,,64.66M,102.37M,,,,935.48M,1.243B,-45.68M,,,,64.66M,,-98.88M,-25.90M,-72.98M,,,,5.94M,167.64M,213.32M,-45.68M,,2002-03,,-0.5750,-0.36,,2002-03,,-0.5750,-0.36,221.94M,221.94M,0.33,,2002-03,,
2001-12,1.897B,1.897B,761.92M,1.136B,,14.91M,104.13M,,,,674.25M,986.72M,148.82M,,,,14.91M,,-0.762M,-3.88M,3.118M,,,,5.948M,365.09M,216.27M,148.82M,,2001-12,,-0.0505,0.10,,2001-12,,-0.0498,0.09,221.05M,224.59M,0.33,,2001-12,,
2001-09,2.576B,2.576B,1.229B,1.347B,,98.12M,103.59M,,,,503.16M,740.44M,606.50M,,,,98.12M,,502.75M,185.30M,317.45M,,,-4.709M,4.97M,740.18M,111.13M,606.50M,,2001-09,,1.131,1.41,,2001-09,,1.114,1.39,221.68M,224.83M,0.315,,2001-09,,
2001-06,2.506B,2.506B,1.295B,1.212B,,71.97M,89.66M,,,,458.10M,731.14M,480.55M,,,,71.97M,,411.42M,165.84M,245.58M,,,,6.677M,677.52M,196.97M,480.55M,,2001-06,,0.8847,1.08,,2001-06,,0.8687,1.06,221.11M,225.71M,0.315,,2001-06,,
2001-03,2.652B,2.652B,1.507B,1.145B,,55.98M,102.46M,,,,449.45M,759.45M,386.03M,,,,55.98M,,269.30M,108.43M,160.87M,,,,6.716M,602.46M,216.43M,386.03M,,2001-03,,0.5473,0.70,,2001-03,,0.5399,0.69,219.92M,223.79M,0.315,,2001-03,,
2000-12,2.641B,2.641B,1.538B,1.103B,,28.39M,104.00M,,,,599.04M,907.79M,195.08M,,,,28.39M,,88.35M,38.30M,50.04M,,,,6.735M,410.70M,215.62M,195.08M,,2000-12,,0.1424,0.22,,2000-12,,0.1240,0.20,219.53M,224.06M,0.315,,2000-12,,
2000-09,3.432B,3.432B,1.971B,1.460B,,53.59M,103.19M,,,,563.70M,866.35M,593.84M,,,,53.59M,,514.62M,207.93M,306.69M,,,-4.709M,6.755M,804.80M,210.97M,593.84M,,2000-09,,1.205,1.35,,2000-09,,1.197,1.34,222.16M,224.35M,0.30,,2000-09,,
2000-06,2.138B,2.138B,983.59M,1.154B,,94.71M,83.54M,,,,444.32M,720.66M,433.54M,,,,94.71M,,395.64M,149.86M,245.77M,,,,8.581M,626.34M,192.80M,433.54M,,2000-06,,0.7820,1.04,,2000-06,,0.7820,1.04,228.07M,228.07M,0.30,,2000-06,,
2000-03,1.811B,1.811B,885.86M,925.64M,,29.50M,79.62M,,,,362.80M,639.03M,286.60M,,,,29.50M,,191.24M,82.82M,108.41M,,,,9.55M,483.21M,196.61M,286.60M,,2000-03,,0.3452,0.42,,2000-03,,0.3429,0.4177,236.61M,236.67M,0.30,,2000-03,,
1999-12,1.745B,1.745B,876.47M,868.31M,,82.96M,80.14M,,,,525.65M,789.23M,79.08M,,,,82.96M,,30.47M,14.26M,16.20M,,,,11.97M,273.51M,194.43M,79.08M,,1999-12,,-0.1777,0.03,,1999-12,,-0.177,0.03,239.67M,240.47M,0.30,,1999-12,,
1999-09,3.064B,3.064B,1.744B,1.321B,,25.50M,93.00M,,,,442.10M,719.10M,601.90M,,,,25.50M,,507.00M,210.80M,296.20M,,,,9.90M,785.90M,183.91M,601.90M,,1999-09,,1.098,1.16,,1999-09,,1.098,1.16,246.81M,246.81M,0.30,,1999-09,,
1999-06,2.316B,2.316B,1.185B,1.132B,,80.78M,83.05M,,,,407.86M,767.62M,363.95M,,,,80.78M,,296.19M,86.43M,209.76M,,,,9.981M,640.66M,,363.95M,,1999-06,,0.5707,0.81,,1999-06,,0.5707,0.81,239.04M,239.04M,0.30,,1999-06,,
1999-03,1.640B,1.640B,796.30M,843.60M,,40.50M,83.10M,,,,351.60M,640.10M,203.50M,,,,40.50M,,118.00M,45.10M,72.90M,,,,10.70M,408.90M,,203.50M,,1999-03,,0.1494,0.25,,1999-03,,0.1494,0.25,248.80M,248.80M,0.30,,1999-03,,
1998-12,2.085B,2.085B,1.044B,1.042B,,306.70M,85.10M,,,,537.70M,824.90M,217.00M,,,,306.70M,,320.90M,73.90M,247.00M,,,,11.50M,419.10M,,217.00M,,1998-12,,-0.0030,0.96,,1998-12,,-0.0031,0.9571,245.14M,245.85M,0.30,,1998-12,,
1998-09,4.587B,4.587B,3.024B,1.563B,,18.70M,91.00M,,,,445.80M,1.041B,522.20M,,,,18.70M,,340.40M,77.80M,262.60M,,,,11.60M,1.026B,,522.20M,,1998-09,,0.9614,1.02,,1998-09,,0.9614,1.02,246.08M,246.08M,0.30,,1998-09,,
1998-06,2.509B,2.509B,1.157B,1.352B,,18.20M,90.30M,,,,475.60M,879.00M,472.70M,,,,18.20M,,282.60M,66.60M,216.00M,,,,11.70M,785.80M,,472.70M,,1998-06,,0.7735,0.83,,1998-06,,0.7735,0.83,246.14M,246.14M,0.45,,1998-06,,
