,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-09,62.90M,1.131B,20.42M,1.151B,763.24M,,1.082B,1.022B,258.24M,0.00,167.22M,3.967B,37.54B,1.505B,744.43M,39.79B,-16.60B,23.19B,377.17M,377.17M,3.211B,172.20M,5.252B,32.20B,36.17B,,2009-09,818.35M,,122.14M,1.116B,55.03M,957.82M,1.013B,162.89M,1.176B,,291.21M,15.60M,791.62M,3.374B,138.32M,9.972B,374.18M,10.35B,7.463B,7.463B,2.132B,309.22M,,4.139B,24.22B,2009-09,2.548M,7.871B,5.369B,4.742B,,-17.56M,8.268B,,2009-09,AOR,Restated
2009-06,75.26M,1.281B,9.10M,1.290B,566.54M,206.24M,1.095B,1.019B,351.89M,69.14M,334.29M,4.430B,37.17B,1.566B,744.79M,39.48B,-16.43B,23.06B,377.17M,377.17M,2.962B,,5.658B,32.06B,36.49B,,2009-06,949.76M,,80.40M,1.180B,55.03M,805.68M,860.72M,164.70M,1.025B,,311.32M,,984.05M,3.501B,129.60M,10.18B,300.02M,10.48B,7.272B,7.272B,2.140B,,217.05M,3.879B,24.12B,2009-06,2.548M,7.563B,5.375B,4.163B,,-10.61M,8.860B,,2009-06,AOR,Restated
2009-03,94.37M,1.803B,19.89M,1.823B,994.98M,-248.68M,994.98M,1.016B,362.48M,36.23M,394.00M,4.865B,36.81B,1.561B,745.15M,39.12B,-16.27B,22.85B,377.17M,377.17M,2.782B,168.12M,5.569B,31.75B,36.61B,,2009-03,874.07M,,62.43M,1.086B,80.03M,575.65M,655.68M,162.42M,818.10M,,311.48M,,1.038B,3.254B,139.71M,10.92B,294.26M,11.22B,7.118B,7.118B,2.157B,,217.03M,3.787B,24.63B,2009-03,96.55M,7.482B,5.370B,4.166B,,-58.47M,8.724B,,2009-03,AOR,Restated
2008-12,115.88M,1.920B,,1.920B,1.198B,,1.198B,992.32M,247.18M,7.307M,406.06M,5.160B,1.333B,1.713B,745.50M,38.59B,-15.93B,22.66B,377.17M,377.17M,3.006B,,1.048B,31.46B,36.62B,,2008-12,1.476B,,75.21M,1.738B,55.03M,544.46M,599.49M,162.39M,761.89M,302.30M,485.84M,0.00,733.61M,3.766B,2.825B,11.17B,343.09M,11.52B,6.566B,6.891B,2.178B,,217.03M,881.00M,24.79B,2008-12,2.482M,7.383B,4.869B,4.175B,,-112.70M,8.061B,,2008-12,,Restated
2008-09,,2.556B,,2.556B,1.166B,,1.441B,983.68M,,,905.98M,5.887B,36.34B,1.453B,,37.79B,-15.74B,22.05B,,377.17M,,,8.142B,30.57B,36.46B,,2008-09,1.919B,,,2.925B,,,394.32M,,394.32M,,,,,3.319B,,11.95B,308.83M,12.26B,7.095B,330.06M,,,,,12.59B,2008-09,313.50M,7.354B,4.865B,4.133B,,-111.34M,8.288B,,2008-09,,
2008-06,,1.086B,,1.086B,1.046B,,1.393B,946.02M,,,1.313B,4.738B,35.73B,1.026B,,36.75B,-15.46B,21.29B,,377.17M,,,8.284B,29.96B,34.69B,,2008-06,1.389B,,,2.880B,,,572.56M,,572.56M,,,,,3.452B,,10.76B,287.64M,11.04B,6.641B,334.55M,,,,,11.38B,2008-06,313.50M,7.028B,4.860B,4.057B,,-510.96M,7.634B,,2008-06,,Restated
2008-03,,943.33M,,943.33M,936.54M,,1.185B,935.66M,,,881.82M,3.946B,35.52B,982.00M,,36.50B,-15.31B,21.19B,,377.17M,,,8.250B,29.82B,33.76B,,2008-03,1.041B,,,2.270B,,,936.53M,,936.53M,,,,,3.206B,,9.928B,275.81M,10.20B,6.742B,339.04M,,,,,10.54B,2008-03,313.55M,6.900B,4.854B,3.876B,,-207.15M,7.984B,,2008-03,,
2007-12,,1.273B,,1.273B,888.00M,,1.176B,900.96M,,,608.22M,3.958B,35.03B,1.055B,,36.08B,-15.11B,20.97B,,377.17M,,,8.333B,29.68B,33.64B,,2007-12,1.031B,,,2.082B,,,1.174B,,1.174B,,,,,3.257B,,9.728B,220.44M,9.949B,6.723B,343.54M,,,,,10.29B,2007-12,313.64M,6.736B,4.851B,3.735B,,8.32M,8.174B,,2007-12,,
2007-09,,1.467B,,1.467B,1.086B,,1.431B,880.75M,,,459.75M,4.238B,34.49B,973.80M,,35.47B,-14.89B,20.58B,,377.17M,,,8.567B,29.52B,33.76B,,2007-09,978.61M,,,1.860B,,,863.54M,,863.54M,,,,,2.724B,,10.15B,176.65M,10.32B,6.676B,348.10M,,,7.05M,,10.68B,2007-09,366.96M,6.688B,4.847B,3.576B,,8.194M,8.334B,,2007-09,,
2007-06,,1.320B,,1.320B,903.04M,,1.237B,874.64M,,,605.47M,4.037B,34.88B,855.15M,,35.74B,-14.69B,21.05B,,377.17M,,,7.955B,29.38B,33.41B,,2007-06,997.25M,,,2.040B,,,449.66M,,449.66M,,,,,2.490B,,10.29B,185.98M,10.48B,6.523B,352.63M,,,8.25M,,10.84B,2007-06,366.96M,6.373B,4.841B,3.387B,-48.44M,-41.77M,8.152B,,2007-06,,
2007-03,,1.080B,,1.080B,790.10M,,1.021B,814.64M,,,380.37M,3.296B,32.85B,778.90M,,33.63B,-13.88B,19.75B,,377.17M,,,7.725B,27.85B,31.15B,,2007-03,812.02M,,,1.638B,,,450.17M,,450.17M,,,,,2.088B,,9.197B,218.12M,9.415B,6.497B,354.10M,,,8.25M,,9.778B,2007-03,347.40M,6.212B,4.832B,3.152B,-61.00M,-54.56M,8.184B,,2007-03,,
2006-12,,1.016B,,1.016B,878.43M,,1.128B,798.10M,,,383.59M,3.325B,32.58B,786.15M,,33.37B,-13.72B,19.65B,,377.17M,,,7.729B,27.76B,31.08B,,2006-12,1.123B,,,2.105B,,,359.86M,,359.86M,,,,,2.465B,,8.798B,188.03M,8.986B,6.179B,358.55M,,,10.50M,,9.355B,2006-12,347.40M,6.113B,4.827B,2.644B,,-100.51M,8.543B,,2006-12,,
2006-09,,745.03M,,745.03M,1.051B,,1.343B,797.41M,,,300.49M,3.186B,30.95B,815.27M,,31.77B,-12.41B,19.36B,,377.17M,,,7.639B,27.37B,30.56B,,2006-09,869.18M,,,1.892B,,,245.18M,,245.18M,,,,,2.137B,,8.614B,183.84M,8.798B,6.321B,363.05M,,,10.50M,,9.171B,2006-09,347.52M,5.951B,4.819B,2.112B,,-101.81M,8.903B,,2006-09,,
2006-06,,728.93M,,728.93M,942.22M,,1.222B,798.40M,,,552.73M,3.302B,31.92B,836.02M,,32.75B,-13.22B,19.53B,,377.17M,,,7.357B,27.26B,30.56B,,2006-06,984.94M,,,1.988B,,,245.18M,,245.18M,,,,,2.233B,,8.980B,165.32M,9.145B,5.993B,367.62M,,,11.70M,,9.524B,2006-06,347.38M,5.676B,4.818B,2.133B,,-153.82M,8.554B,,2006-06,,
2006-03,,150.64M,,150.64M,926.89M,,1.161B,799.06M,,,1.174B,3.284B,31.39B,1.091B,,32.49B,-13.17B,19.31B,,377.17M,,,7.545B,27.23B,30.52B,,2006-03,965.23M,,,2.020B,,,242.39M,,242.39M,,,,,2.262B,,8.925B,149.67M,9.075B,5.923B,372.08M,,,11.70M,,9.458B,2006-03,523.39M,5.510B,4.816B,2.141B,,-149.01M,8.559B,,2006-03,,
2005-12,,582.82M,,582.82M,1.058B,,1.536B,817.13M,,,1.127B,4.063B,30.68B,1.524B,,32.21B,-13.01B,19.20B,,377.17M,,,7.221B,26.79B,30.86B,,2005-12,1.656B,,,2.838B,,,274.44M,,274.44M,,,,,3.112B,,8.824B,175.00M,8.999B,5.659B,376.55M,,,13.95M,,9.390B,2005-12,448.46M,5.434B,4.818B,2.162B,,-343.82M,8.194B,,2005-12,,
2005-09,,96.59M,,96.59M,1.314B,,1.844B,727.05M,,,1.407B,4.075B,30.31B,1.496B,,31.81B,-12.90B,18.91B,,377.17M,,,6.608B,25.89B,29.97B,,2005-09,1.813B,,,2.940B,,,275.32M,,275.32M,,,,,3.216B,,8.381B,195.30M,8.576B,5.473B,381.12M,,,13.95M,,8.971B,2005-09,348.95M,5.450B,4.840B,2.168B,,-265.88M,8.205B,,2005-09,,
2005-06,,104.99M,,104.99M,761.80M,,1.359B,693.38M,,,1.021B,3.179B,31.33B,1.083B,,32.41B,-13.43B,18.98B,,377.17M,,,6.046B,25.40B,28.58B,,2005-06,871.24M,,,1.736B,,,510.59M,,510.59M,,,,,2.246B,,7.844B,170.32M,8.014B,5.486B,389.47M,,,15.15M,,8.419B,2005-06,398.16M,5.213B,4.845B,1.963B,,-147.01M,8.346B,,2005-06,,
2005-03,,73.46M,,73.46M,690.11M,,1.068B,701.91M,,,1.314B,3.157B,30.82B,1.291B,,32.11B,-13.33B,18.78B,,377.17M,,,6.114B,25.27B,28.43B,,2005-03,718.12M,,,1.645B,,,624.30M,,624.30M,,,,,2.269B,,7.445B,175.17M,7.620B,5.463B,394.14M,,,15.15M,,8.029B,2005-03,367.82M,5.041B,4.827B,1.738B,,-116.80M,8.380B,,2005-03,,
2004-12,,79.14M,,79.14M,753.72M,,1.214B,696.66M,,,1.088B,3.077B,30.64B,1.198B,,31.84B,-13.14B,18.70B,,377.17M,,,6.161B,25.23B,28.31B,,2004-12,896.53M,,,1.706B,,,626.60M,,626.60M,,,,,2.332B,,7.017B,146.06M,7.163B,5.467B,399.23M,,,17.40M,,7.580B,2004-12,367.84M,4.984B,4.835B,1.432B,,-93.45M,8.662B,,2004-12,,
2004-09,,587.84M,,587.84M,874.49M,,1.346B,698.19M,,,456.95M,3.089B,30.30B,1.277B,,31.58B,-13.10B,18.48B,,377.17M,,,6.993B,25.85B,28.94B,,2004-09,786.44M,,,1.859B,,,539.75M,,539.75M,,,,,2.398B,,7.220B,138.30M,7.358B,5.647B,404.48M,,,17.40M,,7.780B,2004-09,336.82M,4.949B,4.819B,861.09M,,-68.34M,9.175B,,2004-09,,
2004-06,,585.70M,,585.70M,678.15M,,1.188B,687.29M,,,554.41M,3.016B,30.14B,1.196B,,31.33B,-12.90B,18.43B,,377.17M,,,7.046B,25.85B,28.87B,,2004-06,834.34M,,,1.892B,,,271.83M,,271.83M,,,,,2.164B,,7.586B,137.94M,7.724B,5.420B,409.73M,,,18.60M,,8.152B,2004-06,336.82M,4.768B,4.819B,750.58M,,-95.20M,9.078B,,2004-06,,
2004-03,,874.96M,,874.96M,627.60M,,993.20M,676.64M,,,490.52M,3.035B,29.82B,1.205B,,31.03B,-12.71B,18.32B,,377.17M,,,7.033B,25.73B,28.76B,,2004-03,626.56M,,,1.564B,,,532.93M,,532.93M,,,,,2.097B,,7.399B,170.54M,7.570B,5.345B,414.99M,,,18.60M,,8.003B,2004-03,336.82M,4.606B,4.792B,518.37M,,6.493M,9.223B,,2004-03,,
2003-12,,692.23M,,692.23M,620.67M,,1.006B,659.40M,,,562.08M,2.919B,29.54B,1.381B,,30.92B,-12.62B,18.30B,,377.17M,,,6.959B,25.63B,28.55B,,2003-12,796.57M,,,1.758B,,,524.72M,,524.72M,,,,,2.282B,,7.323B,153.90M,7.477B,5.200B,420.25M,,,20.85M,,7.918B,2003-12,336.82M,4.503B,4.768B,561.15M,,-7.795M,9.038B,,2003-12,,
2003-09,,577.54M,,577.54M,760.77M,,1.189B,676.91M,,,597.83M,3.041B,28.86B,1.647B,,30.50B,-12.46B,18.04B,,377.17M,,,7.105B,25.53B,28.57B,,2003-09,573.26M,,,1.627B,,,725.64M,,725.64M,,,,,2.353B,,7.441B,165.51M,7.606B,5.007B,425.81M,,,215.00M,,8.247B,2003-09,336.82M,4.645B,4.697B,569.20M,,-3.765M,9.105B,,2003-09,,
2003-06,,1.078B,,1.078B,741.84M,,1.173B,668.80M,,,626.45M,3.546B,28.57B,1.591B,,30.17B,-12.27B,17.90B,,377.17M,,,7.009B,25.29B,28.83B,,2003-06,701.69M,,,1.587B,,,930.35M,,930.35M,,,,,2.518B,,7.864B,156.96M,8.021B,4.997B,430.91M,,215.00M,,,8.451B,2003-06,358.90M,4.383B,4.690B,587.45M,,6.553M,8.851B,,2003-06,,
2003-03,,377.46M,,377.46M,635.62M,,947.16M,645.99M,,,530.71M,2.501B,28.46B,1.311B,,29.77B,-12.10B,17.66B,,377.17M,,,6.858B,24.90B,27.40B,,2003-03,608.54M,,,1.589B,,,774.30M,,774.30M,,,,,2.363B,,7.255B,159.07M,7.414B,4.875B,442.52M,,215.00M,,,7.857B,2003-03,358.90M,4.255B,4.675B,654.75M,,-35.52M,8.599B,,2003-03,,
2002-12,,1.335B,,1.335B,542.63M,,861.76M,622.37M,,,386.13M,3.206B,28.27B,1.233B,,29.50B,-11.84B,17.67B,,377.17M,,,6.257B,24.30B,27.50B,,2002-12,855.45M,,,1.827B,,,1.345B,,1.345B,,,,,3.172B,,7.309B,155.94M,7.465B,4.699B,447.92M,,,,,7.913B,2002-12,361.15M,3.939B,4.667B,747.33M,,-22.36M,8.197B,,2002-12,,
2002-09,,948.85M,,948.85M,705.95M,,1.071B,612.38M,,,318.10M,2.950B,28.46B,1.275B,,29.73B,-12.28B,17.46B,,,,,6.370B,23.83B,26.78B,,2002-09,662.26M,,,2.049B,,,1.133B,,1.133B,,,,,3.182B,,7.239B,196.57M,7.436B,3.865B,453.71M,,215.00M,,,7.889B,2002-09,361.15M,3.941B,4.667B,745.52M,,-45.16M,8.179B,,2002-09,,
2002-06,,730.66M,,730.66M,599.03M,,1.003B,573.37M,,,391.88M,2.699B,28.09B,1.239B,,29.33B,-12.12B,17.20B,,377.47M,,,5.723B,23.30B,26.00B,,2002-06,584.76M,,,1.970B,,,1.928B,,1.928B,,,,,3.898B,,6.559B,183.45M,6.742B,3.847B,459.50M,,,215.00M,,7.416B,2002-06,361.60M,3.654B,4.667B,649.80M,,-17.24M,8.015B,,2002-06,,
2002-03,,763.30M,,763.30M,477.63M,,755.89M,575.87M,,,363.74M,2.459B,27.84B,1.009B,,28.85B,-11.96B,16.89B,,377.47M,,,5.784B,23.05B,25.51B,,2002-03,523.02M,,,1.908B,,,1.127B,,1.127B,,,,,3.035B,,7.059B,191.88M,7.251B,3.876B,465.29M,,215.00M,,,7.716B,2002-03,361.60M,3.486B,4.664B,691.54M,,-27.68M,7.792B,,2002-03,,
2001-12,,751.57M,,751.57M,564.35M,,833.03M,558.14M,,,613.78M,2.757B,27.81B,882.83M,,28.70B,-11.81B,16.89B,,377.17M,,,5.887B,23.15B,25.91B,,2001-12,592.53M,,,1.922B,,,1.183B,,1.183B,,,,,3.105B,,7.321B,181.08M,7.502B,4.446B,471.09M,,215.00M,,,7.973B,2001-12,363.00M,3.638B,4.663B,758.82M,,-88.79M,7.817B,,2001-12,,
2001-09,,901.28M,,901.28M,755.85M,,1.125B,576.52M,,,754.17M,3.357B,27.83B,897.71M,,28.73B,-11.79B,16.94B,,,,,5.887B,22.82B,26.18B,,2001-09,594.32M,,,2.298B,,,1.808B,,1.808B,,,,,4.105B,,7.238B,150.68M,7.388B,3.876B,476.90M,,,215.00M,,8.080B,2001-09,363.35M,3.689B,4.663B,750.07M,,-96.91M,7.868B,,2001-09,,
2001-06,,698.70M,,698.70M,672.95M,,1.118B,547.56M,,,702.34M,3.067B,27.37B,910.68M,,28.28B,-11.73B,16.55B,,,,,5.749B,22.30B,25.37B,,2001-06,641.37M,,,2.085B,,,1.470B,,1.470B,,,,,3.555B,,7.306B,177.74M,7.483B,3.790B,482.70M,,,215.00M,,8.181B,2001-06,398.35M,3.445B,4.661B,724.16M,,-100.43M,7.680B,,2001-06,,
2001-03,,1.030B,,1.030B,724.83M,,1.091B,579.99M,,,667.39M,3.368B,27.35B,743.42M,,28.09B,-11.65B,16.45B,,,,,5.378B,21.82B,25.19B,,2001-03,712.96M,,,1.980B,,,1.608B,,1.608B,,,,,3.588B,,7.352B,205.83M,7.558B,3.771B,488.51M,,215.00M,,,8.046B,2001-03,400.93M,3.276B,4.664B,759.38M,,-117.97M,7.463B,,2001-03,,
2000-12,,1.382B,,1.382B,887.00M,,1.302B,519.04M,,,754.15M,3.958B,26.99B,936.78M,,27.92B,-11.48B,16.45B,,,,,5.048B,21.49B,25.45B,,2000-12,1.204B,,,2.429B,,,1.009B,,1.009B,,,,,3.438B,,7.732B,201.87M,7.934B,3.743B,494.32M,,215.00M,,,8.428B,2000-12,402.93M,3.191B,4.660B,774.90M,-1.035M,-75.03M,7.404B,,2000-12,,
2000-09,,1.233B,,1.233B,907.93M,,1.342B,483.89M,,,690.77M,3.749B,25.71B,1.939B,,27.65B,-11.40B,16.24B,,,,,4.033B,20.28B,24.03B,,2000-09,866.59M,,,2.350B,,,584.12M,,584.12M,,,,,2.934B,,7.107B,181.82M,7.289B,3.689B,500.23M,,215.00M,,,7.789B,2000-09,403.36M,3.216B,4.637B,715.15M,6.588M,-64.49M,7.477B,,2000-09,,
2000-06,,1.797B,,1.797B,649.30M,,1.025B,514.76M,,,544.04M,3.881B,25.15B,1.961B,,27.11B,-11.25B,15.87B,,,,,4.577B,20.44B,24.32B,,2000-06,796.56M,,,2.178B,,,629.82M,,629.82M,,,,,2.807B,,7.379B,177.87M,7.556B,3.731B,506.14M,,,,,8.063B,2000-06,623.08M,2.982B,4.636B,613.13M,-6.275M,-76.09M,7.553B,,2000-06,,
2000-03,,1.686B,,1.686B,486.80M,,761.01M,511.36M,,,373.91M,3.332B,26.81B,1.769B,,28.58B,-11.08B,17.50B,,,,,2.526B,20.03B,23.36B,,2000-03,591.13M,,,1.584B,,,702.65M,,702.65M,,,,,2.287B,,7.101B,184.75M,7.285B,3.790B,513.01M,,,,,7.798B,2000-03,558.08M,2.814B,4.636B,377.45M,-9.958M,-79.45M,7.552B,,2000-03,,
1999-12,,1.214B,,1.214B,496.92M,,795.54M,465.63M,,,729.09M,3.204B,24.90B,1.501B,,26.40B,-10.90B,15.50B,,,,,4.265B,19.77B,22.97B,,1999-12,707.68M,,,1.654B,,,493.52M,,493.52M,,,,,2.147B,,6.828B,205.46M,7.033B,3.830B,519.91M,,,,,7.553B,1999-12,560.58M,2.786B,4.636B,231.89M,-5.023M,-73.80M,7.678B,,1999-12,,
1999-09,,1.344B,,1.344B,783.10M,,1.129B,848.40M,,,630.80M,3.953B,24.94B,1.141B,,26.08B,-10.80B,15.28B,,,,219.90M,3.946B,19.44B,23.40B,,1999-09,757.70M,,,1.932B,,,493.40M,,493.40M,,,,-0.20M,2.425B,,6.504B,232.90M,6.737B,3.844B,524.40M,,,,,7.262B,1999-09,795.70M,2.853B,4.634B,112.50M,,-64.70M,8.106B,,1999-09,,
1999-06,,1.086B,,1.086B,1.731B,,2.096B,680.20M,,,221.10M,4.083B,24.74B,1.159B,,25.90B,-10.73B,15.17B,,,,225.10M,3.604B,19.00B,23.08B,,1999-06,868.00M,,,1.869B,,,648.10M,,648.10M,,,,,2.517B,,6.459B,252.70M,6.712B,3.893B,530.00M,,,,,7.242B,1999-06,796.90M,2.640B,4.632B,3.70M,,-47.70M,8.018B,,1999-06,,
1999-03,,1.086B,,1.086B,1.448B,,1.672B,615.60M,,,233.60M,3.607B,24.59B,1.069B,,25.66B,-10.26B,15.40B,,,,303.20M,3.543B,19.24B,22.85B,,1999-03,496.50M,6.90M,,1.190B,,,824.40M,,824.40M,,,,,2.014B,,6.411B,254.00M,6.665B,4.142B,568.30M,,,,,7.233B,1999-03,798.90M,2.515B,4.631B,4.80M,,-46.40M,7.894B,,1999-03,,
1998-12,,1.184B,,1.184B,1.427B,,1.672B,634.70M,,,152.30M,3.644B,24.49B,911.30M,,25.40B,-10.08B,15.33B,,,,316.90M,3.547B,19.19B,22.84B,,1998-12,522.10M,,,1.254B,,,728.30M,,728.30M,,,,-0.10M,1.982B,,6.597B,220.20M,6.817B,4.104B,565.70M,,,,,7.382B,1998-12,873.50M,2.527B,4.631B,6.20M,,-46.70M,7.978B,,1998-12,,
1998-09,,808.20M,,808.20M,1.107B,,1.672B,758.00M,,,236.20M,3.474B,27.58B,811.90M,,28.39B,-10.21B,18.18B,,,,318.60M,5.396B,23.90B,27.37B,,1998-09,1.198B,8.00M,,2.308B,,,876.60M,,876.60M,,,,,3.184B,,8.942B,233.50M,9.176B,5.074B,572.10M,,,,,9.748B,1998-09,1.181B,2.365B,4.629B,6.20M,,-88.40M,8.080B,,1998-09,,
1998-06,,773.30M,,773.30M,806.60M,,1.340B,739.90M,,,321.80M,3.175B,18.38B,766.80M,,19.14B,-1.001B,18.14B,,,,335.10M,5.521B,24.00B,27.17B,,1998-06,893.50M,8.10M,,1.873B,,,1.091B,,1.091B,,,,,2.964B,,8.977B,213.40M,9.190B,5.109B,569.50M,,,,,9.76B,1998-06,1.185B,2.188B,4.628B,4.10M,,-73.70M,7.923B,,1998-06,,
