,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-01,94.01M,94.01M,34.65M,59.37M,,37.88M,1.315M,0.356M,0.478M,,,,39.55M,19.82M,,,0.478M,,18.47M,4.618M,13.86M,,,,,13.86M,13.50M,22.79M,2.971M,19.82M,0.45,0.0,,,0.4384,0.45,0.44,0.0,,,0.4287,0.44,30.90M,31.60M,0.03
2002-10,94.72M,94.72M,32.60M,62.12M,,38.29M,1.422M,0.212M,0.386M,,,,39.93M,22.20M,,,0.386M,,20.39M,4.202M,16.19M,,,,,16.19M,15.88M,25.08M,2.88M,22.20M,0.53,0.0,,,0.52,0.53,0.52,0.0,,,0.5102,0.52,30.69M,31.34M,0.0
2002-07,90.56M,90.56M,34.84M,55.72M,,37.06M,1.118M,0.565M,3.668M,,,,38.74M,16.98M,,,3.668M,,18.30M,4.941M,13.36M,,,,,13.36M,10.68M,20.32M,3.344M,16.98M,0.435,0.0,,,0.3475,0.435,0.43,0.0,,,0.3442,0.43,30.62M,31.21M,0.025
2002-04,71.91M,71.91M,27.75M,44.16M,,28.17M,0.918M,0.392M,-0.018M,,,,29.48M,14.68M,,,-0.018M,,13.22M,3.306M,9.918M,,,,,9.918M,9.932M,17.74M,3.052M,14.68M,0.325,0.0,,,0.3254,0.325,0.32,0.0,,,0.3204,0.32,30.49M,31.13M,0.0
2002-01,58.11M,58.11M,20.62M,37.49M,,23.22M,0.857M,0.308M,1.036M,,,,24.38M,13.11M,,,1.036M,,13.25M,3.845M,9.405M,,,,,9.405M,8.670M,15.20M,2.093M,13.11M,0.31,0.0,,,0.2858,0.31,0.305,0.0,,,0.2813,0.305,30.44M,31.08M,0.025
2001-10,69.68M,69.68M,22.36M,47.32M,,27.72M,0.822M,1.316M,0.20M,,,,29.86M,17.46M,,,0.20M,,16.74M,4.982M,11.76M,,,,,11.76M,11.62M,20.54M,3.082M,17.46M,0.39,0.0,,,0.3854,0.39,0.38,0.0,,,0.3755,0.38,30.29M,31.20M,0.0
2001-07,59.96M,59.96M,22.34M,37.62M,,21.11M,1.055M,1.457M,0.131M,,,,23.62M,14.00M,,,0.131M,,13.22M,2.857M,10.36M,,,,,10.36M,10.26M,16.84M,2.838M,14.00M,0.345,0.0,,,0.3416,0.345,0.335,0.0,,,0.3317,0.335,29.98M,30.77M,0.025
2001-04,56.03M,56.03M,19.71M,36.31M,,20.60M,0.897M,1.187M,-0.049M,,,,22.68M,13.63M,,,-0.049M,,12.68M,3.97M,8.71M,,,,,8.71M,8.744M,16.16M,2.532M,13.63M,0.295,0.0,,,0.2961,0.295,0.29,0.0,,,0.2911,0.29,29.43M,30.25M,0.0
2001-01,49.98M,49.98M,16.79M,33.19M,,21.42M,0.884M,1.222M,0.826M,,,,23.52M,9.665M,,,0.826M,,9.492M,3.183M,6.309M,,,,,6.309M,5.760M,12.20M,2.536M,9.665M,0.22,0.0,,,0.2011,0.22,0.215,0.0,,,0.1965,0.215,28.99M,29.64M,0.01
2000-10,59.14M,59.14M,21.91M,37.23M,,24.52M,0.684M,,0.182M,,,,23.03M,14.20M,,,0.182M,,13.45M,4.305M,9.149M,,0.00,,,9.149M,9.025M,16.54M,2.34M,14.20M,0.32,0.015,0.0,,0.3157,0.32,0.315,0.015,0.0,,0.3108,0.315,28.65M,29.25M,0.01
2000-07,50.91M,50.91M,14.14M,36.77M,,18.72M,0.703M,,-0.64M,,,,23.72M,13.05M,,,-0.64M,,11.24M,2.584M,8.661M,,,,,8.661M,9.154M,17.35M,4.303M,13.05M,0.305,0.0,,,0.3223,0.305,0.295,0.0,,,0.3119,0.295,28.46M,29.19M,0.01
2000-04,50.77M,50.77M,18.28M,32.48M,,19.32M,0.676M,,0.06M,,,,21.11M,11.38M,,,0.06M,,10.17M,3.406M,6.763M,,,,,6.763M,6.723M,12.49M,1.111M,11.38M,0.24,0.0,,,0.2386,0.24,0.235,0.0,,,0.2336,0.235,28.26M,28.88M,0.01
2000-01,40.40M,40.40M,14.80M,25.60M,,16.80M,0.60M,,0.40M,,,,17.40M,8.20M,,,0.40M,,7.20M,2.40M,4.80M,,-0.40M,,,4.40M,4.533M,8.20M,,8.20M,0.17,0.0,0.0,,0.1605,0.155,0.1671,0.0,-0.0142,,0.1579,0.1532,28.14M,28.72M,0.01
1999-10,48.06M,48.06M,15.31M,32.75M,,18.76M,0.677M,,0.131M,,,,20.34M,12.41M,,,0.131M,,11.11M,3.611M,7.501M,-0.001M,,,,7.50M,7.413M,17.95M,5.54M,12.41M,0.2505,-0.0,,,0.2475,0.2504,0.2505,-0.0,,,0.2475,0.2504,29.95M,29.95M,0.01
1999-07,43.40M,43.40M,15.10M,28.30M,,16.00M,0.40M,,0.10M,,,,17.40M,10.90M,,,0.10M,,9.60M,3.10M,6.50M,,,,,6.50M,6.432M,11.90M,1.00M,10.90M,0.1175,0.0,,,0.1151,0.1175,0.115,0.0,,,0.1126,0.115,28.05M,28.05M,0.01
1999-04,41.70M,41.70M,15.20M,26.50M,,15.50M,0.40M,,,,,,16.90M,9.60M,,,,,7.90M,2.60M,5.30M,1.80M,,,,7.10M,5.30M,10.60M,1.00M,9.60M,0.095,0.0325,,,0.095,0.1275,0.095,0.0325,,,0.095,0.1275,27.84M,27.84M,0.0
1999-01,35.00M,35.00M,14.40M,20.60M,,14.20M,0.50M,,,,,,14.70M,5.90M,,,,,4.00M,1.40M,2.60M,1.30M,,,,3.90M,2.60M,5.90M,,5.90M,0.045,0.0225,,,0.045,0.0675,0.045,0.0225,,,0.045,0.0675,27.88M,27.88M,0.0
1998-10,40.70M,40.70M,11.70M,29.00M,,16.00M,0.40M,,-1.20M,,,,22.30M,6.70M,,,-1.20M,,3.90M,-32.80M,36.70M,-21.60M,,,,15.10M,37.42M,12.60M,5.90M,6.70M,1.24,-0.725,,,1.265,0.515,1.21,-0.725,,,1.234,0.505,29.35M,29.53M,0.0
1998-07,39.70M,39.70M,14.90M,24.80M,,14.10M,0.50M,,-0.30M,,,,15.50M,9.30M,,,-0.30M,,7.40M,-0.90M,8.30M,1.80M,,,,10.10M,8.48M,10.20M,0.90M,9.30M,0.28,0.06,,,0.2861,0.34,0.27,0.06,,,0.2759,0.33,29.71M,30.61M,0.0
