,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-01,,2.586M,,2.586M,164.17M,164.17M,42.46M,12.60M,223.94M,,279.01M,60.14M,20.44M,,526.34M,,,,,,,824.29M,-205.01M,619.28M,1.254B,141.89M,1.396B,29.58M,13.90M,2.059B,2.585B,54.92M,,54.92M,22.82M,77.74M,,,,46.86M,,46.86M,115.48M,240.08M,878.25M,,878.25M,12.11M,12.11M,,,,40.97M,931.33M,1.171B,4.534M,344.99M,1.026B,5.419M,,43.39M,1.414B
2007-10,,3.226M,,3.226M,164.49M,164.49M,37.75M,11.04M,219.12M,,267.91M,58.49M,23.40M,,517.52M,0.0,1.984M,140.00M,655.05M,,,797.04M,-192.51M,604.53M,1.290B,145.83M,1.435B,20.02M,18.68M,2.079B,2.596B,61.38M,,61.38M,144.82M,206.19M,,,,46.51M,,46.51M,33.77M,286.48M,830.12M,,830.12M,10.68M,10.68M,,,,9.408M,850.20M,1.137B,4.525M,334.13M,1.019B,5.894M,,107.78M,1.459B
2007-07,,8.061M,,8.061M,164.33M,164.33M,36.59M,15.38M,213.42M,,265.38M,51.12M,22.20M,,511.10M,,,,,,,756.26M,-177.55M,578.72M,1.256B,150.09M,1.406B,23.32M,21.91M,2.030B,2.541B,59.53M,,59.53M,74.22M,133.75M,,,,53.71M,,53.71M,96.96M,284.42M,807.58M,,807.58M,11.50M,11.50M,,,,2.197M,821.28M,1.106B,4.518M,358.32M,1.017B,5.894M,,61.79M,1.435B
2007-04,,12.03M,,12.03M,156.77M,156.77M,35.65M,16.62M,209.35M,,261.61M,,18.70M,49.42M,498.54M,,,,,,,717.72M,-161.61M,556.10M,1.260B,147.49M,1.408B,23.41M,23.71M,2.011B,2.510B,52.43M,,52.43M,57.99M,110.42M,,,,48.42M,,48.42M,97.75M,256.58M,817.45M,,817.45M,11.68M,11.68M,,,,6.297M,835.42M,1.092B,4.511M,351.48M,1.010B,5.894M,,57.76M,1.418B
2007-01,,23.54M,,23.54M,156.82M,156.82M,34.58M,22.21M,191.24M,,248.02M,47.37M,18.45M,,494.20M,,,,,,,687.82M,-151.63M,536.18M,1.238B,149.16M,1.387B,26.49M,24.92M,1.975B,2.469B,50.40M,,50.40M,66.80M,117.20M,,,,36.14M,,36.14M,77.06M,230.40M,817.52M,,817.52M,12.44M,12.44M,,,,5.991M,835.95M,1.066B,4.50M,352.01M,1.002B,6.396M,,50.43M,1.403B
2006-10,,8.224M,,8.224M,146.58M,146.58M,31.37M,19.77M,185.37M,,236.51M,45.97M,19.66M,,456.95M,0.0,1.866M,90.24M,545.32M,,,637.43M,-141.07M,496.36M,1.217B,147.16M,1.364B,21.48M,13.57M,1.896B,2.353B,66.08M,,66.08M,119.43M,185.51M,,,,61.37M,,61.37M,29.76M,276.63M,681.29M,,681.29M,9.494M,9.494M,,,,6.682M,697.46M,974.09M,4.497M,348.00M,993.71M,6.412M,,38.71M,1.379B
2006-07,,12.72M,,12.72M,149.92M,149.92M,31.17M,18.09M,177.11M,,226.36M,47.51M,19.72M,,456.23M,,,,,,,611.18M,-130.63M,480.55M,1.205B,150.19M,1.356B,19.62M,16.54M,1.872B,2.329B,54.78M,,54.78M,108.70M,163.48M,,,,60.57M,,60.57M,29.01M,253.06M,698.44M,,698.44M,8.607M,8.607M,,,,11.70M,718.75M,971.81M,4.495M,334.40M,992.05M,6.458M,,32.21M,1.357B
2006-04,,16.56M,,16.56M,148.23M,148.23M,30.33M,13.53M,170.80M,,214.67M,43.17M,17.88M,,440.50M,,,,,,,567.27M,-119.84M,447.43M,1.209B,153.66M,1.363B,22.88M,17.12M,1.850B,2.291B,46.01M,,46.01M,108.30M,154.31M,,,,58.62M,,58.62M,30.88M,243.81M,698.19M,,698.19M,7.933M,7.933M,,,,10.57M,716.69M,960.50M,4.495M,314.76M,990.25M,6.458M,,27.28M,1.330B
2006-01,,24.60M,,24.60M,155.00M,155.00M,27.20M,15.12M,156.16M,,198.48M,50.12M,21.15M,,449.34M,,,,,,,519.68M,-105.56M,414.11M,,1.371B,1.371B,20.70M,13.17M,1.819B,2.268B,40.88M,,40.88M,65.87M,106.75M,,,,38.54M,,38.54M,79.65M,224.94M,727.23M,,727.23M,7.819M,7.819M,,,,7.606M,742.66M,967.59M,4.494M,301.06M,984.96M,6.488M,,16.64M,1.301B
2005-10,,30.83M,,30.83M,152.61M,152.61M,26.16M,16.08M,143.45M,,185.69M,51.14M,23.45M,,443.71M,0.0,1.754M,62.34M,413.15M,,,477.24M,-97.46M,379.78M,1.169B,151.41M,1.320B,19.72M,16.15M,1.736B,2.180B,36.04M,,36.04M,118.42M,154.47M,,,,72.26M,,72.26M,30.90M,257.62M,632.65M,,632.65M,9.118M,9.118M,,,,7.213M,648.98M,906.60M,4.49M,284.44M,977.32M,7.133M,,14.11M,1.273B
2005-07,,18.05M,,18.05M,164.71M,164.71M,24.30M,18.69M,140.57M,,183.56M,,25.00M,47.00M,438.31M,,,,,,,428.38M,-70.31M,358.08M,,1.336B,1.336B,30.34M,14.08M,1.738B,2.177B,31.82M,,31.82M,47.08M,78.89M,,,,42.91M,,42.91M,95.64M,217.44M,680.83M,,680.83M,22.37M,22.37M,,,,,703.20M,920.64M,4.464M,278.07M,970.09M,7.608M,,10.99M,1.256B
2005-04,,17.12M,,17.12M,155.18M,155.18M,25.93M,17.33M,147.25M,,190.50M,,25.60M,46.00M,434.41M,,,,,,,414.82M,-70.31M,344.52M,,1.351B,1.351B,16.16M,15.20M,1.727B,2.161B,36.82M,,36.82M,63.48M,100.30M,,,,30.18M,,30.18M,89.72M,220.20M,689.45M,,689.45M,6.399M,6.399M,,,,6.154M,702.01M,922.20M,4.459M,242.03M,968.58M,7.608M,,31.62M,1.239B
2005-01,,28.49M,,28.49M,145.31M,145.31M,25.23M,17.31M,154.34M,,196.89M,,30.86M,37.42M,438.97M,,,,,,,390.00M,-70.31M,319.69M,,1.357B,1.357B,16.95M,12.99M,1.707B,2.146B,28.51M,,28.51M,67.41M,95.92M,,,,21.73M,,21.73M,84.40M,202.05M,723.04M,,723.04M,6.026M,6.026M,,,,9.858M,738.92M,940.97M,4.44M,212.52M,962.98M,7.608M,,32.20M,1.205B
2004-10,,39.37M,1.829M,41.20M,99.27M,99.27M,15.91M,13.15M,78.54M,,107.61M,,20.30M,36.13M,304.50M,,,,,,,221.37M,-70.31M,151.06M,,342.37M,342.37M,10.32M,3.315M,507.06M,811.56M,21.68M,,21.68M,36.41M,58.09M,,,,20.87M,,20.87M,37.55M,116.51M,144.86M,,144.86M,6.026M,6.026M,,,,,150.89M,267.40M,3.334M,195.02M,327.81M,8.976M,,26.97M,544.16M
2004-07,,26.08M,1.187M,27.26M,92.30M,92.30M,17.64M,11.28M,76.16M,,105.08M,,17.60M,25.21M,267.45M,,,,,,,202.25M,-58.75M,143.50M,,338.94M,338.94M,18.56M,3.739M,504.74M,772.19M,15.62M,,15.62M,33.32M,48.94M,,,,20.68M,,20.68M,44.50M,114.13M,149.75M,,149.75M,,,,,,,149.75M,263.87M,3.328M,166.30M,326.25M,8.976M,,21.42M,508.32M
2004-04,,20.73M,2.372M,23.10M,84.68M,84.68M,18.20M,11.95M,73.12M,,103.27M,22.82M,20.38M,,254.25M,,,,,,,197.52M,-58.75M,138.78M,,334.86M,334.86M,12.67M,4.194M,490.50M,744.75M,13.66M,,13.66M,36.14M,49.80M,,,,23.88M,,23.88M,39.79M,113.47M,154.87M,,154.87M,,,,,,,154.87M,268.34M,3.325M,143.23M,320.67M,8.976M,,18.16M,476.41M
2004-01,,45.32M,4.987M,50.31M,86.08M,86.08M,16.16M,11.66M,72.13M,,99.95M,,15.64M,23.85M,275.84M,,,,,,,183.39M,-58.75M,124.65M,,304.33M,304.33M,16.37M,4.353M,449.70M,725.54M,14.40M,,14.40M,32.78M,47.18M,,,,22.05M,,22.05M,37.26M,106.49M,160.01M,,160.01M,,,,,,,160.01M,266.50M,3.298M,121.53M,315.63M,9.052M,,27.63M,459.04M
2003-10,,47.43M,5.746M,53.18M,84.61M,84.61M,15.39M,13.79M,60.53M,,89.72M,22.10M,14.62M,,264.22M,,,,,,,175.02M,-58.75M,116.28M,,298.52M,298.52M,22.37M,4.174M,441.34M,705.56M,16.23M,,16.23M,46.81M,63.04M,,,,20.66M,,20.66M,31.73M,115.42M,165.20M,,165.20M,2.891M,2.891M,,,,,168.09M,283.52M,3.268M,104.14M,309.67M,9.145M,,14.12M,422.05M
2003-07,,30.80M,5.976M,36.77M,80.01M,80.01M,16.59M,13.88M,52.41M,,82.88M,,14.42M,20.95M,235.03M,,,,,,,168.24M,-62.84M,105.40M,,287.92M,287.92M,24.09M,4.663M,422.08M,657.11M,13.69M,,13.69M,,13.69M,,,,22.74M,,22.74M,72.87M,109.31M,169.06M,,169.06M,,,,,,1.521M,170.58M,279.88M,3.204M,83.10M,295.83M,9.758M,,4.852M,377.23M
2003-04,,11.90M,4.469M,16.36M,76.79M,76.79M,15.49M,16.20M,50.29M,,81.98M,,16.43M,19.00M,210.56M,,,,,,,161.11M,-62.84M,98.27M,,266.08M,266.08M,21.06M,4.199M,389.60M,600.16M,15.48M,,15.48M,17.63M,33.11M,,,,20.64M,,20.64M,49.90M,103.65M,141.94M,,141.94M,,,,,,1.432M,143.37M,247.02M,3.171M,65.38M,288.70M,9.758M,,5.661M,353.14M
2003-01,,9.054M,3.023M,12.08M,83.89M,83.89M,13.66M,14.23M,53.16M,,81.04M,,19.09M,18.06M,214.16M,,,,,,,157.36M,-62.84M,94.52M,247.05M,14.33M,261.38M,22.50M,4.403M,382.80M,596.97M,14.29M,,14.29M,33.49M,47.77M,,,,17.39M,,17.39M,37.44M,102.60M,158.96M,,158.96M,,,,,,2.469M,161.43M,264.03M,3.156M,50.16M,286.35M,10.00M,,3.261M,332.94M
2002-10,,10.26M,2.75M,13.00M,74.54M,74.54M,13.18M,14.07M,49.04M,,76.28M,17.30M,17.78M,,198.91M,0.0,1.545M,26.42M,122.82M,,,150.78M,-62.84M,87.94M,,253.62M,253.62M,26.81M,3.838M,372.20M,571.12M,15.21M,,15.21M,75.14M,90.35M,,,,36.33M,,36.33M,,126.68M,127.32M,,127.32M,,,,,,5.674M,132.99M,259.67M,3.153M,37.24M,285.62M,10.09M,,-4.474M,311.44M
2002-07,,8.79M,5.156M,13.95M,69.78M,69.78M,12.55M,12.62M,52.27M,,77.44M,,19.99M,17.11M,198.27M,,,,,,,118.21M,-24.29M,93.92M,213.09M,17.51M,230.60M,25.76M,4.094M,354.37M,552.64M,14.49M,,14.49M,30.03M,44.51M,,,,32.94M,,32.94M,40.37M,117.82M,135.34M,,135.34M,,,,,,4.608M,139.95M,257.78M,1.599M,21.04M,284.24M,10.20M,,-1.816M,294.86M
2002-04,,17.03M,4.016M,21.05M,66.31M,66.31M,12.34M,11.94M,48.91M,,73.18M,,20.60M,17.45M,198.59M,,,,,,,112.79M,-24.29M,88.49M,200.00M,17.32M,217.32M,24.29M,3.243M,333.34M,531.93M,15.26M,,15.26M,37.06M,52.32M,,,,93.77M,,93.77M,34.63M,180.72M,70.79M,,70.79M,,,,,,3.831M,74.62M,255.34M,1.594M,8.45M,280.48M,10.20M,,-3.727M,276.59M
2002-01,,4.867M,5.006M,9.873M,56.02M,56.02M,10.85M,9.287M,34.04M,,54.18M,,17.69M,11.23M,148.98M,,,,,,,88.81M,-24.29M,64.52M,130.11M,13.69M,143.80M,28.83M,3.808M,240.96M,389.94M,10.54M,,10.54M,24.77M,35.30M,,,,27.10M,,27.10M,25.06M,87.46M,36.81M,,36.81M,,,,,,2.978M,39.79M,127.26M,1.589M,-1.468M,278.84M,10.20M,,-6.071M,262.68M
2001-10,,12.93M,7.982M,20.91M,55.32M,55.32M,9.889M,8.491M,32.77M,,51.15M,10.52M,17.31M,,155.20M,,,,,,,85.32M,-24.29M,61.03M,,145.62M,145.62M,31.25M,3.748M,241.64M,396.85M,11.15M,,11.15M,48.58M,59.72M,,,,8.249M,,8.249M,,67.97M,60.55M,,60.55M,,,,,,12.04M,72.59M,140.56M,1.588M,-10.11M,278.46M,10.20M,,-3.45M,256.28M
2001-07,,11.27M,4.84M,16.11M,43.05M,43.05M,9.336M,7.321M,30.92M,,47.57M,,17.78M,8.941M,133.46M,,,,,,,75.92M,-19.28M,56.64M,135.64M,,135.64M,36.49M,2.41M,231.18M,364.64M,11.31M,,11.31M,24.40M,35.71M,,,,9.435M,,9.435M,21.70M,66.84M,45.59M,,45.59M,,,,,,12.91M,58.51M,125.35M,1.576M,-21.87M,275.92M,10.31M,,-6.033M,239.29M
2001-04,,11.90M,4.338M,16.24M,40.42M,40.42M,9.737M,6.23M,28.04M,,44.01M,,17.74M,9.648M,128.04M,,,,,,,70.89M,-19.28M,51.61M,111.95M,,111.95M,37.10M,2.389M,203.05M,331.09M,9.668M,,9.668M,13.02M,22.69M,9.886M,,,9.886M,,9.886M,21.84M,54.42M,41.96M,,41.96M,,,,,,12.64M,54.60M,109.02M,1.561M,-31.48M,268.51M,10.48M,,-6.035M,222.07M
2001-01,,11.98M,5.978M,17.96M,33.74M,33.74M,9.447M,7.738M,24.01M,,41.20M,,17.40M,9.753M,120.05M,,,,,,,69.26M,-19.28M,49.98M,109.07M,,109.07M,40.10M,2.295M,201.44M,321.49M,25.60M,,25.60M,12.78M,38.38M,2.047M,,,2.047M,,2.047M,22.69M,63.12M,40.62M,,40.62M,,,,,,11.93M,52.55M,115.67M,1.525M,-40.19M,259.23M,10.48M,,-4.261M,205.82M
2000-10,,14.61M,,14.61M,33.06M,33.06M,9.74M,6.056M,22.42M,,38.22M,9.00M,17.80M,,112.68M,,,,,,,67.22M,-19.28M,47.93M,,110.85M,110.85M,42.98M,8.114M,209.88M,322.56M,7.733M,,7.733M,49.45M,57.18M,,,,8.094M,,8.094M,,65.28M,40.26M,,40.26M,,,,,,18.60M,58.85M,124.13M,1.519M,-46.21M,257.99M,11.18M,,-3.687M,198.44M
2000-07,,9.428M,,9.428M,,30.63M,,,,,38.10M,,,26.60M,104.76M,,,,,,,63.31M,-16.66M,46.66M,,93.32M,93.32M,,51.78M,191.76M,296.52M,13.02M,,13.02M,,13.02M,,,,2.124M,,2.124M,31.04M,46.19M,46.19M,,46.19M,,,,,,19.96M,66.15M,112.34M,1.519M,-55.07M,254.25M,13.68M,,-2.838M,184.17M
2000-04,,4.747M,,4.747M,31.48M,31.48M,,,,,38.28M,,,25.11M,99.62M,,,,,,,59.58M,-15.66M,43.91M,,94.58M,94.58M,,55.30M,193.80M,293.41M,10.95M,,10.95M,,10.95M,,,,2.295M,,2.295M,34.71M,47.95M,52.21M,,52.21M,,,,,,18.91M,71.12M,119.06M,1.506M,-63.45M,251.90M,13.68M,,-1.927M,174.35M
2000-01,,2.70M,,2.70M,,28.50M,,,,,40.20M,,,21.30M,92.70M,,,,,,,57.00M,-14.80M,42.20M,,95.10M,95.10M,,59.90M,197.20M,289.90M,9.20M,,9.20M,,9.20M,,,,2.50M,,2.50M,32.80M,44.50M,57.50M,,57.50M,,,,,,19.60M,77.10M,121.60M,1.50M,-69.90M,251.80M,14.10M,,-1.00M,168.30M
1999-10,,20.90M,,20.90M,26.80M,26.80M,,,,,33.40M,,,19.40M,100.50M,,,,,,,54.20M,-13.90M,40.30M,,80.50M,80.50M,,64.60M,185.40M,285.90M,6.30M,,6.30M,,6.30M,,,,4.90M,,4.90M,30.70M,41.90M,57.10M,,57.10M,,,,,,22.80M,79.90M,121.80M,1.50M,-74.00M,251.30M,14.10M,,-0.60M,164.10M
1999-07,,11.70M,,11.70M,,26.60M,,,,,35.00M,,,23.30M,96.60M,,,,,,,51.50M,-13.00M,38.50M,,81.50M,81.50M,,65.40M,185.40M,282.00M,9.00M,,9.00M,,9.00M,,,,3.00M,,3.00M,34.60M,46.60M,56.50M,,56.50M,,,,,,22.70M,79.20M,125.80M,1.50M,-81.30M,251.00M,14.10M,,-1.00M,156.20M
1999-04,,5.40M,,5.40M,,24.70M,,,,,35.50M,,,22.00M,87.60M,,,,,,,49.80M,-12.60M,37.20M,,82.50M,82.50M,,67.50M,187.20M,274.80M,9.50M,,9.50M,,9.50M,,,,3.20M,,3.20M,33.50M,46.20M,57.20M,,57.20M,,,,,,22.80M,80.00M,126.20M,,-87.50M,,,,,148.60M
1999-01,,5.80M,,5.80M,,23.70M,,,,,34.60M,,,46.20M,110.30M,,,,,,,46.20M,-10.80M,35.40M,,83.40M,83.40M,,60.50M,179.30M,289.60M,14.50M,,14.50M,,14.50M,,,,3.30M,,3.30M,24.30M,42.10M,77.70M,,77.70M,,,,,,22.50M,100.20M,142.30M,,-94.70M,,,,,147.30M
1998-10,,7.30M,,7.30M,,24.40M,,,,,30.30M,,,54.10M,116.10M,,,,,,,45.00M,-10.80M,34.20M,,84.30M,84.30M,,61.40M,179.90M,296.00M,8.40M,,8.40M,,8.40M,,,,11.60M,,11.60M,26.70M,46.70M,78.70M,,78.70M,,,,,,25.30M,104.00M,150.70M,1.50M,-98.60M,251.20M,8.00M,,-0.80M,145.30M
1998-07,,10.10M,,10.10M,,40.30M,,,,,30.20M,,,14.40M,95.00M,,,,,,,78.80M,-16.50M,62.30M,,89.50M,89.50M,,34.80M,186.60M,281.60M,12.70M,,12.70M,,12.70M,,,,2.70M,,2.70M,26.80M,42.20M,76.40M,,76.40M,,,,,,25.40M,101.80M,144.00M,,-113.80M,,,,,137.60M
