,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,742.61M,,742.61M,1.237B,1.237B,330.43M,163.82M,268.28M,709.10M,79.83M,67.32M,0.001M,2.836B,0.00,56.43M,547.35M,1.848B,2.452B,-1.539B,913.08M,3.323B,1.045B,4.368B,,269.78M,5.551B,8.387B,,2008-06,486.08M,571.85M,1.058B,,462.89M,,,462.89M,,462.89M,,25.60M,25.60M,,1.546B,,1.879B,,1.879B,306.76M,,306.76M,,2.884B,4.430B,,2008-06,246.09M,2.092B,,,298.87M,3.957B,,2008-06,,Restated
2008-03,635.69M,,635.69M,1.151B,1.151B,336.23M,160.72M,267.58M,711.75M,77.79M,76.73M,,2.653B,0.00,55.18M,531.81M,1.786B,2.373B,-1.472B,901.83M,3.316B,1.064B,4.380B,,268.63M,5.550B,8.203B,,2008-03,457.11M,515.62M,972.73M,,288.46M,,,288.46M,,288.46M,,62.50M,62.50M,,1.324B,,1.896B,,1.896B,303.40M,,303.40M,,2.893B,4.217B,,2008-03,244.77M,1.890B,,,284.06M,3.987B,,2008-03,,Restated
2007-12,606.10M,,606.10M,1.104B,1.104B,314.50M,161.75M,249.68M,673.94M,84.38M,77.48M,,2.546B,0.00,54.58M,527.43M,1.777B,2.359B,-1.467B,892.24M,3.260B,1.052B,4.311B,,320.16M,5.524B,8.070B,,2007-12,416.22M,610.88M,1.027B,,638.65M,,,638.65M,,638.65M,,28.36M,28.36M,,1.694B,,1.452B,,1.452B,317.33M,,317.33M,,2.429B,4.124B,,2007-12,244.55M,1.740B,,,217.65M,3.946B,,2007-12,,
2007-09,446.02M,,446.02M,1.172B,1.172B,330.16M,173.54M,266.89M,719.73M,84.26M,73.18M,,2.495B,0.00,51.17M,500.24M,1.677B,2.228B,-1.369B,859.39M,3.266B,1.041B,4.307B,,287.44M,5.454B,7.949B,,2007-09,432.26M,598.28M,1.031B,,511.65M,,,511.65M,,511.65M,,,,72.32M,1.615B,,1.454B,,1.454B,341.17M,,341.17M,,2.426B,4.041B,,2007-09,244.36M,1.536B,,,134.32M,3.908B,,2007-09,,
2007-06,409.86M,,409.86M,1.120B,1.120B,346.97M,184.92M,258.67M,740.73M,85.41M,76.99M,,2.433B,0.00,52.07M,515.95M,1.723B,2.291B,-1.404B,887.85M,3.278B,1.044B,4.321B,,166.13M,5.375B,7.808B,,2007-06,436.84M,549.66M,986.50M,,290.79M,,,290.79M,,290.79M,,,,85.24M,1.363B,,1.466B,,1.466B,357.02M,,357.02M,,2.448B,3.810B,,2007-06,243.60M,1.220B,,,79.42M,3.998B,,2007-06,,
2007-03,444.35M,,444.35M,1.106B,1.106B,345.18M,192.87M,253.51M,742.44M,85.88M,72.45M,,2.451B,0.00,52.56M,513.34M,1.679B,2.245B,-1.378B,867.36M,3.274B,1.071B,4.345B,,183.56M,5.396B,7.847B,,2007-03,427.82M,514.31M,942.13M,,468.66M,,,468.66M,,468.66M,,,,65.98M,1.477B,,1.481B,,1.481B,370.99M,,370.99M,,2.511B,3.987B,,2007-03,242.92M,1.170B,,,59.76M,3.860B,,2007-03,,
2006-12,374.84M,,374.84M,1.040B,1.040B,322.63M,165.99M,254.26M,694.63M,64.58M,65.77M,,2.240B,0.00,50.88M,472.78M,1.556B,2.080B,-1.264B,815.19M,3.143B,1.065B,4.208B,,362.94M,5.387B,7.627B,,2006-12,401.14M,576.75M,977.88M,,290.55M,,,290.55M,,290.55M,,,,179.60M,1.448B,,1.480B,,1.480B,332.85M,,332.85M,,2.368B,3.816B,,2006-12,242.29M,1.144B,,,48.85M,3.811B,,2006-12,,
2006-09,339.17M,,339.17M,1.038B,1.038B,335.06M,190.45M,229.36M,713.01M,69.06M,63.40M,,2.223B,0.00,52.50M,473.13M,1.572B,2.097B,-1.291B,805.82M,2.793B,902.74M,3.696B,,600.67M,5.102B,7.325B,,2006-09,404.78M,549.94M,954.73M,,51.36M,,,51.36M,,51.36M,,,,166.11M,1.172B,,1.491B,,1.491B,388.69M,,388.69M,,2.356B,3.528B,,2006-09,241.76M,1.143B,,,142.58M,3.796B,,2006-09,,
2006-06,271.79M,,271.79M,1.001B,1.001B,290.94M,175.82M,208.35M,634.90M,59.62M,54.77M,,2.022B,0.00,53.25M,456.55M,1.516B,2.026B,-1.273B,752.67M,2.645B,737.04M,3.382B,,703.37M,4.838B,6.860B,,2006-06,399.49M,489.94M,889.43M,,37.84M,,,37.84M,,37.84M,,,,131.61M,1.059B,,1.344B,,1.344B,355.17M,,355.17M,,2.169B,3.228B,,2006-06,241.47M,1.138B,,,120.11M,3.632B,,2006-06,,
2006-03,290.35M,,290.35M,1.067B,1.067B,312.85M,187.94M,246.90M,705.67M,67.17M,58.98M,,2.189B,0.00,58.72M,515.62M,1.613B,2.188B,-1.377B,811.08M,,3.452B,3.452B,,302.08M,4.565B,6.754B,,2006-03,433.27M,488.54M,921.81M,,78.48M,,,78.48M,,78.48M,,,,169.29M,1.170B,,1.344B,,1.344B,365.08M,,365.08M,,2.035B,3.204B,,2006-03,240.96M,1.105B,,,67.76M,3.550B,,2006-03,,
2005-12,185.83M,,185.83M,850.08M,850.08M,268.71M,144.64M,198.72M,573.26M,49.72M,46.88M,,1.706B,0.00,51.93M,434.63M,1.410B,1.896B,-1.189B,706.74M,2.556B,696.27M,3.252B,,916.11M,4.875B,6.580B,,2005-12,329.36M,478.14M,807.51M,,194.16M,,,194.16M,,194.16M,7.991M,7.991M,,97.03M,1.107B,,1.344B,,1.344B,354.43M,,354.43M,,2.144B,3.251B,,2005-12,239.80M,1.095B,,,57.78M,3.330B,,2005-12,,
2005-09,323.24M,,323.24M,1.025B,1.025B,343.66M,190.70M,252.18M,746.06M,,125.17M,,2.219B,0.00,64.08M,490.15M,1.569B,2.123B,-1.317B,806.54M,,3.486B,3.486B,,293.52M,4.586B,6.805B,,2005-09,376.44M,500.84M,877.28M,,,,,543.91M,,543.91M,,,,145.51M,1.567B,,1.340B,,1.340B,309.97M,,309.97M,,1.970B,3.537B,,2005-09,239.58M,1.094B,,,84.28M,3.268B,,2005-09,,
2005-06,399.67M,,399.67M,970.42M,970.42M,354.64M,217.17M,267.93M,795.03M,,126.68M,,2.292B,0.00,59.65M,493.37M,1.523B,2.076B,-1.334B,741.55M,,2.685B,2.685B,,213.92M,3.641B,5.933B,,2005-06,411.81M,444.05M,855.85M,,,,,380.71M,,380.71M,,,,189.81M,1.426B,,751.65M,,751.65M,317.76M,,317.76M,,1.339B,2.765B,,2005-06,239.40M,1.094B,,,77.95M,3.168B,,2005-06,,
2005-03,411.83M,,411.83M,964.56M,964.56M,363.45M,213.93M,280.49M,813.25M,,117.28M,,2.307B,0.00,61.25M,500.12M,1.535B,2.097B,-1.346B,750.12M,,2.734B,2.734B,,215.51M,3.699B,6.006B,,2005-03,409.06M,425.10M,834.16M,,,,,515.13M,,515.13M,,,,181.68M,1.531B,,755.44M,,755.44M,312.95M,,312.95M,,1.336B,2.867B,,2005-03,239.38M,1.048B,,,145.22M,3.139B,,2005-03,,
2004-12,355.72M,,355.72M,869.76M,869.76M,342.18M,200.08M,237.01M,740.01M,,100.99M,,2.066B,0.00,60.36M,484.93M,1.455B,2.000B,-1.270B,730.02M,,2.587B,2.587B,,404.08M,3.721B,5.788B,,2004-12,344.93M,460.07M,805.00M,,,,,339.26M,,339.26M,,,,176.73M,1.321B,,753.06M,,753.06M,296.15M,,296.15M,,1.354B,2.675B,,2004-12,239.02M,1.043B,,,189.57M,3.113B,,2004-12,,
2004-09,306.64M,,306.64M,931.92M,931.92M,353.25M,202.45M,233.33M,756.60M,,113.23M,,2.108B,0.00,58.99M,486.23M,1.497B,2.042B,-1.292B,750.02M,,2.403B,2.403B,,258.96M,3.412B,5.520B,,2004-09,370.14M,475.95M,846.09M,,,,,22.84M,,22.84M,,,,195.37M,1.064B,,1.000B,,1.000B,268.00M,,268.00M,,1.499B,2.564B,,2004-09,238.87M,1.043B,,,101.36M,2.956B,,2004-09,,
2004-06,370.70M,,370.70M,891.23M,891.23M,317.29M,195.03M,239.36M,720.48M,,101.69M,,2.084B,0.00,56.64M,465.13M,1.397B,1.918B,-1.216B,701.91M,,2.256B,2.256B,,333.71M,3.292B,5.376B,,2004-06,332.06M,492.69M,824.75M,,22.48M,,,22.48M,,22.48M,,,,189.43M,1.037B,,1.001B,,1.001B,252.95M,,252.95M,,1.481B,2.518B,,2004-06,238.83M,1.043B,,,91.18M,2.858B,,2004-06,,
2004-03,422.53M,,422.53M,801.28M,801.28M,294.99M,184.18M,217.94M,666.94M,,102.95M,,1.994B,0.00,53.21M,465.16M,1.379B,1.897B,-1.196B,701.48M,,2.177B,2.177B,,385.19M,3.264B,5.258B,,2004-03,300.96M,442.03M,743.00M,,,,,23.84M,,23.84M,,204.69M,204.69M,,971.53M,,1.006B,,1.006B,240.03M,,240.03M,,1.506B,2.478B,,2004-03,238.64M,1.040B,,,97.18M,2.780B,,2004-03,,
2003-12,370.38M,,370.38M,747.57M,747.57M,288.86M,169.13M,210.99M,639.34M,47.81M,44.55M,,1.850B,0.00,53.70M,463.60M,1.393B,1.910B,-1.193B,717.88M,,2.194B,2.194B,,372.21M,3.284B,5.134B,,2003-12,258.89M,446.81M,705.70M,,63.67M,,,63.67M,,63.67M,,,,141.43M,910.80M,,1.004B,,1.004B,233.91M,,233.91M,,1.480B,2.391B,,2003-12,238.30M,1.038B,,,119.67M,2.743B,,2003-12,,
2003-09,404.38M,,404.38M,778.10M,778.10M,298.94M,181.49M,182.29M,630.20M,205.58M,63.49M,,2.082B,0.00,52.06M,447.08M,1.379B,1.878B,-1.178B,700.11M,,1.882B,1.882B,,263.98M,2.846B,4.928B,,2003-09,262.94M,466.61M,729.56M,,,,,73.68M,,73.68M,,,,187.05M,990.29M,,1.006B,,1.006B,166.91M,,166.91M,,1.338B,2.328B,,2003-09,237.97M,1.036B,,,30.92M,2.600B,,2003-09,,
2003-06,306.90M,,306.90M,731.15M,731.15M,302.82M,175.34M,195.94M,641.87M,46.96M,64.92M,,1.792B,,,,,1.872B,-1.164B,707.38M,,1.886B,1.886B,,217.02M,2.810B,4.602B,,2003-06,251.05M,396.62M,647.66M,,21.36M,,2.968M,24.32M,,24.32M,,,,40.29M,712.28M,,1.002B,,1.002B,163.13M,,163.13M,,1.347B,2.059B,,2003-06,237.93M,1.036B,,,28.10M,2.542B,,2003-06,,
2003-03,294.19M,0.539M,294.73M,689.64M,689.64M,298.87M,173.70M,172.58M,613.24M,44.47M,64.98M,,1.707B,,,,,1.806B,-1.110B,695.90M,,1.863B,1.863B,,215.08M,2.774B,4.481B,,2003-03,231.40M,373.46M,604.85M,,21.10M,,3.283M,24.38M,,24.38M,,,,57.16M,686.39M,,1.031B,,1.031B,149.36M,,149.36M,,1.359B,2.046B,,2003-03,237.83M,1.035B,,,-32.52M,2.435B,,2003-03,,
2002-12,293.82M,,293.82M,641.82M,641.82M,274.17M,170.27M,159.51M,573.54M,38.95M,56.55M,,1.605B,0.00,47.19M,410.87M,1.255B,1.713B,-1.037B,676.20M,,1.830B,1.830B,,325.91M,2.832B,4.437B,,2002-12,191.14M,380.77M,571.92M,,23.76M,,,23.76M,,23.76M,,,,72.51M,668.18M,,1.030B,,1.030B,136.05M,,136.05M,,1.374B,2.042B,,2002-12,237.68M,1.034B,,,-38.61M,2.395B,,2002-12,,
2002-09,174.33M,0.301M,174.63M,746.71M,746.71M,295.52M,185.60M,179.68M,629.04M,146.78M,32.91M,,1.730B,,,,,1.804B,-1.082B,722.18M,,1.847B,1.847B,,66.73M,2.636B,4.366B,,2002-09,205.24M,390.68M,595.92M,,40.94M,,3.776M,44.71M,,44.71M,,,,118.70M,759.33M,,1.030B,,1.030B,64.04M,,64.04M,,1.252B,2.011B,,2002-09,237.66M,1.034B,-89.28M,-0.179M,-89.46M,2.355B,,2002-09,,
2002-06,116.42M,0.444M,116.86M,733.97M,733.97M,292.31M,176.38M,209.02M,646.47M,105.78M,43.99M,,1.647B,,,,,1.791B,-1.055B,736.21M,,1.848B,1.848B,,84.95M,2.669B,4.316B,,2002-06,233.20M,381.86M,615.06M,,40.23M,,3.931M,44.16M,,44.16M,,,,74.08M,733.31M,,1.035B,,1.035B,60.76M,,60.76M,,1.250B,1.983B,,2002-06,237.61M,1.020B,-95.43M,-0.086M,-95.52M,2.333B,,2002-06,,
2002-03,165.65M,0.635M,166.28M,704.47M,704.47M,294.31M,177.62M,210.45M,651.49M,99.50M,47.06M,,1.669B,,,,,1.762B,-1.022B,740.35M,1.629B,188.87M,1.818B,,75.52M,2.633B,4.302B,,2002-03,207.99M,354.01M,562.00M,,173.11M,,4.193M,177.30M,,177.30M,,,,97.86M,837.15M,,1.032B,,1.032B,53.11M,,53.11M,,1.228B,2.065B,,2002-03,237.51M,1.020B,-160.51M,0.038M,-160.47M,2.237B,,2002-03,,
2001-12,175.33M,0.997M,176.33M,663.84M,663.84M,283.62M,166.29M,219.31M,639.02M,36.63M,57.53M,,1.573B,0.00,42.69M,403.91M,1.249B,1.695B,-957.04M,738.21M,1.908B,171.23M,2.079B,,233.11M,3.051B,4.624B,,2001-12,202.04M,368.96M,571.00M,,39.78M,,3.73M,43.51M,,43.51M,,,,169.39M,783.90M,,1.032B,,1.032B,110.50M,,110.50M,,1.321B,2.105B,,2001-12,237.30M,1.019B,-150.00M,0.273M,-149.72M,2.519B,,2001-12,,
2001-09,221.78M,0.521M,222.30M,762.88M,762.88M,295.49M,206.69M,275.43M,744.50M,104.74M,,,1.834B,,,,,1.752B,-977.30M,775.06M,1.905B,245.70M,2.151B,,68.10M,2.994B,4.828B,,2001-09,224.34M,471.31M,695.64M,,212.22M,,9.118M,221.34M,,221.34M,,,,119.40M,1.036B,,1.039B,,1.039B,80.74M,,80.74M,,1.251B,2.287B,,2001-09,237.14M,1.019B,-129.59M,-0.036M,-129.62M,2.541B,,2001-09,,
2001-06,360.03M,1.18M,361.21M,769.30M,769.30M,310.57M,217.24M,289.49M,784.44M,106.89M,,,2.022B,,,,,1.705B,-935.77M,769.21M,,2.111B,2.111B,,101.95M,2.982B,5.004B,,2001-06,213.39M,463.43M,676.82M,,387.78M,,3.218M,391.00M,,391.00M,,,,151.45M,1.219B,,1.033B,,1.033B,67.36M,,67.36M,,1.232B,2.451B,,2001-06,237.13M,996.67M,-165.00M,0.392M,-164.61M,2.553B,,2001-06,,
2001-03,169.77M,1.812M,171.58M,864.05M,864.05M,315.30M,220.54M,293.89M,794.06M,109.99M,,,1.940B,,,,,1.745B,-957.24M,787.46M,,2.098B,2.098B,,93.85M,2.979B,4.919B,,2001-03,252.10M,413.61M,665.71M,,502.48M,,2.471M,504.95M,,504.95M,,,,72.97M,1.244B,,1.033B,,1.033B,64.34M,,64.34M,,1.218B,2.461B,,2001-03,237.11M,989.73M,-148.48M,0.835M,-147.65M,2.458B,,2001-03,,
2000-12,180.65M,5.341M,185.99M,869.51M,869.51M,302.89M,194.68M,287.77M,750.60M,102.58M,,,1.909B,0.00,44.31M,367.56M,1.174B,1.586B,-870.64M,715.24M,1.794B,179.51M,1.973B,,296.78M,2.985B,4.894B,,2000-12,266.73M,416.73M,683.46M,,839.88M,,2.657M,842.54M,,842.54M,,,,43.54M,1.570B,,631.85M,,631.85M,67.76M,,67.76M,,882.66M,2.452B,,2000-12,236.94M,986.66M,-112.71M,3.132M,-109.58M,2.442B,,2000-12,,
2000-09,210.86M,,210.86M,,936.13M,,,,768.89M,,,96.43M,2.012B,,,,,1.601B,-893.87M,706.68M,,1.945B,1.945B,,127.20M,2.779B,4.791B,,2000-09,282.82M,,282.82M,,,,,838.55M,,838.55M,,,,547.35M,1.669B,,629.29M,,629.29M,44.53M,,44.53M,,807.40M,2.476B,,2000-09,236.80M,984.72M,-135.51M,10.54M,-124.97M,2.315B,,2000-09,,
2000-06,135.71M,,135.71M,,901.60M,,,,715.84M,,,94.84M,1.848B,,,,,1.534B,-860.52M,673.07M,,1.927B,1.927B,,114.12M,2.714B,4.562B,,2000-06,276.26M,,276.26M,,,,,795.59M,,795.59M,,,,441.26M,1.513B,,630.02M,,630.02M,64.40M,,64.40M,,814.04M,2.327B,,2000-06,236.78M,984.69M,-126.37M,27.16M,-99.22M,2.235B,,2000-06,,
2000-03,120.88M,,120.88M,,841.74M,,,,705.12M,,,92.68M,1.760B,,,,,1.499B,-847.90M,651.51M,,1.927B,1.927B,,64.16M,2.643B,4.403B,,2000-03,264.96M,,264.96M,,,,,755.21M,,755.21M,,,,450.95M,1.471B,,634.30M,,634.30M,49.17M,,49.17M,,791.07M,2.262B,,2000-03,236.70M,984.09M,-78.08M,0.046M,-78.04M,2.141B,,2000-03,,
1999-12,138.08M,,138.08M,750.92M,750.92M,,,,639.38M,,,83.18M,1.612B,,,,,1.481B,-834.36M,646.48M,,1.821B,1.821B,,53.19M,2.520B,4.132B,,1999-12,253.65M,,253.65M,,,,,297.90M,,297.90M,,,,783.32M,1.335B,,608.02M,,608.02M,42.06M,,42.06M,,758.32M,2.093B,,1999-12,236.25M,980.79M,-79.98M,0.046M,-79.94M,2.039B,,1999-12,,
1999-09,174.60M,,174.60M,,749.00M,,,,612.90M,,,81.90M,1.618B,,,,,1.389B,-792.40M,596.60M,,1.664B,1.664B,,51.10M,2.312B,3.930B,,1999-09,213.70M,,213.70M,,,,,185.20M,,185.20M,,,,796.50M,1.195B,,609.40M,,609.40M,53.30M,,53.30M,,736.80M,1.932B,,1999-09,236.20M,938.90M,-63.80M,,-63.80M,1.998B,,1999-09,,
1999-06,230.70M,,230.70M,,669.50M,,,,607.20M,,,80.30M,1.588B,,,,,1.364B,-775.90M,588.60M,,1.647B,1.647B,,32.90M,2.269B,3.856B,,1999-06,203.00M,,203.00M,,,,,104.40M,,104.40M,,,,735.40M,1.043B,,606.70M,,606.70M,54.80M,,54.80M,,727.10M,1.770B,,1999-06,,,,,,2.086B,,1999-06,,
1999-03,519.90M,,519.90M,,611.70M,,,,607.50M,,,80.20M,1.819B,,,,,1.337B,-749.70M,587.60M,,1.555B,1.555B,,32.90M,2.176B,3.995B,,1999-03,193.80M,,193.80M,,,,,111.20M,,111.20M,,,,746.20M,1.051B,,609.20M,,609.20M,56.60M,,56.60M,,727.20M,1.778B,,1999-03,,,,,,2.217B,,1999-03,,
1998-12,96.80M,,96.80M,,575.60M,,,,559.30M,,,72.80M,1.304B,,,,,1.282B,-710.50M,572.00M,,1.446B,1.446B,,304.60M,2.323B,3.627B,,1998-12,187.70M,,187.70M,,,,,433.60M,,433.60M,,,,368.40M,989.70M,,610.10M,,610.10M,50.20M,,50.20M,,726.70M,1.716B,,1998-12,235.60M,309.10M,-27.20M,0.10M,-27.10M,1.911B,,1998-12,,
1998-09,92.30M,,92.30M,,852.90M,,,,664.90M,,,67.40M,1.678B,,,,,1.409B,-775.10M,634.10M,,1.484B,1.484B,,52.50M,2.171B,3.848B,,1998-09,208.10M,,208.10M,,,,,438.80M,,438.80M,,,,551.50M,1.198B,,611.30M,,611.30M,40.10M,,40.10M,,732.50M,1.931B,,1998-09,,,,,,1.917B,,1998-09,,
1998-06,99.80M,,99.80M,,844.70M,,,,653.30M,,,65.40M,1.663B,,,,,1.371B,-747.40M,623.70M,,1.479B,1.479B,,68.80M,2.171B,3.834B,,1998-06,221.80M,,221.80M,,,,,521.10M,,521.10M,,,,509.60M,1.252B,,611.40M,,611.40M,40.80M,,40.80M,,728.00M,1.980B,,1998-06,,,,,,1.854B,,1998-06,,
1998-03,106.30M,,106.30M,,804.70M,,,,610.00M,,,89.60M,1.611B,,,,,1.311B,-724.40M,586.70M,,1.162B,1.162B,,38.80M,1.788B,3.398B,,1998-03,223.80M,,223.80M,,,,,509.40M,,509.40M,,,,515.10M,1.248B,,261.60M,,261.60M,44.60M,,44.60M,,375.50M,1.624B,,1998-03,,,,,,1.774B,,1998-03,,
1997-12,103.10M,,103.10M,,616.20M,,,,496.50M,,,81.20M,1.297B,,,,,1.130B,-607.20M,522.30M,,1.045B,1.045B,,215.90M,1.783B,3.080B,,1997-12,191.60M,,191.60M,,,,,436.10M,,436.10M,,,,377.10M,1.005B,,262.60M,,262.60M,48.30M,,48.30M,,371.80M,1.377B,,1997-12,,,,,,1.704B,,1997-12,,
