,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,872.00M,872.00M,601.00M,,1.212B,1.735B,,1.028B,,2.763B,,,386.00M,5.233B,2.381B,15.48B,,2.686B,20.55B,-4.544B,16.00B,,364.00M,364.00M,,,,,1.754B,18.12B,23.35B,,1.164B,44.00M,163.00M,,1.371B,136.00M,1.507B,,,67.00M,,67.00M,,78.00M,78.00M,1.221B,3.158B,,7.284B,,7.284B,2.339B,2.339B,,,,1.328B,,3.471B,13.09B,16.25B,,3.758B,-8.267B,13.99B,3.402B,3.707B,-305.00M,5.773B,,AOR,Restated
2008-09,1.202B,1.202B,1.663B,,1.663B,1.323B,271.00M,926.00M,910.00M,3.43B,,,153.00M,6.448B,,,,,30.81B,-4.327B,26.48B,6.048B,447.00M,6.495B,,,,,2.581B,35.56B,42.01B,,2.739B,,,,2.739B,261.00M,3.00B,,,23.00M,,23.00M,,,,517.00M,3.54B,,7.186B,,7.186B,6.757B,6.757B,,,,1.429B,,3.067B,17.01B,20.55B,,4.025B,5.666B,13.70B,3.402B,3.975B,41.00M,20.03B,,,
2008-06,1.648B,1.648B,1.964B,247.00M,2.211B,232.00M,326.00M,822.00M,1.851B,3.231B,81.00M,,,7.171B,,,,,30.46B,-4.327B,26.13B,6.048B,448.00M,6.496B,,,,,2.552B,35.18B,42.35B,,2.405B,,,,2.405B,288.00M,2.693B,,,31.00M,,31.00M,,,,460.00M,3.184B,,7.333B,,7.333B,6.986B,6.986B,,,,1.616B,,3.057B,17.38B,20.56B,,4.025B,5.332B,13.68B,2.902B,3.975B,42.00M,20.17B,,,Restated
2008-03,1.831B,1.831B,2.13B,,2.13B,171.00M,314.00M,811.00M,,2.187B,97.00M,,773.00M,7.018B,,,,,30.14B,-4.327B,25.81B,6.048B,464.00M,6.512B,,,,,2.484B,34.81B,41.83B,,2.242B,,,,2.242B,640.00M,2.882B,,,36.00M,,36.00M,,,,438.00M,3.356B,,7.535B,,7.535B,7.135B,7.135B,,,,1.51B,,2.986B,17.66B,21.01B,,4.025B,4.554B,13.55B,2.868B,3.975B,43.00M,19.31B,,,Restated
2007-12,1.626B,1.626B,1.228B,,1.295B,1.525B,,1.36B,,2.885B,97.00M,,,5.903B,2.30B,26.54B,,1.197B,30.04B,-4.327B,25.72B,6.105B,472.00M,6.577B,,,,,2.466B,34.76B,40.66B,,1.195B,212.00M,420.00M,,1.827B,262.00M,2.089B,,,31.00M,,31.00M,,171.00M,171.00M,1.192B,3.869B,,7.18B,,7.18B,7.30B,7.30B,,,,1.239B,,2.839B,17.32B,21.19B,,4.025B,3.601B,13.41B,2.841B,3.975B,42.00M,18.23B,,,Restated
2007-09,2.377B,2.377B,2.165B,,2.165B,,,,,2.135B,152.00M,,1.845B,8.674B,,,,,27.14B,-3.121B,24.02B,6.332B,,6.332B,,,,,2.363B,32.72B,41.39B,,2.814B,,,,2.814B,815.00M,3.629B,,,67.00M,,67.00M,,,,1.107B,4.803B,,8.665B,,8.665B,6.816B,6.816B,,,,1.699B,,1.492B,16.97B,21.78B,,4.025B,3.355B,13.36B,2.824B,3.975B,-1.00M,17.91B,,,
2007-06,2.078B,2.078B,2.455B,,2.455B,,,,,2.387B,215.00M,,320.00M,7.455B,,,,,27.42B,-3.121B,24.30B,6.992B,,6.992B,,,,,1.885B,33.18B,40.63B,,2.647B,,,,2.647B,629.00M,3.276B,,,152.00M,,152.00M,,,,592.00M,4.02B,,9.637B,,9.637B,6.856B,6.856B,,,,1.524B,,1.23B,17.72B,21.74B,,4.025B,2.818B,13.33B,2.823B,3.975B,16.00M,17.37B,,,
2007-03,3.126B,3.126B,2.254B,,2.254B,,,,,2.591B,241.70M,,340.40M,8.554B,,,,,26.85B,-3.121B,23.73B,7.379B,,7.379B,,,,,1.771B,32.88B,41.43B,,2.642B,,,,2.642B,785.10M,3.427B,,,199.20M,,199.20M,,,,,3.626B,,11.84B,,11.84B,6.993B,6.993B,,,,1.474B,,1.206B,20.04B,23.66B,,4.024B,1.834B,13.27B,2.823B,3.975B,-3.00M,16.30B,,,
2006-12,907.00M,907.00M,486.00M,,486.00M,,,,,724.00M,34.00M,,,2.151B,,,,,6.22B,-3.121B,3.099B,,,,,,,,140.00M,3.239B,5.39B,,789.00M,,,,789.00M,164.00M,953.00M,,,19.00M,,19.00M,,,,1.00M,973.00M,,661.00M,,661.00M,800.00M,800.00M,,,,213.00M,,298.00M,1.759B,2.732B,,1.131B,1.415B,2.668B,2.749B,1.10B,-20.00M,2.445B,,,
2006-09,698.89M,698.89M,551.37M,,551.37M,227.21M,183.09M,7.782M,333.45M,751.53M,31.17M,,,2.033B,,,,,6.114B,-3.001B,3.113B,,,,,,,,134.81M,3.247B,5.280B,,601.40M,,,,601.40M,180.46M,781.86M,,,72.58M,,72.58M,41.76M,41.76M,,30.42M,926.62M,,701.94M,,701.94M,803.70M,803.70M,,,,208.65M,,247.24M,1.753B,2.679B,,1.131B,1.346B,2.661B,2.749B,1.10B,3.224M,2.392B,,,
2006-06,357.75M,357.75M,685.28M,,685.28M,276.41M,197.89M,4.602M,312.03M,790.94M,18.53M,,,1.853B,,,,,6.106B,-3.001B,3.105B,,,,,,,,152.23M,3.257B,5.110B,,581.02M,,,,581.02M,124.39M,705.41M,,,89.68M,,89.68M,56.90M,56.90M,,26.25M,878.25M,,982.17M,,982.17M,852.21M,852.21M,,,,218.85M,,236.71M,2.071B,2.949B,,1.130B,1.202B,2.358B,2.749B,1.10B,0.199M,1.941B,,,
2006-03,284.07M,284.07M,616.09M,,616.09M,290.15M,184.73M,137.65M,,612.52M,13.99M,,,1.527B,,,,,6.097B,-3.001B,3.096B,,,,,,,,173.74M,3.270B,4.796B,,433.73M,,,,433.73M,69.21M,502.94M,,,90.08M,,90.08M,32.75M,32.75M,,33.02M,658.78M,,1.011B,,1.011B,831.11M,831.11M,,,,215.60M,,217.23M,2.060B,2.718B,,1.130B,1.035B,2.304B,2.619B,1.10B,11.99M,1.862B,,,
2005-12,764.00M,764.00M,688.00M,,688.00M,152.00M,145.00M,3.00M,265.00M,565.00M,6.00M,,-1.00M,2.022B,1.50B,3.001B,1.518B,71.00M,6.09B,-3.001B,3.089B,,,,,,,,439.00M,3.528B,5.55B,,574.00M,,,,574.00M,359.00M,933.00M,,,253.00M,,253.00M,57.00M,57.00M,,126.00M,1.369B,,1.003B,,1.003B,902.00M,902.00M,,,,223.00M,,210.00M,2.115B,3.484B,,1.13B,1.086B,2.212B,2.596B,1.10B,11.00M,1.843B,,,
2005-09,392.84M,392.84M,418.69M,,418.69M,,,,,450.03M,13.13M,0.50M,,1.275B,,,,,5.889B,-2.769B,3.120B,,,,,,,,482.28M,3.603B,4.878B,,440.23M,,,,440.23M,176.28M,616.50M,,,195.58M,,195.58M,57.57M,57.57M,,68.29M,937.95M,,1.191B,,1.191B,909.14M,909.14M,,,,187.98M,,204.18M,2.304B,3.242B,,1.129B,762.82M,2.091B,2.542B,1.10B,7.181M,1.448B,,,
2005-06,585.43M,585.43M,302.18M,,302.18M,,,,,435.25M,9.975M,0.50M,,1.333B,,,,,5.915B,-2.769B,3.146B,,,,,,,,478.86M,3.625B,4.958B,,346.86M,,,,346.86M,157.15M,504.01M,,,193.71M,,193.71M,52.98M,52.98M,,59.89M,810.58M,,1.588B,,1.588B,938.21M,938.21M,,,,196.13M,,203.95M,2.731B,3.541B,,1.129B,730.53M,1.886B,2.534B,1.10B,9.588M,1.221B,,,
2005-03,310.54M,310.54M,396.05M,,396.05M,223.28M,100.89M,5.339M,117.09M,446.60M,14.32M,0.50M,,1.168B,,,,,5.936B,-2.769B,3.167B,,,,,,,,454.94M,3.622B,4.790B,,344.39M,,,,344.39M,106.14M,450.53M,,,192.38M,,192.38M,39.31M,39.31M,,62.72M,744.93M,,1.577B,,1.577B,903.68M,903.68M,,,,193.46M,,200.49M,2.681B,3.426B,,,600.33M,,,,570.28M,1.171B,,,
2004-12,551.45M,551.45M,354.75M,80.31M,435.06M,213.45M,,253.26M,,466.71M,6.223M,0.50M,,1.460B,1.441B,2.959B,1.496B,72.52M,5.968B,-2.769B,3.199B,,,,,,,,427.76M,3.627B,5.087B,,386.59M,,,,386.59M,139.51M,526.10M,,,78.21M,,78.21M,33.02M,33.02M,,60.22M,697.56M,,1.874B,,1.874B,932.42M,932.42M,,,,219.45M,,200.23M,3.006B,3.704B,,1.128B,604.68M,1.853B,2.434B,1.10B,11.34M,1.164B,,,
2004-09,314.11M,314.11M,256.86M,,256.86M,326.97M,94.76M,15.41M,,437.14M,77.58M,,,1.086B,,,,,5.860B,-2.594B,3.266B,,,,,,,,431.62M,3.697B,4.783B,,364.24M,,,,364.24M,25.68M,389.91M,,,75.12M,,75.12M,31.93M,31.93M,,10.44M,507.40M,,1.939B,,1.939B,949.46M,949.46M,,,,190.74M,,159.74M,3.048B,3.556B,,26.00M,591.20M,1.785B,1.374B,,8.668M,1.037B,,,
2004-06,299.75M,299.75M,240.89M,,240.89M,,,,,417.15M,73.15M,2.756M,,1.034B,,,,,5.880B,-2.594B,3.286B,,,,,,,,405.94M,3.692B,4.726B,,262.08M,,,,262.08M,51.63M,313.70M,,,76.94M,,76.94M,35.26M,35.26M,,11.89M,437.79M,,2.034B,,2.034B,954.67M,954.67M,,,,190.63M,,160.03M,3.149B,3.587B,,,,,,,948.36M,948.36M,,,
2004-03,533.53M,533.53M,222.19M,,222.19M,,,,,454.94M,66.36M,2.743M,,1.280B,,,,,5.876B,-2.594B,3.281B,,,,,,,,388.43M,3.670B,4.950B,,296.57M,,,,296.57M,24.45M,321.02M,,,87.67M,,87.67M,19.29M,19.29M,,2.383M,430.36M,,2.108B,,2.108B,934.38M,934.38M,,,,185.94M,,157.80M,3.200B,3.631B,,,,,,,1.133B,1.133B,,,
2003-12,463.65M,463.65M,196.44M,,196.44M,226.10M,,170.92M,,397.03M,8.05M,34.96M,,1.100B,2.871B,2.841B,,144.16M,5.856B,-2.594B,3.262B,,,,,,,,356.54M,3.618B,4.718B,,311.95M,,,,311.95M,92.41M,404.36M,,,152.40M,,152.40M,35.34M,35.34M,,39.69M,631.78M,,2.076B,,2.076B,885.25M,885.25M,,,,187.56M,,161.86M,3.123B,3.755B,,26.00M,646.93M,1.468B,1.374B,,8.668M,775.98M,,,
2003-09,528.59M,528.59M,280.90M,,280.90M,,,,,381.07M,10.36M,34.58M,,1.236B,,,,,5.618B,-2.375B,3.243B,,,,,,,,316.20M,3.559B,4.794B,,281.41M,,,,281.41M,130.22M,411.63M,,,175.55M,,175.55M,47.49M,47.49M,,44.44M,679.11M,,2.153B,,2.153B,853.53M,853.53M,,,,179.50M,,151.71M,3.158B,3.837B,,,,,,,777.97M,777.97M,,,
2003-06,740.36M,740.36M,242.96M,,242.96M,,,,,380.61M,9.37M,60.81M,,1.434B,,,,,5.631B,-2.375B,3.256B,,,,,,,,259.30M,3.515B,4.950B,,254.33M,,,,254.33M,140.97M,395.30M,,,144.20M,,144.20M,35.57M,35.57M,,54.04M,629.11M,,2.428B,,2.428B,751.33M,751.33M,,,,154.90M,450.00M,150.78M,3.780B,4.410B,,,641.06M,,,,-255.93M,385.13M,,,
2003-03,762.70M,762.70M,211.34M,,211.34M,,,,,384.75M,9.777M,60.81M,,1.429B,,,,,5.667B,-2.375B,3.292B,,,,,,,,247.51M,3.540B,4.969B,,233.04M,,,,233.04M,85.45M,318.49M,,,122.72M,,122.72M,25.13M,25.13M,,52.25M,518.60M,,2.665B,,2.665B,731.77M,731.77M,,,,141.28M,450.00M,141.12M,3.988B,4.507B,,,583.68M,,,,-262.83M,320.86M,,,
2002-12,7.836M,7.836M,190.51M,,190.51M,247.38M,,139.87M,,387.25M,2.579M,49.81M,,637.98M,2.819B,2.771B,,105.26M,5.696B,-2.375B,3.321B,,,,,,,,233.65M,3.554B,4.192B,,262.31M,,,,262.31M,110.40M,372.71M,,,77.11M,,77.11M,36.75M,36.75M,,51.30M,537.87M,,1.961B,,1.961B,706.51M,706.51M,,,,129.69M,450.00M,140.02M,3.258B,3.796B,,372.00M,534.45M,687.83M,1.338B,349.99M,10.96M,266.83M,,,
2002-09,38.03M,38.03M,165.96M,,165.96M,,,,,392.36M,4.753M,49.81M,,650.90M,,,,,5.464B,-2.123B,3.341B,,,,,,,,213.28M,3.554B,4.205B,,250.25M,,,,250.25M,72.86M,323.11M,,,151.84M,,151.84M,36.50M,36.50M,,71.13M,582.57M,,2.053B,,2.053B,689.83M,689.83M,,,,116.49M,450.00M,113.56M,3.306B,3.889B,,,,,,,199.54M,199.54M,,,
2002-06,8.663M,8.663M,146.64M,,146.64M,,,,,388.13M,5.993M,49.81M,,599.23M,,,,,5.480B,-2.123B,3.357B,,,,,,,,236.42M,3.593B,4.192B,,268.89M,,,,268.89M,39.49M,308.38M,,,139.70M,,139.70M,,,,123.85M,571.93M,,2.117B,,2.117B,680.78M,680.78M,,,,105.16M,462.50M,114.78M,3.375B,3.947B,,,,,,,140.52M,140.52M,,,
2002-03,9.371M,9.371M,144.61M,,144.61M,,,,,352.20M,5.35M,49.81M,,561.34M,,,,,5.507B,-2.123B,3.384B,,,,,,,,232.90M,3.617B,4.178B,,272.19M,,,,272.19M,,272.19M,,,138.77M,,138.77M,,,,103.97M,514.93M,,2.197B,,2.197B,668.07M,668.07M,,,,99.56M,462.50M,119.21M,3.447B,3.962B,,,,,,,116.69M,116.69M,,,
2001-12,7.587M,7.587M,103.24M,15.38M,118.61M,236.37M,,132.82M,,369.19M,3.075M,49.81M,,548.27M,1.228B,2.226B,1.882B,244.24M,5.580B,-2.123B,3.457B,,,,,,,,206.38M,3.664B,4.212B,,307.53M,,,,307.53M,48.41M,355.94M,,,205.42M,,205.42M,33.42M,33.42M,,33.65M,628.43M,,2.133B,,2.133B,671.02M,671.02M,,,,92.96M,462.50M,119.40M,3.386B,4.015B,,371.88M,407.40M,660.33M,1.334B,349.99M,-1.184M,104.44M,,,
2001-09,32.87M,32.87M,118.57M,,118.57M,,,,,375.88M,3.928M,49.81M,,581.07M,,,,,5.085B,-1.879B,3.206B,,,,,,,,248.22M,3.455B,4.036B,,334.33M,,,,334.33M,31.07M,365.40M,,,112.99M,,112.99M,,,,121.57M,599.96M,,1.957B,,1.957B,651.03M,651.03M,,,,138.19M,,118.16M,2.726B,3.326B,,462.50M,,,,462.50M,109.04M,571.54M,,,
2001-06,14.95M,14.95M,174.07M,,174.07M,,,,,383.98M,4.55M,,,577.55M,,,,,5.095B,-1.879B,3.216B,,,,,,,,134.52M,3.350B,3.928B,,307.75M,,,,307.75M,,307.75M,,,113.36M,,113.36M,,,,145.46M,566.56M,,1.900B,,1.900B,641.48M,641.48M,,,,131.54M,,120.27M,2.661B,3.228B,,475.00M,,,,475.00M,93.51M,568.52M,,,
2001-03,11.39M,11.39M,,,184.86M,,,,,403.95M,,,11.81M,612.00M,,,,,5.100B,-1.879B,3.222B,,,,,,,,131.70M,3.353B,3.965B,,281.56M,,,,281.56M,,281.56M,,,243.92M,,243.92M,,,,154.69M,680.18M,,1.892B,,1.892B,622.09M,622.09M,,,,120.60M,,114.04M,2.628B,3.308B,,475.00M,368.80M,,,475.00M,,536.19M,,,
2000-12,7.968M,7.968M,149.08M,,149.08M,,,,,400.61M,,,11.46M,569.12M,,,,,5.128B,-1.879B,3.249B,,,,,,,,132.91M,3.382B,3.951B,,313.21M,,,,313.21M,,313.21M,,,202.29M,,202.29M,,,,118.41M,633.91M,,1.988B,,1.988B,599.54M,599.54M,,,,103.80M,,112.83M,2.700B,3.334B,,846.87M,330.90M,657.24M,1.332B,825.00M,10.24M,512.94M,,,
2000-09,5.978M,5.978M,,,159.58M,,,,,395.49M,,,9.632M,570.68M,,,,,5.055B,-1.794B,3.261B,,,,,,,,149.19M,3.410B,3.981B,,400.00M,,,,400.00M,,400.00M,,,205.10M,,205.10M,,,,45.13M,650.24M,,2.067B,,2.067B,569.09M,569.09M,,,,113.72M,,92.13M,2.728B,3.378B,,475.00M,,,,475.00M,14.14M,489.15M,,,
2000-06,5.861M,5.861M,,,108.57M,,,,,387.34M,,,32.22M,534.00M,,,,,4.903B,-1.606B,3.297B,,,,,,,,153.24M,3.451B,3.985B,,345.94M,,,,345.94M,,345.94M,,,205.15M,,205.15M,,,,61.74M,612.83M,,2.013B,,2.013B,564.71M,564.71M,,,,147.57M,,97.17M,2.675B,3.288B,,487.51M,,,,487.51M,61.58M,549.08M,,,
2000-03,5.24M,5.24M,,,148.68M,,,,,370.26M,,,15.00M,539.18M,,,,,4.994B,-1.668B,3.325B,,,,,,,,159.85M,3.485B,4.024B,,382.32M,,,,382.32M,,382.32M,,,105.53M,,105.53M,,,,4.127M,491.97M,,2.038B,,2.038B,571.51M,571.51M,,,,188.29M,,98.58M,2.708B,3.200B,,487.51M,,,,487.51M,,636.25M,,,
1999-12,6.70M,6.70M,,,172.70M,,,,,368.10M,,,17.00M,564.50M,,,,,4.969B,-1.606B,3.363B,,,,,,,,155.10M,3.518B,4.083B,,317.30M,,,,317.30M,,317.30M,,,114.80M,,114.80M,,,,83.00M,515.10M,,2.033B,,2.033B,553.40M,553.40M,,,,181.90M,,114.70M,2.702B,3.217B,,859.40M,291.40M,652.10M,1.129B,837.50M,10.20M,684.40M,,,
1999-09,3.40M,3.40M,,,214.40M,,,,,359.70M,,,10.70M,588.20M,,,,,4.939B,-1.552B,3.387B,,,,,,,,156.90M,3.544B,4.132B,,369.40M,,,,369.40M,,369.40M,,,162.00M,,162.00M,,,,54.90M,586.30M,,2.095B,,2.095B,520.40M,520.40M,,,,170.70M,,112.70M,2.728B,3.315B,,487.50M,251.60M,,,487.50M,,646.90M,,,
1999-06,4.60M,4.60M,,,186.90M,,,,,323.70M,,,11.20M,526.40M,,,,,4.882B,-1.481B,3.402B,,,,,,,,158.60M,3.560B,4.087B,,323.50M,,,,323.50M,,323.50M,,,145.00M,,145.00M,,,,39.60M,508.10M,,2.164B,,2.164B,506.20M,506.20M,,,,160.60M,,115.60M,2.786B,3.294B,,500.00M,244.60M,,,500.00M,,632.40M,,,
1999-03,5.40M,5.40M,,,137.00M,,,,,339.50M,,,11.30M,493.20M,,,,,4.848B,-1.41B,3.438B,,,,,,,,162.20M,3.600B,4.093B,,323.30M,,,,323.30M,,323.30M,,,125.10M,,125.10M,,,,36.00M,484.40M,,2.235B,,2.235B,490.90M,490.90M,,,,153.10M,,115.90M,2.842B,3.326B,,500.00M,204.50M,,,500.00M,,613.40M,,,
1998-12,5.90M,5.90M,,,228.50M,,,,,301.40M,,,10.10M,545.90M,,,,,4.814B,-1.339B,3.474B,,,,,,,,172.20M,3.647B,4.193B,,289.30M,,,,289.30M,,289.30M,,,127.80M,,127.80M,,,,101.40M,518.50M,,2.329B,,2.329B,471.20M,471.20M,,,,146.50M,,124.00M,2.924B,3.443B,,850.00M,190.60M,,,850.00M,,603.40M,,,
1998-09,9.90M,9.90M,,,164.50M,,,,,288.00M,,,8.80M,471.20M,,,,,4.796B,-1.271B,3.525B,,,,,,,,178.40M,3.703B,4.174B,,332.00M,,,,332.00M,,332.00M,,,146.40M,,146.40M,,,,46.70M,525.10M,,2.360B,,2.360B,442.80M,442.80M,,,,136.90M,,126.80M,2.929B,3.454B,,500.00M,195.20M,,,500.00M,,583.10M,,,
1998-06,5.20M,5.20M,,,168.60M,,,,,289.00M,,,6.40M,469.20M,,,,,4.774B,-1.209B,3.566B,,,,,,,,183.30M,3.749B,4.218B,,286.30M,,,,286.30M,,286.30M,,,95.20M,,95.20M,,,,37.10M,418.60M,,2.426B,,2.426B,432.40M,432.40M,,,,71.10M,,122.50M,2.981B,3.400B,,500.00M,154.90M,,,500.00M,,747.20M,,,
1998-03,11.90M,11.90M,,,164.00M,,,,,315.20M,,,7.90M,499.00M,,,,,4.69B,-1.148B,3.542B,,,,,,,,180.50M,3.722B,4.221B,,360.50M,,,,360.50M,,360.50M,,,105.20M,,105.20M,,,,37.70M,503.40M,,2.366B,,2.366B,417.50M,417.50M,,,,65.60M,,122.40M,2.906B,3.409B,,500.00M,122.40M,,,500.00M,,746.90M,,,
1997-12,9.00M,9.00M,,,129.60M,,,,,314.80M,,,9.70M,463.10M,,,,,4.613B,-1.091B,3.522B,,,,,,,,167.40M,3.689B,4.152B,,261.90M,,,,261.90M,,261.90M,,,80.90M,,80.90M,,,,132.90M,475.70M,,2.308B,,2.308B,403.00M,403.00M,,,,60.50M,,126.00M,2.837B,3.313B,,850.00M,107.70M,,,850.00M,,778.90M,,,
1997-09,11.80M,11.80M,,,204.80M,,,,,342.50M,,,12.50M,571.60M,,,,,4.286B,-888.70M,3.397B,,,,,,,,170.90M,3.568B,4.140B,,395.10M,,,,395.10M,,395.10M,,,116.10M,,116.10M,,,,60.90M,572.10M,,1.998B,,1.998B,393.00M,393.00M,,,,74.30M,,139.10M,2.530B,3.102B,,500.00M,103.90M,,,500.00M,,962.90M,,,
1997-06,23.60M,23.60M,,,238.10M,,,,,391.40M,,,8.60M,661.70M,,,,,4.178B,-888.70M,3.289B,,,,,,,,154.70M,3.444B,4.106B,,401.00M,,,,401.00M,,401.00M,,,117.90M,,117.90M,,,,57.40M,576.30M,,1.794B,,1.794B,392.80M,392.80M,,,,74.40M,,149.40M,2.336B,2.913B,,500.00M,100.50M,,,500.00M,,1.119B,,,
1997-03,25.10M,25.10M,,,270.30M,,,,,350.20M,,,12.40M,658.00M,,,,,4.096B,-888.70M,3.207B,,,,,,,,131.00M,3.338B,3.996B,,394.90M,,,,394.90M,,394.90M,,,122.80M,,122.80M,,,,44.70M,562.40M,,1.663B,,1.663B,369.60M,369.60M,,,,67.50M,,191.70M,2.225B,2.787B,,500.00M,149.30M,,,500.00M,,1.142B,,,
1996-12,37.10M,37.10M,,,236.80M,,,,,375.70M,,,11.60M,661.20M,,,,,3.977B,-888.70M,3.089B,,,,,,,,115.70M,3.204B,3.866B,,358.30M,,,,358.30M,,358.30M,,,136.60M,,136.60M,,,,103.00M,597.90M,,1.426B,,1.426B,359.70M,359.70M,,,,105.60M,,200.60M,1.987B,2.584B,,850.00M,77.50M,,,850.00M,,1.175B,,,
1996-09,49.00M,49.00M,,,235.70M,,,,,408.60M,,,19.70M,713.00M,,,,,3.687B,-721.20M,2.965B,,,,,,,,104.00M,3.069B,3.782B,,314.50M,,,,314.50M,,314.50M,,,107.90M,,107.90M,,,,64.80M,487.20M,,1.493B,,1.493B,335.30M,335.30M,,,,97.20M,,224.40M,2.053B,2.540B,,500.00M,176.20M,,,500.00M,,1.145B,,,
1996-06,45.00M,45.00M,,,189.60M,,,,,386.30M,,,14.60M,635.50M,,,,,3.611B,-721.20M,2.890B,,,,,,,,98.60M,2.988B,3.624B,,326.90M,,,,326.90M,,326.90M,,,111.30M,,111.30M,,,,41.90M,480.10M,,1.361B,,1.361B,320.30M,320.30M,,,,94.90M,,161.60M,1.843B,2.323B,,500.00M,23.40M,,,500.00M,,1.206B,,,
1996-03,19.80M,19.80M,,,264.20M,,,,,393.80M,,,8.20M,686.00M,,,,,3.584B,-721.20M,2.863B,,,,,,,,90.60M,2.953B,3.639B,,343.70M,,,,343.70M,,343.70M,,,109.10M,,109.10M,,,,29.40M,482.20M,,1.328B,,1.328B,315.50M,315.50M,,,,100.50M,,190.20M,1.834B,2.316B,,500.00M,48.70M,,,500.00M,,1.222B,,,
1995-12,26.90M,26.90M,,,256.10M,,,,,354.80M,,,15.50M,653.30M,,,,,3.567B,-721.20M,2.846B,,,,,,,,82.80M,2.928B,3.582B,,351.50M,,,,351.50M,,351.50M,,,86.90M,,86.90M,,,,88.40M,526.80M,,1.080B,,1.080B,305.50M,305.50M,,,,101.20M,,186.20M,1.572B,2.099B,,1.074B,78.60M,,,1.074B,,1.382B,,,
1995-09,33.50M,33.50M,,,225.60M,,,,,383.60M,,,20.20M,662.90M,,,,,3.388B,-620.80M,2.768B,,,,,,,,81.70M,2.849B,3.512B,,408.70M,,,,408.70M,,408.70M,,,84.40M,,84.40M,,,,,493.10M,,975.60M,,975.60M,329.10M,329.10M,,,,94.20M,,176.00M,1.481B,1.974B,,500.00M,,,,500.00M,,1.444B,,,
1995-06,31.20M,31.20M,,,252.90M,,,,,340.30M,,,12.10M,636.50M,,,,,3.293B,-620.80M,2.672B,,,,,,,,79.70M,2.752B,3.389B,,443.60M,,,,443.60M,,443.60M,,,44.70M,,44.70M,,,,,488.30M,,831.10M,,831.10M,321.00M,321.00M,,,,93.70M,,177.60M,1.330B,1.818B,,500.00M,,,,500.00M,,1.477B,,,
1995-03,34.30M,34.30M,,,210.00M,,,,,343.20M,,,12.20M,599.70M,,,,,3.132B,-620.80M,2.511B,,,,,,,,80.70M,2.592B,3.191B,,408.40M,,,,408.40M,,408.40M,,,34.60M,,34.60M,,,,,443.00M,,640.40M,,640.40M,306.40M,306.40M,,,,88.60M,,202.60M,1.149B,1.592B,,500.00M,,,,500.00M,,1.510B,,,
1994-12,44.30M,44.30M,,,234.20M,,,,,314.00M,,,10.90M,603.40M,,,,,2.886B,-525.60M,2.360B,,,,,,,,76.30M,2.437B,3.040B,,401.80M,,,,401.80M,,401.80M,,,24.10M,,24.10M,,,,5.70M,431.60M,,525.60M,,525.60M,292.60M,292.60M,,,,82.40M,,213.00M,1.031B,1.463B,,1.074B,41.90M,,,1.074B,,1.495B,,,
1994-09,22.60M,22.60M,,,186.40M,,,,,275.00M,,,15.80M,499.80M,,,,,2.750B,-525.60M,2.224B,,,,,,,,48.10M,2.272B,2.772B,,339.30M,,,,339.30M,,339.30M,,,102.00M,,102.00M,,,,,441.30M,,313.70M,,313.70M,244.10M,244.10M,,,,74.20M,,213.40M,771.20M,1.212B,,500.00M,29.40M,,,500.00M,,1.485B,,,
1994-06,22.00M,22.00M,,,169.30M,,,,,275.70M,,,22.80M,489.80M,,,,,2.566B,-525.60M,2.041B,,,,,,,,51.90M,2.093B,2.583B,,334.90M,,,,334.90M,,334.90M,,,66.90M,,66.90M,,,,,401.80M,,275.20M,,275.20M,231.30M,231.30M,,,,56.30M,,210.40M,716.90M,1.119B,,400.00M,29.40M,,,400.00M,,1.408B,,,
