,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,190.37M,,,,,6.59M,111.08M,4.01M,58.17M,58.17M,17.35M,,,,88.50M,6.158M,4.495M,64.93M,,21.71M,,185.80M,458.27M,,-33.04M,,-33.04M,,,-1.931M,2.147M,-32.83M,,,13.19M,0.505M,-290.14M,-289.63M,,,,,125.87M,,0.013M,-150.55M,,310.54M,274.89M,585.43M,,0.505M,,,-290.14M,,,
2005-03,145.52M,,,,,-4.997M,,,56.93M,56.93M,-12.02M,,,,34.77M,19.00M,-6.901M,-73.03M,,2.966M,,-23.19M,162.24M,,-26.25M,,-26.25M,,,1.931M,,-24.32M,,,-182.82M,1.511M,-0.215M,1.296M,,,,,-197.30M,,-0.013M,-378.83M,,551.45M,-240.91M,310.54M,,1.511M,,,-0.215M,,,
2004-12,227.63M,,,,,22.60M,82.65M,1.992M,84.64M,84.64M,0.146M,,,,-175.48M,-31.86M,77.60M,62.39M,,136.57M,,69.22M,404.24M,,-32.59M,,7.292M,,,0.00,5.801M,13.09M,,,-62.63M,-2.569M,1.552M,-1.017M,,,,,-114.78M,,-1.569M,-179.99M,,314.11M,237.34M,551.45M,,-2.569M,,,1.552M,,,
2004-09,32.26M,,,,,-15.97M,55.76M,2.049M,57.80M,57.80M,6.543M,,,,-12.33M,-26.87M,20.47M,63.68M,,0.492M,,45.44M,126.07M,,-33.57M,,-33.57M,,,2.458M,-0.244M,-31.35M,,,-19.74M,1.735M,-14.12M,-12.38M,,,,,-50.12M,,1.886M,-80.36M,,299.75M,14.36M,314.11M,,1.735M,,,-14.12M,,,
2004-06,-38.24M,,,,,-6.076M,42.59M,2.171M,44.76M,44.76M,19.21M,,,,-20.66M,32.08M,-8.904M,7.111M,,7.257M,,16.89M,36.55M,,-40.50M,,-40.50M,,,-10.38M,9.781M,-41.10M,,,-88.53M,1.776M,-99.51M,-97.73M,,,,,-41.56M,,-1.414M,-229.23M,,533.53M,-233.78M,299.75M,,1.776M,,,-99.51M,,,
2004-03,-19.38M,,,,,-21.92M,25.41M,2.289M,27.70M,27.70M,50.35M,,,,-27.29M,-65.09M,-54.86M,-35.40M,,-79.61M,,-262.25M,-225.50M,,-34.34M,,-34.34M,,,29.73M,,-4.613M,,,153.41M,1.069B,-882.95M,186.31M,,,,,-39.25M,,-0.472M,300.00M,,463.65M,69.88M,533.53M,,1.069B,,,-882.95M,,,
2003-12,2.394M,,,,,-11.44M,30.75M,2.835M,33.59M,33.59M,29.64M,,,,82.91M,-15.25M,0.127M,47.62M,,-67.30M,,48.10M,102.28M,,-42.93M,,-42.93M,,,1.781M,-0.358M,-41.51M,,,-119.76M,24.94M,-5.792M,19.14M,,,,,-23.19M,,-1.896M,-125.71M,,528.59M,-64.94M,463.65M,,24.94M,,,-5.792M,,,
2003-09,53.49M,,,,,42.06M,63.98M,3.79M,67.77M,67.77M,43.56M,,,,-27.08M,-4.05M,-0.711M,-6.186M,,16.87M,,-21.16M,185.73M,,-34.06M,,-34.06M,,,48.20M,-68.79M,-54.66M,,,-121.57M,23.36M,-221.29M,-197.92M,,,,,-21.69M,,-1.656M,-342.84M,,740.36M,-211.77M,528.59M,,23.36M,,,-221.29M,,,
2003-06,66.94M,,,,,21.89M,68.28M,5.54M,73.82M,73.82M,19.56M,,,,-29.42M,-4.274M,1.40M,52.36M,,32.63M,,52.69M,234.91M,,-32.11M,,-32.11M,,,23.64M,-23.69M,-32.15M,,,-220.92M,18.44M,,18.44M,,,,,-22.56M,,-0.063M,-225.10M,,762.70M,-22.34M,740.36M,,18.44M,,,,,,
2003-03,58.83M,,,,,-1.946M,67.79M,4.031M,71.82M,71.82M,17.89M,,,,-18.10M,-7.035M,-6.244M,-32.91M,,-33.15M,,-97.44M,49.16M,,-30.08M,,-30.08M,,,,25.58M,-4.506M,,,721.01M,2.033M,,2.033M,,,,,-9.595M,,-3.241M,710.21M,,7.836M,754.86M,762.70M,,2.033M,,,,,,
2002-12,73.60M,,,,,18.79M,68.01M,3.027M,71.04M,71.04M,16.86M,,,,-27.16M,3.197M,2.329M,35.66M,,14.16M,,28.18M,208.47M,,-42.34M,,-42.34M,,,0.00,-8.06M,-50.40M,,,-180.32M,0.228M,0.00,0.228M,,,,,-9.398M,,1.234M,-188.26M,,38.03M,-30.19M,7.836M,,0.228M,,,0.00,,,
2002-09,70.96M,,,,,3.087M,77.08M,2.997M,80.07M,80.07M,9.249M,,,,-22.15M,-8.712M,1.236M,-22.55M,,40.23M,,-11.95M,151.42M,,-64.19M,,-64.19M,,,24.26M,-0.011M,-39.94M,,,-60.33M,0.00,6.679M,6.679M,,,,,-27.90M,,-0.573M,-82.12M,,8.663M,29.36M,38.03M,,0.00,,,6.679M,,,
2002-06,15.04M,,,,,9.721M,115.36M,6.005M,68.31M,68.31M,12.67M,,,,3.418M,-33.87M,-0.619M,17.39M,,40.04M,,26.36M,132.09M,,-49.64M,,-49.64M,,,23.68M,-23.10M,-49.06M,,,-79.47M,5.178M,-18.35M,-13.17M,,,,,9.081M,,-0.169M,-83.73M,,9.371M,-0.708M,8.663M,,5.178M,,,-18.35M,,,
2002-03,5.058M,,,,,10.64M,,,53.05M,53.05M,12.70M,,,,-24.49M,15.59M,-2.275M,-30.53M,,-19.00M,,-60.71M,20.75M,,-31.83M,,-31.83M,,,,22.95M,-8.885M,,,-2.876M,2.371M,,2.371M,,,,,-9.081M,,-0.492M,-10.08M,,7.587M,1.784M,9.371M,,2.371M,,,,,,
2001-12,7.072M,,,,,4.972M,,,66.44M,66.44M,15.92M,,,,1.403M,0.601M,0.86M,-28.17M,,-35.22M,,-60.53M,33.87M,,-48.19M,,-48.19M,,,,1.358M,-46.83M,,,16.33M,,0.00,0.00,,,,,-9.193M,,-19.46M,-12.32M,,32.87M,-25.29M,7.587M,,,,,0.00,,,
2001-09,13.43M,,,,,1.848M,,,71.00M,71.00M,9.085M,,,,58.60M,4.872M,0.634M,10.67M,,14.15M,,88.93M,184.29M,,-38.11M,,-38.11M,,,,-139.76M,-177.88M,,,34.42M,,-10.39M,-10.39M,,,,,-11.76M,,-0.763M,11.51M,,14.95M,17.93M,32.87M,,,,,-10.39M,,,
2001-06,45.42M,,,,,9.499M,,,78.32M,78.32M,19.30M,,,,9.778M,13.36M,6.861M,-3.651M,0.402M,6.035M,,32.78M,185.32M,,-41.33M,,-41.33M,,,,-0.02M,-41.35M,,,-123.39M,,0.00,0.00,,,,,-13.24M,,-3.779M,-140.41M,,11.39M,3.559M,14.95M,,,,,0.00,,,
2001-03,47.10M,,,,,6.169M,,,68.13M,68.13M,22.78M,,,,-38.03M,2.015M,,15.86M,-0.402M,-18.12M,,-38.68M,105.51M,,-39.34M,,-39.34M,,,,4.592M,-34.74M,,,-53.00M,,-3.436M,-3.436M,,,,,-9.204M,,-1.697M,-67.34M,,7.968M,3.419M,11.39M,,,,,-3.436M,,,
2000-12,67.28M,,,,,6.75M,,,88.04M,88.04M,30.45M,,,,12.86M,-9.053M,,-24.04M,-2.67M,41.48M,,18.58M,211.10M,,-50.35M,,-50.35M,,,,1.166M,-49.18M,,,-25.41M,,-41.21M,-41.21M,,,,,-43.43M,,-49.87M,-159.93M,,5.978M,1.99M,7.968M,,,,,-41.21M,,,
2000-09,0.154M,,,,,25.35M,,,77.82M,77.82M,5.132M,,,,-54.45M,-14.28M,,13.61M,8.955M,14.38M,,-31.78M,76.69M,,-35.08M,,-35.08M,,,,6.455M,-28.62M,,,9.872M,,-48.27M,-48.27M,,,,,-41.24M,,31.69M,-47.94M,,5.861M,0.117M,5.978M,,,,,-48.27M,,,
2000-06,-9.176M,,,,,19.74M,,,54.33M,54.33M,-6.799M,,,,38.53M,-13.00M,,17.16M,-2.747M,-15.38M,,24.56M,82.65M,,-33.38M,,-33.38M,,,,-6.442M,-39.82M,,,62.58M,,-61.71M,-61.71M,,,,,-5.526M,,-37.56M,-42.21M,,5.24M,0.621M,5.861M,,,,,-61.71M,,,
2000-03,18.73M,,,,,13.27M,,,63.36M,63.36M,20.37M,,,,21.01M,-3.296M,,51.10M,1.869M,-40.84M,,29.85M,145.58M,,-57.87M,,-57.87M,,,,-5.717M,-63.58M,,,-4.524M,,-60.65M,-60.65M,,,,,-13.45M,,-4.827M,-83.45M,,6.698M,-1.458M,5.24M,,,,,-60.65M,,,
1999-12,46.90M,,,,,30.00M,,,76.00M,76.00M,10.90M,,,0.20M,36.10M,-13.70M,,-11.60M,-6.20M,12.50M,,17.10M,181.10M,,-58.20M,,-58.20M,,,,5.00M,-53.20M,,,-107.80M,,0.00,0.00,,,,,-11.90M,,-4.80M,-124.50M,,3.40M,3.40M,6.70M,,,,,0.00,,,
1999-09,35.60M,,,,,14.00M,,,74.10M,74.10M,14.10M,,,,-26.60M,-19.00M,,1.10M,0.50M,15.30M,,-28.70M,109.10M,,-26.00M,,-26.00M,,,,-3.40M,-29.40M,,,-51.70M,,-11.90M,-11.90M,,,,,-13.20M,,-4.10M,-80.90M,,4.60M,-1.20M,3.40M,,,,,-11.90M,,,
1999-06,27.60M,,,,,20.70M,,,72.40M,72.40M,15.40M,,,-0.10M,-50.30M,16.50M,,17.20M,0.10M,3.70M,,-12.80M,123.20M,,-41.60M,,-41.60M,,,,-0.80M,-42.40M,,,-62.80M,,-0.10M,-0.10M,,,,,-14.00M,,-4.70M,-81.60M,,0.00,-0.80M,4.60M,,,,,-0.10M,,,
1999-03,26.40M,,,,,25.50M,,,70.70M,70.70M,19.70M,,,0.10M,82.90M,-36.70M,,-22.20M,-1.20M,-9.80M,,13.00M,155.40M,,-35.00M,,-35.00M,,,,,-35.00M,,,-96.00M,,-7.80M,-7.80M,,,,,-12.60M,,-4.50M,-120.90M,,5.90M,-0.50M,0.00,,,,,-7.80M,,,
1998-12,50.80M,,,,,19.40M,,,80.00M,80.00M,28.50M,,,0.10M,-60.20M,-13.80M,,17.70M,-1.40M,-0.90M,,-58.60M,120.20M,,-31.30M,,-31.30M,,,,3.10M,-28.20M,,,-49.20M,,-21.70M,-21.70M,,,,,-21.00M,,-4.10M,-96.00M,,0.00,-4.00M,5.90M,,,,,-21.70M,,,
1998-09,32.60M,,,,,26.50M,,,75.10M,75.10M,9.40M,,,0.10M,7.50M,2.90M,,17.50M,-2.50M,9.40M,,34.80M,178.50M,,-41.40M,,-41.40M,,,,1.90M,-39.50M,,,61.40M,,-170.60M,-170.60M,,,,,-20.80M,,-4.30M,-134.30M,,0.00,4.70M,0.00,,,,,-170.60M,,,
1998-06,34.80M,,,,,7.10M,,,64.00M,64.00M,9.80M,,,-0.10M,-18.40M,17.40M,,-30.50M,1.70M,3.20M,,-26.60M,89.00M,,-122.40M,,-122.40M,,,,2.60M,-119.80M,,,66.50M,,-17.40M,-17.40M,,,,,-21.00M,,-4.00M,24.10M,,0.00,-6.70M,0.00,,,,,-17.40M,,,
1998-03,35.60M,,,,,-2.20M,,,58.30M,58.30M,14.50M,,,,-32.90M,-0.20M,,12.00M,1.70M,4.30M,,-15.10M,91.10M,,-97.00M,,-97.00M,,,,-2.60M,-99.60M,,,86.20M,,-49.50M,-49.50M,,,,,-20.90M,,-4.40M,11.40M,,9.00M,2.90M,0.00,,,,,-49.50M,,,
1997-12,48.60M,,,,,-24.00M,,,53.30M,53.30M,14.50M,,,-0.10M,68.00M,29.90M,,-32.70M,2.70M,-32.30M,,35.60M,127.90M,,-162.90M,,-162.90M,,,,16.80M,-146.10M,,,263.10M,,-187.50M,-187.50M,,,,,-87.20M,,27.00M,15.40M,,0.00,-2.80M,8.90M,,,,,-187.50M,,,
1997-09,45.60M,,,,,-9.40M,,,58.70M,58.70M,-2.80M,,,0.30M,41.60M,45.90M,,-1.40M,-3.80M,6.40M,,88.70M,181.10M,,-169.40M,,-169.40M,,,,-7.30M,-176.70M,,,224.80M,,-148.60M,-148.60M,,,,,-37.60M,,-54.80M,-16.20M,,0.00,-11.80M,0.00,,,,,-148.60M,,,
1997-06,79.10M,,,,,-33.20M,,,54.60M,54.60M,23.20M,,,-0.10M,9.70M,-44.80M,,25.60M,3.80M,12.60M,,6.90M,130.50M,,-125.40M,,-125.40M,,,,-9.00M,-134.40M,,,123.70M,,-54.90M,-54.90M,,,,,-63.60M,,-2.80M,2.40M,,0.00,-1.50M,0.00,,,,,-54.90M,,,
1997-03,71.80M,,,,,7.30M,,,47.30M,47.30M,26.80M,,,,-38.70M,21.00M,,-0.50M,-2.70M,-58.20M,,-79.10M,74.10M,,-127.20M,,-127.20M,,,,-8.20M,-135.40M,,,133.80M,,-47.40M,-47.40M,,,,,-64.30M,,27.20M,49.30M,,37.10M,-12.00M,0.00,,,,,-47.40M,,,
1996-12,87.80M,,,,,7.60M,,,50.20M,50.20M,24.40M,,,-0.10M,-2.40M,29.30M,,32.60M,6.40M,39.70M,,105.60M,275.50M,,-207.50M,,-207.50M,,,,32.20M,-175.30M,,,-42.10M,,0.00,0.00,,,,,-69.00M,,-1.10M,-112.20M,,0.00,-12.00M,0.00,,,,,0.00,,,
1996-09,59.60M,,,,,73.70M,,,45.20M,45.20M,15.00M,,,0.00,-59.20M,-23.70M,,-11.50M,-8.00M,25.80M,,-76.60M,116.90M,,-92.50M,,-92.50M,,,,-11.60M,-104.10M,,,124.20M,,-64.10M,-64.10M,,,,,-69.20M,,0.30M,-8.80M,,0.00,4.00M,0.00,,,,,-64.10M,,,
1996-06,42.70M,,,,,-15.10M,,,43.40M,43.40M,4.80M,,,0.10M,67.40M,9.50M,,15.90M,-1.80M,9.20M,,100.20M,176.10M,,-97.10M,,-97.10M,,,,-12.10M,-109.20M,,,35.30M,,-10.20M,-10.20M,,,,,-68.00M,,1.30M,-41.60M,,0.00,25.30M,0.00,,,,,-10.20M,,,
1996-03,36.10M,,,,,18.80M,,,35.20M,35.20M,10.00M,,,,1.10M,-21.60M,,5.20M,7.30M,-60.10M,,-68.10M,32.00M,,-95.10M,,-95.10M,,,,-5.00M,-100.10M,,,272.50M,,-146.70M,-146.70M,,,,,-66.00M,,1.20M,61.00M,,26.90M,-7.10M,0.00,,,,,-146.70M,,,
1995-12,67.90M,,,,,18.60M,,,40.10M,40.10M,-13.80M,,,13.00M,-16.30M,26.90M,,-70.30M,4.70M,72.90M,,17.90M,143.70M,,-100.70M,,-100.70M,,,0.00,-4.10M,-104.80M,,,-136.70M,,-93.10M,-93.10M,,,,,-69.80M,,254.20M,-45.40M,,0.00,-6.50M,0.00,,,,,-93.10M,,,
1995-09,74.10M,,,,,14.70M,,,33.90M,33.90M,8.10M,,,22.50M,25.90M,-43.40M,,-16.90M,-8.10M,,,-42.50M,110.80M,,-178.10M,,-178.10M,,,-25.00M,-2.10M,-205.20M,,,413.00M,-228.90M,-31.90M,-260.80M,,,,,-54.90M,,-0.60M,96.70M,,0.00,2.30M,0.00,,-228.90M,,,-31.90M,,,
1995-06,54.20M,,,,,-24.80M,,,28.20M,28.20M,14.50M,,,0.00,-34.40M,3.80M,,11.30M,0.10M,2.10M,,-17.10M,55.00M,,-139.10M,,-139.10M,,,,,-139.10M,,,54.10M,228.90M,-52.80M,176.10M,,,,,-51.20M,,-98.00M,81.00M,,0.00,-3.10M,0.00,,228.90M,,,-52.80M,,,
1995-03,57.40M,,,,,12.40M,,,21.90M,21.90M,13.90M,,,-0.10M,26.90M,-34.60M,,-10.80M,-1.30M,-2.10M,,-21.90M,83.60M,,-169.00M,,-169.00M,,,,,-169.00M,,,27.20M,,,,,,,,-51.20M,,99.40M,75.40M,,44.30M,-10.00M,0.00,,,,,,,,
1994-12,55.20M,,,,,-16.40M,,,21.30M,21.30M,48.50M,,,18.80M,-53.80M,-23.80M,,110.60M,4.90M,8.00M,,45.90M,173.30M,,-215.80M,,-215.80M,,,,5.80M,-210.00M,,,226.10M,-116.30M,126.50M,10.20M,,,,,-170.30M,,-7.60M,58.40M,,0.00,21.70M,0.00,,-116.30M,,,126.50M,,,
1994-09,26.80M,,,,,16.40M,,,18.40M,18.40M,12.80M,,,-2.50M,-15.50M,6.60M,,4.90M,7.10M,-8.00M,,-4.90M,67.00M,,-203.80M,,-203.80M,,,,0.00,-203.80M,,,91.60M,369.30M,-126.50M,242.80M,,,,,96.10M,,-293.10M,137.40M,,0.00,0.60M,0.00,,369.30M,,,-126.50M,,,
1994-06,22.30M,,,,,,,,18.30M,18.30M,7.90M,,,6.30M,-13.00M,-24.70M,,4.10M,-6.90M,,,-40.50M,14.30M,,-155.40M,,-155.40M,,,,-0.10M,-155.50M,,,57.80M,-158.50M,41.10M,-117.40M,,,,,-96.10M,,281.10M,125.40M,,0.00,-15.80M,0.00,,-158.50M,,,41.10M,,,
1994-03,25.90M,,,,,,,,17.10M,17.10M,8.30M,,,-3.70M,36.80M,-18.90M,,18.30M,-2.20M,,,34.00M,81.60M,,-168.50M,,-168.50M,,,,-5.70M,-174.20M,,,5.40M,158.50M,-41.10M,117.40M,,,,,,,-6.30M,116.50M,,13.80M,23.90M,0.00,,158.50M,,,-41.10M,,,
1993-12,50.50M,,,,,-22.90M,,,29.30M,29.30M,8.40M,,,17.90M,-46.60M,-2.70M,,19.20M,-5.10M,,,-15.50M,67.70M,,-144.30M,,-144.30M,,,26.60M,-10.40M,-128.10M,,,96.60M,0.00,-141.60M,-141.60M,,,,,114.90M,,-19.20M,50.70M,,0.00,-9.70M,0.00,,0.00,,,-141.60M,,,
1993-09,29.00M,,,,,-10.20M,,,8.20M,8.20M,-6.70M,,,13.00M,-4.80M,-23.60M,,28.30M,-5.20M,,,-5.30M,28.00M,,-110.90M,,-110.90M,,,0.00,0.30M,-110.60M,,,-420.00M,561.10M,66.70M,627.80M,,,,,-114.90M,,10.00M,102.90M,,0.00,20.30M,0.00,,561.10M,,,66.70M,,,
1993-06,-26.90M,,,,,40.80M,,,14.90M,14.90M,1.90M,,,-3.80M,-27.70M,0.80M,,13.30M,1.60M,,,-12.00M,14.90M,,-98.60M,,-98.60M,,,-26.60M,26.60M,-98.60M,,,-130.00M,,-33.50M,-33.50M,,,,,,,-3.80M,-167.30M,,0.00,-251.00M,0.00,,,,,-33.50M,,,
1993-03,8.10M,,,,,-3.10M,,,15.50M,15.50M,4.90M,,,1.30M,62.20M,-11.20M,,-28.00M,-1.80M,,,21.20M,47.90M,,-99.30M,,-99.30M,,,,-26.90M,-126.20M,,,,,-33.20M,-33.20M,,,,,,,-6.20M,-39.40M,,371.80M,-117.70M,0.00,,,,,-33.20M,,,
1992-12,36.40M,,,,,-37.30M,,,31.20M,31.20M,26.00M,,,31.10M,34.50M,8.20M,,-1.70M,0.20M,16.30M,,57.50M,144.90M,,-133.30M,,-133.30M,,,,,-345.20M,,,160.80M,-217.90M,,-329.30M,,,,,92.90M,,190.00M,114.40M,,0.00,-85.90M,0.00,,-217.90M,,,,,,
1992-09,26.50M,,,,,38.30M,,,11.00M,11.00M,7.60M,,,-26.20M,16.10M,-4.60M,,-1.30M,-4.40M,7.50M,,13.30M,70.50M,,-89.70M,,-89.70M,,,,,-89.70M,,,-4.20M,392.00M,,392.00M,,,,,-38.30M,,5.20M,354.70M,,0.00,335.50M,0.00,,392.00M,,,,,,
1992-06,49.70M,,,,,-13.60M,,,16.00M,16.00M,13.90M,,,26.20M,-124.20M,15.40M,,1.30M,1.90M,15.10M,,-90.50M,1.70M,,-82.10M,,-82.10M,,,,,-82.10M,,,-3.60M,,,,,,,,-27.30M,,-5.20M,-36.10M,,0.00,-116.50M,0.00,,,,,,,,
1992-03,17.30M,,,,,13.60M,,,7.40M,7.40M,4.70M,,,-0.10M,16.20M,-29.60M,,,-1.90M,7.90M,,-7.40M,35.50M,,-62.70M,,-62.70M,,,,,-62.70M,,,,,,,,,,,-27.30M,,212.50M,185.20M,,80.80M,158.00M,0.00,,,,,,,,
1991-12,45.80M,,,,,25.30M,,,5.30M,5.30M,-11.50M,,,-0.20M,-13.50M,-18.00M,,6.60M,1.20M,-6.10M,,-29.80M,34.90M,,-77.30M,,-77.30M,,,,,-77.30M,,,0.00,,,,,,,,-27.40M,,-4.10M,-31.50M,,0.00,-73.90M,0.00,,,,,,,,
1991-09,24.80M,,,,,-1.50M,,,16.30M,16.30M,12.30M,,,,-56.30M,9.60M,,-18.70M,-1.20M,4.50M,,-62.10M,-10.20M,,-57.30M,,-57.30M,,,,,-57.30M,,,193.60M,,,,,,,,-27.30M,,-1.70M,164.60M,,0.00,97.10M,0.00,,,,,,,,
1991-06,9.30M,,,,,3.30M,,,6.30M,6.30M,4.80M,,,0.10M,21.50M,-32.70M,,24.20M,0.60M,-8.30M,,5.30M,29.10M,,-58.60M,,-58.60M,,,,,-58.60M,,,53.00M,,,,,,,,-27.30M,,-2.00M,23.70M,,0.00,-5.80M,0.00,,,,,,,,
1991-03,22.10M,,,,,2.30M,,,10.50M,10.50M,11.50M,,,-0.10M,3.70M,-9.00M,,-13.40M,-1.50M,0.50M,,-19.70M,26.60M,,-53.30M,,-53.30M,,,,,-53.30M,,,65.00M,,,,,,,,-18.20M,,-1.20M,45.60M,,44.40M,18.90M,0.00,,,,,,,,
1990-12,20.90M,,,,,1.40M,,,10.10M,10.10M,12.00M,,,,1.70M,-17.80M,,13.80M,-0.50M,-8.70M,,-11.50M,32.90M,,-60.20M,,-60.20M,,,,,-151.80M,,,55.00M,60.40M,31.10M,91.50M,,,,,-48.00M,,-7.20M,91.30M,,0.00,-27.60M,0.00,,60.40M,,,31.10M,,,
1990-09,33.30M,,,,,5.30M,,,9.70M,9.70M,9.30M,,,-0.10M,-3.30M,0.80M,,1.20M,0.30M,10.40M,,9.40M,66.90M,,-40.10M,,-40.10M,,,,,-40.10M,,,30.00M,31.10M,-31.10M,0.00,,,,,-22.20M,,-3.90M,3.90M,,0.00,30.70M,0.00,,31.10M,,,-31.10M,,,
1990-06,22.80M,,,,,4.30M,,,8.10M,8.10M,11.00M,,,0.10M,-16.10M,-1.50M,,3.70M,0.40M,-1.80M,,-15.30M,31.00M,,-44.20M,,-44.20M,,,,,-44.20M,,,38.00M,,,,,,,,-21.40M,,-3.60M,13.00M,,0.00,-0.20M,0.00,,,,,,,,
1990-03,15.60M,,,,,3.10M,,,7.60M,7.60M,4.90M,,,,9.10M,-8.10M,,-1.60M,-0.80M,-14.30M,,-15.70M,15.50M,,-43.00M,,-43.00M,,,,,-43.00M,,,41.00M,,,,,,,,-27.30M,,-5.00M,8.70M,,60.30M,-18.80M,0.00,,,,,,,,
