,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2001-12,429.66M,429.66M,290.88M,138.78M,,37.39M,,-0.177M,,,,,70.68M,68.09M,,,-0.177M,,59.09M,25.55M,33.54M,,-0.282M,32.56M,33.64M,68.09M,,2001-12,0.0933,,0.09,,2001-12,0.0917,,0.0883,,2001-12,,2001-12,,
2001-09,434.24M,434.24M,277.25M,156.99M,,33.84M,,1.856M,,,,,60.12M,96.87M,,,1.856M,,78.28M,34.00M,44.28M,,-2.126M,44.28M,43.16M,96.87M,,2001-09,0.1733,0.00,0.1733,,2001-09,0.1567,0.00,0.1567,,2001-09,,2001-09,,
2001-06,400.64M,400.64M,271.54M,129.10M,,32.04M,,1.12M,,,,,58.66M,70.43M,,,1.12M,,50.57M,22.00M,28.57M,,-2.269M,29.54M,27.90M,70.43M,,2001-06,0.1133,0.0033,0.1167,,2001-06,0.1067,0.0033,0.11,,2001-06,,2001-06,,
2001-03,386.22M,386.22M,260.97M,125.24M,,31.81M,,9.533M,,,,-8.185M,49.78M,75.47M,,,9.533M,,54.63M,23.70M,30.93M,,-2.457M,30.93M,25.21M,75.47M,,2001-03,0.1234,0.00,0.1234,,2001-03,0.1167,0.00,0.1167,,2001-03,,2001-03,,
2000-12,372.75M,372.75M,256.41M,116.34M,,37.26M,,1.828M,,,,,64.55M,51.79M,,,1.828M,,28.22M,12.89M,15.33M,,-2.774M,15.33M,14.24M,51.79M,,2000-12,0.05,0.0133,0.0633,,2000-12,0.0467,0.0133,0.06,,2000-12,,2000-12,,
2000-09,362.54M,362.54M,248.73M,113.80M,,36.97M,,1.418M,,,,,63.90M,49.91M,,,1.418M,,23.81M,10.66M,13.15M,,-1.147M,9.66M,12.30M,49.91M,,2000-09,0.0533,-0.0133,0.04,,2000-09,0.0533,-0.0133,0.04,,2000-09,,2000-09,,
2000-06,378.91M,378.91M,267.71M,111.19M,,44.27M,,-16.40M,,,,,73.94M,37.26M,,,-16.40M,,-14.65M,0.709M,-15.36M,,-1.023M,-15.36M,-5.516M,37.26M,,2000-06,-0.0634,0.00,-0.0634,,2000-06,-0.0634,0.00,-0.0634,,2000-06,,2000-06,,
2000-03,372.11M,372.11M,259.30M,112.82M,,44.78M,,1.395M,,,,,72.50M,40.32M,,,1.395M,,7.549M,3.702M,3.847M,,-0.998M,3.847M,3.01M,40.32M,,2000-03,0.0167,0.00,0.0167,,2000-03,0.0167,0.00,0.0167,,2000-03,,2000-03,,
1999-12,373.15M,373.15M,258.74M,114.41M,,114.61M,,-121.60M,,,,,142.89M,-28.48M,,,-121.60M,,-188.23M,-40.17M,-148.06M,,1.248M,-148.06M,-52.41M,-28.48M,,1999-12,-0.6067,0.00,-0.6067,,1999-12,-0.6067,0.00,-0.6067,,1999-12,,1999-12,,
1999-09,367.20M,367.20M,250.80M,116.40M,,49.70M,,-3.30M,,,,,79.50M,36.90M,,,-3.30M,,4.20M,2.30M,1.90M,,-1.60M,1.90M,3.88M,36.90M,,1999-09,0.0067,0.00,0.0067,,1999-09,0.0067,0.00,0.0067,,1999-09,,1999-09,,
1999-06,352.80M,352.80M,248.50M,104.30M,,66.20M,,-16.60M,,,,,93.60M,10.70M,,,-16.60M,,-30.70M,-9.70M,-21.00M,,-2.50M,-21.00M,-9.645M,10.70M,,1999-06,-0.0867,0.00,-0.0867,,1999-06,-0.0867,0.00,-0.0867,,1999-06,,1999-06,,
1999-03,352.20M,352.20M,222.10M,130.10M,,33.20M,,1.30M,,,,,60.20M,69.90M,,,1.30M,,46.20M,18.30M,27.90M,,-2.30M,27.90M,27.11M,69.90M,,1999-03,0.1134,0.00,0.1134,,1999-03,0.1134,0.00,0.1134,,1999-03,,1999-03,,
1998-12,338.00M,338.00M,230.20M,107.80M,,46.50M,,15.90M,,,,,74.40M,33.40M,,,15.90M,,23.80M,9.50M,14.30M,,-2.40M,14.30M,4.747M,33.40M,,1998-12,-0.0233,0.0834,0.0600,,1998-12,-0.0233,0.0834,0.0600,,1998-12,,1998-12,,
1998-09,318.60M,318.60M,200.90M,117.70M,,26.20M,,1.00M,,,,,48.60M,69.10M,,,1.00M,,48.30M,19.20M,29.10M,,-1.90M,29.10M,28.50M,69.10M,,1998-09,0.1201,0.00,0.1201,,1998-09,0.1167,0.00,0.1167,,1998-09,,1998-09,,
1998-06,288.40M,288.40M,183.30M,105.10M,,25.40M,,,,,,,48.20M,56.90M,,,,,29.90M,12.10M,17.80M,,-1.60M,7.90M,17.80M,56.90M,,1998-06,0.0734,-0.0400,0.0334,,1998-06,0.0734,-0.0400,0.0334,,1998-06,,1998-06,,
