,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2012-03,78.30M,55.98M,134.28M,264.43M,,264.43M,398.71M,,396.89M,,396.89M,404.56M,12.03B,13.22B,16.73B,241.19M,,365.61M,365.61M,,,224.88M,224.88M,224.88M,1.332B,1.332B,1.923B,790.82M,790.82M,,,,74.48M,,865.29M,12.90B,112.31M,3.350B,437.04M,566.34M,501.29M,3.834B
2011-12,84.11M,11.91B,11.99B,,253.55M,253.55M,12.25B,48.00M,396.89M,,396.89M,400.91M,11.93B,13.12B,16.59B,,1.320B,1.320B,1.320B,0.00,224.84M,,224.84M,224.84M,,,1.545B,914.99M,914.99M,,,,69.54M,,984.53M,12.73B,112.31M,3.265B,425.33M,492.64M,549.92M,3.860B
2011-09,175.96M,48.54M,224.50M,232.35M,,232.35M,456.85M,,396.89M,,396.89M,395.39M,11.72B,12.90B,16.97B,227.16M,,351.59M,351.59M,,,225.67M,225.67M,225.67M,1.501B,1.501B,2.078B,790.34M,790.34M,,,,73.20M,,863.54M,12.79B,119.81M,3.814B,445.24M,741.56M,545.60M,4.183B
2011-06,90.23M,20.40M,110.64M,223.87M,,223.87M,334.50M,,396.89M,,396.89M,387.34M,11.06B,12.23B,16.22B,211.13M,,335.55M,335.55M,,,199.86M,199.86M,199.86M,1.278B,1.278B,1.813B,790.10M,790.10M,,,,76.60M,,866.70M,12.44B,119.81M,3.693B,439.04M,625.32M,153.26M,3.780B
2011-03,283.67M,271.02M,554.69M,254.11M,,254.11M,808.80M,,396.89M,,396.89M,382.15M,10.97B,12.12B,16.33B,229.07M,,353.49M,353.49M,,,200.44M,200.44M,200.44M,1.248B,1.248B,1.802B,789.87M,789.87M,,,,78.94M,,868.81M,12.37B,79.88M,3.599B,441.06M,216.83M,55.76M,3.959B
2010-12,365.68M,216.68M,582.36M,230.32M,,230.32M,812.68M,,396.89M,,396.89M,378.12M,10.78B,11.93B,16.16B,221.60M,,346.02M,346.02M,,,198.88M,198.88M,198.88M,1.209B,1.209B,1.754B,789.64M,789.64M,,,,74.16M,,863.81M,12.14B,79.88M,3.513B,432.61M,32.62M,22.96M,4.016B
2010-06,27.29M,254.22M,281.51M,200.34M,,200.34M,481.85M,,423.52M,,423.52M,396.38M,11.19B,12.31B,16.95B,,,,,,,200.45M,200.45M,200.45M,1.204B,1.204B,1.405B,913.63M,913.63M,,,226.84M,83.09M,,1.224B,13.00B,83.88M,3.452B,443.79M,107.40M,72.71M,3.945B
2010-03,39.94M,332.48M,372.41M,195.13M,,195.13M,567.54M,,423.52M,,423.52M,389.22M,10.78B,11.86B,16.60B,,,,,,,199.92M,199.92M,199.92M,1.115B,1.115B,1.314B,920.68M,920.68M,,,232.27M,84.87M,,1.238B,12.92B,83.88M,3.338B,440.49M,44.36M,-141.40M,3.677B
2009-12,231.92M,357.60M,589.52M,197.23M,,197.23M,786.75M,,423.52M,,423.52M,384.08M,10.07B,11.11B,16.02B,,,,,,,233.31M,233.31M,233.31M,966.43M,966.43M,1.200B,920.47M,920.47M,,,220.16M,82.49M,,1.223B,12.62B,83.88M,3.229B,441.36M,36.07M,-319.18M,3.399B
2009-09,171.52M,250.25M,421.77M,,,,421.77M,,423.52M,,423.52M,375.94M,9.321B,11.24B,15.85B,,,,,,,233.41M,233.41M,233.41M,959.14M,959.14M,1.193B,920.27M,920.27M,,,221.01M,84.70M,,1.226B,12.53B,85.88M,3.185B,449.40M,107.79M,-297.53M,3.315B
2009-06,339.61M,628.54M,968.14M,228.64M,,228.64M,1.197B,,423.52M,,423.52M,368.96M,8.714B,9.736B,14.71B,,,,,,,337.04M,337.04M,337.04M,613.74M,613.74M,950.78M,920.06M,920.06M,,,218.45M,86.60M,,1.225B,12.08B,85.88M,3.096B,446.78M,109.52M,-896.34M,2.623B
2009-03,46.68M,292.25M,338.94M,179.91M,,179.91M,518.84M,,,423.52M,423.52M,363.56M,7.645B,8.640B,13.25B,,,,,,,372.85M,372.85M,372.85M,345.90M,345.90M,718.74M,623.61M,623.61M,,,242.98M,89.46M,,956.05M,11.27B,85.88M,2.994B,444.04M,109.52M,-1.438B,1.976B
2008-12,46.40M,130.95M,177.35M,151.68M,,151.68M,329.04M,,,423.52M,423.52M,360.43M,7.964B,8.929B,13.53B,,,,,,,403.71M,403.71M,403.71M,419.20M,419.20M,822.91M,623.47M,623.47M,,,236.31M,85.19M,,944.97M,11.31B,85.88M,2.929B,446.06M,67.57M,-1.170B,2.223B
2008-09,16.50M,65.80M,82.30M,90.19M,,90.19M,172.49M,,423.52M,,423.52M,354.82M,8.251B,9.212B,13.95B,,,,,,,345.34M,345.34M,345.34M,540.06M,540.06M,885.40M,623.33M,623.33M,,,235.64M,89.39M,,948.37M,11.51B,94.88M,3.270B,489.65M,512.28M,-900.86M,2.441B
