,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2012-12,72.30M,,-10.90M,-10.90M,,,98.70M,98.70M,57.70M,,,-5.00M,85.40M,,,,-104.60M,11.40M,27.30M,19.50M,,,2012-12,,,,-639.10M,,1.30M,-637.80M,2012-12,308.60M,147.10M,455.70M,,,,0.00,0.00,0.00,-49.70M,-4.00M,-24.90M,377.10M,,2012-12,-19.90M,21.20M,,2012-12,0.00,310.00M,,,39.60M,,2012-12,AOR,Restated
2012-09,154.70M,,-10.40M,-10.40M,,,97.30M,97.30M,29.30M,,,-0.80M,-61.10M,,,-28.90M,-44.80M,48.50M,68.40M,-17.90M,,,2012-09,,,,-196.60M,,0.70M,-195.90M,2012-09,75.00M,-92.40M,-17.40M,,,,0.00,0.00,0.00,-49.90M,-4.00M,16.40M,-54.90M,,2012-09,10.30M,41.10M,,2012-09,0.00,75.00M,,,38.20M,,2012-09,AOR,Restated
2012-06,69.80M,,-10.60M,-10.60M,,,94.30M,94.30M,24.40M,,,-5.80M,-41.90M,-30.30M,,28.90M,-9.80M,-22.20M,19.20M,-56.10M,,,2012-06,,,,-186.80M,,0.10M,-186.70M,2012-06,,130.80M,130.80M,,,,0.00,0.00,0.00,-49.80M,-3.90M,-14.70M,62.40M,,2012-06,-0.10M,30.80M,,2012-06,0.00,,,,38.60M,,2012-06,AOR,Restated
2012-03,38.90M,,-9.40M,-9.40M,,,97.60M,97.60M,31.90M,,,-1.80M,68.90M,30.30M,,,-18.90M,-21.30M,-9.80M,49.20M,,,2012-03,,,,-135.60M,,0.50M,-135.10M,2012-03,,-20.80M,-20.80M,,,,0.00,0.00,0.00,-49.90M,-4.00M,14.30M,-60.40M,,2012-03,19.50M,30.90M,,2012-03,0.00,,,,38.80M,,2012-03,AOR,Restated
2011-12,61.00M,5.20M,,-34.10M,,,137.80M,137.80M,-20.50M,-42.10M,,-0.80M,20.40M,-27.70M,,-25.90M,-412.50M,70.90M,331.20M,-43.60M,,,2011-12,480.20M,,480.20M,-627.30M,,1.40M,-145.70M,2011-12,0.00,80.70M,80.70M,,,,,0.00,0.00,-47.00M,-3.90M,-8.40M,21.40M,,2011-12,-34.30M,11.40M,,2011-12,,0.00,,-3.00M,38.60M,,2011-12,AOR,Restated
2011-09,125.90M,-1.60M,,-1.60M,,,81.30M,81.30M,56.20M,13.80M,,-3.20M,-82.50M,27.70M,,25.90M,0.50M,26.60M,-124.70M,-126.50M,,,2011-09,-142.10M,,-142.10M,-25.50M,,2.30M,-165.30M,2011-09,0.40M,22.10M,22.50M,,,,,0.00,0.00,-46.90M,-4.00M,16.40M,-12.00M,,2011-09,-31.40M,45.70M,,2011-09,,0.40M,,3.00M,119.00M,,2011-09,AOR,Restated
2011-06,55.30M,-2.00M,,-2.00M,,,82.20M,82.20M,-21.40M,14.50M,,15.40M,73.20M,-67.00M,,,-1.10M,70.80M,-14.40M,61.50M,,,2011-06,-108.70M,,-108.70M,-12.90M,,13.80M,-107.80M,2011-06,,-32.40M,-32.40M,,,,,-40.00M,-40.00M,-47.10M,-4.20M,-23.00M,-146.70M,,2011-06,-49.00M,77.10M,,2011-06,,,,-3.00M,-40.20M,,2011-06,AOR,Restated
2011-03,79.70M,-1.60M,,-1.60M,,,78.80M,78.80M,-4.10M,13.80M,,1.30M,9.60M,67.00M,,,,,16.80M,93.40M,,,2011-03,-229.40M,,-229.40M,-7.70M,,3.80M,-233.30M,2011-03,,-15.00M,-15.00M,,,,,,,-47.10M,-4.70M,5.60M,-61.20M,,2011-03,-33.20M,126.10M,,2011-03,,,,3.00M,40.20M,,2011-03,AOR,Restated
2010-12,52.00M,4.20M,,-33.90M,,,128.20M,128.20M,39.00M,-37.10M,,20.00M,55.20M,,,53.20M,-41.70M,,65.80M,88.90M,,,2010-12,587.60M,,587.60M,-844.50M,-14.60M,11.50M,-260.00M,2010-12,-0.70M,47.40M,46.70M,,,,,0.00,0.00,-43.70M,-4.70M,-5.30M,-7.00M,,2010-12,22.30M,159.30M,,2010-12,,0.00,-0.70M,-6.40M,40.10M,,2010-12,AOR,Restated
2010-09,153.70M,-1.00M,,-1.00M,,,75.50M,75.50M,129.50M,14.00M,,2.20M,-28.10M,,,-119.80M,11.40M,,-21.00M,-157.50M,,,2010-09,-202.80M,,-202.80M,-11.20M,14.60M,-11.50M,-210.90M,2010-09,-6.30M,0.00,-6.30M,,,,,,,-43.70M,-4.60M,15.00M,-39.60M,,2010-09,-34.10M,137.00M,,2010-09,,200.00M,-206.30M,-0.30M,42.90M,,2010-09,AOR,Restated
2010-06,52.50M,-1.90M,,-1.90M,,,65.50M,65.50M,19.70M,10.30M,,1.30M,161.50M,-51.10M,,36.90M,22.50M,,-27.20M,142.60M,,,2010-06,-162.20M,,-162.20M,-4.50M,,3.30M,-163.40M,2010-06,299.20M,-350.30M,-51.10M,,,,,0.00,0.00,-43.60M,-4.70M,3.70M,-95.70M,,2010-06,30.90M,171.10M,,2010-06,,300.00M,-0.80M,5.90M,35.10M,,2010-06,AOR,Restated
2010-03,48.10M,-1.30M,,-1.30M,,,74.90M,74.90M,28.40M,12.80M,,-1.40M,23.10M,51.10M,,-36.90M,-13.00M,,3.40M,27.70M,,,2010-03,-222.60M,,-222.60M,-6.70M,,-2.90M,-232.20M,2010-03,-100.00M,160.30M,60.30M,,,,,,,-43.60M,-4.70M,-4.10M,7.90M,,2010-03,-35.10M,140.20M,,2010-03,,,-100.00M,0.80M,47.40M,,2010-03,AOR,Restated
2009-12,58.30M,,-31.70M,201.20M,,,73.90M,73.90M,5.80M,9.20M,,-198.10M,-93.80M,-25.50M,-18.10M,100.20M,,,-165.40M,-83.70M,,,2009-12,,,,891.20M,32.60M,-77.60M,-265.70M,2009-12,249.10M,20.00M,269.10M,,,,,,,-41.40M,-4.70M,-25.30M,197.70M,,2009-12,-1.40M,175.30M,,2009-12,,166.10M,-0.90M,64.30M,27.70M,,2009-12,AOR,Restated
2009-09,-39.70M,,-1.50M,-1.50M,-131.80M,-20.90M,49.00M,49.00M,9.50M,32.90M,,194.30M,-140.40M,-31.60M,-2.30M,46.70M,,,33.70M,-93.90M,,,2009-09,,,,-316.00M,0.00,21.10M,-294.90M,2009-09,173.90M,-67.50M,106.40M,,,,,,,-41.40M,-4.60M,14.40M,74.80M,,2009-09,-69.50M,176.70M,,2009-09,,482.70M,-376.30M,54.80M,41.00M,,2009-09,AOR,Restated
2009-06,33.80M,,5.80M,5.80M,66.70M,10.20M,76.90M,76.90M,52.90M,,,-10.60M,107.30M,-34.40M,2.20M,-22.20M,,,-39.40M,13.50M,,,2009-06,,,,-315.20M,0.00,38.30M,-276.90M,2009-06,-0.70M,124.20M,123.50M,,,,,,,-41.30M,-4.70M,-10.40M,67.10M,,2009-06,-37.50M,246.20M,,2009-06,,124.20M,-0.70M,18.40M,31.90M,,2009-06,AOR,Restated
2009-03,77.30M,,-9.20M,-9.20M,65.10M,10.70M,75.80M,75.80M,26.10M,,,0.90M,73.10M,63.00M,18.20M,-38.20M,,,-19.40M,96.70M,,,2009-03,,,,-313.00M,0.00,1.60M,-311.40M,2009-03,0.00,27.20M,27.20M,,,,,,,-41.40M,-4.70M,-0.50M,-19.40M,,2009-03,-63.20M,283.70M,,2009-03,,27.20M,0.00,3.20M,41.80M,,2009-03,AOR,Restated
2008-12,55.30M,,-8.50M,-9.00M,60.70M,9.70M,70.40M,70.40M,69.30M,,,7.10M,-301.20M,4.90M,61.20M,23.70M,,,-33.00M,-270.20M,,,2008-12,,,,-238.70M,,-18.70M,-257.40M,2008-12,348.80M,18.20M,367.00M,,,,,,,-38.60M,-4.70M,-21.30M,302.00M,,2008-12,-32.50M,346.90M,,2008-12,,500.00M,-133.00M,,,,2008-12,,Restated
2008-09,113.10M,,-12.20M,-12.20M,57.90M,11.60M,69.50M,69.50M,9.90M,,,7.10M,62.30M,-62.30M,-12.50M,-46.20M,,,26.70M,-32.00M,,,2008-09,,,,-196.50M,,11.20M,-185.30M,2008-09,-3.10M,-139.20M,-142.30M,,,,,,,-38.60M,-4.60M,20.90M,-164.60M,,2008-09,-194.50M,379.40M,,2008-09,,-95.80M,-46.50M,,,,2008-09,,Restated
2008-06,65.50M,,-0.80M,-0.80M,123.30M,23.20M,84.90M,84.90M,-4.40M,-11.80M,,2.10M,78.50M,-24.20M,-5.90M,44.20M,,-32.30M,-27.50M,32.80M,,,2008-06,,,,-311.00M,,3.90M,-307.10M,2008-06,,141.00M,141.00M,,,,,,,-38.50M,-4.70M,-17.50M,80.30M,,2008-06,-58.50M,573.90M,,2008-06,,95.80M,45.20M,,,,2008-06,,Restated
2008-03,72.80M,,-1.10M,-1.10M,,,61.60M,61.60M,-1.30M,11.80M,,0.30M,-109.20M,57.60M,5.90M,-39.50M,,32.30M,0.40M,-52.50M,,,2008-03,,,,-132.80M,,16.50M,-116.30M,2008-03,,-45.20M,-45.20M,,,,,,,-38.60M,-4.70M,,-88.50M,,2008-03,-113.20M,632.40M,,2008-03,,,-45.20M,,,,2008-03,,Restated
