,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,41.59M,,,,,,24.71M,24.71M,24.71M,,,,,253.02M,18.94M,-45.09M,150.81M,,,,124.65M,443.97M,,,,,-926.00M,,-926.00M,0.00,-27.65M,-27.65M,2.751M,0.00,2.751M,,,,,-61.16M,,513.01M,426.95M,1.691B,-55.08M,1.635B,2.751M,0.00,-27.65M,0.00
2002-12,63.20M,,,,,-37.80M,-99.71M,-30.91M,-30.91M,46.08M,,,,-221.58B,1.679B,210.03M,-2.113B,1.342B,-2.113B,,221.71B,200.73M,-93.30M,-77.86M,-171.16M,,-707.49M,44.34M,-834.31M,0.00,33.04M,-215.94M,10.37M,115.00M,125.36M,,84.07M,84.07M,,-54.60M,,785.37M,724.25M,1.600B,90.67M,1.691B,10.37M,0.00,,199.06M
2002-09,-105.76M,,,,,37.80M,99.71M,101.28M,101.28M,-46.08M,,,,-105.16M,-1.499B,-210.03M,1.790B,-1.322B,1.790B,,484.12M,328.41M,-29.56M,77.86M,48.30M,,-1.132B,-375.28M,-1.459B,0.00,-91.02M,157.97M,6.937M,-366.36M,-359.43M,,-84.07M,-84.07M,,-58.89M,,809.65M,465.23M,2.265B,-665.58M,1.600B,6.937M,0.00,,-450.43M
2002-06,48.55M,,,,,,,17.73M,17.73M,,,,,626.64M,-3.039M,,-218.38M,20.76M,-218.38M,,-487.08M,205.83M,-72.13M,,-72.13M,,-191.25M,350.19M,86.81M,248.99M,-299.22M,-299.22M,15.78M,-172.19M,-156.41M,,,,,-61.28M,,790.17M,273.25M,1.700B,565.90M,2.265B,15.78M,248.99M,,-172.19M
2002-03,85.60M,,,,,,,18.50M,18.50M,,,,,-628.86M,10.20M,,179.90M,-13.61M,179.90M,,279.35M,-245.41M,,,,,-777.64M,-279.88M,-1.058B,,160.04M,160.04M,56.03M,-50.93M,5.098M,,,,,-59.84M,,-198.31M,-93.01M,3.095B,-1.396B,1.700B,56.03M,,,-50.93M
2001-12,169.22M,,,,,,,38.89M,38.89M,-8.057M,,,,81.12B,203.21M,,423.67M,9.959M,423.67M,,-80.53B,794.32M,132.85M,,132.85M,,-1.627B,1.187B,-306.53M,149.25M,-448.44M,-448.44M,22.64M,-134.28M,-111.64M,,,,,-57.71M,,1.229B,611.37M,1.996B,1.099B,3.095B,22.64M,,-99.97M,-134.28M
2001-09,119.05M,,,,,-29.67M,-85.55M,44.91M,44.91M,36.72M,,,,-125.63M,-191.24M,141.63M,238.92M,-198.22M,238.92M,,155.87M,230.92M,-17.42M,-55.11M,-72.53M,,-698.41M,784.65M,13.70M,,187.76M,187.76M,20.56M,-182.65M,-162.10M,,,,,-57.23M,,281.36M,249.80M,1.502B,494.42M,1.996B,20.56M,,,-182.65M
2001-06,137.44M,,,,,5.313M,37.10M,42.41M,42.41M,-28.88M,,,,-736.68M,24.10M,-86.72M,274.28M,58.94M,274.28M,,458.16M,-127.55M,-46.25M,18.59M,-27.66M,0.00,-81.46M,-200.91M,-310.02M,0.00,-63.97M,-63.97M,39.09M,-38.18M,0.91M,,,,,-57.22M,,44.58M,-75.70M,2.015B,-513.27M,1.502B,39.09M,,0.00,-38.18M
2001-03,164.50M,,,,,24.36M,48.46M,72.81M,72.81M,0.221M,,,,818.30M,27.86M,-54.91M,-309.27M,,-309.27M,,-700.49M,355.35M,-69.18M,36.52M,-32.66M,0.00,-167.76M,185.43M,-14.99M,0.00,102.33M,102.33M,7.974M,-148.64M,-140.66M,,,,,-57.97M,,-156.28M,-252.58M,1.927B,87.78M,2.015B,7.974M,,0.00,-148.64M
2000-12,148.94M,,,,,-19.09M,-146.73M,71.19M,71.19M,,,,,315.65B,-74.68M,288.24M,1.056B,,1.141B,,-314.71B,1.168B,,,,-85.00M,673.98M,-172.16M,416.81M,0.477M,-17.90M,-17.42M,25.45M,-51.74M,-26.29M,,,,,-55.32M,,-993.94M,-1.093B,1.436B,491.52M,1.927B,25.45M,,0.477M,-51.74M
2000-09,138.62M,,,,,19.09M,146.73M,35.14M,35.14M,-46.27M,,,,1.502B,-142.52M,-288.24M,-623.67M,-168.26M,-708.63M,,-2.038B,-409.10M,98.98M,,98.98M,85.00M,-294.98M,-146.84M,-257.85M,0.00,-25.33M,-25.81M,7.291M,7.874M,15.16M,,,,,-55.10M,,549.25M,483.51M,1.619B,-183.44M,1.436B,7.291M,,0.00,7.874M
2000-06,163.61M,,,,,,-48.02M,82.66M,82.66M,-19.05M,,,,-1.250B,110.72M,86.22M,708.63M,168.26M,708.63M,,1.601B,578.90M,-41.23M,-34.05M,-75.27M,-85.00M,588.84M,161.29M,589.86M,-0.178M,-117.99M,-117.69M,7.077M,-86.11M,-79.04M,,,,,-55.74M,,-807.08M,-1.060B,1.510B,109.21M,1.619B,7.077M,,-0.178M,-86.11M
2000-03,170.22M,,,,,,48.02M,48.02M,48.02M,65.32M,,,,381.36M,69.41M,-86.22M,,,,,-16.82M,648.11M,-57.75M,34.05M,-23.70M,85.00M,-180.06M,276.77M,158.02M,-0.299M,14.00M,13.70M,-7.077M,-80.05M,-87.12M,,,,,-56.51M,,-1.062B,-1.192B,1.896B,-385.78M,1.510B,-7.077M,,-0.299M,-80.05M
1999-12,34.62M,,,,,,53.47M,53.47M,53.47M,,,,,-1.612B,35.00M,-86.98M,1.266B,,1.362B,,2.152B,627.82M,,,,-501.47M,83.62M,-212.56M,-630.41M,-0.107M,92.42M,92.32M,10.66M,-21.00M,-10.33M,,,,,-53.60M,,-472.86M,-444.48M,2.343B,-447.06M,1.896B,10.66M,,-0.107M,-21.00M
1999-09,132.32M,,,,,,44.81M,44.81M,44.81M,,,,,512.73M,-27.02M,-75.01M,198.48M,,101.68M,,350.75M,1.041B,,,,0.00,325.06M,-306.72M,18.34M,-0.129M,-12.46M,-12.59M,10.30M,-158.95M,-148.65M,,,,,-54.44M,,-651.40M,-867.09M,2.151B,191.86M,2.343B,10.30M,,-0.129M,-158.95M
1999-06,148.35M,,,,,,27.50M,27.50M,27.50M,,,,,379.64M,-31.57M,-70.81M,-127.88M,,-127.88M,,-428.96M,126.54M,,,,0.00,143.29M,-260.89M,-117.60M,-0.149M,98.35M,98.20M,23.24M,-148.59M,-125.35M,,,,,-55.06M,,-102.69M,-184.90M,2.327B,-175.96M,2.151B,23.24M,,-0.149M,-148.59M
1999-03,145.06M,,,,,,41.39M,41.39M,41.39M,,,,,453.62M,8.785M,-81.81M,26.20M,,26.20M,,-102.42M,537.65M,,,,0.00,-1.212B,802.33M,-409.47M,-0.091M,-32.77M,-32.86M,3.811M,-49.18M,-45.37M,,,,,-55.34M,,-100.92M,-234.48M,2.433B,-106.30M,2.327B,3.811M,,-0.091M,-49.18M
1998-12,125.58M,,,,,,,7.408M,7.408M,,,,,610.48M,47.25M,,-339.70M,,,,-348.40M,395.06M,1.426B,,1.426B,,-1.614B,2.049B,-424.08M,-1.679M,-39.80M,159.42M,21.55M,0.029M,21.58M,0.00,,0.00,,-52.32M,,-391.62M,-262.94M,,-291.96M,2.433B,21.55M,-1.602M,-0.077M,0.029M
1998-09,113.50M,,,,,,,37.10M,37.10M,,,,,406.00M,11.40M,,-58.10M,,-192.60M,,-318.80M,237.80M,-1.426B,,-1.426B,,1.318B,7.30M,-100.20M,-98.20M,77.30M,77.30M,18.30M,0.00,18.30M,430.00M,,430.00M,,-52.20M,,-299.90M,173.50M,,311.20M,,448.30M,1.60M,-99.80M,0.00
1998-06,148.70M,,,,,,,39.90M,39.90M,,,,,-62.60M,-46.20M,,94.40M,,94.40M,,100.20M,226.20M,,,,,-1.274B,1.402B,128.90M,-0.10M,-87.80M,-87.80M,6.10M,0.00,6.10M,,,,,-52.10M,,-448.80M,-582.60M,,-227.60M,,6.10M,0.00,-0.10M,0.00
