,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-04,1.457B,1.457B,854.00M,603.00M,663.00M,289.00M,22.00M,,,,,952.00M,-349.00M,,,,22.00M,,-327.00M,-80.00M,-247.00M,-6.00M,,-253.00M,-263.62M,-180.00M,169.00M,-349.00M,-0.54,-0.01,,-0.5758,-0.55,-0.54,-0.01,,-0.5758,-0.55,464.00M,464.00M,
2002-01,1.426B,1.426B,878.00M,548.00M,692.00M,298.00M,19.00M,,,,,990.00M,-442.00M,,,,19.00M,,-423.00M,-106.00M,-317.00M,2.00M,,-315.00M,-331.24M,-243.00M,199.00M,-442.00M,-0.68,0.0,,-0.7108,-0.68,-0.68,0.0,,-0.7108,-0.68,463.00M,463.00M,
2001-10,1.606B,1.606B,1.24B,366.00M,734.00M,324.00M,-11.00M,,,,,1.058B,-692.00M,,,,-11.00M,,-703.00M,-254.00M,-449.00M,640.00M,0.00,191.00M,-441.97M,-474.00M,218.00M,-692.00M,-0.67,-0.31,0.0,-0.6548,0.43,-0.67,-0.31,0.0003,-0.6548,0.43,461.00M,461.00M,
2001-07,1.819B,1.819B,1.075B,744.00M,772.00M,303.00M,35.00M,,,,,1.075B,-331.00M,,,,35.00M,,-296.00M,-76.00M,-220.00M,-5.00M,,-225.00M,-246.01M,-120.00M,211.00M,-331.00M,-0.47,-0.01,,-0.5267,-0.48,-0.47,-0.01,,-0.5267,-0.48,459.00M,459.00M,
2001-04,2.406B,2.406B,1.353B,1.053B,771.00M,331.00M,260.00M,,,,,1.102B,-49.00M,,,,260.00M,,211.00M,122.00M,89.00M,13.00M,,102.00M,-67.00M,117.00M,166.00M,-49.00M,0.19,0.03,,-0.1521,0.22,0.19,0.03,,-0.1484,0.22,456.00M,461.00M,
2001-01,2.841B,2.841B,1.449B,1.392B,741.00M,372.00M,19.00M,,,,,1.113B,279.00M,,,,19.00M,,298.00M,119.00M,179.00M,,-25.00M,154.00M,167.59M,418.00M,139.00M,279.00M,0.34,0.0,0.0,0.3149,0.34,0.33,0.0,-0.0549,0.3055,0.33,455.00M,466.00M,
2000-10,3.017B,3.017B,1.373B,1.644B,942.00M,255.00M,9.00M,,,,,1.197B,447.00M,,,,9.00M,,456.00M,155.00M,301.00M,4.00M,,305.00M,295.06M,586.00M,139.00M,447.00M,0.66,0.01,,0.6469,0.67,0.65,0.0,,0.6372,0.65,452.00M,464.00M,
2000-07,2.351B,2.351B,1.189B,1.162B,685.00M,288.00M,27.00M,,,,,973.00M,189.00M,,,,27.00M,,216.00M,73.00M,143.00M,12.00M,,155.00M,125.12M,325.00M,136.00M,189.00M,0.31,0.03,,0.2705,0.34,0.31,0.03,,0.2712,0.34,453.00M,461.00M,
2000-04,2.142B,2.142B,1.069B,1.073B,626.00M,263.00M,28.00M,,,,,889.00M,184.00M,,,,28.00M,,212.00M,72.00M,140.00M,26.00M,,166.00M,121.51M,273.00M,89.00M,184.00M,0.31,0.06,,0.2691,0.37,0.31,0.06,,0.2695,0.37,452.00M,457.00M,
2000-01,2.246B,2.246B,1.16B,1.086B,625.00M,290.00M,31.00M,,,,,915.00M,171.00M,,,,31.00M,,202.00M,71.00M,131.00M,,,131.00M,110.90M,267.00M,96.00M,171.00M,0.3,0.0,,0.2542,0.3,0.2977,0.0,,0.252,0.2977,439.00M,440.00M,
1999-10,947.00M,947.00M,,,,,,,,,,,-5.461B,,,,,,,,-60.00M,,,146.00M,-60.00M,-5.461B,,-5.461B,-0.01,0.54,,-0.01,0.53,-0.01,0.54,,-0.01,0.53,452.00M,457.50M,
1999-07,2.087B,2.087B,,,,,,,,,,,2.087B,,,,,,,,135.00M,,,135.00M,135.00M,2.087B,,2.087B,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,450.00M,450.00M,
1999-04,2.01B,2.01B,,,,,,,,,,,2.01B,,,,,,,,157.00M,,,157.00M,157.00M,2.01B,,2.01B,0.35,0.0,,0.35,0.35,0.34,0.0,,0.34,0.34,448.57M,461.76M,
1999-01,1.786B,1.786B,,,,,,,,,,,1.786B,,,,,,,,74.00M,,,74.00M,74.00M,1.786B,,1.786B,0.17,0.0,,0.17,0.17,0.16,0.0,,0.16,0.16,435.29M,462.50M,
