,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2006-10,2.262B,,2.262B,692.00M,,692.00M,291.00M,51.00M,285.00M,,627.00M,,,377.00M,3.958B,0.0,75.00M,1.023B,863.00M,388.00M,2.349B,-1.574B,775.00M,385.00M,83.00M,468.00M,,,2.168B,3.411B,7.369B,378.00M,,378.00M,131.00M,509.00M,,,,,225.00M,225.00M,804.00M,1.538B,1.50B,1.50B,182.00M,182.00M,,11.00M,490.00M,2.172B,3.71B,5.00M,1.534B,6.605B,4.525B,29.00M,3.648B
2006-07,2.249B,,2.249B,853.00M,,853.00M,319.00M,66.00M,320.00M,,705.00M,,,412.00M,4.219B,,,,,,2.619B,-1.797B,822.00M,395.00M,86.00M,481.00M,,,2.207B,3.51B,7.729B,425.00M,,425.00M,159.00M,584.00M,,,,,292.00M,292.00M,803.00M,1.679B,1.50B,1.50B,,,,,758.00M,2.258B,3.937B,5.00M,1.695B,6.543B,4.469B,18.00M,3.792B
2006-04,2.657B,,2.657B,845.00M,,845.00M,340.00M,66.00M,307.00M,,713.00M,,,361.00M,4.576B,,,,,,2.65B,-1.797B,853.00M,481.00M,,481.00M,,,2.147B,3.481B,8.057B,422.00M,,422.00M,170.00M,592.00M,,,,,293.00M,293.00M,899.00M,1.784B,1.50B,1.50B,,,,,699.00M,2.199B,3.983B,5.00M,1.468B,6.391B,3.768B,-22.00M,4.074B
2006-01,2.737B,,2.737B,772.00M,,772.00M,338.00M,71.00M,331.00M,,740.00M,,,377.00M,4.626B,,,,,,2.672B,-1.797B,875.00M,,375.00M,375.00M,,,2.15B,3.40B,8.026B,386.00M,,386.00M,190.00M,576.00M,,,,,262.00M,262.00M,799.00M,1.637B,1.50B,1.50B,,,,,707.00M,2.207B,3.844B,5.00M,1.353B,6.156B,3.281B,-51.00M,4.182B
2005-10,2.226B,25.00M,2.251B,678.00M,,678.00M,285.00M,54.00M,273.00M,,612.00M,,,906.00M,4.447B,0.0,84.00M,1.327B,807.00M,392.00M,2.61B,-1.755B,855.00M,345.00M,,345.00M,,,1.104B,2.304B,6.751B,323.00M,,323.00M,158.00M,481.00M,,,,,205.00M,205.00M,1.25B,1.936B,,,,,,,,734.00M,2.67B,5.00M,-1.463B,5.878B,290.00M,-49.00M,4.081B
2005-07,2.782B,,2.782B,966.00M,,966.00M,514.00M,107.00M,315.00M,,936.00M,,,242.00M,4.926B,,,,,,3.905B,-2.757B,1.148B,,461.00M,461.00M,,,817.00M,2.426B,7.352B,399.00M,,399.00M,204.00M,603.00M,,,,,323.00M,323.00M,845.00M,1.771B,1.15B,1.15B,,,,,483.00M,1.633B,3.404B,5.00M,-1.509B,5.311B,,141.00M,3.948B
2005-04,2.685B,,2.685B,964.00M,,964.00M,532.00M,115.00M,311.00M,,958.00M,,,206.00M,4.813B,,,,,,3.942B,-2.757B,1.185B,,458.00M,458.00M,,,812.00M,2.455B,7.268B,389.00M,,389.00M,185.00M,574.00M,,,,,314.00M,314.00M,877.00M,1.765B,1.15B,1.15B,,,,,484.00M,1.634B,3.399B,5.00M,-1.612B,5.259B,,217.00M,3.869B
2005-01,2.483B,,2.483B,946.00M,,946.00M,609.00M,115.00M,313.00M,,1.037B,,,183.00M,4.649B,,,,,,3.992B,-2.757B,1.235B,,459.00M,459.00M,,,807.00M,2.501B,7.15B,408.00M,,408.00M,260.00M,668.00M,,,,,295.00M,295.00M,808.00M,1.771B,1.15B,1.15B,,,,,461.00M,1.611B,3.382B,5.00M,-1.707B,5.255B,,215.00M,3.768B
2004-10,2.315B,,2.315B,788.00M,,788.00M,441.00M,69.00M,299.00M,,809.00M,,,751.00M,4.663B,0.0,96.00M,1.46B,886.00M,405.00M,2.847B,-1.863B,984.00M,,345.00M,345.00M,,,1.152B,2.481B,7.144B,306.00M,,306.00M,208.00M,514.00M,,,,,227.00M,227.00M,1.031B,1.772B,1.15B,1.15B,,,,,653.00M,1.803B,3.575B,5.00M,-1.79B,5.195B,,159.00M,3.569B
2004-07,1.937B,,1.937B,1.15B,,1.15B,602.00M,120.00M,339.00M,,1.061B,,,250.00M,4.398B,,,,,,4.107B,-2.824B,1.283B,,388.00M,388.00M,,,672.00M,2.343B,6.741B,395.00M,,395.00M,252.00M,647.00M,,,,,295.00M,295.00M,872.00M,1.814B,1.15B,1.15B,,,,,448.00M,1.598B,3.412B,5.00M,-1.884B,5.167B,,41.00M,3.329B
2004-04,1.842B,,1.842B,1.094B,,1.094B,610.00M,138.00M,302.00M,,1.05B,,14.00M,255.00M,4.255B,,,,,,4.187B,-2.824B,1.363B,,393.00M,393.00M,,29.00M,635.00M,2.42B,6.675B,428.00M,,428.00M,280.00M,708.00M,,,,,307.00M,307.00M,891.00M,1.906B,1.15B,1.15B,,,,,432.00M,1.582B,3.488B,5.00M,-1.984B,5.067B,,99.00M,3.187B
2004-01,1.678B,,1.678B,1.064B,,1.064B,570.00M,147.00M,339.00M,,1.056B,,10.00M,178.00M,3.986B,,,,,,4.243B,-2.824B,1.419B,,410.00M,410.00M,,23.00M,546.00M,2.398B,6.384B,416.00M,,416.00M,302.00M,718.00M,,,,,284.00M,284.00M,743.00M,1.745B,1.15B,1.15B,,,,,420.00M,1.57B,3.315B,5.00M,-2.088B,5.05B,,102.00M,3.069B
2003-10,1.607B,,1.607B,1.086B,,1.086B,554.00M,85.00M,356.00M,,995.00M,,10.00M,191.00M,3.889B,0.0,106.00M,1.838B,1.923B,404.00M,4.271B,-2.824B,1.447B,,402.00M,402.00M,,27.00M,532.00M,2.408B,6.297B,441.00M,,441.00M,311.00M,752.00M,,,,,262.00M,262.00M,892.00M,1.906B,1.15B,1.15B,,,,,417.00M,1.567B,3.473B,5.00M,-2.159B,4.984B,,-6.00M,2.824B
2003-07,1.43B,,1.43B,967.00M,,967.00M,630.00M,73.00M,348.00M,,1.051B,,13.00M,289.00M,3.75B,,,,,,3.943B,-2.494B,1.449B,,391.00M,391.00M,,14.00M,386.00M,2.24B,5.99B,328.00M,,328.00M,356.00M,684.00M,,,,,259.00M,259.00M,845.00M,1.788B,1.15B,1.15B,,,,,332.00M,1.482B,3.27B,5.00M,-2.172B,4.976B,,-89.00M,2.72B
2003-04,1.533B,,1.533B,929.00M,,929.00M,634.00M,128.00M,369.00M,,1.131B,,441.00M,275.00M,4.309B,,,,,,4.004B,-2.494B,1.51B,,414.00M,414.00M,,966.00M,418.00M,3.308B,7.617B,294.00M,,294.00M,443.00M,737.00M,,,,,257.00M,257.00M,1.012B,2.006B,1.15B,1.15B,,,,,260.00M,1.41B,3.416B,5.00M,-616.00M,4.923B,,-111.00M,4.201B
2003-01,1.754B,,1.754B,930.00M,,930.00M,670.00M,133.00M,363.00M,,1.166B,,451.00M,258.00M,4.559B,,,,,,4.065B,-2.494B,1.571B,,422.00M,422.00M,,796.00M,422.00M,3.211B,7.77B,290.00M,,290.00M,463.00M,753.00M,,,,,256.00M,256.00M,1.014B,2.023B,1.15B,1.15B,,,,,248.00M,1.398B,3.421B,5.00M,-470.00M,4.922B,,-108.00M,4.349B
2002-10,1.844B,,1.844B,1.118B,1.00M,1.119B,677.00M,130.00M,377.00M,,1.184B,,462.00M,271.00M,4.88B,0.0,148.00M,1.625B,2.30B,,4.073B,-2.494B,1.579B,,685.00M,685.00M,,635.00M,424.00M,3.323B,8.203B,305.00M,,305.00M,574.00M,879.00M,,,,,244.00M,244.00M,1.058B,2.181B,1.15B,1.15B,,,,,245.00M,1.395B,3.576B,5.00M,-101.00M,4.872B,,-149.00M,4.627B
2002-07,2.105B,,2.105B,873.00M,,873.00M,684.00M,157.00M,460.00M,,1.301B,,,700.00M,4.979B,,,,,,3.99B,-2.277B,1.713B,,780.00M,780.00M,,,965.00M,3.458B,8.437B,373.00M,,373.00M,809.00M,1.182B,,,,,278.00M,278.00M,498.00M,1.958B,1.15B,1.15B,,,,,328.00M,1.478B,3.436B,5.00M,135.00M,4.862B,,-1.00M,5.001B
2002-04,2.235B,,2.235B,902.00M,,902.00M,610.00M,307.00M,390.00M,,1.307B,,,816.00M,5.26B,,,,,,4.005B,-2.277B,1.728B,,863.00M,863.00M,,,387.00M,2.978B,8.238B,347.00M,,347.00M,,347.00M,,,,,283.00M,283.00M,979.00M,1.609B,1.15B,1.15B,,,,,351.00M,1.501B,3.11B,5.00M,363.00M,4.803B,,-43.00M,5.128B
2002-01,2.188B,,2.188B,817.00M,247.00M,1.064B,678.00M,305.00M,399.00M,,1.382B,,,833.00M,5.467B,,,,,,4.064B,-2.277B,1.787B,,952.00M,952.00M,,,352.00M,3.091B,8.558B,321.00M,,321.00M,,321.00M,,,,,269.00M,269.00M,1.07B,1.66B,1.15B,1.15B,,,,,353.00M,1.503B,3.163B,5.00M,616.00M,4.779B,,-5.00M,5.395B
2001-10,1.17B,,1.17B,977.00M,,977.00M,852.00M,239.00M,400.00M,,1.491B,,,1.161B,4.799B,0.0,148.00M,1.767B,2.21B,,4.125B,-2.277B,1.848B,,1.07B,1.07B,,,269.00M,3.187B,7.986B,392.00M,,392.00M,755.00M,1.147B,,,,,279.00M,279.00M,576.00M,2.002B,,,,,,,,325.00M,2.327B,5.00M,931.00M,4.723B,,,5.659B
2001-07,999.00M,,999.00M,1.169B,,1.169B,968.00M,283.00M,453.00M,,1.704B,,,784.00M,4.656B,,,,,,4.036B,-2.229B,1.807B,,1.178B,1.178B,,,981.00M,3.966B,8.622B,544.00M,,544.00M,478.00M,1.022B,794.00M,,794.00M,794.00M,386.00M,386.00M,602.00M,2.804B,,,,,,,,331.00M,3.135B,5.00M,788.00M,4.705B,,-11.00M,5.487B
2001-04,809.00M,,809.00M,1.573B,,1.573B,1.042B,316.00M,433.00M,,1.791B,,,825.00M,4.998B,,,,,,4.077B,-2.229B,1.848B,,1.238B,1.238B,,,996.00M,4.082B,9.08B,653.00M,,653.00M,638.00M,1.291B,773.00M,,773.00M,773.00M,377.00M,377.00M,657.00M,3.098B,,,,,,,,366.00M,3.464B,5.00M,1.007B,4.589B,,15.00M,5.616B
2001-01,433.00M,,433.00M,2.13B,,2.13B,1.203B,381.00M,545.00M,,2.129B,,,769.00M,5.461B,,,,,,4.05B,-2.229B,1.821B,,1.213B,1.213B,,,713.00M,3.747B,9.208B,711.00M,,711.00M,758.00M,1.469B,556.00M,,556.00M,556.00M,405.00M,405.00M,640.00M,3.07B,,,,,,,,597.00M,3.667B,5.00M,911.00M,4.592B,,33.00M,5.541B
2000-10,996.00M,,996.00M,1.938B,,1.938B,914.00M,340.00M,356.00M,,1.61B,,,595.00M,5.139B,,,,,,3.914B,-2.229B,1.685B,,467.00M,467.00M,,,1.039B,3.191B,8.33B,857.00M,,857.00M,695.00M,1.552B,110.00M,,110.00M,110.00M,322.00M,322.00M,679.00M,2.663B,,,,,,,,402.00M,3.065B,5.00M,757.00M,4.508B,,-5.00M,5.265B
2000-07,703.00M,,703.00M,2.167B,,2.167B,,,521.00M,1.241B,1.762B,,,712.00M,5.344B,,,,,,3.825B,-2.244B,1.581B,,,,,,902.00M,2.483B,7.827B,783.00M,,783.00M,399.00M,1.182B,129.00M,,129.00M,129.00M,361.00M,361.00M,838.00M,2.51B,,,,,,,,415.00M,2.925B,5.00M,452.00M,4.451B,,-6.00M,4.902B
2000-04,978.00M,,978.00M,1.826B,63.00M,1.889B,,,528.00M,1.094B,1.622B,,,568.00M,5.057B,,,,,,3.69B,-2.237B,1.453B,,,,,,811.00M,2.264B,7.321B,509.00M,,509.00M,414.00M,923.00M,,,98.00M,98.00M,329.00M,329.00M,836.00M,2.186B,,,,,,,,493.00M,2.679B,5.00M,297.00M,4.344B,,-4.00M,4.642B
2000-01,1.368B,42.00M,1.41B,1.445B,,1.445B,,,721.00M,846.00M,1.567B,,,560.00M,4.982B,,,,,,3.634B,-2.226B,1.408B,,,,,,717.00M,2.125B,7.107B,303.00M,,303.00M,433.00M,736.00M,111.00M,332.00M,443.00M,443.00M,281.00M,281.00M,607.00M,2.067B,554.00M,554.00M,,,,,,554.00M,2.621B,5.00M,131.00M,4.297B,,53.00M,4.486B
1999-10,,,,1.635B,,1.635B,,,,,1.499B,,,404.00M,3.538B,,,,,,3.657B,-2.27B,1.387B,,,,,,519.00M,1.906B,5.444B,510.00M,,510.00M,,510.00M,,,,,,,1.171B,1.681B,,,,,,,,381.00M,2.062B,4.00M,,3.378B,,,3.382B
