,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-12,436.06M,436.06M,119.44M,316.62M,25.32M,81.04M,,,,,106.36M,210.26M,,,,216.49M,71.88M,144.62M,,,144.62M,144.62M,229.40M,19.13M,210.26M,0.44,0.0,,0.44,0.44,0.42,0.0,,0.42,0.42,325.66M,343.23M,0.1
2004-09,435.07M,435.07M,120.25M,314.82M,25.06M,79.10M,,,,,104.16M,210.66M,,,,216.38M,71.84M,144.54M,,,144.54M,144.54M,229.34M,18.68M,210.66M,0.45,0.0,,0.45,0.45,0.42,0.0,,0.42,0.42,324.67M,344.88M,0.08
2004-06,422.28M,422.28M,172.43M,249.86M,65.65M,184.12M,,,,,249.78M,0.081M,,,,5.863M,-4.692M,10.56M,,,10.56M,10.56M,18.37M,18.29M,0.081M,0.04,0.0,,0.04,0.04,0.04,0.0,,0.04,0.04,323.24M,337.83M,0.08
2004-03,370.02M,370.02M,111.76M,258.26M,23.55M,77.26M,,,,,100.80M,157.46M,,,,162.93M,53.77M,109.16M,,,109.16M,109.16M,171.76M,14.30M,157.46M,0.33,0.0,,0.33,0.33,0.31,0.0,,0.31,0.31,328.25M,354.18M,0.08
2003-12,338.11M,338.11M,103.03M,235.08M,22.19M,71.21M,,,,48.27M,141.68M,93.40M,,,,147.04M,48.52M,98.52M,,,98.52M,98.52M,107.68M,14.28M,93.40M,0.3,0.0,,0.3,0.3,0.28,0.0,,0.28,0.28,329.19M,353.89M,0.08
2003-09,310.17M,310.17M,93.03M,217.14M,21.39M,70.10M,,,,,91.48M,125.66M,,,,130.41M,43.03M,87.37M,,,87.37M,87.37M,140.65M,15.00M,125.66M,0.27,0.0,,0.27,0.27,0.25,0.0,,0.25,0.25,326.25M,347.33M,0.08
2003-06,295.03M,295.03M,88.45M,206.58M,20.99M,67.21M,,,,,88.20M,118.37M,,,,122.00M,40.26M,81.74M,,,81.74M,81.74M,132.92M,14.54M,118.37M,0.02,0.0,,0.02,0.02,0.02,0.0,,0.02,0.02,324.82M,340.46M,0.04
2003-03,286.23M,286.23M,86.15M,200.09M,21.06M,66.80M,,,,,87.87M,112.22M,,,,115.83M,38.22M,77.60M,,,77.60M,77.60M,127.18M,14.96M,112.22M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,322.90M,341.86M,0.02
2002-12,286.08M,286.08M,86.54M,199.54M,21.24M,67.20M,,,,,88.44M,111.10M,,,,115.04M,37.96M,77.08M,,,77.08M,77.08M,126.23M,15.14M,111.10M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,321.20M,340.32M,0.02
2002-09,285.88M,285.88M,87.12M,198.76M,22.30M,71.11M,,,,,93.41M,105.35M,,,,109.22M,36.04M,73.18M,,,73.18M,73.18M,121.05M,15.70M,105.35M,0.23,0.0,,0.23,0.23,0.22,0.0,,0.22,0.22,319.50M,337.95M,
2002-06,280.09M,280.09M,89.43M,190.66M,22.08M,72.03M,,,,,94.12M,96.55M,,,,102.40M,33.79M,68.61M,,,68.61M,68.61M,111.10M,14.56M,96.55M,0.22,0.0,,0.22,0.22,0.2,0.0,,0.2,0.2,321.27M,349.39M,
2002-03,258.48M,258.48M,76.99M,181.49M,21.95M,68.97M,,,,,90.92M,90.57M,,,,99.59M,32.87M,66.73M,,,66.73M,66.73M,103.74M,13.18M,90.57M,0.2,0.0,,0.2,0.2,0.19,0.0,,0.19,0.19,326.23M,358.60M,
2001-12,247.11M,247.11M,73.96M,173.15M,22.86M,68.57M,,,,,91.42M,81.72M,,,,93.36M,30.81M,62.55M,,,62.55M,62.55M,96.04M,14.32M,81.72M,0.19,0.0,,0.19,0.19,0.18,0.0,,0.18,0.18,323.90M,355.80M,
2001-09,239.43M,239.43M,71.84M,167.58M,25.09M,65.97M,,,,,91.06M,76.52M,,,,91.48M,30.19M,61.29M,,,61.29M,61.29M,90.71M,14.20M,76.52M,0.19,0.0,,0.19,0.19,0.17,0.0,,0.17,0.17,330.71M,359.50M,
2001-06,318.15M,318.15M,96.23M,221.92M,29.16M,69.98M,,,,,99.14M,122.78M,,,,-24.49M,-8.328M,-16.17M,,,-16.17M,-16.17M,139.92M,17.15M,122.78M,-0.05,0.0,,-0.05,-0.05,-0.05,0.0,,-0.05,-0.05,328.79M,360.35M,
2001-03,306.75M,306.75M,87.85M,218.90M,20.64M,52.09M,,,,,72.73M,146.17M,,,,157.48M,53.54M,103.94M,,,103.94M,103.94M,172.37M,26.20M,146.17M,0.36,0.0,,0.36,0.36,0.33,0.0,,0.33,0.33,286.21M,317.83M,
2000-12,438.32M,438.32M,154.11M,284.20M,43.42M,71.53M,,,,,114.95M,169.26M,,,,184.17M,62.00M,122.18M,,,122.18M,122.18M,194.40M,25.14M,169.26M,0.38,0.0,,0.38,0.38,0.34,0.0,,0.34,0.34,324.49M,361.56M,
2000-09,422.31M,422.31M,148.42M,273.89M,41.56M,66.59M,,,,,108.15M,165.74M,,,,179.13M,60.05M,119.07M,,,119.07M,119.07M,188.12M,22.37M,165.74M,0.37,0.0,,0.37,0.37,0.33,0.0,,0.33,0.33,283.60M,322.68M,
2000-06,767.77M,767.77M,320.29M,447.48M,92.99M,119.83M,,,,,212.82M,234.66M,,,,261.69M,86.29M,175.40M,,,175.40M,175.40M,299.62M,64.96M,234.66M,0.46,0.0,,0.46,0.46,0.42,0.0,,0.42,0.42,439.05M,488.58M,
2000-03,226.54M,226.54M,68.12M,158.42M,21.35M,36.44M,,,,,57.78M,100.64M,,,,113.19M,38.48M,74.70M,,,74.70M,74.70M,105.35M,4.712M,100.64M,0.27,0.0,,0.27,0.27,0.23,0.0,,0.23,0.23,276.17M,316.54M,
1999-12,201.70M,201.70M,56.10M,145.60M,17.30M,32.30M,,,,,54.40M,91.20M,,,,97.90M,33.30M,64.60M,,,64.60M,64.60M,96.00M,4.80M,91.20M,0.23,0.0,,0.23,0.23,0.2,0.0,,0.2,0.2,275.53M,315.71M,
1999-09,180.00M,180.00M,49.70M,130.30M,15.30M,28.30M,,,,,48.40M,81.90M,,,,88.50M,30.10M,58.40M,,,58.40M,58.40M,86.70M,4.80M,81.90M,0.22,0.0,,0.22,0.22,0.19,0.0,,0.19,0.19,273.59M,313.89M,
1999-06,555.35M,555.35M,251.14M,304.21M,68.74M,81.51M,,,,,136.95M,167.26M,,,,180.52M,58.84M,121.68M,,,121.68M,121.68M,221.84M,54.58M,167.26M,0.19,0.0,,0.19,0.19,0.16,0.0,,0.16,0.16,278.50M,318.97M,
1999-03,147.20M,147.20M,41.30M,105.90M,12.80M,21.80M,,5.20M,,,38.90M,67.00M,,5.20M,,72.30M,24.60M,47.70M,,,47.70M,44.27M,71.30M,4.30M,67.00M,0.18,0.0,,0.167,0.18,0.16,0.0,,0.1486,0.16,263.77M,301.74M,
1998-12,145.00M,145.00M,41.20M,103.80M,12.60M,21.40M,,,,,38.20M,65.60M,,,,70.50M,24.00M,46.50M,,,46.50M,46.50M,69.81M,4.213M,65.60M,0.18,0.0,,0.18,0.18,0.16,0.0,,0.16,0.16,258.33M,290.62M,
1998-09,155.28M,155.28M,50.45M,104.83M,13.49M,21.05M,,,,,34.54M,70.29M,,,,74.84M,25.45M,49.40M,,,49.40M,49.40M,75.08M,4.787M,70.29M,0.19,0.0,,0.19,0.19,0.17,0.0,,0.17,0.17,261.16M,297.32M,
1998-06,155.16M,155.16M,35.30M,119.86M,13.72M,21.00M,,,,,49.82M,70.05M,,,,74.53M,25.38M,49.16M,,,49.16M,49.16M,73.99M,3.942M,70.05M,0.185,0.0,,0.185,0.185,0.16,0.0,,0.16,0.16,263.09M,301.72M,
