,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,86.78M,,,,,21.02M,21.02M,-15.81M,,,,61.80M,-21.42M,-6.69M,,9.091M,-1.533M,40.52M,,19.97M,173.75M,-18.63M,,-18.63M,,-96.43M,0.071M,-114.99M,,,,53.62M,-81.31M,-27.69M,,-32.79M,,18.97M,-41.51M,185.55M,17.25M,202.80M,53.62M,,,-81.31M,,
2005-06,47.58M,,,,-87.34M,20.55M,20.55M,-12.40M,,,,,-5.647M,-0.261M,,35.98M,8.585M,7.592M,,46.25M,195.58M,-50.76M,,-50.76M,,-21.34M,20.97M,-51.12M,,,,23.93M,-71.74M,-47.82M,,-32.74M,,,-80.56M,142.48M,63.90M,185.55M,23.93M,,,-71.74M,,
2005-03,125.54M,,,,29.42M,19.28M,19.28M,26.31M,,,,,-12.70M,-12.88M,,-11.58M,1.087M,14.14M,-8.43M,-30.36M,170.18M,-13.80M,,-13.80M,,-147.96M,-0.396M,-162.16M,,,,27.18M,-24.45M,2.724M,,-32.68M,,,-29.96M,164.41M,-21.93M,142.48M,27.18M,,,-24.45M,,
2004-12,144.62M,,,,34.13M,19.13M,19.13M,4.931M,,,,,21.86M,-10.76M,,-28.26M,-1.223M,-39.76M,8.43M,-49.72M,153.09M,-31.41M,,-31.41M,,-188.17M,1.863M,-217.72M,,,,28.98M,-13.77M,15.21M,,-32.57M,,,-17.36M,246.40M,-81.99M,164.41M,28.98M,,,-13.77M,,
2004-09,144.54M,,,,23.79M,18.68M,18.68M,4.041M,,,,,-3.572M,-18.03M,,-3.852M,0.366M,42.30M,,17.21M,208.27M,-66.34M,,-66.34M,,15.39M,-0.109M,-51.07M,,,,25.91M,-58.49M,-32.58M,,-25.95M,,,-58.53M,147.73M,98.67M,246.40M,25.91M,,,-58.49M,,
2004-06,10.56M,,,,,18.29M,18.29M,-135.87M,,,,,-37.94M,-10.58M,,-18.11M,-8.361M,50.43M,,-24.55M,151.32M,-42.33M,,-42.33M,,-26.90M,-18.64M,-87.87M,,,,40.38M,-100.13M,-59.75M,,-25.79M,,,-85.54M,109.03M,-22.08M,126.90M,40.38M,,,-100.13M,,
2004-03,109.16M,,,,,14.30M,14.30M,104.44M,,,,,-28.99M,4.909M,,28.22M,14.95M,-57.32M,,-38.23M,189.67M,-69.80M,,-69.80M,,197.54M,1.419M,129.16M,,,,41.76M,-385.08M,-343.32M,,-26.26M,,,-369.58M,159.79M,-50.76M,109.03M,41.76M,,,-385.08M,,
2003-12,98.52M,,,,,14.28M,14.28M,5.30M,,,,,-2.386M,7.174M,,7.588M,-2.501M,44.44M,,54.32M,172.42M,-70.00M,,-70.00M,,-39.73M,-2.114M,-111.84M,,,,62.34M,-100.57M,-38.24M,,-26.38M,,,-64.62M,163.84M,-4.046M,159.79M,62.34M,,,-100.57M,,
2003-09,87.37M,,,,,15.00M,15.00M,3.00M,,,,,0.091M,5.743M,,7.582M,-3.988M,40.72M,,50.14M,155.51M,-22.96M,,-22.96M,,-178.73M,1.379M,-200.30M,,,,39.38M,-15.46M,23.92M,,-26.13M,,,-2.215M,210.84M,-47.01M,163.84M,39.38M,,,-15.46M,,
2003-06,81.74M,,,,,14.54M,14.54M,22.00M,,,,,13.73M,2.56M,,4.273M,1.344M,28.36M,,50.26M,168.55M,-28.38M,,-28.38M,,-128.62M,0.16M,-156.84M,,,,23.80M,-46.70M,-22.90M,,-13.01M,,,-35.91M,235.03M,-24.19M,210.84M,23.80M,,,-46.70M,,
2003-03,77.60M,,,,,14.96M,14.96M,29.33M,,,,,36.35M,4.177M,,-20.87M,-59.38M,45.87M,,6.146M,128.04M,-8.648M,,-8.648M,,-57.92M,-0.029M,-66.59M,,,,19.87M,-19.98M,-0.111M,,-6.454M,,,-6.565M,180.15M,54.88M,235.03M,19.87M,,,-19.98M,,
2002-12,77.08M,,,,,15.14M,15.14M,-11.88M,,,,,1.69M,8.375M,,10.38M,59.45M,-0.435M,,79.46M,159.79M,-8.384M,,-8.384M,,-137.02M,0.718M,-144.68M,,,,29.31M,-18.29M,11.02M,,-6.415M,,,4.61M,160.43M,19.72M,180.15M,29.31M,,,-18.29M,,
2002-09,73.18M,,,,,15.70M,15.70M,8.947M,,,,,-6.797M,2.902M,,2.974M,-1.31M,29.82M,,27.59M,125.41M,-38.65M,,-38.65M,,-36.54M,-5.297M,-80.49M,,,,10.69M,-68.98M,-58.29M,,,,,-58.29M,173.81M,-13.38M,160.43M,10.69M,,,-68.98M,,
2002-06,68.61M,,,,,14.56M,14.56M,6.404M,,,,,-21.24M,8.518M,,188.34M,-49.32M,-100.89M,,25.40M,114.97M,-23.03M,,1.807B,,-1.475B,-1.442M,330.20M,,,,25.11M,-367.67M,-342.56M,,,,,-342.56M,71.19M,102.62M,173.81M,25.11M,,,-367.67M,,
2002-03,66.73M,,,,,13.18M,13.18M,13.00M,,,,,-23.98M,6.723M,,-15.67M,-3.624M,8.626M,,-27.93M,64.97M,-23.06M,,-23.06M,,-9.064M,-7.967M,-40.10M,,,,29.48M,-141.89M,-112.41M,,,,,-112.41M,158.73M,-87.54M,71.19M,29.48M,,,-141.89M,,
2001-12,62.55M,,,,,14.32M,14.32M,-6.821M,,,,,2.345M,4.861M,,-21.53M,-1.727M,28.48M,,12.44M,82.49M,-18.68M,,-18.68M,,-5.57M,-0.792M,-25.04M,,,,29.64M,-67.82M,-38.18M,,,,,-38.18M,139.46M,19.27M,158.73M,29.64M,,,-67.82M,,
2001-09,61.29M,,,,,14.20M,14.20M,-6.175M,,,,,65.56M,3.348M,,-18.39M,3.077M,18.42M,,72.02M,141.33M,-25.60M,,-25.60M,,190.89M,0.614M,165.90M,,,,25.06M,-286.63M,-261.57M,,,,,-261.57M,93.80M,45.66M,139.46M,25.06M,,,-286.63M,,
2001-06,-16.17M,,,,124.43M,17.15M,17.15M,27.38M,,,,,11.30M,-3.453M,,-191.82M,-7.604M,178.16M,,-13.42M,139.38M,-51.83M,,-51.83M,,-114.90M,0.751M,-165.98M,,,,21.89M,0.00,21.89M,,0.00,,,21.89M,98.51M,-4.714M,93.80M,21.89M,,,0.00,,
2001-03,109.86M,,,,18.50M,26.20M,26.20M,-7.495M,,,,,3.325M,-14.67M,,155.39M,4.722M,-105.90M,,42.87M,189.94M,-89.88M,,-89.88M,,-79.78M,-2.773M,-172.44M,,,,39.57M,-45.38M,-5.807M,,-2.041M,,,-7.848M,88.86M,9.648M,98.51M,39.57M,,,-45.38M,,
2000-12,122.18M,,,,15.20M,25.14M,25.14M,0.737M,,,,,28.04M,-2.998M,,32.53M,4.189M,52.78M,,114.54M,277.79M,-127.29M,,-127.29M,,-43.87M,-3.854M,-175.01M,,,,22.21M,-106.18M,-83.97M,,-1.973M,,,-85.94M,72.02M,16.84M,88.86M,22.21M,,,-106.18M,,
2000-09,119.07M,,,,20.27M,22.37M,22.37M,6.758M,,,,,-9.234M,-6.82M,,0.294M,5.918M,43.91M,,34.06M,202.54M,-67.54M,,-67.54M,,-75.73M,1.031M,-142.24M,,,,30.59M,-99.12M,-68.53M,,-1.963M,,,-70.50M,82.22M,-10.19M,72.02M,30.59M,,,-99.12M,,
2000-06,175.40M,,,,20.00M,64.96M,64.96M,,,,,,-28.22M,-12.81M,,24.82M,-1.547M,131.07M,,113.32M,344.25M,-179.79M,,-179.79M,,-36.65M,-6.509M,-222.94M,,,,38.01M,-160.38M,-122.36M,,,,,-130.20M,74.03M,-8.892M,82.22M,38.01M,,,-160.38M,,
2000-03,74.69M,,,,8.80M,4.712M,4.712M,,,,,,-9.162M,-6.968M,,10.52M,-15.28M,53.08M,,32.20M,120.40M,-43.32M,,-43.32M,,-51.86M,-0.093M,-95.27M,,,,25.62M,-4.944M,20.67M,,,,,20.67M,28.20M,45.80M,74.03M,25.62M,,,-4.944M,,
1999-12,64.60M,,,,3.90M,4.80M,4.80M,,,,,,-10.40M,0.50M,,2.90M,-1.50M,19.20M,,10.70M,84.00M,-34.80M,,-34.80M,,-27.80M,-4.00M,-66.60M,,,,17.30M,-68.70M,-51.40M,,,,,-51.40M,62.20M,-34.00M,28.20M,17.30M,,,-68.70M,,
1999-09,58.40M,,,,2.50M,4.80M,4.80M,,,,,,-13.70M,0.40M,,2.90M,12.70M,49.60M,,51.90M,117.60M,-34.20M,,-34.20M,,-36.50M,-0.80M,-71.50M,,,,18.20M,-36.20M,-18.00M,,,,,-18.00M,34.10M,28.10M,62.20M,18.20M,,,-36.20M,,
1999-06,121.68M,,,,,54.58M,54.58M,-4.758M,,,,0.10M,-42.54M,-5.404M,,29.92M,6.541M,73.89M,,62.40M,236.70M,-93.55M,,-93.55M,,-111.90M,1.918M,-203.54M,,,,35.33M,-60.86M,-25.53M,,,,-0.10M,-31.41M,45.20M,1.754M,51.21M,35.33M,,,-60.86M,,
1999-03,47.70M,,,,,4.30M,4.30M,,,,,-0.10M,2.70M,0.30M,,-4.20M,-4.40M,37.90M,,32.30M,84.20M,-7.30M,,-7.30M,,-80.80M,1.20M,-86.90M,,,,12.40M,-18.20M,-5.80M,,,,0.10M,-5.70M,53.70M,-8.40M,45.20M,12.40M,,,-18.20M,,
1998-12,46.50M,,,,,4.213M,4.213M,-0.921M,,,,,12.06M,1.40M,,-6.283M,-5.50M,8.193M,,9.868M,59.66M,-11.56M,,-11.56M,,-49.02M,-1.833M,-62.41M,,,,13.01M,-8.898M,4.113M,,,,,4.113M,52.28M,1.364M,53.70M,13.01M,,,-8.898M,,
1998-09,49.40M,,,,,4.787M,4.787M,0.921M,,,,,2.442M,,,-0.717M,,8.507M,,10.23M,65.34M,-11.24M,,-11.24M,,16.42M,0.033M,5.214M,,,,8.489M,-43.50M,-35.01M,,,,,-35.01M,16.74M,35.54M,52.28M,8.489M,,,-43.50M,,
1998-06,49.16M,,,,1.458M,3.942M,3.942M,,,,,,5.186M,-3.785M,5.372M,-54.30M,,98.51M,,49.99M,94.45M,-21.06M,,-21.06M,,-57.02M,0.61M,-77.48M,,,,6.33M,-41.58M,-35.25M,,,,0.01M,-35.24M,35.03M,-18.27M,16.70M,6.33M,,,-41.58M,,
