,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2005-08,1.139B,234.00M,1.373B,434.00M,,434.00M,253.00M,352.00M,,2.412B,,,,,,21.43B,,21.43B,3.243B,1.283B,4.526B,,,394.00M,26.35B,28.77B,682.00M,,682.00M,740.00M,1.422B,,,,3.409B,,3.409B,,,,4.831B,6.274B,,6.274B,,,,,,571.00M,6.845B,11.68B,359.00M,10.08B,7.454B,1.058B,270.00M,17.09B
2005-05,721.00M,303.00M,1.024B,418.00M,,418.00M,253.00M,404.00M,,2.099B,,,,,,21.25B,,21.25B,3.259B,1.288B,4.547B,,,411.00M,26.21B,28.31B,3.232B,,3.232B,719.00M,3.951B,,,,1.447B,,1.447B,,,,5.398B,6.305B,,6.305B,,,,,,543.00M,6.848B,12.25B,359.00M,9.092B,7.356B,1.088B,358.00M,16.06B
2005-02,321.00M,,321.00M,332.00M,,332.00M,245.00M,458.00M,,1.356B,,,,,,21.23B,,21.23B,3.319B,1.308B,4.627B,,,388.00M,26.24B,27.60B,2.55B,,2.55B,806.00M,3.356B,,,,1.887B,,1.887B,,,,5.243B,5.879B,,5.879B,,,,,,460.00M,6.339B,11.58B,359.00M,8.847B,7.34B,1.058B,549.00M,16.02B
2004-11,643.00M,17.00M,660.00M,409.00M,,409.00M,240.00M,266.00M,153.00M,1.728B,,,,,,20.82B,,20.82B,3.321B,1.306B,4.627B,,,458.00M,25.91B,27.64B,631.00M,,631.00M,721.00M,1.352B,,,,1.662B,,1.662B,,,2.02B,5.034B,6.291B,,6.291B,,,,,,551.00M,6.842B,11.88B,359.00M,8.623B,7.311B,1.058B,541.00M,15.76B
2004-08,594.00M,,594.00M,434.00M,,434.00M,223.00M,229.00M,102.00M,1.582B,,,,,,19.90B,,19.90B,3.259B,1.279B,4.538B,,,417.00M,24.85B,26.44B,728.00M,100.00M,828.00M,455.00M,1.283B,,,,1.287B,,1.287B,,,1.81B,4.38B,6.224B,,6.224B,,,,,,530.00M,6.754B,11.13B,358.00M,8.45B,7.279B,1.058B,292.00M,15.30B
2004-05,443.00M,,443.00M,425.00M,,425.00M,211.00M,270.00M,101.00M,1.45B,,,,,,19.95B,,19.95B,3.212B,1.349B,4.561B,,,444.00M,24.95B,26.40B,711.00M,100.00M,811.00M,410.00M,1.221B,,,,1.357B,,1.357B,,,2.212B,4.79B,6.623B,,6.623B,,,,,,593.00M,7.216B,12.01B,358.00M,7.526B,7.263B,1.058B,327.00M,14.40B
2004-02,563.00M,,563.00M,445.00M,,445.00M,200.00M,237.00M,147.00M,1.592B,,,,,,18.93B,,18.93B,3.123B,1.357B,4.48B,,,506.00M,23.91B,25.51B,689.00M,100.00M,789.00M,455.00M,1.244B,,,,580.00M,,580.00M,,,1.705B,3.529B,7.247B,,7.247B,,548.00M,548.00M,,,,7.795B,11.32B,358.00M,7.294B,7.254B,1.058B,356.00M,14.18B
2003-11,,,,,,,,,,,,,,,,,,,,,,,,,,24.45B,,,,,,,,,,,,,,,,,,,,,,,,,,10.70B,,,,,,13.75B
2003-08,988.01M,60.97M,1.049B,347.19M,,347.19M,159.64M,240.49M,114.08M,1.910B,,,,,,17.51B,,17.51B,3.616B,,3.616B,,,362.63M,21.49B,23.40B,639.09M,83.77M,722.86M,482.55M,1.205B,,,,365.06M,,365.06M,,,1.318B,2.889B,6.636B,,6.636B,,277.54M,277.54M,25.67M,,,6.939B,9.828B,354.62M,7.085B,7.105B,1.059B,102.45M,13.57B
2003-05,1.381B,68.00M,1.449B,347.05M,,347.05M,157.78M,292.14M,301.08M,2.547B,,,,,,16.71B,,16.71B,3.649B,,3.649B,,,458.53M,20.82B,23.36B,615.78M,82.48M,698.26M,482.66M,1.181B,,,,346.30M,,346.30M,,,1.728B,3.255B,6.708B,,6.708B,,307.50M,307.50M,99.53M,,,7.115B,10.37B,353.34M,6.435B,7.117B,1.059B,165.88M,12.99B
2003-02,732.92M,37.58M,770.49M,110.13M,,110.13M,95.41M,178.68M,68.03M,1.223B,,,,,,12.33B,-2.096B,10.24B,706.49M,,706.49M,,,325.06M,11.27B,12.49B,304.94M,61.63M,366.57M,277.44M,644.01M,,,,226.74M,,226.74M,,,792.49M,1.663B,3.084B,,3.084B,190.00M,190.00M,190.00M,19.21M,,,3.293B,4.956B,5.87M,6.391B,1.093B,,59.57M,7.537B
2002-11,667.00M,39.00M,706.00M,,,108.00M,91.00M,,227.00M,1.132B,,,,,,12.10B,-1.987B,10.12B,,681.00M,681.00M,,,407.00M,11.20B,12.34B,269.00M,,269.00M,,269.00M,,,,155.00M,,155.00M,,,1.196B,1.62B,3.014B,,3.014B,170.00M,,170.00M,,,113.00M,3.297B,4.917B,6.00M,6.326B,1.089B,,,7.385B
2002-08,1.300B,46.97M,1.347B,129.29M,,129.29M,91.04M,136.84M,97.00M,1.802B,,,,,,10.96B,-1.708B,9.252B,678.38M,,678.38M,,,464.93M,10.40B,12.20B,317.31M,61.61M,378.92M,1.006B,1.385B,,,,25.70M,,25.70M,,,97.84M,1.508B,3.044B,,3.044B,167.88M,167.88M,167.88M,184.19M,,,3.397B,4.905B,5.868M,6.196B,1.089B,0.00,13.38M,7.292B
2002-05,1.297B,203.38M,1.500B,112.01M,,112.01M,89.16M,158.15M,128.19M,1.988B,,,,,,10.59B,-1.708B,8.880B,665.71M,,665.71M,,,523.09M,10.07B,12.06B,276.95M,61.59M,338.54M,250.08M,588.62M,,,,24.94M,,24.94M,,,1.050B,1.664B,3.090B,,3.090B,165.39M,165.39M,165.39M,302.28M,,,3.558B,5.222B,5.866M,5.757B,1.086B,0.00,-1.336M,6.835B
2002-02,1.162B,39.25M,1.201B,109.12M,,109.12M,90.37M,144.34M,160.29M,1.705B,,,,,,10.48B,-1.708B,8.776B,644.80M,,644.80M,,,588.72M,10.01B,11.71B,271.28M,61.57M,332.86M,277.10M,609.96M,,,,21.26M,,21.26M,,,847.02M,1.478B,2.960B,,2.960B,165.61M,165.61M,165.61M,450.06M,,,3.576B,5.054B,6.202M,5.624B,1.810B,727.64M,-38.08M,6.660B
2001-11,1.421B,37.00M,1.458B,,,91.00M,92.00M,,318.00M,1.959B,,,,,,10.10B,-1.708B,8.39B,,652.00M,652.00M,,,563.00M,9.605B,11.56B,269.00M,,269.00M,,269.00M,,,,22.00M,,22.00M,,,1.189B,1.48B,2.955B,,2.955B,158.00M,,158.00M,,,380.00M,3.493B,4.973B,6.00M,5.556B,1.805B,728.00M,,6.591B
2001-08,1.155B,,1.155B,113.46M,,113.46M,96.34M,142.22M,118.49M,1.626B,,,,,,10.07B,-1.646B,8.428B,662.34M,,662.34M,0.00,,559.89M,9.650B,11.28B,299.53M,61.55M,361.08M,307.94M,669.02M,,,,181.85M,,181.85M,,,870.40M,1.721B,2.478B,,2.478B,,145.98M,145.98M,383.66M,,,3.008B,4.729B,6.20M,5.502B,1.805B,727.64M,-25.14M,6.546B
2001-05,666.59M,,666.59M,113.74M,,113.74M,100.63M,175.24M,88.18M,1.144B,,,,,,10.02B,-1.635B,8.381B,684.89M,,684.89M,361.99M,,732.33M,10.16B,11.30B,314.87M,61.53M,376.40M,280.19M,656.59M,,,,417.82M,,417.82M,,,1.020B,2.094B,2.417B,,2.417B,,143.84M,143.84M,596.29M,,,3.157B,5.251B,6.199M,5.076B,1.802B,727.64M,-88.94M,6.054B
2001-02,133.11M,,133.11M,109.03M,,109.03M,101.32M,173.10M,68.61M,585.17M,,,,,,9.640B,-1.564B,8.076B,706.70M,,706.70M,423.59M,,493.51M,9.700B,10.29B,302.80M,61.40M,364.20M,267.05M,631.25M,,,,505.89M,,505.89M,,,838.02M,1.975B,1.855B,,1.855B,,149.58M,149.58M,363.29M,,,2.368B,4.343B,6.178M,4.951B,1.778B,705.14M,-72.78M,5.943B
2000-11,189.28M,,189.28M,,,95.36M,100.45M,,164.39M,549.48M,,,,,,9.486B,-1.484B,8.001B,,701.38M,701.38M,,,578.82M,9.282B,9.831B,332.69M,,332.69M,,332.69M,,,,248.22M,,248.22M,,,1.134B,1.715B,2.099B,,2.099B,,,,,,145.71M,2.245B,3.96B,6.176M,4.884B,1.773B,705.14M,,5.871B
2000-08,141.14M,4.455M,145.60M,109.07M,,109.07M,92.35M,122.15M,,469.16M,,,,,,8.538B,-1.436B,7.102B,452.68M,,452.68M,516.34M,,51.76M,8.123B,8.592B,228.62M,61.53M,290.15M,257.02M,547.17M,,,,6.696M,,6.696M,,,701.68M,1.256B,1.476B,,1.476B,,91.61M,91.61M,,,,1.567B,2.823B,6.176M,4.758B,1.773B,705.14M,-49.80M,5.769B
2000-05,295.57M,4.584M,300.15M,96.72M,,96.72M,94.69M,130.88M,,622.44M,,,,,,8.046B,-1.371B,6.674B,455.31M,,455.31M,541.65M,,48.66M,7.720B,8.342B,194.62M,63.37M,257.99M,243.06M,501.05M,,,,208.86M,,208.86M,,,854.38M,1.564B,871.05M,,871.05M,,91.24M,91.24M,,,,962.28M,2.527B,6.174M,4.424B,1.770B,335.14M,-35.81M,5.816B
2000-02,552.76M,5.553M,558.32M,82.29M,,82.29M,86.76M,124.82M,,852.18M,,,,,,7.768B,-1.329B,6.439B,458.85M,,458.85M,543.85M,,38.33M,7.480B,8.333B,197.52M,64.82M,262.34M,221.16M,483.50M,,,,207.82M,,207.82M,,,660.65M,1.352B,865.67M,,865.67M,,89.41M,89.41M,,,,955.08M,2.307B,6.173M,4.283B,1.769B,,-18.36M,6.026B
1999-11,521.80M,,521.80M,,,62.90M,84.00M,,122.90M,791.60M,,,,,,7.680B,-1.270B,6.410B,,462.30M,462.30M,,,621.60M,7.494B,8.286B,195.90M,,195.90M,,195.90M,,,,206.30M,,206.30M,,,1.003B,1.405B,868.00M,,868.00M,,,,,,82.00M,950.00M,2.355B,6.20M,4.176B,1.757B,,,5.931B
1999-08,484.20M,455.80M,940.00M,,,115.60M,79.20M,,87.90M,1.223B,,,,,,7.301B,-1.217B,6.083B,,402.40M,402.40M,,,519.10M,7.005B,8.228B,189.60M,,189.60M,,189.60M,,,,33.70M,,33.70M,,,1.002B,1.226B,1.184B,,1.184B,,,,,147.90M,75.40M,1.260B,2.485B,6.10M,3.990B,1.630B,,,5.594B
1999-05,382.60M,614.80M,997.40M,,,103.20M,81.00M,,100.30M,1.282B,,,,,,6.929B,-1.158B,5.771B,,406.70M,406.70M,,,539.80M,6.717B,7.999B,180.10M,,180.10M,,180.10M,,,,33.70M,,33.70M,,,1.080B,1.294B,1.241B,,1.241B,,,,,138.70M,82.80M,1.324B,2.618B,6.10M,3.630B,1.621B,,,5.242B
1999-02,574.30M,217.00M,791.30M,,,72.90M,77.60M,,95.00M,1.037B,,,,,,6.870B,-1.105B,5.764B,,434.20M,434.20M,,,595.00M,6.794B,7.830B,156.60M,,156.60M,,156.60M,,,,66.70M,,66.70M,,,915.00M,1.138B,1.356B,,1.356B,,,,,133.80M,88.90M,1.444B,2.583B,6.10M,3.482B,1.618B,,,5.114B
1998-11,137.27M,5.956M,143.23M,60.84M,,60.84M,75.45M,90.76M,,370.28M,,,,,,6.793B,-1.025B,5.768B,437.46M,,437.46M,546.69M,,56.77M,6.809B,7.179B,168.55M,53.59M,222.14M,206.97M,429.10M,,,,706.01M,,706.01M,,,,1.135B,1.563B,,1.563B,,63.04M,63.04M,,132.68M,,1.626B,2.761B,5.955M,3.380B,880.49M,,24.70M,4.285B
1998-08,125.10M,21.40M,146.50M,,,73.30M,74.20M,,88.90M,382.90M,,,,,,6.494B,-1.012B,5.482B,,439.70M,439.70M,,,488.10M,6.409B,6.792B,161.00M,,161.00M,,161.00M,,,,72.40M,,72.40M,,,895.30M,1.129B,1.375B,,1.375B,,,,,131.80M,52.50M,1.427B,2.556B,6.00M,3.213B,880.10M,,,4.104B
1998-05,120.60M,9.40M,130.00M,,,66.50M,76.20M,,102.80M,375.50M,,,,,,6.430B,-960.10M,5.470B,,403.10M,403.10M,,,463.40M,6.336B,6.712B,187.90M,,187.90M,,187.90M,,,,58.50M,,58.50M,,,969.50M,1.216B,1.557B,,1.557B,,,,,123.10M,23.90M,1.581B,2.797B,5.90M,2.912B,871.70M,,,3.792B
