,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2002-09,43.21M,,,12.71M,0.00,12.71M,12.71M,,,,13.56M,,,,,,,69.48M,,-7.008M,-7.008M,,-1.625M,-10.14M,-18.77M,,-2.00M,,-2.00M,2.109M,-14.85M,-12.74M,,-19.60M,,9.469M,-24.86M,,97.58M,25.84M,,123.42M,,2.109M,,-2.00M,-14.85M,,AOR,
2002-06,51.85M,,,12.99M,0.00,12.99M,12.99M,,,,33.86M,,,,,,,98.70M,,-7.01M,-7.01M,,-0.236M,-37.94M,-45.19M,,-13.00M,,-13.00M,4.025M,-77.07M,-73.04M,,-19.85M,,36.51M,-69.38M,,113.45M,-15.87M,,97.58M,,4.025M,0.00,-13.00M,-77.07M,,AOR,
2002-03,53.02M,,,12.75M,0.00,12.75M,12.75M,,,,22.02M,,,,,,,87.79M,,-5.501M,-5.501M,,-10.02M,-5.20M,-20.72M,,-33.37M,,-33.37M,15.74M,0.00,15.74M,,-19.68M,,3.948M,-33.36M,,79.74M,33.70M,,113.45M,,15.74M,,-33.37M,0.00,,AOR,
2001-12,-150.86M,,,-38.44M,-21.69M,-60.13M,-60.13M,,,,-101.34M,,,,,,,-22.33M,,37.15M,37.15M,,-21.68M,-12.57M,2.899M,,,,,-10.77M,6.221M,-4.549M,,55.29M,,158.09M,208.83M,,181.13M,-100.60M,,,,-10.77M,-170.00M,170.00M,6.221M,,AOR,Restated
2001-09,50.40M,,,12.99M,7.23M,20.22M,20.22M,,,,62.92M,,,,,,,133.54M,,-4.59M,-4.59M,0.00,-0.068M,12.57M,7.91M,,95.00M,,95.00M,4.228M,0.00,4.228M,,-18.47M,,-166.62M,-85.86M,,125.54M,55.59M,,181.13M,,4.228M,265.00M,-170.00M,0.00,,AOR,
2001-06,51.16M,,,13.29M,7.23M,20.52M,20.52M,,,,-1.74M,,,,,,,69.94M,,-9.465M,-9.465M,,2.136M,,-7.329M,,-75.00M,,-75.00M,1.048M,-0.221M,0.827M,,-18.45M,,5.273M,-87.35M,,150.28M,-24.74M,,125.54M,,1.048M,-95.00M,20.00M,-0.221M,,AOR,
2001-03,49.31M,,,12.16M,7.23M,19.39M,19.39M,,,,40.16M,,,,,,,108.85M,,-23.09M,-23.09M,,19.61M,,-3.48M,,-20.00M,,-20.00M,5.494M,-6.00M,-0.506M,,-18.37M,,3.253M,-35.62M,,80.53M,69.75M,,150.28M,,5.494M,,-20.00M,-6.00M,,AOR,
2000-12,55.47M,,,,,19.08M,19.08M,,,,-86.41M,17.00M,3.921M,17.00M,3.921M,,41.52M,29.65M,,-19.07M,-19.07M,0.00,5.684M,-43.65M,-57.04M,,-5.00M,,-5.00M,6.986M,,6.986M,,-15.82M,,10.05M,-3.776M,,111.68M,-31.16M,,80.53M,,6.986M,0.00,,,,AOR,Restated
2000-09,69.18M,,,,,14.59M,14.59M,,,,93.84M,-25.59M,,-25.59M,,,-51.18M,126.44M,,-25.87M,-25.87M,-783.19M,-51.86M,51.51M,-809.40M,,300.00M,,300.00M,12.29M,,12.29M,,-15.76M,,-7.771M,288.76M,,505.89M,-394.21M,,111.68M,,12.29M,300.00M,,,,,
2000-06,69.34M,,,,,10.55M,10.55M,,,,27.04M,22.78M,-45.27M,22.78M,-45.27M,,-44.98M,61.95M,,-22.64M,-22.64M,,56.51M,-15.37M,18.50M,,,,,-4.028M,,-4.028M,,-15.69M,,6.724M,-12.99M,,438.44M,67.46M,,505.89M,,-4.028M,,,,,,
2000-03,75.03M,,,,,9.474M,9.474M,,,,-24.79M,-22.78M,45.27M,-22.78M,45.27M,,44.98M,104.70M,,-18.04M,-18.04M,,-4.654M,9.548M,-13.15M,,,,,4.028M,,4.028M,,-15.61M,,,-11.59M,,358.47M,79.96M,,438.44M,,4.028M,,,,,,
1999-12,70.10M,,,,,9.873M,9.873M,,,,-23.16M,,26.70M,,,,-1.881M,54.94M,,-30.42M,-30.42M,,-32.36M,9.926M,-52.85M,,0.019M,,0.019M,3.267M,-11.92M,-8.651M,,-12.04M,,,-34.15M,,390.60M,-32.07M,,358.47M,,3.267M,0.019M,,-11.92M,,,Restated
1999-09,62.20M,,,,,8.079M,8.079M,,,,40.08M,,,,,,,110.36M,,-15.50M,-15.50M,,-17.28M,13.79M,-18.99M,,-0.019M,,-0.019M,1.514M,-51.83M,-50.32M,,-12.08M,,,-62.41M,,361.58M,28.95M,,390.60M,,1.514M,-0.019M,,-51.83M,,,
1999-06,53.70M,,,,,7.821M,7.821M,,,,14.52M,,-36.10M,,,,-36.10M,39.94M,,-16.30M,-16.30M,,-0.318M,-10.69M,-27.31M,,15.02M,,15.02M,1.786M,-2.669M,-0.883M,,-12.12M,,,2.013M,,346.80M,14.65M,,361.58M,,1.786M,15.02M,,-2.669M,,,
1999-03,53.40M,,,,,7.60M,7.60M,,,,-5.40M,,36.10M,,,,36.10M,91.70M,,-15.20M,-15.20M,,-0.70M,-3.10M,-19.00M,,,,,3.40M,-1.00M,2.40M,,-12.00M,,,-9.60M,,283.80M,63.10M,,346.80M,,3.40M,,,-1.00M,,,
1998-12,45.04M,,,,,9.06M,9.06M,,,,39.37M,-8.765M,-5.564M,5.10M,-31.80M,,-61.29M,32.18M,,-15.36M,-15.36M,,-14.25M,1.434M,-28.17M,,,,,4.901M,-2.724M,2.177M,,6.894M,,-17.04M,-7.973M,,,,,283.84M,,4.901M,,,-2.724M,,,Restated
1998-09,42.90M,,,,,8.40M,8.40M,,,,-21.80M,4.50M,24.00M,4.50M,24.00M,,57.00M,86.50M,,-16.30M,-16.30M,,9.60M,0.00,-6.70M,,,,,3.10M,-33.70M,-30.60M,,-10.20M,,0.10M,-40.70M,,,,,,,3.10M,,,-33.70M,,,
1998-06,44.90M,,,,,8.00M,8.00M,,,,22.60M,-9.60M,-11.80M,-9.60M,7.80M,,-23.20M,52.30M,,-13.80M,-13.80M,,0.50M,1.60M,-11.70M,,,,,2.40M,,2.40M,,-27.10M,,17.00M,-7.70M,,,,,,,2.40M,,,,,,
1998-03,41.30M,,,,,7.90M,7.90M,,,,-7.80M,,19.60M,,,,19.60M,61.00M,,-11.10M,-11.10M,,-9.80M,-0.10M,-21.00M,,,,,2.50M,,2.50M,,-10.00M,,-17.10M,-24.60M,,200.40M,,,,,2.50M,,,,,,
1997-12,40.70M,,,,,9.60M,9.60M,,,,21.40M,0.90M,-15.90M,0.90M,-15.90M,,-30.00M,41.70M,,-17.00M,-17.00M,,-2.30M,-1.40M,-20.70M,,,,,15.10M,0.00,15.10M,,-7.60M,,-8.90M,-1.40M,,,,,,,15.10M,,,0.00,,,
1997-09,41.40M,,,,,8.30M,8.30M,,,,-17.60M,-4.50M,24.40M,-4.50M,24.40M,,39.80M,71.90M,,-23.30M,-23.30M,,-2.20M,4.10M,-21.40M,,,,,-5.10M,0.00,-5.10M,,-0.10M,,1.20M,-4.00M,,,,,,,-5.10M,,,0.00,,,
1997-06,33.80M,,,,,6.00M,6.00M,,,,14.40M,-8.20M,0.40M,-8.20M,0.40M,,-15.60M,38.60M,,-15.60M,-15.60M,,-10.00M,4.60M,-21.00M,,,,,1.40M,-3.20M,-1.80M,,-14.90M,,0.00,-16.70M,,,,,,,1.40M,,,-3.20M,,,
1997-03,28.50M,,,,,5.10M,5.10M,,,,-4.20M,-2.00M,10.10M,-2.00M,10.10M,,16.20M,45.60M,,-14.20M,-14.20M,,,-2.40M,-16.60M,,,,,3.70M,-6.50M,-2.80M,,-7.50M,,0.10M,-10.20M,,114.60M,,,,,3.70M,,,-6.50M,,,
1996-12,27.70M,,,,,5.00M,5.00M,,,,15.30M,-5.10M,-11.20M,-5.10M,-11.20M,,-32.60M,15.40M,,-21.40M,-21.40M,,-11.40M,14.50M,-18.30M,,,,,2.10M,0.00,2.10M,,-6.10M,,0.10M,-3.90M,,,,,,,2.10M,,,0.00,,,
1996-09,25.90M,,,,,5.50M,5.50M,,,,-6.80M,-2.90M,19.20M,-2.90M,19.20M,,32.60M,57.20M,,-16.60M,-16.60M,,-1.80M,-5.60M,-24.00M,,,,,1.30M,-1.90M,-0.60M,,-6.00M,,-0.10M,-6.70M,,,,,,,1.30M,,,-1.90M,,,
1996-06,24.50M,,,,,4.10M,4.10M,,,,3.80M,-1.60M,2.10M,-1.60M,2.10M,,1.00M,33.40M,,-13.30M,-13.30M,,-4.50M,0.70M,-17.10M,,,,,1.00M,-4.70M,-3.70M,,-6.00M,,0.10M,-9.60M,,,,,,,1.00M,,,-4.70M,,,
1996-03,20.40M,,,,,3.50M,3.50M,,,,-7.70M,-7.80M,17.30M,-7.80M,17.30M,,19.00M,35.20M,,-7.50M,-7.50M,,,-2.40M,-9.90M,,,,,0.70M,-13.10M,-12.40M,,-6.00M,,-0.10M,-18.50M,,81.40M,,,,,0.70M,,,-13.10M,,,
1995-12,21.70M,,,,,4.90M,4.90M,,,,11.20M,-1.60M,-10.70M,-1.60M,-10.70M,,-24.60M,13.90M,,-13.10M,-13.10M,,-12.00M,0.20M,-24.90M,,0.00,,0.00,-12.50M,7.50M,-5.00M,,-4.60M,,3.30M,-6.30M,,,,,,,-12.50M,,0.00,7.50M,,,
1995-09,21.60M,,,,,3.40M,3.40M,,,,-7.20M,-3.30M,15.70M,-3.30M,15.70M,,24.80M,42.60M,,-4.40M,-4.40M,,-0.40M,0.70M,-4.10M,,-12.60M,,-12.60M,0.70M,0.00,0.70M,,3.00M,,-7.60M,-16.50M,,,,,,,0.70M,,-12.60M,0.00,,,
1995-06,18.20M,,,,,3.20M,3.20M,,,,13.80M,-3.90M,-3.80M,-3.90M,-3.80M,,-15.40M,19.80M,,-1.40M,-1.40M,,7.60M,1.20M,7.40M,,,,,3.50M,-7.50M,-4.00M,,-12.90M,,-1.30M,-18.20M,,,,,,,3.50M,,,-7.50M,,,
1995-03,15.00M,,,,,3.10M,3.10M,,,,-1.80M,-0.30M,4.90M,-0.30M,4.90M,,9.20M,25.50M,,-5.00M,-5.00M,,-8.90M,,-13.90M,,,,,-1.40M,,-1.40M,,-3.80M,,1.30M,-3.90M,,46.20M,,,,,-1.40M,,,,,,
1994-12,16.10M,,,,,1.50M,1.50M,,,,64.80M,-7.50M,-14.90M,-7.50M,-14.90M,,-44.80M,37.60M,,-3.80M,-3.80M,,-16.50M,7.10M,-13.20M,,-0.10M,,-0.10M,-14.30M,,-14.30M,,-3.80M,,4.40M,-13.80M,,,,,,,-14.30M,,-0.10M,,,,
1994-09,16.30M,,,,,3.00M,3.00M,,,,-25.70M,6.40M,13.70M,6.40M,13.70M,,40.20M,33.80M,,-5.20M,-5.20M,,-4.90M,-5.60M,-15.70M,,0.00,,0.00,-13.70M,11.30M,-2.40M,,-3.70M,,-0.20M,-6.30M,,,,,,,-13.70M,,0.00,11.30M,,,
1994-06,15.00M,,,,,2.80M,2.80M,,,,6.70M,-1.60M,-3.60M,-1.60M,-3.60M,,-10.40M,14.10M,,-3.50M,-3.50M,,-7.40M,0.20M,-10.70M,,-0.10M,,-0.10M,0.30M,-9.90M,-9.60M,,-3.80M,,-6.20M,-19.70M,,,,,,,0.30M,,-0.10M,-9.90M,,,
1994-03,13.80M,,,,,2.80M,2.80M,,,,-2.20M,-0.90M,6.50M,-0.90M,6.50M,,11.20M,25.60M,,-4.90M,-4.90M,,-8.90M,-0.10M,-13.90M,,-0.10M,,-0.10M,1.30M,-1.40M,-0.10M,,-3.80M,,,-4.00M,,46.20M,,,,,1.30M,,-0.10M,-1.40M,,,
1993-12,14.80M,,,,,0.90M,0.90M,,,,-20.10M,-5.10M,-1.30M,-5.10M,-1.30M,,-12.80M,-17.20M,,-1.40M,-1.40M,,-2.50M,-0.10M,-4.00M,,-0.10M,,-0.10M,2.30M,,0.00,,-3.00M,,0.10M,-3.00M,,,,,,,2.30M,,-0.10M,,,,
1993-09,12.00M,,,,,3.50M,3.50M,,,,-5.10M,-1.90M,9.40M,-1.90M,9.40M,,15.00M,25.40M,,-4.20M,-4.20M,,-21.80M,34.80M,8.80M,,-0.10M,,-0.10M,0.30M,,0.30M,,-3.00M,,-2.00M,-4.80M,,,,,,,0.30M,,-0.10M,,,,
1993-06,11.50M,,,,,1.80M,1.80M,,,,9.50M,-2.80M,-4.20M,-2.80M,-4.20M,,-14.00M,8.80M,,-2.70M,-2.70M,,-2.40M,0.00,-5.10M,,0.00,,0.00,0.20M,,0.20M,,-3.10M,,0.00,-2.90M,,,,,,,0.20M,,0.00,,,,
1993-03,10.60M,,,,,1.80M,1.80M,,,,0.50M,-3.10M,7.30M,-3.10M,7.30M,,8.40M,21.30M,,-3.90M,-3.90M,,-5.30M,-0.10M,-9.30M,,-0.10M,,-0.10M,0.20M,,0.20M,,-3.00M,,-2.80M,-5.70M,,34.00M,,,,,0.20M,,-0.10M,,,,
1992-12,9.70M,,,,,1.80M,1.80M,,,,15.50M,-2.90M,-9.20M,-2.90M,-9.20M,,-24.20M,3.20M,,-11.60M,-11.60M,,-0.30M,8.00M,-3.90M,,-0.20M,,-0.20M,,-5.00M,-3.40M,,-2.60M,,4.00M,-2.20M,,,,,,,,,-0.20M,-5.00M,,,
1992-09,10.30M,,,,,2.00M,2.00M,,,,-9.50M,-1.10M,10.00M,-1.10M,10.00M,,17.80M,20.60M,,-2.40M,-2.40M,,-3.90M,-4.90M,-11.20M,,-0.50M,,-0.50M,,3.00M,3.00M,,-2.60M,,-4.00M,-4.10M,,,,,,,,,-0.50M,3.00M,,,
1992-06,8.40M,,,,,1.80M,1.80M,,,,-1.60M,,-0.40M,,-0.40M,,-0.80M,7.80M,,-3.20M,-3.20M,,-3.10M,-0.50M,-6.80M,,-0.50M,,-0.50M,,-1.90M,-1.90M,,-2.60M,,0.10M,-4.90M,,,,,,,,,-0.50M,-1.90M,,,
1992-03,7.40M,,,,,1.80M,1.80M,,,,-2.70M,,3.50M,,3.50M,,7.00M,13.50M,,-1.40M,-1.40M,,-0.30M,3.00M,1.30M,,-0.50M,,-0.50M,,-1.10M,-1.10M,,-2.60M,,-2.10M,-6.30M,,26.90M,,,,,,,-0.50M,-1.10M,,,
1991-12,8.40M,,,,,1.70M,1.70M,,,,6.30M,-1.30M,-5.20M,-1.30M,-5.20M,,-13.00M,2.00M,,-1.60M,-1.60M,,-2.00M,4.40M,0.80M,,-0.40M,,-0.40M,0.80M,,-0.50M,,-2.30M,,0.90M,-2.30M,,,,,,,0.80M,,-0.40M,,,,
1991-09,8.70M,,,,,1.90M,1.90M,,,,-5.30M,-2.90M,9.60M,-2.90M,9.60M,,13.40M,18.70M,,-1.20M,-1.20M,,-1.10M,-0.30M,-2.60M,,-0.40M,,-0.40M,0.20M,,0.20M,,-2.30M,,-0.70M,-3.20M,,,,,,,0.20M,,-0.40M,,,,
1991-06,7.70M,,,,,1.90M,1.90M,,,,5.50M,-2.50M,-2.10M,-2.50M,-2.10M,,-9.20M,5.90M,,-1.20M,-1.20M,,-2.20M,2.00M,-1.40M,,-1.10M,,-1.10M,-0.60M,,-0.60M,,-2.30M,,0.00,-4.00M,,,,,,,-0.60M,,-1.10M,,,,
1991-03,5.60M,,,,,1.60M,1.60M,,,,0.70M,-0.70M,0.60M,-0.70M,0.60M,,-0.20M,7.70M,,-0.50M,-0.50M,,-1.70M,6.50M,4.30M,,-5.60M,,-5.60M,-0.40M,,-0.40M,,-2.30M,,-1.00M,-9.30M,,10.20M,,,,,-0.40M,,-5.60M,,,,
1990-12,3.90M,0.00,0.00,,,1.40M,1.40M,,,,8.90M,0.00,-6.60M,0.00,-6.60M,,-13.20M,1.00M,,-3.60M,-3.60M,,-1.40M,-0.30M,-5.30M,,-0.40M,,-0.40M,-1.00M,,-1.00M,,-2.10M,,0.00,-3.50M,,,,,,,-1.00M,,-0.40M,,,,
1990-09,6.70M,-0.30M,-0.30M,,,1.70M,1.70M,,,,-6.90M,0.10M,6.20M,0.10M,6.20M,,12.60M,13.80M,,-4.00M,-4.00M,,2.80M,0.20M,-1.00M,,-3.60M,,-3.60M,-0.20M,,-0.20M,,-6.10M,,4.30M,-5.60M,,,,,,,-0.20M,,-3.60M,,,,
1990-06,3.40M,0.10M,0.10M,,,1.60M,1.60M,,,,0.40M,-0.10M,0.20M,-0.10M,0.20M,,0.20M,5.70M,,-2.00M,-2.00M,,-0.20M,-51.10M,-53.30M,,3.20M,,3.20M,0.00,,0.00,,1.80M,,-4.40M,0.60M,,,,,,,0.00,,3.20M,,,,
1990-03,6.90M,,,,,1.50M,1.50M,,,,-2.70M,2.20M,0.90M,2.20M,0.90M,,6.20M,11.90M,,-0.80M,-0.80M,,16.80M,-7.30M,8.70M,,-0.20M,,-0.20M,-0.40M,,-0.40M,,-2.20M,,,-2.80M,,40.00M,,,,,-0.40M,,-0.20M,,,,
