,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-03,,28.88B,,28.88B,3.855B,,3.855B,53.32B,6.366B,,,13.45B,382.68B,6.90B,,375.78B,95.66B,554.20B,609.76B,,,,36.27B,36.27B,36.27B,73.28B,72.00B,,72.00B,352.46B,,,424.46B,560.87B,7.943B,40.78B,,71.00M,,,158.00M,48.89B
2000-12,,32.96B,,32.96B,4.432B,,4.432B,65.45B,6.433B,,,13.14B,392.19B,6.838B,,385.36B,108.88B,574.77B,642.19B,,,,42.20B,42.20B,42.20B,91.61B,67.55B,,67.55B,364.24B,,4.955B,431.79B,589.61B,8.685B,39.82B,,72.00M,,,-872.00M,47.63B
2000-09,,29.86B,,29.86B,4.62B,,4.62B,67.89B,6.45B,,,17.39B,402.59B,6.739B,,395.85B,128.30B,601.56B,671.72B,,,,55.60B,55.60B,55.60B,128.50B,74.37B,,74.37B,353.99B,,,428.36B,624.87B,9.471B,39.34B,,74.00M,,,-1.95B,46.86B
2000-06,,31.89B,,31.89B,4.083B,,4.083B,78.43B,6.514B,,,13.58B,400.82B,6.815B,,394.00B,131.12B,598.63B,679.54B,,,,50.03B,50.03B,50.03B,139.53B,74.20B,,74.20B,356.66B,,,430.86B,633.68B,10.26B,38.33B,,75.00M,,,-2.732B,45.86B
2000-03,,30.51B,,30.51B,3.87B,,3.87B,74.18B,6.607B,,,13.80B,382.08B,6.827B,,375.26B,131.17B,579.57B,656.11B,,,,46.05B,46.05B,46.05B,129.83B,67.01B,,67.01B,351.63B,,,418.64B,610.81B,10.90B,37.09B,,77.00M,,,-2.695B,45.30B
1999-12,,31.83B,,31.83B,3.777B,,3.777B,73.53B,6.713B,,,13.99B,370.66B,6.828B,,363.83B,121.53B,557.17B,632.57B,,,,47.67B,47.67B,47.67B,122.23B,60.44B,,60.44B,347.27B,,,407.71B,588.14B,11.75B,35.68B,,77.00M,,,-2.997B,44.43B
1999-09,,30.26B,,30.26B,3.838B,,3.838B,74.47B,6.728B,,,14.21B,360.24B,7.076B,,353.16B,118.49B,544.12B,620.65B,,,,40.72B,40.72B,40.72B,120.46B,59.31B,,59.31B,337.01B,,,396.32B,574.76B,13.62B,34.63B,,78.00M,,,-2.358B,45.89B
1999-06,,29.55B,,29.55B,3.478B,,3.478B,68.93B,7.012B,,,14.62B,363.58B,7.096B,,356.48B,111.94B,543.26B,614.10B,,,,41.65B,41.65B,41.65B,119.97B,60.01B,,60.01B,339.04B,,,399.06B,568.47B,14.51B,33.26B,,80.00M,,,-2.138B,45.63B
1999-03,,31.54B,,31.54B,3.62B,,3.62B,61.91B,7.129B,,,14.59B,363.10B,7.123B,,355.98B,120.85B,550.14B,614.24B,,,,39.74B,39.74B,39.74B,114.51B,55.85B,,55.85B,343.32B,,,399.17B,567.41B,15.91B,32.13B,,81.00M,,,-1.206B,46.83B
1998-12,,35.03B,,35.03B,3.734B,,3.734B,65.91B,7.289B,,,14.71B,357.33B,7.122B,,350.21B,120.19B,549.10B,617.68B,,,,31.49B,31.49B,31.49B,99.03B,45.89B,,45.89B,357.26B,,,403.15B,571.74B,83.00M,31.00B,,83.00M,,,,45.94B
1998-09,,31.41B,,31.41B,3.838B,1.295B,5.133B,67.26B,7.249B,,,17.04B,350.69B,7.215B,,343.47B,106.65B,523.49B,594.67B,,,,28.37B,28.37B,28.37B,94.00B,47.55B,,47.55B,345.76B,,,393.31B,547.37B,84.00M,30.62B,,84.00M,,,,47.31B
1998-06,,14.25B,,14.25B,,,1.907B,28.56B,4.01B,,,10.19B,180.90B,3.215B,,177.68B,67.65B,278.38B,307.98B,,,,12.60B,12.60B,12.60B,54.64B,31.51B,,31.51B,169.24B,,,200.75B,281.32B,85.00M,15.77B,,85.00M,,,,26.67B
