,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2007-09,591.26M,35.20M,626.46M,269.58M,269.58M,56.95M,20.92M,113.25M,191.12M,,42.35M,1.130B,,,,,,,338.09M,-180.19M,157.90M,272.13M,139.03M,411.16M,83.69M,652.74M,1.782B,52.68M,,52.68M,72.81M,125.50M,410.52M,,,410.52M,,410.52M,90.57M,90.57M,,61.74M,688.32M,500.00M,,500.00M,,,,138.26M,638.26M,1.327B,1.46M,1.492B,645.17M,1.744B,,61.46M,455.67M
2007-06,544.30M,,544.30M,270.02M,270.02M,53.95M,18.80M,105.75M,178.49M,,41.60M,1.034B,,,,,,,325.01M,-173.05M,151.97M,265.65M,134.78M,400.43M,79.94M,632.33M,1.667B,53.52M,,53.52M,43.62M,97.14M,389.42M,,,389.42M,,389.42M,98.47M,98.47M,,58.82M,643.85M,500.00M,,500.00M,,,,144.21M,644.21M,1.288B,1.452M,1.439B,609.95M,1.720B,,48.72M,378.68M
2007-03,503.69M,,503.69M,278.64M,278.64M,55.11M,19.04M,103.52M,177.68M,,48.77M,1.009B,,,,,,,316.58M,-166.67M,149.91M,264.76M,133.48M,398.24M,71.38M,619.52M,1.628B,52.31M,,52.31M,40.33M,92.64M,371.50M,,,371.50M,,371.50M,96.37M,96.37M,,53.26M,613.77M,500.00M,,500.00M,,,,139.72M,639.72M,1.253B,1.45M,1.379B,594.04M,1.645B,,45.70M,374.81M
2006-12,514.17M,,514.17M,272.16M,272.16M,51.57M,17.40M,99.47M,168.44M,,44.92M,999.68M,0.0,8.261M,109.50M,185.81M,,6.506M,310.08M,-160.82M,149.26M,265.21M,131.65M,396.86M,71.51M,617.63M,1.617B,47.07M,,47.07M,118.47M,165.54M,403.46M,,,403.46M,,403.46M,76.13M,76.13M,,40.70M,685.83M,500.00M,,500.00M,,,,69.10M,569.10M,1.255B,1.441M,1.327B,554.17M,1.564B,,43.66M,362.38M
2006-09,511.57M,,511.57M,225.94M,225.94M,59.14M,20.65M,97.50M,177.29M,,32.92M,947.72M,,,,,,,312.12M,-166.43M,145.69M,218.28M,98.66M,316.93M,91.57M,554.19M,1.502B,51.05M,,51.05M,139.72M,190.77M,385.89M,,,385.89M,,385.89M,84.57M,84.57M,,33.28M,694.51M,500.00M,,500.00M,,,,45.98M,545.98M,1.240B,1.436M,1.247B,523.67M,1.542B,,31.66M,261.42M
2006-06,489.56M,,489.56M,238.35M,238.35M,56.49M,16.32M,89.03M,161.84M,,35.02M,924.77M,,,,,,,304.29M,-160.19M,144.10M,215.93M,95.42M,311.35M,89.32M,544.78M,1.470B,61.40M,,61.40M,127.23M,188.63M,362.34M,,,362.34M,,362.34M,91.46M,91.46M,,31.21M,673.65M,500.00M,,500.00M,,,,45.33M,545.33M,1.219B,1.433M,1.196B,508.29M,1.484B,,28.67M,250.57M
2006-03,481.22M,,481.22M,247.35M,247.35M,52.00M,13.85M,80.53M,146.38M,,33.47M,908.42M,,,,,,,309.09M,-168.02M,141.07M,214.63M,93.30M,307.93M,82.46M,531.46M,1.440B,52.24M,,52.24M,123.36M,175.60M,338.18M,,,338.18M,,338.18M,91.67M,91.67M,,31.41M,636.85M,500.00M,,500.00M,,,,43.62M,543.62M,1.180B,1.428M,1.149B,486.89M,1.405B,,26.95M,259.42M
2005-12,493.59M,,493.59M,256.81M,256.81M,45.26M,12.91M,73.39M,131.55M,,31.04M,912.99M,0.0,8.199M,96.04M,188.53M,,10.41M,303.18M,-162.15M,141.03M,,294.93M,294.93M,79.98M,515.94M,1.429B,44.24M,,44.24M,127.77M,172.01M,326.29M,,,326.29M,,326.29M,71.73M,71.73M,,33.86M,603.89M,500.00M,,500.00M,,,,41.41M,541.41M,1.145B,1.423M,1.105B,467.68M,1.314B,,24.42M,283.63M
2005-09,488.90M,,488.90M,221.86M,221.86M,49.40M,13.44M,78.12M,140.96M,,18.55M,870.27M,,,,,,,296.78M,-156.84M,139.94M,,308.27M,308.27M,36.28M,484.49M,1.355B,42.04M,,42.04M,144.95M,187.00M,403.79M,,,403.79M,,403.79M,75.51M,75.51M,,43.43M,709.73M,250.00M,,250.00M,,,,40.40M,290.40M,1.000B,1.422M,1.029B,390.77M,1.098B,,31.84M,354.63M
2005-06,615.23M,,615.23M,228.24M,228.24M,48.97M,13.01M,78.50M,140.48M,,25.90M,1.010B,,,,,,,291.38M,-152.13M,139.24M,,308.73M,308.73M,34.56M,482.53M,1.492B,39.26M,,39.26M,112.10M,151.37M,407.44M,,,407.44M,,407.44M,82.23M,82.23M,,41.55M,682.58M,250.00M,,250.00M,,,,40.61M,290.61M,973.19M,1.42M,1.003B,381.22M,903.78M,,37.09M,519.20M
2005-03,586.91M,,586.91M,239.63M,239.63M,51.66M,15.10M,81.38M,148.14M,,22.75M,997.44M,,,,,,,291.45M,-154.09M,137.36M,,311.40M,311.40M,36.17M,484.93M,1.482B,40.63M,,40.63M,112.77M,153.40M,335.94M,,,335.94M,,335.94M,82.88M,82.88M,,41.65M,613.86M,250.00M,,250.00M,,,,39.91M,289.91M,903.77M,1.419M,949.18M,378.80M,803.65M,,52.84M,578.59M
2004-12,539.08M,,539.08M,271.73M,271.73M,51.78M,14.12M,74.00M,139.90M,,23.18M,973.88M,0.0,7.877M,88.83M,181.80M,,8.859M,287.37M,-151.46M,135.91M,,313.79M,313.79M,36.85M,486.54M,1.460B,46.18M,,46.18M,121.25M,167.43M,206.66M,,,206.66M,,206.66M,66.78M,66.78M,,52.12M,492.99M,250.00M,,250.00M,,,,38.75M,288.75M,781.74M,1.414M,902.58M,366.22M,655.16M,,63.63M,678.69M
2004-09,471.17M,,471.17M,228.32M,228.32M,50.24M,12.22M,78.49M,140.96M,,16.96M,857.41M,,,,,,,273.69M,-144.58M,129.11M,,310.05M,310.05M,36.90M,476.06M,1.333B,50.07M,,50.07M,108.64M,158.70M,267.70M,,15.00M,282.70M,,282.70M,66.51M,66.51M,,40.97M,548.89M,110.00M,,110.00M,,,,40.81M,150.81M,699.70M,1.411M,831.06M,354.64M,598.87M,,45.52M,633.77M
2004-06,419.98M,,419.98M,221.95M,221.95M,46.64M,10.77M,75.38M,132.78M,,17.70M,792.42M,,,,,,,267.80M,-140.96M,126.84M,,314.70M,314.70M,36.92M,478.46M,1.271B,40.94M,,40.94M,111.56M,152.50M,284.50M,,10.00M,294.50M,,294.50M,70.78M,70.78M,,45.60M,563.38M,115.00M,,115.00M,,,,40.57M,155.57M,718.95M,1.384M,779.12M,327.11M,598.87M,,43.18M,551.93M
2004-03,408.60M,,408.60M,222.50M,222.50M,48.39M,10.10M,73.91M,132.40M,,15.74M,779.25M,,,,,,,245.56M,-136.52M,109.04M,,315.80M,315.80M,40.45M,465.28M,1.245B,41.66M,,41.66M,116.45M,158.11M,230.43M,,5.00M,235.43M,,235.43M,70.80M,70.80M,,47.59M,511.92M,120.00M,,120.00M,,,,39.64M,159.64M,671.56M,1.374M,719.37M,304.71M,504.47M,,51.98M,572.97M
2003-12,356.78M,,356.78M,214.26M,214.26M,41.77M,14.03M,73.01M,128.81M,,18.50M,718.36M,0.0,5.536M,59.26M,168.39M,6.372M,,239.57M,-131.40M,108.16M,,269.58M,269.58M,34.76M,412.50M,1.131B,43.88M,,43.88M,116.52M,160.40M,121.31M,,,121.31M,,121.31M,55.92M,55.92M,,40.89M,378.52M,125.00M,,125.00M,,,,36.86M,161.86M,540.38M,1.367M,678.53M,289.05M,423.87M,,45.41M,590.48M
2003-09,288.12M,,288.12M,194.54M,194.54M,43.73M,14.28M,68.14M,126.15M,,16.01M,624.83M,,,,,,,231.62M,-124.84M,106.78M,,264.36M,264.36M,36.20M,407.34M,1.032B,43.32M,,43.32M,114.60M,157.93M,181.11M,,,181.11M,,181.11M,57.66M,57.66M,,41.19M,437.89M,23.33M,,23.33M,,,,6.002M,29.33M,467.22M,1.35M,620.13M,276.02M,351.10M,,18.56M,564.94M
2003-06,283.04M,,283.04M,192.35M,192.35M,42.22M,15.26M,65.45M,122.93M,,18.46M,616.78M,,,,,,,227.79M,-120.12M,107.67M,,254.27M,254.27M,30.73M,392.67M,1.009B,43.70M,,43.70M,106.35M,150.06M,115.84M,,,115.84M,,115.84M,59.96M,59.96M,,50.16M,376.02M,,,,,,,,28.39M,404.40M,1.335M,583.71M,268.96M,266.77M,,17.80M,605.04M
2003-03,271.57M,,271.57M,197.49M,197.49M,51.26M,16.74M,56.86M,124.85M,49.00M,15.31M,658.22M,,,,,,,220.70M,-116.19M,104.52M,,249.92M,249.92M,26.68M,381.12M,1.039B,46.03M,,46.03M,161.95M,207.98M,96.06M,,,96.06M,,96.06M,58.81M,58.81M,,50.54M,413.39M,,,,,,,,26.56M,439.95M,1.324M,541.62M,253.48M,199.86M,,2.828M,599.39M
2002-12,263.31M,,263.31M,201.09M,201.09M,44.63M,16.54M,69.07M,130.24M,49.94M,13.34M,657.93M,0.0,3.945M,51.30M,143.31M,4.452M,,203.01M,-102.68M,100.33M,,227.94M,227.94M,29.04M,357.31M,1.015B,45.20M,,45.20M,181.80M,227.00M,7.486M,,,7.486M,,7.486M,48.51M,48.51M,,36.71M,319.70M,,,,,,,,30.23M,349.93M,1.322M,507.64M,251.20M,99.30M,,4.443M,665.31M
2002-09,235.79M,,235.79M,167.59M,167.59M,40.64M,22.17M,62.49M,125.30M,69.37M,12.70M,610.75M,,,,,,,221.74M,-105.63M,116.11M,,168.84M,168.84M,93.87M,378.82M,989.57M,40.88M,,40.88M,152.63M,193.51M,1.141M,,,1.141M,,1.141M,55.10M,55.10M,,47.20M,296.95M,,,,,,,,25.49M,322.44M,1.32M,467.39M,247.76M,54.28M,,4.938M,667.13M
2002-06,306.41M,,306.41M,179.99M,179.99M,,,,119.34M,,13.05M,618.79M,,,,,,,210.75M,-94.30M,116.45M,168.69M,,168.69M,94.30M,379.44M,998.23M,42.86M,,42.86M,98.28M,141.14M,0.91M,,,0.91M,,0.91M,51.62M,100.42M,48.80M,49.60M,292.07M,,,,,,,,26.75M,318.82M,1.319M,428.37M,246.98M,,,2.731M,679.40M
2002-03,250.76M,,250.76M,168.01M,168.01M,36.15M,19.29M,54.29M,109.73M,,14.37M,542.88M,,,,,,,206.75M,-91.84M,114.90M,166.58M,,166.58M,106.44M,387.92M,930.80M,44.62M,,44.62M,143.12M,187.75M,1.614M,,,1.614M,,1.614M,53.88M,53.88M,,47.08M,290.31M,,,,,,,,24.78M,315.09M,1.313M,395.17M,236.92M,,,-17.69M,615.71M
2001-12,226.80M,,226.80M,182.16M,182.16M,31.96M,26.30M,44.45M,102.72M,,11.06M,522.74M,0.0,3.962M,47.62M,143.88M,,5.162M,200.63M,-86.42M,114.21M,163.48M,,163.48M,86.48M,364.17M,886.91M,35.98M,,35.98M,151.40M,187.38M,1.14M,,,1.14M,,1.14M,46.01M,46.01M,,46.47M,281.01M,,,,,,,,24.16M,305.17M,1.309M,359.93M,232.91M,,,-12.40M,581.74M
2001-09,164.23M,,164.23M,166.78M,166.78M,,,,115.04M,,18.80M,464.86M,,,,,,,196.66M,-82.36M,114.29M,,164.62M,164.62M,81.28M,360.19M,825.05M,44.41M,,44.41M,81.87M,126.28M,1.124M,,,1.124M,,1.124M,45.03M,45.03M,,58.17M,230.60M,,,,,,,,19.18M,249.78M,1.308M,361.34M,221.22M,,,-8.601M,575.27M
2001-06,134.51M,,134.51M,162.32M,162.32M,43.42M,27.21M,36.85M,107.48M,,16.86M,421.17M,,,,,,,186.04M,-76.17M,109.87M,,164.76M,164.76M,80.32M,354.95M,776.12M,47.42M,,47.42M,75.51M,122.92M,2.179M,,,2.179M,,2.179M,44.88M,44.88M,,58.46M,228.44M,,,,,,,,19.90M,248.35M,1.308M,323.10M,220.98M,,,-17.61M,527.77M
2001-03,89.19M,,89.19M,166.23M,166.23M,37.94M,21.10M,37.17M,96.21M,,20.36M,371.99M,,,,,,,177.05M,-72.35M,104.70M,,163.24M,163.24M,78.12M,346.06M,718.05M,37.08M,,37.08M,62.52M,99.60M,2.277M,,,2.277M,,2.277M,45.91M,45.91M,,59.10M,206.89M,,,,,,,,19.02M,225.91M,1.304M,283.78M,221.92M,,,-14.87M,492.14M
2000-12,75.51M,,75.51M,167.71M,167.71M,,,,87.28M,,13.30M,343.80M,,,,,,,170.96M,-68.36M,102.61M,,165.46M,165.46M,80.49M,348.55M,692.34M,43.31M,,43.31M,71.95M,115.26M,4.879M,,,4.879M,,4.879M,40.04M,40.04M,,60.35M,220.53M,,,,,,,,20.03M,240.56M,1.298M,245.38M,213.26M,,,-8.161M,451.78M
2000-09,23.20M,,23.20M,,164.89M,,,,86.09M,,18.01M,292.19M,,,,,,,163.35M,-64.35M,99.00M,,167.46M,167.46M,90.76M,357.22M,649.41M,42.08M,,42.08M,,42.08M,,,,3.91M,,3.91M,,,,156.87M,202.86M,13.51M,,13.51M,,,,5.771M,19.28M,222.14M,1.291M,205.86M,228.19M,,,-8.066M,427.27M
2000-06,2.461M,,2.461M,150.23M,150.23M,,,,82.98M,,17.61M,253.27M,,,,,,,151.66M,-56.41M,95.25M,,167.31M,167.31M,75.15M,337.72M,590.99M,38.48M,,38.48M,,38.48M,,,,10.53M,,10.53M,,,,150.43M,199.45M,2.915M,,2.915M,,,,10.60M,13.52M,212.96M,0.639M,167.62M,218.07M,,,-8.294M,378.03M
2000-03,2.226M,,2.226M,,148.02M,,,,87.30M,,16.89M,254.44M,,,,,,,153.18M,-59.66M,93.52M,,169.11M,169.11M,75.31M,337.94M,592.38M,41.36M,,41.36M,,41.36M,,,,14.95M,,14.95M,,,,151.67M,207.98M,42.30M,,42.30M,,,,11.04M,53.34M,261.32M,0.633M,130.36M,204.28M,,,-4.218M,331.05M
1999-12,3.80M,,3.80M,149.30M,149.30M,,,,80.40M,,15.70M,249.20M,,,,,,,148.20M,-56.40M,91.80M,,170.70M,170.70M,74.60M,337.10M,586.30M,34.80M,,34.80M,,34.80M,,,,14.20M,,14.20M,,,,150.70M,199.70M,81.10M,,81.10M,,,,13.30M,94.40M,294.10M,1.20M,100.00M,194.80M,,,-3.80M,292.20M
1999-09,4.30M,,4.30M,,131.20M,,,,86.70M,,31.40M,253.60M,,,,,,,144.30M,-54.10M,90.20M,,173.40M,173.40M,58.70M,322.30M,575.90M,37.80M,,37.80M,,37.80M,,,,3.80M,,3.80M,,,,136.90M,178.50M,113.00M,,113.00M,,,,13.60M,126.60M,305.10M,10.40M,58.70M,203.80M,,9.80M,-2.00M,270.80M
1999-06,2.00M,,2.00M,,122.50M,,,,80.20M,,29.80M,234.50M,,,,,,,139.00M,-49.90M,89.10M,,173.60M,173.60M,60.10M,322.80M,557.30M,37.70M,,37.70M,,37.70M,,,,5.60M,,5.60M,,,,137.20M,180.50M,144.40M,,144.40M,,,,6.40M,150.80M,331.30M,9.50M,30.20M,,,9.50M,,226.00M
1999-03,1.80M,,1.80M,,123.70M,,,,77.50M,,29.40M,232.40M,,,,,,,137.10M,-48.50M,88.60M,,175.30M,175.30M,59.60M,323.50M,555.90M,36.30M,,36.30M,,36.30M,,,,6.00M,,6.00M,,,,137.20M,179.50M,180.60M,,180.60M,,,,9.10M,189.70M,369.20M,9.30M,1.30M,,,9.30M,,186.70M
1998-12,5.50M,,5.50M,,136.80M,,,,80.30M,,29.00M,251.60M,,,,,,,134.40M,-45.40M,89.00M,,177.50M,177.50M,59.60M,326.10M,577.70M,36.50M,,36.50M,,36.50M,,,,4.30M,,4.30M,,,,144.80M,185.60M,218.30M,,218.30M,,,,14.60M,232.90M,418.50M,9.10M,-21.70M,,,9.10M,,159.20M
1998-09,3.60M,,3.60M,,119.80M,,,,82.90M,,17.60M,223.90M,,,,,,,130.20M,-41.60M,88.60M,,179.00M,179.00M,62.80M,330.40M,554.30M,34.90M,,34.90M,,34.90M,,,,7.10M,,7.10M,,,,135.90M,177.90M,252.20M,,252.20M,,,,7.50M,259.70M,437.60M,8.80M,-53.80M,,,8.80M,,116.70M
1998-06,1.60M,,1.60M,,112.40M,,,,81.50M,,16.80M,212.30M,,,,,,,126.90M,-37.30M,89.60M,,180.70M,180.70M,68.00M,338.30M,550.60M,33.40M,,33.40M,,33.40M,,,,7.30M,,7.30M,,,,131.30M,172.00M,279.40M,,279.40M,,,,5.60M,285.00M,457.00M,8.60M,-75.70M,,,8.60M,,93.60M
1998-03,2.60M,,2.60M,,114.40M,,,,79.50M,,16.40M,212.90M,,,,,,,123.10M,-33.50M,89.60M,,178.90M,178.90M,68.40M,336.90M,549.80M,40.80M,,40.80M,,40.80M,,,,8.90M,,8.90M,,,,129.30M,179.00M,293.00M,,293.00M,,,,5.60M,298.60M,477.60M,8.30M,-95.90M,,,8.30M,,72.20M
