,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-10,2.205B,-54.00M,-54.00M,421.00M,421.00M,-491.00M,226.00M,-252.00M,27.00M,427.00M,7.00M,,32.00M,81.00M,77.00M,365.00M,989.00M,3.089B,,-296.00M,,-296.00M,-45.00M,-854.00M,-65.00M,-1.26B,,,,,1.539B,-2.993B,-1.454B,,,310.00M,-1.144B,,3.728B,685.00M,4.413B,,1.539B,,,-2.993B,,,,AOR,Restated
2007-07,1.93B,-56.00M,-56.00M,374.00M,374.00M,-320.00M,222.00M,-270.00M,81.00M,-682.00M,-21.00M,,-90.00M,-97.00M,291.00M,1.376B,777.00M,2.738B,,-339.00M,,-339.00M,-3.297B,-1.271B,-64.00M,-4.971B,,,,,1.587B,-1.40B,187.00M,,,317.00M,504.00M,,5.457B,-1.729B,3.728B,,1.587B,,,-1.40B,,,,AOR,Restated
2007-04,1.874B,-55.00M,-55.00M,349.00M,349.00M,-236.00M,237.00M,-220.00M,9.00M,-400.00M,353.00M,39.00M,-68.00M,-355.00M,-7.00M,911.00M,473.00M,2.437B,,-364.00M,,-364.00M,-221.00M,1.513B,-60.00M,868.00M,,,,,940.00M,-1.50B,-560.00M,,,278.00M,-282.00M,,2.434B,3.023B,5.457B,,940.00M,,,-1.50B,,,,AOR,Restated
2007-01,1.921B,-51.00M,-51.00M,342.00M,342.00M,-126.00M,247.00M,-277.00M,11.00M,145.00M,-165.00M,-23.00M,62.00M,,124.00M,454.00M,597.00M,2.658B,,-334.00M,,-334.00M,-45.00M,-2.947B,14.00M,-3.312B,,,,,1.76B,-3.281B,-1.521B,,,296.00M,-1.225B,,4.313B,-1.879B,2.434B,,1.76B,,,-3.281B,,,,AOR,Restated
2006-10,1.608B,-48.00M,-48.00M,348.00M,348.00M,60.00M,225.00M,-151.00M,14.00M,184.00M,-106.00M,-16.00M,-11.00M,,23.00M,135.00M,209.00M,2.271B,,-214.00M,,-214.00M,-121.00M,-551.00M,-41.00M,-927.00M,,,,,1.019B,-1.50B,-481.00M,,,153.00M,-328.00M,,3.297B,1.016B,4.313B,,1.019B,,,-1.50B,,,,AOR,Restated
2006-07,1.544B,-50.00M,-50.00M,437.00M,437.00M,-264.00M,211.00M,-47.00M,13.00M,-398.00M,-58.00M,228.00M,-230.00M,,240.00M,989.00M,471.00M,2.317B,,-177.00M,,-177.00M,-52.00M,-665.00M,21.00M,-873.00M,,0.00,,0.00,400.00M,-2.817B,-2.417B,,,33.00M,-2.384B,,4.237B,-940.00M,3.297B,,400.00M,0.00,,-2.817B,,,,AOR,Restated
2006-04,1.40B,-53.00M,-53.00M,344.00M,344.00M,-80.00M,261.00M,-260.00M,142.00M,-297.00M,294.00M,-181.00M,175.00M,,111.00M,517.00M,619.00M,2.315B,,-201.00M,,-201.00M,-5.197B,-4.102B,53.00M,-9.447B,,6.481B,,6.481B,719.00M,-1.23B,-511.00M,,,248.00M,6.218B,,5.151B,-914.00M,4.237B,,719.00M,6.481B,,-1.23B,,,,AOR,Restated
2006-01,1.375B,-32.00M,-32.00M,254.00M,254.00M,-124.00M,261.00M,-85.00M,24.00M,-228.00M,-50.00M,-6.00M,22.00M,,98.00M,334.00M,170.00M,1.865B,,-179.00M,,-179.00M,-28.00M,1.985B,21.00M,1.799B,,,,,427.00M,-748.00M,-321.00M,,,104.00M,-217.00M,,1.704B,3.447B,5.151B,,427.00M,,,-748.00M,,,,AOR,Restated
2005-10,1.261B,11.00M,11.00M,258.00M,258.00M,125.00M,317.00M,-40.00M,30.00M,-161.00M,-65.00M,-41.00M,-10.00M,,31.00M,-372.00M,-618.00M,1.402B,,-215.00M,,-215.00M,-147.00M,-656.00M,-105.00M,-1.123B,,,,,136.00M,-3.50B,-3.364B,,,47.00M,-3.317B,,4.742B,-3.038B,1.704B,,136.00M,,,-3.50B,,,,AOR,Restated
2005-07,1.54B,-12.00M,-12.00M,263.00M,263.00M,-322.00M,0.00,0.00,40.00M,-6.00M,145.00M,-82.00M,835.00M,,,285.00M,1.091B,2.436B,,-222.00M,,-222.00M,-325.00M,2.246B,14.00M,1.713B,,,,,495.00M,-2.492B,-1.997B,,,-51.00M,-2.048B,,2.641B,2.101B,4.742B,,495.00M,,,-2.492B,,,,AOR,Restated
2005-04,1.405B,-9.00M,-9.00M,246.00M,246.00M,327.00M,0.00,0.00,50.00M,-24.00M,-72.00M,-49.00M,-251.00M,,,208.00M,-188.00M,1.884B,,-180.00M,,-180.00M,-67.00M,418.00M,-1.00M,170.00M,,0.00,,0.00,159.00M,-2.037B,-1.878B,,,-8.00M,-1.886B,,2.473B,168.00M,2.641B,,159.00M,0.00,,-2.037B,,,,AOR,Restated
2005-01,1.40B,-30.00M,-30.00M,260.00M,260.00M,-37.00M,0.00,0.00,38.00M,-491.00M,-94.00M,83.00M,193.00M,,,418.00M,109.00M,1.789B,,-131.00M,,-131.00M,-324.00M,164.00M,23.00M,-268.00M,,,,,337.00M,-2.705B,-2.368B,,,11.00M,-2.357B,,3.309B,-836.00M,2.473B,,337.00M,,,-2.705B,,,,AOR,Restated
2004-10,1.396B,-44.00M,-44.00M,251.00M,251.00M,122.00M,0.00,0.00,52.00M,-15.00M,-63.00M,-10.00M,232.00M,,,-524.00M,-380.00M,1.459B,,-159.00M,,-159.00M,-229.00M,1.317B,70.00M,999.00M,,,,,96.00M,-3.001B,-2.905B,,,34.00M,-2.871B,,3.722B,-413.00M,3.309B,,96.00M,,,-3.001B,,,,AOR,Restated
2004-07,1.38B,-6.00M,-6.00M,254.00M,254.00M,330.00M,-188.00M,,244.00M,-373.00M,-167.00M,-29.00M,667.00M,,,179.00M,-101.00M,1.994B,,-126.00M,,-126.00M,0.00,-429.00M,7.00M,-548.00M,,,,,327.00M,-1.998B,-1.671B,,,-2.00M,-1.673B,,3.949B,-227.00M,3.722B,,327.00M,,,-1.998B,,,,AOR,Restated
2004-04,1.211B,-28.00M,-28.00M,159.00M,159.00M,311.00M,188.00M,,2.00M,475.00M,-240.00M,-11.00M,-59.00M,,,319.00M,484.00M,2.379B,,-94.00M,,-94.00M,-108.00M,383.00M,63.00M,244.00M,,,,,172.00M,-3.048B,-2.876B,,,-23.00M,-2.899B,,4.225B,-276.00M,3.949B,,172.00M,,,-3.048B,,,,AOR,Restated
2004-01,724.00M,-122.00M,-122.00M,389.00M,389.00M,270.00M,,,568.00M,-705.00M,-94.00M,37.00M,-70.00M,,,570.00M,-262.00M,1.616B,,-220.00M,,-220.00M,-67.00M,147.00M,15.00M,-125.00M,,,,,585.00M,-2.036B,-1.451B,,,27.00M,-1.424B,,4.158B,67.00M,4.225B,,585.00M,,,-2.036B,,,,AOR,Restated
2003-10,1.086B,1.00M,1.00M,397.00M,397.00M,178.00M,,,,-44.00M,-37.00M,-39.00M,-224.00M,,,-387.00M,-731.00M,973.00M,,-173.00M,,-173.00M,0.00,1.159B,68.00M,1.054B,,,,,173.00M,-1.998B,-1.825B,,,31.00M,-1.794B,,3.925B,233.00M,4.158B,,173.00M,,,-1.998B,,,,AOR,Restated
2003-07,982.00M,-3.00M,-3.00M,297.00M,297.00M,-32.00M,,,1.00M,2.00M,-106.00M,18.00M,113.00M,,18.00M,225.00M,270.00M,1.628B,,-213.00M,,-213.00M,30.00M,-263.00M,-81.00M,-527.00M,,,,,299.00M,-1.435B,-1.136B,,,20.00M,-1.116B,,3.94B,-15.00M,3.925B,,299.00M,,,-1.435B,,,,AOR,Restated
2003-04,987.00M,14.00M,14.00M,383.00M,383.00M,242.00M,,,3.00M,-28.00M,-9.00M,-24.00M,-350.00M,,-18.00M,64.00M,-365.00M,1.265B,,-163.00M,,-163.00M,1.00M,-243.00M,6.00M,-399.00M,,,,,48.00M,-1.997B,-1.949B,,,10.00M,-1.939B,,5.013B,-1.073B,3.94B,,48.00M,,,-1.997B,,,,AOR,Restated
2003-01,991.00M,35.00M,35.00M,373.00M,373.00M,-68.00M,,,,31.00M,49.00M,-19.00M,-148.00M,,-14.00M,154.00M,53.00M,1.359B,,-219.00M,,-219.00M,12.00M,-1.90B,35.00M,-2.072B,,,,,190.00M,-1.475B,-1.285B,,,25.00M,-1.26B,,6.986B,-1.973B,5.013B,,190.00M,,,-1.475B,,,,AOR,Restated
2002-10,618.00M,474.00M,474.00M,410.00M,410.00M,-24.00M,,,,-51.00M,49.00M,-36.00M,-14.00M,,14.00M,-423.00M,-461.00M,1.067B,,-122.00M,,-122.00M,-69.00M,-2.46B,134.00M,-2.517B,,,,,41.00M,-1.077B,-1.036B,,,-12.00M,-1.048B,,9.484B,-2.498B,6.986B,,41.00M,,,-1.077B,,,,AOR,Restated
2002-07,772.00M,,51.00M,604.00M,604.00M,-190.00M,,,28.00M,-115.00M,8.00M,-8.00M,275.00M,,45.00M,158.00M,363.00M,1.609B,,-398.00M,,-398.00M,30.00M,2.30B,97.00M,2.029B,,,,,224.00M,-902.00M,-678.00M,,,31.00M,-647.00M,,6.493B,2.991B,9.484B,,224.00M,,,-902.00M,,,,AOR,Restated
2002-04,729.00M,,62.00M,418.00M,418.00M,74.00M,,,0.00,129.00M,95.00M,-35.00M,20.00M,,63.00M,-152.00M,120.00M,1.587B,,-1.761B,,-1.761B,-41.00M,-56.00M,1.726B,-132.00M,,,,,47.00M,-351.00M,-304.00M,,,5.00M,-299.00M,,5.337B,1.156B,6.493B,,47.00M,,,-351.00M,,,,AOR,Restated
2002-01,660.00M,,43.00M,476.00M,476.00M,101.00M,,,0.00,-3.00M,341.00M,-55.00M,-114.00M,,-38.00M,536.00M,667.00M,2.007B,,-190.00M,,-190.00M,-46.00M,-997.00M,120.00M,-1.113B,,,,,213.00M,-251.00M,-38.00M,,,-6.00M,-44.00M,,4.487B,850.00M,5.337B,,213.00M,,,-251.00M,,,,AOR,Restated
2001-10,-268.00M,,971.00M,459.00M,459.00M,-497.00M,,,25.00M,259.00M,229.00M,70.00M,-234.00M,,-70.00M,443.00M,697.00M,1.384B,,-292.00M,,-292.00M,-42.00M,-1.353B,96.00M,-1.591B,,,,,171.00M,-350.00M,-179.00M,,,,-179.00M,,4.873B,-386.00M,4.487B,,171.00M,,,-350.00M,,,,AOR,Restated
2001-07,7.00M,,0.00,621.00M,621.00M,1.199B,,,0.00,372.00M,86.00M,41.00M,-345.00M,,-282.00M,481.00M,353.00M,1.685B,,-457.00M,,-457.00M,-201.00M,-1.659B,244.00M,-2.073B,,,,,156.00M,0.00,156.00M,,,3.00M,159.00M,,5.102B,-229.00M,4.873B,,156.00M,,,0.00,,,,AOR,Restated
2001-04,-2.693B,,0.00,641.00M,641.00M,-1.727B,,,603.00M,1.458B,-93.00M,27.00M,278.00M,,668.00M,289.00M,2.627B,1.881B,,-606.00M,,-606.00M,-508.00M,-62.00M,8.00M,-1.168B,,,,,408.00M,0.00,408.00M,,,-13.00M,395.00M,,3.994B,1.108B,5.102B,,408.00M,,,0.00,,,,AOR,Restated
2001-01,874.00M,,6.00M,540.00M,540.00M,308.00M,,,161.00M,-660.00M,-770.00M,256.00M,-11.00M,,0.00,526.00M,-659.00M,1.463B,,-684.00M,,-684.00M,-544.00M,-1.831B,-325.00M,-3.384B,,,,,360.00M,0.00,360.00M,,,17.00M,377.00M,,5.538B,-1.544B,3.994B,,360.00M,,,0.00,,,,AOR,Restated
2000-10,798.00M,,37.00M,434.00M,434.00M,693.00M,,,476.00M,-601.00M,-867.00M,-349.00M,508.00M,,0.00,77.00M,-1.232B,1.363B,,-524.00M,,-524.00M,-286.00M,601.00M,-169.00M,-378.00M,,,,,338.00M,0.00,338.00M,,,-19.00M,319.00M,,4.234B,1.304B,5.538B,,338.00M,,,0.00,,,,AOR,Restated
2000-07,796.00M,-24.00M,-116.00M,395.00M,395.00M,1.129B,,,367.00M,-376.00M,-460.00M,-225.00M,-476.00M,,0.00,507.00M,-1.03B,1.659B,,-859.00M,,-415.00M,-140.00M,-397.00M,-108.00M,-1.504B,,,,,346.00M,,346.00M,,,-5.00M,341.00M,,3.738B,496.00M,4.234B,,346.00M,,,,,,,AOR,Restated
2000-04,641.00M,24.00M,24.00M,160.00M,160.00M,0.00,,,488.00M,-190.00M,-232.00M,19.00M,405.00M,,0.00,376.00M,378.00M,1.785B,,-257.00M,,-257.00M,45.00M,-1.63B,-496.00M,-2.338B,,,,,549.00M,,549.00M,,,-8.00M,541.00M,,3.75B,-12.00M,3.738B,,549.00M,,,,,,,AOR,Restated
2000-01,816.00M,,,164.00M,164.00M,227.00M,,,43.00M,-297.00M,-121.00M,-45.00M,270.00M,,,416.00M,223.00M,1.565B,,-213.00M,,-213.00M,-11.00M,931.00M,-201.00M,506.00M,,,,,368.00M,,368.00M,,,0.00,368.00M,,1.311B,2.439B,3.75B,,368.00M,,,,,,,AOR,Restated
1999-10,415.00M,,,144.00M,144.00M,357.00M,,,363.00M,-180.00M,-74.00M,2.00M,91.00M,,,-61.00M,-222.00M,1.132B,,-201.00M,,-201.00M,0.00,-434.00M,-406.00M,-1.041B,,,,,301.00M,,301.00M,,,6.00M,307.00M,,913.00M,398.00M,1.311B,,301.00M,,,,,,,AOR,Restated
1999-07,596.00M,,,154.00M,154.00M,106.00M,,,81.00M,26.00M,-177.00M,-75.00M,-125.00M,,,,319.00M,1.426B,,-312.00M,,-217.00M,0.00,-1.054B,-298.00M,-1.664B,,,,,272.00M,,272.00M,,,2.00M,274.00M,,867.00M,36.00M,913.00M,,272.00M,,,,,,,AOR,Restated
1999-04,636.00M,,,106.00M,106.00M,193.00M,,,0.00,194.00M,-152.00M,42.00M,190.00M,,,,274.00M,1.209B,,-103.00M,,-103.00M,0.00,-1.949B,-114.00M,-2.166B,,,,,299.00M,,299.00M,,,-6.00M,293.00M,,1.531B,-664.00M,867.00M,,299.00M,,,,,,,AOR,Restated
1999-01,279.00M,,,116.00M,116.00M,137.00M,,,257.00M,-139.00M,-100.00M,-37.00M,331.00M,,,,55.00M,844.00M,,-157.00M,,-157.00M,-19.00M,-54.00M,-367.00M,-597.00M,,,,,247.00M,,247.00M,,,0.00,247.00M,,1.026B,494.00M,1.531B,,247.00M,,,,,,,AOR,Restated
1998-10,512.00M,,,113.00M,113.00M,154.00M,,,42.00M,-36.00M,-14.00M,-31.00M,106.00M,,,,25.00M,846.00M,,-125.00M,,-125.00M,,-290.00M,-143.00M,-558.00M,,,,,129.00M,,129.00M,,,11.00M,140.00M,,598.00M,428.00M,1.026B,,129.00M,,,,,,,AOR,Restated
1998-07,472.00M,,,100.00M,100.00M,153.00M,,,10.00M,-72.00M,-215.00M,-10.00M,-40.00M,,,,-58.00M,881.00M,,-147.00M,,-147.00M,,-1.394B,-140.00M,-1.681B,,,,,212.00M,,212.00M,,,-3.00M,209.00M,,1.171B,-591.00M,619.00M,,212.00M,,,,,,,AOR,Restated
1998-04,65.00M,,,91.00M,91.00M,134.00M,,,407.00M,-8.00M,-39.00M,1.00M,166.00M,,,,120.00M,817.00M,,-142.00M,,-142.00M,,-56.00M,-69.00M,-267.00M,,,,,144.00M,,144.00M,,,0.00,144.00M,,477.00M,694.00M,1.171B,,144.00M,,,,,,,AOR,Restated
1998-01,457.00M,,,71.00M,71.00M,44.00M,,,0.00,-109.00M,-26.00M,3.00M,20.00M,,,,-112.00M,460.00M,,-77.00M,,-77.00M,,-317.00M,-68.00M,-462.00M,,,,,102.00M,,102.00M,,,-2.00M,100.00M,,378.00M,98.00M,477.00M,,102.00M,,,,,,,AOR,Restated
1997-10,337.00M,,,67.00M,67.00M,15.00M,,,19.00M,23.00M,13.00M,27.00M,206.00M,,,,269.00M,707.00M,,-63.00M,,-63.00M,,-547.00M,-83.00M,-693.00M,,,,,97.00M,,97.00M,,,-2.00M,95.00M,,269.00M,109.00M,378.00M,,97.00M,,,,,,,AOR,Restated
1997-07,153.28M,,,62.96M,62.96M,29.91M,,,229.82M,-44.63M,-144.23M,-17.69M,84.74M,,,,-121.81M,490.15M,,-61.76M,,-61.76M,6.189M,-274.69M,-39.37M,-369.63M,,,,,155.47M,,-167.53M,,,2.215M,-165.32M,,345.49M,-44.80M,306.00M,,155.47M,,,,,,,AOR,Restated
1997-04,378.32M,,,52.50M,52.50M,18.00M,,,0.00,-114.49M,-29.78M,19.54M,76.48M,,,,-48.25M,400.58M,,-100.87M,,-100.87M,0.00,-230.04M,-103.96M,-434.86M,,,,,49.59M,,49.59M,,,-2.62M,46.97M,,332.81M,12.68M,345.49M,,49.59M,,,,,,,AOR,Restated
1997-01,338.46M,,,54.80M,54.80M,7.162M,,,43.20M,-270.19M,39.82M,1.298M,-185.94M,,,,-415.02M,28.60M,,-81.31M,,-81.31M,-25.19M,-201.34M,1.141M,-306.70M,,,,,60.11M,,60.11M,,,-3.032M,57.08M,,553.82M,-221.02M,332.81M,,60.11M,,,,,,,AOR,Restated
1996-10,180.94M,,,43.74M,43.74M,32.92M,,,-11.02M,-129.70M,60.20M,2.852M,348.73M,,,,282.08M,528.67M,,-88.06M,,-88.06M,,-178.93M,-28.81M,-295.80M,,,,,42.83M,,42.83M,,,-1.563M,41.26M,,279.70M,274.13M,553.82M,,42.83M,,,,,,,AOR,Restated
1996-07,276.55M,,,59.00M,59.00M,18.78M,,,,-45.83M,-29.38M,-25.77M,68.91M,,,,-32.07M,393.84M,,-112.05M,,-112.05M,0.00,-289.38M,-22.95M,-424.38M,,,,,35.43M,-0.011M,35.42M,,,-0.629M,34.79M,,275.45M,4.242M,279.70M,,35.43M,,,-0.011M,,,,AOR,Restated
1996-04,245.65M,,,20.79M,20.79M,33.82M,,,,-49.68M,-85.67M,-12.12M,142.30M,,,,-5.178M,295.08M,,-69.54M,,-69.54M,,-187.18M,9.931M,-246.78M,,,,,30.79M,-2.876M,27.92M,,,-0.458M,27.46M,,199.70M,75.76M,275.45M,,30.79M,,,-2.876M,,,,AOR,Restated
1996-01,209.74M,,,25.97M,25.97M,23.98M,,,,-57.35M,-97.78M,-7.999M,31.65M,,,,-131.48M,128.22M,,-54.42M,,-54.42M,0.00,-18.73M,-17.58M,-90.72M,,,,,19.14M,-112.73M,-93.59M,,,-2.809M,-96.40M,,258.60M,-58.90M,199.70M,,19.14M,,,-112.73M,,,,AOR,Restated
1995-10,181.39M,,,26.82M,26.82M,47.59M,,,,-66.77M,-59.58M,-21.26M,137.39M,,,,-10.21M,245.59M,,-46.83M,,-46.83M,,-238.86M,-10.26M,-295.96M,,,,,31.19M,,31.19M,,,-6.615M,24.58M,,284.39M,-25.79M,258.60M,,31.19M,,,,,,,AOR,Restated
1995-07,179.20M,,,32.83M,32.83M,38.59M,,,,-65.93M,-79.60M,-11.12M,18.82M,,,,-137.83M,183.79M,,-71.33M,,-71.33M,0.00,23.32M,-67.79M,-115.80M,,,,,106.46M,-2.556M,103.90M,,,-2.109M,101.79M,,107.01M,169.78M,284.39M,,106.46M,,,-2.556M,,,,AOR,Restated
1995-04,125.03M,,,16.40M,16.40M,-8.103M,,,,-59.63M,2.089M,-5.482M,57.07M,,,,-5.945M,127.38M,,-25.01M,,-25.01M,0.00,-71.80M,-5.373M,-102.18M,,,,,15.90M,-36.78M,-20.88M,,,8.454M,-12.43M,,94.24M,12.77M,107.01M,,15.90M,,,-36.78M,,,,AOR,Restated
1995-01,53.48M,,,14.31M,14.31M,-39.71M,,,,-22.87M,-23.08M,-1.755M,12.17M,,,,-35.54M,-7.454M,,-30.21M,,-30.21M,-17.92M,10.84M,11.16M,-26.13M,,,,,8.294M,-20.35M,-12.05M,,,-0.864M,-12.92M,,140.74M,-46.50M,94.24M,,8.294M,,,-20.35M,,,,AOR,Restated
1994-10,98.77M,,,11.42M,11.42M,-6.285M,,,,-32.66M,-3.891M,1.632M,70.12M,,,,35.21M,139.12M,,-25.28M,,-25.28M,,-69.59M,7.35M,-87.52M,,,,,45.25M,-10.20M,35.05M,,,0.526M,35.57M,,53.57M,87.17M,140.74M,,45.25M,,,-10.20M,,,,,Restated
1994-07,97.68M,,,16.01M,16.01M,24.96M,,,,-44.67M,-15.17M,1.302M,-0.794M,,,,-59.34M,102.01M,,-28.07M,,-28.07M,,-122.34M,1.288M,-149.12M,,,,,4.984M,,4.984M,,,0.038M,5.022M,,95.17M,-42.09M,61.16M,,4.984M,,,,,,,,Restated
1994-04,84.34M,,,6.208M,6.208M,-1.071M,,,,-27.89M,3.748M,-5.767M,37.72M,,,,7.812M,97.29M,,-13.61M,,-13.61M,,-52.99M,-5.985M,-72.59M,,,,,5.567M,,5.567M,,,0.346M,5.913M,,64.56M,30.61M,95.17M,,5.567M,,,,,,,,Restated
1994-01,77.46M,,,7.577M,7.577M,-11.71M,,,,-18.07M,-9.159M,-1.417M,44.54M,3.30M,-39.20M,,-20.00M,53.32M,,-14.64M,,-14.64M,,103.16M,-88.67M,-0.153M,,,,,9.459M,,9.459M,,,-0.714M,8.745M,,0.00,61.91M,64.56M,,9.459M,,,,,,,,Restated
1993-10,63.50M,,,6.50M,6.50M,-7.30M,,,,-27.10M,-4.20M,,8.40M,-3.30M,39.20M,,13.00M,75.70M,,-13.50M,,-13.50M,,-160.60M,68.40M,-105.70M,,,,,4.80M,,4.80M,,,0.60M,5.40M,,27.20M,-24.60M,0.00,,4.80M,,,,,,,,
1993-07,53.76M,,,3.283M,3.283M,-0.245M,,,-0.10M,-23.77M,-5.758M,,43.63M,2.70M,-17.90M,,-3.104M,63.91M,,-11.14M,,-11.14M,,-39.76M,-37.22M,-88.12M,,,,-11.60M,18.62M,,18.62M,,,-0.323M,6.698M,,0.00,-17.51M,27.25M,,18.62M,,,,,,,,Restated
1993-04,46.30M,,,4.00M,4.00M,-2.50M,,,0.00,-14.00M,-5.70M,,34.30M,-1.30M,0.80M,,14.10M,61.90M,,-10.80M,,-10.80M,,-68.70M,-0.80M,-80.30M,,,,11.60M,-9.30M,,-9.30M,,,0.30M,2.60M,,0.00,-15.80M,0.00,,-9.30M,,,,,,,,
1993-01,38.70M,,,3.30M,3.30M,-1.80M,,,0.00,-23.60M,-6.80M,,-7.50M,-1.30M,16.50M,,-22.70M,17.50M,,-5.00M,,-5.00M,,1.10M,-0.30M,-4.20M,,,,,4.60M,,4.60M,,,-0.70M,3.90M,,0.00,17.20M,0.00,,4.60M,,,,,,,,
1992-10,33.20M,,,3.00M,3.00M,-2.10M,,,0.10M,-12.90M,,,10.90M,-0.10M,0.60M,,-1.50M,32.70M,,-7.00M,,-7.00M,,-26.40M,-0.40M,-33.80M,,,,,4.70M,,4.70M,,,-0.20M,4.50M,,40.00M,3.40M,0.00,,4.70M,,,,,,,,
1992-07,27.30M,,,1.90M,1.90M,-5.60M,,,-0.10M,-15.70M,-1.90M,,-17.60M,2.10M,46.00M,,12.90M,36.40M,,-6.10M,,-6.10M,,-16.40M,-1.30M,-23.80M,,,,-0.60M,3.10M,,3.10M,,,0.20M,2.70M,,0.00,15.30M,0.00,,3.10M,,,,,,,,
1992-04,23.20M,,,2.20M,2.20M,-0.70M,,,0.10M,-12.50M,-1.40M,,23.10M,-1.30M,-1.90M,,6.00M,30.80M,,-6.10M,,-6.10M,,-42.80M,-0.10M,-49.00M,,,,-1.10M,3.70M,,3.70M,,,-0.10M,2.50M,,0.00,-15.70M,0.00,,3.70M,,,,,,,,
1992-01,18.40M,,,1.70M,1.70M,-1.50M,,,0.10M,-1.80M,0.40M,,1.70M,-0.50M,9.20M,,9.00M,27.70M,,-4.80M,,-4.80M,,-24.40M,0.10M,-29.10M,,,,-0.20M,1.90M,,1.90M,,,0.00,1.70M,,0.00,0.30M,0.00,,1.90M,,,,,,,,
1991-10,15.50M,,,0.90M,0.90M,,,,-0.10M,0.50M,-0.20M,,1.30M,-1.30M,14.00M,,14.30M,30.60M,,-4.60M,,-4.60M,,-28.60M,-0.20M,-33.40M,,,,1.90M,0.50M,,0.50M,,,0.10M,2.50M,,40.30M,-0.30M,0.00,,0.50M,,,,,,,,
1991-07,13.20M,,,1.40M,1.40M,-4.90M,,,,-7.30M,-0.10M,,1.60M,0.60M,7.70M,,2.50M,12.20M,,-4.60M,,-4.60M,,-16.50M,-0.30M,-21.40M,,,,,0.70M,,0.70M,,,-0.10M,0.60M,,0.00,-8.60M,0.00,,0.70M,,,,,,,,
1991-04,11.70M,,,0.70M,0.70M,0.00,,,-0.10M,-0.30M,2.50M,,-1.10M,-0.80M,6.20M,,6.50M,18.80M,,-3.20M,,-3.20M,,-4.20M,0.40M,-7.00M,,,,,0.30M,,0.30M,,,0.00,0.30M,,0.00,12.10M,0.00,,0.30M,,,,,,,,
1991-01,10.40M,,,0.60M,0.60M,-0.50M,,,0.20M,-4.40M,-2.90M,,-0.80M,-0.10M,4.00M,,-4.20M,6.50M,,-2.40M,,-2.40M,,1.60M,-0.20M,-1.00M,,,,,0.90M,,0.90M,,,-0.10M,0.80M,,0.00,6.30M,0.00,,0.90M,,,,,,,,
1990-10,7.90M,,,0.30M,0.30M,-0.40M,,,-0.10M,-7.50M,-1.90M,,3.10M,,5.10M,,-1.20M,6.50M,,-1.10M,,-1.10M,,-10.90M,,-12.00M,,,,,0.20M,,0.20M,,,,0.20M,,35.80M,-5.30M,0.00,,0.20M,,,,,,,,
1990-07,4.60M,,,0.60M,0.60M,0.00,,,0.10M,-4.80M,-0.50M,,0.00,0.20M,1.80M,,-3.30M,2.00M,,-1.00M,,-1.00M,,-14.20M,0.30M,-14.90M,,,,0.10M,-0.20M,,-0.20M,,,-0.20M,-0.30M,,0.00,-13.20M,0.00,,-0.20M,,,,,,,,
1990-04,3.90M,,,0.20M,0.20M,0.00,,,-0.20M,-1.60M,-0.60M,,2.00M,0.60M,0.20M,,0.60M,4.50M,,-2.10M,,-2.10M,,-6.90M,-0.50M,-9.50M,,,,-0.10M,47.70M,,47.70M,,,0.20M,47.80M,,0.00,42.80M,0.00,,47.70M,,,,,,,,
1990-01,2.90M,,,0.10M,0.10M,-0.40M,,,0.10M,0.10M,-0.30M,,1.10M,-0.50M,-0.30M,,0.10M,2.80M,,-0.40M,,-0.40M,,,0.10M,-0.30M,,,,,0.10M,,0.10M,,,-0.10M,0.00,,0.00,2.50M,0.00,,0.10M,,,,,,,,
1989-10,2.50M,,,0.10M,0.10M,,,,,-2.40M,0.30M,,0.40M,,-0.70M,,-2.40M,0.20M,,-0.60M,,-0.60M,,,-0.10M,-0.70M,,,,,,,,,,,0.00,,4.20M,-0.50M,0.00,,,,,,,,,,
