,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-04,53.01M,,,,-3.335M,9.185M,1.74M,10.92M,10.92M,0.415M,,,,3.807M,-84.93M,3.467M,-2.251M,-41.51M,,,4.718M,-55.69M,,2007-04,-9.168M,,-9.168M,0.80M,3.335M,-7.081M,,2007-04,,,,3.606M,-0.184M,3.422M,,,,-4.208M,2.226M,1.44M,,2007-04,-66.37M,,299.73M,,2007-04,3.606M,,-0.184M,,2007-04,,
2007-01,26.76M,,,,0.00,9.391M,1.158M,10.55M,10.55M,7.835M,,,,1.305M,98.47M,6.91M,-28.76M,26.99M,,,-8.038M,142.02M,,2007-01,-19.78M,,-19.78M,-92.19M,0.00,-30.77M,,2007-01,,,,7.303M,,7.253M,,,,-2.08M,3.045M,8.218M,,2007-01,7.497M,,366.10M,,2007-01,7.303M,,,,2007-01,,
2006-10,50.77M,,,,0.00,7.811M,1.195M,9.006M,9.006M,18.01M,,,,2.082M,-60.39M,-25.74M,1.663M,10.41M,,,3.812M,9.628M,,2006-10,1.479M,,1.479M,-21.07M,0.00,,,2006-10,,,,2.232M,,2.232M,,,,-2.076M,0.704M,0.86M,,2006-10,-9.102M,,358.60M,,2006-10,2.232M,,,,2006-10,,
2006-07,28.95M,,,,-2.832M,7.943M,1.112M,9.055M,9.055M,-5.651M,,,,4.542M,35.50M,-21.55M,2.182M,31.43M,,,3.599M,85.23M,,2006-07,-21.94M,,-21.94M,,0.675M,6.737M,,2006-07,,,,2.304M,,2.304M,,,,0.001M,-10.46M,-8.15M,,2006-07,62.55M,,367.70M,,2006-07,2.304M,,,,2006-07,,
2006-04,48.74M,,,,-29.21M,8.169M,1.123M,9.292M,9.292M,24.01M,,,,2.501M,-43.87M,24.25M,3.483M,-21.61M,,,,17.58M,,2006-04,-5.916M,,-5.916M,,32.14M,-6.737M,,2006-04,,,,5.741M,,5.741M,,,,-6.931M,1.922M,0.732M,,2006-04,37.80M,,305.15M,,2006-04,5.741M,,,,2006-04,,
2006-01,22.92M,,,,,8.376M,1.111M,9.487M,9.487M,5.929M,,,,,92.92M,5.155M,-9.424M,7.446M,,,-18.78M,107.17M,,2006-01,-12.80M,,-12.80M,,,-6.907M,,2006-01,,,,13.05M,0.00,13.05M,,,,-3.23M,0.00,9.817M,,2006-01,97.09M,,267.36M,,2006-01,13.05M,,0.00,,2006-01,,
2005-10,40.29M,,,,,7.888M,0.945M,8.833M,8.833M,18.70M,,,,,-71.46M,-1.572M,-4.455M,17.29M,,,9.257M,16.88M,,2005-10,3.909M,,3.909M,,,-19.34M,,2005-10,,,,4.055M,0.00,4.055M,,,,-6.386M,0.00,-2.331M,,2005-10,-0.885M,,170.26M,,2005-10,4.055M,,0.00,,2005-10,,
2005-07,23.50M,,,,,7.617M,0.952M,8.569M,8.569M,12.00M,,,,-8.394M,10.12M,-27.10M,6.362M,26.25M,,,9.519M,60.82M,,2005-07,-21.86M,,-21.86M,,,6.746M,,2005-07,,,,16.01M,0.00,16.01M,,,,-3.249M,-14.20M,-1.447M,,2005-07,44.27M,,171.15M,,2005-07,16.01M,,0.00,,2005-07,,
2005-04,24.98M,,,,,7.638M,0.954M,8.592M,8.592M,15.25M,,,,8.394M,-34.90M,8.682M,8.37M,-34.86M,,,,4.511M,,2005-04,-6.70M,,-6.70M,,,-6.746M,,2005-04,,,,19.54M,-0.069M,19.47M,,,,-7.765M,,11.70M,,2005-04,2.77M,,126.88M,,2005-04,19.54M,,-0.069M,,2005-04,,
2005-01,17.29M,,,,0.528M,,,11.38M,11.38M,2.013M,,,,,66.77M,-0.214M,-7.641M,13.38M,,,,110.82M,,2005-01,-19.31M,,-19.31M,,,-5.356M,,2005-01,,,0.00,18.73M,0.00,18.73M,,,,-5.281M,,13.45M,,2005-01,29.81M,,124.11M,,2005-01,18.73M,,0.00,,2005-01,,
2004-10,26.74M,,,,0.00,,,6.539M,6.539M,14.20M,,,,,-50.80M,-25.29M,-1.902M,5.898M,,,,-24.61M,,2004-10,-11.79M,,-11.79M,,,-6.774M,,2004-10,,,-0.109M,1.492M,0.00,1.492M,,,,-7.609M,,-6.226M,,2004-10,-49.40M,,94.30M,,2004-10,1.492M,,0.00,,2004-10,,
2004-07,12.99M,,,,0.00,,,7.05M,7.05M,6.784M,,,,,5.416M,-23.35M,4.814M,25.68M,,,,39.38M,,2004-07,-10.96M,,-10.96M,,,-4.856M,,2004-07,,,145.24M,2.488M,-0.03M,2.458M,,,,-5.28M,-145.27M,-2.853M,,2004-07,20.72M,,143.70M,,2004-07,2.488M,,-0.03M,,2004-07,,
2004-04,1.593M,,,,7.293M,,,7.056M,7.056M,0.649M,,,,,-18.14M,24.40M,13.09M,-18.89M,,,,17.05M,,2004-04,-4.137M,,-4.137M,,,-5.26M,,2004-04,,,-157.29M,2.049M,-0.095M,1.954M,,,,-7.587M,145.27M,-17.66M,,2004-04,-10.00M,,122.98M,,2004-04,2.049M,,-0.095M,,2004-04,,
2004-01,-9.152M,,,,,,,8.027M,8.027M,-9.627M,,,,,90.22M,14.73M,-5.36M,-14.85M,,,,67.76M,,2004-01,-13.50M,,-13.50M,-0.405M,0.00,-4.992M,,2004-01,,,-144.70M,2.028M,0.00,2.028M,,,,0.00,,2.028M,,2004-01,50.90M,,132.99M,,2004-01,2.028M,,0.00,,2004-01,,
2003-10,17.03M,,,,,,,6.872M,6.872M,19.44M,,,,,-67.92M,25.28M,6.843M,-19.66M,,,,-12.12M,,2003-10,-9.221M,,-9.221M,25.84M,0.00,-2.664M,,2003-10,,,-0.129M,1.383M,-0.068M,1.315M,,,,-2.281M,,-1.095M,,2003-10,0.743M,,82.09M,,2003-10,1.383M,,-0.068M,,2003-10,,
2003-07,8.977M,,,,,,,6.895M,6.895M,-4.478M,,,,,13.15M,-7.456M,-1.623M,38.86M,,,,54.32M,,2003-07,-6.36M,,-6.36M,-19.00M,17.23M,-4.367M,,2003-07,,,19.82M,0.123M,,0.123M,,,,0.00,,19.95M,,2003-07,61.78M,,81.34M,,2003-07,0.123M,,,,2003-07,,
2003-04,-2.153M,,,,,,,6.776M,6.776M,-1.386M,,,,,-31.84M,-5.514M,2.029M,-21.65M,,,,-53.75M,,2003-04,-2.894M,,-2.894M,-408.00M,,-4.932M,,2003-04,,,125.00M,249.29M,,249.29M,,,,-2.274M,,372.02M,,2003-04,-97.55M,,19.57M,,2003-04,249.29M,,,,2003-04,,
2003-01,5.726M,,,,-0.115M,,,7.012M,7.012M,0.997M,,,,,68.40M,-8.801M,,-1.356M,,-11.50M,,67.72M,,2003-01,-13.99M,,-13.99M,,,,,2003-01,,,,0.005M,0.00,0.005M,,,,0.003M,,0.008M,,2003-01,53.74M,,117.12M,,2003-01,0.005M,,0.00,,2003-01,,
2002-10,17.69M,,,,-0.231M,,,6.16M,6.16M,8.738M,,,,,-43.99M,7.914M,,-5.016M,,1.122M,,-7.61M,,2002-10,-7.208M,,-7.208M,,,,,2002-10,,,,0.008M,0.00,0.008M,,,,-2.086M,,-2.078M,,2002-10,-16.90M,,63.38M,,2002-10,0.008M,,0.00,,2002-10,,
2002-07,7.853M,,,,-0.231M,,,6.298M,6.298M,4.377M,,,,,21.70M,-14.38M,,10.92M,,0.745M,,37.28M,,2002-07,-3.621M,,-3.621M,,,,,2002-07,,,,1.018M,-0.017M,1.001M,,,,-0.001M,,1.00M,,2002-07,34.66M,,80.28M,,2002-07,1.018M,,-0.017M,,2002-07,,
2002-04,-0.831M,,,,-0.251M,,,6.208M,6.208M,-0.518M,,,,,-32.94M,18.00M,,8.533M,,9.636M,,7.837M,,2002-04,-4.633M,,-4.633M,,,,,2002-04,,,,0.954M,-0.043M,0.911M,,,,-2.076M,,-1.165M,,2002-04,2.039M,,45.62M,,2002-04,0.954M,,-0.043M,,2002-04,,
2002-01,-9.465M,,,,0.108M,,,6.992M,6.992M,-6.045M,,,,,64.78M,33.05M,,7.448M,,-10.91M,-2.118M,83.83M,,2002-01,-12.46M,,-12.46M,-0.60M,,0.60M,,2002-01,,,-28.40M,0.007M,,0.007M,,,,0.001M,,-28.39M,,2002-01,42.99M,,43.58M,,2002-01,0.007M,,,,2002-01,,
2001-10,12.61M,,,,-0.198M,,,6.948M,6.948M,7.041M,,,,,-44.16M,35.37M,,-11.15M,,-2.042M,2.118M,6.525M,,2001-10,-6.496M,,-6.496M,0.00,,0.00,,2001-10,,,0.00,0.044M,,0.044M,,,,-1.035M,,-0.991M,,2001-10,-0.962M,,0.593M,,2001-10,0.044M,,,,2001-10,,
2001-07,6.974M,,,,-0.198M,,,5.892M,5.892M,5.895M,,,,,35.86M,-32.76M,,-0.513M,,2.042M,-1.923M,21.27M,,2001-07,-8.449M,,-8.449M,-5.00M,,3.00M,,2001-07,,,-11.30M,1.344M,,1.344M,,,,-1.042M,,-11.00M,,2001-07,-0.181M,,1.555M,,2001-07,1.344M,,,,2001-07,,
2001-04,0.564M,,,,-0.198M,,,5.902M,5.902M,-1.735M,,,,,-38.59M,3.677M,,-19.52M,,,1.923M,-47.97M,,2001-04,-6.006M,,-6.006M,,,-3.60M,,2001-04,,,39.70M,1.45M,,1.45M,,,,-2.06M,,39.09M,,2001-04,-18.49M,,1.736M,,2001-04,1.45M,,,,2001-04,,
2001-01,6.562M,,,,-0.144M,,,5.463M,5.463M,5.83M,,,,,65.74M,18.07M,,-11.75M,,,0.858M,90.63M,,2001-01,-14.24M,,-14.24M,,,56.76M,,2001-01,,,-40.00M,1.131M,,0.805M,,,,-1.024M,,-40.22M,,2001-01,18.07M,,20.22M,,2001-01,1.131M,,,,2001-01,,
2000-10,19.44M,,,,-0.216M,,,4.998M,4.998M,3.846M,,,,,-87.86M,22.78M,,8.469M,,-0.03M,5.035M,-23.54M,,2000-10,-6.441M,,-6.441M,,,0.00,,2000-10,,,10.00M,0.042M,,0.042M,,,,-1.024M,,9.018M,,2000-10,-20.96M,,2.155M,,2000-10,0.042M,,,,2000-10,,
2000-07,6.009M,,,,-0.252M,,,4.793M,4.793M,1.648M,,,,,18.27M,-29.54M,,8.293M,,0.03M,-2.703M,6.546M,,2000-07,-6.984M,,-6.984M,,,-56.76M,,2000-07,,,30.00M,0.023M,,0.023M,,,,0.00,,30.02M,,2000-07,-27.18M,,23.12M,,2000-07,0.023M,,,,2000-07,,
2000-04,-1.911M,,,,-0.252M,,,4.797M,4.797M,-1.439M,,,,,-29.17M,-21.48M,,8.506M,,,2.703M,-38.25M,,2000-04,-4.23M,,-4.23M,,,,,2000-04,,,,,,,,,,-2.046M,,-2.046M,,2000-04,-44.52M,,50.30M,,2000-04,,,,,2000-04,,
2000-01,2.673M,,,,-0.28M,,,4.917M,4.917M,1.293M,,,,17.00M,52.62M,4.031M,,9.749M,,,-1.80M,66.38M,,2000-01,-11.09M,,54.16M,,,-67.00M,,2000-01,,,0.00,,,,,,,0.008M,,0.024M,,2000-01,53.56M,,94.82M,,2000-01,,,,,2000-01,,
1999-10,15.30M,,,,-0.30M,,,4.80M,4.80M,7.60M,,,,-17.10M,-31.40M,21.30M,,8.20M,,,3.60M,12.00M,,1999-10,2.50M,,2.50M,,,0.00,,1999-10,,,0.00,,,,,,,-1.00M,,-1.00M,,1999-10,13.50M,,41.30M,,1999-10,,,,,1999-10,,
1999-07,3.525M,,,,-0.23M,,,4.90M,4.90M,0.844M,,,,0.10M,9.775M,5.443M,,-9.166M,,,14.41M,29.60M,,1999-07,-20.24M,,-20.24M,,,0.00,,1999-07,,,0.00,,,,,,,-1.055M,,-1.055M,,1999-07,8.31M,,27.80M,,1999-07,,,,,1999-07,,
1999-04,-4.625M,,,,-0.27M,,,4.80M,4.80M,-1.544M,,,,,-9.375M,-3.843M,,-2.934M,,,-16.21M,-34.00M,,1999-04,-2.461M,,-2.461M,,,67.00M,,1999-04,,,-20.00M,,,,,,,-2.045M,,-22.04M,,1999-04,8.49M,,19.45M,,1999-04,,,,,1999-04,,
1999-01,0.60M,,,,-0.30M,,,6.20M,6.20M,4.00M,,,,0.10M,36.90M,52.80M,,-3.60M,,-8.90M,-1.00M,86.80M,,1999-01,-23.10M,,-23.10M,,,,,1999-01,,,-64.10M,0.30M,,0.30M,,,,0.00,0.00,-63.80M,,1999-01,-0.10M,,11.10M,,1999-01,0.30M,,,,1999-01,,
1998-10,14.10M,,,,0.60M,,,5.70M,5.70M,0.60M,,,,0.10M,-49.80M,17.20M,,0.90M,,5.10M,1.00M,-4.50M,,1998-10,-7.10M,,-7.10M,,,,,1998-10,,,20.50M,0.30M,,0.30M,,,,-1.00M,-1.70M,18.10M,,1998-10,6.50M,,11.10M,,1998-10,0.30M,,,,1998-10,,
1998-07,2.70M,,,,-1.20M,,,6.70M,6.70M,-0.60M,,,,-0.20M,16.80M,-41.00M,,0.50M,,-3.80M,,-20.10M,,1998-07,-4.40M,,-4.40M,,,,,1998-07,,,15.60M,0.10M,,0.10M,,,,-1.10M,1.80M,16.40M,,1998-07,-8.10M,,4.60M,,1998-07,0.10M,,,,1998-07,,
