,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-10,336.63M,336.63M,267.98M,,267.98M,,,,332.11M,31.06M,,2.221M,970.00M,,,,,,,,455.50M,-252.75M,202.75M,295.36M,740.67M,1.036B,,29.57M,1.268B,2.238B,128.09M,128.09M,161.07M,289.16M,,,,,,,,20.64M,20.64M,,,309.80M,399.55M,,399.55M,221.38M,221.38M,,1.128B,,2007-10,56.49M,528.20M,,-29.98M,1.111B,,2007-10,,
2007-07,366.27M,366.27M,153.28M,,153.28M,,,,322.07M,34.73M,1.969M,0.252M,878.57M,,,,,,,,437.93M,-252.75M,185.18M,285.20M,741.59M,1.027B,,29.95M,1.242B,2.120B,104.95M,104.95M,128.92M,233.87M,,,,,,,,31.04M,31.04M,,,264.91M,399.54M,,399.54M,220.92M,220.92M,,1.070B,,2007-07,56.46M,471.57M,,-30.72M,1.050B,,2007-07,,
2007-04,299.73M,299.73M,177.25M,,177.25M,,,,281.43M,41.80M,1.969M,0.242M,802.42M,,,,,,,,423.52M,-252.75M,170.77M,277.39M,742.20M,1.020B,,29.42M,1.220B,2.022B,75.90M,75.90M,128.57M,204.47M,,,,,,,,25.42M,25.42M,,,229.88M,399.54M,,399.54M,220.43M,220.43M,,1.027B,,2007-04,56.10M,432.47M,,-31.52M,995.20M,,2007-04,,
2007-01,366.10M,366.10M,92.32M,,92.32M,,,,284.89M,39.55M,1.969M,0.171M,785.00M,0.00,1.179M,128.24M,284.90M,10.48M,,,424.79M,-252.75M,172.04M,271.11M,742.80M,1.014B,,27.53M,1.213B,1.998B,81.87M,81.87M,173.58M,255.46M,,,,,,,,27.71M,27.71M,,,283.17M,399.54M,,399.54M,256.32M,256.32M,,1.056B,,2007-01,55.85M,388.56M,,-32.20M,942.16M,,2007-01,,
2006-10,358.60M,358.60M,168.74M,,168.74M,,,,280.76M,10.79M,23.44M,0.168M,842.50M,,,,,,,,389.14M,-231.45M,157.69M,221.07M,699.34M,920.41M,,24.31M,1.102B,1.945B,74.69M,74.69M,156.43M,231.12M,,,,,,,,16.95M,16.95M,,,248.07M,399.54M,,399.54M,265.70M,265.70M,,1.042B,,2006-10,55.50M,363.88M,,-33.96M,903.38M,,2006-10,,
2006-07,367.70M,367.70M,105.13M,,105.13M,,,,255.02M,12.46M,23.44M,0.228M,763.98M,,,,,,,,385.52M,-231.45M,154.08M,212.94M,699.36M,912.30M,,24.89M,1.091B,1.855B,70.44M,70.44M,140.46M,210.90M,,,,,,,,23.53M,23.53M,,,234.44M,399.53M,,399.53M,247.94M,247.94M,,1.005B,,2006-07,55.36M,315.18M,,-33.96M,849.82M,,2006-07,,
2006-04,305.15M,305.15M,140.63M,,140.63M,,,,233.47M,14.64M,,23.69M,717.58M,,,,,,,,386.41M,-231.45M,154.97M,206.74M,699.37M,906.11M,,25.21M,1.086B,1.804B,47.94M,47.94M,135.96M,183.90M,,,,,,,,19.10M,19.10M,,,203.00M,399.53M,,399.53M,253.74M,253.74M,161.93M,1.139B,,2006-04,43.64M,297.17M,,-33.97M,664.53M,,2006-04,,
2006-01,267.36M,267.36M,102.80M,,102.80M,,,,257.72M,18.12M,23.44M,0.258M,669.69M,0.00,1.09M,117.82M,263.24M,7.789M,,,389.94M,-231.45M,158.49M,200.00M,699.39M,899.38M,,25.91M,1.084B,1.753B,61.60M,61.60M,145.27M,206.86M,,,,,,,,23.79M,23.79M,,,230.66M,399.52M,,399.52M,232.48M,232.48M,161.93M,1.143B,,2006-01,43.24M,255.36M,,-34.00M,610.66M,,2006-01,,
2005-10,170.26M,170.26M,189.68M,,189.68M,,,,262.87M,8.698M,,12.30M,643.81M,,,,,,,,365.26M,-209.69M,155.57M,,894.90M,894.90M,,29.45M,1.080B,1.724B,57.36M,57.36M,142.65M,200.01M,,,,,,,,17.16M,17.16M,,,217.17M,399.52M,,399.52M,,,161.93M,1.160B,,2005-10,42.23M,235.67M,,-32.12M,563.44M,,2005-10,,
2005-07,171.15M,171.15M,118.22M,,118.22M,,,,261.30M,,21.72M,,572.40M,,,,,,,,364.75M,-209.69M,155.06M,,887.40M,887.40M,,28.77M,1.071B,1.644B,62.94M,62.94M,112.59M,175.54M,,,,,,,,24.35M,24.35M,,,199.88M,399.52M,,399.52M,,,161.93M,1.118B,,2005-07,41.89M,201.77M,,-32.13M,525.48M,,2005-07,,
2005-04,126.88M,126.88M,128.34M,,128.34M,,,,234.20M,10.60M,,12.28M,512.31M,,,,,,,,363.47M,-209.69M,153.78M,,882.33M,882.33M,,28.23M,1.064B,1.577B,47.50M,47.50M,109.63M,157.12M,,,,,,,,16.51M,16.51M,,,173.63M,399.52M,,399.52M,,,264.75M,1.176B,,2005-04,33.56M,195.72M,,-32.04M,400.69M,,2005-04,,
2005-01,124.11M,124.11M,93.45M,,93.45M,,,,242.88M,18.98M,,13.94M,493.36M,0.00,1.09M,107.76M,250.18M,5.294M,,,364.32M,-209.69M,154.63M,,873.29M,873.29M,,28.30M,1.056B,1.550B,54.53M,54.53M,133.40M,187.94M,,,,,,,,20.56M,20.56M,,,208.49M,399.51M,,399.51M,,,264.75M,1.186B,,2005-01,32.45M,178.51M,,-32.02M,364.03M,,2005-01,,
2004-10,94.30M,94.30M,160.21M,,160.21M,,,242.67M,242.67M,,,33.22M,530.40M,,,,,,,,328.94M,-182.68M,146.26M,,802.22M,802.22M,,30.38M,978.86M,1.509B,60.26M,60.26M,134.68M,194.95M,,,,,,,,,,,,194.95M,399.51M,,399.51M,,,264.75M,1.186B,,2004-10,31.13M,166.50M,,-35.07M,322.92M,,2004-10,,
2004-07,143.70M,143.70M,109.42M,,109.42M,,,217.38M,217.38M,,,32.46M,502.96M,,,,,,,,323.82M,-182.68M,141.14M,,799.25M,799.25M,,27.03M,967.42M,1.470B,64.50M,64.50M,125.16M,189.66M,,,,,,,,,,,,189.66M,399.51M,,399.51M,185.70M,185.70M,264.75M,1.168B,,2004-07,31.00M,147.36M,,-35.15M,302.22M,,2004-07,,
2004-04,122.98M,122.98M,114.83M,,114.83M,,,194.03M,194.03M,,32.39M,,464.24M,,,,,,,,319.10M,-182.68M,136.42M,,794.41M,794.41M,,26.66M,957.48M,1.422B,42.51M,42.51M,121.46M,163.97M,,,,,,,,,,,,163.97M,399.50M,,399.50M,178.92M,178.92M,264.75M,1.130B,,2004-04,30.81M,139.66M,,-35.15M,292.05M,,2004-04,,
2004-01,132.99M,132.99M,96.69M,,96.69M,,,218.43M,218.43M,23.10M,,17.71M,488.91M,0.00,1.09M,96.34M,223.79M,,,,321.22M,-182.68M,138.54M,,789.16M,789.16M,,22.67M,950.37M,1.439B,49.77M,49.77M,114.37M,164.14M,,,,,,,,18.72M,18.72M,,,182.86M,399.10M,,399.10M,,,264.75M,1.143B,,2004-01,30.65M,145.65M,,-35.08M,296.16M,,2004-01,,
2003-10,82.09M,82.09M,184.02M,,184.02M,,,,233.41M,,43.52M,,543.04M,,,,,,,,328.27M,-185.90M,142.36M,,782.10M,782.10M,25.13M,,949.59M,1.493B,52.92M,52.92M,136.54M,189.46M,,,,,,,,,,,,189.46M,399.08M,,399.08M,,,264.75M,1.184B,,2003-10,30.48M,160.08M,,-34.32M,308.95M,,2003-10,,
2003-07,81.34M,81.34M,126.38M,,126.38M,,,258.81M,258.81M,,46.52M,,513.06M,,,,,,,,326.21M,-185.90M,140.31M,,546.52M,546.52M,64.36M,,751.19M,1.264B,55.79M,55.79M,122.82M,178.61M,,,,,,,,,,,,178.61M,399.06M,,399.06M,,,259.57M,966.28M,,2003-07,30.36M,150.51M,,-34.41M,297.97M,,2003-07,,
2003-04,19.57M,19.57M,134.57M,,134.57M,,,251.35M,251.35M,,27.40M,17.27M,450.17M,,,,,,,,325.69M,-185.90M,139.79M,,545.37M,545.37M,45.43M,33.35M,763.94M,1.214B,42.34M,42.34M,123.09M,165.43M,,,,,,,,,,,,165.43M,374.03M,,374.03M,,,254.49M,920.02M,,2003-04,30.35M,146.60M,,-34.28M,294.08M,,2003-04,,
2003-01,117.12M,117.12M,68.37M,,68.37M,,,230.97M,230.97M,,19.40M,15.26M,451.13M,0.00,1.139M,28.00M,299.40M,,,,328.54M,-185.90M,142.64M,,112.98M,112.98M,32.04M,32.92M,320.57M,771.70M,40.64M,40.64M,86.80M,127.44M,,,,,,,,,,,,127.44M,249.01M,,249.01M,,,,499.47M,,2003-01,27.81M,155.52M,,-34.37M,272.23M,,2003-01,,
2002-10,63.38M,63.38M,136.79M,,136.79M,,,,222.17M,,,32.30M,454.64M,,,,,,,,303.10M,-168.09M,135.01M,,112.98M,112.98M,,47.13M,295.11M,749.75M,41.72M,41.72M,87.08M,128.80M,,,,,,,,,,,,128.80M,248.99M,,248.99M,,,,461.56M,,2002-10,27.81M,149.80M,,-12.50M,288.20M,,2002-10,,
2002-07,80.28M,80.28M,92.79M,,92.79M,,,,230.08M,,19.66M,13.98M,436.79M,,,,,,,,301.33M,-168.09M,133.24M,,112.98M,112.98M,,52.60M,298.81M,735.60M,41.42M,41.42M,92.39M,133.81M,,,,,,,,,,,,133.81M,248.97M,,248.97M,,,,463.02M,,2002-07,27.81M,134.19M,,-12.50M,272.58M,,2002-07,,
2002-04,45.62M,45.62M,114.49M,,114.49M,,,,215.71M,,,35.05M,410.86M,,,,,,,,302.78M,-168.09M,134.69M,,112.98M,112.98M,,56.22M,303.89M,714.76M,31.67M,31.67M,91.22M,122.89M,,,,,,,,,,,,122.89M,248.95M,,248.95M,,,,451.02M,,2002-04,27.73M,126.34M,,-12.50M,263.73M,,2002-04,,
2002-01,43.58M,43.58M,81.55M,,81.55M,4.294M,3.104M,226.31M,233.70M,,,46.47M,405.30M,0.00,1.139M,25.39M,277.38M,,,,303.91M,-168.09M,135.82M,,112.98M,112.98M,,54.84M,303.63M,708.93M,29.38M,29.38M,84.98M,114.36M,,,,,,,,,,,,114.36M,248.94M,,248.94M,,,,443.21M,,2002-01,27.65M,129.25M,,-12.50M,265.73M,,2002-01,,
2001-10,0.593M,0.593M,146.33M,,146.33M,5.024M,6.779M,254.95M,266.76M,,,42.39M,456.06M,,,,,,,,284.80M,-154.85M,129.95M,,113.94M,113.94M,,43.68M,287.57M,743.63M,32.86M,32.86M,74.05M,106.91M,28.40M,,,,28.40M,,28.40M,,,,,135.31M,248.92M,,248.92M,,,,456.22M,,2001-10,27.64M,138.71M,,,287.41M,,2001-10,,
2001-07,1.555M,1.555M,102.16M,,102.16M,11.57M,11.39M,279.17M,302.12M,,,44.36M,450.20M,,,,,,,,283.26M,-154.85M,128.41M,,114.90M,114.90M,,49.14M,292.45M,742.65M,40.77M,40.77M,77.29M,118.06M,28.40M,,,,28.40M,,28.40M,,,,,146.46M,248.89M,,248.89M,,,,466.86M,,2001-07,27.64M,127.14M,,,275.79M,,2001-07,,
2001-04,1.736M,1.736M,138.02M,,138.02M,12.54M,11.04M,245.78M,269.36M,,,44.42M,453.54M,,,,,,,,124.75M,,124.75M,,115.88M,115.88M,,52.41M,293.04M,746.58M,37.82M,37.82M,80.76M,118.58M,39.70M,,,,39.70M,,39.70M,,,,,158.28M,248.87M,,248.87M,,,,478.06M,,2001-04,27.54M,121.21M,,,268.52M,,2001-04,,
2001-01,20.22M,20.22M,,,99.44M,,,,273.04M,,,43.68M,436.38M,,,,,,,,278.44M,-154.85M,123.60M,,113.22M,113.22M,,51.17M,287.98M,724.36M,45.72M,45.72M,,45.72M,,,,,,,,,,,92.38M,138.10M,248.85M,,248.85M,,,,455.80M,,2001-01,27.43M,122.70M,,,268.56M,,2001-01,,
2000-10,2.155M,2.155M,,,165.18M,,,,291.10M,,,43.40M,501.84M,,,,,,,,243.20M,-128.90M,114.30M,,95.66M,95.66M,,55.89M,265.85M,767.70M,38.72M,38.72M,,38.72M,,,,,40.00M,,40.00M,,,,110.38M,189.10M,248.83M,,248.83M,,,,505.48M,,2000-10,27.30M,117.16M,,,262.22M,,2000-10,,
2000-07,23.12M,23.12M,,,77.33M,,,,313.88M,,,45.07M,459.39M,,,,,,,,237.84M,-128.90M,108.94M,,96.44M,96.44M,,59.65M,265.04M,724.43M,38.72M,38.72M,,38.72M,,,,,30.00M,,30.00M,,,,102.68M,171.40M,248.82M,,248.82M,,,,480.67M,,2000-07,27.29M,98.75M,,,243.76M,,2000-07,,
2000-04,50.30M,50.30M,,,95.60M,,,,244.46M,,,41.19M,431.53M,,,,,,,,235.17M,-128.90M,106.27M,,83.09M,83.09M,,58.56M,247.92M,679.45M,37.19M,37.19M,,37.19M,,,,,,,,,,,96.02M,133.22M,248.80M,,248.80M,,,,441.72M,,2000-04,27.29M,92.74M,,,237.73M,,2000-04,,
2000-01,94.82M,94.82M,,,66.42M,,,,222.98M,,,41.75M,425.97M,,,,,,,,235.02M,-128.90M,106.12M,,83.58M,83.58M,,58.08M,247.78M,673.75M,39.86M,39.86M,,39.86M,,,,,,,,,,,84.72M,124.58M,248.78M,,248.78M,,,,432.06M,,2000-01,27.29M,96.70M,,,241.68M,,2000-01,,
1999-10,41.30M,41.30M,,,119.00M,,,,227.00M,,,30.10M,417.40M,,,,,,,,226.60M,-128.90M,97.70M,,84.20M,84.20M,,68.60M,250.50M,667.90M,27.60M,27.60M,,27.60M,,,,,,,,,,,90.00M,117.60M,248.80M,,248.80M,,,,428.80M,,1999-10,27.30M,94.10M,,,239.10M,,1999-10,,
1999-07,27.80M,27.80M,,,87.60M,,,,248.30M,,,28.60M,392.30M,,,,,,,,219.10M,-128.90M,90.20M,,84.70M,84.70M,,81.20M,256.10M,648.40M,26.00M,26.00M,,26.00M,,,,,,,,,,,86.40M,112.40M,248.80M,,248.80M,,,,423.60M,,1999-07,27.30M,79.80M,,,224.80M,,1999-07,,
1999-04,19.40M,19.40M,,,97.40M,,,,253.80M,,,28.10M,398.70M,,,,,,,,220.60M,-128.90M,91.70M,,85.30M,85.30M,,83.40M,260.40M,659.10M,29.00M,29.00M,,29.00M,,,,,,,,,,,92.90M,121.90M,248.70M,,248.70M,,,,436.90M,,1999-04,,77.20M,,,222.20M,,1999-04,,
1999-01,11.00M,11.00M,,,88.00M,,,,232.70M,,,36.30M,368.00M,,,,,,,,237.70M,-128.90M,108.80M,,113.30M,113.30M,,84.21M,306.31M,674.31M,44.90M,44.90M,,44.90M,,,,,20.00M,,20.00M,,,,67.80M,132.70M,248.70M,,248.70M,,,,445.41M,,1999-01,27.30M,83.90M,,,228.90M,,1999-01,,
1998-10,11.10M,11.10M,,,126.00M,,,,285.50M,,,40.80M,463.40M,,,,,,,,211.40M,-119.70M,91.70M,,114.10M,114.10M,,75.60M,281.40M,744.80M,30.90M,30.90M,,30.90M,,,,,84.10M,,84.10M,,,,85.40M,200.40M,248.70M,,248.70M,,,,516.90M,,1998-10,,83.30M,,,227.90M,,1998-10,,
1998-07,4.60M,4.60M,,,85.00M,,,,302.80M,,,42.30M,434.70M,,,,,,,,210.00M,-119.70M,90.30M,,114.90M,114.90M,,71.60M,276.80M,711.50M,36.70M,36.70M,,36.70M,,,,,63.60M,,63.60M,,,,77.90M,178.20M,249.40M,,249.40M,,,,496.90M,,1998-07,,70.30M,,,214.60M,,1998-07,,
