,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-03,,13.64M,,13.64M,,,62.16M,13.30M,,89.10M,,,,,,,5.501B,-735.75M,4.765B,25.00M,,,4.790B,4.944B,,25.65M,52.20M,77.85M,26.11M,103.96M,,,,,,,103.96M,2.120B,,2.120B,85.52M,23.75M,,,2.206B,2.620B,,0.755M,-25.53M,2.346B,0.04M,-8.584M,2.300B,,AOR,Restated
2003-12,,19.02M,,19.02M,,,42.89M,11.82M,,73.74M,,,,,,,5.431B,-694.58M,4.736B,19.74M,,,4.756B,4.910B,,26.91M,51.83M,78.74M,38.91M,117.65M,,,,,,,117.65M,2.338B,,2.338B,85.37M,24.75M,,,2.423B,2.573B,,0.749M,2.024M,2.323B,0.04M,-8.212M,2.311B,,AOR,
2003-09,,27.45M,,27.45M,,,48.19M,,,75.64M,,,,,,,5.437B,-656.06M,4.781B,19.97M,,,4.801B,4.966B,,30.08M,51.66M,81.74M,27.01M,108.75M,,,,,,,108.75M,2.288B,,2.288B,91.26M,31.02M,,,2.379B,2.684B,,0.747M,-38.82M,2.306B,0.04M,-9.905M,2.251B,,AOR,Restated
2003-06,,51.66M,,51.66M,,,26.22M,,,77.89M,,,,,,,5.388B,-631.23M,4.757B,13.71M,,,4.771B,4.935B,,27.52M,49.45M,76.97M,41.83M,118.80M,,,,,,,118.80M,2.402B,,2.402B,82.62M,38.44M,,,2.484B,2.795B,,0.715M,-44.22M,2.166B,0.04M,-12.15M,2.102B,,AOR,Restated
2003-03,,57.75M,,57.75M,,,32.16M,,,89.91M,,,,,,,5.404B,-596.88M,4.807B,14.17M,,,4.821B,5.004B,,29.29M,49.43M,78.73M,28.61M,107.34M,,,,,,,107.34M,2.381B,,2.381B,51.02M,76.44M,,,2.432B,2.776B,,0.747M,-70.99M,2.243B,0.073M,-11.89M,2.152B,,AOR,Restated
2002-12,,,,,,,,10.23M,,10.23M,,,,,,,4.785B,,4.785B,,,,4.785B,4.951B,,,,,,,,,,,,,,2.431B,,2.431B,,39.18M,,,2.431B,2.717B,,0.682M,-59.39M,2.274B,,,2.195B,,AOR,Restated
2002-09,,14.17M,,14.17M,,,38.36M,10.88M,,63.42M,,,,,,,5.304B,-545.52M,4.759B,14.82M,,,4.773B,4.920B,,38.86M,52.37M,91.23M,22.76M,113.99M,,,,,,,113.99M,2.143B,,2.143B,59.17M,74.18M,,,2.202B,2.622B,,0.767M,-55.52M,2.302B,0.073M,-13.90M,2.224B,,AOR,
2002-06,,22.10M,,22.10M,,,45.10M,12.61M,,79.81M,,,,,,,5.219B,-516.05M,4.703B,14.83M,,,4.718B,4.871B,,43.77M,52.37M,96.14M,38.70M,134.84M,,,,179.70M,179.70M,,314.54M,2.094B,,2.094B,46.60M,75.67M,,,2.140B,2.488B,,0.79M,-31.17M,2.359B,0.096M,-10.16M,2.308B,,AOR,
2002-03,,12.88M,,12.88M,,,42.58M,9.743M,,65.21M,,,,,,,4.961B,-480.97M,4.480B,14.67M,,,4.495B,4.639B,,45.44M,53.32M,98.76M,21.42M,120.18M,,,,,,,120.18M,2.059B,,2.059B,46.88M,71.80M,,,2.106B,2.256B,,0.786M,-16.10M,2.344B,0.096M,-7.063M,2.311B,,AOR,
2001-12,,,,,,,,,,,,,,,,,4.391B,,4.391B,,,,4.391B,4.664B,,,,,,,,,,,,,,2.083B,,2.083B,,55.19M,,,2.083B,2.295B,,0.687M,-3.497M,2.333B,,,2.315B,,AOR,Restated
2001-09,,279.60M,,279.60M,,,37.24M,,,316.84M,,,,,,,4.728B,-410.79M,4.317B,13.13M,,,4.330B,4.729B,,36.82M,50.81M,87.63M,21.86M,109.49M,,,,,,,109.49M,2.079B,,2.079B,61.28M,48.71M,,,2.141B,2.281B,,0.825M,-16.70M,2.436B,0.139M,-11.96M,2.400B,,AOR,
2001-06,,22.67M,,22.67M,,,38.05M,,,60.73M,,,,,,,4.715B,-378.62M,4.337B,13.04M,,,4.350B,4.491B,,29.75M,50.90M,80.65M,33.08M,113.73M,,,,,,,113.73M,1.772B,,1.772B,64.28M,49.12M,,,1.836B,2.098B,,0.818M,-52.55M,2.411B,0.139M,-6.516M,2.344B,,AOR,
2001-03,,65.34M,,65.34M,,,39.84M,,,105.19M,,,,,,,4.600B,-346.55M,4.253B,12.26M,,,4.265B,4.445B,,23.42M,53.20M,76.62M,20.66M,97.28M,,,,,,,97.28M,1.772B,,1.772B,52.18M,49.39M,,,1.824B,1.951B,,0.859M,-49.44M,2.510B,0.183M,-8.093M,2.444B,,AOR,
2000-12,,73.97M,,73.97M,,,39.70M,,,113.66M,,,,,,,4.516B,-316.04M,4.200B,12.22M,,,4.212B,4.397B,,52.83M,47.57M,100.40M,,100.40M,,,,,,,100.40M,1.730B,,1.730B,46.77M,49.50M,,,1.777B,1.905B,,0.855M,-47.84M,2.493B,0.183M,0.00,2.442B,,AOR,Restated
2000-09,,44.52M,,44.52M,,,43.30M,,,87.82M,,,,,,,4.474B,-306.76M,4.167B,8.45M,,,4.175B,4.330B,,20.64M,47.32M,67.96M,16.74M,84.70M,,,,146.00M,146.00M,,230.70M,1.543B,,1.543B,53.24M,55.29M,,,1.597B,1.856B,,0.85M,-54.55M,2.477B,0.183M,,2.419B,,AOR,
2000-06,,40.75M,,40.75M,,,26.98M,,,67.72M,,,,,,,4.403B,-276.16M,4.127B,10.77M,,,4.138B,4.270B,,19.90M,47.16M,67.06M,26.91M,93.97M,,,,,,,93.97M,1.408B,,1.408B,34.02M,39.07M,,,1.442B,1.834B,,0.847M,-65.72M,2.467B,0.183M,,2.397B,,AOR,
2000-03,,17.54M,,17.54M,,,26.79M,,,44.33M,,,,,,,4.309B,-245.01M,4.064B,10.77M,,,4.074B,4.180B,,17.14M,46.89M,64.03M,14.47M,78.50M,,,,205.00M,205.00M,,283.50M,1.414B,,1.414B,45.75M,35.50M,,,1.460B,1.769B,,0.843M,-69.22M,2.450B,0.183M,,2.376B,,AOR,
1999-12,,16.42M,,16.42M,,,26.23M,,,42.65M,,,,,,,4.248B,-206.96M,4.041B,8.101M,,,4.049B,4.155B,,47.01M,44.14M,91.15M,,91.15M,,,,178.60M,178.60M,,269.75M,1.415B,,1.415B,40.23M,35.38M,,,1.455B,1.749B,,0.841M,-69.51M,2.443B,0.183M,,2.370B,,AOR,Restated
1999-09,,,,,,,,,,,,,,,,,4.046B,,4.046B,,,,4.046B,4.216B,,,,,15.10M,15.10M,,,,247.00M,247.00M,,262.10M,1.427B,,1.427B,,36.40M,,,1.427B,1.834B,,0.70M,-110.80M,2.367B,,,2.346B,,,
1999-06,,,,,,,,,,,,,,,,,3.990B,,3.990B,,,,3.990B,4.135B,,,,,24.20M,24.20M,,,,316.50M,316.50M,,340.70M,1.279B,,1.279B,,31.50M,,,1.279B,1.768B,,,-112.30M,,,,2.335B,,,
1999-03,,,,,,,,,,,,,,,,,3.982B,,3.982B,,,,3.982B,4.134B,,,,,12.50M,12.50M,,,,323.00M,323.00M,,335.50M,1.280B,,1.280B,,31.60M,,,1.280B,1.778B,,,-103.20M,,,,2.324B,,,
1998-12,,17.34M,,17.34M,,,24.58M,,,41.92M,,,,,,,3.990B,-120.77M,3.869B,9.192M,,,3.878B,4.005B,,68.81M,43.32M,112.14M,,112.14M,,,,329.00M,329.00M,,441.14M,1.155B,,1.155B,42.35M,32.21M,,,1.198B,1.658B,,0.822M,-68.12M,2.386B,0.183M,,2.314B,,AOR,Restated
1998-09,,,,,,,,,,,,,,,,,3.820B,,3.820B,,,,3.820B,3.959B,,,,,11.90M,11.90M,,,,,,,11.90M,1.534B,,1.534B,,32.30M,,,1.534B,1.677B,,,-68.00M,,,,2.249B,,,
1998-06,,,,,,,,,,,,,,,,,3.656B,,3.656B,,,,3.656B,3.765B,,,,,12.60M,12.60M,,,,374.00M,374.00M,,386.60M,957.10M,,957.10M,,32.30M,,,957.10M,1.480B,,,-59.30M,,,,2.253B,,,
1998-03,,,,,,,,,,,,,,,,,1.418B,,1.418B,,,,1.418B,1.448B,,,,,,,,,,,,,,605.20M,,605.20M,,9.10M,,,605.20M,644.50M,,,-33.20M,,,,793.90M,,,
1997-12,,,,,,,,,,,,,,,,,1.294B,,1.294B,,,,1.294B,1.318B,,,,,,,,,,,,,,487.50M,,487.50M,,9.10M,,,487.50M,515.90M,,,-31.20M,,,,792.70M,,AOR,
1997-09,,,,,,,,,,,,,,,,,1.012B,,1.012B,,,,1.012B,1.048B,,,,,,,,,,,,,,336.60M,,336.60M,,9.30M,,,336.60M,366.00M,,,-29.60M,,,,672.40M,,,
1997-06,,,,,,,,,,,,,,,,,862.60M,,862.60M,,,,862.60M,880.70M,,,,,,,,,,,,,,278.00M,,278.00M,,3.20M,,,278.00M,301.40M,,,-27.40M,,,,576.10M,,,
1997-03,,,,,,,,,,,,,,,,,731.10M,,731.10M,,,,731.10M,749.20M,,,,,,,,,,,,,,264.70M,,264.70M,,6.10M,,,264.70M,282.40M,,,-25.40M,,,,460.70M,,,
1996-12,,0.92M,,0.92M,,,,,,0.92M,,,,,,,750.35M,-52.55M,697.79M,,,,697.79M,711.91M,,5.45M,8.939M,14.39M,,14.39M,,,,,,,14.39M,273.69M,,273.69M,,7.002M,,,273.69M,292.63M,,0.217M,-23.66M,435.72M,0.027M,,412.28M,,AOR,
1996-09,,,,,,,,,,,,,,,,,684.50M,,684.50M,,,,684.50M,698.20M,,,,,,,,,,,,,,257.70M,,257.70M,,7.10M,,,257.70M,277.30M,,,-21.70M,,,,413.80M,,,
1996-06,,,,,,,,,,,,,,,,,560.10M,,560.10M,,,,560.10M,571.60M,,,,,,,,,,,,,,275.50M,,275.50M,,,,,275.50M,289.40M,,,-18.90M,,,,282.20M,,,
1996-03,,,,,,,,,,,,,,,,,467.00M,,467.00M,,,,467.00M,481.60M,,,,,,,,,,,,,,233.90M,,233.90M,,,,,233.90M,246.20M,,,-16.10M,,,,235.40M,,,
1995-12,,,,,,,,,,,,,,,,,463.70M,,463.70M,,,,463.70M,477.20M,,,,,,,,,,,,,,227.80M,,227.80M,,,,,227.80M,239.60M,,,-13.70M,,,,237.60M,,,
1995-09,,,,,,,,,,,,,,,,,402.60M,,402.60M,,,,402.60M,417.30M,,,,,,,,,,,,,,213.60M,,213.60M,,,,,213.60M,225.60M,,,-11.30M,,,,191.70M,,,
1995-06,,,,,,,,,,,,,,,,,396.60M,,396.60M,,,,396.60M,409.70M,,,,,,,,,,,,,,206.60M,,206.60M,,,,,206.60M,215.60M,,,-8.90M,,,,194.10M,,,
1995-03,,,,,,,,,,,,,,,,,394.80M,,394.80M,,,,394.80M,406.80M,,,,,,,,,,,,,,202.00M,,202.00M,,,,,202.00M,212.60M,,,-8.80M,,,,194.20M,,,
1994-12,,,,,,,,,,,,,,,,,375.80M,,375.80M,,,,375.80M,390.00M,,,,,,,,,,,,,,181.70M,,181.70M,,,,,181.70M,193.30M,,,-6.40M,,,,196.70M,,,
1994-09,,,,,,,,,,,,,,,,,348.80M,,348.80M,,,,348.80M,368.40M,,,,,,,,,,,,,,157.20M,,157.20M,,-0.80M,,,157.20M,171.00M,,,-4.40M,,,,198.20M,,,
1994-06,,,,,,,,,,,,,,,,,327.70M,,327.70M,,,,327.70M,349.70M,,,,,,,,,,,,,,139.20M,,139.20M,,-0.80M,,,139.20M,150.20M,,,-2.30M,,,,200.30M,,,
1994-03,,,,,,,,,,,,,,,,,283.10M,,283.10M,,,,283.10M,312.30M,,,,,,,,,,,,,,104.60M,,104.60M,,-0.80M,,,104.60M,110.10M,,,0.40M,,,,203.00M,,,
