,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,157.41M,157.41M,,,,4.486M,38.95M,,,,,61.22M,104.66M,52.76M,,,,,,,19.90M,15.14M,0.00,-0.408M,2.175M,35.03M,19.90M,94.20M,41.44M,52.76M,,0.25,0.21,0.00,,0.25,0.46,,0.25,0.21,0.00,,0.25,0.46,,71.43M,71.43M,0.70,,AOR,Restated
2004-03,153.43M,153.43M,,,,4.713M,38.57M,,,,,59.87M,103.15M,50.28M,,,,,,,18.12M,2.606M,4.547M,0.157M,2.175M,25.28M,18.12M,91.04M,40.76M,50.28M,,0.29,0.04,0.00,,0.29,0.33,,0.28,0.04,0.0630,,0.28,0.32,,70.01M,72.19M,0.70,,AOR,Restated
2003-12,163.48M,162.33M,,,3.098M,3.098M,40.55M,,-104.96M,,,302.45M,241.14M,-78.81M,,,,,,,22.99M,77.29M,0.00,-0.245M,2.175M,100.28M,22.99M,-38.26M,40.49M,-78.81M,,0.30,1.10,0.00,,0.30,1.40,,0.30,1.08,0.00,,0.30,1.38,,71.17M,71.99M,0.70,,AOR,
2003-09,176.02M,151.18M,,,3.382M,3.382M,37.32M,,-101.39M,,,161.66M,100.97M,50.21M,,,,,,,41.06M,16.33M,0.00,-0.302M,2.175M,57.39M,41.06M,89.46M,39.24M,50.21M,,0.56,0.24,0.00,,0.56,0.80,,0.56,0.23,0.00,,0.56,0.79,,69.02M,69.89M,0.70,,AOR,Restated
2003-06,149.35M,149.35M,,,,3.623M,37.05M,,,,,56.51M,97.19M,52.16M,,,,,,,18.95M,57.52M,0.00,-0.234M,2.706M,76.47M,18.95M,91.27M,39.11M,52.16M,,0.24,0.86,0.00,,0.24,1.10,,0.24,0.84,0.00,,0.24,1.08,,67.06M,68.30M,0.70,,AOR,Restated
2003-03,148.00M,148.00M,,,,3.631M,36.67M,,,,,56.24M,96.54M,51.47M,,,,,,,18.32M,19.06M,0.00,-0.22M,3.688M,37.39M,18.32M,90.60M,39.13M,51.47M,,0.22,0.28,0.00,,0.22,0.50,,0.21,0.28,0.00,,0.21,0.49,,67.40M,68.78M,0.70,,AOR,Restated
2002-12,149.61M,89.79M,,,3.44M,3.44M,,,-95.98M,,,,-92.54M,182.32M,,,,,,,13.22M,53.62M,,0.563M,3.809M,72.25M,13.22M,222.82M,40.50M,182.32M,,-0.21,1.13,,,-0.21,0.92,,-0.21,1.11,,,-0.21,0.91,,68.79M,68.79M,0.70,,AOR,Restated
2002-09,148.72M,148.72M,,,2.966M,2.966M,,,-93.41M,,,,-90.45M,239.17M,,,,,,,23.45M,5.261M,,0.473M,4.026M,24.97M,23.45M,279.86M,40.69M,239.17M,,0.34,0.02,,-0.0541,0.34,0.36,,0.33,0.02,,-0.0541,0.33,0.35,,69.15M,71.05M,0.70,,AOR,
2002-06,162.06M,160.78M,,,3.483M,3.483M,35.04M,,-95.48M,,,152.43M,95.48M,65.31M,,,,,,,32.32M,,0.00,-0.686M,5.031M,37.35M,37.35M,101.68M,36.38M,65.31M,,0.47,0.00,0.00,,0.47,0.47,,0.46,0.00,0.00,,0.46,0.46,,68.76M,70.25M,0.70,,AOR,
2002-03,161.80M,160.10M,,,3.694M,3.694M,33.93M,,-93.09M,,,148.55M,93.09M,67.02M,,,,,,,35.69M,,0.00,-0.452M,5.031M,40.72M,40.72M,101.94M,34.92M,67.02M,,0.52,0.00,0.00,,0.52,0.52,,0.51,0.00,0.00,,0.51,0.51,,68.63M,69.98M,0.70,,AOR,
2001-12,128.93M,-1.607M,,,3.736M,3.736M,,,-61.60M,,,,552.06M,-553.66M,,,18.85M,,,,12.57M,49.64M,,-1.47M,13.26M,62.21M,1.261M,-516.55M,37.11M,-553.66M,,-0.95,1.66,,,-1.115,0.71,,-0.95,1.62,,,-1.115,0.70,,68.42M,68.42M,0.64,,AOR,Restated
2001-09,202.52M,202.52M,,,3.421M,3.421M,,,-89.99M,,,,-86.57M,289.09M,,,39.10M,,,,85.80M,0.872M,,0.034M,7.439M,86.67M,62.34M,324.82M,35.74M,289.09M,,1.15,0.01,,,0.8055,1.16,,1.13,0.01,,,0.7954,1.14,,68.10M,70.12M,0.64,,AOR,
2001-06,163.82M,162.36M,,,3.743M,3.743M,32.16M,,-89.82M,,,143.57M,89.65M,72.71M,,,,,,,39.13M,,,-0.164M,9.387M,48.52M,48.52M,105.70M,32.99M,72.71M,,0.58,0.00,,,0.58,0.58,,0.57,0.00,,,0.57,0.57,,67.47M,68.65M,0.64,,AOR,
2001-03,162.58M,155.76M,,,3.805M,3.805M,31.13M,,-87.53M,,,140.13M,87.53M,68.22M,,,4.901M,,,,41.65M,,,0.325M,9.945M,51.60M,48.66M,99.79M,31.56M,68.22M,,0.62,0.00,,,0.5762,0.62,,0.61,0.00,,,0.5669,0.61,,67.18M,68.29M,0.64,,AOR,
2000-12,154.00M,113.36M,,,,3.422M,,,-80.58M,,,,556.05M,-442.69M,,,7.506M,,,,13.50M,,,-3.407M,9.945M,54.28M,8.998M,-412.45M,30.24M,-442.69M,,0.67,0.00,,,0.6023,0.67,,0.65,0.00,,,0.5823,0.65,,66.52M,66.52M,0.56,,AOR,Restated
2000-09,162.87M,162.87M,,,3.359M,3.359M,,,-82.51M,,,,-79.15M,242.02M,,,14.52M,,,,58.49M,,,0.485M,9.944M,58.49M,49.78M,273.91M,31.89M,242.02M,,0.73,0.00,,,0.5990,0.73,,0.71,0.00,,,0.5830,0.71,,66.49M,68.62M,0.56,,AOR,
2000-06,152.45M,152.45M,,,3.285M,3.285M,,,-80.96M,,,,-77.67M,230.12M,,,10.84M,,,,50.66M,,,0.475M,9.945M,50.66M,44.15M,263.35M,33.23M,230.12M,,0.62,0.00,,,0.5216,0.62,,0.61,0.00,,,0.5142,0.61,,66.10M,67.89M,0.56,,AOR,
2000-03,135.09M,135.09M,,,2.947M,2.947M,29.42M,,,,,44.57M,76.93M,58.15M,,,,,,,37.23M,,,-0.539M,9.945M,47.17M,47.17M,88.82M,30.67M,58.15M,,0.56,0.00,,,0.56,0.56,,0.55,0.00,,,0.55,0.55,,66.48M,67.69M,0.56,,AOR,
1999-12,170.80M,113.48M,,,,2.492M,,-0.182M,-75.77M,,,,512.27M,-398.79M,,,34.61M,,,,74.28M,,,-3.475M,9.979M,74.28M,53.51M,-368.97M,29.82M,-398.79M,,1.01,0.00,,,0.6740,1.01,,0.99,0.00,,,0.6673,0.99,,61.80M,64.35M,0.52,,AOR,Restated
1999-09,140.90M,140.90M,,,2.30M,2.30M,,-0.10M,-76.60M,,,,-74.30M,215.20M,,,6.90M,,,,44.10M,,,0.50M,9.90M,44.10M,39.96M,244.50M,29.30M,215.20M,,0.52,0.00,,,0.4571,0.52,,0.52,0.00,,,0.4571,0.52,,65.77M,65.77M,0.52,,,
1999-06,154.30M,154.30M,,,2.40M,2.40M,,-0.10M,-72.00M,,,,-69.60M,223.90M,,,28.50M,,,,62.92M,,,0.50M,9.90M,62.92M,45.82M,250.80M,26.90M,223.90M,,0.81,0.00,,,0.5448,0.81,,0.80,0.00,,,0.5404,0.80,,64.48M,65.87M,0.51,,,
1999-03,121.30M,121.30M,,,2.40M,2.40M,,-16.50M,-73.00M,,,,-70.60M,191.90M,,,-16.50M,,,,14.90M,,,0.40M,9.90M,14.90M,24.80M,219.60M,27.70M,191.90M,,0.15,0.00,,,0.3044,0.15,,0.15,0.00,,,0.3044,0.15,,64.11M,64.11M,0.51,,,
1998-12,166.60M,135.20M,,,,3.624M,,,-85.70M,,,,354.02M,-218.82M,,,,,,,61.08M,,,-2.67M,11.83M,60.84M,61.28M,-186.89M,31.93M,-218.82M,,0.7675,,,,0.7675,0.7675,,0.7675,0.00,,,0.7675,0.7675,,63.84M,72.25M,0.51,,AOR,Restated
1998-09,119.90M,119.90M,,,2.60M,2.60M,,,-69.60M,,,,-67.00M,186.90M,,,,,,,31.50M,,,0.50M,7.80M,31.50M,31.50M,211.10M,24.20M,186.90M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,64.05M,64.05M,0.51,,,
1998-06,70.80M,70.80M,,,1.80M,1.80M,,,-41.10M,,,,-39.30M,110.10M,,,,,,,18.20M,,,0.30M,4.50M,18.20M,18.20M,124.70M,14.60M,110.10M,,0.35,0.00,,,0.35,0.35,,0.34,0.00,,,0.34,0.34,,26.47M,26.47M,0.51,,,
1998-03,45.40M,45.40M,,,1.20M,1.20M,,,-26.00M,,,,-24.80M,70.20M,,,,,,,13.00M,,,0.20M,4.00M,13.00M,13.00M,80.10M,9.90M,70.20M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,26.47M,26.47M,0.42,,,
1997-12,90.00M,90.00M,,,,,,,-44.80M,,,,-49.40M,139.40M,,,,,,,39.20M,,,-0.50M,14.90M,38.00M,39.20M,151.40M,12.00M,139.40M,,0.8858,,,,0.8858,0.8858,,0.8858,,,,0.8858,0.8858,,26.08M,26.08M,0.42,,AOR,
1997-09,32.70M,32.70M,,,1.70M,1.70M,,,-18.80M,,,,-17.10M,49.80M,,,,,,,10.60M,,,0.10M,2.40M,10.60M,10.60M,56.80M,7.00M,49.80M,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,22.78M,22.78M,0.42,,,
1997-06,29.80M,29.80M,,,1.50M,1.50M,,,-17.40M,,,,-15.90M,45.70M,,,,,,,8.50M,,,0.10M,1.30M,8.50M,8.50M,52.10M,6.40M,45.70M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,21.82M,21.82M,0.41,,,
1997-03,26.30M,26.30M,,,1.40M,1.40M,,,-15.00M,,,,-13.60M,39.90M,,,,,,,7.80M,,,0.10M,1.10M,7.80M,7.80M,45.60M,5.70M,39.90M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,20.30M,20.30M,0.41,,,
1996-12,24.70M,24.69M,,,1.195M,1.195M,,,-14.00M,,,,93.14M,-68.44M,,,,,,,7.356M,,,-0.519M,,7.026M,7.537M,-63.06M,5.389M,-68.44M,,0.37,0.00,,-0.0054,0.37,0.32,,0.37,0.00,,-0.0054,0.37,0.32,,19.01M,19.01M,0.41,,AOR,
1996-09,23.10M,23.10M,,,1.00M,1.00M,,,-13.40M,,,,-12.40M,35.50M,,,,,,,5.80M,,,0.10M,,5.80M,5.80M,40.60M,5.10M,35.50M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,18.71M,18.71M,0.40,,,
1996-06,18.40M,18.40M,,,0.90M,0.90M,,,-10.70M,,,,-9.80M,28.20M,,,,,,,4.10M,,,,,3.60M,4.10M,32.40M,4.20M,28.20M,,0.24,0.04,,-0.0389,0.24,0.28,,0.24,0.04,,-0.0389,0.24,0.28,,12.86M,12.86M,0.40,,,
1996-03,16.50M,16.50M,,,0.90M,0.90M,,,-9.80M,,,,-8.90M,25.40M,,,,,,,3.20M,,,,,3.20M,3.20M,29.40M,4.00M,25.40M,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,11.56M,11.56M,0.40,,,
1995-12,15.20M,15.20M,,,0.70M,0.70M,,,-9.20M,,,,-8.50M,23.70M,,,,,,,3.10M,,,,,3.10M,3.10M,27.50M,3.80M,23.70M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,16.03M,16.03M,0.39,,,
1995-09,13.60M,13.60M,,,0.70M,0.70M,,,-8.50M,,,,-7.80M,21.40M,,,,,,,2.10M,,,,,2.10M,2.10M,24.70M,3.30M,21.40M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,11.67M,11.67M,0.39,,,
1995-06,15.30M,15.30M,,,0.60M,0.60M,,,-7.80M,,,,-7.20M,22.50M,,,,,,,4.40M,,,,,4.40M,4.40M,25.80M,3.30M,22.50M,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,11.58M,11.58M,0.39,,,
1995-03,11.90M,11.90M,,,0.50M,0.50M,,,-7.50M,,,,-7.00M,18.90M,,,,,,,1.90M,,,,,1.90M,1.90M,22.20M,3.30M,18.90M,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,11.18M,11.18M,0.38,,,
1994-12,11.00M,11.00M,,,0.50M,0.50M,,,-8.60M,,,,-8.10M,19.10M,,,,,,,2.40M,,,,,2.40M,2.40M,21.80M,2.70M,19.10M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,11.38M,11.38M,0.38,,,
1994-09,10.50M,10.50M,,,0.60M,0.60M,,,-5.70M,,,,-5.10M,15.60M,,,,,3.20M,0.90M,2.30M,,,,,2.30M,2.30M,18.40M,2.80M,15.60M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,11.50M,11.50M,0.38,,,
1994-06,9.00M,9.00M,,,0.50M,0.50M,,,-4.70M,,,,-4.20M,13.20M,,,,,3.20M,0.80M,2.40M,,,,,2.40M,2.40M,15.70M,2.50M,13.20M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,11.43M,11.43M,0.44,,,
1994-03,1.50M,1.50M,,,0.10M,0.10M,,,-0.80M,,,,-0.70M,2.20M,,,,,0.50M,0.10M,0.40M,,,,,0.40M,0.40M,2.60M,0.40M,2.20M,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,13.33M,13.33M,,,,
