,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,3.460B,3.460B,2.256B,1.204B,,,588.90M,,,-35.40M,,,,35.40M,624.30M,579.30M,,,,-9.40M,,541.10M,157.50M,397.70M,,,-11.90M,397.70M,422.80M,761.20M,181.90M,579.30M,0.78,0.0,,,0.8292,0.78,0.78,0.0,,,0.8292,0.78,509.87M,509.87M,0.34
2002-12,3.005B,3.005B,2.007B,998.40M,,,519.20M,,,-44.90M,,,,44.90M,564.10M,434.30M,,,,-13.60M,,394.20M,105.20M,311.00M,,0.00,-9.30M,369.60M,343.92M,620.40M,186.10M,434.30M,0.61,0.13,0.0,,0.6741,0.72,0.61,0.13,-0.0,,0.674,0.72,513.84M,514.25M,0.3
2002-09,3.487B,3.487B,2.246B,1.240B,,,579.10M,,,-16.30M,,,,16.30M,595.40M,644.80M,,,,11.80M,,603.30M,176.40M,441.20M,,,-13.80M,441.20M,452.73M,822.00M,177.20M,644.80M,0.85,0.0,,,0.8722,0.85,0.85,0.0,,,0.8722,0.85,519.06M,519.06M,0.3
2002-06,3.409B,3.409B,2.166B,1.243B,,,587.30M,,,-31.20M,,,,31.20M,618.50M,624.30M,,,,-9.70M,,582.70M,163.20M,424.60M,,,-16.40M,424.60M,447.06M,794.50M,170.20M,624.30M,0.82,0.0,,,0.8634,0.82,0.81,0.0,,,0.8528,0.81,517.80M,524.20M,0.3
2002-03,3.331B,3.331B,2.118B,1.212B,,,566.20M,,,18.70M,,,,-18.70M,547.50M,664.90M,,,,51.10M,,621.90M,185.10M,450.60M,,-11.40M,-18.60M,439.20M,437.47M,835.80M,170.90M,664.90M,0.87,-0.03,0.0,,0.8448,0.84,0.86,-0.03,-0.0219,,0.8349,0.84,520.30M,523.70M,0.3
2001-12,3.345B,3.345B,2.198B,1.147B,,,581.20M,,22.40M,-56.10M,,,,56.10M,659.70M,487.40M,,,,-24.00M,,446.20M,132.80M,341.70M,,,-3.80M,341.70M,381.10M,684.60M,197.20M,487.40M,0.58,0.07,,,0.6552,0.65,0.58,0.07,,,0.6549,0.65,524.09M,526.42M,0.28
2001-09,3.374B,3.374B,2.163B,1.211B,,,541.80M,,22.70M,-17.40M,,,,17.40M,581.90M,629.10M,,,,12.80M,,586.70M,173.70M,419.40M,,,-23.80M,419.40M,431.65M,812.40M,183.30M,629.10M,0.79,0.0,,,0.8132,0.79,0.79,0.0,,,0.813,0.79,529.00M,532.20M,0.28
2001-06,3.534B,3.534B,2.104B,1.430B,552.50M,183.70M,736.20M,73.20M,22.50M,-8.00M,,,,8.00M,839.90M,590.60M,,,,44.60M,,546.20M,164.30M,415.40M,,,-19.10M,415.40M,420.99M,772.40M,181.80M,590.60M,0.78,0.0,,,0.7905,0.78,0.78,0.0,,,0.7905,0.78,532.56M,532.56M,0.28
2001-03,3.608B,3.608B,2.151B,1.457B,555.10M,178.50M,733.60M,68.70M,21.80M,-2.20M,,,,2.20M,826.30M,631.10M,,,,37.30M,,585.30M,174.90M,433.40M,,,-16.50M,433.40M,434.94M,808.40M,177.30M,631.10M,0.81,0.0,,,0.8129,0.81,0.81,0.0,,,0.8129,0.81,535.06M,535.06M,0.28
2000-12,3.601B,3.601B,1.97B,1.631B,,,722.90M,80.40M,,61.00M,,,,,971.80M,659.00M,,,,61.00M,,648.10M,192.40M,455.70M,,,-16.90M,455.70M,412.81M,827.50M,168.50M,659.00M,0.86,0.0,,,0.779,0.86,0.85,0.0,,,0.77,0.85,529.51M,535.83M,0.27
2000-09,3.530B,3.530B,1.954B,1.576B,,,689.20M,67.40M,,41.30M,,,,,922.40M,653.20M,,,,41.30M,,621.40M,181.00M,440.40M,,,-18.70M,440.40M,411.13M,819.00M,165.80M,653.20M,0.82,0.0,,,0.7655,0.82,0.81,0.0,,,0.7562,0.81,537.07M,543.70M,0.27
2000-06,3.464B,3.464B,1.885B,1.579B,,,717.40M,68.40M,,53.50M,,,,,953.50M,625.90M,,,,53.50M,,617.20M,182.90M,434.30M,,,-15.40M,434.30M,396.65M,793.60M,167.70M,625.90M,0.8,0.0,,,0.7307,0.8,0.79,0.0,,,0.7215,0.79,542.88M,549.75M,0.27
2000-03,3.387B,3.387B,1.828B,1.559B,,,735.30M,61.20M,,134.80M,,,,,967.90M,591.50M,,,,134.80M,,672.40M,202.20M,470.20M,,,-12.30M,470.20M,375.94M,762.90M,171.40M,591.50M,0.86,0.0,,,0.6876,0.86,0.86,0.0,,,0.6876,0.86,546.74M,546.74M,0.27
1999-12,3.426B,3.426B,1.868B,1.557B,,,728.70M,70.60M,,63.30M,,,,,961.60M,595.50M,,,,63.30M,,604.60M,180.60M,424.00M,,,-14.50M,424.00M,379.61M,757.80M,162.30M,595.50M,0.78,0.0,,,0.6984,0.78,0.78,0.0,,,0.6988,0.78,543.77M,546.85M,0.26
1999-09,3.308B,3.308B,1.809B,1.499B,,,734.80M,62.20M,,223.50M,,,,,960.60M,538.30M,,,,223.50M,,701.00M,222.60M,478.40M,,,-13.70M,478.40M,325.87M,701.90M,163.60M,538.30M,0.9,0.0,,,0.614,0.9,0.89,0.0,,,0.6062,0.89,533.30M,537.40M,0.26
1999-06,3.149B,3.149B,1.696B,1.452B,,,684.40M,62.20M,,76.00M,,,,,912.10M,540.20M,,,,76.00M,,556.90M,165.80M,391.10M,,,-9.90M,391.10M,337.73M,705.70M,165.50M,540.20M,0.73,0.0,,,0.6297,0.73,0.73,0.0,,,0.6305,0.73,532.30M,536.30M,0.26
1999-03,3.125B,3.125B,1.704B,1.422B,,,655.90M,54.80M,,65.00M,,,,,847.30M,574.30M,,,,65.00M,,580.80M,177.10M,403.70M,,,-5.00M,403.70M,358.52M,710.90M,136.60M,574.30M,0.75,0.0,,,0.6661,0.75,0.75,0.0,,,0.6661,0.75,538.27M,538.27M,0.26
1998-12,3.108B,3.108B,1.839B,1.269B,,,612.30M,62.90M,,-16.90M,,,,,839.50M,429.40M,,,,-16.90M,,356.60M,117.30M,239.30M,,,-5.00M,228.10M,250.64M,593.70M,164.30M,429.40M,0.33,-0.02,,,0.347,0.31,0.32,-0.02,,,0.3367,0.3,667.04M,678.76M,0.25
1998-09,3.100B,3.100B,1.766B,1.334B,,,728.60M,54.20M,,164.30M,,,,,912.70M,421.00M,,,,164.30M,,528.00M,188.00M,340.00M,,,-6.60M,340.00M,234.20M,550.90M,55.00M,421.00M,0.62,0.0,,,0.4271,0.62,0.62,0.0,,,0.4271,0.62,548.39M,548.39M,0.25
1998-06,3.041B,3.041B,1.800B,1.242B,,,661.30M,54.80M,,38.20M,,,,,840.80M,401.00M,,,,38.20M,,384.20M,121.30M,262.90M,,,-6.10M,262.90M,236.76M,600.60M,199.60M,401.00M,0.47,0.0,,,0.4233,0.47,0.47,0.0,,,0.4233,0.47,559.36M,559.36M,0.25
