,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-12,408.90M,,,4.90M,,,194.60M,194.60M,-84.80M,,,,,9.50M,9.50M,,589.40M,-219.70M,,-212.10M,-0.20M,8.70M,64.80M,-138.80M,,,-147.20M,10.70M,-188.80M,-178.10M,,,,-171.90M,,25.90M,-471.30M,305.00M,-20.70M,6.30M,290.60M,10.70M,,,-188.80M
2003-09,419.70M,,,149.50M,,,180.00M,180.00M,44.70M,,,-53.60M,,69.40M,69.40M,,809.70M,-251.10M,,-251.10M,-213.10M,3.80M,-61.10M,-521.50M,,,-74.10M,2.90M,-106.20M,-103.30M,,,,-172.50M,,-16.90M,-366.80M,376.80M,-78.60M,6.80M,305.00M,2.90M,,,-106.20M
2003-06,417.30M,,,30.70M,,,188.80M,188.80M,-63.70M,,,44.60M,,71.00M,71.00M,,688.70M,-219.60M,,-219.60M,-7.90M,-2.90M,-60.10M,-290.50M,,,-93.00M,5.90M,-122.70M,-116.80M,,,,-173.50M,,-11.10M,-394.40M,363.80M,3.80M,9.20M,376.80M,5.90M,,,-122.70M
2003-03,397.70M,,,-89.20M,,,181.90M,181.90M,53.00M,,,9.00M,,-31.70M,-31.70M,,520.70M,-182.50M,,-182.50M,-37.30M,9.00M,-98.50M,-309.30M,,,-50.70M,11.50M,-129.00M,-117.50M,,,,-154.00M,,-16.20M,-338.40M,494.50M,-127.00M,-3.70M,363.80M,11.50M,,,-129.00M
2002-12,322.40M,,,-92.80M,,,186.10M,186.10M,91.40M,,,,,-40.50M,-40.50M,,542.50M,-257.90M,,-253.10M,-3.10M,3.20M,-51.90M,-304.90M,,,143.40M,6.50M,-200.50M,-194.00M,,,,-154.80M,,-0.90M,-206.30M,534.80M,31.30M,14.70M,494.50M,6.50M,,,-200.50M
2002-09,441.20M,,,118.30M,,,177.20M,177.20M,19.90M,,,-97.90M,,-101.70M,-101.70M,,557.00M,-221.40M,,-221.40M,-2.60M,6.50M,0.20M,-217.30M,,,66.40M,8.90M,-148.60M,-139.70M,,,,-155.40M,,-2.20M,-230.90M,380.40M,108.80M,,534.80M,8.90M,,,-148.60M
2002-06,424.60M,,,-18.40M,,,170.20M,170.20M,77.70M,,,38.50M,,104.20M,104.20M,,796.80M,-216.20M,,-216.20M,-397.10M,22.20M,33.30M,-557.80M,,,96.70M,26.30M,-164.90M,-138.60M,,,,-156.00M,,-16.80M,-214.70M,308.30M,24.30M,7.10M,380.40M,26.30M,,,-164.90M
2002-03,439.20M,,,11.40M,,,170.90M,170.90M,,,,59.40M,,-159.80M,-159.80M,,521.10M,-165.80M,,-165.80M,-8.00M,4.00M,-37.50M,-207.30M,,,-61.90M,27.20M,-166.70M,-139.50M,,,,-146.50M,,-15.00M,-362.90M,364.50M,-49.10M,-7.10M,308.30M,27.20M,,,-166.70M
2001-12,341.70M,,,95.70M,174.80M,22.40M,197.20M,197.20M,18.50M,,,25.80M,,142.50M,-90.10M,,588.80M,-299.70M,,-299.70M,-37.40M,7.40M,13.80M,-315.90M,,,279.80M,14.30M,-343.80M,-329.50M,,,,-147.90M,,-2.90M,-200.50M,450.80M,72.40M,,364.50M,14.30M,,,-343.80M
2001-09,419.40M,,,30.40M,160.60M,22.70M,183.30M,183.30M,21.20M,,,-26.00M,,38.50M,38.50M,,666.80M,-252.10M,-7.40M,-259.50M,-35.90M,-8.90M,-5.90M,-310.20M,,,68.20M,7.30M,-251.90M,-244.60M,,,,-148.70M,,-16.00M,-341.10M,320.90M,15.50M,,450.80M,7.30M,,,-251.90M
2001-06,415.40M,,,,159.30M,22.50M,181.80M,181.80M,,,,31.50M,,-88.10M,-88.10M,,540.60M,-289.00M,5.50M,-283.50M,-21.90M,2.30M,-11.30M,-314.40M,,,112.70M,526.20M,-151.20M,375.00M,,,,-149.30M,,-521.20M,-182.80M,277.50M,43.40M,,320.90M,526.20M,,,-151.20M
2001-03,433.40M,,,,155.50M,21.80M,177.30M,177.30M,,,,-5.50M,,-147.60M,-147.60M,,457.60M,-258.70M,1.90M,-256.80M,-39.80M,12.60M,-23.00M,-307.00M,,,-374.40M,70.20M,-144.60M,-74.40M,,,,-144.20M,,513.40M,-79.60M,206.50M,71.00M,,277.50M,70.20M,,,-144.60M
2000-12,455.70M,,,31.40M,,,168.50M,168.50M,,,,-109.40M,,-15.20M,-15.20M,,615.10M,-399.70M,34.10M,-365.60M,-125.20M,14.20M,-4.90M,-481.50M,,,51.40M,44.70M,-103.20M,-58.50M,,,,-144.70M,,1.60M,-150.20M,223.10M,-16.60M,,206.50M,44.70M,,,-103.20M
2000-09,440.40M,,,-8.60M,,,165.80M,165.80M,,,,-6.60M,,-148.10M,-148.10M,,442.90M,-275.40M,0.80M,-274.60M,-9.30M,0.60M,0.00,-283.30M,,,285.60M,11.20M,-319.40M,-308.20M,,,,-146.20M,,9.40M,-159.40M,222.90M,0.20M,,223.10M,11.20M,,,-319.40M
2000-06,434.30M,,,18.80M,,,167.70M,167.70M,,,,-15.40M,,-112.40M,-112.40M,,493.00M,-259.70M,8.60M,-251.10M,-167.30M,6.00M,213.70M,-198.70M,,,221.70M,24.30M,-380.70M,-356.40M,,,,-148.20M,,-1.40M,-284.30M,-4.80M,10.00M,,222.90M,24.30M,,,-380.70M
2000-03,470.20M,,,-18.80M,,,171.40M,171.40M,,,,22.00M,,-62.60M,-62.60M,,582.20M,-235.50M,1.00M,-234.50M,7.30M,32.30M,-26.50M,-221.40M,,,54.70M,10.10M,-387.40M,-377.30M,,,,-141.00M,,-7.10M,-470.70M,105.10M,-109.90M,,-4.80M,10.10M,,,-387.40M
1999-12,424.00M,,,-47.30M,,,162.30M,162.30M,,,,-59.20M,,24.60M,24.60M,,630.60M,-254.50M,19.20M,-235.30M,,,395.20M,159.90M,,,-193.40M,18.20M,-343.60M,-325.40M,,,,-138.20M,,-5.00M,-662.00M,194.30M,128.50M,,322.80M,18.20M,,,-343.60M
1999-09,478.40M,,,-137.10M,,,163.60M,163.60M,,,,8.00M,,52.30M,52.30M,,565.20M,-443.90M,66.20M,-377.70M,351.40M,,-0.50M,-26.80M,,,-316.60M,5.60M,-75.90M,-70.30M,,,,-138.50M,,6.80M,-518.60M,174.50M,19.80M,,194.30M,5.60M,,,-75.90M
1999-06,362.00M,,,29.80M,,,165.50M,165.50M,,,,92.90M,,-144.00M,-144.00M,,506.20M,-191.30M,11.30M,-180.00M,-351.40M,,29.30M,-502.10M,,,190.30M,31.00M,-19.60M,11.40M,,,,-139.10M,,2.70M,65.30M,0.00,69.40M,,174.50M,31.00M,,,-19.60M
1999-03,403.70M,,,-29.80M,,,136.60M,136.60M,,,,-78.20M,,,,,432.30M,-168.60M,18.50M,-150.10M,,,-57.70M,-207.80M,,,197.70M,6.00M,-339.90M,-333.90M,,,,-135.50M,,8.30M,-263.40M,144.00M,-38.90M,,0.00,6.00M,,,-339.90M
1998-12,239.30M,,,153.60M,,,164.30M,164.30M,-16.00M,,,6.80M,,,,,611.60M,-208.40M,42.00M,-166.40M,,,5.70M,-160.70M,,,-44.20M,12.20M,-213.40M,-201.20M,,,,-136.00M,,-15.50M,-396.90M,0.00,54.00M,,144.00M,12.20M,,,-213.40M
1998-09,416.90M,,,-34.60M,,,55.00M,55.00M,69.30M,,,-31.50M,,,,,475.10M,-203.20M,250.00M,46.80M,,,0.80M,47.60M,,,173.20M,1.50M,-545.40M,-543.90M,,,,-138.80M,,-2.10M,-511.60M,0.00,11.10M,,0.00,1.50M,,,-545.40M
1998-06,223.20M,,,75.50M,,,199.60M,199.60M,,,,-1.90M,,,,,496.40M,-464.20M,32.90M,-431.30M,,,14.10M,-417.20M,,,180.30M,6.40M,-151.80M,-145.40M,,,,-139.30M,,4.80M,-99.60M,0.00,-20.40M,,0.00,6.40M,,,-151.80M
