,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-02,107.88M,107.88M,140.23M,140.23M,2.419B,2.419B,,,71.26M,2.738B,,,,,,,,4.174B,-1.619B,2.555B,302.64M,,302.64M,59.63M,110.34M,3.027B,5.766B,,2.525B,85.36M,2.610B,414.50M,3.024B,,40.93M,,40.93M,159.81M,159.81M,,3.225B,3.208B,,3.208B,,,370.58M,3.579B,6.804B,,0.438M,-1.173B,535.94M,309.52M,-92.34M,-1.038B,,AOR,Restated
2010-11,98.01M,98.01M,116.64M,116.64M,2.362B,2.362B,,,84.39M,2.661B,,,,,,,,4.119B,-1.587B,2.532B,302.64M,,302.64M,50.04M,95.04M,2.980B,5.640B,,2.520B,105.54M,2.625B,429.03M,3.055B,,33.52M,,33.52M,156.86M,156.86M,,3.245B,2.846B,,2.846B,,,367.07M,3.213B,6.458B,,0.503M,-73.27M,593.97M,1.245B,-93.31M,-817.17M,,AOR,Restated
2010-08,98.28M,98.28M,125.80M,125.80M,2.305B,2.305B,,,83.16M,2.612B,0.00,690.10M,2.013B,923.60M,,192.52M,247.75M,4.067B,-1.547B,2.520B,302.64M,,302.64M,46.22M,90.96M,2.960B,5.572B,,2.433B,127.75M,2.561B,173.23M,2.734B,26.19M,26.19M,21.95M,48.13M,146.97M,146.97M,,3.064B,2.882B,,2.882B,,,364.10M,3.246B,6.310B,,0.501M,-245.34M,557.96M,945.41M,-106.47M,-738.76M,,AOR,Restated
2010-05,95.76M,95.76M,121.32M,121.32M,2.288B,2.288B,,,73.50M,2.579B,,,,,,,,3.951B,-1.526B,2.425B,302.64M,,302.64M,46.64M,99.49M,2.874B,5.453B,,2.236B,88.15M,2.324B,385.25M,2.709B,,,,,162.91M,162.91M,,2.872B,2.698B,,2.698B,,,344.14M,3.043B,5.915B,,0.498M,-514.28M,515.86M,380.02M,-84.01M,-461.95M,,AOR,Restated
2010-02,105.16M,105.16M,147.47M,147.47M,2.262B,2.262B,,,134.56M,2.649B,,,,,,,,3.902B,-1.519B,2.383B,302.64M,,302.64M,50.75M,39.74M,2.776B,5.425B,,2.145B,72.77M,2.218B,367.06M,2.585B,,,,,164.50M,164.50M,,2.749B,2.775B,,2.775B,,,322.64M,3.097B,5.847B,,,,,,,-421.67M,,AOR,Restated
2009-11,79.60M,79.60M,142.72M,142.72M,2.263B,2.263B,,,132.79M,2.618B,,,,,,,,3.863B,-1.495B,2.369B,302.64M,,302.64M,55.15M,41.24M,2.768B,5.386B,,2.187B,84.76M,2.272B,357.78M,2.630B,,,,,174.50M,174.50M,,2.804B,2.740B,,2.740B,,,325.91M,3.065B,5.870B,,,,,,,-483.96M,,AOR,Restated
2009-08,92.71M,92.71M,126.51M,126.51M,2.207B,2.207B,,,135.01M,2.562B,0.00,656.52M,1.901B,887.52M,,145.16M,219.61M,3.809B,-1.455B,2.354B,302.64M,,302.64M,59.07M,40.61M,2.757B,5.318B,,2.119B,127.21M,2.246B,151.28M,2.397B,,,16.74M,16.74M,171.59M,171.59M,,2.707B,2.727B,,2.727B,,,317.83M,3.045B,5.751B,,0.579M,136.94M,549.33M,1.028B,-92.04M,-433.07M,,AOR,Restated
2009-05,94.29M,94.29M,140.75M,140.75M,,2.241B,,,132.43M,2.608B,,,,,,,,3.750B,-1.448B,2.302B,302.64M,,302.64M,49.91M,33.85M,2.688B,5.296B,,2.098B,58.55M,2.157B,356.43M,2.513B,,456.60M,,456.60M,166.07M,166.07M,,3.136B,1.949B,,1.949B,,,256.04M,2.205B,5.341B,,,,,,,-45.12M,,AOR,Restated
2009-02,107.97M,107.97M,125.31M,125.31M,,2.190B,,,157.38M,2.581B,,,,,,,,3.677B,-1.409B,2.267B,302.64M,,302.64M,45.42M,38.75M,2.654B,5.235B,,1.975B,,1.975B,339.17M,2.314B,,,,,154.77M,154.77M,,2.469B,2.691B,,2.691B,,,262.95M,2.954B,5.422B,,,-187.30M,,,,-187.30M,,,Restated
2008-11,85.76M,85.76M,67.44M,67.44M,,2.187B,,,122.32M,2.462B,,,,,,,,3.644B,-1.377B,2.267B,302.64M,,302.64M,41.34M,39.89M,2.651B,5.113B,,2.002B,,2.002B,317.03M,2.319B,,,,,140.67M,140.67M,68.14M,2.528B,2.268B,,2.268B,,,257.04M,2.525B,5.053B,,,,,,60.00M,60.00M,,,Restated
