,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
1998-11,900.90M,900.90M,496.20M,404.70M,286.70M,,,,,315.00M,89.70M,,,,,81.30M,30.00M,51.30M,51.30M,51.30M,118.00M,28.30M,89.70M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,150.88M,150.88M,,,
1998-08,1.217B,1.217B,674.80M,542.10M,352.80M,,,,,386.90M,155.20M,,,,,146.70M,54.60M,92.10M,92.10M,92.10M,189.30M,34.10M,155.20M,,0.61,0.00,0.61,0.61,,0.60,0.00,0.60,0.60,,149.98M,152.99M,,,
1998-05,743.70M,743.70M,410.20M,333.50M,220.60M,,,,,243.00M,90.50M,,,,,86.20M,32.30M,53.90M,53.90M,53.90M,112.90M,22.40M,90.50M,,0.35,0.00,0.35,0.35,,0.35,0.00,0.35,0.35,,154.00M,154.00M,,,
1998-02,607.10M,607.10M,332.90M,274.20M,195.60M,,,,,216.10M,58.10M,,,,,55.10M,20.70M,34.40M,34.40M,34.40M,78.60M,20.50M,58.10M,,0.23,0.00,0.23,0.23,,0.22,0.00,0.22,0.22,,149.57M,156.36M,,,
1997-11,675.30M,675.30M,375.20M,300.10M,201.80M,,,,,221.40M,78.70M,,,,,76.10M,28.60M,47.50M,47.50M,47.50M,98.30M,19.60M,78.70M,,0.31,0.00,0.31,0.31,,0.31,0.00,0.31,0.31,,153.23M,153.23M,,,
1997-08,946.30M,946.30M,526.30M,420.00M,262.50M,,,,,286.70M,133.30M,,,,,130.50M,49.00M,81.50M,81.50M,81.50M,157.50M,24.20M,133.30M,,0.53,0.00,0.53,0.53,,0.53,0.00,0.53,0.53,,156.62M,156.62M,,,
1997-05,637.90M,637.90M,350.80M,287.10M,192.20M,,,,,210.30M,76.80M,,,,,74.10M,28.00M,46.10M,46.10M,46.10M,94.90M,18.10M,76.80M,,0.31,0.00,0.31,0.31,,0.30,0.00,0.30,0.30,,148.71M,153.67M,,,
1997-02,538.00M,538.00M,293.10M,244.90M,177.70M,,,,,195.70M,49.20M,,,,,47.10M,17.70M,29.40M,29.40M,29.40M,67.20M,18.00M,49.20M,,0.20,0.00,0.20,0.20,,0.19,0.00,0.19,0.19,,147.00M,154.74M,,,
1996-11,569.10M,569.10M,311.40M,257.70M,178.40M,,,,,195.90M,61.80M,,,,,60.80M,22.80M,38.00M,38.00M,38.00M,79.30M,17.50M,61.80M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,115.34M,115.34M,,,
1996-08,829.60M,829.60M,457.30M,372.30M,240.60M,,,,,262.60M,109.70M,,,,,108.50M,41.00M,67.50M,67.50M,67.50M,131.70M,22.00M,109.70M,,0.47,0.00,0.47,0.47,,0.45,0.00,0.45,0.45,,138.68M,149.34M,,,
1996-05,524.20M,524.20M,293.50M,230.70M,155.10M,,,,,170.20M,60.50M,,,,,59.70M,22.10M,37.60M,37.60M,37.60M,75.60M,15.10M,60.50M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,150.40M,150.40M,,,
1996-02,425.80M,425.80M,236.10M,189.70M,132.60M,,,,,146.30M,43.40M,,,,,43.40M,16.10M,27.30M,27.30M,27.30M,57.10M,13.70M,43.40M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,151.67M,151.67M,,,
1995-11,463.00M,463.00M,257.10M,205.90M,137.80M,,,,,150.50M,55.40M,,,,,55.40M,20.60M,34.80M,34.80M,34.80M,68.10M,12.70M,55.40M,,0.23,0.00,0.23,0.23,,0.23,0.00,0.23,0.23,,151.30M,151.30M,,,
1995-08,628.80M,628.80M,343.80M,285.00M,176.10M,0.00,,,,195.00M,90.00M,,,0.00,,89.90M,35.00M,54.90M,54.90M,54.90M,108.90M,18.90M,90.00M,,0.37,0.00,0.37,0.37,,0.37,0.00,0.37,0.37,,147.52M,147.52M,,,
1995-05,425.50M,425.50M,237.60M,187.90M,124.00M,,,,,134.80M,53.10M,,,,,53.10M,20.70M,32.40M,32.40M,32.40M,63.90M,10.80M,53.10M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,147.27M,147.27M,,,
1995-02,364.10M,364.10M,205.40M,158.70M,109.90M,0.20M,,,,119.50M,39.20M,,,0.20M,,39.40M,15.60M,23.80M,23.80M,23.68M,48.80M,9.60M,39.20M,,0.16,0.00,0.1592,0.16,,0.16,0.00,0.1592,0.16,,148.75M,148.75M,,,
1994-11,389.80M,389.80M,221.90M,167.90M,113.40M,0.40M,,,,122.40M,45.50M,,,0.40M,,45.80M,18.20M,27.60M,27.60M,27.36M,54.50M,9.00M,45.50M,,0.19,0.00,0.1883,0.19,,0.19,0.00,0.1883,0.19,,145.26M,145.26M,,,
1994-08,523.80M,523.80M,290.00M,233.80M,146.00M,0.60M,,,,159.60M,74.20M,,,0.60M,,74.80M,29.60M,45.20M,45.20M,44.84M,87.80M,13.60M,74.20M,,0.30,0.00,0.2976,0.30,,0.30,0.00,0.2976,0.30,,151.92M,151.92M,,,
1994-05,358.20M,358.20M,204.20M,154.00M,100.00M,0.30M,,,,107.40M,46.60M,,,0.30M,,46.80M,18.60M,28.20M,28.20M,28.02M,54.00M,7.40M,46.60M,,0.19,0.00,0.1888,0.19,,0.19,0.00,0.1888,0.19,,148.42M,148.42M,,,
1994-02,303.20M,303.20M,173.50M,129.70M,89.90M,0.50M,,,,95.50M,34.20M,,,0.50M,,34.70M,13.80M,20.90M,20.90M,20.60M,39.80M,5.60M,34.20M,,0.14,0.00,0.1380,0.14,,0.14,0.00,0.1380,0.14,,149.29M,149.29M,,,
1993-11,322.80M,322.80M,185.20M,137.60M,95.30M,0.80M,,,,101.80M,35.80M,,,0.80M,,36.60M,14.60M,22.00M,22.00M,21.52M,42.30M,6.50M,35.80M,,0.15,0.00,0.1467,0.15,,0.15,0.00,0.1467,0.15,,146.67M,146.67M,,,
1993-08,439.20M,439.20M,254.30M,184.90M,120.40M,1.00M,,,,128.90M,56.00M,,,1.00M,,56.80M,22.90M,33.90M,33.90M,33.30M,64.50M,8.50M,56.00M,,0.23,0.00,0.2259,0.23,,0.23,0.00,0.2259,0.23,,147.49M,147.49M,,,
1993-05,282.80M,282.80M,167.50M,115.30M,79.30M,0.50M,,,,83.50M,31.80M,,,0.50M,,32.30M,12.50M,19.80M,19.80M,19.49M,36.00M,4.20M,31.80M,,0.14,0.00,0.1378,0.14,,0.14,0.00,0.1378,0.14,,141.43M,141.43M,,,
1993-02,242.30M,242.30M,141.40M,100.90M,70.70M,0.60M,,,,75.70M,25.20M,,,0.60M,,25.80M,9.80M,16.00M,16.00M,15.63M,30.20M,5.00M,25.20M,,0.11,0.00,0.1074,0.11,,0.11,0.00,0.1074,0.11,,145.45M,145.45M,,,
1992-11,252.50M,252.50M,147.40M,105.10M,73.70M,0.40M,,,,77.30M,27.80M,,,0.40M,,28.20M,11.10M,17.10M,17.10M,16.86M,31.40M,3.60M,27.80M,,0.12,0.00,0.1183,0.12,,0.12,0.00,0.1183,0.12,,142.50M,142.50M,,,
1992-08,349.70M,349.70M,201.40M,148.30M,101.50M,0.40M,,,,106.70M,41.60M,,,0.40M,,42.00M,16.40M,25.60M,25.60M,25.36M,46.80M,5.20M,41.60M,,0.17,0.00,0.1684,0.17,,0.17,0.00,0.1684,0.17,,153.84M,153.84M,,,
1992-05,239.80M,239.80M,142.60M,97.20M,70.50M,0.20M,,,,73.50M,23.70M,,,0.20M,,23.80M,9.50M,14.30M,14.30M,14.18M,26.80M,3.10M,23.70M,,0.10,0.00,0.0992,0.10,,0.10,0.00,0.0992,0.10,,143.00M,143.00M,,,
1992-02,197.10M,197.10M,116.40M,80.70M,59.90M,0.10M,,,,62.80M,17.90M,,,0.10M,,18.00M,7.20M,10.80M,10.80M,10.74M,20.80M,2.80M,17.90M,,0.08,0.00,0.0796,0.08,,0.08,0.00,0.0796,0.08,,135.00M,135.00M,,,
1991-11,215.80M,215.80M,128.90M,86.90M,63.80M,0.10M,,,,66.40M,20.50M,,,0.10M,,20.70M,8.10M,12.60M,12.60M,12.54M,23.10M,2.60M,20.50M,,0.09,0.00,0.0896,0.09,,0.09,0.00,0.0896,0.09,,140.00M,140.00M,,,
1991-08,313.90M,313.90M,182.60M,131.30M,93.40M,,,,,95.80M,35.50M,,,,,34.90M,13.70M,21.20M,21.20M,21.20M,37.90M,2.40M,35.50M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,153.33M,153.33M,,,
1991-05,185.00M,185.00M,109.20M,75.80M,55.70M,,,,,58.00M,17.80M,,,,,15.60M,6.00M,9.60M,9.60M,9.60M,20.10M,2.30M,17.80M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,137.14M,137.14M,,,
1991-02,153.60M,153.60M,,,,,,,,,153.60M,,,,,,,5.80M,5.80M,5.80M,153.60M,,153.60M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,116.00M,116.00M,,,
1990-11,165.50M,165.50M,,,,,,,,,165.50M,,,,,,,7.40M,7.40M,7.40M,165.50M,,165.50M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,123.33M,123.33M,,,
1990-08,239.90M,239.90M,,,,,,,,,-382.50M,,,,,,,12.50M,12.50M,12.50M,-382.50M,,-382.50M,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,130.53M,130.53M,,,
1990-05,155.00M,155.00M,,,,,,,,,155.00M,,,,,,,5.30M,5.30M,5.30M,155.00M,,155.00M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,106.00M,106.00M,,,
1990-02,133.50M,133.50M,,,,,,,,,133.50M,,,,,,,1.90M,1.90M,1.90M,133.50M,,133.50M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,95.00M,95.00M,,,
1989-11,143.30M,143.30M,,,,,,,,,143.30M,,,,,,,3.60M,3.60M,3.60M,143.30M,,143.30M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,120.00M,120.00M,,,
