,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-02,94.09M,23.67M,45.67M,0.625M,46.29M,46.29M,0.048M,,,,,-6.681M,-29.46M,32.15M,-159.34M,-28.17M,15.65M,-169.17M,-11.75M,,-59.97M,1.981M,-57.99M,,0.078M,,,-57.91M,,,,77.40M,8.055M,0.00,8.055M,0.466M,85.92M,,63.88M,16.26M,,80.14M,,8.055M,,,0.00,,,
2004-11,122.52M,5.84M,25.66M,0.586M,26.24M,26.24M,-0.048M,,,,,,-2.256M,-71.60M,40.57M,7.30M,-15.65M,-41.64M,112.92M,,-58.81M,0.061M,-58.75M,,-3.238M,,,-61.98M,,,,-43.80M,10.36M,-30.00M,-19.64M,-0.466M,-63.90M,,76.85M,-12.97M,,63.88M,,10.36M,,,-30.00M,,,
2004-08,209.39M,-11.71M,34.05M,0.785M,34.84M,34.84M,48.16M,,,,,,4.522M,-86.23M,73.08M,32.12M,-0.163M,23.33M,304.00M,,-72.69M,0.888M,-71.80M,,-0.017M,,,-71.82M,,,,70.33M,9.232M,-317.80M,-308.57M,-4.898M,-243.13M,,87.80M,-10.95M,,76.85M,,9.232M,,,-317.80M,,,
2004-05,143.41M,-7.373M,24.50M,0.458M,24.96M,24.96M,-3.66M,,,,,17.97M,2.913M,-57.15M,117.08M,-49.09M,-12.16M,1.593M,176.89M,,-42.70M,0.683M,-42.02M,,-11.42M,,,-53.44M,,,,11.97M,1.87M,-132.64M,-130.77M,2.612M,-116.19M,,80.54M,7.267M,,87.80M,,1.87M,,,-132.64M,,,
2004-02,91.65M,1.33M,48.34M,2.987M,27.38M,27.38M,,,,,,-17.97M,-12.32M,32.10M,-130.00M,14.54M,21.10M,-74.58M,27.81M,,-40.12M,0.681M,-39.44M,,,,,-39.44M,,,,333.60M,3.254M,-337.22M,-333.96M,-0.496M,-0.86M,,6.664M,-12.49M,,80.54M,,3.254M,,,-337.22M,,,
2003-11,121.74M,,,,23.95M,23.95M,,,,,,,-21.22M,-8.257M,,34.55M,-21.10M,-16.02M,129.67M,,-29.36M,0.338M,-29.02M,,,,,-29.02M,,,,-93.50M,19.20M,-60.44M,-41.25M,34.02M,-100.73M,,6.742M,-0.078M,,6.664M,,19.20M,,,-60.44M,,,
2003-08,207.44M,37.40M,,,34.22M,34.22M,,,,,,23.00M,,-13.67M,,-40.77M,-11.00M,52.55M,420.31M,,-83.44M,2.437M,-81.00M,,,,,-81.00M,,,,104.35M,14.18M,-446.54M,-432.36M,-11.19M,-339.20M,,6.638M,0.104M,,6.742M,,14.18M,,,-446.54M,,,
2003-05,125.98M,-19.52M,,,24.69M,24.69M,,,,,,2.021M,,-7.471M,,101.08M,,93.61M,226.77M,,-36.97M,3.714M,-33.25M,,,,,-33.25M,,,,80.42M,8.36M,-285.06M,-276.70M,2.837M,-193.44M,,6.559M,0.079M,,6.638M,,8.36M,,,-285.06M,,,
2003-02,79.28M,1.234M,,,25.24M,25.24M,,,,,,-25.02M,,-5.473M,,-15.33M,27.13M,6.329M,87.06M,,-31.37M,4.661M,-26.71M,,,,,-26.71M,,,,26.45M,0.881M,-80.97M,-80.09M,-6.689M,-60.33M,,6.53M,0.029M,,6.559M,,0.881M,,,-80.97M,,,
2002-11,104.91M,18.29M,,,25.59M,25.59M,,,,,,,,-109.12M,,-48.45M,-27.13M,-184.69M,-35.90M,,-30.46M,3.631M,-26.83M,,,,,-26.83M,,,,118.58M,21.89M,-78.52M,-56.64M,0.824M,62.76M,,6.498M,0.032M,,6.53M,,21.89M,,,-78.52M,,,
2002-08,177.99M,42.16M,,,35.76M,35.76M,,,,,,1.724M,,-84.40M,,-127.93M,4.003M,64.12M,350.24M,,-35.39M,15.38M,-20.02M,,,,0.00,-20.02M,,,,-52.98M,13.42M,-286.54M,-273.12M,-4.891M,-330.99M,,7.242M,-0.773M,,6.498M,,13.42M,,,-286.54M,,,
2002-05,102.31M,-17.96M,,,26.40M,26.40M,,,,,,9.081M,,-17.77M,,166.59M,,148.82M,268.66M,,-41.22M,5.482M,-35.74M,,,,1.161M,-34.58M,,,,-0.808M,12.19M,-243.23M,-231.04M,-2.216M,-234.07M,,7.228M,0.014M,,7.242M,,12.19M,,,-243.23M,,,
2002-02,63.77M,8.079M,,,27.92M,27.92M,,,,,,-10.80M,,16.56M,,-0.034M,7.543M,24.06M,113.03M,,-24.41M,28.95M,4.537M,,,,0.276M,4.813M,,,,-28.70M,8.131M,-99.76M,-91.63M,2.459M,-117.87M,,7.285M,-0.028M,,7.228M,,8.131M,,,-99.76M,,,
2001-11,84.08M,9.884M,,,28.17M,28.17M,,,,,,,,-82.54M,,-24.88M,-7.543M,-114.97M,7.162M,,-16.21M,1.009M,-15.20M,,,,0.474M,-14.73M,,,,55.24M,21.94M,-69.45M,-47.51M,-0.166M,7.565M,,7.286M,-0.001M,,7.285M,,21.94M,,,-69.45M,,,
2001-08,26.48M,,,,39.64M,39.64M,,,,,,,,-58.20M,,-66.48M,-10.38M,63.30M,252.76M,,-31.99M,1.248M,-30.74M,,,,7.704M,-23.04M,,,,-164.64M,40.28M,-104.51M,-64.22M,-0.748M,-229.62M,,7.188M,0.098M,,7.286M,,40.28M,,,-104.51M,,,
2001-05,63.52M,,,,30.45M,30.45M,,,,,,,,-55.78M,,174.66M,-0.191M,118.68M,212.66M,,-44.23M,1.613M,-42.62M,,,,9.091M,-33.53M,,,,-127.32M,3.579M,-56.88M,-53.30M,1.563M,-179.05M,,7.11M,0.078M,,7.188M,,3.579M,,,-56.88M,,,
2001-02,31.74M,,,,30.78M,30.78M,,,,,,,,20.84M,,-110.21M,-7.199M,-96.57M,-34.06M,,-38.02M,2.241M,-35.78M,,,,4.226M,-31.56M,,,,111.67M,3.006M,-50.07M,-47.07M,1.081M,65.68M,,7.041M,0.069M,,7.11M,,3.006M,,,-50.07M,,,
2000-11,53.79M,,,,30.46M,30.46M,,,,,,,,-71.02M,,12.83M,1.518M,-56.67M,27.58M,,-55.05M,39.50M,-15.55M,,,,-18.47M,-34.02M,,,,158.44M,1.543M,-154.64M,-153.10M,1.167M,6.511M,,6.969M,0.072M,,7.041M,,1.543M,,,-154.64M,,,
2000-08,105.22M,,,,32.72M,32.72M,,,,,,-12.60M,,24.20M,,54.00M,,127.71M,296.44M,,-69.51M,1.371M,-68.14M,,,,-0.35M,-68.49M,,,,27.23M,-2.222M,-263.42M,-265.64M,10.61M,-227.80M,,6.821M,0.148M,,6.969M,,-2.222M,,,-263.42M,,,
2000-05,67.27M,,,,33.08M,33.08M,,,,,,2.397M,,14.21M,,-2.839M,,11.37M,114.12M,,-54.14M,1.10M,-53.04M,,,,-0.113M,-53.16M,,,,93.17M,3.177M,-157.21M,-154.03M,-0.10M,-60.96M,,6.80M,0.003M,,6.821M,,3.177M,,,-157.21M,,,
2000-02,39.10M,,,,30.90M,30.90M,,,,,,9.30M,,33.40M,,-36.40M,,-3.00M,76.30M,,-60.70M,9.30M,-51.40M,,,,-4.00M,-55.40M,,,,39.70M,3.30M,-67.40M,-64.10M,3.70M,-20.70M,,6.70M,0.20M,,6.80M,,3.30M,,,-67.40M,,,
1999-11,56.00M,,,,30.10M,30.10M,,,,,,0.90M,,-51.10M,,-9.80M,,-60.90M,26.10M,,-65.30M,,-65.30M,,,,,-65.30M,,,,194.20M,1.20M,-151.90M,-150.70M,-3.60M,39.90M,,5.90M,0.70M,,6.70M,,1.20M,,,-151.90M,,,
1999-08,98.73M,,,,40.85M,40.85M,,,,,,-1.151M,,-39.53M,,-59.95M,,-20.18M,161.14M,,-102.16M,,-102.16M,,,,,-102.16M,,,,42.15M,2.228M,-103.58M,-101.35M,0.40M,-58.80M,,5.754M,0.177M,,5.90M,,2.228M,,,-103.58M,,,
1999-05,58.77M,,,,30.95M,30.95M,,,,,,-7.649M,,-95.67M,,119.25M,,23.58M,105.66M,,-61.04M,,-61.04M,,,,,-61.04M,,,,6.25M,2.072M,-53.52M,-51.45M,,-45.20M,,6.30M,-0.577M,,5.754M,,2.072M,,,-53.52M,,,
1999-02,36.00M,,,,28.40M,28.40M,,,,,,22.40M,,-28.00M,,-59.10M,,-87.10M,-0.30M,,-74.40M,,-74.40M,,,,,-74.40M,,,,94.40M,6.80M,-27.20M,-20.40M,-0.10M,73.90M,,7.10M,-0.80M,,6.30M,,6.80M,,,-27.20M,,,
1998-11,51.30M,,,,28.30M,28.30M,,,,,,-13.50M,,-38.40M,,13.20M,,-25.20M,40.90M,,-190.70M,,-190.70M,,,,,-190.70M,,,,200.00M,0.50M,-50.30M,-49.80M,0.10M,150.30M,,6.60M,0.50M,,7.10M,,0.50M,,,-50.30M,,,
1998-08,92.10M,,,,34.10M,34.10M,,,,,,0.60M,,-12.10M,,-27.80M,,72.50M,219.80M,,-137.90M,,-137.90M,,,,,-137.90M,,,,-66.60M,8.70M,-23.40M,-14.70M,,-81.20M,,0.00,0.70M,,6.60M,,8.70M,,,-23.40M,,,
1998-05,53.90M,,,,22.40M,22.40M,,,,,,-17.80M,,-24.80M,,64.70M,,39.90M,98.40M,,-173.70M,,-173.70M,,,,,-173.70M,,,,74.20M,7.50M,-5.30M,2.20M,,76.40M,,0.00,1.10M,,0.00,,7.50M,,,-5.30M,,,
1998-02,34.40M,,,,20.50M,20.50M,,,,,,2.10M,,5.00M,,-69.60M,,-64.60M,-7.60M,,-55.20M,,-55.20M,,,,,-55.20M,,,,60.80M,2.50M,,2.50M,,63.30M,,0.00,0.50M,,0.00,,2.50M,,,,,,
1997-11,47.50M,,,,19.60M,19.60M,,,,,,-5.70M,,-15.40M,,10.50M,,-4.90M,56.50M,,-70.40M,,-70.40M,,,,,-70.40M,,,,4.60M,9.00M,,9.00M,,13.60M,,4.70M,-0.30M,,0.00,,9.00M,,,,,,
1997-08,81.50M,,,,24.20M,24.20M,,,,,,15.60M,,41.10M,,-82.80M,,19.50M,133.00M,,-125.00M,,-125.00M,,,,,-125.00M,,,,-11.30M,3.10M,,3.10M,,-8.20M,,0.00,-0.20M,,4.70M,,3.10M,,,,,,
1997-05,46.10M,,,,18.10M,18.10M,,,,,,-8.30M,,-86.40M,,99.90M,,13.50M,69.40M,,-67.10M,,-67.10M,,,,,-67.10M,,,,-6.20M,4.20M,,4.20M,,-2.00M,,0.00,0.30M,,0.00,,4.20M,,,,,,
1997-02,29.40M,,,,18.00M,18.00M,,,,,,0.80M,,-53.70M,,-32.00M,,-85.70M,-37.50M,,-49.10M,,-49.10M,,,,,-49.10M,,,,82.90M,4.40M,,4.40M,,87.30M,,0.00,0.70M,,0.00,,4.40M,,,,,,
1996-11,38.00M,,,,17.50M,17.50M,,,,,,-10.90M,,-54.60M,,22.70M,,-31.90M,12.70M,,-54.20M,,-54.20M,,,,,-54.20M,,,,38.60M,2.90M,,2.90M,,41.50M,,3.90M,,,0.00,,2.90M,,,,,,
1996-08,67.50M,,,,22.00M,22.00M,,,,,,6.50M,,-24.70M,,-68.40M,,-5.80M,100.50M,,-97.00M,,-97.00M,,,,,-97.00M,,,,-3.40M,3.30M,,3.30M,,-0.10M,,0.00,3.40M,,3.90M,,3.30M,,,,,,
1996-05,37.60M,,,,15.10M,15.10M,,,,,,-8.70M,,-41.70M,,35.60M,,-6.10M,37.90M,,-62.30M,,-62.30M,,,,,-62.30M,,,,13.40M,8.40M,,8.40M,0.10M,21.90M,,0.00,-2.50M,,0.00,,8.40M,,,,,,
1996-02,27.30M,,,,13.70M,13.70M,,,,,,10.50M,,-65.50M,,-2.40M,,-67.90M,-16.40M,,-51.80M,,-51.80M,,,,,-51.80M,,,,65.90M,2.50M,,2.50M,-0.10M,68.30M,,0.00,0.10M,,0.00,,2.50M,,,,,,
1995-11,34.80M,,,,12.70M,12.70M,,,,,,-5.30M,,-26.80M,,41.70M,,14.90M,57.10M,,-69.10M,,-69.10M,,,,,-69.10M,,,,5.00M,3.50M,,3.50M,,8.50M,,6.40M,-3.50M,,0.00,,3.50M,,,,,,
1995-08,54.90M,,,,18.90M,18.90M,,,,,,14.30M,,-16.90M,31.20M,,,9.00M,89.90M,,-91.30M,,-89.90M,,,,,-89.90M,,,,-3.30M,7.40M,,7.40M,,4.00M,,0.00,4.00M,,0.00,,7.40M,,,,,,
1995-05,32.40M,,,,10.80M,10.80M,,,,,,-8.10M,,-3.40M,22.00M,,,18.60M,53.70M,,-60.00M,,-60.00M,,,,,-60.00M,,,,-2.30M,3.20M,,3.20M,,0.90M,,0.00,-5.40M,,0.00,,3.20M,,,,,,
1995-02,23.90M,,,,9.60M,9.60M,,,,,,-1.40M,,-25.70M,-11.30M,,,-37.00M,-4.90M,,-51.70M,,-51.70M,,,,,-51.70M,,,,15.00M,3.30M,,3.30M,,18.30M,,0.00,-38.30M,,0.00,,3.30M,,,,,,
1994-11,27.60M,,,,9.00M,9.00M,,,,,,-2.80M,,-15.70M,23.30M,,,7.60M,41.40M,,-55.10M,,-55.10M,,,,,-55.10M,,,,-0.10M,3.70M,,3.70M,,3.60M,,56.20M,-10.10M,,0.00,,3.70M,,,,,,
1994-08,45.20M,,,,13.60M,13.60M,,,,,,,,-13.00M,-13.70M,9.00M,,-18.90M,40.10M,,-63.30M,,-62.10M,,,,,-62.00M,,,,-0.10M,4.70M,,4.70M,0.00,4.60M,,0.00,-17.30M,,0.00,,4.70M,,,,,,
1994-05,28.20M,,,,7.40M,7.40M,,,,,,,,-28.60M,48.40M,-4.50M,,15.30M,50.90M,,-39.70M,,-39.70M,,,,,-39.70M,,,,-0.10M,1.80M,,1.80M,0.10M,1.80M,,0.00,13.00M,,0.00,,1.80M,,,,,,
1994-02,21.00M,,,,5.60M,5.60M,,,,,,,,-22.80M,-2.10M,-1.70M,,-26.60M,0.00,,-36.50M,,-36.50M,,,,,-36.50M,,,,,6.40M,,6.40M,-0.10M,6.30M,,0.00,-30.20M,,0.00,,6.40M,,,,,,
1993-11,22.00M,,,,6.50M,6.50M,,,,,,,,-9.60M,20.30M,-1.90M,,8.80M,37.30M,,-33.50M,,-33.50M,,,,,-33.50M,,,,,1.20M,,1.20M,1.30M,2.50M,,84.50M,6.30M,,0.00,,1.20M,,,,,,
1993-08,33.90M,,,,8.50M,8.50M,,,,,,,,-9.00M,17.60M,7.40M,,11.70M,48.20M,,-55.40M,,-54.00M,,,,,-54.00M,,,,0.00,6.60M,,6.60M,-0.10M,6.50M,,0.00,0.70M,,0.00,,6.60M,,,,,,
1993-05,19.90M,,,,4.20M,4.20M,,,,,,,,-36.50M,55.00M,-3.70M,,14.80M,38.90M,,-28.30M,,-28.30M,,,,,-28.30M,,,,-2.50M,0.20M,,0.20M,0.10M,-2.20M,,0.00,8.40M,,0.00,,0.20M,,,,,,
1993-02,16.00M,,,,5.00M,5.00M,,,,,,,,-13.10M,-4.90M,-2.10M,,-20.10M,0.90M,,-17.60M,,-17.60M,,,,,-17.60M,,,,0.00,18.50M,,18.50M,-0.10M,18.40M,,0.00,1.70M,,0.00,,18.50M,,,,,,
1992-11,17.10M,,,,3.60M,3.60M,,,,,,,,-3.20M,11.30M,0.20M,,8.30M,29.00M,,-19.30M,,-19.30M,,,,,-19.30M,,,,-0.10M,6.30M,,6.30M,0.10M,6.30M,,57.80M,16.00M,,0.00,,6.30M,,,,,,
1992-08,25.60M,,,,5.20M,5.20M,,,,,,0.60M,,15.00M,-4.10M,3.10M,,11.40M,40.50M,,-29.40M,,-29.20M,,,,,-29.20M,,,,-0.10M,5.10M,,5.10M,0.10M,5.10M,,0.00,16.40M,,0.00,,5.10M,,,,,,
1992-05,14.30M,,,,3.10M,3.10M,,,,,,,,-4.40M,13.50M,-1.20M,,7.90M,25.30M,,-14.50M,,-14.50M,,,,,-14.50M,,,,0.00,0.50M,,0.50M,0.00,0.50M,,0.00,11.30M,,0.00,,0.50M,,,,,,
1992-02,10.80M,,,,2.80M,2.80M,,,,,,0.10M,,-12.90M,16.20M,1.20M,,4.50M,18.20M,,-13.80M,,-13.80M,,,,,-13.80M,,,,-1.80M,0.10M,,0.10M,2.30M,0.60M,,0.00,5.00M,,0.00,,0.10M,,,,,,
1991-11,12.60M,,,,2.60M,2.60M,,,,,,-0.10M,,9.70M,3.00M,-2.50M,,10.20M,25.30M,,-13.10M,,-13.10M,,,,,-13.10M,,,,1.70M,2.20M,,2.20M,-0.10M,3.80M,,9.00M,16.00M,,0.00,,2.20M,,,,,,
