,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-10,2.211B,977.40M,3.189B,20.90B,,,20.90B,1.17B,519.00M,2.677B,-0.20M,3.042B,,27.13B,0.0,95.00M,1.88B,4.147B,3.223B,833.00M,10.18B,-4.411B,5.767B,1.225B,161.00M,1.386B,224.40M,709.70M,1.441B,974.70M,11.61B,38.73B,1.773B,118.00M,108.00M,527.00M,2.526B,2.323B,4.849B,,1.775B,2.961B,3.785B,8.521B,,8.521B,289.00M,289.00M,,,14.92B,13.90B,,13.90B,171.80M,171.80M,3.048B,,,-1.40M,17.29B,32.20B,2.934B,10.58B,5.595B,-1.418B,73.40M,-42.30M,-1.387B,6.533B
2008-07,2.823B,944.00M,3.767B,3.983B,17.96B,723.70M,22.66B,1.157B,507.00M,3.138B,0.20M,3.474B,,29.90B,,,,,,,9.918B,-4.318B,5.600B,1.330B,183.40M,1.513B,,,1.564B,3.107B,11.78B,41.69B,6.059B,,,,6.059B,646.00M,6.705B,,,,,10.11B,,10.11B,,207.80M,207.80M,178.50M,17.21B,13.40B,,13.40B,,,,,,3.544B,16.94B,34.15B,2.931B,10.35B,5.277B,,,,-467.40M,7.54B
2008-04,2.288B,981.80M,3.270B,4.629B,15.24B,2.906B,22.77B,,,,,3.571B,,29.61B,,,,1.627B,8.102B,,9.729B,-4.318B,5.411B,1.278B,127.80M,1.405B,,,1.533B,3.010B,11.36B,40.97B,5.825B,,,,5.825B,708.60M,6.534B,,,,,10.42B,,10.42B,,192.30M,192.30M,207.10M,17.35B,12.75B,,12.75B,,,,,,3.520B,16.27B,33.62B,2.909B,9.899B,4.934B,,,,-523.50M,7.350B
2008-01,1.496B,1.154B,2.650B,3.199B,15.23B,2.648B,21.08B,,,,,3.289B,,27.02B,,,,,,,9.598B,-4.318B,5.280B,1.248B,131.20M,1.380B,,,1.451B,3.085B,11.20B,38.22B,5.019B,,,,5.019B,500.10M,5.519B,,,,,9.462B,,9.462B,,188.40M,188.40M,174.40M,15.34B,12.34B,,12.34B,,,,,,3.489B,15.83B,31.18B,2.882B,9.243B,4.449B,,,,-638.00M,7.038B
2007-10,2.279B,1.623B,3.902B,20.98B,,,20.98B,882.00M,425.00M,2.263B,0.30M,2.337B,,27.21B,0.0,87.00M,1.835B,3.446B,3.253B,936.00M,9.557B,-4.318B,5.239B,1.234B,131.00M,1.365B,149.50M,625.60M,1.400B,605.80M,11.36B,38.58B,1.691B,110.00M,169.00M,544.00M,2.514B,1.749B,4.263B,,2.511B,2.837B,4.621B,9.969B,,9.969B,236.00M,236.00M,,,15.60B,11.80B,,11.80B,183.40M,183.40M,3.700B,,,0.80M,15.82B,31.42B,2.777B,9.032B,4.015B,-1.113B,479.40M,-3.80M,-637.50M,7.156B
2007-07,1.773B,2.047B,3.821B,3.754B,,17.42B,21.18B,814.00M,427.00M,2.40B,,2.474B,,27.47B,,,,,,,8.938B,-4.141B,4.797B,1.249B,71.90M,1.321B,,,729.80M,3.310B,10.16B,37.63B,5.103B,,,,5.103B,274.40M,5.378B,,,,,10.18B,,10.18B,,105.80M,105.80M,120.70M,15.78B,11.10B,,11.10B,,,,,,2.690B,13.79B,29.57B,2.463B,8.988B,3.638B,,,,248.30M,8.061B
2007-04,1.984B,1.865B,3.848B,4.398B,,16.51B,20.91B,818.00M,443.00M,2.491B,,2.573B,1.490B,28.82B,,,,,,,7.241B,-4.141B,3.100B,1.117B,77.80M,1.195B,,,756.50M,3.293B,8.344B,37.17B,4.803B,,,,4.803B,339.60M,5.143B,,,,,9.810B,,9.810B,,101.80M,101.80M,126.70M,15.18B,11.28B,,11.28B,,,,,,2.752B,14.03B,29.21B,2.396B,8.549B,3.156B,,,,169.90M,7.960B
2007-01,1.341B,1.41B,2.751B,3.188B,,16.18B,19.37B,816.00M,448.00M,2.368B,,2.484B,1.421B,26.03B,,,,,,,7.092B,-4.141B,2.951B,1.116B,54.40M,1.170B,,,585.20M,3.414B,8.120B,34.15B,4.027B,,,,4.027B,150.40M,4.177B,,,,,9.053B,,9.053B,,60.00M,60.00M,72.80M,13.36B,10.57B,,10.57B,,,,,,2.637B,13.21B,26.57B,2.311B,8.025B,2.818B,,,,56.90M,7.576B
2006-10,1.688B,1.817B,3.504B,3.038B,,16.85B,19.88B,712.00M,372.00M,2.013B,,1.957B,1.494B,26.84B,0.0,87.00M,1.631B,4.084B,626.60M,476.00M,6.905B,-4.141B,2.764B,1.11B,56.40M,1.166B,,,582.20M,3.370B,7.882B,34.72B,4.483B,,,,4.483B,152.50M,4.635B,,,,,8.121B,,8.121B,,64.90M,64.90M,31.00M,12.85B,11.58B,,11.58B,,,,,,2.793B,14.38B,27.23B,2.212B,7.887B,2.673B,,150.30M,-84.50M,65.80M,7.491B
2006-07,1.286B,1.866B,3.152B,3.860B,,16.22B,20.08B,698.00M,349.00M,2.481B,,2.404B,1.42B,27.06B,,,,,,,2.534B,,2.534B,1.118B,51.50M,1.169B,,,628.80M,3.379B,7.711B,34.77B,4.618B,,,,4.618B,260.20M,4.878B,,,,,8.100B,,8.100B,,67.60M,67.60M,186.20M,13.23B,11.24B,,11.24B,,,,,,2.726B,13.97B,27.20B,2.190B,7.698B,2.349B,,,,31.00M,7.569B
2006-04,1.202B,1.775B,2.977B,4.401B,,15.16B,19.56B,723.00M,417.00M,2.696B,,2.712B,1.361B,26.61B,,,,,,,2.450B,,2.450B,1.083B,53.30M,1.137B,,,538.10M,3.363B,7.487B,34.09B,4.331B,,,,4.331B,246.20M,4.577B,,,,,7.584B,,7.584B,,67.00M,67.00M,188.00M,12.42B,11.48B,,11.48B,,,,,,2.638B,14.12B,26.53B,2.158B,7.353B,1.992B,,,,41.30M,7.560B
2006-01,1.477B,1.968B,3.445B,3.179B,,14.47B,17.65B,777.00M,456.00M,2.648B,,2.732B,1.312B,25.14B,,,,,,,6.563B,-4.17B,2.393B,,1.124B,1.124B,,,646.30M,3.752B,7.915B,33.06B,3.779B,,,,3.779B,217.80M,3.997B,,,,,6.530B,,6.530B,,,,131.00M,10.66B,12.20B,,12.20B,64.20M,64.20M,,,,3.255B,15.52B,26.18B,2.101B,6.70B,1.911B,,,,-10.70M,6.879B
2005-10,2.258B,2.169B,4.427B,3.118B,,14.87B,17.99B,716.00M,425.00M,2.126B,,2.135B,1.336B,25.88B,,,,,,,2.343B,,2.343B,1.088B,18.30M,1.107B,,,628.10M,3.674B,7.752B,33.64B,4.321B,,,,4.321B,214.30M,4.535B,,,,,6.884B,,6.884B,,62.70M,62.70M,140.80M,11.62B,11.74B,,11.74B,,,,,,3.424B,15.16B,26.79B,2.082B,6.556B,1.744B,,,,-42.80M,6.852B
2005-07,2.140B,1.964B,4.104B,3.966B,,13.83B,17.80B,662.00M,435.00M,2.471B,,2.560B,1.260B,25.72B,,,,,,,6.202B,-4.02B,2.182B,,1.066B,1.066B,,,681.00M,3.401B,7.330B,33.05B,4.248B,,,,4.248B,233.90M,4.482B,,,,,6.116B,,6.116B,,,,282.00M,10.88B,11.74B,,11.74B,60.70M,60.70M,,,,3.436B,15.23B,26.12B,2.044B,6.401B,1.469B,,,,-38.30M,6.937B
2005-04,3.057B,275.10M,3.332B,4.390B,,12.73B,17.12B,3.421B,475.00M,,,2.89B,1.214B,24.56B,,,,,,,6.198B,-4.02B,2.178B,,994.80M,994.80M,,,597.30M,3.365B,7.135B,31.69B,4.279B,,,,4.279B,188.70M,4.468B,,,,,5.364B,,5.364B,,,,304.90M,10.14B,11.32B,,11.32B,61.80M,61.80M,,,,3.431B,14.82B,24.95B,2.044B,6.106B,1.389B,,,,-20.90M,6.740B
2005-01,2.866B,263.50M,3.129B,3.132B,,11.74B,14.87B,719.00M,519.00M,2.568B,,2.802B,1.232B,22.03B,,,,,,,6.180B,-4.02B,2.160B,,1.006B,1.006B,,,551.20M,3.199B,6.916B,28.95B,3.614B,,,,3.614B,186.60M,3.801B,,,,,3.972B,,3.972B,,,,258.00M,8.031B,10.95B,,10.95B,62.60M,62.60M,,,,3.402B,14.42B,22.45B,2.044B,5.584B,1.099B,,,,-30.10M,6.498B
2004-10,3.181B,246.70M,3.428B,3.207B,,11.91B,15.12B,589.00M,408.00M,2.004B,,1.999B,1.297B,21.84B,0.0,79.00M,1.464B,3.857B,625.60M,156.00M,6.182B,-4.02B,2.162B,,995.30M,995.30M,,,528.10M,3.225B,6.910B,28.75B,3.974B,,,,3.974B,179.20M,4.153B,,,,,3.458B,,3.458B,,,,278.20M,7.888B,11.09B,,11.09B,62.60M,62.60M,,,,3.320B,14.47B,22.36B,2.044B,5.445B,1.040B,,9.10M,-64.50M,-55.40M,6.393B
2004-07,3.336B,251.60M,3.588B,3.558B,,10.83B,14.39B,,,,,2.218B,,20.20B,,,,,,,5.186B,-3.134B,2.052B,,1.189B,1.189B,,,1.287B,2.015B,6.542B,26.74B,3.761B,,,,3.761B,199.80M,3.961B,,,,,3.568B,,3.568B,,,,181.20M,7.710B,10.68B,,10.68B,31.80M,31.80M,,,,3.302B,14.01B,21.72B,1.988B,5.161B,957.30M,,,,-1.175B,5.017B
2004-04,2.996B,250.80M,3.246B,3.887B,,10.11B,14.00B,,,,,2.226B,,19.47B,,,,,,,5.205B,-3.134B,2.071B,,1.184B,1.184B,,,1.249B,1.978B,6.483B,25.96B,3.612B,,,,3.612B,205.10M,3.817B,,,,,3.077B,,3.077B,,,,,6.894B,10.88B,,10.88B,29.20M,29.20M,,,,3.415B,14.32B,21.22B,1.988B,4.841B,897.40M,,,,-1.191B,4.741B
2004-01,4.088B,262.80M,4.351B,2.838B,,9.773B,12.61B,,,,,2.170B,,19.13B,,,,,,,5.233B,-3.134B,2.099B,,1.194B,1.194B,,,1.517B,2.148B,6.957B,26.09B,3.021B,,,,3.021B,218.60M,3.240B,,,,,3.458B,,3.458B,,,,234.10M,6.932B,10.75B,,10.75B,30.10M,30.10M,,,,4.095B,14.87B,21.80B,1.991B,4.446B,997.50M,,,,-1.155B,4.284B
2003-10,4.384B,231.80M,4.616B,2.619B,,10.71B,13.32B,,,,,1.366B,,19.31B,,,,,,,5.210B,-3.134B,2.076B,,1.125B,1.125B,,,1.476B,2.274B,6.951B,26.26B,3.106B,,,,3.106B,226.50M,3.332B,,,,,4.347B,,4.347B,,,,,7.679B,10.40B,,10.40B,30.70M,30.70M,,,,4.142B,14.58B,22.26B,1.988B,4.330B,1.141B,,,,-1.174B,4.002B
2003-07,3.757B,232.70M,3.990B,3.355B,,10.19B,13.54B,,,,,1.710B,1.384B,20.63B,,,,,,,5.156B,-3.134B,2.022B,,949.70M,949.70M,,,1.480B,917.80M,5.369B,26.00B,3.170B,,,,3.170B,228.30M,3.398B,,,,,4.403B,,4.403B,,,,212.30M,8.013B,10.54B,,10.54B,29.00M,29.00M,,,,3.619B,14.19B,22.21B,1.957B,4.317B,1.279B,,,,-1.203B,3.792B
2003-04,3.324B,211.90M,3.536B,3.711B,,10.05B,13.76B,,,,,2.007B,1.426B,20.73B,,,,,,,5.144B,-3.134B,2.010B,,936.80M,936.80M,,,1.538B,972.50M,5.458B,26.18B,3.182B,,,,3.182B,246.20M,3.428B,,,,,5.057B,,5.057B,,,,200.50M,8.685B,10.41B,,10.41B,28.10M,28.10M,,,,3.529B,13.97B,22.65B,1.957B,4.128B,1.306B,,,,-1.250B,3.530B
2003-01,3.553B,187.70M,3.741B,2.911B,8.893B,578.50M,12.38B,564.00M,443.00M,1.868B,,1.929B,1.514B,19.57B,,,,,,,5.136B,-3.134B,2.002B,,921.40M,921.40M,,,1.493B,970.00M,5.386B,24.95B,2.834B,,,,2.834B,117.20M,2.951B,,,,,4.170B,,4.170B,,,,166.60M,7.288B,10.47B,,10.47B,24.80M,24.80M,,,,3.914B,14.41B,21.70B,1.957B,3.924B,1.308B,,,,-1.317B,3.257B
2002-10,2.815B,189.20M,3.004B,2.734B,,9.760B,12.49B,,,,,1.372B,1.609B,18.48B,,,,,,,5.132B,-3.134B,1.998B,,894.90M,894.90M,,,1.490B,906.30M,5.290B,23.77B,3.142B,,,,3.142B,87.40M,3.230B,,,,,4.437B,,4.437B,,,,156.80M,7.824B,8.950B,,8.950B,24.50M,24.50M,,,,3.806B,12.78B,20.60B,1.957B,3.913B,1.322B,,-293.10M,-1.091B,-1.384B,3.163B
2002-07,2.328B,211.60M,2.539B,3.302B,,8.899B,12.20B,,,,,1.606B,,16.35B,,,,,,,5.151B,-3.143B,2.008B,,861.00M,861.00M,,,1.03B,3.241B,7.140B,23.49B,2.958B,,,,2.958B,126.60M,3.084B,,,,,5.122B,,5.122B,,,,,8.206B,8.163B,,8.163B,19.50M,19.50M,,,,2.914B,11.10B,19.30B,1.948B,3.900B,1.335B,,,,-328.60M,4.184B
2002-04,2.616B,214.00M,2.830B,3.517B,,8.330B,11.85B,,,,,1.807B,,16.48B,,,,,,,5.153B,-3.143B,2.010B,,853.60M,853.60M,,,971.80M,3.119B,6.955B,23.44B,2.900B,,,,2.900B,136.50M,3.037B,,,,,4.971B,,4.971B,,,,,8.008B,8.472B,,8.472B,19.60M,19.60M,,,,2.850B,11.34B,19.35B,1.948B,3.809B,1.345B,,,,-321.40M,4.090B
2002-01,2.365B,205.00M,2.570B,2.679B,,8.354B,11.03B,,,,,1.831B,1.817B,17.25B,,,,,,,5.352B,-3.336B,2.016B,,864.00M,864.00M,,,908.10M,1.368B,5.156B,22.41B,2.728B,,,,2.728B,66.50M,2.794B,,,,,6.456B,,6.456B,,,,125.80M,9.376B,6.407B,,6.407B,17.80M,17.80M,,,,2.663B,9.088B,18.46B,1.948B,3.735B,1.383B,,,,-357.50M,3.942B
2001-10,1.03B,176.20M,1.206B,2.922B,,9.904B,12.83B,,,,,1.506B,,15.54B,,,,,,,5.195B,-3.143B,2.052B,,874.00M,874.00M,,,883.10M,3.315B,7.124B,22.66B,3.097B,,,,3.097B,44.10M,3.141B,,,,,6.198B,,6.198B,,,,116.90M,9.457B,6.561B,,6.561B,12.90M,12.90M,,,,2.641B,9.214B,18.67B,1.949B,3.835B,1.406B,,-285.50M,-100.20M,-385.70M,3.992B
2001-07,252.70M,159.20M,411.90M,12.79B,,,12.79B,550.00M,394.00M,1.933B,,1.925B,1.943B,17.07B,,,,,,,5.100B,-3.143B,1.957B,,777.90M,777.90M,,,827.00M,1.412B,4.974B,22.04B,2.784B,,,,2.784B,120.70M,2.904B,,,,,6.081B,,6.081B,,,,117.60M,9.102B,6.157B,,6.157B,,,,,,2.454B,8.611B,17.71B,1.864B,4.216B,1.425B,,-307.30M,-18.10M,-325.40M,4.330B
2001-04,484.40M,137.00M,621.40M,12.48B,,,12.48B,561.00M,436.00M,2.13B,,2.173B,1.915B,17.19B,,,,,,,5.072B,-3.143B,1.929B,,795.60M,795.60M,,,792.50M,1.393B,4.910B,22.10B,2.972B,,,,2.972B,89.10M,3.061B,,,,,5.665B,,5.665B,,,,143.40M,8.870B,6.428B,,6.428B,,,,,,2.461B,8.890B,17.76B,1.865B,4.197B,1.427B,,-283.70M,-10.20M,-293.90M,4.341B
2001-01,311.60M,139.10M,450.70M,11.44B,,,11.44B,520.00M,450.00M,2.176B,,2.186B,1.925B,16.00B,,,,,,,5.055B,-3.143B,1.912B,,819.60M,819.60M,,,741.00M,1.271B,4.744B,20.74B,2.756B,,,,2.756B,48.40M,2.804B,,,,,5.561B,,5.561B,,,,109.80M,8.475B,5.465B,,5.465B,13.20M,13.20M,,,,2.468B,7.947B,16.42B,1.865B,4.122B,1.430B,,-223.50M,-11.50M,-235.00M,4.322B
2000-10,291.70M,127.40M,419.10M,12.07B,,,12.07B,,,,,1.553B,1.954B,16.00B,,,,,,,5.055B,-3.143B,1.912B,,652.20M,652.20M,,,,1.907B,4.472B,20.47B,2.976B,,,,2.976B,,2.976B,,,,,5.758B,,5.758B,,,,153.60M,8.888B,4.764B,,4.764B,74.60M,74.60M,,,,2.440B,7.279B,16.17B,1.864B,4.117B,1.439B,,-222.40M,-18.30M,-240.70M,4.302B
2000-07,351.70M,116.00M,467.70M,,,,11.65B,,,,,1.725B,1.855B,15.70B,,,,,,,2.12B,-316.40M,1.804B,,708.80M,708.80M,,,,1.894B,4.407B,20.10B,2.670B,,,,2.670B,,2.670B,,,,,5.247B,,5.247B,,,,281.60M,8.199B,5.005B,,5.005B,53.40M,53.40M,,,,2.493B,7.552B,15.75B,1.861B,4.102B,1.438B,,,,-172.30M,4.352B
2000-04,370.40M,112.70M,483.10M,,,,11.74B,,,,,1.877B,1.818B,15.92B,,,,,,,4.917B,-3.139B,1.778B,,713.10M,713.10M,,,,1.797B,4.288B,20.21B,2.718B,,,,2.718B,,2.718B,,,,,6.563B,,6.563B,,,,197.50M,9.478B,3.960B,,3.960B,64.40M,64.40M,,,,2.486B,6.511B,15.99B,1.861B,3.990B,1.456B,,,,-178.70M,4.216B
2000-01,297.50M,115.50M,413.00M,,,,10.46B,,,,,1.781B,1.753B,14.40B,,,,,,,4.890B,-3.139B,1.751B,,294.10M,294.10M,,,,1.695B,3.741B,18.14B,2.328B,,,,2.328B,,2.328B,,,,,5.493B,,5.493B,,,,212.20M,8.033B,3.457B,,3.457B,61.80M,61.80M,,,,2.498B,6.017B,14.05B,1.855B,3.842B,1.460B,,,,-141.70M,4.095B
1999-10,295.50M,315.50M,611.00M,10.30B,,,10.30B,,,,,1.294B,1.655B,13.86B,,,,,,,4.890B,-3.108B,1.782B,,295.10M,295.10M,,,,1.643B,3.720B,17.58B,2.433B,,,,2.433B,,2.433B,,,,,4.488B,,4.488B,,,,215.70M,7.137B,3.806B,,3.806B,63.00M,63.00M,,,,2.478B,6.347B,13.48B,1.850B,3.855B,1.469B,,-107.40M,-34.60M,-142.00M,4.094B
1999-07,352.30M,845.40M,1.198B,,,,10.96B,,,,,1.428B,1.500B,15.08B,,,,,,,4.839B,-3.104B,1.735B,,300.90M,300.90M,,,,1.614B,3.65B,18.73B,2.548B,,,,2.548B,,2.548B,,,,,5.359B,,5.359B,,,,583.10M,8.490B,3.628B,,3.628B,19.00M,19.00M,,,,2.409B,6.056B,14.55B,1.849B,3.939B,1.474B,,-101.90M,-28.20M,-130.10M,4.184B
1999-04,295.30M,,295.30M,,,,12.24B,,,,,1.584B,2.276B,16.40B,,,,,,,4.697B,-3.024B,1.673B,,273.90M,273.90M,,,,1.514B,3.461B,19.86B,2.587B,,,,2.587B,,2.587B,,,,,6.649B,,6.649B,,,,551.40M,9.787B,3.485B,,3.485B,18.40M,18.40M,,,,2.394B,5.898B,15.68B,,3.923B,,,,,,4.175B
1999-01,325.50M,,325.50M,,,,11.09B,,,,,1.615B,2.127B,15.16B,,,,,,,4.700B,-3.026B,1.674B,,212.00M,212.00M,,,,1.456B,3.342B,18.50B,2.360B,,,,2.360B,,2.360B,,,,,5.871B,,5.871B,,,,576.50M,8.807B,3.276B,,3.276B,18.30M,18.30M,,,,2.374B,5.668B,14.47B,,3.824B,,,,,,4.028B
1998-10,309.70M,,309.70M,10.96B,,,10.96B,,,,,1.287B,2.076B,14.64B,,,,,,,4.688B,-2.988B,1.700B,,217.60M,217.60M,,,,1.446B,3.364B,18.00B,2.853B,,,,2.853B,,2.853B,,,,,5.322B,,5.322B,,,,587.30M,8.763B,2.792B,,2.792B,19.70M,19.70M,,,,2.348B,5.159B,13.92B,,3.840B,,,,,,4.080B
1998-07,331.10M,,331.10M,,,,11.63B,,,,,1.337B,1.991B,15.29B,,,,,,,4.485B,-2.918B,1.567B,,191.30M,191.30M,,,,1.576B,3.334B,18.63B,2.705B,,,,2.705B,,2.705B,,,,,6.569B,,6.569B,,,,562.50M,9.837B,2.287B,,2.287B,20.30M,20.30M,,,,2.318B,4.626B,14.46B,,3.733B,,,,,,4.164B
