,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-06,1.258B,,,,-27.63M,460.93M,460.93M,6.45M,,,32.91M,-171.79M,-84.49M,156.24M,28.63M,-189.39M,-0.588M,-261.39M,,1.470B,,-740.20M,,-740.20M,,-124.84M,-387.05M,-132.99M,-1.385B,,,,58.92M,220.04M,-172.24M,47.80M,,-206.25M,,25.88M,-73.65M,,135.32M,11.03M,0.202M,146.56M,2007-06,,220.04M,,,-172.24M,,,
2007-03,1.181B,,,,-48.96M,440.98M,440.98M,-30.36M,,,45.76M,-455.20M,-175.78M,-175.47M,-63.00M,280.03M,17.97M,-571.46M,,1.017B,,-554.32M,,-554.32M,,-18.17M,314.67M,-113.63M,-371.45M,,,,-406.82M,184.32M,-332.44M,-148.12M,,-147.33M,,26.28M,-675.98M,,165.82M,-30.65M,0.149M,135.32M,2007-03,,184.32M,,,-332.44M,,,
2006-12,1.131B,,,,-60.01M,439.00M,439.00M,1.763M,,,44.03M,-99.79M,-8.855M,278.41M,-15.24M,-51.67M,-0.713M,102.15M,,1.658B,,-715.20M,,-715.20M,,-246.36M,-1.143B,-202.81M,-2.307B,,,,803.02M,95.91M,-119.34M,-23.42M,,-147.96M,,27.88M,659.52M,,156.12M,9.911M,-0.215M,165.82M,2006-12,,95.91M,,,-119.34M,,,
2006-09,999.82M,,,,-98.69M,392.76M,392.76M,-33.27M,,,87.97M,-202.93M,-75.28M,188.60M,-31.50M,78.37M,18.45M,-24.28M,,1.324B,,-725.92M,,-725.92M,,2.388B,-2.230B,22.76M,-544.39M,,,,-202.00M,40.32M,-481.54M,-441.22M,,-148.35M,,0.00,-791.57M,,173.01M,-11.64M,-5.251M,156.12M,2006-09,,40.32M,,,-481.54M,,,
2006-06,856.90M,,,,21.59M,375.04M,375.04M,-25.86M,,,-30.21M,-178.70M,-88.29M,178.21M,-30.70M,63.97M,92.36M,36.85M,,1.234B,,-559.74M,,-559.74M,,-2.660B,1.483B,-80.01M,-1.817B,,,,875.35M,141.60M,-212.67M,-71.07M,,-147.51M,,-59.65M,597.13M,,153.32M,14.51M,5.189M,173.01M,2006-06,,141.60M,,,-212.67M,,,
2006-03,722.51M,,,,0.848M,354.60M,354.60M,61.96M,,,36.44M,-379.14M,-49.72M,-237.01M,-17.19M,71.91M,,-611.14M,,565.22M,,-466.94M,,-466.94M,,-66.34M,184.47M,-79.43M,-428.24M,,,,39.87M,163.71M,-254.30M,-90.59M,,-123.86M,,,-174.58M,,190.95M,-37.59M,-0.044M,153.32M,2006-03,,163.71M,,,-254.30M,,,
2005-12,652.58M,,,,5.099M,358.88M,358.88M,-6.131M,,,-46.61M,-161.16M,-37.08M,271.90M,-45.82M,115.98M,-13.36M,130.45M,9.00M,1.103B,,-430.37M,361.85M,-68.52M,,-41.17M,-470.58M,-296.03M,-876.31M,,,,326.32M,-206.90M,-204.04M,-410.93M,,-123.94M,,-15.00M,-220.58M,,183.82M,6.38M,0.753M,190.95M,2005-12,,-206.90M,,,-204.04M,,,
2005-09,548.78M,,,,-9.41M,337.11M,337.11M,36.61M,,,46.61M,-211.52M,-28.62M,-25.31M,17.98M,-32.48M,149.26M,-130.70M,-16.97M,812.02M,,-462.78M,-264.14M,-726.92M,,-12.02M,-142.21M,308.56M,-572.58M,,,,-31.79M,88.33M,-145.17M,-56.84M,,-123.49M,,-15.00M,-227.12M,,172.50M,12.32M,-0.998M,183.82M,2005-09,,88.33M,,,-145.17M,,,
2005-06,473.20M,,,,-46.96M,326.52M,326.52M,1.876M,,,1.841M,-12.28M,-58.66M,78.49M,-56.93M,66.37M,-46.86M,-29.87M,9.00M,735.60M,,-383.22M,12.47M,-370.75M,,-55.59M,-21.84M,14.29M,-433.89M,,,,-104.28M,66.95M,-189.43M,-122.48M,,-123.81M,,,-350.58M,,222.24M,-48.86M,-0.885M,172.50M,2005-06,,66.95M,,,-189.43M,,,
2005-03,524.44M,,,,-143.24M,328.46M,328.46M,-1.876M,,,-1.841M,-331.26M,-55.74M,-18.82M,-41.53M,95.41M,,-351.94M,-1.028M,352.99M,,-316.14M,251.67M,-64.47M,,,-72.13M,-25.10M,-161.70M,,,,-60.71M,51.61M,-73.01M,-21.40M,,-110.34M,,,-192.45M,,223.50M,-1.163M,-0.099M,222.24M,2005-03,,51.61M,,,-73.01M,,,
2004-12,351.40M,,,,4.416M,339.30M,339.30M,-33.41M,,,,257.92M,28.61M,-486.19M,34.17M,42.67M,111.03M,-11.78M,24.70M,674.61M,,-417.87M,1.713B,1.295B,,-30.70M,-451.42M,-1.778B,-964.92M,,,,192.45M,64.88M,-83.67M,-18.79M,,-110.33M,,0.00,63.33M,,450.20M,-226.98M,0.279M,223.50M,2004-12,,64.88M,,,-83.67M,,,
2004-09,297.96M,,,,81.53M,323.00M,323.00M,40.19M,,,,-150.28M,-73.12M,203.88M,-21.80M,-84.52M,-7.213M,-133.06M,25.12M,634.75M,,-330.12M,-1.536B,-1.866B,,0.00,71.42M,1.761B,-32.88M,,,,-63.30M,88.73M,-236.56M,-147.82M,,-110.67M,,0.00,-321.79M,,170.21M,280.09M,-0.093M,450.20M,2004-09,,88.73M,,,-236.56M,,,
2004-06,257.25M,,,,-41.19M,320.02M,320.02M,66.66M,,,-32.61M,-245.44M,-55.62M,209.10M,-2.404M,58.74M,-45.09M,-80.71M,-56.48M,432.94M,,-271.06M,833.25M,562.19M,,-12.13M,1.507B,-714.63M,1.342B,,,,-1.474B,2.56M,,2.56M,,-110.38M,,-181.53M,-1.764B,,157.33M,11.77M,1.11M,170.21M,2004-06,,2.56M,,,,,,
2004-03,107.44M,,,,140.50M,325.61M,325.61M,-66.66M,,,32.61M,-277.07M,-66.56M,-222.42M,-2.108M,125.57M,,-442.59M,57.44M,154.36M,,-196.81M,702.41M,505.60M,,,241.40M,590.32M,1.337B,,,,-1.581B,121.94M,,121.94M,,-109.85M,,,-1.568B,,234.19M,-76.74M,-0.123M,157.33M,2004-03,,121.94M,,,,,,
2003-12,163.18M,,,,50.32M,129.14M,129.14M,-14.90M,,,,267.48M,-8.641M,138.47M,-31.66M,96.88M,-38.64M,423.90M,18.80M,770.42M,,-180.81M,142.63M,-38.18M,,,-961.02M,194.68M,-804.52M,,,,14.45M,51.40M,,51.40M,,-109.73M,,167.80M,123.92M,,140.80M,89.83M,3.568M,234.19M,2003-12,,51.40M,,,,,,
2003-09,-55.32M,,,,291.93M,410.85M,410.85M,-21.91M,,,,14.15M,12.74M,-164.11M,33.53M,13.02M,-2.055M,-92.72M,3.946M,536.76M,,-236.08M,307.88M,71.80M,,,1.125B,-72.85M,1.124B,,,,-1.529B,20.77M,,20.77M,,-109.23M,,-167.80M,-1.785B,,263.96M,-124.70M,1.532M,140.80M,2003-09,,20.77M,,,,,,
2003-06,141.01M,,,,86.26M,454.13M,454.13M,-19.76M,,,-24.92M,-152.97M,47.83M,43.18M,-35.10M,42.40M,67.86M,13.21M,-4.694M,645.24M,,-258.45M,11.68M,-246.77M,,,-1.475B,-61.16M,-1.783B,,,,1.265B,97.32M,,97.32M,,-109.16M,,,1.253B,,145.51M,116.00M,2.463M,263.96M,2003-06,,97.32M,,,,,,
2003-03,149.30M,,,,2.083M,346.99M,346.99M,44.29M,,,24.92M,-163.34M,4.709M,-321.05M,-23.98M,17.08M,,-486.57M,0.956M,81.97M,,-196.20M,66.48M,-129.72M,,,270.85M,-70.12M,71.01M,,,,-68.59M,3.01M,,3.01M,,-108.90M,,,-174.48M,,168.11M,-21.50M,-1.108M,145.51M,2003-03,,3.01M,,,,,,
2002-12,-52.49M,,,,179.57M,146.60M,146.60M,-57.10M,,,275.53M,347.04M,-12.75M,-573.09M,202.09M,60.88M,39.84M,64.02M,133.24M,689.37M,,-137.53M,403.18M,265.65M,,-44.43M,-138.23M,-138.82M,-55.83M,,,,-516.79M,6.477M,,6.477M,,-108.87M,,,-619.18M,,153.83M,14.36M,-0.079M,168.11M,2002-12,,6.477M,,,,,,
2002-09,193.51M,,,,36.27M,415.46M,415.46M,-11.79M,,,-275.53M,133.72M,18.62M,16.04M,17.88M,-1.674M,108.08M,292.68M,-18.20M,632.41M,,-322.85M,57.17M,-265.68M,,23.26M,237.10M,-9.931M,-15.25M,,,,-530.91M,19.75M,,19.75M,,-108.24M,,,-619.41M,,153.36M,-2.246M,2.718M,153.83M,2002-09,,19.75M,,,,,,
2002-06,187.98M,,,,-3.864M,385.35M,385.35M,3.599M,,,,108.37M,44.75M,-115.18M,-54.97M,-47.44M,-117.10M,-181.58M,5.248M,396.74M,,-343.06M,140.28M,-202.78M,,-75.60M,-259.26M,-170.59M,-708.23M,,,,328.56M,111.87M,,111.87M,,-108.04M,,,332.39M,,127.65M,20.89M,4.811M,153.36M,2002-06,,111.87M,,,,,,
2002-03,159.85M,,,,24.59M,361.25M,361.25M,16.58M,,,,68.21M,-54.34M,-224.89M,-52.51M,-25.43M,9.019M,-279.94M,12.95M,295.29M,,-366.53M,29.65M,-336.87M,,-150.16M,211.72M,-126.09M,-401.39M,,,,127.90M,36.99M,,36.99M,,-107.98M,,,56.92M,,177.70M,-49.19M,-0.864M,127.65M,2002-03,,36.99M,,,,,,
2001-12,153.38M,,,,-21.40M,519.25M,519.25M,-6.388M,,,-39.32M,11.20M,46.47M,17.33M,48.53M,-24.24M,,99.30M,,736.34M,,-545.39M,650.78M,105.38M,,-452.95M,-152.30M,255.95M,-243.92M,,,,-431.26M,5.385M,,5.385M,,-107.94M,,,-533.82M,,226.89M,-41.40M,-7.783M,177.70M,2001-12,,5.385M,,,,,,
2001-09,194.65M,,,,30.54M,464.77M,464.77M,0.046M,,,160.69M,-290.72M,-18.91M,50.55M,14.70M,46.89M,,-197.48M,,653.20M,,-490.24M,283.00M,-207.24M,,353.02M,73.16M,-490.80M,-271.86M,,,,-295.02M,32.20M,,32.20M,,-107.54M,,,-370.36M,,220.50M,10.98M,-4.591M,226.89M,2001-09,,32.20M,,,,,,
2001-06,-93.28M,,,,264.98M,484.52M,484.52M,46.56M,,,-283.98M,-262.99M,-81.06M,-46.94M,2.876M,-61.76M,29.46M,-420.42M,,-1.621M,,-595.29M,-19.58M,-614.87M,,-4.836B,1.451B,940.24M,-3.060B,,,,3.213B,69.13M,,69.13M,,-107.46M,,,3.175B,,107.10M,113.40M,,220.50M,2001-06,,69.13M,,,,,,
2001-03,235.89M,,,,-8.037M,419.03M,419.03M,-22.63M,,,,-365.03M,-205.79M,183.81M,-74.16M,80.16M,-29.46M,-410.47M,,213.78M,,-413.08M,19.58M,-393.50M,,-295.86M,1.059B,-1.151B,-781.26M,,,,606.20M,15.05M,,15.05M,,-107.38M,,,513.86M,,160.72M,-53.62M,,107.10M,2001-03,,15.05M,,,,,,
2000-12,223.78M,,,,3.158M,343.91M,343.91M,17.92M,,,-221.90M,-204.25M,-86.09M,391.00M,-2.657M,124.62M,,222.63M,,604.92M,,-175.16M,213.53M,38.37M,,-1.075B,474.90M,-16.57M,-578.75M,,,,105.79M,9.772M,,9.772M,,-107.31M,,,8.251M,,145.37M,34.42M,,160.72M,2000-12,,9.772M,,,,,,
2000-09,204.60M,,,,-9.689M,295.26M,295.26M,11.01M,,,105.93M,63.05M,-51.39M,45.42M,-36.00M,-151.08M,,-130.00M,,477.11M,,-612.49M,36.74M,-575.74M,,261.45M,-59.59M,-73.41M,-447.30M,,,,15.62M,48.34M,,48.34M,,-106.79M,,,-42.83M,,158.38M,-13.01M,,145.37M,2000-09,,48.34M,,,,,,
2000-06,155.92M,,,,-5.434M,369.60M,369.60M,6.71M,,,-106.43M,-77.38M,-7.347M,99.63M,,14.72M,,29.63M,,450.00M,,-318.35M,25.27M,-293.08M,,-233.72M,41.92M,-129.57M,-614.46M,,,,196.20M,87.30M,,87.30M,,-106.26M,,,177.25M,,145.59M,12.79M,,158.38M,2000-06,,87.30M,,,,,,
2000-03,136.16M,,,,7.167M,254.29M,254.29M,-30.38M,,,0.496M,-145.56M,-49.81M,-42.95M,,24.58M,,-213.73M,,154.00M,,-210.61M,28.79M,-181.82M,,-27.73M,94.39M,-31.41M,-146.57M,,,,27.73M,83.95M,,83.95M,,-106.11M,,,5.571M,,132.59M,13.00M,,145.59M,2000-03,,83.95M,,,,,,
1999-12,11.26M,,,,419.91M,187.93M,187.93M,-7.872M,,,-182.50M,113.53M,-65.54M,91.44M,4.337M,-37.96M,,105.81M,,534.54M,,55.90M,-139.02M,-83.12M,,,-487.14M,-27.52M,-597.78M,,,,-387.11M,481.76M,,481.76M,,-103.06M,,,-8.401M,,204.26M,-71.64M,,132.60M,1999-12,,481.76M,,,,,,
1999-09,138.98M,,,,-13.23M,280.40M,280.40M,-12.63M,,,13.49M,25.13M,-20.85M,-64.14M,-4.80M,-29.69M,,-94.35M,,312.66M,,-583.60M,207.02M,-376.58M,,54.58M,-196.39M,-161.71M,-680.10M,,,,466.42M,50.54M,,50.54M,,-102.60M,,,414.35M,,157.35M,46.92M,,204.26M,1999-09,,50.54M,,,,,,
1999-06,127.29M,,,,-28.85M,300.56M,300.56M,-5.729M,,,-44.58M,32.47M,72.32M,-42.60M,0.463M,7.545M,-57.57M,12.64M,,361.32M,,-161.78M,,-161.78M,,-54.58M,112.26M,-192.02M,-296.13M,,,,-8.207M,69.99M,,69.99M,,-102.44M,,0.10M,-40.55M,,132.80M,24.64M,,157.35M,1999-06,,69.99M,,,,,,
1999-03,89.17M,,,,-11.62M,252.01M,252.01M,4.529M,,,31.10M,94.47M,-29.53M,-166.40M,,-9.204M,57.57M,-53.10M,,312.08M,,-237.81M,,-237.81M,,,276.17M,-75.34M,-36.99M,,,,-166.40M,21.20M,,21.20M,,-102.40M,,-0.10M,-247.70M,,105.30M,27.39M,,132.80M,1999-03,,21.20M,,,,,,
1998-12,277.80M,,,,130.60M,166.50M,166.50M,-61.90M,,,-17.30M,207.00M,30.20M,77.10M,,-29.00M,,285.30M,,781.00M,,-90.80M,101.10M,10.30M,,,-2.292B,1.731B,-551.20M,,,,-163.40M,7.90M,,7.90M,,-102.30M,,,-257.80M,,133.40M,-28.00M,,105.30M,1998-12,,7.90M,,,,,,
1998-09,-29.40M,,,,389.90M,288.50M,288.50M,-18.80M,,,-18.20M,110.50M,-1.10M,-145.40M,,58.20M,,22.20M,,634.20M,,-517.00M,22.30M,-494.70M,,,-51.40M,-2.156B,-2.703B,,,,2.045B,45.90M,,45.90M,,-95.50M,,0.10M,1.996B,,232.70M,-72.60M,,133.40M,1998-09,,45.90M,,,,,,
1998-06,387.50M,,,,1.70M,283.60M,283.60M,-8.50M,,,-57.40M,-153.80M,-57.70M,56.90M,,11.20M,,-143.40M,,463.50M,,-507.40M,23.40M,-484.00M,,,-18.50M,2.50M,-500.00M,,,,111.20M,69.80M,,69.80M,,-95.40M,,-0.10M,85.50M,,183.60M,49.00M,,232.70M,1998-06,,69.80M,,,,,,
