,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,,141.82M,118.92M,260.74M,326.01M,326.01M,52.78M,48.57M,175.71M,277.06M,110.12M,,,973.94M,,,,,,,660.67M,-309.10M,351.57M,1.122B,71.52M,1.193B,96.09M,1.641B,2.615B,87.15M,,87.15M,193.84M,280.99M,,7.02M,,7.02M,,7.02M,,,34.41M,322.42M,495.67M,,495.67M,51.72M,51.72M,0.28M,291.20M,838.58M,1.161B,1.628M,1.519B,169.41M,361.00M,218.29M,-94.16M,124.14M,1.454B
2007-06,,69.43M,110.79M,180.22M,322.90M,322.90M,45.26M,47.17M,157.43M,249.86M,116.76M,,,869.74M,,,,,,,643.05M,-309.10M,333.95M,1.020B,71.42M,1.091B,93.43M,1.519B,2.389B,87.03M,,87.03M,171.54M,258.57M,,5.104M,,5.104M,,5.104M,,,27.40M,291.08M,397.12M,,397.12M,56.72M,56.72M,0.249M,244.92M,698.76M,989.84M,1.628M,1.461B,167.77M,333.29M,162.88M,-61.02M,101.86M,1.398B
2007-03,,104.08M,32.84M,136.92M,311.00M,311.00M,49.03M,44.98M,153.51M,247.52M,120.96M,,,816.40M,,,,,,,640.79M,-309.10M,331.69M,998.40M,67.51M,1.066B,80.76M,1.478B,2.295B,85.03M,,85.03M,152.50M,237.54M,,9.759M,,9.759M,,9.759M,,,17.68M,264.98M,413.36M,,413.36M,44.60M,44.60M,0.235M,233.56M,691.51M,956.49M,1.628M,1.400B,167.98M,319.94M,148.71M,-60.83M,87.88M,1.338B
2006-12,,65.06M,0.079M,65.14M,290.79M,290.79M,45.42M,43.86M,143.17M,232.44M,129.82M,,,718.19M,0.0,37.34M,208.12M,378.57M,,14.70M,638.72M,-309.10M,329.62M,995.38M,67.65M,1.063B,70.51M,1.463B,2.181B,79.95M,,79.95M,181.20M,261.15M,,2.995M,,2.995M,,2.995M,,,47.29M,311.43M,367.16M,,367.16M,53.19M,53.19M,0.222M,175.51M,595.86M,907.29M,1.628M,1.352B,168.14M,328.18M,135.34M,-55.43M,79.91M,1.274B
2006-09,,331.82M,128.30M,460.13M,296.07M,296.07M,49.98M,42.01M,144.29M,236.28M,144.53M,,,1.137B,,,,,,,579.05M,-258.27M,320.78M,969.78M,67.83M,1.038B,71.54M,1.430B,2.567B,74.62M,,74.62M,169.53M,244.15M,,443.11M,,443.11M,,443.11M,,,76.10M,763.36M,329.20M,,329.20M,43.97M,43.97M,0.212M,144.54M,517.72M,1.281B,0.814M,1.294B,172.00M,249.89M,,,68.44M,1.286B
2006-06,,475.42M,,475.42M,299.05M,299.05M,49.55M,43.09M,136.73M,229.37M,,,155.23M,1.159B,,,,,,,580.18M,-258.27M,321.91M,975.16M,67.98M,1.043B,42.59M,1.408B,2.567B,76.66M,,76.66M,163.84M,240.51M,,388.72M,,388.72M,,388.72M,,,86.95M,716.18M,413.31M,,413.31M,37.12M,37.12M,0.213M,149.50M,599.93M,1.316B,0.814M,1.250B,169.35M,237.74M,,,67.75M,1.250B
2006-03,,412.72M,,412.72M,275.11M,275.11M,45.22M,42.85M,138.37M,226.44M,149.86M,,,1.064B,,,,,,,568.10M,-258.27M,309.82M,945.46M,67.71M,1.013B,55.04M,1.378B,2.442B,88.41M,,88.41M,143.60M,232.00M,,477.79M,,477.79M,,477.79M,,,68.48M,778.27M,186.86M,,186.86M,43.76M,43.76M,0.183M,123.61M,354.23M,1.132B,0.814M,1.196B,169.20M,120.65M,,,63.79M,1.309B
2005-12,,433.98M,0.541M,434.52M,254.82M,254.82M,39.72M,40.89M,127.57M,208.18M,135.56M,,,1.033B,0.0,41.94M,194.44M,327.71M,,10.40M,574.49M,-258.27M,316.22M,933.23M,68.60M,1.002B,59.24M,1.377B,2.410B,82.32M,,82.32M,162.89M,245.21M,,412.21M,,412.21M,,412.21M,,,86.86M,744.28M,270.10M,,270.10M,42.91M,42.91M,0.188M,106.30M,419.31M,1.164B,0.814M,1.152B,175.62M,138.15M,,,56.45M,1.247B
2005-09,,398.58M,,398.58M,259.92M,259.92M,44.64M,42.90M,141.41M,228.96M,99.53M,,,986.99M,,,,,,,625.70M,-249.36M,376.34M,,1.054B,1.054B,48.64M,1.479B,2.466B,78.83M,,78.83M,161.13M,239.96M,,66.28M,,66.28M,,66.28M,,,57.65M,363.89M,684.60M,,684.60M,55.79M,55.79M,0.61M,105.13M,845.52M,1.209B,0.814M,1.158B,179.18M,162.60M,,,80.32M,1.256B
2005-06,,365.68M,,365.68M,264.64M,264.64M,44.38M,42.28M,137.56M,224.22M,92.59M,,,947.13M,,,,,,,627.47M,-249.36M,378.11M,,1.194B,1.194B,53.23M,1.625B,2.572B,87.85M,,87.85M,154.80M,242.65M,,69.28M,,69.28M,,69.28M,,,61.48M,373.41M,658.08M,,658.08M,64.38M,64.38M,0.603M,108.14M,830.60M,1.204B,0.814M,1.224B,180.44M,117.24M,,,80.10M,1.368B
2005-03,,436.70M,,436.70M,251.26M,251.26M,,,,224.09M,,,113.64M,1.026B,,,,,,,646.15M,-249.36M,396.79M,,1.224B,1.224B,50.24M,1.671B,2.696B,105.00M,,105.00M,153.13M,258.13M,,69.74M,,69.74M,,69.74M,,,65.55M,393.42M,700.90M,,700.90M,56.34M,56.34M,0.587M,111.36M,868.59M,1.262B,0.814M,1.170B,184.40M,44.16M,,,122.28M,1.434B
2004-12,,506.37M,,506.37M,238.87M,238.87M,41.13M,42.43M,130.15M,213.71M,97.46M,,,1.056B,0.0,47.36M,197.03M,331.41M,,73.45M,649.24M,-249.36M,399.88M,,1.262B,1.262B,79.86M,1.742B,2.798B,91.58M,,91.58M,179.76M,271.34M,,72.88M,,72.88M,,72.88M,,,60.39M,404.61M,779.94M,,779.94M,58.20M,58.20M,0.60M,110.83M,948.96M,1.354B,0.814M,1.126B,189.28M,36.48M,,,164.10M,1.444B
2004-09,,407.35M,,407.35M,241.87M,241.87M,40.63M,42.12M,129.31M,212.05M,93.69M,,,954.96M,,,,,,,591.04M,-209.95M,381.09M,,1.196B,1.196B,86.16M,1.663B,2.618B,73.95M,,73.95M,163.60M,237.55M,,22.48M,,22.48M,,22.48M,,,55.52M,315.54M,781.96M,,781.96M,66.99M,66.99M,0.079M,140.73M,989.68M,1.305B,0.814M,1.061B,186.13M,32.08M,,,96.37M,1.313B
2004-06,,344.40M,,344.40M,245.44M,245.44M,40.00M,41.75M,121.43M,203.18M,89.58M,,,882.60M,,,,,,,586.18M,-209.95M,376.22M,,1.187B,1.187B,89.64M,1.653B,2.535B,84.72M,,84.72M,150.10M,234.82M,,23.32M,,23.32M,,23.32M,,,46.82M,304.96M,771.34M,,771.34M,67.18M,67.18M,0.181M,134.94M,973.47M,1.278B,0.814M,1.019B,183.54M,28.57M,,,81.77M,1.257B
2004-03,,287.71M,,287.71M,248.39M,248.39M,41.37M,41.10M,125.36M,207.84M,89.71M,,,833.64M,,,,,,,584.52M,-209.95M,374.57M,,1.199B,1.199B,108.12M,1.682B,2.515B,78.28M,,78.28M,158.12M,236.39M,,22.76M,,22.76M,,22.76M,,,63.55M,322.70M,787.47M,,787.47M,47.79M,47.79M,0.313M,143.39M,978.65M,1.301B,0.814M,974.21M,179.56M,31.99M,,,91.02M,1.214B
2003-12,,163.76M,,163.76M,241.38M,241.38M,40.30M,42.00M,123.29M,205.59M,88.46M,,28.26M,727.45M,0.0,40.55M,190.22M,295.35M,,60.04M,586.16M,-209.95M,376.21M,,1.210B,1.210B,132.18M,1.718B,2.446B,86.34M,,86.34M,172.68M,259.02M,,21.97M,,21.97M,,21.97M,,,56.69M,337.68M,790.20M,,790.20M,51.24M,51.24M,0.418M,143.97M,985.42M,1.323B,0.814M,889.60M,166.95M,39.84M,,,104.54M,1.122B
2003-09,,91.01M,,91.01M,242.94M,242.94M,44.84M,43.01M,142.20M,230.05M,79.81M,,,643.81M,,,,544.84M,,,544.84M,-185.42M,359.42M,,1.189B,1.189B,139.90M,1.689B,2.332B,81.31M,,81.31M,172.00M,253.31M,,22.70M,,22.70M,,22.70M,,,131.70M,407.70M,783.39M,,783.39M,14.63M,14.63M,0.607M,91.72M,889.74M,1.297B,0.814M,843.38M,164.33M,42.25M,,,68.09M,1.034B
2003-06,,81.40M,,81.40M,243.81M,243.81M,45.07M,42.51M,142.02M,229.59M,82.49M,,,637.30M,,,,534.39M,,,534.39M,-185.42M,348.97M,,1.179B,1.179B,139.37M,1.667B,2.304B,79.51M,,79.51M,174.47M,253.98M,,5.365M,,5.365M,,5.365M,,,120.23M,379.58M,824.97M,,824.97M,27.04M,27.04M,1.32M,93.32M,945.33M,1.325B,0.814M,806.22M,161.98M,45.09M,,,54.06M,977.98M
2003-03,,46.18M,,46.18M,228.86M,228.86M,45.69M,40.66M,142.55M,228.90M,73.91M,,,577.85M,,,,,,,514.43M,-185.42M,329.01M,,1.157B,1.157B,125.10M,1.611B,2.189B,77.06M,,77.06M,175.00M,252.06M,,4.421M,,4.421M,,4.421M,,,114.39M,370.87M,797.63M,,797.63M,30.71M,30.71M,1.335M,91.84M,920.18M,1.291B,0.814M,765.63M,157.93M,51.07M,,,23.21M,896.51M
2002-12,,25.65M,,25.65M,221.26M,221.26M,40.44M,39.06M,134.99M,214.49M,79.60M,,,541.00M,0.0,34.75M,160.57M,274.92M,,28.37M,498.60M,-185.42M,313.18M,,1.135B,1.135B,98.35M,1.546B,2.087B,66.62M,,66.62M,190.78M,257.41M,,4.55M,,4.55M,,4.55M,,,103.79M,365.74M,769.82M,,769.82M,27.04M,27.04M,1.259M,87.24M,884.10M,1.250B,0.814M,730.97M,156.90M,52.48M,,,-0.275M,835.93M
2002-09,,23.90M,,23.90M,208.36M,208.36M,45.56M,38.03M,136.20M,219.79M,,,60.04M,512.08M,,,,,,,484.16M,-189.75M,294.42M,,1.104B,1.104B,85.26M,1.484B,1.996B,62.12M,,62.12M,192.58M,254.70M,,,,7.694M,,7.694M,,,111.73M,374.13M,772.96M,,772.96M,21.47M,21.47M,1.232M,72.00M,866.42M,1.241B,0.814M,692.31M,155.47M,54.26M,,,-40.01M,754.32M
2002-06,,17.69M,,17.69M,221.32M,221.32M,,,,222.91M,60.25M,,,522.16M,,,,,,,476.48M,-189.75M,286.73M,,1.076B,1.076B,86.18M,1.449B,1.971B,65.29M,,65.29M,179.44M,244.73M,,,,9.852M,,9.852M,,,106.09M,360.68M,786.18M,,786.18M,12.62M,12.62M,0.573M,76.39M,875.19M,1.236B,0.814M,660.14M,154.88M,55.48M,,,-26.04M,734.32M
2002-03,,19.84M,,19.84M,205.96M,205.96M,45.08M,37.36M,121.73M,204.17M,60.11M,,,490.08M,,,,,,,456.08M,-189.75M,266.33M,,996.39M,996.39M,63.50M,1.326B,1.816B,62.59M,,62.59M,163.86M,226.46M,,10.66M,,10.66M,,10.66M,,,96.43M,333.55M,726.13M,,726.13M,33.17M,33.17M,0.463M,83.74M,843.04M,1.177B,0.814M,626.92M,153.69M,57.78M,-81.36M,-3.039M,-84.39M,639.25M
2001-12,,33.71M,,33.71M,191.53M,191.53M,42.88M,35.54M,119.03M,197.45M,,,61.54M,484.24M,0.0,19.75M,128.05M,262.26M,,20.57M,430.64M,-189.75M,240.89M,763.27M,248.89M,1.012B,60.86M,1.314B,1.798B,69.90M,,69.90M,194.36M,264.26M,,,,7.634M,,7.634M,,,86.62M,358.52M,723.52M,,723.52M,32.53M,32.53M,0.437M,73.63M,829.68M,1.188B,0.814M,597.41M,152.92M,60.82M,,,-80.81M,609.52M
2001-09,,11.88M,,11.88M,146.57M,146.57M,30.37M,26.98M,106.50M,163.85M,41.44M,,,363.74M,,,,,,,299.13M,-103.92M,195.22M,434.26M,172.08M,606.34M,53.88M,855.43M,1.219B,47.52M,,47.52M,113.72M,161.23M,,1.049M,,1.049M,,1.049M,,,46.78M,209.06M,343.15M,,343.15M,22.82M,22.82M,2.26M,48.36M,414.32M,623.39M,0.543M,567.14M,153.21M,62.21M,,,-65.16M,593.52M
2001-06,,16.96M,,16.96M,136.45M,136.45M,30.07M,26.15M,98.45M,154.67M,41.87M,,,349.96M,,,,,,,289.43M,-103.92M,185.52M,410.43M,165.09M,575.53M,51.83M,812.87M,1.163B,45.06M,,45.06M,101.22M,146.28M,,1.48M,,1.48M,,1.48M,,,36.02M,183.78M,340.12M,,340.12M,25.26M,25.26M,4.355M,46.64M,412.02M,595.79M,0.543M,544.78M,152.94M,63.90M,,,-71.70M,562.68M
2001-03,,15.34M,,15.34M,136.36M,136.36M,25.03M,25.64M,92.34M,143.00M,44.24M,,,338.94M,,,,,,,289.25M,-103.92M,185.34M,335.68M,167.16M,502.84M,48.70M,736.87M,1.076B,47.33M,,47.33M,96.33M,143.66M,,1.296M,,1.296M,,1.296M,,,40.46M,185.42M,272.33M,,272.33M,30.87M,30.87M,4.436M,46.25M,349.45M,534.87M,0.543M,520.94M,152.30M,66.62M,,,-70.67M,536.50M
2000-12,,15.43M,,15.43M,133.64M,133.64M,,,,133.30M,,,43.07M,325.45M,,,,,,,285.26M,-103.92M,181.34M,,344.75M,344.75M,15.07M,541.16M,866.62M,45.76M,,45.76M,,45.76M,,,,0.794M,,0.794M,,,121.58M,168.14M,109.50M,,109.50M,16.82M,16.82M,4.561M,47.23M,173.55M,341.68M,0.543M,490.17M,151.90M,68.00M,,,-54.23M,520.37M
2000-09,,8.16M,,8.16M,,126.73M,,,,138.46M,,,38.16M,311.51M,,,,,,,270.97M,-99.05M,171.92M,,339.04M,339.04M,22.12M,533.08M,844.59M,38.02M,,38.02M,,38.02M,,,,13.30M,,13.30M,,,129.64M,180.95M,112.91M,,112.91M,19.18M,19.18M,4.633M,44.23M,176.32M,357.27M,0.543M,462.85M,151.54M,69.04M,,,-63.22M,482.68M
2000-06,,6.892M,,6.892M,,131.48M,,,,139.22M,,,41.38M,318.97M,,,,,,,274.88M,-96.97M,177.91M,,338.71M,338.71M,15.41M,532.04M,851.01M,38.96M,,38.96M,,38.96M,,,,20.57M,,20.57M,,,121.07M,180.59M,121.23M,,121.23M,20.01M,20.01M,2.423M,45.90M,187.14M,367.74M,0.543M,442.74M,151.39M,59.83M,,,-53.99M,480.85M
2000-03,,7.298M,,7.298M,,124.90M,,,,136.50M,,,38.88M,307.57M,,,,,,,268.72M,-91.25M,177.46M,,343.70M,343.70M,14.83M,535.99M,843.56M,37.20M,,37.20M,,37.20M,,,,18.16M,,18.16M,,,121.34M,176.70M,134.16M,,134.16M,20.79M,20.79M,2.426M,44.93M,199.88M,376.58M,0.543M,421.35M,151.48M,55.26M,,,-53.56M,464.55M
1999-12,,11.42M,,11.42M,,127.91M,,,,135.48M,,,44.00M,318.81M,,,,,,,267.12M,-86.59M,180.54M,,349.42M,349.42M,14.96M,544.92M,863.73M,44.61M,,44.61M,,44.61M,,,,20.16M,,20.16M,,,115.60M,180.36M,145.31M,,145.31M,20.24M,20.24M,2.499M,46.44M,212.00M,392.36M,0.543M,402.41M,151.51M,35.92M,,,-49.67M,468.87M
1999-09,,9.40M,,9.40M,,132.10M,,,,141.70M,,,41.80M,325.00M,,,,,,,271.90M,-91.10M,180.80M,,355.50M,355.50M,20.90M,557.20M,882.20M,34.80M,,34.80M,,34.80M,,,,23.80M,,23.80M,,,129.70M,188.30M,170.40M,,170.40M,15.70M,15.70M,2.50M,49.60M,235.70M,424.00M,0.50M,377.20M,151.50M,32.20M,,,-41.40M,455.70M
1999-06,,10.80M,,10.80M,,134.60M,,,,137.40M,,,43.60M,326.40M,,,,,,,261.10M,-86.30M,174.80M,,359.90M,359.90M,20.20M,554.90M,881.30M,35.70M,,35.70M,,35.70M,,,,35.10M,,35.10M,,,126.20M,197.00M,186.10M,,186.10M,15.40M,15.40M,2.80M,46.80M,248.30M,445.30M,,359.50M,,,,,,433.20M
1999-03,,9.10M,,9.10M,,133.20M,,,,140.60M,,,40.00M,322.90M,,,,,,,250.00M,-82.90M,167.10M,,366.20M,366.20M,19.60M,552.90M,875.80M,36.20M,,36.20M,,36.20M,,,,35.00M,,35.00M,,,125.60M,196.80M,197.60M,,197.60M,17.70M,17.70M,3.00M,45.20M,260.50M,457.30M,,341.30M,,,,,,415.50M
1998-12,,8.70M,,8.70M,,134.20M,,,,139.20M,,,40.40M,322.50M,,,,,,,239.20M,-80.20M,159.00M,,346.10M,346.10M,67.70M,572.80M,895.30M,42.70M,,42.70M,,42.70M,,,,16.30M,,16.30M,,,135.40M,194.40M,217.50M,,217.50M,18.80M,18.80M,2.70M,48.10M,284.40M,478.80M,,324.70M,,,,,,413.80M
1998-09,,10.30M,,10.30M,,127.40M,,,,159.70M,,,31.90M,329.30M,,,,,,,224.30M,-65.00M,159.30M,,380.80M,380.80M,20.10M,560.20M,889.50M,40.10M,,40.10M,,40.10M,,,,30.60M,,30.60M,,,128.60M,199.30M,178.60M,,178.60M,30.20M,30.20M,11.50M,47.80M,256.60M,455.90M,,330.10M,,,,,,422.10M
1998-06,,6.80M,,6.80M,,128.20M,,,,152.60M,,,33.90M,321.50M,,,,,,,214.00M,-65.00M,149.00M,,378.20M,378.20M,20.60M,547.80M,869.30M,42.60M,,42.60M,,42.60M,,,,37.30M,,37.30M,,,120.20M,200.10M,171.70M,,171.70M,28.70M,28.70M,11.60M,49.30M,249.70M,449.80M,,315.10M,,,,,,407.90M
