,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-10,138.42M,,,15.46M,38.90M,3.359M,42.26M,42.26M,3.932M,,,-7.503M,,,,,,-297.41M,-25.84M,166.74M,-41.76M,,-40.02M,-142.10M,212.62M,-3.402M,27.10M,,,14.54M,-357.01M,-342.47M,,-55.64M,,25.22M,-372.89M,523.12M,-179.06M,-0.118M,343.95M,14.54M,,,-357.01M
2006-07,144.68M,,,-18.29M,42.18M,1.145M,43.33M,43.33M,-11.98M,,,-98.04M,,,,,,14.28M,14.28M,73.97M,-38.36M,,-38.36M,-14.91M,300.51M,0.269M,247.50M,,,20.17M,-305.16M,-284.99M,,-57.52M,,141.22M,-201.29M,402.49M,120.18M,0.451M,523.12M,20.17M,,,-305.16M
2006-04,145.82M,,,-10.55M,42.69M,0.404M,43.09M,43.09M,-4.776M,,,0.023M,,,,,,31.53M,31.53M,205.14M,-28.82M,,-28.82M,23.07M,20.53M,0.33M,15.10M,,,20.99M,-237.71M,-216.72M,,-44.19M,,14.74M,-246.17M,427.86M,-25.93M,0.562M,402.49M,20.99M,,,-237.71M
2006-01,120.56M,,,21.31M,43.08M,0.404M,43.48M,43.48M,-15.62M,,,1.016M,,,,,,4.517M,4.517M,175.26M,-20.36M,,-20.36M,,-228.06M,3.526M,-244.90M,,,38.68M,-125.10M,-86.41M,,-44.09M,,,-130.51M,627.59M,-200.15M,0.414M,427.86M,38.68M,,,-125.10M
2005-10,68.34M,,,50.37M,38.05M,0.342M,38.40M,38.40M,5.667M,,,1.473M,,,,,,4.977M,36.07M,200.32M,-21.03M,,-21.03M,,456.55M,3.976M,439.50M,,,17.00M,-240.80M,-223.79M,,-37.13M,,,-260.92M,248.05M,378.90M,0.639M,627.59M,17.00M,,,-240.80M
2005-07,121.40M,,,-2.584M,37.80M,0.672M,38.47M,38.47M,1.736M,,,4.06M,,,,,,17.22M,17.22M,180.31M,-18.91M,,-18.91M,,-235.18M,0.205M,-253.89M,,,43.97M,0.00,43.97M,,-37.03M,,,6.935M,314.37M,-66.64M,0.328M,248.05M,43.97M,,,0.00
2005-04,117.60M,,,0.786M,39.01M,0.685M,39.70M,39.70M,6.423M,,,0.033M,,,,,,10.66M,10.66M,175.20M,-21.63M,,-21.63M,,-117.82M,-0.096M,-139.55M,,,14.82M,-123.49M,-108.68M,,-22.26M,,,-130.93M,409.34M,-95.28M,0.314M,314.37M,14.82M,,,-123.49M
2005-01,107.44M,,,1.798M,38.31M,0.684M,39.00M,39.00M,0.778M,,,0.718M,,,,,,-32.86M,-32.86M,116.87M,-23.88M,,-23.88M,,-33.70M,1.559M,-56.02M,,,13.61M,-161.20M,-147.59M,,-22.58M,,,-170.17M,518.94M,-109.32M,-0.286M,409.34M,13.61M,,,-161.20M
2004-10,132.27M,,,20.28M,37.76M,0.677M,38.43M,38.43M,-3.365M,,,1.438M,,,,,,-3.456M,-6.916M,182.14M,-38.30M,,-38.30M,,149.70M,-13.15M,98.26M,,,15.32M,,-121.76M,,-22.57M,,,-144.33M,383.32M,136.06M,-0.436M,518.94M,15.32M,,,
2004-07,169.05M,,,0.00,37.33M,0.68M,38.01M,38.01M,15.95M,,,2.12M,,,,,,-57.36M,-57.36M,167.76M,-37.52M,,-37.52M,,-478.61M,2.366M,-513.77M,,,38.92M,,38.92M,,-22.58M,,,16.34M,712.26M,-329.66M,0.714M,383.32M,38.92M,,,
