,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-12,0.00,48.60M,48.60M,,,,,,2.27M,50.87M,,,,,,,,3.242B,,38.80M,38.80M,,186.83M,,,3.467B,3.597B,,,,,,258.60M,258.60M,,,,258.60M,1.698B,,1.698B,,,149.28M,,,1.698B,2.048B,,136.19M,-467.10M,1.446B,,,,,1.400B,,AOR,Restated
2005-09,38.17M,,38.17M,13.51M,,,13.51M,,2.39M,54.07M,,,,,,3.779B,-590.28M,3.189B,,23.24M,23.24M,49.75M,149.87M,,,3.412B,3.495B,,,,70.53M,,170.00M,170.00M,,,,240.53M,1.854B,,1.854B,19.02M,19.02M,140.90M,,,1.873B,1.944B,,421.03M,-446.09M,1.446B,285.17M,,,,1.410B,,AOR,Restated
2005-06,18.89M,,18.89M,13.63M,,,13.63M,,16.90M,49.42M,,,,,,3.462B,-565.56M,2.896B,,19.72M,19.72M,48.69M,147.65M,,,3.112B,3.188B,,,,62.76M,,115.30M,115.30M,,,,178.06M,1.566B,,1.566B,18.43M,18.43M,120.44M,,,1.584B,1.647B,,420.80M,-428.72M,1.440B,285.17M,,,,1.420B,,AOR,Restated
2005-03,17.81M,57.38M,75.19M,14.22M,,,14.22M,,,89.41M,,,,,,3.317B,-544.50M,2.772B,,18.52M,18.52M,57.38M,143.82M,,,2.992B,3.048B,,,,62.40M,,247.80M,247.80M,,,,310.20M,1.433B,,1.433B,17.32M,17.32M,121.84M,,,1.450B,1.512B,,419.49M,-409.92M,1.416B,285.17M,,,,1.414B,,AOR,Restated
2004-12,,,,,,,,,4.678M,4.678M,,,,,,,,2.817B,,18.87M,18.87M,,146.39M,,,2.982B,3.105B,,,,,,300.10M,300.10M,,,,300.10M,1.187B,,1.187B,,,121.78M,,,1.187B,1.563B,,133.66M,-402.72M,1.403B,,,,,1.419B,,AOR,Restated
2004-09,11.37M,,11.37M,16.91M,,,16.91M,,,28.28M,,,,,,3.268B,-513.52M,2.755B,,,,58.52M,144.53M,,,2.958B,3.014B,,,,60.58M,,142.80M,142.80M,,,,203.38M,1.390B,,1.390B,16.28M,16.28M,125.26M,,,1.407B,1.467B,,418.18M,-377.02M,1.391B,285.17M,,,,1.421B,,AOR,Restated
2004-06,11.55M,,11.55M,17.08M,,,17.08M,,,28.63M,,,,,,3.059B,-512.91M,2.546B,,,,72.34M,168.57M,,,2.787B,2.919B,,,,54.81M,,154.00M,154.00M,,,,208.81M,1.293B,,1.293B,14.74M,14.74M,117.19M,,,1.307B,1.362B,,417.80M,-350.77M,1.384B,285.17M,,,,1.439B,,AOR,Restated
2004-03,28.13M,,28.13M,16.42M,,,16.42M,,,44.55M,,,,,,2.969B,-494.27M,2.475B,,,,61.97M,176.66M,,,2.714B,2.857B,,,,57.35M,,90.00M,90.00M,,,,147.35M,1.217B,,1.217B,20.27M,20.27M,117.36M,,,1.237B,1.295B,,417.12M,-331.90M,1.373B,285.17M,,,,1.446B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,2.543B,,,,,267.61M,,,2.811B,3.036B,,,,,,198.00M,198.00M,,,,198.00M,1.209B,,1.209B,,,116.92M,,,1.209B,1.478B,,131.04M,-330.90M,1.355B,,,,,1.441B,,AOR,Restated
2003-09,9.706M,,9.706M,17.09M,,,17.09M,,,26.80M,,,,,,2.968B,-473.97M,2.494B,,,,28.48M,265.14M,,,2.787B,2.832B,,,,,,129.20M,129.20M,,,,129.20M,1.346B,,1.346B,,,67.77M,133.62M,,1.479B,1.555B,,160.72M,-306.56M,1.367B,96.51M,,,,1.210B,,AOR,Restated
2003-06,11.56M,,11.56M,18.87M,,,18.87M,,,30.43M,,,,,,2.808B,-458.69M,2.349B,,,,31.66M,311.53M,,,2.692B,2.744B,,,,,,,,,,,,1.391B,,1.391B,,,68.23M,,,1.391B,1.466B,,248.48M,-299.46M,1.272B,186.84M,,,,1.209B,,AOR,Restated
2003-03,13.44M,,13.44M,19.32M,,,19.32M,,,32.76M,,,,,,2.806B,-439.56M,2.366B,,,,32.22M,312.66M,,,2.711B,2.755B,,,,,,102.20M,102.20M,,,,102.20M,1.330B,,1.330B,,,12.83M,,,1.330B,1.459B,,334.78M,-281.00M,1.239B,274.49M,,,,1.283B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,,,2.371B,,,,,300.16M,,,2.672B,2.748B,,,,,,267.80M,267.80M,,,,267.80M,1.066B,,1.066B,,,71.54M,,,1.066B,1.396B,,118.94M,-264.62M,1.152B,,,,,1.281B,,AOR,Restated
2002-09,11.71M,,11.71M,19.24M,,,19.24M,,,30.95M,,,,,,2.756B,-404.81M,2.352B,,,,32.89M,277.16M,,,2.662B,2.703B,,,,,,213.50M,213.50M,,,,213.50M,1.289B,,1.289B,,,13.21M,,,1.289B,1.409B,,333.26M,-227.08M,1.185B,274.49M,,,,1.281B,,AOR,Restated
2002-06,8.916M,,8.916M,20.96M,,,20.96M,,,29.88M,,,,,,2.720B,-385.80M,2.334B,,,,20.89M,166.84M,,,2.522B,2.563B,,,,,,101.40M,101.40M,,,,101.40M,1.183B,,1.183B,,,13.31M,,,1.183B,1.291B,,332.17M,-210.32M,1.147B,274.49M,,,,1.258B,,AOR,Restated
2002-03,6.617M,,6.617M,21.18M,,,21.18M,,,27.80M,,,,,,2.662B,-369.15M,2.293B,,,,21.55M,168.03M,,,2.482B,2.519B,,,,,,309.80M,309.80M,,,,309.80M,1.145B,,1.145B,,,69.77M,,,1.145B,1.202B,,331.54M,-198.07M,1.124B,274.49M,,,,1.247B,,AOR,
2001-12,,,,,,,,,,,,,,,,,,2.195B,,,,,176.29M,,,2.371B,2.431B,,,,,,108.50M,108.50M,,,,108.50M,1.058B,,1.058B,,,69.97M,,,1.058B,1.114B,,56.39M,-184.89M,1.101B,,,,,1.247B,,AOR,Restated
2001-09,9.836M,,9.836M,19.75M,,,19.75M,,,29.58M,,,,,,2.518B,-323.06M,2.195B,,,,22.00M,186.47M,,,2.403B,2.444B,,,,56.99M,,112.30M,112.30M,,,,169.29M,1.076B,,1.076B,,,67.68M,,,1.076B,1.133B,,330.02M,-162.85M,1.076B,274.49M,,,,1.243B,,AOR,Restated
2001-06,16.13M,,16.13M,18.06M,,,18.06M,,,34.19M,,,,,,2.418B,-319.00M,2.099B,,,,22.22M,174.51M,,,2.296B,2.345B,,,,53.89M,,40.30M,40.30M,,,,94.19M,991.67M,,991.67M,,,41.91M,,,991.67M,1.046B,,329.71M,-137.57M,1.065B,274.49M,,,,1.257B,,AOR,Restated
2001-03,6.213M,,6.213M,14.91M,,,14.91M,,,21.12M,,,,,,2.414B,-304.22M,2.110B,,,,22.30M,173.96M,,,2.306B,2.343B,,,,59.77M,,159.50M,159.50M,,,,219.27M,1.112B,,1.112B,,,42.14M,,,1.112B,1.172B,,325.50M,-126.93M,930.89M,274.49M,,,,1.129B,,AOR,
2000-12,,,,,,,,,,,,,,,,,,2.101B,,,,,187.24M,,,2.288B,2.395B,,,,,,204.50M,204.50M,,,,204.50M,1.159B,,1.159B,,,39.54M,,,1.159B,1.216B,,50.87M,-113.26M,927.18M,,,,,1.139B,,AOR,Restated
2000-09,4.904M,,4.904M,15.23M,,,15.23M,,,20.14M,,,,,,2.439B,-277.19M,2.162B,,,,23.04M,188.72M,,,2.374B,2.405B,,,,53.49M,,132.00M,132.00M,,,,185.49M,1.088B,,1.088B,,,39.72M,,,1.088B,1.210B,,325.49M,-100.15M,929.59M,274.52M,,,,1.155B,,AOR,Restated
2000-06,7.177M,,7.177M,,,,,,,7.177M,,,,,,2.433B,-261.74M,2.171B,,,,42.17M,192.20M,,,2.405B,2.434B,,,,43.35M,,220.80M,220.80M,,,,264.15M,1.095B,,1.095B,,,40.02M,,,1.095B,1.224B,,325.49M,-85.71M,929.57M,274.53M,,,,1.169B,,AOR,Restated
2000-03,4.957M,,4.957M,,,,,,,4.957M,,,,,,2.164B,-247.25M,1.916B,,,,42.90M,192.94M,,,2.152B,2.454B,,,,50.55M,,213.20M,213.20M,,,,263.75M,1.091B,,1.091B,,,40.49M,,,1.091B,1.228B,,325.78M,-76.68M,936.83M,274.52M,,,,1.186B,,AOR,
1999-12,7.696M,,7.696M,13.56M,,,13.56M,,,21.26M,,,,,,2.423B,-230.51M,2.193B,,,,47.64M,193.16M,,,2.434B,2.469B,,,,,,215.50M,215.50M,,,,215.50M,1.180B,,1.180B,,,40.40M,,,1.180B,1.229B,,326.46M,-66.68M,940.47M,275.04M,,,,1.200B,,AOR,Restated
1999-09,,,,,,,,,,,,,,,,,,1.239B,,,,,187.50M,,,1.426B,1.505B,,,,,,100.50M,100.50M,,,,100.50M,711.70M,,711.70M,,,39.40M,,,711.70M,847.30M,,32.00M,-55.70M,463.50M,,,,,617.90M,,,Restated
1999-06,,,,,,,,,,,,,,,,,,1.262B,,,,,174.50M,,,1.437B,1.513B,,,,,,117.70M,117.70M,,,,117.70M,712.30M,,712.30M,,,40.50M,,,712.30M,858.30M,,,-69.10M,,,,,,614.20M,,,Restated
1999-03,,,,,,,,,,,,,,,,,,1.213B,,,,,161.40M,,,1.375B,1.448B,,,,,,100.50M,100.50M,,,,100.50M,679.40M,,679.40M,,,42.90M,,,679.40M,814.40M,,,-62.60M,,,,,,591.00M,,,
1998-12,4.504M,,4.504M,,,,,,,4.504M,,,,,,1.322B,-190.94M,1.131B,,,,54.48M,154.36M,,,1.340B,1.357B,,,,,,88.00M,88.00M,,,,88.00M,709.04M,,709.04M,,,23.39M,,,709.04M,737.80M,,218.83M,-56.72M,433.31M,187.85M,,,,595.42M,,AOR,Restated
1998-09,,,,,,,,,,,,,,,,,,945.10M,,,,,145.50M,,,1.091B,1.239B,,,,,,,,,,,,585.90M,,585.90M,,,20.80M,,,585.90M,625.70M,,,-58.90M,,,,,,592.80M,,,
1998-06,,,,,,,,,,,,,,,,,,896.90M,,,,,154.40M,,,1.051B,1.109B,,,,,,,,,,,,600.20M,,600.20M,,,21.20M,,,600.20M,627.70M,,,-61.30M,,,,,,460.20M,,,
1998-03,,,,,,,,,,,,,,,,,,791.30M,,,,,127.00M,,,918.30M,966.20M,,,,,,,,,,,,477.60M,,477.60M,,,21.50M,,,477.60M,504.30M,,,-57.70M,,,,,,440.40M,,,
1997-12,4.084M,,4.084M,,,,,,,4.084M,,,,,,957.00M,-170.50M,786.50M,,,,14.24M,125.38M,,,926.12M,940.96M,,,,,,,,,,,,452.86M,,452.86M,,,22.34M,,,452.86M,476.35M,,88.03M,-54.68M,408.92M,57.81M,,,,442.27M,,AOR,Restated
1997-09,,,,,,,,,,,,,,,,,,696.80M,,,,,112.40M,,,809.20M,827.10M,,,,,,,,,,,,393.60M,,393.60M,,,17.00M,,,393.60M,418.40M,,,-52.00M,,,,,,391.70M,,,
1997-06,,,,,,,,,,,,,,,,,,685.80M,,,,,111.80M,,,797.60M,816.60M,,,,,,,,,,,,443.30M,,443.30M,,,17.40M,,,443.30M,463.40M,,,-49.80M,,,,,,335.80M,,,
1997-03,,,,,,,,,,,,,,,,,,629.70M,,,,,111.90M,,,741.60M,767.60M,,,,,,,,,,,,389.10M,,389.10M,,,17.60M,,,389.10M,412.20M,,,-65.70M,,,,,,337.80M,,,
1996-12,2.811M,,2.811M,,,,,,,2.811M,,,,,,771.59M,-147.86M,623.73M,,,,6.531M,112.23M,,,742.49M,753.65M,,,,,,,,,,,,112.03M,,112.03M,,,17.60M,,,112.03M,399.24M,,28.68M,-47.54M,355.67M,,,,,336.81M,,AOR,
1996-09,,,,,,,,,,,,,,,,,,611.60M,,,,,115.10M,,,726.70M,758.80M,,,,,,,,,,,,379.80M,,379.80M,,,17.90M,,,379.80M,402.80M,,,-46.00M,,,,,,338.10M,,,
1996-06,,,,,,,,,,,,,,,,,,603.40M,,,,,115.80M,,,719.20M,752.10M,,,,,,,,,,,,380.10M,,380.10M,,,18.40M,,,380.10M,394.00M,,,430.00M,,,,,,339.70M,,,
1996-03,,,,,,,,,,,,,,,,,,596.80M,,,,,116.50M,,,713.30M,755.80M,,,,,,,,,,,,380.30M,,380.30M,,,18.70M,,,380.30M,396.90M,,,399.80M,,,,,,340.20M,,,
1995-12,2.00M,,2.00M,,,,,,,2.00M,,,,,,649.98M,-121.98M,527.99M,,,,9.248M,120.96M,,,658.20M,667.83M,,,,10.57M,,,,,,,10.57M,145.09M,,145.09M,,,18.72M,,,145.09M,309.65M,,28.57M,-42.28M,353.17M,,,,,339.46M,,AOR,
1995-09,,,,,,,,,,,,,,,,,,485.90M,,,,,133.90M,,,619.80M,639.00M,,,,,,,,,,,,265.20M,,265.20M,,,18.90M,,,265.20M,279.30M,,,302.30M,,,,,,340.80M,,,
1995-06,,,,,,,,,,,,,,,,,,470.10M,,,,,116.00M,,,586.10M,607.20M,,,,,,,,,,,,223.10M,,223.10M,,,19.20M,,,223.10M,246.50M,,,290.70M,,,,,,341.50M,,,
1995-03,,,,,,,,,,,,,,,,,,475.90M,,,,,79.90M,,,555.80M,575.00M,,,,,,,,,,,,224.80M,,224.80M,,,19.50M,,,224.80M,237.80M,,,,,,,,,317.70M,,,
1994-12,,,,,,,,,,,,,,,,587.34M,-111.54M,475.80M,,,,9.642M,79.20M,,,564.64M,573.83M,,,,13.48M,,,,,,,13.48M,20.58M,,20.58M,,,19.48M,,,20.58M,284.95M,,26.73M,-62.38M,305.05M,,,,,269.40M,,AOR,
1994-09,,,,,,,,,,,,,,,,,,452.40M,,,,,78.80M,,,531.20M,550.30M,,,,,,100.00M,100.00M,,,,100.00M,135.90M,,135.90M,,,19.70M,,,135.90M,262.00M,,,-287.80M,,,,,,268.60M,,,
1994-06,9.60M,,9.60M,,,,75.50M,,,85.10M,,,,,,547.50M,-103.90M,443.60M,,,,,,,17.00M,460.60M,545.70M,,13.00M,13.00M,13.00M,,7.50M,7.50M,,,,20.50M,235.90M,,235.90M,,,19.90M,,,235.90M,256.40M,,,-274.50M,,,,,,269.40M,,,
1994-03,,,,,,,,,,,,,,,,,,444.30M,,,,,69.70M,,,514.00M,547.30M,,,,,,100.00M,100.00M,,,,100.00M,135.90M,,135.90M,,,20.10M,,,135.90M,257.80M,,,-261.40M,,,,,,269.40M,,,
1993-12,,,,,,,,,,,,,,,,,,434.80M,,,,,70.50M,,,505.30M,549.60M,,,,,,14.20M,14.20M,,,,14.20M,235.80M,,235.80M,,,20.20M,,,235.80M,259.50M,,,279.70M,,,,,,269.90M,,,
1993-09,,,,,,,,,,,,,,,,,,426.80M,,,,,59.20M,,,486.00M,512.70M,,,,,,,,,,,,203.20M,,203.20M,,,20.50M,,,203.20M,222.10M,,,-236.00M,,,,,,270.10M,,,
1993-06,,,,,,,,,,,,,,,,,,422.90M,,,,,59.40M,,,482.30M,509.80M,,,,,,2.60M,2.60M,,,,2.60M,202.50M,,202.50M,,,20.80M,,,202.50M,217.80M,,,302.00M,,,,,,271.20M,,,
1993-03,,,,,,,,,,,,,,,,,,417.10M,,,,,60.50M,,,477.60M,509.90M,,,,,,,,,,,,202.80M,,202.80M,,,21.00M,,,202.80M,216.20M,,,302.00M,,,,,,272.70M,,,
1992-12,,,,,,,,,,,,,,,,,,415.10M,,,,,60.70M,,,475.80M,509.20M,,,,,,26.10M,26.10M,,,,26.10M,179.60M,,179.60M,,,21.20M,,,179.60M,216.60M,,,299.50M,,,,,,271.40M,,,
1992-09,,,,,,,,,,,,,,,,,,,,,,,52.60M,,,52.60M,503.50M,,,,,,,,,,,,195.30M,,195.30M,,,21.40M,,,195.30M,209.10M,,,126.60M,,,,,,273.00M,,,
1992-06,,,,,,,,,,,,,,,,,,,,,,,52.90M,,,52.90M,504.50M,,,,,,,,,,,,195.60M,,195.60M,,,21.70M,,,195.60M,207.90M,,,126.60M,,,,,,274.90M,,,
1992-03,,,,,,,,,,,,,,,,,,,,,,,53.50M,,,53.50M,509.10M,,,,,,,,,,,,195.90M,,195.90M,,,22.00M,,,195.90M,210.00M,,,117.50M,,,,,,277.10M,,,
1991-12,,,,,,,,,,,,,,,,,,400.70M,,,,,22.00M,,,422.70M,458.60M,,,,,,,,,,,,212.40M,,212.40M,,,22.30M,,,212.40M,225.00M,,,245.90M,,,,,,211.30M,,,
1991-09,,,,,,,,,,,,,,,,,,401.20M,,,,,21.00M,,,422.20M,461.60M,,,,,,,,,,,,196.50M,,196.50M,,,22.60M,,,196.50M,225.10M,,,-43.30M,,,,,,213.90M,,,
1991-06,,,,,,,,,,,,,,,,,,404.90M,,,,,25.70M,,,430.60M,468.30M,,,,,,,,,,,,191.70M,,191.70M,,,22.80M,,,191.70M,229.70M,,,-40.40M,,,,,,215.80M,,,
1991-03,,,,,,,,,,,,,,,,,,408.80M,,,,,45.00M,,,453.80M,491.50M,,,,,,,,,,,,184.60M,,184.60M,,,22.70M,,,184.60M,250.70M,,,-38.00M,,,,,,218.10M,,,
1990-12,,,,,,,,,,,,,,,,,,398.30M,,,,,44.30M,,,442.60M,476.50M,,,,,,,,,,,,174.90M,,174.90M,,,22.00M,,,174.90M,234.60M,,,-35.30M,,,,,,219.90M,,,
1990-09,,,,,,,,,,,,,,,,,,399.20M,,,,,24.50M,,,423.70M,455.20M,,,,,,,,,,,,176.40M,,176.40M,,,21.90M,,,176.40M,210.00M,,,-31.90M,,,,,,223.30M,,,
1990-06,,,,,,,,,,,,,,,,,,389.50M,,,,,24.00M,,,413.50M,448.20M,,,,,,,,,,,,181.80M,,181.80M,,,22.00M,,,181.80M,200.50M,,,-29.50M,,,,,,225.70M,,,
1990-03,,,,,,,,,,,,,,,,,,389.30M,,,,,14.80M,,,404.10M,440.70M,,,,,,,,,,,,166.90M,,166.90M,,,22.20M,,,166.90M,190.20M,,,-26.90M,,,,,,228.30M,,,
1989-12,,,,,,,,,,,,,,,,,,386.40M,,,,,14.50M,,,400.90M,431.40M,,,,,,,,,,,,167.20M,,167.20M,,,22.00M,,,167.20M,241.90M,,,-25.30M,,,,,,167.50M,,,
1989-09,,,,,,,,,,,,,,,,,,372.50M,,,,,14.40M,,,386.90M,415.20M,,,,,,,,,,,,167.50M,,167.50M,,,22.20M,,,167.50M,223.10M,,,-22.90M,,,,,,169.90M,,,
1989-06,,,,,,,,,,,,,,,,,,374.20M,,,,,10.60M,,,384.80M,413.50M,,,,,,,,,,,,167.80M,,167.80M,,,22.30M,,,167.80M,217.60M,,,-18.90M,,,,,,173.60M,,,
1988-12,,,,,,,,,,,,,,,,,,,,,,,,,,,400.30M,,,,,,,,,,,,159.00M,,159.00M,,,,,,159.00M,246.40M,,,-14.30M,,,,,,153.90M,,,
1987-12,,,,,,,,,,,,,,,,,,,,,,,,,,,324.30M,,,,,,,,,,,,79.30M,,79.30M,,,,,,79.30M,162.80M,,,-6.40M,,,,,,161.50M,,,
1986-12,,,,,,,,,,,,,,,,,,,,,,,,,,,306.50M,,,,,,,,,,,,116.00M,,116.00M,,,,,,116.00M,139.50M,,,-0.60M,,,,,,167.00M,,,
1985-12,,,,,,,,,,,,,,,,,,,,,,,,,,,163.60M,,,,,,,,,,,,49.90M,,49.90M,,,,,,49.90M,74.40M,,,-1.20M,,,,,,89.20M,,,
