,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-09,322.15M,,-286.15M,,0.00,-1.242M,-296.56M,74.30M,-1.613M,72.69M,72.69M,,9.631M,0.00,,2.674M,12.30M,1.286M,-3.592M,,,-15.05M,-17.36M,93.23M,,-92.26M,497.95M,405.69M,,-2.978B,-18.42M,76.51M,-2.514B,,-14.06M,0.00,2.726B,18.51M,,18.51M,,,,,-103.68M,,2.641B,,351.22M,219.92M,,568.85M,,18.51M,1.604M,-15.67M,,,,,AOR,Restated
2007-06,71.28M,,-12.21M,,-3.862M,-1.302M,-24.38M,63.20M,-1.298M,61.90M,61.90M,,1.989M,0.00,,3.364M,5.353M,-0.978M,12.44M,,,3.977M,15.44M,129.60M,,-52.45M,186.45M,134.00M,,198.30M,22.22M,-2.375M,352.15M,,52.23M,-624.50M,-139.33M,10.62M,,10.62M,,,,,-104.74M,,-233.45M,,102.92M,248.29M,,351.22M,,10.62M,123.75M,-696.02M,,,,,AOR,Restated
2007-03,145.29M,,-104.04M,,-1.012M,-1.214M,-106.30M,64.37M,-0.274M,64.10M,64.10M,,3.654M,,,2.478M,6.132M,-2.934M,-11.97M,,,-7.308M,-22.22M,87.00M,,-222.01M,170.10M,-51.90M,,276.21M,4.454M,-1.254M,227.50M,,-1.819M,,-443.27M,271.46M,,271.46M,,,,,-100.46M,,-272.27M,,60.69M,42.24M,,102.92M,,271.46M,518.07M,-519.89M,,,,,AOR,Restated
2006-12,246.64M,,,,1.552M,,1.552M,,,72.78M,68.07M,,,,,,-237.13M,0.658M,8.286M,6.261M,-20.65M,13.03M,7.579M,86.70M,,236.49M,175.61M,412.10M,,,-328.58M,-113.55M,-3.355B,,574.42M,258.60M,833.02M,967.35M,,967.35M,,,,,-75.53M,956.57M,2.681B,,645.36M,-586.96M,,58.40M,,967.35M,765.90M,-191.48M,,,,,AOR,Restated
2006-09,82.04M,,,,-1.552M,,-1.552M,,,32.79M,32.79M,,,,,,-36.59M,-0.254M,10.81M,-6.87M,11.17M,-10.92M,3.939M,80.63M,,27.64M,309.10M,336.74M,,,9.347M,-466.03M,-119.94M,,824.87M,-265.10M,559.77M,7.449M,,7.449M,,,,,-63.86M,159.84M,663.20M,,21.48M,623.89M,,645.36M,,7.449M,833.02M,-8.149M,,,,,AOR,Restated
2006-06,48.67M,,,,,,,,,32.18M,36.89M,,,,,,-5.701M,1.274M,2.459M,-0.665M,2.459M,-3.733M,1.794M,81.66M,,-74.01M,6.214M,-67.79M,,,-2.147M,4.238M,-65.70M,,11.97M,-109.90M,-97.93M,4.673M,,4.673M,,,,,-63.66M,106.48M,-50.44M,,55.96M,-34.48M,,21.48M,,4.673M,29.87M,-17.90M,,,,,AOR,Restated
2006-03,61.35M,,,,,,,,,30.86M,30.86M,,,,,,-8.296M,-0.383M,7.025M,1.274M,7.025M,-6.642M,8.299M,92.21M,,-190.13M,21.40M,-168.73M,,,-14.46M,31.86M,-151.33M,,150.64M,116.40M,267.04M,9.564M,,9.564M,,,,,-63.76M,-119.10M,93.74M,,21.34M,34.62M,,55.96M,,9.564M,287.11M,-136.47M,,,,,AOR,Restated
2005-12,60.29M,,,,-1.759M,,-1.759M,,,32.04M,32.04M,,,,,,-18.40M,0.194M,-4.194M,-6.786M,-4.194M,4.00M,-10.98M,61.19M,,-13.01M,407.96M,394.95M,,,-46.65M,-442.89M,-94.59M,,-52.73M,-41.50M,-94.23M,5.45M,,5.45M,,,,,-62.52M,167.87M,16.57M,,38.17M,-16.83M,,21.34M,,5.45M,4.529M,-57.26M,,,,,AOR,Restated
2005-09,46.92M,,,,-2.758M,,-2.758M,,,27.73M,27.73M,,,,,,1.658M,0.122M,8.295M,-0.959M,8.295M,-8.417M,7.336M,80.88M,,-246.09M,4.741M,-241.35M,,,-0.295M,12.23M,-229.42M,,358.05M,184.80M,542.85M,5.464M,,5.464M,,,,,-62.41M,-318.08M,167.82M,,18.89M,19.28M,,38.17M,,5.464M,382.91M,-24.87M,,,,,AOR,Restated
2005-06,44.06M,,,,,,,,,27.39M,27.39M,,,,,,-2.075M,0.596M,-0.94M,-0.767M,-0.94M,0.344M,-1.707M,67.67M,,-123.76M,7.345M,-116.41M,,,-2.349M,-7.193M,-125.95M,,50.79M,-132.50M,-81.71M,23.51M,,23.51M,,,,,-61.85M,180.36M,60.31M,,16.86M,2.03M,,18.89M,,23.51M,62.56M,-11.77M,,,,,AOR,Restated
2005-03,43.98M,,,,,,,,,23.98M,23.98M,,,,,,-1.637M,0.609M,4.513M,1.648M,4.513M,-5.122M,6.161M,72.49M,,-6.864M,34.24M,27.38M,,,-4.285M,12.08M,35.17M,,-1.158M,-52.30M,-53.46M,10.82M,,10.82M,,,,,-61.61M,-3.51M,-107.76M,,16.96M,-0.102M,,16.86M,,10.82M,0.00,-1.158M,,,,,AOR,Restated
2004-12,43.08M,,,,,,,,,33.72M,17.10M,,,,,,4.655M,1.167M,-1.575M,5.259M,-1.575M,3.68M,6.956M,71.80M,,18.55M,-120.63M,-102.08M,,,0.832M,-3.989M,-105.24M,,-61.52M,157.30M,95.78M,10.02M,,10.02M,,,,,-60.88M,-4.946M,39.97M,,10.43M,6.532M,,16.96M,,10.02M,0.00,-6.325M,,,,,AOR,Restated
2004-09,37.54M,,,,,,,-42.48M,,23.14M,36.32M,,,,,,-6.331M,1.319M,5.459M,3.575M,5.459M,-6.778M,9.034M,76.56M,,-58.30M,11.67M,-46.63M,,,1.003M,12.45M,-33.18M,,26.76M,-11.20M,15.56M,5.064M,,5.064M,,,,,-60.74M,-3.459M,-43.58M,,10.61M,-0.192M,,10.43M,,5.064M,37.00M,-21.44M,,,,,AOR,Restated
2004-06,40.18M,,,,,,,21.18M,0.00,21.18M,23.64M,,,,,,6.369M,-0.426M,-8.896M,-6.593M,-8.896M,9.096M,-15.72M,54.47M,,-105.03M,10.75M,-94.28M,,,-1.01M,1.415M,-93.88M,,11.53M,64.00M,75.53M,11.21M,,11.21M,,,,,-60.46M,-3.448M,22.84M,,28.13M,-16.57M,,10.61M,,11.21M,50.00M,25.53M,,,,,AOR,Restated
2004-03,48.24M,,,,,,,21.30M,0.00,21.30M,22.27M,,,,,,-7.077M,-0.18M,6.404M,-0.361M,6.404M,-5.998M,6.269M,69.71M,,-55.68M,98.22M,42.53M,,,-0.825M,105.91M,147.62M,,-51.08M,-108.00M,-159.08M,16.34M,,16.34M,,,,,-61.18M,-3.04M,-206.96M,,17.77M,10.36M,,28.13M,,16.34M,,-159.08M,,,,,AOR,Restated
2003-12,44.40M,,,,,,,,,33.08M,33.08M,,,,,,-7.521M,-6.326M,6.50M,-1.037M,6.50M,-6.241M,-0.604M,69.36M,,-12.51M,-25.48M,-37.99M,,,,-125.10M,-163.09M,,-7.387M,68.80M,61.41M,50.42M,,-242.62M,188.66M,159.42M,348.08M,,-65.36M,0.284M,101.79M,,9.706M,8.062M,,17.77M,,239.08M,0.00,-7.387M,-133.62M,,,,AOR,Restated
2003-09,49.61M,,,,,,,,,17.86M,17.86M,,,,,,-1.526M,1.777M,,,,4.154M,5.931M,71.87M,,-171.89M,12.63M,-159.26M,,,,49.08M,-110.18M,,-12.73M,-44.00M,-56.73M,103.67M,,103.67M,96.51M,-60.00M,36.51M,,-56.72M,9.721M,36.46M,,11.56M,-1.853M,,9.706M,,200.18M,0.00,-12.73M,-60.00M,,,,AOR,Restated
2003-06,36.91M,,,,,,,,,18.29M,18.29M,,,,,,20.36M,0.449M,-11.19M,-5.529M,-11.19M,2.087M,-25.37M,50.19M,,-9.122M,6.805M,-2.317M,,,,-0.355M,-2.672M,,0.00,71.00M,71.00M,43.62M,,43.62M,,-99.42M,-99.42M,,-55.37M,-9.232M,-49.40M,,13.44M,-1.881M,,11.56M,,43.62M,0.00,0.00,-99.42M,,,,AOR,Restated
2003-03,27.66M,,,,,,,,,18.32M,18.32M,,,,,,-4.798M,3.063M,11.19M,5.529M,11.19M,,30.97M,72.16M,,-29.22M,6.043M,-23.18M,,,,-10.21M,-33.38M,,162.54M,-165.60M,-3.064M,25.03M,,25.03M,,,,,-55.75M,-0.043M,-33.83M,,8.495M,4.945M,,13.44M,,25.03M,197.54M,-35.00M,,,,,AOR,Restated
2002-12,29.37M,,,,,,,-54.32M,,27.94M,27.94M,,,,,,18.33M,-3.137M,-7.044M,-3.577M,-7.044M,3.998M,-16.80M,58.84M,,-43.46M,-20.58M,-64.04M,,12.88M,,-17.57M,-68.73M,,-15.56M,54.30M,38.74M,24.72M,,24.72M,,,,,-64.39M,7.588M,6.665M,,11.71M,-3.219M,,8.495M,,24.72M,0.123M,-15.68M,,,,,AOR,Restated
2002-09,37.24M,,,,,,,18.71M,,18.71M,18.71M,,,,,,2.468M,1.906M,2.296M,2.142M,2.296M,1.501M,10.14M,68.56M,,-36.35M,2.772M,-33.58M,,-12.88M,,-109.41M,-155.87M,,-5.00M,112.10M,107.10M,34.60M,,34.60M,0.00,0.00,0.00,,-54.01M,2.417M,90.11M,,8.916M,2.798M,,11.71M,,34.60M,0.00,-5.00M,0.00,,,,AOR,Restated
2002-06,40.36M,,,,,,,35.61M,,16.17M,16.17M,,,,,,3.396M,-0.794M,0.285M,-0.59M,0.285M,-5.499M,-6.313M,53.61M,,-67.47M,17.81M,-49.67M,,,,-7.682M,-57.35M,,250.97M,-208.40M,42.57M,23.59M,,23.59M,,0.00,0.00,,-52.60M,-7.522M,6.038M,,6.617M,2.299M,,8.916M,,23.59M,247.63M,3.34M,0.00,,,,AOR,Restated
2002-03,30.41M,,,,,,,,,19.44M,19.44M,,,,,,1.297M,0.59M,-0.285M,0.59M,-0.285M,,0.61M,51.75M,,-125.57M,,-125.57M,,,,16.48M,-109.09M,,-114.34M,201.30M,86.96M,19.42M,,19.42M,,,,,-51.53M,0.694M,55.54M,,8.408M,-1.791M,,6.617M,,19.42M,,-114.34M,,,,,AOR,
2001-12,36.17M,,,,,,,-52.42M,,31.68M,31.68M,,,,,,-5.529M,-2.729M,-2.506M,-2.729M,-2.506M,-2.474M,-12.94M,49.37M,,-14.38M,-27.12M,-41.50M,,140.94M,,-102.27M,-2.83M,,-23.42M,-3.80M,-27.22M,26.08M,0.024M,26.11M,,,,,-50.27M,3.405M,-47.97M,,9.836M,-1.428M,,8.408M,,26.08M,,-23.42M,0.024M,,,,AOR,Restated
2001-09,24.07M,,,,,,,17.75M,,17.75M,17.75M,,,,,,11.99M,0.859M,1.573M,0.859M,1.573M,-2.432M,2.432M,56.25M,,-87.68M,3.266M,-84.42M,,-87.68M,0.00,76.11M,-95.99M,,0.00,72.00M,72.00M,10.66M,0.00,10.66M,,,,,-49.35M,0.127M,33.45M,,16.13M,-6.295M,,9.836M,,10.66M,0.00,0.00,0.00,,,,AOR,Restated
2001-06,34.90M,,,,,,,34.67M,,15.93M,15.93M,,,,,,6.052M,-2.266M,-6.115M,-2.266M,-6.115M,4.906M,-11.86M,45.03M,,-53.26M,23.85M,-29.41M,,-30.31M,,51.95M,-7.775M,,45.00M,-164.20M,-119.20M,138.34M,-0.024M,138.32M,,,,,-45.54M,-0.909M,-27.33M,,6.213M,9.918M,,16.13M,,138.34M,0.00,45.00M,-0.024M,,,,AOR,Restated
2001-03,26.02M,,,,,,,,,18.74M,18.74M,,,,,,-1.515M,0.45M,3.025M,0.45M,3.025M,,6.95M,50.20M,,,,,,-22.95M,,11.38M,-11.57M,,-46.00M,,-46.00M,1.218M,,1.218M,,,,,-44.97M,-1.294M,-91.04M,,58.62M,-52.41M,,6.213M,,1.218M,,-46.00M,,,,,AOR,
2000-12,36.65M,,,,,,,-52.05M,,20.54M,20.54M,,,,,,-11.42M,,,0.385M,4.854M,,4.488M,50.26M,,-5.34M,-27.21M,-32.55M,,,,-0.412M,48.06M,,-103.47M,72.50M,-30.97M,0.00,-17.82M,-17.82M,,,,,-44.45M,48.63M,-44.60M,,4.904M,53.72M,,58.62M,,0.00,0.00,-103.47M,-17.82M,,,,AOR,Restated
2000-09,30.91M,,,,,,,17.46M,,17.46M,17.46M,,,,,,1.34M,,,,,,4.369M,54.08M,,-3.60M,17.77M,14.17M,,,,5.549M,19.72M,,83.00M,-88.80M,-5.80M,0.024M,,0.024M,,,,,-43.94M,-26.36M,-76.07M,,7.177M,-2.273M,,4.904M,,0.024M,83.00M,0.00,,,,,AOR,Restated
2000-06,32.99M,,,,,,,34.59M,,34.59M,34.59M,,,,,,-18.86M,,,-3.452M,-2.723M,,-4.554M,44.17M,,-6.147M,9.442M,3.295M,,,,-3.343M,-0.048M,,0.00,5.30M,5.30M,1.414M,6.269M,7.683M,,,,,-43.53M,-11.35M,-41.90M,,4.957M,2.22M,,7.177M,,1.414M,0.00,0.00,6.269M,,,,AOR,Restated
2000-03,32.94M,,,,,,,,,,,,,,,,17.88M,,,3.452M,2.723M,,6.175M,57.00M,,-6.471M,,-6.471M,,,,2.456M,-4.015M,,14.86M,,14.86M,,-6.269M,-6.269M,,,,,-43.16M,-21.16M,-55.73M,,7.696M,-2.739M,,4.957M,,,24.86M,-10.00M,-6.269M,,,,AOR,
1999-12,27.00M,,,,,,,15.11M,,15.11M,15.11M,,,,,,1.168M,-5.90M,-5.40M,-5.90M,-5.40M,11.35M,-16.33M,26.94M,,-114.78M,0.00,-114.78M,,,,-41.27M,-109.95M,,-5.00M,115.00M,110.00M,4.631M,,2.331M,,,,,-28.20M,-1.622M,82.51M,,8.199M,-0.503M,,7.696M,,4.631M,0.00,-5.00M,,,,,AOR,Restated
1999-09,30.17M,,,,,,,10.20M,,10.20M,10.20M,,,,,,-8.907M,0.40M,-2.20M,0.40M,-2.20M,1.80M,3.282M,34.74M,,-12.91M,42.87M,29.95M,,,,-17.51M,12.44M,,0.056M,-17.20M,-17.14M,0.06M,,0.06M,,,,,-26.54M,-0.778M,-44.40M,,5.416M,2.783M,,8.199M,,0.06M,10.06M,-10.00M,,,,,,Restated
1999-06,19.65M,,,,,,,19.49M,,10.09M,10.09M,,,,,,7.691M,0.10M,-4.90M,0.10M,-4.90M,-1.80M,-11.40M,26.03M,,-55.26M,3.231M,-52.03M,,,,-14.62M,-66.65M,,27.54M,17.20M,44.74M,29.58M,,29.58M,,,,,-26.24M,-6.257M,41.83M,,,0.912M,,5.416M,,29.58M,27.04M,0.50M,,,,,,Restated
1999-03,19.40M,,,,,,,,,9.40M,9.40M,,,,,,-5.60M,-0.50M,7.10M,-0.50M,7.10M,,13.20M,36.40M,,-57.80M,,-57.80M,,,,-8.50M,-66.30M,,24.40M,12.50M,36.90M,,,,,,,,-25.20M,17.90M,29.60M,,4.50M,,,,,,24.90M,-0.50M,,,,,,
1998-12,27.07M,,,,,,,,,8.177M,8.177M,,,,,,8.189M,1.20M,-9.60M,1.20M,-9.60M,,-21.42M,22.01M,,-226.12M,,-204.58M,,,,-7.74M,-190.82M,,95.97M,21.10M,117.07M,0.271M,,0.271M,0.037M,,0.037M,,-24.91M,-2.134M,90.33M,,83.00M,-78.48M,,4.504M,,0.308M,33.27M,62.70M,,,,,AOR,Restated
1998-09,24.90M,,,,,,,,,7.50M,7.50M,,,,,,-16.90M,0.50M,11.20M,0.50M,11.20M,,23.40M,38.90M,,-59.90M,,-59.90M,,,,13.00M,-46.90M,,-77.90M,58.40M,-19.50M,0.20M,,0.20M,130.00M,,130.00M,,-22.50M,0.70M,88.90M,,,78.90M,,83.00M,,130.20M,-5.20M,-72.70M,,,,,,
1998-06,17.70M,,,,,,,,,7.30M,7.30M,,,,,,1.70M,-1.90M,0.60M,-1.90M,0.60M,,-2.60M,24.10M,,-114.30M,,-114.30M,,,,-34.30M,-148.60M,,196.20M,-73.50M,122.70M,23.40M,,23.40M,,,,,-21.30M,-1.40M,123.40M,,,,,,,23.40M,203.50M,-7.30M,,,,,,
1998-03,17.50M,,,,,,,,,6.60M,6.60M,,,,,,-2.00M,-0.60M,3.20M,-0.60M,3.20M,,5.20M,27.30M,,-11.40M,,-11.40M,,,,-19.80M,-31.20M,,9.70M,15.10M,24.80M,,,,,,,,-20.50M,-1.30M,3.00M,,4.10M,,,,,,19.90M,-10.20M,,,,,,
1997-12,16.69M,,,,,,,,,5.967M,5.967M,,,,,,3.222M,-0.90M,-2.30M,-0.90M,-2.30M,,-5.734M,20.14M,,-103.53M,,-94.91M,,,,-23.63M,-118.54M,,-6.724M,,60.18M,53.27M,,53.27M,0.01M,,0.01M,,-19.43M,5.44M,99.47M,,,,,4.084M,,53.28M,-7.424M,0.70M,,,,,AOR,Restated
1997-09,15.60M,,,,,,,,,5.70M,5.70M,,,,,,-3.00M,-0.70M,4.30M,-0.70M,4.30M,,7.20M,25.50M,,-16.80M,,-16.80M,,,,0.50M,-16.30M,,-49.80M,,-49.80M,0.20M,,0.20M,57.80M,,57.80M,,-17.80M,0.00,-9.60M,,,,,,,58.00M,-49.60M,-0.20M,,,,,,
1997-06,15.40M,,,,,,,,,5.50M,5.50M,,,,,,4.30M,-0.50M,-3.20M,-0.50M,-3.20M,,-7.40M,17.80M,,-61.60M,,-61.60M,,,,-0.20M,-61.80M,,54.20M,,54.20M,0.00,,0.00,,,,,-17.50M,-0.20M,36.50M,,,,,,,0.00,67.00M,-12.80M,,,,,,
1997-03,17.10M,,,,,,,,,5.50M,5.50M,,,,,,-4.30M,-0.40M,3.30M,-0.40M,3.30M,,5.80M,24.10M,,-18.10M,,-18.10M,,,,9.50M,-8.60M,,9.70M,,9.70M,0.20M,,0.20M,,,,,-17.20M,-0.10M,-7.40M,,2.80M,,,,,0.20M,9.90M,-0.20M,,,,,,
1996-12,15.40M,,,,,,,,,5.70M,5.70M,,,,,,5.985M,-2.00M,-3.40M,-2.00M,-3.40M,,-10.80M,16.28M,,-11.51M,,-11.51M,,,,-1.989M,-13.50M,,-80.50M,,-112.20M,0.236M,,0.236M,,,,,-16.90M,111.69M,-17.18M,,,,,2.811M,,0.236M,0.00,-80.50M,,,,,AOR,
1996-09,15.00M,,,,,,,,,5.20M,5.20M,,,,,,-7.90M,-0.70M,8.90M,-0.70M,8.90M,,16.40M,28.70M,,-15.50M,,-15.50M,,,,5.80M,-9.70M,,-0.40M,,-0.40M,0.10M,,0.10M,,,,,-16.60M,0.20M,-16.70M,,,,,,,0.10M,0.00,-0.40M,,,,,,
1996-06,15.60M,,,,,,,,,5.10M,5.10M,,,,,,2.40M,2.30M,-4.40M,2.30M,-4.40M,,-4.20M,18.90M,,-13.00M,,-13.00M,,,,1.80M,-11.20M,,-0.40M,,-0.40M,0.30M,,0.30M,,,,,-16.40M,-0.40M,-16.90M,,,,,,,0.30M,0.00,-0.40M,,,,,,
1996-03,14.60M,,,,,,,,,4.70M,4.70M,,,,,,-6.40M,-0.60M,7.50M,-0.60M,7.50M,,13.80M,26.70M,,-75.30M,,-75.30M,,,,4.90M,-70.40M,,81.30M,,81.30M,0.90M,,0.90M,,,,,-16.00M,-0.40M,65.80M,,2.00M,,,,,0.90M,113.30M,-32.00M,,,,,,
1995-12,14.00M,,,,,,,,,16.69M,16.69M,,,,,,-15.93M,,,,,,,14.76M,,-45.24M,,-36.86M,,,,3.531M,-33.33M,,-62.50M,,-42.00M,0.009M,,0.009M,,,,,-15.67M,76.19M,18.54M,,,,,,,0.009M,34.20M,-96.70M,,,,,AOR,
1995-09,14.60M,,,,,,,,,,,,,,,,9.90M,,,,,,,24.50M,,-38.10M,,-38.10M,,,,0.30M,-37.80M,,26.90M,,26.90M,0.00,,0.00,,,,,-15.40M,1.40M,12.90M,,,,,,,0.00,27.20M,-0.30M,,,,,,
1995-06,14.30M,,,,,,,,,-4.00M,-4.00M,,,,,,2.20M,1.20M,,1.20M,,,2.40M,14.90M,,,,,,,,-5.10M,-5.10M,,7.00M,,7.00M,0.00,,0.00,,,,,-15.20M,-1.30M,-9.50M,,,,,,,0.00,8.10M,-1.10M,,,,,,
1995-03,13.80M,,,,,,,,,4.00M,4.00M,,,,,,1.60M,-1.20M,,-1.20M,,,-2.40M,17.00M,,,,,,,,-4.40M,-4.40M,,-46.40M,,-46.40M,47.10M,,47.10M,,,,,-13.90M,-0.20M,-13.40M,,2.80M,,,,,47.10M,28.60M,-75.00M,,,,,,
1994-12,13.10M,,,,,,,17.52M,,4.221M,4.221M,,,,,,-0.702M,,,,,,,16.62M,,,,,,,25.80M,-0.77M,-27.38M,,0.60M,,0.60M,1.609M,,1.609M,,,,,-13.63M,22.50M,11.08M,,,,,,,1.609M,24.10M,-23.50M,,,,,AOR,
1994-09,12.40M,,,,,,1.80M,8.90M,,22.20M,22.20M,,,,,,-19.10M,,,,,,,17.30M,,,,,,,-25.80M,13.20M,-12.60M,,1.40M,,1.40M,-0.30M,,-0.30M,,,,,-13.30M,0.60M,-11.60M,,,,,,,-0.30M,2.00M,-0.60M,,,,,,
1994-06,13.20M,,,,,,-1.80M,-8.90M,,-13.40M,-13.40M,,,,,,17.90M,,,,,,,15.90M,,,,,,,,-8.80M,-8.80M,,-0.30M,,-0.30M,0.00,,0.00,,,,,-13.10M,-0.10M,-13.50M,,,,,,,0.00,,-0.30M,,,,,,
1994-03,11.30M,,,,,,,,,4.50M,4.50M,,,,,,-0.10M,,,,,,,15.70M,,,,,,,,-12.60M,-12.60M,,-1.70M,,-1.70M,0.40M,,0.40M,,,,,-12.80M,-0.30M,-14.40M,,27.20M,,,,,0.40M,,-1.70M,,,,,,
1993-12,11.90M,,,,,,,,,4.80M,4.80M,,,,,,1.00M,,,,,,,17.70M,,22.60M,,22.60M,,,,-36.40M,-13.80M,,33.30M,,33.30M,0.50M,,0.50M,,,,,-12.50M,-0.70M,20.60M,,,,,,,0.50M,102.40M,-69.10M,,,,,,
1993-09,11.00M,,,,,,,,,4.10M,4.10M,,,,,,-0.20M,,,,,,,14.90M,,-7.50M,,-7.50M,,,,0.20M,-7.30M,,3.30M,0.60M,3.90M,0.30M,,0.30M,,,,,-12.40M,0.50M,-7.70M,,,,,,,0.30M,1.00M,2.30M,,,,,,
1993-06,10.60M,,,,,,,,,4.50M,4.50M,,,,,,-0.20M,,,,,,,14.90M,,-15.10M,,-15.10M,,,,6.70M,-8.40M,,2.90M,-0.60M,2.30M,0.00,,0.00,,,,,-12.20M,-1.90M,-11.80M,,,,,,,0.00,0.00,2.90M,,,,,,
1993-03,10.60M,,,,,,,,,4.50M,4.50M,,,,,,0.10M,,,,,,,15.20M,,,,,,,,0.20M,0.20M,,-3.00M,,-3.00M,1.90M,,1.90M,,,,,-11.90M,3.10M,-9.90M,,2.70M,,,,,1.90M,10.00M,-13.00M,,,,,,
1992-12,9.20M,,,,,,,,,4.80M,4.80M,,,,,,-0.20M,,,,,,,13.80M,,,,,,,,-33.40M,-33.40M,,15.00M,,13.10M,0.00,,0.00,,,,,-11.60M,-3.80M,-2.30M,,,,,,,0.00,,15.00M,,,,,,
1992-09,9.20M,,,,,,,,,4.30M,4.30M,,,,,,-0.10M,,,,,,,13.40M,,3.40M,,3.40M,,,,-4.60M,-1.20M,,0.60M,,0.60M,0.00,,0.00,,,,,-11.50M,0.60M,-10.30M,,,,,,,0.00,,0.60M,,,,,,
1992-06,9.10M,,,,,,,,,4.50M,4.50M,,,,,,0.00,,,,,,,13.60M,,-2.30M,,-2.30M,,,,0.40M,-1.90M,,-0.30M,,-0.30M,0.00,,0.00,,,,,-11.30M,-1.80M,-13.40M,,,,,,,0.00,,-0.30M,,,,,,
1992-03,8.20M,,,,,,,,,4.50M,4.50M,,,,,,-0.50M,,,,,,,12.20M,,-1.10M,,-1.10M,,,,-31.50M,-32.60M,,-16.60M,,-16.60M,66.90M,,66.90M,,,,,-9.70M,1.00M,41.60M,,3.10M,,,,,66.90M,,-16.60M,,,,,,
1991-12,6.80M,,,,,,,,,4.50M,4.50M,,,,,,0.10M,,,,,,,11.40M,,,,,,,,-4.40M,-4.40M,,-0.30M,,-0.30M,0.20M,,0.20M,,,,,-9.60M,1.20M,-8.50M,,,,,,,0.20M,0.00,-0.30M,,,,,,
1991-09,6.50M,,,,,,,,,4.60M,4.60M,,,,,,-0.20M,,,,,,,10.90M,,,,,,,,4.70M,4.70M,,-7.80M,,-7.80M,2.00M,,2.00M,,,,,-9.40M,2.40M,-12.80M,,,,,,,2.00M,5.00M,-12.80M,,,,,,
1991-06,6.80M,,,,,,,,,4.90M,4.90M,,,,,,,,,,,,,11.70M,,,,,,,,19.50M,19.50M,,-19.90M,,-19.90M,,,,,,,,-9.20M,-1.80M,-30.90M,,,,,,,,0.20M,-20.10M,,,,,,
1991-03,6.40M,,,,,,,,,4.50M,4.50M,,,,,,,,,,,,,10.90M,,,,,,,,-21.30M,-21.30M,,17.30M,,17.30M,,,,,,,,-9.10M,,8.20M,,3.70M,,,,,,17.30M,,,,,,,
1990-12,5.60M,,,,,,,,,4.40M,4.40M,,,,,,0.10M,,,,,,,10.10M,,,,,,,,-22.40M,-22.40M,,22.90M,,22.90M,0.00,,0.00,,,,,-8.90M,1.10M,15.10M,,,,,,,0.00,0.00,22.90M,,,,,,
1990-09,6.30M,,,,,,,,,3.90M,3.90M,,,,,,-0.20M,,,,,,,10.00M,,,,,,,,-14.30M,-14.30M,,15.50M,,15.50M,0.00,,0.00,,,,,-8.80M,-5.10M,1.60M,,,,,,,0.00,0.00,15.50M,,,,,,
1990-06,6.10M,,,,,,,,,3.50M,3.50M,,,,,,0.30M,,,,,,,9.90M,,,,,,,,-10.90M,-10.90M,,7.50M,,7.50M,0.00,,0.00,,,,,-8.70M,-0.50M,-1.70M,,,,,,,0.00,12.50M,-5.00M,,,,,,
1990-03,5.20M,,,,,,,,,3.70M,3.70M,,,,,,0.20M,,,,,,,9.10M,,,,,,,,-7.20M,-7.20M,,-51.50M,,-51.50M,61.50M,,61.50M,,,,,-6.80M,0.30M,3.50M,,0.80M,,,,,61.50M,,-51.50M,,,,,,
