,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,985.34M,985.34M,528.38M,456.97M,,,184.77M,,-1.429M,,,,-4.813M,281.86M,175.10M,,,,-1.429M,,88.68M,32.83M,55.85M,-2.102M,,,53.75M,56.75M,290.54M,115.44M,175.10M,0.185,-0.005,,,0.188,0.18,0.18,-0.005,,,0.1829,0.175,298.61M,307.14M,0.0
2003-03,951.87M,951.87M,528.98M,422.90M,,,173.04M,,10.80M,,,,-10.79M,262.81M,160.09M,,,,10.80M,,79.01M,30.24M,48.78M,2.227M,,,51.00M,42.11M,274.21M,114.12M,160.09M,0.16,0.01,,,0.1378,0.17,0.16,0.005,,,0.1384,0.165,300.02M,309.11M,0.0
2002-12,683.26M,683.26M,383.47M,299.79M,,,161.09M,,69.25M,,,,-63.32M,182.60M,117.20M,,,,69.25M,,53.69M,17.94M,35.76M,,,,39.04M,-10.36M,226.29M,109.10M,117.20M,0.115,0.01,,,-0.0327,0.125,0.115,0.01,,,-0.0304,0.125,312.26M,317.28M,0.0
2002-09,1.011B,1.011B,549.51M,461.79M,,,168.47M,,-18.70M,,,,15.95M,280.45M,181.34M,,,,-18.70M,,108.21M,38.32M,69.89M,,,,69.56M,81.97M,284.39M,103.04M,181.34M,0.22,0.0,,-0.001,0.2582,0.22,0.215,0.0,,-0.001,0.2523,0.215,316.18M,323.53M,0.0
2002-06,1.041B,1.041B,557.26M,483.97M,,,163.29M,,7.51M,,,,,260.86M,223.11M,,,,7.51M,,162.42M,60.54M,101.88M,,,,101.88M,97.16M,327.58M,104.46M,223.11M,0.32,0.0,,,0.3052,0.32,0.315,0.0,,,0.3004,0.315,318.36M,323.41M,0.0
2002-03,1.021B,1.021B,537.39M,483.75M,,,161.88M,,-13.26M,,,,-254.62M,10.64M,473.12M,,,,-13.26M,,133.61M,51.65M,81.96M,,,,81.96M,90.09M,583.66M,110.55M,473.12M,0.26,0.0,,,0.2858,0.26,0.255,0.0,,,0.2803,0.255,315.22M,321.40M,0.0
2001-12,618.30M,618.30M,352.10M,266.20M,,,182.01M,,92.43M,,,,-99.95M,165.96M,100.23M,,,,92.43M,,30.56M,12.27M,18.28M,,,,23.69M,-37.17M,205.71M,105.48M,100.23M,0.05,0.02,,,-0.1201,0.07,0.045,0.02,,,-0.1251,0.07,326.09M,326.09M,0.0
2001-09,992.89M,992.89M,572.62M,420.26M,,,165.16M,,-96.82M,,,,75.48M,339.34M,80.92M,,,,-96.82M,,-23.67M,-9.321M,-14.35M,,,,-14.35M,44.35M,186.18M,105.26M,80.92M,-0.045,0.0,,,0.1394,-0.045,-0.045,0.0,,,0.1394,-0.045,318.40M,318.40M,0.0
2001-06,1.052B,1.052B,575.31M,476.37M,,,163.02M,,-0.326M,,,,,260.41M,215.95M,,,,-0.326M,,124.21M,47.62M,76.59M,,,,76.59M,76.79M,319.81M,103.86M,215.95M,0.24,0.0,,,0.2406,0.24,0.235,0.0,,,0.2356,0.235,318.68M,323.31M,0.0
2001-03,1.069B,1.069B,565.00M,503.77M,,,161.03M,,-11.97M,,,,-246.15M,10.82M,492.94M,,,,-11.97M,,138.50M,53.83M,84.67M,,,,83.89M,91.99M,599.58M,106.64M,492.94M,0.27,-0.005,,-0.0024,0.293,0.265,0.265,-0.005,,-0.0024,0.2877,0.26,318.44M,322.64M,0.0
2000-12,1.020B,1.008B,550.95M,456.98M,,,173.71M,,10.27M,,,,2.567M,272.37M,184.61M,,,,10.27M,,112.52M,44.52M,68.00M,,,,68.00M,61.80M,292.08M,107.47M,184.61M,0.18,0.045,,0.0006,0.1603,0.225,0.175,0.045,,0.0006,0.1556,0.22,314.62M,319.82M,0.0
2000-09,1.040B,1.049B,553.80M,494.90M,,,172.50M,,8.832M,,,,-11.95M,258.13M,236.77M,,,,8.832M,,121.40M,49.28M,72.11M,,,,67.43M,66.81M,348.57M,111.80M,236.77M,0.225,-0.015,,-0.0147,0.2083,0.21,0.225,-0.015,,-0.0147,0.2087,0.21,317.70M,324.73M,0.0
2000-06,627.17M,627.17M,315.69M,311.48M,,,115.38M,,-120.62M,,,,,180.02M,131.47M,,,,-120.62M,,-29.83M,-11.57M,-18.26M,,,,-18.99M,55.58M,196.10M,64.50M,131.47M,-0.065,0.0,,-0.0024,0.1808,-0.065,-0.065,0.0,,-0.0024,0.1808,-0.065,300.37M,300.37M,0.0
2000-03,424.01M,424.01M,215.73M,208.28M,,,70.18M,,-5.641M,,,,,110.36M,97.92M,,,,-5.641M,,70.95M,26.65M,44.30M,,,,44.30M,47.83M,138.59M,40.67M,97.92M,0.195,0.0,,,0.2106,0.195,0.19,0.0,,,0.2053,0.19,225.64M,230.88M,0.05
1999-12,365.83M,365.83M,194.17M,171.67M,,,51.11M,,-0.208M,,,,,88.56M,83.11M,,,,-0.208M,,63.37M,23.45M,39.92M,,0.00,,39.92M,40.05M,122.52M,39.41M,83.11M,0.17,0.005,0.0,-0.0,0.1706,0.175,0.16,0.005,-0.0004,-0.0,0.1606,0.17,225.21M,230.14M,
1999-09,400.41M,400.41M,201.36M,199.04M,,,122.66M,,-0.205M,,,,,160.42M,38.63M,,,,-0.205M,,19.70M,7.09M,12.60M,,,,12.60M,12.74M,76.38M,37.76M,38.63M,0.055,0.0,,,0.0556,0.055,0.05,0.0,,,0.0505,0.05,229.18M,252.10M,
1999-06,319.06M,319.06M,158.00M,161.06M,,,80.90M,,-0.30M,,,,,110.70M,50.36M,,,,-0.30M,,38.30M,14.20M,24.10M,,,,24.10M,24.29M,80.16M,29.80M,50.36M,0.1,0.0,,,0.1008,0.1,0.095,0.0,,,0.0957,0.095,241.00M,253.68M,
1999-03,251.37M,251.37M,132.80M,118.57M,,,59.00M,,0.10M,,,,,80.60M,37.97M,,,,0.10M,,28.80M,10.30M,18.50M,,-9.10M,,9.40M,18.44M,59.57M,21.60M,37.97M,0.085,-0.045,0.0,,0.0847,0.04,0.085,-0.045,-0.0436,,0.0847,0.04,235.00M,235.00M,
1998-12,280.44M,280.44M,115.41M,165.03M,,,102.63M,,-12.35M,,,,,122.86M,42.17M,,,,-12.35M,,33.93M,12.68M,21.25M,,,,21.25M,28.98M,62.40M,20.23M,42.17M,0.1,0.0,,,0.1372,0.1,0.095,0.0,,,0.1297,0.095,208.22M,222.81M,
1998-09,193.70M,193.70M,101.70M,92.00M,,,36.70M,,2.30M,,,,,57.90M,34.10M,,,,2.30M,,26.70M,9.60M,17.10M,,,,17.10M,15.63M,55.30M,21.20M,34.10M,0.08,0.0,,,0.0731,0.08,0.08,0.0,,,0.0731,0.08,213.75M,213.75M,
1998-06,185.40M,185.40M,100.10M,85.30M,,,38.70M,,4.90M,,,,,58.10M,27.20M,,,,4.90M,,23.50M,9.10M,14.40M,,,,14.40M,11.40M,46.60M,19.40M,27.20M,0.065,0.0,,,0.0514,0.065,0.065,0.0,,,0.0514,0.065,221.54M,221.54M,
