,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,146.39M,,,,-100.78M,164.98M,-0.373M,164.61M,164.61M,-0.338M,,,,89.55M,-12.82M,-1.293M,1.465M,69.71M,,-67.50M,-10.71M,-21.15M,,278.30M,-439.55M,5.72M,-433.83M,,-30.66M,172.22M,-292.26M,,,104.70M,14.89M,-102.55M,-87.66M,,,,-5.108M,11.93M,297.03M,-2.042M,,294.99M,14.89M,,,-102.55M,,
2006-03,144.04M,,,,66.01M,155.27M,-0.765M,154.51M,154.51M,-32.41M,,,,-18.38M,18.13M,-5.627M,-5.749M,-128.96M,,-45.33M,-6.466M,-174.00M,,139.76M,-355.39M,0.094M,-355.30M,,-32.00M,31.41M,-355.89M,,,155.00M,13.18M,-38.48M,-25.31M,,,,5.539M,135.23M,377.93M,-80.90M,,297.03M,13.18M,,,-38.48M,,
2005-12,97.80M,,,,142.96M,164.37M,-1.176M,163.19M,163.19M,-8.063M,,,,-168.05M,-58.00M,-5.621M,20.07M,142.95M,,49.32M,8.058M,156.78M,,384.63M,-331.66M,0.168M,-331.49M,6.095M,177.00M,-94.07M,-242.47M,,,90.00M,13.21M,-132.35M,-119.14M,,,,-0.533M,-29.67M,265.44M,112.49M,,377.93M,13.21M,,,-132.35M,,
2005-09,93.21M,,,,11.07M,161.57M,-1.164M,160.40M,160.40M,87.06M,,,,13.61M,-2.672M,3.757M,-22.41M,-61.83M,,-102.95M,,-186.11M,,179.24M,-196.05M,7.006M,-189.04M,0.00,-177.00M,190.75M,-175.29M,,,8.335M,34.99M,-84.97M,-49.97M,,,,-3.372M,-45.01M,306.50M,-41.05M,,265.44M,34.99M,,,-84.97M,,
2005-06,141.17M,,,,-93.95M,151.67M,1.21M,152.88M,152.88M,-16.46M,,,,98.53M,16.10M,-4.934M,17.44M,89.11M,,42.86M,9.007M,169.59M,,451.76M,-124.38M,0.286M,-124.09M,-4.427B,,-185.62M,-4.737B,,,4.243B,10.18M,,10.18M,,,,-57.06M,4.196B,395.75M,-89.25M,,306.50M,10.18M,,,,,
2005-03,111.08M,,,,70.60M,110.50M,6.921M,117.42M,117.42M,-10.78M,,,,,-23.59M,-0.219M,-4.271M,-94.83M,,10.77M,-9.007M,-121.14M,,167.16M,-107.86M,0.368M,-107.50M,,,-40.77M,-148.27M,,,-144.83M,87.38M,,87.38M,,,,-0.823M,-58.28M,435.13M,-39.38M,,395.75M,87.38M,,,,,
2004-12,74.89M,,,,-7.997M,403.04M,31.22M,137.48M,137.48M,38.72M,,,,-26.22M,-82.00M,-7.395M,6.989M,90.26M,,,14.89M,22.75M,,239.62M,-176.38M,17.98M,-158.40M,,,12.58M,-145.81M,,,-102.29M,46.09M,0.00,46.09M,,,,-12.50M,-68.70M,410.02M,25.11M,,435.13M,46.09M,,,0.00,,
2004-09,126.88M,,,,-90.09M,,,101.24M,101.24M,49.75M,,,,-0.538M,61.88M,-0.176M,-12.00M,31.66M,,,-48.88M,32.48M,10.30M,230.03M,-179.13M,136.19M,-42.94M,,,-27.00M,-69.94M,,,9.884M,3.546M,-5.039M,-1.493M,,,,5.038M,13.43M,236.50M,173.52M,,410.02M,3.546M,,,-5.039M,,
2004-06,104.72M,,,,-19.06M,-98.05M,-7.912M,89.57M,89.57M,-1.192M,,,,13.48M,-1.437M,-2.178M,6.721M,-4.821M,,,-20.19M,-21.91M,-0.774M,164.84M,-170.32M,13.71M,-156.61M,,,-11.91M,-168.52M,,,139.93M,15.05M,-222.81M,-207.76M,,,,0.511M,-67.32M,196.41M,-71.00M,,236.50M,15.05M,,,-222.81M,,
2004-03,105.85M,,,,28.33M,98.05M,7.912M,105.96M,105.96M,-31.63M,,,,-2.193M,-26.98M,1.192M,-0.599M,-44.71M,,,69.07M,-2.028M,-9.529M,194.76M,-177.03M,210.82M,33.79M,,,2.727M,36.52M,,,-145.20M,71.22M,-121.04M,-49.82M,,,,-8.357M,-203.38M,168.52M,27.90M,,196.41M,71.22M,,,-121.04M,,
2003-12,91.74M,,,,-38.74M,98.79M,8.821M,107.61M,107.61M,15.56M,,,,-4.487M,6.727M,-0.953M,-0.675M,66.20M,-25.92M,,,34.84M,-4.611M,201.91M,-192.43M,54.81M,-137.62M,,24.35M,-64.04M,-177.31M,,,275.75M,15.71M,-232.27M,-216.56M,,,,-21.70M,37.49M,153.81M,62.09M,,279.61M,15.71M,,,-232.27M,,
2003-09,47.21M,,,,12.92M,102.34M,9.258M,111.60M,111.60M,2.746M,,,,-0.735M,-10.85M,-2.261M,-19.02M,-4.673M,25.92M,,,-10.88M,1.691M,164.54M,-135.85M,0.642M,-135.21M,,-24.35M,12.62M,-146.94M,,,117.46M,19.30M,-119.99M,-100.69M,,,,-11.28M,5.486M,130.72M,23.08M,,153.81M,19.30M,,,-119.99M,,
2003-06,53.75M,,,,20.94M,106.19M,9.242M,115.44M,115.44M,-0.838M,,,,-2.179M,-20.40M,1.074M,12.46M,43.55M,,,,36.68M,-12.31M,211.47M,-135.50M,0.828M,-134.67M,,,-13.31M,-147.98M,,,-72.25M,1.165M,-24.02M,-22.86M,,,,-9.795M,-104.90M,172.13M,-41.41M,,130.72M,1.165M,,,-24.02M,,
2003-03,51.00M,,,,14.49M,105.61M,8.505M,114.12M,114.12M,10.89M,,,,-0.612M,10.19M,-0.065M,-1.261M,-51.10M,,,,-42.24M,,147.66M,-86.44M,0.334M,-86.11M,,,2.66M,-83.45M,,,-34.05M,0.08M,-66.58M,-66.50M,,,,-2.75M,-103.30M,211.23M,-39.10M,,172.13M,0.08M,,,-66.58M,,
2002-12,39.04M,,,,27.53M,101.66M,7.441M,109.10M,109.10M,15.89M,,,,,-32.78M,0.601M,-1.844M,41.50M,-6.521M,-14.53M,12.71M,-0.862M,,193.45M,-95.58M,9.159M,-86.42M,,80.31M,-80.58M,-86.68M,,,140.30M,0.489M,-137.78M,-137.29M,,,,-19.16M,-16.14M,139.20M,90.62M,,274.95M,0.489M,,,-137.78M,,
2002-09,69.56M,,,,13.02M,96.03M,7.012M,103.04M,103.04M,23.43M,,,,,17.73M,-3.578M,-13.93M,-29.68M,1.587M,14.53M,-15.28M,-28.62M,,180.43M,-75.93M,5.822M,-70.11M,,-80.31M,34.08M,-116.34M,,,-106.38M,3.328M,-34.15M,-30.82M,,,,-0.885M,-138.09M,213.20M,-74.00M,,139.20M,3.328M,,,-34.15M,,
2002-06,101.88M,,,,12.19M,97.56M,6.90M,104.46M,104.46M,33.60M,,,,,-7.938M,2.514M,-2.814M,7.914M,4.934M,,-2.115M,2.495M,,254.63M,-74.82M,0.02M,-74.80M,,,4.454M,-70.34M,,,-152.55M,7.27M,-35.66M,-28.39M,,,,-2.422M,-183.36M,212.27M,0.927M,,213.20M,7.27M,,,-35.66M,,
2002-03,81.96M,,,,14.11M,103.37M,7.174M,110.55M,110.55M,17.93M,,,,,-1.111M,-5.222M,2.442M,-20.01M,,,17.39M,-6.512M,,218.03M,-53.72M,5.339M,-48.38M,,,-49.46M,-97.84M,,,-151.50M,34.90M,,34.90M,,,,-0.289M,-116.89M,208.97M,3.302M,,212.27M,34.90M,,,,,
2001-12,23.69M,,,,12.40M,98.69M,6.786M,105.48M,105.48M,5.754M,,,,,-4.158M,9.678M,11.50M,26.81M,10.89M,-4.871M,-11.60M,38.25M,,185.57M,-93.68M,5.171M,-88.51M,,,-25.00M,-113.50M,,,-2.097M,3.832M,0.00,3.832M,,,,1.729M,3.464M,133.44M,75.53M,,208.97M,3.832M,,,0.00,,
2001-09,-14.35M,,,,73.96M,98.70M,6.56M,105.26M,105.26M,0.616M,,,,,16.32M,-0.797M,-18.96M,11.13M,-13.41M,4.871M,-7.751M,-8.599M,,156.89M,-90.25M,9.476M,-80.77M,,,-19.13M,-99.90M,,,-102.12M,1.935M,-45.72M,-43.78M,,,,7.484M,-138.42M,214.87M,-81.43M,,133.44M,1.935M,,,-45.72M,,
2001-06,76.59M,,,,18.97M,97.39M,6.461M,103.86M,103.86M,29.65M,,,,,-16.32M,-1.187M,5.264M,6.726M,2.521M,,7.751M,4.756M,,233.82M,-78.55M,0.474M,-78.08M,,,-5.654M,-83.73M,,,-191.53M,3.223M,,3.223M,,,,-6.298M,-194.61M,259.38M,-44.52M,,214.87M,3.223M,,,,,
2001-03,83.89M,,,,16.61M,95.94M,10.70M,106.64M,106.64M,29.60M,,,,,27.88M,-0.23M,3.266M,-50.20M,,,,-19.28M,,217.47M,-65.46M,11.72M,-53.74M,,,-1.331M,-55.07M,,,-123.96M,0.984M,,0.984M,,,,-8.007M,-130.98M,227.97M,31.41M,,259.38M,0.984M,,,,,
2000-12,68.00M,,,,40.23M,,,107.47M,107.47M,31.49M,,,,,-172.68M,-2.718M,,63.57M,82.73M,,,-29.10M,,218.10M,-103.54M,76.71M,-26.83M,0.00,,66.29M,39.46M,,,-243.34M,2.482M,0.00,2.482M,,-0.003M,,,-240.86M,211.27M,16.70M,,227.97M,2.482M,,,0.00,,
2000-09,72.11M,,,,37.81M,,,111.80M,111.80M,8.015M,,,,,38.64M,1.437M,,53.99M,-7.556M,-1.716M,,84.80M,,314.53M,-107.89M,23.35M,-84.54M,0.00,,-10.08M,-94.62M,,,-229.98M,62.54M,-52.58M,9.956M,,0.00,,,-220.02M,211.39M,-0.116M,,211.27M,62.54M,,,-52.58M,,
2000-06,-18.26M,,,,150.85M,-40.18M,-0.49M,64.50M,64.50M,-15.90M,,,,,8.273M,2.737M,,27.69M,-9.113M,1.716M,,31.31M,,212.50M,-62.67M,49.91M,-12.75M,-5.315B,,-110.19M,-5.438B,,,4.102B,1.183B,52.58M,1.235B,,-0.011M,,1.319M,5.339B,98.08M,113.31M,,211.39M,1.183B,,,52.58M,,
2000-03,44.30M,,,,10.75M,40.18M,0.49M,40.67M,40.67M,11.98M,,,,,3.571M,2.837M,,-44.65M,2.964M,,,-35.28M,,72.44M,-62.40M,0.198M,-62.20M,,,-0.92M,-63.12M,,,25.18M,7.29M,-52.58M,-45.29M,,-11.33M,,-1.319M,-32.76M,121.52M,-23.44M,,98.08M,7.29M,,,-52.58M,,
1999-12,39.92M,,,,2.571M,,,39.41M,39.41M,16.29M,,,,9.16M,-39.70M,-3.067M,,37.39M,11.20M,2.90M,,8.725M,,116.08M,-65.30M,0.40M,-64.90M,,,-15.30M,-80.20M,,,347.50M,5.90M,-1.00M,4.90M,,,,-374.50M,-22.10M,107.80M,13.78M,,121.50M,5.90M,,,-1.00M,,
1999-09,12.60M,,,,11.10M,,,37.76M,37.76M,1.20M,,,,0.04M,-2.20M,-1.50M,,26.00M,-12.70M,-2.70M,,6.90M,,69.60M,-61.30M,-0.10M,-61.40M,,,-37.20M,-98.60M,,,-73.20M,22.10M,-294.20M,-272.10M,,,,374.50M,29.20M,107.50M,0.20M,,107.80M,22.10M,,,-294.20M,,
1999-06,24.10M,,,,22.20M,,,29.80M,29.80M,6.30M,,,,-9.40M,-15.60M,-0.80M,,30.20M,-7.60M,-5.70M,,0.50M,,73.50M,-118.10M,1.50M,-116.60M,,,20.00M,-96.60M,,,423.80M,15.60M,,15.60M,,,,-374.50M,64.90M,65.80M,41.80M,,107.50M,15.60M,,,,,
1999-03,18.50M,,,,11.10M,,,21.60M,21.60M,3.70M,,,,0.20M,16.10M,1.30M,,-41.10M,-6.20M,5.50M,,-24.40M,,30.70M,-130.60M,4.70M,-125.90M,,,14.60M,-111.30M,,,57.90M,6.50M,,6.50M,,,,,64.40M,82.00M,-16.20M,,65.80M,6.50M,,,,,
1998-12,21.25M,,,,7.297M,,,20.23M,20.23M,4.93M,,,,,-26.79M,1.414M,,39.67M,-0.32M,-0.20M,,13.77M,,67.48M,-64.30M,0.00,-64.30M,,,-9.30M,-73.60M,,,-2.50M,0.00,-0.10M,-0.10M,,,,,-2.60M,0.00,-8.72M,,82.00M,0.00,,,-0.10M,,
1998-09,17.00M,,,,0.70M,,,21.20M,21.20M,2.50M,,,,0.10M,-5.90M,1.60M,,-5.80M,1.40M,-0.10M,,-8.80M,,32.70M,-89.40M,0.10M,-89.30M,,,-9.60M,-98.90M,,,-2.00M,1.20M,-210.50M,-209.30M,,,,,-211.30M,368.20M,-277.50M,,0.00,1.20M,,,-210.50M,,
1998-06,14.40M,,,,6.40M,,,19.40M,19.40M,7.10M,,,,-0.20M,-20.90M,-1.00M,,23.60M,1.20M,-2.20M,,0.70M,,47.80M,-104.10M,0.00,-104.10M,,,-10.40M,-114.50M,,,-2.50M,0.00,,0.00,,,,,-2.50M,0.00,-69.20M,,368.20M,0.00,,,,,
