,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-09,343.72M,,343.72M,343.49M,,343.49M,117.34M,134.30M,63.69M,,1.003B,0.0,128.12M,,,19.60B,,19.73B,-2.375B,17.36B,1.307B,375.12M,1.682B,,1.604B,20.64B,21.64B,439.78M,,,,439.78M,1.089B,1.529B,,,,,,,,25.50M,1.554B,12.96B,,12.96B,3.378B,3.378B,,,215.62M,16.55B,18.10B,3.596M,2.434B,2.701B,1.597B,,,-0.387M,3.541B
2006-06,294.99M,,294.99M,312.93M,,312.93M,118.14M,114.92M,64.88M,,905.86M,,,,,,,19.18B,-2.375B,16.80B,1.309B,375.68M,1.685B,,1.679B,20.17B,21.07B,366.81M,,,,366.81M,1.081B,1.448B,,,,,,,,8.822M,1.457B,12.60B,,12.60B,3.345B,3.345B,,,200.24M,16.15B,17.61B,3.592M,2.278B,2.675B,1.491B,,,-0.749M,3.465B
2006-03,297.03M,,297.03M,314.15M,,314.15M,117.45M,116.38M,66.25M,,911.27M,,,,,,,18.96B,-2.375B,16.58B,1.312B,376.58M,1.689B,,1.660B,19.93B,20.84B,295.58M,,,,295.58M,1.021B,1.316B,,,,,,,,78.13M,1.394B,12.50B,,12.50B,3.346B,3.346B,,,213.11M,16.06B,17.46B,3.582M,2.132B,2.630B,1.377B,,,-2.435M,3.386B
2005-12,377.93M,,377.93M,352.67M,,352.67M,111.82M,110.63M,65.52M,,1.019B,0.0,8.018B,7.595B,2.696B,,607.45M,18.92B,-2.375B,16.54B,1.315B,377.48M,1.692B,,1.447B,19.68B,20.70B,265.60M,,,,265.60M,1.143B,1.409B,,0.014M,,0.014M,,,,125.50M,1.535B,12.36B,,12.36B,3.378B,3.378B,,,195.98M,15.93B,17.46B,3.573M,1.988B,2.587B,1.338B,,,-4.419M,3.235B
2005-09,265.44M,,265.44M,298.66M,,298.66M,106.26M,129.78M,58.53M,,858.66M,,,,,,,18.33B,-1.938B,16.40B,,1.695B,1.695B,,1.400B,19.49B,20.35B,161.01M,,,,161.01M,1.042B,1.203B,,0.014M,,0.014M,,,,65.52M,1.268B,12.27B,,12.27B,3.377B,3.377B,,,188.19M,15.84B,17.10B,3.563M,1.890B,2.564B,1.206B,,,-6.709M,3.245B
2005-06,306.50M,,306.50M,301.92M,,301.92M,114.45M,203.46M,115.88M,,1.042B,,,,,,,18.48B,-1.938B,16.54B,,1.665B,1.665B,,1.261B,19.46B,20.51B,182.93M,,,,182.93M,1.162B,1.345B,,0.014M,,0.014M,,,,168.47M,1.513B,12.27B,,12.27B,3.365B,3.365B,,,183.31M,15.82B,17.33B,3.539M,1.797B,2.505B,1.121B,,,-8.393M,3.176B
2005-03,395.75M,,395.75M,218.36M,,218.36M,70.55M,85.30M,39.67M,,809.63M,,,,,,,10.85B,-1.938B,8.910B,,232.90M,232.90M,,1.179B,10.32B,11.13B,123.34M,,,,123.34M,669.17M,792.51M,,0.014M,,0.014M,,,,15.76M,808.29M,5.335B,,5.335B,1.802B,1.802B,,,163.27M,7.300B,8.109B,1.766M,1.657B,2.484B,1.111B,,,-9.854M,3.023B
2004-12,435.13M,,435.13M,204.15M,,204.15M,70.33M,81.66M,28.93M,,820.20M,0.0,4.089B,4.228B,2.236B,,299.15M,10.85B,-1.938B,8.914B,,233.34M,233.34M,,1.147B,10.29B,11.12B,198.05M,,,,198.05M,724.92M,922.97M,,0.014M,,0.014M,,,,4.991M,927.98M,5.459B,,5.459B,1.802B,1.802B,,,154.49M,7.415B,8.343B,1.736M,1.546B,2.346B,1.111B,,,-12.04M,2.772B
2004-09,355.63M,,355.63M,172.41M,,172.41M,64.17M,88.65M,38.34M,,719.20M,,,,,,,10.51B,-1.646B,8.863B,,233.06M,233.06M,,1.084B,10.18B,10.90B,101.58M,,,,101.58M,635.31M,736.90M,,0.014M,,0.014M,,,,46.57M,783.48M,5.570B,,5.570B,1.772B,1.772B,,,141.92M,7.484B,8.267B,1.719M,1.471B,2.284B,1.110B,,,-15.81M,2.631B
2004-06,185.79M,,185.79M,166.17M,,166.17M,64.11M,77.19M,48.46M,81.91M,623.62M,,,,,,,10.44B,-1.646B,8.791B,,232.35M,232.35M,,1.058B,10.08B,10.70B,127.65M,,,,127.65M,608.39M,736.04M,,6.802M,,6.802M,,,,45.32M,788.17M,5.527B,,5.527B,1.732B,1.732B,,,148.05M,7.407B,8.195B,1.718M,1.344B,2.280B,1.105B,,,-12.02M,2.509B
2004-03,196.41M,,196.41M,161.88M,,161.88M,63.23M,88.52M,48.50M,86.52M,645.06M,,,,,,,10.36B,-1.646B,8.718B,,232.67M,232.67M,,1.050B,10.00B,10.65B,95.23M,,,,95.23M,601.93M,697.16M,,9.687M,,9.687M,,,,65.84M,772.69M,5.395B,,5.395B,1.732B,1.732B,,,135.54M,7.263B,8.035B,1.712M,1.240B,2.262B,882.38M,,,-9.666M,2.611B
2003-12,279.61M,,279.61M,139.48M,9.901M,149.38M,65.19M,89.64M,49.29M,226.08M,859.18M,0.0,4.104B,3.798B,1.960B,,465.47M,10.33B,-1.646B,8.681B,,267.67M,267.67M,,1.003B,9.952B,10.81B,187.00M,,,,187.00M,647.16M,834.15M,,9.008M,,9.008M,,,,23.46M,866.62M,5.522B,,5.522B,1.765B,1.765B,,,123.55M,7.411B,8.277B,1.683M,1.134B,2.172B,760.59M,,,-12.83M,2.534B
2003-09,153.81M,,153.81M,141.30M,,141.30M,64.41M,88.17M,57.94M,236.28M,741.90M,,,,,,,9.984B,-1.391B,8.592B,,264.70M,264.70M,,952.86M,9.810B,10.55B,100.07M,,,,100.07M,645.10M,745.18M,,8.151M,,8.151M,,,,49.99M,803.31M,5.247B,,5.247B,1.758B,1.758B,,,115.17M,7.120B,7.923B,1.676M,1.042B,2.153B,546.83M,,,-21.70M,2.629B
2003-06,130.72M,,130.72M,131.09M,,131.09M,62.00M,69.81M,51.94M,219.65M,665.20M,,,,,,,9.971B,-1.391B,8.580B,,256.70M,256.70M,,909.43M,9.746B,10.41B,80.44M,,,,80.44M,634.34M,714.79M,,8.025M,,8.025M,,,,25.81M,748.62M,5.116B,,5.116B,1.747B,1.747B,,,110.11M,6.974B,7.722B,1.665M,994.96M,2.128B,408.20M,,,-26.97M,2.689B
2003-03,172.13M,,172.13M,134.59M,,134.59M,68.07M,87.57M,65.60M,,527.96M,,,,,,,10.13B,-1.391B,8.740B,,257.35M,257.35M,,906.52M,9.903B,10.43B,75.17M,,,,75.17M,,75.17M,,7.356M,,7.356M,,,,637.38M,719.90M,5.297B,,5.297B,1.762B,1.762B,,,,7.058B,7.778B,1.664M,941.21M,2.126B,384.17M,,,-31.64M,2.653B
2002-12,211.23M,,211.23M,139.94M,,139.94M,68.00M,86.31M,84.35M,,589.83M,0.0,4.114B,3.807B,1.934B,,298.81M,10.15B,-1.391B,8.762B,,256.11M,256.11M,,896.60M,9.915B,10.50B,69.96M,,,,69.96M,672.52M,742.48M,,6.956M,,6.956M,,,,0.637M,750.07M,5.214B,,5.214B,1.769B,1.769B,,,107.56M,7.091B,7.841B,1.664M,890.21M,2.126B,317.43M,,,-35.92M,2.664B
2002-09,139.20M,,139.20M,114.77M,5.556M,120.32M,84.18M,84.47M,92.49M,,520.66M,,,,,,,9.789B,-1.002B,8.787B,,104.52M,104.52M,,1.023B,9.914B,10.43B,62.92M,,,,62.92M,668.12M,731.04M,,6.734M,,6.734M,,,,,737.77M,5.069B,,5.069B,1.762B,1.762B,,,107.49M,6.939B,7.676B,1.664M,851.16M,2.125B,180.06M,,,-39.32M,2.758B
2002-06,213.20M,,213.20M,130.14M,7.142M,137.29M,80.63M,71.04M,117.16M,,619.32M,,,,,,,9.824B,-1.002B,8.822B,,105.44M,105.44M,,877.61M,9.805B,10.42B,66.19M,,,,66.19M,644.03M,710.22M,,6.98M,,6.98M,,,,,717.20M,5.172B,,5.172B,1.765B,1.765B,,,50.33M,6.988B,7.705B,1.662M,781.60M,2.121B,145.80M,,,-39.11M,2.719B
2002-03,212.27M,,212.27M,136.86M,,136.86M,83.14M,67.18M,138.54M,,638.00M,,,,,,,9.845B,-1.002B,8.843B,,104.08M,104.08M,,881.69M,9.829B,10.47B,71.66M,,,,71.66M,627.20M,698.86M,,10.93M,,10.93M,,,,5.315M,715.10M,5.300B,,5.300B,1.754B,1.754B,,,69.20M,7.123B,7.838B,1.653M,679.73M,2.084B,129.40M,,,-7.433M,2.629B
2001-12,208.97M,,208.97M,144.37M,12.08M,156.45M,78.04M,69.62M,148.84M,,661.93M,0.0,4.116B,3.740B,1.775B,,261.64M,9.893B,-1.002B,8.892B,,103.06M,103.06M,,840.81M,9.836B,10.50B,75.79M,,,,75.79M,644.04M,719.83M,,168.08M,,168.08M,,,,,887.91M,5.295B,,5.295B,1.746B,1.746B,,,57.25M,7.099B,7.987B,1.637M,597.77M,2.050B,129.40M,,,-9.15M,2.511B
2001-09,133.44M,,133.44M,145.10M,22.15M,167.25M,87.76M,81.13M,146.68M,,616.25M,,,,,,,9.537B,-644.40M,8.893B,,102.92M,102.92M,,818.51M,9.814B,10.43B,66.04M,,,,66.04M,60.68M,126.72M,,142.95M,,142.95M,,,,564.22M,833.88M,5.332B,,5.332B,1.738B,1.738B,,,43.91M,7.114B,7.948B,1.636M,574.08M,2.048B,129.40M,,,-11.15M,2.483B
2001-06,214.87M,,214.87M,188.69M,8.743M,197.44M,87.24M,62.21M,129.11M,,690.86M,,,,,,,8.914B,,8.914B,,104.40M,104.40M,,841.53M,9.860B,10.55B,57.66M,,,,57.66M,,57.66M,,229.26M,,229.26M,,,,620.98M,907.90M,5.325B,,5.325B,1.721B,1.721B,,,50.63M,7.096B,8.004B,1.635M,588.44M,2.046B,83.68M,,,-6.616M,2.546B
2001-03,259.38M,,259.38M,208.79M,,208.79M,86.33M,67.28M,146.68M,,768.46M,0.0,9.035B,,,,,9.035B,,9.035B,50.65M,,50.65M,,804.89M,9.890B,10.66B,59.01M,,,,59.01M,68.12M,127.14M,413.04M,413.04M,,413.04M,,,,538.11M,1.078B,5.337B,,5.337B,1.744B,1.744B,,,35.21M,7.116B,8.194B,1.633M,511.85M,2.043B,83.68M,,,-8.49M,2.464B
2000-12,227.97M,,227.97M,236.65M,,236.65M,86.28M,,,244.75M,795.64M,,,,,,,9.709B,-644.40M,9.064B,,54.28M,54.28M,,820.44M,9.939B,10.73B,65.32M,,,,65.32M,,65.32M,,525.41M,,525.41M,,,,642.48M,1.233B,5.355B,,5.355B,1.730B,1.730B,,,33.38M,7.119B,8.352B,1.632M,427.96M,2.042B,83.68M,,,-5.28M,2.382B
2000-09,211.27M,,211.27M,,,187.84M,85.16M,,,212.61M,696.87M,,,,,,,9.745B,-549.26M,9.196B,,53.98M,53.98M,,753.85M,10.00B,10.70B,56.59M,,,,56.59M,,56.59M,,12.67M,,12.67M,,,,596.37M,665.63M,6.035B,,6.035B,1.683B,1.683B,,,3.801M,7.721B,8.387B,1.631M,359.95M,2.039B,83.68M,,,-3.686M,2.314B
2000-06,211.39M,,211.39M,,,270.27M,86.85M,,,109.88M,678.38M,,,,,,,9.697B,-459.06M,9.238B,,64.52M,64.52M,,753.63M,10.06B,10.73B,60.08M,,,,60.08M,,60.08M,,1.032B,,1.032B,,,,498.70M,1.591B,5.294B,,5.294B,1.592B,1.592B,,,3.833M,6.890B,8.480B,1.626M,292.52M,2.029B,83.68M,,,14.29M,2.254B
2000-03,98.08M,,98.08M,,,75.31M,12.14M,,,35.28M,220.81M,,,,,,,2.842B,-430.18M,2.412B,,36.29M,36.29M,,64.02M,2.512B,2.733B,30.33M,,,,30.33M,,30.33M,,12.42M,,12.42M,,,,197.53M,240.28M,1.346B,,1.346B,105.72M,105.72M,,,4.776M,1.456B,1.696B,1.389M,311.53M,1.269B,558.40M,,,13.31M,1.037B
1999-12,121.52M,,121.52M,,,83.10M,15.24M,,,50.05M,269.91M,,,,,,,2.783B,-398.20M,2.385B,,31.68M,31.68M,,57.09M,2.474B,2.743B,38.02M,,,,38.02M,,38.02M,,13.00M,,13.00M,,,,239.08M,290.09M,1.317B,,1.317B,108.71M,108.71M,,,4.241M,1.430B,1.720B,1.384M,267.16M,1.262B,505.82M,,,-1.149M,1.023B
1999-09,107.80M,,107.80M,,,60.00M,12.60M,,,81.70M,262.10M,,,,,,,2.705B,-357.10M,2.348B,,36.80M,36.80M,,64.20M,2.449B,2.711B,45.70M,,,,45.70M,,45.70M,,16.50M,,16.50M,,,,186.90M,249.10M,1.349B,,1.349B,106.90M,106.90M,,,5.20M,1.461B,1.710B,0.70M,239.30M,1.256B,504.80M,,,9.80M,1.001B
1999-06,107.50M,,107.50M,,,68.90M,11.60M,,,64.00M,252.00M,,,,,,,2.644B,-322.90M,2.321B,,37.10M,37.10M,,64.30M,2.422B,2.674B,41.20M,,,,41.20M,,41.20M,,16.60M,,16.60M,,,,196.90M,254.70M,1.049B,,1.049B,106.20M,106.20M,,,4.90M,1.160B,1.415B,0.70M,226.70M,1.234B,210.60M,,,9.40M,1.260B
1999-03,65.80M,,65.80M,,,66.20M,11.20M,,,60.20M,203.40M,,,,,,,2.528B,-296.70M,2.231B,,37.30M,37.30M,,67.40M,2.336B,2.539B,31.40M,,,,31.40M,,31.40M,,15.50M,,15.50M,,,,169.90M,216.80M,996.60M,,996.60M,98.30M,98.30M,,,4.90M,1.100B,1.317B,,202.60M,,,,,,1.222B
1998-12,82.00M,,82.00M,,,64.30M,11.10M,,,45.80M,203.20M,,,,,,,1.584B,-255.90M,1.328B,,37.60M,37.60M,,200.50M,1.566B,1.769B,23.90M,,,,23.90M,,23.90M,,15.20M,,15.20M,,,,145.40M,184.50M,537.60M,,537.60M,77.20M,77.20M,,,5.30M,620.10M,804.60M,,193.20M,,,,,,964.40M
1998-09,90.80M,,90.80M,,,56.70M,12.70M,,,43.80M,204.00M,,,,,,,1.519B,-238.40M,1.281B,,37.80M,37.80M,,186.70M,1.505B,1.709B,38.90M,,,,38.90M,,38.90M,,21.00M,,21.00M,,,,88.20M,148.10M,539.00M,,539.00M,72.20M,72.20M,,,4.50M,615.70M,763.80M,,172.00M,,,,,,945.60M
1998-06,368.20M,,368.20M,,,59.10M,14.60M,,,39.00M,480.90M,,,,,,,1.430B,-220.20M,1.21B,,38.10M,38.10M,,176.90M,1.425B,1.906B,17.00M,,,,17.00M,,17.00M,,39.70M,,39.70M,,,,102.10M,158.80M,541.90M,,541.90M,64.30M,64.30M,,,5.20M,611.40M,770.20M,,154.90M,,,,,,1.136B
